브랜드,모델,연도,마력,연비,스타일,가격
벤틀리,Supersports Convertible ISR,2013,631,15.5,컨버터블,291900
람보르기니,Gallardo,2014,550,16,쿠페,191900
마세라티,Ghibli,2015,404,20,세단,77900
애스턴마틴,DBS,2010,510,15,쿠페,270400
포르쉐,718 Cayman,2017,350,23,쿠페,66300
포르쉐,Carrera GT,2005,605,12,컨버터블,440000
포르쉐,Panamera,2016,310,22.5,세단,84300
페라리,599,2011,611,13,쿠페,320580
마세라티,GranTurismo Convertible,2014,444,16.5,컨버터블,138800
마이바흐,57,2012,620,13,세단,418950
페라리,456M,2003,442,11.5,쿠페,228625
포르쉐,Panamera,2015,570,19.5,세단,200500
애스턴마틴,V8 Vantage,2015,430,16,컨버터블,112700
포르쉐,Cayenne,2017,520,17.5,SUV,116500
롤스로이스,Phantom,2016,453,15,세단,417825
페라리,F430,2007,483,13.5,쿠페,184309
벤틀리,Arnage,2008,450,12.5,세단,221990
애스턴마틴,V8 Vantage,2015,430,16,컨버터블,147495
애스턴마틴,DBS,2012,510,15,쿠페,275861
람보르기니,Murcielago,2008,632,10.5,컨버터블,369200
벤틀리,Continental GTC,2012,567,15,컨버터블,212800
벤틀리,Continental,2001,420,12.5,쿠페,299900
포르쉐,Panamera,2015,440,20,세단,113400
벤틀리,Continental GT Speed Convertible,2014,626,16,컨버터블,238700
벤틀리,Continental GT,2014,500,19.5,쿠페,177500
람보르기니,Gallardo,2014,560,17,쿠페,202000
포르쉐,Panamera,2016,520,19.5,세단,141300
롤스로이스,Phantom Coupe,2016,453,15,쿠페,449525
포르쉐,968,1995,236,19.5,쿠페,4723
페라리,550,2001,485,10,쿠페,205840
벤틀리,Continental GT,2014,521,19.5,쿠페,196500
마세라티,GranTurismo,2016,454,17,쿠페,150570
포르쉐,Panamera,2016,420,22,세단,93200
람보르기니,Gallardo,2012,570,16,컨버터블,248000
마이바흐,57,2012,543,13,세단,379050
포르쉐,Panamera,2016,520,19.5,세단,161100
포르쉐,Panamera,2016,440,20,세단,113400
벤틀리,Continental GT,2016,521,19,컨버터블,231800
애스턴마틴,V8 Vantage,2015,430,16,쿠페,132995
포르쉐,Boxster,2016,265,25,컨버터블,52100
벤틀리,Flying Spur,2016,616,16,세단,222300
롤스로이스,Ghost Series II,2016,563,17,세단,329325
람보르기니,Aventador,2016,750,14.5,쿠페,490700
람보르기니,Aventador,2015,720,13,컨버터블,548800
마이바흐,62,2012,620,13,세단,470350
마세라티,Ghibli,2016,404,20,세단,78550
람보르기니,Gallardo,2014,560,17.5,쿠페,198900
롤스로이스,Ghost,2014,563,17,세단,263200
포르쉐,Macan,2015,400,20,SUV,72300
롤스로이스,Phantom,2016,453,15,세단,492425
포르쉐,968,1994,236,19.5,컨버터블,4878
포르쉐,911,2016,560,20.5,컨버터블,194600
애스턴마틴,DBS,2010,510,14,쿠페,266000
페라리,360,2002,400,12.5,쿠페,150694
롤스로이스,Wraith,2015,624,17,쿠페,294025
벤틀리,Continental Flying Spur,2011,552,14.5,세단,181200
포르쉐,911,2015,350,22,쿠페,101600
포르쉐,911,2017,370,24.5,컨버터블,108600
포르쉐,911,2016,350,22.5,컨버터블,102930
벤틀리,Continental GTC Speed,2011,600,13.5,컨버터블,236100
페라리,F430,2009,483,13.5,컨버터블,218310
벤틀리,Continental GT Speed,2014,616,16.5,쿠페,217000
롤스로이스,Phantom,2014,453,15,세단,474990
애스턴마틴,DB9,2013,510,16,쿠페,183700
포르쉐,911,2016,350,23,쿠페,91030
마세라티,Coupe,2004,390,12.5,쿠페,81013
포르쉐,911,2016,400,22,컨버터블,117530
마세라티,GranTurismo,2015,454,17,쿠페,150570
애스턴마틴,V12 Vantage,2011,510,14,쿠페,180535
벤틀리,Continental GT,2015,500,19,컨버터블,206300
애스턴마틴,V8 Vantage,2016,430,16,쿠페,103300
롤스로이스,Dawn,2016,563,15.5,컨버터블,335000
람보르기니,Gallardo,2012,560,16,컨버터블,225400
마세라티,Quattroporte,2017,523,18.5,세단,145500
마세라티,GranTurismo Convertible,2015,444,16.5,컨버터블,145740
포르쉐,911,2015,350,23,컨버터블,96200
페라리,458 Italia,2013,562,15,쿠페,233509
포르쉐,944,1991,208,19.5,컨버터블,3578
포르쉐,Panamera,2016,420,21.5,세단,125600
벤틀리,Arnage,2007,500,12.5,세단,242990
롤스로이스,Ghost,2013,563,17,세단,256650
포르쉐,928,1994,345,14,해치백,7419
마세라티,Spyder,2004,390,13,컨버터블,89622
페라리,456M,2003,442,12,쿠페,224585
람보르기니,Huracan,2016,610,17,컨버터블,262350
람보르기니,Aventador,2016,750,14.5,컨버터블,535500
포르쉐,968,1993,236,19.5,쿠페,3839
페라리,360,2002,400,12.5,쿠페,140615
포르쉐,911,2016,430,22,쿠페,120900
애스턴마틴,DB9,2015,510,16,쿠페,198295
애스턴마틴,Rapide,2012,470,16,세단,207895
애스턴마틴,V8 Vantage,2015,430,17.5,쿠페,123695
람보르기니,Gallardo,2013,560,16.5,컨버터블,225400
포르쉐,Cayenne,2016,420,20.5,SUV,74800
롤스로이스,Ghost,2013,563,17,세단,296000
마세라티,Quattroporte,2016,523,18.5,세단,141500
롤스로이스,Silver Seraph,2002,322,13,세단,229990
람보르기니,Gallardo,2014,570,16.5,쿠페,241200
벤틀리,Continental,2003,420,12.5,쿠페,328990
벤틀리,Continental GT,2016,500,19,컨버터블,218400
람보르기니,Huracan,2016,580,17.5,쿠페,199800
페라리,360,2004,400,12.5,컨버터블,169900
포르쉐,911,2017,420,24,쿠페,103400
마세라티,Spyder,2003,390,13,컨버터블,89622
포르쉐,911,2017,370,24.5,쿠페,96300
포르쉐,Cayenne,2016,440,19.5,SUV,95500
페라리,599,2010,611,13,쿠페,310543
마세라티,Coupe,2006,390,14.5,쿠페,87577
마세라티,Ghibli,2017,404,20,세단,77200
페라리,612 Scaglietti,2009,532,12.5,쿠페,313088
포르쉐,911,2016,350,23,컨버터블,96200
벤틀리,Continental GT,2016,626,16,컨버터블,263400
람보르기니,Gallardo,2013,550,16,컨버터블,209500
포르쉐,Cayenne,2016,570,17.5,SUV,157300
애스턴마틴,V8 Vantage,2015,430,17.5,컨버터블,118400
페라리,360,2002,400,12.5,컨버터블,170829
애스턴마틴,V8 Vantage,2014,420,16,쿠페,116700
애스턴마틴,V8 Vantage,2015,430,17.5,컨버터블,138195
벤틀리,Flying Spur,2015,500,19,세단,195100
마세라티,GranTurismo Convertible,2014,454,16.5,컨버터블,143300
페라리,F430,2008,483,13.5,쿠페,199054
롤스로이스,Phantom,2015,453,15,세단,480175
페라리,F430,2008,483,13.5,컨버터블,217310
포르쉐,911,2016,560,20.5,쿠페,182700
롤스로이스,Wraith,2014,624,17,쿠페,284900
애스턴마틴,Vanquish,2015,568,17,쿠페,283695
포르쉐,Panamera,2016,570,19.5,세단,200500
벤틀리,Continental Flying Spur Speed,2012,600,13.5,세단,209600
애스턴마틴,V8 Vantage,2016,430,17.5,쿠페,139995
마이바흐,57,2011,620,13,세단,412000
애스턴마틴,V8 Vantage,2016,430,16,쿠페,121295
포르쉐,911,2017,540,24.5,컨버터블,171500
애스턴마틴,V8 Vantage,2016,430,17.5,컨버터블,123500
포르쉐,Macan,2015,340,20,SUV,49900
포르쉐,911,2015,400,22,쿠페,116200
벤틀리,Mulsanne,2015,505,14.5,세단,303700
포르쉐,Boxster,2015,315,24,컨버터블,63300
페라리,458 Italia,2015,597,15,쿠페,291744
페라리,360,2003,400,12.5,쿠페,143860
포르쉐,Panamera,2015,570,19.5,세단,180300
벤틀리,Continental GT,2016,582,16.5,쿠페,214600
벤틀리,Continental Supersports,2011,621,15.5,쿠페,267000
페라리,360,2004,400,12.5,쿠페,157767
포르쉐,944,1991,208,19.5,해치백,3047
페라리,360,2004,425,12.5,쿠페,187124
페라리,360,2002,400,12.5,컨버터블,160829
포르쉐,Macan,2016,340,20,SUV,52600
벤틀리,Continental Flying Spur Speed,2011,600,13.5,세단,206600
포르쉐,911,2017,420,24,쿠페,122600
포르쉐,Panamera,2016,420,22,세단,98300
마세라티,GranTurismo,2016,454,17,쿠페,165627
벤틀리,Continental,2001,420,12.5,쿠페,309900
포르쉐,911,2015,400,23,컨버터블,110800
롤스로이스,Ghost Series II,2015,563,17,세단,319400
애스턴마틴,Vanquish,2016,568,17,컨버터블,320695
포르쉐,911,2015,560,20.5,컨버터블,194600
벤틀리,Continental,2001,420,12.5,쿠페,319900
벤틀리,Continental GT,2016,626,16.5,쿠페,239400
애스턴마틴,V8 Vantage,2014,420,16,컨버터블,131200
페라리,599,2009,611,13,쿠페,310543
마세라티,Levante,2017,345,17,SUV,72000
마세라티,GranSport,2006,401,14.5,쿠페,104122
포르쉐,911,2016,430,22,쿠페,114200
애스턴마틴,V8 Vantage,2014,420,17.5,컨버터블,136900
마이바흐,57,2010,604,13,세단,405500
애스턴마틴,V8 Vantage,2014,430,16,쿠페,130700
페라리,612 Scaglietti,2010,532,12.5,쿠페,313088
람보르기니,Aventador,2014,720,13,컨버터블,548800
애스턴마틴,V8 Vantage,2016,430,16,컨버터블,148795
포르쉐,Cayenne,2016,300,21.5,SUV,58300
포르쉐,911,2016,400,22,쿠페,117530
람보르기니,Gallardo,2014,550,16,컨버터블,209500
포르쉐,Cayenne,2015,420,20.5,SUV,74100
롤스로이스,Ghost,2012,563,16.5,세단,250000
포르쉐,911,2015,520,20.5,컨버터블,163000
포르쉐,Cayenne,2015,520,17.5,SUV,113600
마세라티,Quattroporte,2017,404,19.5,세단,109500
마세라티,Quattroporte,2016,404,19.5,세단,107900
애스턴마틴,V8 Vantage,2016,430,16,컨버터블,117800
벤틀리,Flying Spur,2015,616,16,세단,215800
애스턴마틴,DB9 GT,2016,540,16,쿠페,198250
벤틀리,Arnage,2009,450,12,세단,224990
람보르기니,Gallardo,2012,550,16,쿠페,187900
포르쉐,911,2015,430,22,쿠페,114200
포르쉐,Cayman,2015,325,24,쿠페,63800
페라리,360,2003,400,12.5,쿠페,154090
애스턴마틴,DB9,2015,510,16,컨버터블,203295
람보르기니,Gallardo,2014,570,16.5,컨버터블,251600
벤틀리,Continental GTC,2014,567,16,컨버터블,218500
애스턴마틴,Virage,2012,490,15.5,쿠페,208295
람보르기니,Huracan,2016,610,17.5,쿠페,238500
페라리,FF,2014,651,13.5,쿠페,295000
애스턴마틴,Rapide S,2015,552,18,세단,203995
애스턴마틴,V12 Vanquish,2004,460,14.5,쿠페,234260
애스턴마틴,DB9,2014,510,16,쿠페,185800
마이바흐,Landaulet,2012,620,13,컨버터블,1382750
마세라티,GranTurismo Convertible,2015,454,16.5,컨버터블,182009
애스턴마틴,V8 Vantage,2016,430,17.5,쿠페,109000
포르쉐,911,2015,400,22,쿠페,105630
롤스로이스,Ghost Series II,2015,563,17,세단,286750
마세라티,Ghibli,2015,345,20,세단,69800
애스턴마틴,V8 Vantage,2015,430,16,컨버터블,132495
