월,시간대,기온,습도,풍속,자외선,강우량,강설량,임대_건수
01월,15시,1.7,20,4.4,0.91,0,0,113
01월,16시,1.5,22,3,0.76,0,0,117
01월,17시,1.3,23,2.9,0.51,0,0,118
01월,18시,0.3,27,2.6,0.18,0,0,129
01월,19시,-0.8,24,2.3,0.01,0,0,138
01월,20시,-1.3,28,2.4,0,0,0,124
01월,21시,-1.9,26,2.2,0,0,0,117
01월,22시,-2.6,28,2,0,0,0,107
01월,23시,-3.4,33,2.4,0,0,0,84
01월,24시,-3.8,35,2.3,0,0,0,84
01월,1시,-4.3,38,1.4,0,0,0,57
01월,2시,-5,42,1.2,0,0,0,36
01월,3시,-5.5,43,2,0,0,0,16
01월,4시,-6.1,45,1.3,0,0,0,26
01월,5시,-6.1,45,2.3,0,0,0,50
01월,6시,-6.4,47,2.4,0,0,0,68
01월,7시,-6.7,48,2.4,0,0,0,82
01월,8시,-6.9,48,2.4,0,0,0,92
01월,9시,-7,49,1.5,0,0,0,111
01월,10시,-6.8,44,1.7,0.16,0,0,129
01월,11시,-5.6,38,2.9,0.55,0,0,123
01월,12시,-4.5,36,3.2,0.77,0,0,117
01월,13시,-3.4,32,3.1,1.02,0,0,127
01월,14시,-2.2,31,2.3,1.13,0,0,123
01월,15시,-1.5,30,2.8,1.1,0,0,124
01월,16시,-1.1,29,2.8,0.96,0,0,114
01월,17시,-0.4,30,2,0.62,0,0,123
01월,18시,-1.9,35,1.8,0.25,0,0,131
01월,19시,-3.1,39,2.1,0,0,0,130
01월,20시,-3.7,41,2,0,0,0,119
01월,21시,-3.9,44,2.5,0,0,0,102
01월,22시,-4.3,47,2.8,0,0,0,87
01월,23시,-5.2,53,1.3,0,0,0,85
01월,24시,-5.9,54,0.8,0,0,0,89
01월,1시,-6.3,54,1.4,0,0,0,46
01월,2시,-6.9,56,2.3,0,0,0,14
01월,3시,-7.3,57,2,0,0,0,6
01월,4시,-7.4,54,1.7,0,0,0,16
01월,5시,-7.5,55,1.3,0,0,0,54
01월,6시,-7.6,49,1.3,0,0,0,77
01월,7시,-7.6,47,2.3,0,0,0,82
01월,8시,-8.1,51,0.5,0,0,0,109
01월,9시,-8.6,55,0.6,0,0,0,115
01월,10시,-7.9,48,1.2,0.14,0,0,130
01월,11시,-6.4,43,1,0.43,0,0,138
01월,12시,-4.4,40,0.8,0.69,0,0,143
01월,13시,-2.9,33,0.9,0.92,0,0,149
01월,14시,-2,32,1,0.91,0,0,139
01월,15시,-0.8,32,1.4,0.78,0,0,141
01월,16시,-1.2,31,0.8,0.47,0,0,141
01월,17시,-1.4,34,1.8,0.3,0,0,129
01월,18시,-2.1,37,1.4,0.09,0,0,144
01월,19시,-2.6,38,1.4,0,0,0,147
01월,20시,-2.7,39,1.4,0,0,0,137
01월,21시,-2.8,39,1.7,0,0,0,121
01월,22시,-3.1,41,2,0,0,0,106
01월,23시,-3.6,46,1.3,0,0,0,97
01월,24시,-4,48,1.5,0,0,0,96
01월,1시,-4.7,52,1.8,0,0,0,53
01월,2시,-5.1,51,1.5,0,0,0,37
01월,3시,-5.3,52,1.6,0,0,0,27
01월,4시,-5.5,56,1.1,0,0,0,35
01월,5시,-5.1,55,1.7,0,0,0,68
01월,6시,-5.1,55,1.5,0,0,0,87
01월,7시,-5.1,54,1.3,0,0,0,107
01월,8시,-5.3,53,1.1,0,0,0,120
01월,9시,-5.3,51,1,0,0,0,131
01월,10시,-4.7,49,1.2,0.12,0,0,142
01월,11시,-3.3,50,1.3,0.4,0,0,145
01월,12시,-0.7,45,1.5,0.76,0,0,142
01월,13시,-0.3,45,2.2,1.01,0,0,145
01월,14시,0.9,43,2,0.98,0,0,139
01월,15시,1.4,41,2,0.99,0,0,146
01월,16시,1.5,34,2.8,0.84,0,0,119
01월,17시,1,34,2.9,0.61,0,0,112
01월,18시,-0.6,45,3.3,0.24,0,0,115
01월,19시,-1.8,44,2.2,0.01,0,0,134
01월,20시,-2.5,49,0.6,0,0,0,144
01월,21시,-3.4,51,1.1,0,0,0,127
01월,22시,-3.5,53,0.9,0,0,0,119
01월,23시,-3.8,53,1.3,0,0,0,100
01월,24시,-3.6,50,1.9,0,0,0,95
01월,1시,-4.3,52,1.6,0,0,0,62
01월,2시,-4.8,54,1.2,0,0,0,45
01월,3시,-5.5,56,1.4,0,0,0,30
01월,4시,-5.6,56,1,0,0,0,38
01월,5시,-5.9,61,1.1,0,0,0,70
01월,6시,-6.1,64,1,0,0,0,90
01월,7시,-6.5,67,0.7,0,0,0,107
01월,8시,-6.6,65,1,0,0,0,112
01월,9시,-6.5,62,1.1,0,0,0,120
01월,10시,-5.8,49,1.4,0.16,0,0,135
01월,11시,-3.5,39,2,0.54,0,0,131
01월,12시,-1.6,35,2.1,0.87,0,0,132
01월,13시,0,35,2.3,1.07,0,0,139
01월,14시,0.9,28,2.4,1.18,0,0,127
01월,15시,1.8,29,2,1.14,0,0,141
01월,16시,2.3,27,2.2,0.92,0,0,127
01월,17시,2.7,27,2.2,0.64,0,0,129
01월,18시,1.1,31,1.7,0.26,0,0,138
01월,19시,-0.6,37,1.6,0.01,0,0,144
01월,20시,-1.2,37,1.2,0,0,0,141
01월,21시,-2.1,41,1.1,0,0,0,130
01월,22시,-2.5,47,0.8,0,0,0,122
01월,23시,-2.6,47,1.6,0,0,0,98
01월,24시,-3.2,50,0.8,0,0,0,105
01월,1시,-3.8,48,0.7,0,0,0,69
01월,2시,-3.9,51,0.2,0,0,0,54
01월,3시,-4.4,53,0.3,0,0,0,40
01월,4시,-4.8,56,0.6,0,0,0,41
01월,5시,-5.1,60,0.7,0,0,0,75
01월,6시,-5.6,58,0.7,0,0,0,95
01월,7시,-5.5,52,0.7,0,0,0,111
01월,8시,-5.6,58,0.9,0,0,0,118
01월,9시,-5.3,53,1.1,0,0,0,128
01월,10시,-3.8,49,1.6,0.18,0,0,142
01월,11시,-1.8,40,1.8,0.48,0,0,143
01월,12시,0.5,35,1.4,0.75,0,0,147
01월,13시,1.1,34,0.9,0.6,0,0,161
01월,14시,1.4,34,0.8,0.5,0,0,153
01월,15시,1.9,32,0.7,0.41,0,0,161
01월,16시,2.7,31,0.9,0.43,0,0,146
01월,17시,2.6,32,1,0.27,0,0,149
01월,18시,2.3,33,0.2,0.13,0,0,165
01월,19시,1.8,34,1.2,0,0,0,158
01월,20시,1.6,35,1,0,0,0,151
01월,21시,1.3,38,0.4,0,0,0,146
01월,22시,1.2,39,0.6,0,0,0,134
01월,23시,1.1,40,0.5,0,0,0,120
01월,24시,1.1,39,0.6,0,0,0,118
01월,1시,0.9,42,1.1,0,0,0,78
01월,2시,0.9,42,0.2,0,0,0,67
01월,3시,0.8,42,0.5,0,0,0,55
01월,4시,0.9,43,0.4,0,0,0,61
01월,5시,1,43,0.8,0,0,0,91
01월,6시,0.8,42,1,0,0,0,107
01월,7시,0.8,45,0.7,0,0,0,126
01월,8시,0.7,44,0.8,0,0,0,134
01월,9시,0.7,45,0.7,0,0,0,145
01월,10시,0.8,47,0.9,0.05,0,0,161
01월,11시,1.3,43,0.8,0.16,0,0,165
01월,12시,1.7,37,0.6,0.23,0,0,164
01월,13시,2.7,33,2.7,0.6,0,0,146
01월,14시,3,32,1.6,0.38,0,0,145
01월,15시,3.4,31,1.4,0.36,0,0,157
01월,16시,3.9,33,1.8,0.39,0,0,141
01월,17시,3.5,36,1.7,0.16,0,0,134
01월,18시,2.7,50,2.8,0.06,0,0,119
01월,19시,1.5,70,2.5,0,0,0,137
01월,20시,0.9,88,1.6,0,0,0.5,128
01월,21시,1,89,1.9,0,0,1,112
01월,22시,0.7,77,6.7,0,0.9,1,52
01월,23시,0.1,68,4.6,0,0,1,65
01월,24시,-0.6,62,4.2,0,0,1,70
01월,1시,-1.2,67,4.6,0,0,1,26
01월,2시,-1.9,69,5,0,0,1,2
01월,3시,-2.9,66,3.3,0,0,1,1
01월,4시,-3.4,67,3.2,0,0,0.9,8
01월,5시,-4.3,59,4.4,0,0,0.9,32
01월,6시,-5.1,48,3.2,0,0,0.9,62
01월,7시,-5.6,52,3.7,0,0,0.9,70
01월,8시,-5.9,57,3.1,0,0,0.8,86
01월,9시,-6,64,3.2,0,0,0.7,97
01월,10시,-6,61,2.5,0.13,0,0.6,118
01월,11시,-4.8,57,3,0.47,0,0.5,116
01월,12시,-3.9,51,4.5,0.73,0,0.5,95
01월,13시,-2.7,45,2.4,1.05,0,0.4,128
01월,14시,-2.6,45,4,1.11,0,0.3,102
01월,15시,-1.8,45,3.7,1.06,0,0.2,106
01월,16시,-2.4,51,4.6,0.46,0,0,93
01월,17시,-2.4,56,3.3,0.35,0,0,103
01월,18시,-2.9,66,3.6,0.23,0,0,115
01월,19시,-3.8,58,1.7,0.01,0,0,124
01월,20시,-4.5,57,0.6,0,0,0,126
01월,21시,-4.9,59,0.6,0,0,0,114
01월,22시,-4.8,59,0.9,0,0,0,101
01월,23시,-4.2,67,1.6,0,0,0,97
01월,24시,-4.9,80,0.7,0,0,0.2,98
01월,1시,-5.2,82,0.8,0,0.5,0.5,62
01월,2시,-5.6,75,1.7,0,0,0.8,11
01월,3시,-5.7,72,1.2,0,0,0.8,9
01월,4시,-6.1,70,1.1,0,0.3,0.8,14
01월,5시,-6.6,72,2.2,0,0,0.8,35
01월,6시,-7.3,75,1.6,0,0,0.8,59
01월,7시,-7.7,74,1.1,0,0,0.8,79
01월,8시,-8,70,1.8,0,0,0.7,83
01월,9시,-7.9,67,2.6,0,0,0.7,89
01월,10시,-7.7,62,3.6,0.13,0,0.7,101
01월,11시,-6.9,53,3.2,0.52,0,0.6,112
01월,12시,-6.4,49,4.5,0.86,0,0.5,92
01월,13시,-5.6,44,4.5,1.1,0,0.5,99
01월,14시,-5.1,43,4.7,1.18,0,0.4,86
01월,15시,-5.3,37,5.3,1.05,0,0.3,85
01월,16시,-5.3,33,4.8,0.99,0,0.3,83
01월,17시,-5.4,30,3.9,0.69,0,0.2,95
01월,18시,-6.5,34,4,0.31,0,0,101
01월,19시,-7.8,32,4.5,0.02,0,0,100
01월,20시,-8.5,35,2.9,0,0,0,105
01월,21시,-8.9,41,2.3,0,0,0,98
01월,22시,-9.4,47,2,0,0,0,87
01월,23시,-9.7,51,2.8,0,0,0,60
01월,24시,-10.2,53,3.3,0,0,0,53
01월,1시,-10.3,54,2.4,0,0,0,27
01월,2시,-10.6,55,2.9,0,0,0,1
01월,3시,-10.9,57,2.7,0,0,0,-7
01월,4시,-11.2,59,2.9,0,0,0,-5
01월,5시,-11.5,57,2.3,0,0,0,37
01월,6시,-11.9,61,1.8,0,0,0,62
01월,7시,-12,61,2.3,0,0,0,73
01월,8시,-12.3,59,2.3,0,0,0,82
01월,9시,-12.6,61,1.6,0,0,0,101
01월,10시,-12,53,2.6,0.16,0,0,107
01월,11시,-11.1,46,3.7,0.48,0,0,102
01월,12시,-10.2,41,3.5,0.84,0,0,104
01월,13시,-8.6,40,2.6,1.11,0,0,120
01월,14시,-8.6,41,3.4,1.2,0,0,103
01월,15시,-7.4,38,3.3,1.15,0,0,110
01월,16시,-8.3,42,3.8,0.93,0,0,91
01월,17시,-8.2,39,2.8,0.63,0,0,103
01월,18시,-9.3,43,2.8,0.28,0,0,107
01월,19시,-10.4,43,2.3,0.02,0,0,114
01월,20시,-10.9,44,3,0,0,0,94
01월,21시,-11.6,49,1.8,0,0,0,95
01월,22시,-12.4,51,2.2,0,0,0,77
01월,23시,-12.9,52,2.8,0,0,0,53
01월,24시,-13.2,51,1.5,0,0,0,68
01월,1시,-13.6,49,1.6,0,0,0,31
01월,2시,-13.7,47,3,0,0,0,-3
01월,3시,-13.8,43,2.6,0,0,0,-7
01월,4시,-14.1,45,1.8,0,0,0,5
01월,5시,-14.3,45,2,0,0,0,37
01월,6시,-14.6,45,1.1,0,0,0,66
01월,7시,-14.9,45,2.3,0,0,0,67
01월,8시,-15.1,45,0.9,0,0,0,92
01월,9시,-15.1,44,1.2,0,0,0,99
01월,10시,-14.9,40,1.2,0.16,0,0,117
01월,11시,-13,37,2.2,0.59,0,0,112
01월,12시,-11.2,31,2.4,0.94,0,0,112
01월,13시,-9.6,27,2,1.17,0,0,126
01월,14시,-8.2,29,2,1.19,0,0,118
01월,15시,-7.2,28,2.3,1.14,0,0,121
01월,16시,-6.5,26,2.4,0.96,0,0,112
01월,17시,-5.8,21,1.1,0.66,0,0,130
01월,18시,-6.5,22,1.5,0.28,0,0,135
01월,19시,-7.5,28,2,0.02,0,0,130
01월,20시,-8.2,32,1.1,0,0,0,127
01월,21시,-7.9,31,1.4,0,0,0,114
01월,22시,-7.4,33,1.4,0,0,0,104
01월,23시,-6.9,39,1.6,0,0,0,85
01월,24시,-6.7,36,1.3,0,0,0,94
01월,1시,-6.6,39,1.6,0,0,0,52
01월,2시,-6.5,45,0.5,0,0,0,40
01월,3시,-6.4,40,0.9,0,0,0,28
01월,4시,-6.5,42,0.7,0,0,0,34
01월,5시,-6.4,46,0.8,0,0,0,66
01월,6시,-6.3,51,0.8,0,0,0,84
01월,7시,-6.4,59,0.6,0,0,0,116
01월,8시,-6.5,68,0.6,0,0,0,124
01월,9시,-6.5,72,0.8,0,0,0.2,128
01월,10시,-6.3,76,0.6,0.05,0.2,0.4,145
01월,11시,-5.5,72,0.7,0.29,0,0.6,136
01월,12시,-4.8,70,1,0.21,0,0.6,132
01월,13시,-3.7,66,1.1,0.45,0.2,0.4,141
01월,14시,-2.5,62,1.4,0.66,0,0,133
01월,15시,-1.8,62,0.7,0.55,0,0,148
01월,16시,-1.5,62,0.9,0.28,0,0,137
01월,17시,-1.2,63,0.9,0.19,0,0,138
01월,18시,-1.4,68,1,0.11,0,0,145
01월,19시,-2.6,73,1,0.01,0,0,147
01월,20시,-3.3,76,0.8,0,0,0,137
01월,21시,-3.9,78,1.1,0,0,0,122
01월,22시,-4.1,79,0.7,0,0,0,116
01월,23시,-4.3,81,0.4,0,0,0,104
01월,24시,-4.4,81,0.7,0,0,0,100
01월,1시,-4.4,81,0.7,0,0,0,65
01월,2시,-3.7,79,0.9,0,0,0,45
01월,3시,-3.5,78,1,0,0,0,35
01월,4시,-3.6,78,1.6,0,0,0,33
01월,5시,-4,79,1.2,0,0,0,71
01월,6시,-4.2,79,1.2,0,0,0,91
01월,7시,-4.3,79,1.1,0,0,0,107
01월,8시,-4.4,80,1.4,0,0,0,113
01월,9시,-3.8,79,0.8,0,0,0,131
01월,10시,-3.4,77,1.6,0.12,0,0,139
01월,11시,-2.1,72,1.7,0.34,0,0,141
01월,12시,-0.5,64,0.7,0.49,0,0,152
01월,13시,1.2,58,0.8,0.74,0,0,160
01월,14시,3,52,1.4,0.9,0,0,148
01월,15시,3.7,53,0.6,0.74,0,0,162
01월,16시,4.6,50,0.9,0.62,0,0,149
01월,17시,5.3,49,1.8,0.43,0,0,138
01월,18시,4.5,51,1.1,0.17,0,0,151
01월,19시,4.1,53,1.3,0,0,0,155
01월,20시,3.9,54,1.1,0,0,0,147
01월,21시,3.5,55,1,0,0,0,137
01월,22시,3.1,58,0.4,0,0,0,134
01월,23시,2.8,60,0.6,0,0,0,117
01월,24시,2.7,60,0.6,0,0,0,117
01월,1시,3,60,0.5,0,0,0,83
01월,2시,3,62,0.9,0,0,0,58
01월,3시,3.6,65,0.9,0,0,0,45
01월,4시,4.4,70,1.7,0,0,0,40
01월,5시,4.9,73,1.8,0,0,0,73
01월,6시,5,76,1.9,0,0,0,91
01월,7시,4.9,83,3,0,0,0,92
01월,8시,4.4,87,1,0,0,0,123
01월,9시,4.1,85,1.1,0,0,0,132
01월,10시,3.9,86,1.7,0.11,0.2,0,140
01월,11시,4.2,82,2.2,0.22,0,0,136
01월,12시,4.7,75,2.3,0.54,0,0,133
01월,13시,6.2,64,1.9,0.79,0,0,148
01월,14시,6.1,61,2.3,0.91,0,0,135
01월,15시,7.1,52,2.1,0.76,0,0,147
01월,16시,7.4,38,1.7,0.63,0,0,147
01월,17시,7.5,37,0.9,0.48,0,0,157
01월,18시,6.5,40,0.8,0.23,0,0,166
01월,19시,5.2,44,1.3,0,0,0,165
01월,20시,4.4,53,1.2,0,0,0,152
01월,21시,3.7,58,1.3,0,0,0,138
01월,22시,3.4,59,0.8,0,0,0,133
01월,23시,3,61,1.6,0,0,0,108
01월,24시,2.4,63,0.6,0,0,0,118
01월,1시,1.8,67,1.2,0,0,0,74
01월,2시,1.2,64,0.7,0,0,0,60
01월,3시,0.5,72,0.7,0,0,0,46
01월,4시,0.3,70,0.6,0,0,0,53
01월,5시,0.8,65,0.7,0,0,0,89
01월,6시,1.1,64,0.5,0,0,0,112
01월,7시,1.2,69,0.6,0,0,0,124
01월,8시,1.1,69,0.6,0,0,0,134
01월,9시,1.2,68,0.6,0,0,0,145
01월,10시,1.9,65,0.8,0.06,0,0,159
01월,11시,2.7,60,0.5,0.18,0,0,166
01월,12시,3.9,57,0.8,0.28,0,0,160
01월,13시,5.2,52,1.2,0.45,0,0,163
01월,14시,5.8,47,0.8,0.53,0,0,160
01월,15시,6.5,43,0.8,0.52,0,0,167
01월,16시,6.3,40,0.3,0.19,0,0,164
01월,17시,5.8,50,0.9,0.11,0,0,152
01월,18시,5.2,58,0.8,0.08,0,0,160
01월,19시,4.9,59,1.4,0,0,0,158
01월,20시,4.6,57,1,0,0,0,153
01월,21시,4.5,58,0.8,0,0,0,145
01월,22시,4.3,56,0.7,0,0,0,137
01월,23시,4,57,0.3,0,0,0,125
01월,24시,3.9,60,0.9,0,0,0,117
01월,1시,3.5,62,0.4,0,0,0,87
01월,2시,3.3,64,0.4,0,0,0,66
01월,3시,3.1,65,0.8,0,0,0,51
01월,4시,3,67,0.8,0,0,0,55
01월,5시,3,68,0.5,0,0,0,92
01월,6시,2.9,66,0.8,0,0,0,110
01월,7시,2.7,71,1.1,0,0,0,119
01월,8시,2.5,71,0.9,0,0,0,131
01월,9시,2.6,70,0.6,0,0,0,145
01월,10시,3,66,0.7,0.12,0,0,161
01월,11시,4.3,58,0.5,0.23,0,0,168
01월,12시,6,51,1,0.55,0,0,161
01월,13시,8.1,51,1.4,0.75,0,0,162
01월,14시,8,54,1.8,0.57,0,0,146
01월,15시,7.7,54,2.6,0.58,0,0,143
01월,16시,8.5,49,1.3,0.73,0,0,149
01월,17시,8.3,54,1.2,0.44,0,0,148
01월,18시,7.2,57,3.3,0.19,0,0,134
01월,19시,5.2,62,2.9,0.01,0,0,139
01월,20시,4.2,68,2.4,0,0,0,132
01월,21시,3.5,72,1.7,0,0,0,127
01월,22시,3.1,74,1.1,0,0,0,123
01월,23시,2.8,74,0.5,0,0,0,114
01월,24시,2.7,74,0.8,0,0,0,111
01월,1시,2.7,73,1,0,0,0,74
01월,2시,3.2,72,1.9,0,0,0,45
01월,3시,3.3,73,1.2,0,0,0,43
01월,4시,3.6,74,1.7,0,0,0,42
01월,5시,3.3,80,2.1,0,0,0,69
01월,6시,2.6,82,2,0,0,0,89
01월,7시,2.2,82,2,0,0,0,104
01월,8시,1.5,86,1.1,0,0,0,121
01월,9시,1.1,86,1.2,0,0,0,130
01월,10시,1.2,84,2.1,0.07,0,0,136
01월,11시,1.4,81,2.1,0.21,0,0,137
01월,12시,1.8,75,1.8,0.35,0,0,138
01월,13시,2.5,72,2.4,0,0,0,139
01월,14시,3.5,54,3.2,0.68,0,0,128
01월,15시,4.4,42,2.3,0.72,0,0,148
01월,16시,4.2,36,2.3,0.57,0,0,139
01월,17시,3.6,42,2.4,0.29,0,0,136
01월,18시,2.8,46,2.1,0.14,0,0,147
01월,19시,2,39,2.1,0.01,0,0,150
01월,20시,1.5,41,1,0,0,0,151
01월,21시,1.1,44,1.2,0,0,0,138
01월,22시,0.8,45,1.5,0,0,0,123
01월,23시,0.7,45,2,0,0,0,104
01월,24시,0.6,47,2.3,0,0,0,100
01월,1시,0.3,45,1.8,0,0,0,70
01월,2시,0,43,1.7,0,0,0,51
01월,3시,-0.3,44,1.7,0,0,0,39
01월,4시,-0.6,43,1.7,0,0,0,44
01월,5시,-0.7,45,1.4,0,0,0,82
01월,6시,-1.4,47,1.4,0,0,0,100
01월,7시,-1.8,49,1.4,0,0,0,112
01월,8시,-2,49,1.9,0,0,0,118
01월,9시,-2.5,50,1,0,0,0,136
01월,10시,-2.1,42,1.3,0.17,0,0,148
01월,11시,0,29,1.3,0.52,0,0,155
01월,12시,2.2,20,0.6,0.83,0,0,160
01월,13시,4.3,28,1.5,0.98,0,0,151
01월,14시,4.7,26,2.6,1.11,0,0,139
01월,15시,4.7,24,3.6,1.08,0,0,131
01월,16시,5.4,25,2.4,0.9,0,0,132
01월,17시,4.9,27,2.8,0.65,0,0,127
01월,18시,4.1,34,3.1,0.28,0,0,127
01월,19시,2.9,45,1.6,0.04,0,0,147
01월,20시,2,48,1.8,0,0,0,134
01월,21시,1.2,51,0.6,0,0,0,135
01월,22시,0.5,52,0.8,0,0,0,121
01월,23시,0,56,0.8,0,0,0,104
01월,24시,-0.5,59,0.9,0,0,0,102
01월,1시,-0.6,60,0.6,0,0,0,71
01월,2시,-0.9,64,0.4,0,0,0,53
01월,3시,-0.9,65,0.6,0,0,0,39
01월,4시,-0.9,65,0.2,0,0,0,48
01월,5시,-0.7,65,0.6,0,0,0,81
01월,6시,-0.3,62,0.6,0,0,0,108
01월,7시,-0.1,60,0.4,0,0,0,124
01월,8시,0.2,60,0.3,0,0,0,134
01월,9시,0.3,63,0.4,0,0,0,142
01월,10시,0.9,63,0.9,0.07,0,0,152
01월,11시,2.1,60,1.2,0.3,0,0,152
01월,12시,3.7,59,1.8,0.51,0,0,142
01월,13시,5.3,55,2.6,0.85,0,0,142
01월,14시,6.3,55,3,0.85,0,0,129
01월,15시,5.9,61,3.2,0.52,0,0,130
01월,16시,6.3,55,3,0.68,0,0,127
01월,17시,6.6,42,3,0.48,0,0,134
01월,18시,5.7,53,1.8,0.22,0,0,152
01월,19시,4.6,55,3.2,0.03,0,0,140
01월,20시,3.5,66,1.7,0,0,0,141
01월,21시,2.9,66,1.2,0,0,0,136
01월,22시,2.1,48,2.8,0,0,0,116
01월,23시,1.5,48,2.4,0,0,0,105
01월,24시,0.8,53,1.7,0,0,0,110
01월,1시,-0.3,60,1.9,0,0,0,68
01월,2시,-0.8,58,0.4,0,0,0,65
01월,3시,-1.5,63,1,0,0,0,45
01월,4시,-2,60,0.5,0,0,0,56
01월,5시,-2.3,47,0.7,0,0,0,91
01월,6시,-2.6,49,1.1,0,0,0,104
01월,7시,-3.1,54,1.4,0,0,0,113
01월,8시,-3.2,54,1.2,0,0,0,124
01월,9시,-3.6,53,0.5,0,0,0,140
01월,10시,-3.2,46,0.8,0.15,0,0,157
01월,11시,-1.3,37,0.8,0.47,0,0,164
01월,12시,1.9,25,1,0.78,0,0,159
01월,13시,3.9,30,1.6,0.91,0,0,162
01월,14시,4.9,22,2,1,0,0,147
01월,15시,5.4,18,1.2,0.96,0,0,153
01월,16시,5.4,20,2.2,0.8,0,0,132
01월,17시,4.7,17,2.1,0.55,0,0,132
01월,18시,3.8,20,1.3,0.24,0,0,150
01월,19시,2.5,24,2,0.02,0,0,144
01월,20시,1.3,25,1.3,0,0,0,141
01월,21시,0.3,27,0.4,0,0,0,139
01월,22시,-0.1,29,0.5,0,0,0,126
01월,23시,-0.3,32,0.7,0,0,0,107
01월,24시,-0.4,32,0.6,0,0,0,108
01월,1시,-0.2,30,0.4,0,0,0,77
01월,2시,-0.2,32,0.7,0,0,0,52
01월,3시,-0.2,33,1.4,0,0,0,34
01월,4시,-0.3,31,0.3,0,0,0,52
01월,5시,0,32,0.4,0,0,0,86
01월,6시,0,32,0.7,0,0,0,103
01월,7시,0,33,0.4,0,0,0,120
01월,8시,-0.4,34,1,0,0,0,123
01월,9시,-0.7,32,0.5,0,0,0,139
01월,10시,0.1,33,0.8,0.06,0,0,153
01월,11시,1.1,31,0.7,0.25,0,0,156
01월,12시,2.4,27,0.9,0.47,0,0,154
01월,13시,3.9,28,0.9,0.6,0,0,167
01월,14시,3.9,33,0.6,0.19,0,0,161
01월,15시,3.3,73,0.4,0.11,0,0,153
01월,16시,3.6,69,1.8,0.17,0,0,131
01월,17시,2,87,1.9,0.03,0,0,122
01월,18시,1.3,93,1.2,0.03,0,0.2,136
01월,19시,1.1,96,3,0,3.3,1,115
01월,20시,-0.1,88,3.2,0,0,1,106
01월,21시,-0.8,85,2.9,0,0,1,98
01월,22시,-1.8,85,2.9,0,0,1,89
01월,23시,-3.2,81,3.9,0,0,1,64
01월,24시,-4.2,79,2.9,0,0,1,74
01월,1시,-5.3,77,3.8,0,0,1,26
01월,2시,-6,76,3.1,0,0,1,9
01월,3시,-7.5,65,3.9,0,0,1,-22
01월,4시,-8.6,68,3.3,0,0,1,-14
01월,5시,-9.5,49,4.3,0,0,1,18
01월,6시,-10.5,46,3,0,0,1,52
01월,7시,-11.5,47,3.2,0,0,1,62
01월,8시,-12.5,41,4.5,0,0,1,58
01월,9시,-13,41,4,0,0,1,73
01월,10시,-13.3,36,3.5,0.19,0,1,95
01월,11시,-12.1,34,3.5,0.62,0,1,99
01월,12시,-11.7,27,4,0.94,0,1,93
01월,13시,-11.3,27,3.7,1.18,0,1,101
01월,14시,-11,27,4,1.26,0,1,88
01월,15시,-10.4,30,4.3,1.22,0,1,89
01월,16시,-9.7,32,3.6,1.04,0,1,87
01월,17시,-10.1,34,4.3,0.74,0,1,78
01월,18시,-10.6,38,3.5,0.38,0,0.9,95
01월,19시,-11.5,43,2.4,0.05,0,0.9,108
01월,20시,-12,47,3.2,0,0,0.9,86
01월,21시,-12.5,52,3,0,0,0.9,75
01월,22시,-13.2,49,4.1,0,0,0.9,52
01월,23시,-13.9,45,4,0,0,0.9,39
01월,24시,-14.3,38,4,0,0,0.9,41
01월,1시,-14.6,34,3.9,0,0,0.9,9
