day,visitors,weekday
2020-04-03,477,6
2020-04-04,576,7
2020-04-05,565,1
2020-04-06,483,2
2020-04-07,482,3
2020-04-08,480,4
2020-04-09,477,5
2020-04-10,465,6
2020-04-11,575,7
2020-04-12,576,1
2020-04-13,471,2
2020-04-14,478,3
2020-04-15,483,4
2020-04-16,498,5
2020-04-17,481,6
2020-04-18,581,7
2020-04-19,578,1
2020-04-20,459,2
2020-04-21,478,3
2020-04-22,479,4
2020-04-23,502,5
2020-04-24,476,6
2020-04-25,580,7
2020-04-26,577,1
2020-04-27,465,2
2020-04-28,488,3
2020-04-29,484,4
2020-04-30,484,5
2020-05-01,467,6
2020-05-02,590,7
2020-05-03,561,1
2020-05-04,481,2
2020-05-05,497,3
2020-05-06,465,4
2020-05-07,469,5
2020-05-08,475,6
2020-05-09,569,7
2020-05-10,558,1
2020-05-11,474,2
2020-05-12,462,3
2020-05-13,477,4
2020-05-14,463,5
2020-05-15,487,6
2020-05-16,563,7
2020-05-17,568,1
2020-05-18,479,2
2020-05-19,458,3
2020-05-20,472,4
2020-05-21,482,5
2020-05-22,453,6
2020-05-23,570,7
2020-05-24,571,1
2020-05-25,475,2
2020-05-26,455,3
2020-05-27,454,4
2020-05-28,472,5
2020-05-29,469,6
2020-05-30,568,7
2020-05-31,569,1
2020-06-01,458,2
2020-06-02,466,3
2020-06-03,467,4
2020-06-04,456,5
2020-06-05,481,6
2020-06-06,567,7
2020-06-07,550,1
2020-06-08,468,2
2020-06-09,451,3
2020-06-10,468,4
2020-06-11,471,5
2020-06-12,451,6
2020-06-13,569,7
2020-06-14,563,1
2020-06-15,466,2
2020-06-16,476,3
2020-06-17,454,4
2020-06-18,449,5
2020-06-19,447,6
2020-06-20,547,7
2020-06-21,554,1
2020-06-22,458,2
2020-06-23,457,3
2020-06-24,462,4
2020-06-25,453,5
2020-06-26,467,6
2020-06-27,549,7
2020-06-28,578,1
2020-06-29,457,2
2020-06-30,442,3
2020-07-01,439,4
2020-07-02,454,5
2020-07-03,446,6
2020-07-04,555,7
2020-07-05,552,1
2020-07-06,446,2
2020-07-07,438,3
2020-07-08,431,4
2020-07-09,441,5
2020-07-10,454,6
2020-07-11,547,7
2020-07-12,532,1
2020-07-13,445,2
2020-07-14,447,3
2020-07-15,434,4
2020-07-16,444,5
2020-07-17,442,6
2020-07-18,530,7
2020-07-19,544,1
2020-07-20,446,2
2020-07-21,450,3
2020-07-22,450,4
2020-07-23,425,5
2020-07-24,429,6
2020-07-25,543,7
2020-07-26,542,1
2020-07-27,442,2
2020-07-28,475,3
2020-07-29,442,4
2020-07-30,447,5
2020-07-31,445,6
2020-08-01,541,7
2020-08-02,531,1
2020-08-03,441,2
2020-08-04,425,3
2020-08-05,430,4
2020-08-06,428,5
2020-08-07,433,6
2020-08-08,555,7
2020-08-09,512,1
2020-08-10,438,2
2020-08-11,414,3
2020-08-12,425,4
2020-08-13,440,5
2020-08-14,430,6
2020-08-15,518,7
2020-08-16,521,1
2020-08-17,435,2
2020-08-18,420,3
2020-08-19,430,4
2020-08-20,428,5
2020-08-21,420,6
2020-08-22,548,7
2020-08-23,532,1
2020-08-24,406,2
2020-08-25,427,3
2020-08-26,419,4
2020-08-27,433,5
2020-08-28,417,6
2020-08-29,523,7
2020-08-30,529,1
2020-08-31,433,2
2020-09-01,412,3
2020-09-02,420,4
2020-09-03,418,5
2020-09-04,416,6
2020-09-05,540,7
2020-09-06,527,1
2020-09-07,410,2
2020-09-08,431,3
2020-09-09,443,4
2020-09-10,432,5
2020-09-11,406,6
2020-09-12,517,7
2020-09-13,534,1
2020-09-14,414,2
2020-09-15,425,3
2020-09-16,429,4
2020-09-17,411,5
2020-09-18,420,6
2020-09-19,488,7
2020-09-20,510,1
2020-09-21,418,2
2020-09-22,408,3
2020-09-23,437,4
2020-09-24,406,5
2020-09-25,416,6
2020-09-26,521,7
2020-09-27,534,1
2020-09-28,406,2
2020-09-29,432,3
2020-09-30,420,4
2020-10-01,410,5
2020-10-02,425,6
2020-10-03,522,7
2020-10-04,514,1
2020-10-05,421,2
2020-10-06,416,3
2020-10-07,421,4
2020-10-08,427,5
2020-10-09,436,6
2020-10-10,508,7
2020-10-11,542,1
2020-10-12,401,2
2020-10-13,419,3
2020-10-14,427,4
2020-10-15,424,5
2020-10-16,415,6
2020-10-17,519,7
2020-10-18,517,1
2020-10-19,416,2
2020-10-20,430,3
2020-10-21,426,4
2020-10-22,415,5
2020-10-23,431,6
2020-10-24,526,7
2020-10-25,531,1
2020-10-26,429,2
2020-10-27,415,3
2020-10-28,418,4
2020-10-29,431,5
2020-10-30,430,6
2020-10-31,524,7
2020-11-01,526,1
2020-11-02,438,2
2020-11-03,419,3
2020-11-04,431,4
2020-11-05,424,5
2020-11-06,424,6
2020-11-07,537,7
2020-11-08,535,1
2020-11-09,435,2
2020-11-10,440,3
2020-11-11,428,4
2020-11-12,435,5
2020-11-13,425,6
2020-11-14,532,7
2020-11-15,528,1
2020-11-16,430,2
2020-11-17,436,3
2020-11-18,422,4
2020-11-19,451,5
2020-11-20,421,6
2020-11-21,519,7
2020-11-22,543,1
2020-11-23,440,2
2020-11-24,439,3
2020-11-25,439,4
2020-11-26,433,5
2020-11-27,425,6
2020-11-28,535,7
2020-11-29,528,1
2020-11-30,445,2
2020-12-01,434,3
2020-12-02,428,4
2020-12-03,433,5
2020-12-04,441,6
2020-12-05,532,7
2020-12-06,530,1
2020-12-07,441,2
2020-12-08,441,3
2020-12-09,434,4
2020-12-10,435,5
2020-12-11,443,6
2020-12-12,526,7
2020-12-13,527,1
2020-12-14,435,2
2020-12-15,440,3
2020-12-16,446,4
2020-12-17,458,5
2020-12-18,452,6
2020-12-19,543,7
2020-12-20,545,1
2020-12-21,435,2
2020-12-22,446,3
2020-12-23,444,4
2020-12-24,450,5
2020-12-25,439,6
2020-12-26,553,7
2020-12-27,564,1
2020-12-28,448,2
2020-12-29,454,3
2020-12-30,457,4
2020-12-31,447,5
2021-01-01,503,6
2021-01-02,601,7
2021-01-03,603,1
2021-01-04,494,2
2021-01-05,503,3
2021-01-06,508,4
2021-01-07,518,5
2021-01-08,514,6
2021-01-09,626,7
2021-01-10,597,1
2021-01-11,514,2
2021-01-12,508,3
2021-01-13,529,4
2021-01-14,499,5
2021-01-15,499,6
2021-01-16,602,7
2021-01-17,587,1
2021-01-18,504,2
2021-01-19,502,3
2021-01-20,512,4
2021-01-21,514,5
2021-01-22,530,6
2021-01-23,621,7
2021-01-24,606,1
2021-01-25,504,2
2021-01-26,518,3
2021-01-27,500,4
2021-01-28,532,5
2021-01-29,526,6
2021-01-30,610,7
2021-01-31,598,1
2021-02-01,529,2
2021-02-02,515,3
2021-02-03,529,4
2021-02-04,501,5
2021-02-05,511,6
2021-02-06,618,7
2021-02-07,619,1
2021-02-08,514,2
2021-02-09,525,3
2021-02-10,509,4
2021-02-11,518,5
2021-02-12,521,6
2021-02-13,626,7
2021-02-14,628,1
2021-02-15,510,2
2021-02-16,506,3
2021-02-17,535,4
2021-02-18,526,5
2021-02-19,515,6
2021-02-20,639,7
2021-02-21,625,1
2021-02-22,536,2
2021-02-23,525,3
2021-02-24,545,4
2021-02-25,542,5
2021-02-26,522,6
2021-02-27,635,7
2021-02-28,632,1
2021-03-01,539,2
2021-03-02,516,3
2021-03-03,533,4
2021-03-04,537,5
2021-03-05,509,6
2021-03-06,615,7
2021-03-07,607,1
2021-03-08,525,2
2021-03-09,535,3
2021-03-10,543,4
2021-03-11,529,5
2021-03-12,544,6
2021-03-13,615,7
2021-03-14,611,1
2021-03-15,528,2
2021-03-16,533,3
2021-03-17,529,4
2021-03-18,508,5
2021-03-19,528,6
2021-03-20,616,7
2021-03-21,636,1
2021-03-22,533,2
2021-03-23,520,3
2021-03-24,525,4
2021-03-25,519,5
2021-03-26,529,6
2021-03-27,639,7
2021-03-28,620,1
2021-03-29,535,2
2021-03-30,525,3
2021-03-31,522,4
2021-04-01,529,5
2021-04-02,520,6
2021-04-03,624,7
2021-04-04,618,1
2021-04-05,550,2
2021-04-06,530,3
2021-04-07,523,4
2021-04-08,532,5
2021-04-09,529,6
2021-04-10,627,7
2021-04-11,636,1
2021-04-12,537,2
2021-04-13,524,3
2021-04-14,524,4
2021-04-15,526,5
2021-04-16,506,6
2021-04-17,614,7
2021-04-18,642,1
2021-04-19,545,2
2021-04-20,526,3
2021-04-21,534,4
2021-04-22,531,5
2021-04-23,559,6
2021-04-24,639,7
2021-04-25,626,1
2021-04-26,518,2
2021-04-27,511,3
2021-04-28,529,4
2021-04-29,519,5
2021-04-30,512,6
2021-05-01,620,7
2021-05-02,615,1
2021-05-03,543,2
2021-05-04,534,3
2021-05-05,525,4
2021-05-06,540,5
2021-05-07,525,6
2021-05-08,616,7
2021-05-09,639,1
2021-05-10,529,2
2021-05-11,513,3
2021-05-12,521,4
2021-05-13,514,5
2021-05-14,508,6
2021-05-15,631,7
2021-05-16,641,1
2021-05-17,507,2
2021-05-18,526,3
2021-05-19,514,4
2021-05-20,515,5
2021-05-21,514,6
2021-05-22,611,7
2021-05-23,619,1
2021-05-24,510,2
2021-05-25,521,3
2021-05-26,517,4
2021-05-27,515,5
2021-05-28,508,6
2021-05-29,611,7
2021-05-30,623,1
2021-05-31,520,2
2021-06-01,505,3
2021-06-02,516,4
2021-06-03,522,5
2021-06-04,497,6
2021-06-05,619,7
2021-06-06,606,1
2021-06-07,518,2
2021-06-08,504,3
2021-06-09,493,4
2021-06-10,495,5
2021-06-11,511,6
2021-06-12,612,7
2021-06-13,600,1
2021-06-14,515,2
2021-06-15,492,3
2021-06-16,507,4
2021-06-17,495,5
2021-06-18,500,6
2021-06-19,607,7
2021-06-20,597,1
2021-06-21,502,2
2021-06-22,515,3
2021-06-23,499,4
2021-06-24,512,5
2021-06-25,492,6
2021-06-26,608,7
2021-06-27,617,1
2021-06-28,477,2
2021-06-29,493,3
2021-06-30,507,4
2021-07-01,498,5
2021-07-02,503,6
2021-07-03,593,7
2021-07-04,600,1
2021-07-05,497,2
2021-07-06,509,3
2021-07-07,500,4
2021-07-08,500,5
2021-07-09,492,6
2021-07-10,591,7
2021-07-11,591,1
2021-07-12,499,2
2021-07-13,490,3
2021-07-14,496,4
2021-07-15,514,5
2021-07-16,501,6
2021-07-17,589,7
2021-07-18,604,1
2021-07-19,487,2
2021-07-20,470,3
2021-07-21,480,4
2021-07-22,471,5
2021-07-23,486,6
2021-07-24,589,7
2021-07-25,605,1
2021-07-26,491,2
2021-07-27,485,3
2021-07-28,495,4
2021-07-29,464,5
2021-07-30,488,6
2021-07-31,593,7
2021-08-01,570,1
2021-08-02,496,2
2021-08-03,487,3
2021-08-04,479,4
2021-08-05,490,5
2021-08-06,505,6
2021-08-07,584,7
2021-08-08,584,1
2021-08-09,477,2
2021-08-10,473,3
2021-08-11,489,4
2021-08-12,472,5
2021-08-13,481,6
2021-08-14,575,7
2021-08-15,584,1
2021-08-16,482,2
2021-08-17,489,3
2021-08-18,473,4
2021-08-19,475,5
2021-08-20,468,6
2021-08-21,573,7
2021-08-22,581,1
2021-08-23,484,2
2021-08-24,467,3
2021-08-25,485,4
2021-08-26,489,5
2021-08-27,479,6
2021-08-28,594,7
2021-08-29,567,1
2021-08-30,462,2
2021-08-31,456,3
2021-09-01,489,4
2021-09-02,480,5
2021-09-03,473,6
2021-09-04,576,7
2021-09-05,562,1
2021-09-06,497,2
2021-09-07,474,3
2021-09-08,473,4
2021-09-09,479,5
2021-09-10,477,6
2021-09-11,574,7
2021-09-12,564,1
2021-09-13,476,2
2021-09-14,490,3
2021-09-15,485,4
2021-09-16,487,5
2021-09-17,466,6
2021-09-18,561,7
2021-09-19,569,1
2021-09-20,471,2
2021-09-21,481,3
2021-09-22,453,4
2021-09-23,486,5
2021-09-24,469,6
2021-09-25,566,7
2021-09-26,560,1
2021-09-27,454,2
2021-09-28,478,3
2021-09-29,471,4
2021-09-30,457,5
2021-10-01,457,6
2021-10-02,567,7
2021-10-03,587,1
2021-10-04,467,2
2021-10-05,455,3
2021-10-06,468,4
2021-10-07,467,5
2021-10-08,443,6
2021-10-09,570,7
2021-10-10,568,1
2021-10-11,477,2
2021-10-12,489,3
2021-10-13,482,4
2021-10-14,468,5
2021-10-15,460,6
2021-10-16,597,7
2021-10-17,572,1
2021-10-18,471,2
2021-10-19,471,3
2021-10-20,474,4
2021-10-21,470,5
2021-10-22,466,6
2021-10-23,567,7
2021-10-24,572,1
2021-10-25,467,2
2021-10-26,466,3
2021-10-27,474,4
2021-10-28,471,5
2021-10-29,489,6
2021-10-30,547,7
2021-10-31,585,1
2021-11-01,487,2
2021-11-02,454,3
2021-11-03,471,4
2021-11-04,471,5
2021-11-05,461,6
2021-11-06,568,7
2021-11-07,565,1
2021-11-08,494,2
2021-11-09,486,3
2021-11-10,490,4
2021-11-11,484,5
2021-11-12,466,6
2021-11-13,573,7
2021-11-14,583,1
2021-11-15,466,2
2021-11-16,486,3
2021-11-17,477,4
2021-11-18,476,5
2021-11-19,487,6
2021-11-20,585,7
2021-11-21,577,1
2021-11-22,493,2
2021-11-23,471,3
2021-11-24,488,4
2021-11-25,489,5
2021-11-26,480,6
2021-11-27,587,7
2021-11-28,571,1
2021-11-29,494,2
2021-11-30,483,3
2021-12-01,480,4
2021-12-02,496,5
2021-12-03,479,6
2021-12-04,572,7
2021-12-05,571,1
2021-12-06,494,2
2021-12-07,475,3
2021-12-08,506,4
2021-12-09,468,5
2021-12-10,506,6
2021-12-11,592,7
2021-12-12,589,1
2021-12-13,485,2
2021-12-14,495,3
2021-12-15,491,4
2021-12-16,503,5
2021-12-17,494,6
2021-12-18,595,7
2021-12-19,590,1
2021-12-20,494,2
2021-12-21,498,3
2021-12-22,478,4
2021-12-23,482,5
2021-12-24,504,6
2021-12-25,599,7
2021-12-26,596,1
2021-12-27,498,2
2021-12-28,502,3
2021-12-29,494,4
2021-12-30,492,5
2021-12-31,502,6
2022-01-01,641,7
2022-01-02,655,1
2022-01-03,535,2
2022-01-04,562,3
2022-01-05,557,4
2022-01-06,556,5
2022-01-07,563,6
2022-01-08,671,7
2022-01-09,665,1
2022-01-10,537,2
2022-01-11,543,3
2022-01-12,550,4
2022-01-13,557,5
2022-01-14,562,6
2022-01-15,650,7
2022-01-16,660,1
2022-01-17,551,2
2022-01-18,553,3
2022-01-19,546,4
2022-01-20,551,5
2022-01-21,547,6
2022-01-22,651,7
2022-01-23,672,1
2022-01-24,553,2
2022-01-25,589,3
2022-01-26,568,4
2022-01-27,565,5
2022-01-28,555,6
2022-01-29,671,7
2022-01-30,659,1
2022-01-31,566,2
2022-02-01,591,3
2022-02-02,565,4
2022-02-03,578,5
2022-02-04,560,6
2022-02-05,667,7
2022-02-06,686,1
2022-02-07,562,2
2022-02-08,587,3
2022-02-09,576,4
2022-02-10,564,5
2022-02-11,576,6
2022-02-12,680,7
2022-02-13,677,1
2022-02-14,555,2
2022-02-15,564,3
2022-02-16,569,4
2022-02-17,571,5
2022-02-18,579,6
2022-02-19,675,7
2022-02-20,660,1
2022-02-21,577,2
2022-02-22,580,3
2022-02-23,580,4
2022-02-24,585,5
2022-02-25,583,6
2022-02-26,680,7
2022-02-27,675,1
2022-02-28,559,2
2022-03-01,580,3
2022-03-02,578,4
2022-03-03,579,5
2022-03-04,564,6
2022-03-05,666,7
2022-03-06,688,1
2022-03-07,577,2
2022-03-08,584,3
2022-03-09,578,4
2022-03-10,578,5
2022-03-11,587,6
2022-03-12,673,7
2022-03-13,679,1
2022-03-14,574,2
2022-03-15,574,3
2022-03-16,576,4
2022-03-17,581,5
2022-03-18,574,6
2022-03-19,692,7
2022-03-20,670,1
2022-03-21,578,2
2022-03-22,575,3
2022-03-23,594,4
2022-03-24,582,5
2022-03-25,590,6
2022-03-26,665,7
2022-03-27,683,1
2022-03-28,589,2
2022-03-29,581,3
2022-03-30,591,4
2022-03-31,575,5
2022-04-01,594,6
2022-04-02,703,7
2022-04-03,676,1
2022-04-04,576,2
2022-04-05,594,3
2022-04-06,596,4
2022-04-07,575,5
2022-04-08,576,6
2022-04-09,677,7
2022-04-10,666,1
2022-04-11,570,2
2022-04-12,569,3
2022-04-13,572,4
2022-04-14,579,5
2022-04-15,582,6
2022-04-16,695,7
2022-04-17,669,1
2022-04-18,589,2
2022-04-19,576,3
2022-04-20,578,4
2022-04-21,585,5
2022-04-22,567,6
2022-04-23,682,7
2022-04-24,679,1
2022-04-25,582,2
2022-04-26,580,3
2022-04-27,602,4
2022-04-28,570,5
2022-04-29,571,6
2022-04-30,670,7
2022-05-01,671,1
2022-05-02,570,2
2022-05-03,588,3
2022-05-04,590,4
2022-05-05,569,5
2022-05-06,566,6
2022-05-07,679,7
2022-05-08,669,1
2022-05-09,580,2
2022-05-10,576,3
2022-05-11,558,4
2022-05-12,588,5
2022-05-13,591,6
2022-05-14,666,7
2022-05-15,668,1
2022-05-16,574,2
2022-05-17,575,3
2022-05-18,577,4
2022-05-19,591,5
2022-05-20,568,6
2022-05-21,662,7
2022-05-22,655,1
2022-05-23,562,2
2022-05-24,568,3
2022-05-25,586,4
2022-05-26,562,5
2022-05-27,569,6
2022-05-28,667,7
2022-05-29,678,1
2022-05-30,591,2
2022-05-31,560,3
2022-06-01,560,4
2022-06-02,575,5
2022-06-03,571,6
2022-06-04,682,7
2022-06-05,669,1
2022-06-06,559,2
2022-06-07,568,3
2022-06-08,573,4
2022-06-09,570,5
2022-06-10,566,6
2022-06-11,671,7
2022-06-12,672,1
2022-06-13,573,2
2022-06-14,565,3
2022-06-15,557,4
2022-06-16,559,5
2022-06-17,569,6
2022-06-18,649,7
2022-06-19,660,1
2022-06-20,552,2
2022-06-21,556,3
2022-06-22,568,4
2022-06-23,556,5
2022-06-24,554,6
2022-06-25,640,7
2022-06-26,660,1
2022-06-27,559,2
2022-06-28,573,3
2022-06-29,548,4
2022-06-30,553,5
2022-07-01,553,6
2022-07-02,666,7
2022-07-03,648,1
2022-07-04,551,2
2022-07-05,554,3
2022-07-06,550,4
2022-07-07,543,5
2022-07-08,549,6
2022-07-09,657,7
2022-07-10,635,1
2022-07-11,546,2
2022-07-12,538,3
2022-07-13,556,4
2022-07-14,528,5
2022-07-15,538,6
2022-07-16,646,7
2022-07-17,658,1
2022-07-18,541,2
2022-07-19,536,3
2022-07-20,559,4
2022-07-21,526,5
2022-07-22,518,6
2022-07-23,644,7
2022-07-24,634,1
2022-07-25,528,2
2022-07-26,545,3
2022-07-27,540,4
2022-07-28,531,5
2022-07-29,524,6
2022-07-30,645,7
2022-07-31,642,1
2022-08-01,534,2
2022-08-02,553,3
2022-08-03,523,4
2022-08-04,518,5
2022-08-05,526,6
2022-08-06,632,7
2022-08-07,635,1
2022-08-08,530,2
2022-08-09,535,3
2022-08-10,519,4
2022-08-11,545,5
2022-08-12,530,6
2022-08-13,641,7
2022-08-14,633,1
2022-08-15,534,2
2022-08-16,535,3
2022-08-17,533,4
2022-08-18,535,5
2022-08-19,541,6
2022-08-20,629,7
2022-08-21,634,1
2022-08-22,526,2
2022-08-23,541,3
2022-08-24,519,4
2022-08-25,544,5
2022-08-26,525,6
2022-08-27,611,7
2022-08-28,626,1
2022-08-29,518,2
2022-08-30,533,3
2022-08-31,518,4
2022-09-01,519,5
2022-09-02,505,6
2022-09-03,619,7
2022-09-04,599,1
2022-09-05,507,2
2022-09-06,530,3
2022-09-07,530,4
2022-09-08,527,5
2022-09-09,512,6
2022-09-10,621,7
2022-09-11,622,1
2022-09-12,510,2
2022-09-13,536,3
2022-09-14,530,4
2022-09-15,519,5
2022-09-16,521,6
2022-09-17,623,7
2022-09-18,600,1
2022-09-19,518,2
2022-09-20,514,3
2022-09-21,510,4
2022-09-22,518,5
2022-09-23,538,6
2022-09-24,627,7
2022-09-25,614,1
2022-09-26,526,2
2022-09-27,534,3
2022-09-28,529,4
2022-09-29,521,5
2022-09-30,514,6
2022-10-01,627,7
2022-10-02,624,1
2022-10-03,529,2
2022-10-04,526,3
2022-10-05,531,4
2022-10-06,515,5
2022-10-07,533,6
2022-10-08,622,7
2022-10-09,641,1
2022-10-10,513,2
2022-10-11,538,3
2022-10-12,523,4
2022-10-13,514,5
2022-10-14,516,6
2022-10-15,618,7
2022-10-16,625,1
2022-10-17,526,2
2022-10-18,516,3
2022-10-19,521,4
2022-10-20,543,5
2022-10-21,539,6
2022-10-22,626,7
2022-10-23,623,1
2022-10-24,524,2
2022-10-25,529,3
2022-10-26,513,4
2022-10-27,520,5
2022-10-28,507,6
2022-10-29,627,7
2022-10-30,630,1
2022-10-31,519,2
2022-11-01,540,3
2022-11-02,512,4
2022-11-03,510,5
2022-11-04,527,6
2022-11-05,636,7
2022-11-06,642,1
2022-11-07,521,2
2022-11-08,537,3
2022-11-09,526,4
2022-11-10,525,5
2022-11-11,536,6
2022-11-12,634,7
2022-11-13,612,1
2022-11-14,543,2
2022-11-15,542,3
2022-11-16,523,4
2022-11-17,533,5
2022-11-18,535,6
2022-11-19,633,7
2022-11-20,625,1
2022-11-21,524,2
2022-11-22,531,3
2022-11-23,543,4
2022-11-24,538,5
2022-11-25,529,6
2022-11-26,641,7
2022-11-27,605,1
2022-11-28,545,2
2022-11-29,517,3
2022-11-30,531,4
2022-12-01,524,5
2022-12-02,523,6
2022-12-03,648,7
2022-12-04,632,1
2022-12-05,540,2
2022-12-06,537,3
2022-12-07,543,4
2022-12-08,539,5
2022-12-09,526,6
2022-12-10,649,7
2022-12-11,635,1
2022-12-12,525,2
2022-12-13,537,3
2022-12-14,556,4
2022-12-15,550,5
2022-12-16,539,6
2022-12-17,639,7
2022-12-18,640,1
2022-12-19,565,2
2022-12-20,548,3
2022-12-21,549,4
2022-12-22,556,5
2022-12-23,548,6
2022-12-24,644,7
2022-12-25,645,1
2022-12-26,547,2
2022-12-27,548,3
2022-12-28,556,4
2022-12-29,549,5
2022-12-30,557,6
