velocity,spin_rate,구종
78.04493179,2598.880796,커브
77.34421057,2562.175922,커브
80.56328759,2244.752953,커브
81.7212056,1910.387734,체인지업
82.92018815,2365.229803,슬라이더
80.61079926,1664.45525,커브
79.69127466,1729.097904,체인지업
81.43372221,1844.947391,체인지업
75.30825815,2349.521311,커브
76.19875853,2721.344612,커브
88.47192761,2455.757548,슬라이더
85.729922,2303.224565,직구
86.51785718,2474.058091,슬라이더
85.69297695,2548.254671,슬라이더
80.43249296,1905.811833,체인지업
76.47455044,2720.903065,커브
94.06105123,2251.504769,직구
95.34273656,2188.526356,슬라이더
94.85597976,2363.24113,직구
92.78733005,1875.873266,직구
78.65348953,2947.779933,커브
84.09741425,1912.185786,체인지업
78.00041413,2420.24319,커브
95.45491987,2117.77796,직구
88.82806271,2571.204735,직구
86.12781824,2360.009806,슬라이더
78.49634239,1995.325914,체인지업
96.04388313,2128.155578,직구
85.95408165,2591.370718,슬라이더
78.78483193,2602.854614,커브
77.38407694,2341.345408,커브
94.07316461,2257.089051,직구
96.42800099,2215.039379,직구
85.87264734,2480.526895,슬라이더
95.51510078,2254.709738,직구
79.99556596,1631.734131,체인지업
92.5583127,2263.391902,직구
76.76469621,2382.550812,커브
82.70730921,2203.680015,슬라이더
97.90706815,2218.334201,직구
77.01672763,2801.502738,커브
94.62868205,2194.047464,직구
93.70976049,2213.074058,직구
83.42921958,1782.719826,체인지업
87.09419661,2744.259493,슬라이더
93.36837943,2249.799829,직구
85.10389177,2625.773616,슬라이더
96.86256024,2151.576593,직구
83.49207082,2720.675549,체인지업
81.8868362,2847.899431,슬라이더
95.5009857,2231.090757,직구
80.76471665,1792.43344,체인지업
81.66283185,2294.529553,슬라이더
94.92834792,2316.316375,직구
80.27922998,1842.544486,체인지업
93.96345956,2076.21845,직구
94.53172609,2106.217496,슬라이더
82.07125024,2416.961764,직구
