Date,Sentiment,Sales
2023-04-10,0.63,402.91
2023-04-11,0.56,393.75
2023-04-12,0.59,442.84
2023-04-13,0.57,433.27
2023-04-14,0.52,432.18
2023-04-15,0.52,416.69
2023-04-16,0.52,381.98
2023-04-17,0.56,412.35
2023-04-18,0.45,405.61
2023-04-19,0.42,357.22
2023-04-20,0.38,374.17
2023-04-21,0.27,352.84
2023-04-22,0.66,376.54
2023-04-23,0.65,336.97
2023-04-24,0.77,333.29
2023-04-25,0.65,300.84
2023-04-26,0.69,255.2
2023-04-27,0.69,423.86
2023-04-28,0.65,441.21
2023-04-29,0.5,476.79
2023-04-30,0.51,432.21
2023-05-01,0.54,448.58
2023-05-02,0.49,481.42
2023-05-03,0.63,424.76
2023-05-04,0.52,355.12
2023-05-05,0.64,342.31
2023-05-06,0.74,364.67
2023-05-07,0.59,353.69
2023-05-08,0.62,441.99
2023-05-09,0.65,391.42
2023-05-10,0.62,415.83
2023-05-11,0.55,474.55
2023-05-12,0.61,407.96
2023-05-13,0.54,392.36
2023-05-14,0.58,436.87
2023-05-15,0.49,423.24
2023-05-16,0.58,396.83
2023-05-17,0.43,410.87
2023-05-18,0.42,355.68
2023-05-19,0.45,370.36
2023-05-20,0.33,351.5
2023-05-21,0.38,406.79
2023-05-22,0.42,332.72
2023-05-23,0.27,322.95
2023-05-24,0.36,321.51
2023-05-25,0.37,271.99
2023-05-26,0.41,277.23
2023-05-27,0.33,303.72
2023-05-28,0.35,236.71
2023-05-29,0.47,293.27
2023-05-30,0.48,294.78
2023-05-31,0.51,316.77
2023-06-01,0.55,260.33
2023-06-02,0.53,277.77
2023-06-03,0.6,342.69
2023-06-04,0.63,350.62
2023-06-05,0.59,376.46
2023-06-06,0.74,412.98
2023-06-07,0.67,363.97
2023-06-08,0.59,391.12
2023-06-09,0.68,418.21
2023-06-10,0.58,416.74
2023-06-11,0.65,473.42
2023-06-12,0.65,469.62
2023-06-13,0.52,413.67
2023-06-14,0.58,443.47
2023-06-15,0.52,384.59
2023-06-16,0.51,430.26
2023-06-17,0.53,414.43
2023-06-18,0.4,369.2
2023-06-19,0.35,421.78
2023-06-20,0.33,375.5
2023-06-21,0.32,380.99
2023-06-22,0.35,359.03
2023-06-23,0.37,293.34
2023-06-24,0.37,262.23
2023-06-25,0.41,272.29
2023-06-26,0.39,282.69
2023-06-27,0.48,292.83
2023-06-28,0.43,309.45
2023-06-29,0.6,282.71
2023-06-30,0.53,307.23
2023-07-01,0.49,290.55
2023-07-02,0.51,354.97
2023-07-03,0.61,334.88
2023-07-04,0.6,427.18
2023-07-05,0.67,368.52
2023-07-06,0.67,340.23
2023-07-07,0.65,346.29
2023-07-08,0.61,405.34
2023-07-09,0.57,410.47
2023-07-10,0.61,457.2
2023-07-11,0.65,443.98
2023-07-12,0.6,420.7
2023-07-13,0.5,430.29
2023-07-14,0.54,372.09
2023-07-15,0.52,414.08
2023-07-16,0.42,437.26
2023-07-17,0.45,419.62
2023-07-18,0.41,369
2023-07-19,0.33,380.36
2023-07-20,0.39,369.93
2023-07-21,0.39,308.23
2023-07-22,0.4,337.28
2023-07-23,0.4,323.21
2023-07-24,0.29,289.7
2023-07-25,0.32,308.92
2023-07-26,0.41,304.97
2023-07-27,0.44,296.62
2023-07-28,0.46,298.88
2023-07-29,0.66,236.49
2023-07-30,0.53,285.23
2023-07-31,0.59,326.01
2023-08-01,0.61,340.82
2023-08-02,0.62,345.11
2023-08-03,0.6,439.06
2023-08-04,0.67,389.92
2023-08-05,0.6,393.96
2023-08-06,0.64,408.7
2023-08-07,0.62,434.38
2023-08-08,0.65,393.3
2023-08-09,0.75,449.9
2023-08-10,0.52,405
2023-08-11,0.62,410.1
2023-08-12,0.48,420.86
2023-08-13,0.51,435.12
2023-08-14,0.55,473.86
2023-08-15,0.47,373.64
2023-08-16,0.39,398.05
2023-08-17,0.38,350.18
2023-08-18,0.42,358.33
2023-08-19,0.33,372.97
2023-08-20,0.37,352.96
2023-08-21,0.35,299.14
2023-08-22,0.32,299.77
2023-08-23,0.46,331.46
2023-08-24,0.4,267.31
2023-08-25,0.29,285.51
2023-08-26,0.42,274.95
2023-08-27,0.41,266.91
2023-08-28,0.51,348.37
2023-08-29,0.46,315.58
2023-08-30,0.53,263.05
2023-08-31,0.59,312.06
2023-09-01,0.63,305.51
2023-09-02,0.55,352.81
2023-09-03,0.61,327.09
2023-09-04,0.62,391.97
2023-09-05,0.62,420.22
2023-09-06,0.74,455.35
2023-09-07,0.66,373.4
2023-09-08,0.57,407.25
2023-09-09,0.66,412.9
2023-09-10,0.69,430.75
2023-09-11,0.61,484.12
2023-09-12,0.46,442.19
2023-09-13,0.48,412.6
2023-09-14,0.53,433.98
2023-09-15,0.4,459.02
2023-09-16,0.43,419.02
2023-09-17,0.43,340.26
2023-09-18,0.62,356.97
2023-09-19,0.65,384.96
2023-09-20,0.49,319.09
2023-09-21,0.6,334.45
2023-09-22,0.64,309.12
2023-09-23,0.61,418.39
2023-09-24,0.77,429.3
2023-09-25,0.34,355.61
2023-09-26,0.42,422.64
2023-09-27,0.48,420.54
2023-09-28,0.57,433.62
2023-09-29,0.46,476.94
2023-09-30,0.62,275.54
2023-10-01,0.59,333.83
2023-10-02,0.56,350.56
2023-10-03,0.65,386.5
2023-10-04,0.65,343.39
2023-10-05,0.62,410.35
2023-10-06,0.65,375.73
2023-10-07,0.62,390.18
2023-10-08,0.64,442.58
2023-10-09,0.64,459.6
2023-10-10,0.67,422.22
2023-10-11,0.5,428.83
2023-10-12,0.64,417.49
2023-10-13,0.4,421.41
2023-10-14,0.46,437.98
2023-10-15,0.47,462.19
2023-10-16,0.43,383.92
2023-10-17,0.36,445.88
2023-10-18,0.36,328.03
2023-10-19,0.33,334.42
2023-10-20,0.32,340.74
2023-10-21,0.39,307.86
2023-10-22,0.38,294.02
2023-10-23,0.34,303.3
2023-10-24,0.43,308.12
2023-10-25,0.43,277.58
2023-10-26,0.48,308.11
2023-10-27,0.5,295.17
2023-10-28,0.46,270.36
2023-10-29,0.5,323.78
2023-10-30,0.6,349.51
2023-10-31,0.62,354.91
2023-11-01,0.61,356.41
2023-11-02,0.94,346.99
2023-11-03,1,368.72
2023-11-04,0.92,402.21
2023-11-05,0.98,420.38
2023-11-06,0.93,431.31
2023-11-07,0.92,586.06
2023-11-08,0.97,612.07
2023-11-09,0.63,579.86
2023-11-10,0.6,600.24
2023-11-11,0.6,587.27
2023-11-12,0.5,562.73
2023-11-13,0.5,601.8
2023-11-14,0.42,443.13
2023-11-15,0.43,411.83
2023-11-16,0.38,416.26
2023-11-17,0.37,369.02
2023-11-18,0.39,353.85
2023-11-19,0.31,328.22
2023-11-20,0.46,352.54
2023-11-21,0.31,334.95
2023-11-22,0.31,315.52
2023-11-23,0.45,311.45
2023-11-24,0.45,253.02
2023-11-25,0.47,339.89
2023-11-26,0.5,275.54
2023-11-27,0.5,276.91
2023-11-28,0.49,343.57
2023-11-29,0.56,333.83
2023-11-30,0.55,330.03
2023-12-01,0.66,337.59
2023-12-02,0.62,364.42
2023-12-03,0.6,361.44
2023-12-04,0.63,402.23
2023-12-05,0.67,400.49
2023-12-06,0.61,453.51
2023-12-07,0.59,422.29
2023-12-08,0.62,394.59
2023-12-09,0.6,434.97
2023-12-10,0.54,455.1
2023-12-11,0.51,434.91
2023-12-12,0.51,429.77
2023-12-13,0.4,425.33
2023-12-14,0.37,425.36
2023-12-15,0.38,374.08
2023-12-16,0.38,372.34
2023-12-17,0.39,380.65
2023-12-18,0.43,313.18
2023-12-19,0.39,316.69
2023-12-20,0.34,313.21
2023-12-21,0.36,302.59
2023-12-22,0.32,299.88
2023-12-23,0.39,324.68
2023-12-24,0.4,322.83
2023-12-25,0.46,302.91
2023-12-26,0.43,306.2
2023-12-27,0.53,267.4
2023-12-28,0.61,312.46
2023-12-29,0.56,314.29
2023-12-30,0.61,360.9
2023-12-31,0.65,342.68
2024-01-01,0.61,370.06
2024-01-02,0.65,432.75
2024-01-03,0.65,418.59
2024-01-04,0.65,424.42
2024-01-05,0.6,434.98
2024-01-06,0.63,424.61
2024-01-07,0.64,439.26
2024-01-08,0.66,456.1
2024-01-09,0.61,452.93
2024-01-10,0.64,424.85
2024-01-11,0.46,438.26
2024-01-12,0.51,417.97
2024-01-13,0.45,454.27
2024-01-14,0.52,419.16
2024-01-15,0.35,448.8
2024-01-16,0.33,345.56
2024-01-17,0.33,386.8
2024-01-18,0.24,353.3
2024-01-19,0.32,364.92
2024-01-20,0.32,274.34
2024-01-21,0.38,286.08
2024-01-22,0.41,305.35
2024-01-23,0.51,236.91
2024-01-24,0.49,274.94
2024-01-25,0.44,270.26
2024-01-26,0.46,290.36
2024-01-27,0.56,306.37
2024-01-28,0.49,351.48
2024-01-29,0.68,376.61
2024-01-30,0.67,352.82
2024-01-31,0.61,334.64
2024-02-01,0.56,407.92
2024-02-02,0.72,374.41
2024-02-03,0.64,444.44
2024-02-04,0.7,466.84
2024-02-05,0.55,425.31
2024-02-06,0.58,410.11
2024-02-07,0.59,474.52
2024-02-08,0.56,459.68
2024-02-09,0.51,459.77
2024-02-10,0.53,388.79
2024-02-11,0.42,404.17
2024-02-12,0.43,441
2024-02-13,0.42,430.7
2024-02-14,0.41,395.44
2024-02-15,0.41,391.3
2024-02-16,0.3,312.27
2024-02-17,0.27,337
2024-02-18,0.41,329.5
2024-02-19,0.37,348.77
2024-02-20,0.33,344.5
2024-02-21,0.47,269.2
2024-02-22,0.42,263.05
2024-02-23,0.5,325.32
2024-02-24,0.47,272.37
2024-02-25,0.6,295.35
2024-02-26,0.62,357.59
2024-02-27,0.55,330.8
2024-02-28,0.64,366.03
2024-02-29,0.64,351.6
2024-03-01,0.7,417.82
2024-03-02,0.59,409.3
2024-03-03,0.68,397.53
2024-03-04,0.7,453.36
2024-03-05,0.55,471.69
2024-03-06,0.57,464.24
2024-03-07,0.51,410.92
2024-03-08,0.57,456.21
2024-03-09,0.6,476.36
2024-03-10,0.61,396.02
2024-03-11,0.5,426.93
2024-03-12,0.55,366.93
2024-03-13,0.37,401
2024-03-14,0.33,419.49
2024-03-15,0.39,401.24
2024-03-16,0.39,354.29
2024-03-17,0.36,391.89
2024-03-18,0.25,322.62
2024-03-19,0.35,276.27
2024-03-20,0.29,321.12
2024-03-21,0.4,322.89
2024-03-22,0.41,288.45
2024-03-23,0.36,234.57
2024-03-24,0.41,299.6
2024-03-25,0.42,274.41
2024-03-26,0.5,347.94
2024-03-27,0.58,319.2
2024-03-28,0.51,300.16
2024-03-29,0.61,321.61
2024-03-30,0.58,319.02
2024-03-31,0.59,342.47
2024-04-01,0.64,418.48
2024-04-02,0.6,397.46
2024-04-03,0.62,441.7
2024-04-04,0.58,414.64
2024-04-05,0.73,397.4
2024-04-06,0.61,437.84
2024-04-07,0.55,416.07
2024-04-08,0.57,445.25
2024-04-09,0.53,425.55
2024-04-10,0.49,481.9
2024-04-11,0.5,416.65
2024-04-12,0.48,393.74
2024-04-13,0.39,399.23
2024-04-14,0.36,377.83
2024-04-15,0.36,366.57
2024-04-16,0.24,380.02
2024-04-17,0.28,382.05
2024-04-18,0.42,306.7
2024-04-19,0.44,293.68
2024-04-20,0.36,295.12
2024-04-21,0.42,233.61
2024-04-22,0.43,251.57
2024-04-23,0.59,332.97
2024-04-24,0.52,350.55
2024-04-25,0.49,299.36
2024-04-26,0.48,330
2024-04-27,0.48,330.95
2024-04-28,0.6,419.52
2024-04-29,0.57,388.37
2024-04-30,0.56,389.65
2024-05-01,0.61,361.15
2024-05-02,0.6,349.25
2024-05-03,0.73,419.49
2024-05-04,0.69,390.13
2024-05-05,0.63,428.04
2024-05-06,0.69,438.33
2024-05-07,0.59,435.38
2024-05-08,0.52,487.67
2024-05-09,0.61,460.58
2024-05-10,0.53,425.49
2024-05-11,0.42,454.3
2024-05-12,0.43,427.2
2024-05-13,0.37,387.2
2024-05-14,0.32,448.55
2024-05-15,0.42,419.44
2024-05-16,0.45,326.23
2024-05-17,0.28,331.61
2024-05-18,0.38,305.15
2024-05-19,0.32,303.01
2024-05-20,0.35,340.44
2024-05-21,0.36,353.17
2024-05-22,0.37,257.47
2024-05-23,0.44,309.97
2024-05-24,0.43,273.62
2024-05-25,0.51,310.65
2024-05-26,0.53,322.7
2024-05-27,0.55,307.39
2024-05-28,0.54,349
2024-05-29,0.58,344.41
2024-05-30,0.67,392.14
2024-05-31,0.67,380.96
2024-06-01,0.6,386.09
2024-06-02,0.65,396.71
2024-06-03,0.68,418.8
2024-06-04,0.55,475.61
2024-06-05,0.64,457.15
2024-06-06,0.56,416.81
2024-06-07,0.59,455.09
2024-06-08,0.49,450.81
2024-06-09,0.41,385.01
2024-06-10,0.39,454.39
2024-06-11,0.44,410.01
2024-06-12,0.42,430.62
2024-06-13,0.34,371.8
2024-06-14,0.4,321.31
2024-06-15,0.27,311.84
2024-06-16,0.35,339.94
2024-06-17,0.29,347.71
2024-06-18,0.32,316.92
2024-06-19,0.37,322.37
2024-06-20,0.35,259.54
2024-06-21,0.39,301.24
2024-06-22,0.49,269.27
2024-06-23,0.44,302.42
2024-06-24,0.54,315.37
2024-06-25,0.47,291.25
2024-06-26,0.59,329.75
2024-06-27,0.66,371.09
2024-06-28,0.49,351.12
2024-06-29,0.59,402.21
2024-06-30,0.67,370.02
2024-07-01,0.64,436.57
2024-07-02,0.67,465.35
2024-07-03,0.61,363.54
2024-07-04,0.63,419.37
2024-07-05,0.6,463.38
2024-07-06,0.65,445.86
2024-07-07,0.57,469.86
2024-07-08,0.55,437.47
2024-07-09,0.48,451.96
2024-07-10,0.44,438.82
2024-07-11,0.42,441.32
2024-07-12,0.43,399.86
2024-07-13,0.37,397.14
2024-07-14,0.38,375.31
2024-07-15,0.46,356.09
2024-07-16,0.39,334.9
2024-07-17,0.33,340.91
2024-07-18,0.42,309.64
2024-07-19,0.35,312.71
2024-07-20,0.29,353.45
2024-07-21,0.36,330.75
2024-07-22,0.35,303.54
2024-07-23,0.45,349.55
2024-07-24,0.5,307.23
2024-07-25,0.62,279.01
2024-07-26,0.58,313.89
2024-07-27,0.58,281.67
2024-07-28,0.65,351.77
2024-07-29,0.52,387.36
2024-07-30,0.65,443.38
2024-07-31,0.69,439.8
2024-08-01,0.58,415.41
2024-08-02,0.7,437.62
2024-08-03,0.65,386.82
2024-08-04,0.59,458.98
2024-08-05,0.62,483.82
2024-08-06,0.67,444.6
2024-08-07,0.54,486.97
2024-08-08,0.51,445.29
2024-08-09,0.45,395.35
2024-08-10,0.4,429.78
2024-08-11,0.45,479.73
2024-08-12,0.35,406.5
2024-08-13,0.37,373.05
2024-08-14,0.33,351.83
2024-08-15,0.37,333.44
2024-08-16,0.37,352.03
2024-08-17,0.41,286.34
2024-08-18,0.34,310.93
2024-08-19,0.38,300.24
2024-08-20,0.36,320.36
2024-08-21,0.42,297.69
2024-08-22,0.49,337.86
2024-08-23,0.54,305.12
2024-08-24,0.49,294.56
2024-08-25,0.6,323.99
2024-08-26,0.66,345.33
2024-08-27,0.63,396.04
2024-08-28,0.72,403.89
2024-08-29,0.6,369.86
2024-08-30,0.59,426.57
2024-08-31,0.56,442.66
2024-09-01,0.72,458.47
2024-09-02,0.66,488.98
2024-09-03,0.61,438.26
2024-09-04,0.6,433.65
2024-09-05,0.5,401.34
2024-09-06,0.65,487.46
2024-09-07,0.51,468
2024-09-08,0.47,445.27
2024-09-09,0.48,420.39
2024-09-10,0.44,394.28
2024-09-11,0.4,472.31
2024-09-12,0.33,366.72
2024-09-13,0.38,365.68
2024-09-14,0.44,367.6
2024-09-15,0.42,336.97
2024-09-16,0.44,347.22
2024-09-17,0.34,309.01
2024-09-18,0.34,332.6
2024-09-19,0.41,339.81
2024-09-20,0.44,332.2
2024-09-21,0.52,325.08
2024-09-22,0.42,281
2024-09-23,0.61,310.3
2024-09-24,0.55,355.13
2024-09-25,0.57,359.41
2024-09-26,0.56,388.49
2024-09-27,0.55,327.81
2024-09-28,0.68,418.39
2024-09-29,0.65,406.19
2024-09-30,0.58,427.35
2024-10-01,0.58,417.78
2024-10-02,0.61,417.43
2024-10-03,0.69,471.58
2024-10-04,0.58,451.94
2024-10-05,0.49,425.56
2024-10-06,0.52,415.88
2024-10-07,0.49,453.22
2024-10-08,0.33,485.65
2024-10-09,0.44,427.68
2024-10-10,0.4,364.53
2024-10-11,0.42,373.04
2024-10-12,0.46,368.78
2024-10-13,0.41,280.68
2024-10-14,0.34,355.59
2024-10-15,0.3,326.48
2024-10-16,0.49,356.5
2024-10-17,0.37,370.18
2024-10-18,0.39,321.25
2024-10-19,0.41,298
2024-10-20,0.45,289.64
2024-10-21,0.46,392.8
2024-10-22,0.47,331.42
2024-10-23,0.5,339.34
2024-10-24,0.56,327.58
2024-10-25,0.56,348.68
2024-10-26,0.58,351.51
2024-10-27,0.64,361.57
2024-10-28,0.63,393.4
2024-10-29,0.72,426.26
2024-10-30,0.52,429.87
2024-10-31,0.7,419.68
2024-11-01,0.69,447.78
2024-11-02,0.51,447.22
2024-11-03,0.57,522.66
2024-11-04,0.54,381.68
2024-11-05,0.46,485.19
2024-11-06,0.46,498.93
2024-11-07,0.41,379.84
2024-11-08,0.53,418.48
2024-11-09,0.46,399.6
2024-11-10,0.45,385.41
2024-11-11,0.41,361.24
2024-11-12,0.3,362.66
2024-11-13,0.32,419.24
2024-11-14,0.38,348.98
2024-11-15,0.3,358.33
2024-11-16,0.41,319.87
2024-11-17,0.38,285.05
2024-11-18,0.39,301.9
2024-11-19,0.47,307.77
2024-11-20,0.49,291.15
2024-11-21,0.48,334.47
2024-11-22,0.59,327.85
2024-11-23,0.51,329.44
2024-11-24,0.62,394.83
2024-11-25,0.64,389.1
2024-11-26,0.61,384.42
2024-11-27,0.66,431.87
2024-11-28,0.59,379.59
2024-11-29,0.7,412.56
2024-11-30,0.63,445.49
2024-12-01,0.6,421.53
2024-12-02,0.66,476.87
2024-12-03,0.55,425.76
2024-12-04,0.49,478.24
2024-12-05,0.45,440.87
2024-12-06,0.53,425.34
2024-12-07,0.4,459.51
2024-12-08,0.53,422.67
2024-12-09,0.31,382.74
2024-12-10,0.47,376.68
2024-12-11,0.38,432.3
2024-12-12,0.35,337.38
2024-12-13,0.32,387.41
2024-12-14,0.37,273.91
2024-12-15,0.36,370.43
2024-12-16,0.43,325.03
2024-12-17,0.39,324.49
2024-12-18,0.42,303.01
2024-12-19,0.42,295.33
2024-12-20,0.47,303.75
2024-12-21,0.52,351.57
2024-12-22,0.45,329.18
2024-12-23,0.49,347.06
2024-12-24,0.63,342.53
2024-12-25,0.62,354.94
2024-12-26,0.62,397.92
2024-12-27,0.64,347.58
2024-12-28,0.67,383.05
2024-12-29,0.62,464.38
2024-12-30,0.6,463.49
2024-12-31,0.64,451.18
2025-01-01,0.56,464.13
2025-01-02,0.61,459.39
2025-01-03,0.48,430.91
2025-01-04,0.58,434.18
2025-01-05,0.52,448.28
2025-01-06,0.48,403.8
2025-01-07,0.49,442.01
2025-01-08,0.5,376.11
2025-01-09,0.44,439.15
2025-01-10,0.28,384.16
2025-01-11,0.29,375.16
2025-01-12,0.32,379.48
2025-01-13,0.35,404.79
2025-01-14,0.38,378.14
2025-01-15,0.33,292.38
2025-01-16,0.4,262.3
2025-01-17,0.37,289.46
2025-01-18,0.41,313.23
2025-01-19,0.4,332.88
2025-01-20,0.45,318.59
2025-01-21,0.46,346.82
2025-01-22,0.51,321.52
2025-01-23,0.64,320.55
2025-01-24,0.56,320.74
2025-01-25,0.76,383.63
2025-01-26,0.67,364.74
2025-01-27,0.66,382.18
2025-01-28,0.61,475.4
2025-01-29,0.68,432.84
2025-01-30,0.6,527.3
2025-01-31,0.62,466.67
2025-02-01,0.72,467.95
2025-02-02,0.56,459.68
2025-02-03,0.59,477.4
2025-02-04,0.46,439.12
2025-02-05,0.47,440.48
2025-02-06,0.53,489.44
2025-02-07,0.38,421.09
2025-02-08,0.48,430.24
2025-02-09,0.41,375.81
2025-02-10,0.33,361.71
2025-02-11,0.38,405.18
2025-02-12,0.4,314.87
2025-02-13,0.39,385.65
2025-02-14,0.29,347.6
2025-02-15,0.35,303.39
2025-02-16,0.4,320.2
2025-02-17,0.44,361.26
2025-02-18,0.5,340.38
2025-02-19,0.51,276.99
2025-02-20,0.46,301.15
2025-02-21,0.58,324.78
2025-02-22,0.62,349.46
2025-02-23,0.64,387.51
2025-02-24,0.68,387.38
2025-02-25,0.68,393.39
2025-02-26,0.67,432.19
2025-02-27,0.65,437.27
2025-02-28,0.56,460.53
2025-03-01,0.95,461.82
2025-03-02,0.92,465.44
2025-03-03,0.9,496.21
2025-03-04,0.8,491.15
2025-03-05,0.78,419.22
2025-03-06,0.85,610.64
2025-03-07,0.77,579.51
2025-03-08,0.47,582.96
2025-03-09,0.41,533.73
2025-03-10,0.39,535.31
2025-03-11,0.42,580.17
2025-03-12,0.33,516.83
2025-03-13,0.36,368.68
2025-03-14,0.33,318.99
2025-03-15,0.34,323.84
2025-03-16,0.35,347.82
2025-03-17,0.4,316.18
2025-03-18,0.39,330.31
2025-03-19,0.5,317.63
2025-03-20,0.42,288.52
2025-03-21,0.49,293.21
2025-03-22,0.51,337.84
2025-03-23,0.63,314.16
2025-03-24,0.6,401.19
2025-03-25,0.66,350.69
2025-03-26,0.56,406.15
2025-03-27,0.66,393.57
2025-03-28,0.69,445.59
2025-03-29,0.65,444.36
2025-03-30,0.7,461.85
2025-03-31,0.6,417.9
2025-04-01,0.68,466.19
2025-04-02,0.7,483.62
2025-04-03,0.54,464.07
2025-04-04,0.51,484.36
2025-04-05,0.57,445.07
2025-04-06,0.55,464.02
2025-04-07,0.41,499.01
2025-04-08,0.39,411.5
2025-04-09,0.37,398.19
2025-04-10,0.3,446.84
2025-04-11,0.31,408.62
2025-04-12,0.3,349.2
2025-04-13,0.31,356.67
2025-04-14,0.36,348.01
2025-04-15,0.38,298.46
2025-04-16,0.47,289.08
2025-04-17,0.36,287.52
2025-04-18,0.49,282.69
2025-04-19,0.46,296.69
2025-04-20,0.5,335.31
2025-04-21,0.56,385.55
2025-04-22,0.5,350.5
2025-04-23,0.61,386.97
2025-04-24,0.62,369.72
2025-04-25,0.65,374.61
2025-04-26,0.66,425.68
2025-04-27,0.77,393.54
2025-04-28,0.62,442.14
2025-04-29,0.62,461.96
2025-04-30,0.6,478.01
2025-05-01,0.58,469.32
2025-05-02,0.56,529.28
2025-05-03,0.62,429
2025-05-04,0.6,442.33
2025-05-05,0.47,456.34
2025-05-06,0.43,437.15
2025-05-07,0.46,427.74
2025-05-08,0.38,424.59
2025-05-09,0.42,461.47
2025-05-10,0.38,368.22
2025-05-11,0.28,368.59
2025-05-12,0.43,378.83
2025-05-13,0.44,349.16
2025-05-14,0.33,372.55
2025-05-15,0.35,340.69
2025-05-16,0.4,272.28
2025-05-17,0.43,348.28
2025-05-18,0.47,373.74
2025-05-19,0.57,337.95
2025-05-20,0.49,330.53
2025-05-21,0.49,368.87
2025-05-22,0.49,351.12
2025-05-23,0.55,379.38
2025-05-24,0.61,431.55
2025-05-25,0.72,385.23
2025-05-26,0.62,389.78
2025-05-27,0.66,411.08
2025-05-28,0.65,418.73
2025-05-29,0.7,435.58
2025-05-30,0.76,487.23
2025-05-31,0.58,439.26
2025-06-01,0.56,482.85
2025-06-02,0.61,481.3
2025-06-03,0.57,512.14
2025-06-04,0.59,530.93
2025-06-05,0.5,426.49
2025-06-06,0.42,423.42
2025-06-07,0.44,455.02
2025-06-08,0.44,432.94
2025-06-09,0.41,452.98
2025-06-10,0.38,395.63
2025-06-11,0.4,361.57
2025-06-12,0.41,352.79
2025-06-13,0.43,356.69
2025-06-14,0.4,326.09
2025-06-15,0.38,319.83
2025-06-16,0.42,352.84
2025-06-17,0.5,353.81
2025-06-18,0.43,363.58
2025-06-19,0.52,340.58
2025-06-20,0.51,325.69
2025-06-21,0.56,352.95
2025-06-22,0.65,390.17
2025-06-23,0.62,364.81
2025-06-24,0.63,428.77
2025-06-25,0.57,405.43
2025-06-26,0.69,420.44
2025-06-27,0.68,462.52
2025-06-28,0.75,446.53
2025-06-29,0.61,454.52
2025-06-30,0.62,430.72
2025-07-01,0.6,490.96
2025-07-02,0.64,499.44
2025-07-03,0.53,510.47
2025-07-04,0.51,441.71
2025-07-05,0.5,456.2
2025-07-06,0.45,443.38
2025-07-07,0.39,479.99
2025-07-08,0.4,403.5
2025-07-09,0.42,405.99
2025-07-10,0.31,392.1
2025-07-11,0.36,360.74
2025-07-12,0.32,316.56
2025-07-13,0.42,357.35
2025-07-14,0.29,357.41
2025-07-15,0.36,312.41
2025-07-16,0.43,329.5
2025-07-17,0.52,310.01
2025-07-18,0.47,367.12
2025-07-19,0.47,272.75
2025-07-20,0.63,320.35
2025-07-21,0.49,371.66
