consumer_id,card_set,choose
812,5,Right
813,9,Left
814,10,Right
815,3,Right
816,6,Right
817,10,Left
818,7,None
819,6,Right
820,5,Left
821,9,Right
822,4,None
823,6,None
824,5,Left
825,5,Right
826,2,Left
827,1,None
828,2,Left
829,5,Right
830,1,None
831,1,Right
832,4,Left
833,9,None
834,10,None
835,4,Right
836,9,None
837,1,Left
838,10,None
839,5,Left
840,5,Right
841,6,Left
842,8,Left
843,8,None
844,10,None
845,5,None
846,9,Right
847,5,Right
848,10,None
849,4,Right
850,1,None
851,10,Left
852,5,None
853,4,Right
854,10,Left
855,10,Left
856,2,None
857,1,Right
858,9,Left
859,10,Left
860,2,Left
861,1,Left
862,3,None
863,6,Left
864,8,Left
865,8,Left
866,6,None
867,7,None
868,10,Left
869,7,Left
870,10,None
871,2,Left
872,4,Left
873,3,Left
874,3,Left
875,2,None
876,10,Left
877,1,Right
878,3,None
879,7,Left
880,3,None
881,8,Left
882,9,Left
883,3,None
884,5,Right
885,3,Left
886,7,Right
887,9,None
888,10,Left
889,2,Right
890,6,Left
891,5,Right
892,7,Right
893,7,None
894,5,Left
895,3,Right
896,6,None
897,7,None
898,7,Left
899,3,Right
900,8,None
901,4,Right
902,9,Right
903,6,Right
904,5,Right
905,4,None
906,10,Left
907,10,None
908,3,None
909,6,Right
910,4,Left
911,3,None
912,1,Right
913,2,None
914,10,None
915,9,Right
916,4,None
917,8,Left
918,6,Left
919,7,Left
920,1,Right
921,6,Left
922,10,Right
923,2,Right
924,2,Left
925,1,Left
926,9,Left
927,6,Right
928,5,Left
929,6,Left
930,5,None
931,6,Right
932,2,None
933,1,None
934,9,Left
935,8,Left
936,3,Left
937,10,Left
938,9,Right
939,6,Left
940,8,None
941,4,None
942,2,None
943,5,Left
944,3,Right
945,9,Right
946,10,None
947,4,Right
948,6,Left
949,3,Left
950,7,Right
951,9,None
952,7,None
953,1,Left
954,8,Left
955,4,None
956,4,Left
957,8,None
958,5,Left
959,4,Right
960,8,None
961,3,Left
962,9,Left
963,2,Left
964,9,Left
965,8,Right
966,1,None
967,9,Left
968,8,Right
969,7,Right
970,1,None
971,3,Left
972,5,Left
973,5,Right
974,7,Right
975,10,None
976,4,None
977,9,None
978,10,None
979,3,None
980,4,None
981,8,Left
982,1,Left
983,10,None
984,5,None
985,10,Right
986,5,Right
987,5,Left
988,8,Left
989,3,None
990,6,Left
991,8,Left
992,1,Left
993,7,Right
994,9,Left
995,1,Left
996,5,Right
997,3,Right
998,2,Left
999,4,Left
1000,4,Left
