id,price.2,price.3,price.1,price.4,male,age,value2,value3,value1,value4,max,choice
34,88.999999,99.000001,88.999999,64.999998,0,54,-0.70199999,-0.54000001,-0.38999999,-0.46079998,-0.38999999,3
35,58.999997,99.000001,88.999999,64.999998,1,55,-0.159999985,-0.095000005,-0.044999995,-0.03599999,-0.03599999,4
36,69,88,88.999999,55.000001,0,64,-0.532,-0.43,-0.38999999,-0.36280001,-0.36280001,4
37,79.000002,99.000001,69,69,1,44,-0.22700001,-0.095000005,0.055,-0.0538,0.055,3
38,93.000001,88,95.999998,58.999997,0,41,-0.70300001,-0.43,-0.45999998,-0.39819997,-0.39819997,4
39,99.000001,109,99.000001,70.999998,1,30,-0.285000005,-0.145,-0.095000005,-0.06099999,-0.06099999,4
40,79.000002,99.000001,69,69,0,60,-0.62000002,-0.54000001,-0.19,-0.502,-0.19,3
41,88.999999,99.000001,88.999999,50,1,50,-0.294999995,-0.095000005,-0.044999995,0.04,0.04,4
42,79.000002,99.000001,88.999999,69,0,54,-0.60200002,-0.54000001,-0.38999999,-0.5008,-0.38999999,3
43,88.999999,99.000001,88.999999,50,1,47,-0.285999995,-0.095000005,-0.044999995,0.0406,0.0406,4
44,57.999998,88,88,58.999997,0,40,-0.34999998,-0.43,-0.38,-0.39799997,-0.34999998,1
45,69,88,88.999999,70.999998,1,49,-0.192,-0.04,-0.044999995,-0.06479999,-0.04,2
46,79.000002,99.000001,113,69,0,52,-0.59600002,-0.54000001,-0.63,-0.5004,-0.5004,4
47,99.000001,109,99.000001,70.999998,1,45,-0.330000005,-0.145,-0.095000005,-0.06399999,-0.06399999,4
48,88.999999,99.000001,105,64.999998,0,61,-0.72299999,-0.54000001,-0.55,-0.46219998,-0.46219998,4
49,99.000001,109,99.000001,55.000001,1,34,-0.297000005,-0.145,-0.095000005,0.018199995,0.018199995,4
50,88.999999,99.000001,88.999999,50,0,48,-0.68399999,-0.54000001,-0.38999999,-0.3096,-0.3096,4
51,69,88,120,70.999998,1,34,-0.147,-0.04,-0.2,-0.06179999,-0.04,2
52,79.000002,99.000001,94.999999,69,0,58,-0.61400002,-0.54000001,-0.44999999,-0.5016,-0.44999999,3
53,69,88,87,68.000001,1,41,-0.168,-0.04,-0.035,-0.048200005,-0.035,3
54,88.999999,99.000001,88.999999,64.999998,0,65,-0.73499999,-0.54000001,-0.38999999,-0.46299998,-0.38999999,3
55,88.999999,99.000001,88.999999,50,1,28,-0.228999995,-0.095000005,-0.044999995,0.0444,0.0444,4
56,88.999999,99.000001,88.999999,50,0,47,-0.68099999,-0.54000001,-0.38999999,-0.3094,-0.3094,4
57,98.000002,88,88.999999,55.000001,1,39,-0.30700001,-0.04,-0.044999995,0.017199995,0.017199995,4
58,77.999997,88,88,58.999997,0,41,-0.55299997,-0.43,-0.38,-0.39819997,-0.38,3
59,98.000002,99.000001,99.000001,70.999998,1,28,-0.27400001,-0.095000005,-0.095000005,-0.06059999,-0.06059999,4
60,88.999999,88.999999,105,64.999998,0,54,-0.70199999,-0.43999999,-0.55,-0.46079998,-0.43999999,2
61,88.999999,88.999999,105,50,1,37,-0.255999995,-0.044999995,-0.125,0.0426,0.0426,4
62,98.000002,88,88.999999,79.000002,0,31,-0.72300002,-0.43,-0.38999999,-0.59620002,-0.38999999,3
63,88.999999,88.999999,99.000001,52.999997,1,40,-0.264999995,-0.044999995,-0.095000005,0.027000015,0.027000015,4
64,88.999999,99.000001,88.999999,52.999997,0,45,-0.67499999,-0.54000001,-0.38999999,-0.33899997,-0.33899997,4
65,88.999999,99.000001,88.999999,50,1,54,-0.306999995,-0.095000005,-0.044999995,0.0392,0.0392,4
66,68.000001,88,88,58.999997,0,56,-0.49800001,-0.43,-0.38,-0.40119997,-0.38,3
67,88.999999,88.999999,99.000001,52.999997,1,26,-0.222999995,-0.044999995,-0.095000005,0.029800015,0.029800015,4
68,79.000002,99.000001,94.999999,69,0,44,-0.57200002,-0.54000001,-0.44999999,-0.4988,-0.44999999,3
69,99.000001,109,109,70.999998,1,26,-0.273000005,-0.145,-0.145,-0.06019999,-0.06019999,4
70,98.000002,88,88.999999,70.999998,0,65,-0.82500002,-0.43,-0.38999999,-0.52299998,-0.38999999,3
71,95.999998,99.000001,88.999999,68.000001,1,60,-0.35999999,-0.095000005,-0.044999995,-0.052000005,-0.044999995,3
72,99.000001,109,81.999999,70.999998,0,41,-0.76300001,-0.64,-0.31999999,-0.51819998,-0.31999999,3
73,58.999997,99.000001,88.999999,64.999998,1,44,-0.126999985,-0.095000005,-0.044999995,-0.03379999,-0.03379999,4
74,73.000002,93.000001,69,68.000001,0,64,-0.57200002,-0.48000001,-0.19,-0.49280001,-0.19,3
75,88.999999,88.999999,105,64.999998,1,43,-0.273999995,-0.044999995,-0.125,-0.03359999,-0.03359999,4
76,88.999999,99.000001,79.000002,52.999997,0,55,-0.70499999,-0.54000001,-0.29000002,-0.34099997,-0.29000002,3
77,97.000003,115,99.000001,60.000002,1,55,-0.350000015,-0.175,-0.095000005,-0.01100001,-0.01100001,4
78,88.999999,99.000001,88.999999,52.999997,0,57,-0.71099999,-0.54000001,-0.38999999,-0.34139997,-0.34139997,4
79,88.999999,99.000001,88.999999,52.999997,1,63,-0.333999995,-0.095000005,-0.044999995,0.022400015,0.022400015,4
80,98.000002,99.000001,109,70.999998,0,64,-0.82200002,-0.54000001,-0.59,-0.52279998,-0.52279998,4
81,98.000002,88,120,70.999998,1,60,-0.37000001,-0.04,-0.2,-0.06699999,-0.04,2
82,49.000001,109,109,77.999997,0,57,-0.31100001,-0.64,-0.59,-0.59139997,-0.31100001,1
83,69,88,88.999999,55.000001,1,27,-0.126,-0.04,-0.044999995,0.019599995,0.019599995,4
84,98.000002,88,88.999999,79.000002,0,26,-0.70800002,-0.43,-0.38999999,-0.59520002,-0.38999999,3
85,99.000001,109,94.999999,70.999998,1,65,-0.390000005,-0.145,-0.074999995,-0.06799999,-0.06799999,4
86,98.000002,88,88.999999,70.999998,0,44,-0.76200002,-0.43,-0.38999999,-0.51879998,-0.38999999,3
87,69,88,120,70.999998,1,30,-0.135,-0.04,-0.2,-0.06099999,-0.04,2
88,88.999999,99.000001,105,64.999998,0,57,-0.71099999,-0.54000001,-0.55,-0.46139998,-0.46139998,4
89,99.000001,99.000001,109,70.999998,1,25,-0.270000005,-0.095000005,-0.145,-0.05999999,-0.05999999,4
90,88.999999,99.000001,88.999999,50,0,57,-0.71099999,-0.54000001,-0.38999999,-0.3114,-0.3114,4
91,77.999997,88,88,58.999997,1,34,-0.191999985,-0.04,-0.04,-0.001799985,-0.001799985,4
92,98.000002,88,88.999999,55.000001,0,60,-0.81000002,-0.43,-0.38999999,-0.36200001,-0.36200001,4
93,88.999999,99.000001,113,69,1,65,-0.339999995,-0.095000005,-0.165,-0.058,-0.058,4
94,49.000001,109,109,77.999997,0,45,-0.27500001,-0.64,-0.59,-0.58899997,-0.27500001,1
95,58.999997,99.000001,88.999999,64.999998,1,49,-0.141999985,-0.095000005,-0.044999995,-0.03479999,-0.03479999,4
96,88.999999,99.000001,88.999999,50,0,40,-0.65999999,-0.54000001,-0.38999999,-0.308,-0.308,4
97,88.999999,99.000001,88.999999,64.999998,1,44,-0.276999995,-0.095000005,-0.044999995,-0.03379999,-0.03379999,4
98,93.000001,88,88,58.999997,0,31,-0.67300001,-0.43,-0.38,-0.39619997,-0.38,3
99,88.999999,99.000001,88.999999,50,1,37,-0.255999995,-0.095000005,-0.044999995,0.0426,0.0426,4
100,92.000002,98.000002,88,58.999997,0,31,-0.66300002,-0.53000002,-0.38,-0.39619997,-0.38,3
101,73.000002,93.000001,69,68.000001,1,35,-0.17000001,-0.065000005,0.055,-0.047000005,0.055,3
102,69,88,88.999999,79.000002,0,39,-0.457,-0.43,-0.38999999,-0.59780002,-0.38999999,3
103,58.999997,99.000001,88.999999,64.999998,1,55,-0.159999985,-0.095000005,-0.044999995,-0.03599999,-0.03599999,4
104,99.000001,99.000001,109,70.999998,0,56,-0.80800001,-0.54000001,-0.59,-0.52119998,-0.52119998,4
105,99.000001,109,109,55.000001,1,36,-0.303000005,-0.145,-0.145,0.017799995,0.017799995,4
106,88.999999,99.000001,88.999999,50,0,28,-0.62399999,-0.54000001,-0.38999999,-0.3056,-0.3056,4
107,88.999999,88.999999,105,50,1,55,-0.309999995,-0.044999995,-0.125,0.039,0.039,4
108,69,88,88.999999,55.000001,0,26,-0.418,-0.43,-0.38999999,-0.35520001,-0.35520001,4
109,93.000001,88,95.999998,58.999997,1,47,-0.306000005,-0.04,-0.07999999,-0.004399985,-0.004399985,4
110,58.999997,99.000001,88.999999,64.999998,0,58,-0.41399997,-0.54000001,-0.38999999,-0.46159998,-0.38999999,3
111,69,88,88.999999,79.000002,1,42,-0.171,-0.04,-0.044999995,-0.10340001,-0.04,2
112,99.000001,109,109,55.000001,0,64,-0.83200001,-0.64,-0.59,-0.36280001,-0.36280001,4
113,79.000002,99.000001,69,69,1,63,-0.28400001,-0.095000005,0.055,-0.0576,0.055,3
114,99.000001,99.000001,109,70.999998,0,26,-0.71800001,-0.54000001,-0.59,-0.51519998,-0.51519998,4
115,88.999999,88.999999,99.000001,61.000001,1,48,-0.288999995,-0.044999995,-0.095000005,-0.014600005,-0.014600005,4
116,58.999997,99.000001,88.999999,64.999998,0,27,-0.32099997,-0.54000001,-0.38999999,-0.45539998,-0.32099997,1
117,73.000002,93.000001,87,68.000001,1,33,-0.16400001,-0.065000005,-0.035,-0.046600005,-0.035,3
118,98.000002,88,88.999999,79.000002,0,34,-0.73200002,-0.43,-0.38999999,-0.59680002,-0.38999999,3
119,95.999998,99.000001,88.999999,68.000001,1,33,-0.27899999,-0.095000005,-0.044999995,-0.046600005,-0.044999995,3
120,88.999999,99.000001,88.999999,50,0,48,-0.68399999,-0.54000001,-0.38999999,-0.3096,-0.3096,4
121,88.999999,99.000001,88.999999,52.999997,1,51,-0.297999995,-0.095000005,-0.044999995,0.024800015,0.024800015,4
122,79.000002,99.000001,109,69,0,36,-0.54800002,-0.54000001,-0.59,-0.4972,-0.4972,4
123,88.999999,88.999999,105,64.999998,1,43,-0.273999995,-0.044999995,-0.125,-0.03359999,-0.03359999,4
124,88.999999,99.000001,88.999999,64.999998,0,55,-0.70499999,-0.54000001,-0.38999999,-0.46099998,-0.38999999,3
125,58.999997,99.000001,88.999999,64.999998,1,47,-0.135999985,-0.095000005,-0.044999995,-0.03439999,-0.03439999,4
126,88.999999,99.000001,79.000002,50,0,58,-0.71399999,-0.54000001,-0.29000002,-0.3116,-0.29000002,3
127,73.000002,93.000001,69,68.000001,1,56,-0.23300001,-0.065000005,0.055,-0.051200005,0.055,3
128,69,88,88.999999,55.000001,0,29,-0.427,-0.43,-0.38999999,-0.35580001,-0.35580001,4
129,88.999999,99.000001,88.999999,50,1,33,-0.243999995,-0.095000005,-0.044999995,0.0434,0.0434,4
130,101,88,88.999999,70.999998,0,53,-0.819,-0.43,-0.38999999,-0.52059998,-0.38999999,3
131,88.999999,99.000001,88.999999,64.999998,1,32,-0.240999995,-0.095000005,-0.044999995,-0.03139999,-0.03139999,4
132,98.000002,99.000001,109,70.999998,0,59,-0.80700002,-0.54000001,-0.59,-0.52179998,-0.52179998,4
133,57.999998,88,88,58.999997,1,48,-0.13399999,-0.04,-0.04,-0.004599985,-0.004599985,4
134,79.000002,99.000001,69,69,0,65,-0.63500002,-0.54000001,-0.19,-0.503,-0.19,3
135,88.999999,88.999999,105,50,1,48,-0.288999995,-0.044999995,-0.125,0.0404,0.0404,4
136,98.000002,99.000001,109,79.000002,0,60,-0.81000002,-0.54000001,-0.59,-0.60200002,-0.54000001,2
1,99.000001,109,99.000001,70.999998,1,47,-0.336000005,-0.145,-0.095000005,-0.06439999,-0.06439999,4
2,69,105,88.999999,64.999998,0,31,-0.433,-0.6,-0.38999999,-0.45619998,-0.38999999,3
3,99.000001,109,99.000001,79.000002,1,61,-0.378000005,-0.145,-0.095000005,-0.10720001,-0.095000005,3
4,99.000001,109,94.999999,55.000001,0,29,-0.72700001,-0.64,-0.44999999,-0.35580001,-0.35580001,4
5,88.999999,108,88.999999,68.000001,1,49,-0.291999995,-0.14,-0.044999995,-0.049800005,-0.044999995,3
6,85.000002,98.000002,88.999999,68.000001,0,26,-0.57800002,-0.53000002,-0.38999999,-0.48520001,-0.38999999,3
7,88.999999,88.999999,99.000001,61.000001,1,37,-0.255999995,-0.044999995,-0.095000005,-0.012400005,-0.012400005,4
8,99.000001,109,99.000001,70.999998,0,33,-0.73900001,-0.64,-0.49000001,-0.51659998,-0.49000001,3
9,49.000001,109,109,77.999997,1,25,-0.020000005,-0.145,-0.145,-0.094999985,-0.020000005,1
10,98.000002,99.000001,99.000001,70.999998,0,51,-0.78300002,-0.54000001,-0.49000001,-0.52019998,-0.49000001,3
11,88.999999,99.000001,88.999999,50,1,49,-0.291999995,-0.095000005,-0.044999995,0.0402,0.0402,4
12,99.000001,99.000001,109,55.000001,0,37,-0.75100001,-0.54000001,-0.59,-0.35740001,-0.35740001,4
13,49.000001,109,109,55.000001,1,27,-0.026000005,-0.145,-0.145,0.019599995,0.019599995,4
14,49.000001,99.000001,94.999999,69,0,52,-0.29600001,-0.54000001,-0.44999999,-0.5004,-0.29600001,1
15,88.999999,99.000001,88.999999,61.000001,1,29,-0.231999995,-0.095000005,-0.044999995,-0.010800005,-0.010800005,4
16,85.000002,108,88.999999,68.000001,0,51,-0.65300002,-0.63,-0.38999999,-0.49020001,-0.38999999,3
17,69,88,109,79.000002,1,45,-0.18,-0.04,-0.145,-0.10400001,-0.04,2
18,88.999999,102,88.999999,64.999998,0,30,-0.62999999,-0.57,-0.38999999,-0.45599998,-0.38999999,3
19,99.000001,109,109,70.999998,1,47,-0.336000005,-0.145,-0.145,-0.06439999,-0.06439999,4
20,88.999999,99.000001,88.999999,50,0,27,-0.62099999,-0.54000001,-0.38999999,-0.3054,-0.3054,4
21,69,109,109,70.999998,1,46,-0.183,-0.145,-0.145,-0.06419999,-0.06419999,4
22,88.999999,102,88.999999,64.999998,0,41,-0.66299999,-0.57,-0.38999999,-0.45819998,-0.38999999,3
23,79.000002,109,109,55.000001,1,28,-0.17900001,-0.145,-0.145,0.019399995,0.019399995,4
24,88.999999,99.000001,101,69,0,31,-0.63299999,-0.54000001,-0.51,-0.4962,-0.4962,4
25,49.000001,109,109,77.999997,1,41,-0.068000005,-0.145,-0.145,-0.098199985,-0.068000005,1
26,99.000001,99.000001,109,55.000001,0,25,-0.71500001,-0.54000001,-0.59,-0.35500001,-0.35500001,4
27,88.999999,88.999999,105,64.999998,1,59,-0.321999995,-0.044999995,-0.125,-0.03679999,-0.03679999,4
28,88.999999,99.000001,88.999999,64.999998,0,55,-0.70499999,-0.54000001,-0.38999999,-0.46099998,-0.38999999,3
29,69,109,109,70.999998,1,33,-0.144,-0.145,-0.145,-0.06159999,-0.06159999,4
30,95.999998,119.00001,79.000002,68.000001,0,43,-0.73899998,-0.7400001,-0.29000002,-0.48860001,-0.29000002,3
31,88.999999,99.000001,88.999999,64.999998,1,43,-0.273999995,-0.095000005,-0.044999995,-0.03359999,-0.03359999,4
32,88.999999,99.000001,88.999999,61.000001,0,64,-0.73199999,-0.54000001,-0.38999999,-0.42280001,-0.38999999,3
33,79.000002,109,109,55.000001,1,30,-0.18500001,-0.145,-0.145,0.018999995,0.018999995,4
34,88.999999,88.999999,105,64.999998,0,54,-0.70199999,-0.43999999,-0.55,-0.46079998,-0.43999999,2
35,88.999999,99.000001,88.999999,50,1,55,-0.309999995,-0.095000005,-0.044999995,0.039,0.039,4
36,68.000001,88,88,58.999997,0,64,-0.52200001,-0.43,-0.38,-0.40279997,-0.38,3
37,99.000001,99.000001,109,55.000001,1,44,-0.327000005,-0.095000005,-0.145,0.016199995,0.016199995,4
38,57.999998,88,88,58.999997,0,41,-0.35299998,-0.43,-0.38,-0.39819997,-0.35299998,1
39,88.999999,99.000001,105,64.999998,1,30,-0.234999995,-0.095000005,-0.125,-0.03099999,-0.03099999,4
40,88.999999,88.999999,105,64.999998,0,60,-0.71999999,-0.43999999,-0.55,-0.46199998,-0.43999999,2
41,58.999997,99.000001,88.999999,64.999998,1,50,-0.144999985,-0.095000005,-0.044999995,-0.03499999,-0.03499999,4
42,79.000002,99.000001,69,69,0,54,-0.60200002,-0.54000001,-0.19,-0.5008,-0.19,3
43,88.999999,88.999999,105,50,1,47,-0.285999995,-0.044999995,-0.125,0.0406,0.0406,4
44,92.000002,98.000002,88,58.999997,0,40,-0.69000002,-0.53000002,-0.38,-0.39799997,-0.38,3
45,98.000002,99.000001,109,70.999998,1,49,-0.33700001,-0.095000005,-0.145,-0.06479999,-0.06479999,4
46,88.999999,99.000001,113,69,0,52,-0.69599999,-0.54000001,-0.63,-0.5004,-0.5004,4
47,88.999999,99.000001,105,64.999998,1,45,-0.279999995,-0.095000005,-0.125,-0.03399999,-0.03399999,4
48,98.000002,109,129,77.999997,0,61,-0.81300002,-0.64,-0.79,-0.59219997,-0.59219997,4
49,79.000002,109,109,55.000001,1,34,-0.19700001,-0.145,-0.145,0.018199995,0.018199995,4
50,88.999999,88.999999,105,50,0,48,-0.68399999,-0.43999999,-0.55,-0.3096,-0.3096,4
51,88.999999,99.000001,113,69,1,34,-0.246999995,-0.095000005,-0.165,-0.0518,-0.0518,4
52,79.000002,99.000001,113,69,0,58,-0.61400002,-0.54000001,-0.63,-0.5016,-0.5016,4
53,69,88,109,68.000001,1,41,-0.168,-0.04,-0.145,-0.048200005,-0.04,2
54,58.999997,99.000001,88.999999,64.999998,0,65,-0.43499997,-0.54000001,-0.38999999,-0.46299998,-0.38999999,3
55,88.999999,99.000001,88.999999,50,1,28,-0.228999995,-0.095000005,-0.044999995,0.0444,0.0444,4
56,88.999999,99.000001,88.999999,64.999998,0,47,-0.68099999,-0.54000001,-0.38999999,-0.45939998,-0.38999999,3
57,79.000002,109,88.999999,88.999999,1,39,-0.21200001,-0.145,-0.044999995,-0.152799995,-0.044999995,3
58,99.000001,109,99.000001,70.999998,0,41,-0.76300001,-0.64,-0.49000001,-0.51819998,-0.49000001,3
59,99.000001,99.000001,109,70.999998,1,28,-0.279000005,-0.095000005,-0.145,-0.06059999,-0.06059999,4
60,88.999999,99.000001,88.999999,50,0,54,-0.70199999,-0.54000001,-0.38999999,-0.3108,-0.3108,4
61,69,105,88.999999,64.999998,1,37,-0.156,-0.125,-0.044999995,-0.03239999,-0.03239999,4
62,99.000001,109,99.000001,79.000002,0,31,-0.73300001,-0.64,-0.49000001,-0.59620002,-0.49000001,3
63,88.999999,88.999999,99.000001,61.000001,1,40,-0.264999995,-0.044999995,-0.095000005,-0.013000005,-0.013000005,4
64,88.999999,99.000001,101,69,0,45,-0.67499999,-0.54000001,-0.51,-0.499,-0.499,4
65,88.999999,88.999999,105,64.999998,1,54,-0.306999995,-0.044999995,-0.125,-0.03579999,-0.03579999,4
66,93.000001,88,88,58.999997,0,56,-0.74800001,-0.43,-0.38,-0.40119997,-0.38,3
67,88.999999,99.000001,88.999999,52.999997,1,26,-0.222999995,-0.095000005,-0.044999995,0.029800015,0.029800015,4
68,88.999999,99.000001,88.999999,52.999997,0,44,-0.67199999,-0.54000001,-0.38999999,-0.33879997,-0.33879997,4
69,99.000001,109,99.000001,70.999998,1,26,-0.273000005,-0.145,-0.095000005,-0.06019999,-0.06019999,4
70,98.000002,88,105.99999,68.000001,0,65,-0.82500002,-0.43,-0.5599999,-0.49300001,-0.43,2
71,58.999997,99.000001,94.999999,69,1,60,-0.174999985,-0.095000005,-0.074999995,-0.057,-0.057,4
72,79.000002,109,74.000001,77.999997,0,41,-0.56300002,-0.64,-0.24000001,-0.58819997,-0.24000001,3
73,88.999999,88.999999,105,64.999998,1,44,-0.276999995,-0.044999995,-0.125,-0.03379999,-0.03379999,4
74,69,88,109,68.000001,0,64,-0.532,-0.43,-0.59,-0.49280001,-0.43,2
75,88.999999,99.000001,88.999999,64.999998,1,43,-0.273999995,-0.095000005,-0.044999995,-0.03359999,-0.03359999,4
76,88.999999,99.000001,109,61.000001,0,55,-0.70499999,-0.54000001,-0.59,-0.42100001,-0.42100001,4
77,97.000003,115,99.000001,60.000002,1,55,-0.350000015,-0.175,-0.095000005,-0.01100001,-0.01100001,4
78,101,88,88.999999,70.999998,0,57,-0.831,-0.43,-0.38999999,-0.52139998,-0.38999999,3
79,88.999999,88.999999,99.000001,52.999997,1,63,-0.333999995,-0.044999995,-0.095000005,0.022400015,0.022400015,4
80,99.000001,99.000001,109,70.999998,0,64,-0.83200001,-0.54000001,-0.59,-0.52279998,-0.52279998,4
81,69,109,109,70.999998,1,60,-0.225,-0.145,-0.145,-0.06699999,-0.06699999,4
82,79.000002,109,109,77.999997,0,57,-0.61100002,-0.64,-0.59,-0.59139997,-0.59,3
83,69,88,109,55.000001,1,27,-0.126,-0.04,-0.145,0.019599995,0.019599995,4
84,69,88,88.999999,79.000002,0,26,-0.418,-0.43,-0.38999999,-0.59520002,-0.38999999,3
85,88.999999,99.000001,109,64.999998,1,65,-0.339999995,-0.095000005,-0.145,-0.03799999,-0.03799999,4
86,69,88,88.999999,70.999998,0,44,-0.472,-0.43,-0.38999999,-0.51879998,-0.38999999,3
87,99.000001,109,99.000001,70.999998,1,30,-0.285000005,-0.145,-0.095000005,-0.06099999,-0.06099999,4
88,88.999999,99.000001,105,64.999998,0,57,-0.71099999,-0.54000001,-0.55,-0.46139998,-0.46139998,4
89,99.000001,109,99.000001,70.999998,1,25,-0.270000005,-0.145,-0.095000005,-0.05999999,-0.05999999,4
90,88.999999,88.999999,105,64.999998,0,57,-0.71099999,-0.43999999,-0.55,-0.46139998,-0.43999999,2
91,68.000001,88,88,58.999997,1,34,-0.142000005,-0.04,-0.04,-0.001799985,-0.001799985,4
92,69,88,109,55.000001,0,60,-0.52,-0.43,-0.59,-0.36200001,-0.36200001,4
93,99.000001,108,88.999999,68.000001,1,65,-0.390000005,-0.14,-0.044999995,-0.053000005,-0.044999995,3
94,103,109,88.999999,77.999997,0,45,-0.815,-0.64,-0.38999999,-0.58899997,-0.38999999,3
95,88.999999,88.999999,105,64.999998,1,49,-0.291999995,-0.044999995,-0.125,-0.03479999,-0.03479999,4
96,99.000001,109,109,70.999998,0,40,-0.76000001,-0.64,-0.59,-0.51799998,-0.51799998,4
97,93.000001,98.000002,88,58.999997,1,44,-0.297000005,-0.09000001,-0.04,-0.003799985,-0.003799985,4
98,99.000001,109,119.00001,77.999997,0,31,-0.73300001,-0.64,-0.6900001,-0.58619997,-0.58619997,4
99,88.999999,99.000001,88.999999,50,1,37,-0.255999995,-0.095000005,-0.044999995,0.0426,0.0426,4
100,88.999999,99.000001,115,64.999998,0,31,-0.63299999,-0.54000001,-0.65,-0.45619998,-0.45619998,4
101,79.000002,99.000001,69,69,1,35,-0.20000001,-0.095000005,0.055,-0.052,0.055,3
102,99.000001,109,99.000001,79.000002,0,39,-0.75700001,-0.64,-0.49000001,-0.59780002,-0.49000001,3
103,88.999999,99.000001,88.999999,64.999998,1,55,-0.309999995,-0.095000005,-0.044999995,-0.03599999,-0.03599999,4
104,88.999999,99.000001,88.999999,64.999998,0,56,-0.70799999,-0.54000001,-0.38999999,-0.46119998,-0.38999999,3
105,49.000001,109,109,55.000001,1,36,-0.053000005,-0.145,-0.145,0.017799995,0.017799995,4
106,88.999999,88.999999,105,64.999998,0,28,-0.62399999,-0.43999999,-0.55,-0.45559998,-0.43999999,2
107,88.999999,99.000001,88.999999,64.999998,1,55,-0.309999995,-0.095000005,-0.044999995,-0.03599999,-0.03599999,4
108,69,88,88.999999,55.000001,0,26,-0.418,-0.43,-0.38999999,-0.35520001,-0.35520001,4
109,57.999998,88,88,58.999997,1,47,-0.13099999,-0.04,-0.04,-0.004399985,-0.004399985,4
110,88.999999,102,105,64.999998,0,58,-0.71399999,-0.57,-0.55,-0.46159998,-0.46159998,4
111,69,88,109,55.000001,1,42,-0.171,-0.04,-0.145,0.016599995,0.016599995,4
