,choice,college,hsg2,coml5,sedan1,sedan2,sedan3,sedan4,sedan5,sedan6,price1,price2,price3,price4,price5,price6,range1,range2,range3,range4,range5,range6,acc1,acc2,acc3,acc4,acc5,acc6,speed1,speed2,speed3,speed4,speed5,speed6,pollution1,pollution2,pollution3,pollution4,pollution5,pollution6,big1,big2,big3,big4,big5,big6,space1,space2,space3,space4,space5,space6,cost1,cost2,cost3,cost4,cost5,cost6
21,5,0,1,1,1,0,1,0,1,0,5.9556216,5.9556216,7.444527,7.444527,7.9408288,7.9408288,125,125,250,250,300,300,2.5,2.5,4,4,6,6,65,65,140,140,85,85,0,0,0.75,0.75,0.25,0.25,0,0,1,1,0,0,0.7,0.7,1,1,1,1,4,4,4,4,6,6
22,6,1,0,0,0,0,0,0,0,1,4.8568222,4.8568222,5.3680666,5.3680666,4.3455777,4.3455777,200,200,75,75,350,350,4,4,6,6,2.5,2.5,100,100,85,85,110,110,0,0,0.4,0.4,0.25,0.25,1,1,1,1,0,0,1,1,1,1,1,1,1,1,4,4,8,8
23,5,0,0,1,1,0,1,0,1,0,4.690508,4.690508,3.0350346,3.0350346,4.1386835,4.1386835,125,125,300,300,300,300,2.5,2.5,4,4,6,6,65,65,110,110,85,85,0,0,0.6,0.6,0.5,0.5,1,1,0,0,1,1,0.7,0.7,1,1,1,1,1,1,8,8,4,4
24,3,1,0,0,1,0,1,0,1,0,4.690508,4.690508,3.0350346,3.0350346,3.586859,3.586859,125,125,300,300,250,250,6,6,2.5,2.5,4,4,85,85,140,140,85,85,0,0,0.25,0.25,0.6,0.6,0,0,0,0,0,0,0.7,0.7,1,1,1,1,1,1,4,4,6,6
25,1,1,0,0,0,1,0,0,0,0,7.0659681,7.0659681,7.3871485,7.3871485,5.4600663,5.4600663,125,125,300,300,250,250,4,4,6,6,2.5,2.5,65,65,110,110,140,140,0,0,0.1,0.1,0.4,0.4,1,1,0,0,1,1,1,1,0.7,0.7,1,1,8,8,8,8,2,2
26,3,1,0,1,1,0,1,0,1,0,4.1386835,4.1386835,4.4145957,4.4145957,3.586859,3.586859,125,125,300,300,300,300,6,6,2.5,2.5,4,4,100,100,85,85,110,110,0,0,0.25,0.25,1,1,0,0,0,0,1,1,1,1,1,1,1,1,4,4,6,6,2,2
27,5,1,0,0,1,0,1,0,1,0,3.3927834,3.3927834,2.1953304,2.1953304,2.9936324,2.9936324,125,125,300,300,300,300,4,4,6,6,2.5,2.5,55,55,95,95,140,140,0,0,0.1,0.1,0.75,0.75,1,1,0,0,1,1,0.7,0.7,0.7,0.7,1,1,4,4,2,2,6,6
28,5,0,0,0,0,1,0,0,0,0,0.96354111,0.96354111,1.1241313,1.1241313,1.4453117,1.4453117,300,300,250,250,300,300,4,4,6,6,2.5,2.5,110,110,140,140,85,85,0.25,0.25,0.6,0.6,1,1,1,1,1,1,0,0,0.7,0.7,1,1,1,1,2,2,4,4,6,6
29,1,1,0,1,1,0,1,0,1,0,6.6218936,6.6218936,4.690508,4.690508,5.7941569,5.7941569,200,200,75,75,350,350,4,4,6,6,2.5,2.5,65,65,110,110,85,85,0,0,0.1,0.1,0.75,0.75,1,1,0,0,0,0,1,1,1,1,1,1,2,2,4,4,8,8
30,3,1,0,0,0,0,0,0,0,1,3.9704144,3.9704144,4.4667162,4.4667162,2.9778108,2.9778108,125,125,300,300,300,300,6,6,2.5,2.5,4,4,65,65,110,110,85,85,0,0,0.6,0.6,0.5,0.5,1,1,0,0,0,0,1,1,0.7,0.7,1,1,4,4,4,4,8,8
31,5,1,0,0,1,0,1,0,1,0,7.0659681,7.0659681,7.3871485,7.3871485,6.102427,6.102427,200,200,75,75,350,350,4,4,6,6,2.5,2.5,55,55,95,95,140,140,0,0,0.6,0.6,0.5,0.5,1,1,0,0,1,1,1,1,1,1,1,1,4,4,4,4,8,8
32,5,0,0,0,1,0,1,0,1,0,3.7871011,3.7871011,2.7772075,2.7772075,3.2821543,3.2821543,125,125,250,250,300,300,2.5,2.5,4,4,6,6,100,100,95,95,110,110,0,0,0.4,0.4,0.75,0.75,0,0,1,1,1,1,0.7,0.7,1,1,1,1,2,2,4,4,6,6
33,3,1,1,0,1,0,1,0,1,0,4.0359651,4.0359651,3.0863263,3.0863263,3.5611457,3.5611457,50,50,350,350,400,400,6,6,2.5,2.5,4,4,65,65,140,140,85,85,0,0,0.4,0.4,0.75,0.75,0,0,1,1,1,1,0.7,0.7,1,1,1,1,8,8,8,8,2,2
34,2,1,0,1,1,0,1,0,1,0,4.8177056,4.8177056,5.1388859,5.1388859,3.5329841,3.5329841,125,125,300,300,250,250,4,4,6,6,2.5,2.5,85,85,140,140,85,85,0,0,0.25,0.25,0.6,0.6,0,0,1,1,1,1,1,1,1,1,1,1,2,2,6,6,8,8
35,5,1,0,0,1,0,1,0,1,0,2.8118444,2.8118444,3.3230888,3.3230888,3.8343333,3.8343333,250,250,400,400,250,250,4,4,6,6,2.5,2.5,85,85,95,95,110,110,0.4,0.4,0.75,0.75,0.25,0.25,1,1,1,1,0,0,0.7,0.7,1,1,1,1,4,4,6,6,8,8
36,3,1,1,1,0,1,0,0,0,0,5.554415,5.554415,5.8068884,5.8068884,4.2920479,4.2920479,200,200,75,75,300,300,6,6,2.5,2.5,4,4,85,85,140,140,85,85,0,0,0.4,0.4,0.75,0.75,0,0,1,1,0,0,0.7,0.7,0.7,0.7,1,1,1,1,8,8,2,2
37,3,1,0,1,1,0,1,0,1,0,4.0359651,4.0359651,3.0863263,3.0863263,3.5611457,3.5611457,200,200,300,300,350,350,2.5,2.5,4,4,6,6,55,55,110,110,140,140,0,0,0.75,0.75,0.25,0.25,1,1,1,1,0,0,0.7,0.7,1,1,1,1,8,8,2,2,4,4
38,5,0,0,0,1,0,1,0,1,0,1.9270822,1.9270822,2.2482626,2.2482626,2.8906233,2.8906233,75,75,300,300,350,350,2.5,2.5,4,4,6,6,85,85,95,95,110,110,0.1,0.1,0.4,0.4,0.75,0.75,0,0,1,1,1,1,1,1,1,1,1,1,2,2,4,4,6,6
39,3,0,0,0,1,0,1,0,1,0,4.8177056,4.8177056,5.1388859,5.1388859,3.5329841,3.5329841,75,75,300,300,350,350,2.5,2.5,4,4,6,6,110,110,140,140,85,85,0.4,0.4,0.75,0.75,0.25,0.25,1,1,1,1,0,0,1,1,1,1,1,1,2,2,4,4,6,6
40,1,0,1,1,0,1,0,0,0,0,7.7083289,7.7083289,5.4600663,5.4600663,6.102427,6.102427,125,125,300,300,250,250,6,6,2.5,2.5,4,4,85,85,140,140,85,85,0,0,0.25,0.25,0.6,0.6,0,0,0,0,1,1,0.7,0.7,1,1,1,1,1,1,4,4,6,6
41,3,1,0,1,1,0,1,0,1,0,3.0296809,3.0296809,3.2821543,3.2821543,4.0395745,4.0395745,200,200,75,75,350,350,6,6,2.5,2.5,4,4,65,65,110,110,85,85,0,0,0.1,0.1,0.75,0.75,1,1,0,0,1,1,0.7,0.7,1,1,1,1,4,4,2,2,6,6
42,4,1,0,0,0,1,0,0,0,0,1.3795612,1.3795612,0.8277367,0.8277367,0.96569282,0.96569282,75,75,300,300,350,350,4,4,6,6,2.5,2.5,110,110,140,140,85,85,0.4,0.4,0.75,0.75,0.25,0.25,0,0,1,1,0,0,1,1,1,1,1,1,4,4,6,6,8,8
43,1,0,1,0,1,0,1,0,1,0,4.1753448,4.1753448,4.8177056,4.8177056,5.1388859,5.1388859,75,75,300,300,350,350,6,6,2.5,2.5,4,4,110,110,140,140,85,85,0.4,0.4,0.75,0.75,0.25,0.25,1,1,1,1,0,0,0.7,0.7,1,1,1,1,8,8,2,2,4,4
44,5,0,0,0,1,0,1,0,1,0,3.5346277,3.5346277,3.7871011,3.7871011,2.7772075,2.7772075,200,200,75,75,350,350,4,4,6,6,2.5,2.5,100,100,85,85,110,110,0,0,0.4,0.4,0.25,0.25,0,0,1,1,0,0,1,1,1,1,1,1,1,1,4,4,8,8
45,3,1,0,1,1,0,1,0,1,0,3.5787111,3.5787111,4.0899555,4.0899555,2.8118444,2.8118444,200,200,300,300,350,350,2.5,2.5,4,4,6,6,85,85,85,85,95,95,0,0,0.4,0.4,0.75,0.75,0,0,1,1,1,1,0.7,0.7,1,1,1,1,1,1,2,2,4,4
46,5,1,0,0,1,0,1,0,1,0,3.0674666,3.0674666,3.8343333,3.8343333,4.0899555,4.0899555,200,200,300,300,350,350,6,6,2.5,2.5,4,4,65,65,140,140,85,85,0,0,0.6,0.6,1,1,0,0,0,0,0,0,1,1,1,1,1,1,8,8,6,6,8,8
47,6,1,0,0,1,0,1,0,1,0,2.8906233,2.8906233,3.2118037,3.2118037,1.9270822,1.9270822,300,300,250,250,300,300,6,6,2.5,2.5,4,4,110,110,140,140,85,85,0.25,0.25,0.6,0.6,1,1,1,1,1,1,0,0,1,1,1,1,1,1,6,6,8,8,2,2
48,4,1,0,0,1,0,1,0,1,0,4.0899555,4.0899555,2.8118444,2.8118444,3.3230888,3.3230888,300,300,250,250,300,300,4,4,6,6,2.5,2.5,110,110,140,140,85,85,0.25,0.25,0.6,0.6,1,1,1,1,1,1,0,0,1,1,1,1,1,1,8,8,2,2,4,4
49,5,0,1,1,1,0,1,0,1,0,4.3455777,4.3455777,2.8118444,2.8118444,3.3230888,3.3230888,75,75,250,250,400,400,2.5,2.5,4,4,6,6,85,85,140,140,85,85,0,0,0.1,0.1,0.4,0.4,1,1,0,0,1,1,1,1,1,1,1,1,8,8,8,8,2,2
50,5,1,0,1,1,0,1,0,1,0,2.9778108,2.9778108,1.4889054,1.4889054,2.2333581,2.2333581,75,75,250,250,250,250,6,6,2.5,2.5,4,4,55,55,95,95,140,140,0,0,0.25,0.25,1,1,0,0,0,0,1,1,1,1,1,1,1,1,2,2,8,8,4,4
51,3,0,1,1,1,0,1,0,1,0,3.9704144,3.9704144,4.963018,4.963018,2.9778108,2.9778108,125,125,250,250,300,300,2.5,2.5,4,4,6,6,100,100,95,95,110,110,0,0,0.4,0.4,0.75,0.75,0,0,1,1,1,1,0.7,0.7,1,1,1,1,4,4,6,6,8,8
52,3,0,0,0,1,0,1,0,1,0,5.554415,5.554415,5.8068884,5.8068884,4.2920479,4.2920479,125,125,300,300,250,250,6,6,2.5,2.5,4,4,100,100,85,85,95,95,0,0,0.4,0.4,0.75,0.75,1,1,1,1,0,0,0.7,0.7,1,1,1,1,4,4,4,4,6,6
53,1,1,0,0,1,0,1,0,1,0,4.2920479,4.2920479,2.7772075,2.7772075,3.2821543,3.2821543,200,200,75,75,300,300,6,6,2.5,2.5,4,4,100,100,85,85,95,95,0,0,0.25,0.25,0.6,0.6,0,0,0,0,1,1,0.7,0.7,0.7,0.7,1,1,4,4,8,8,2,2
54,2,1,0,0,1,0,1,0,1,0,3.8541644,3.8541644,4.8177056,4.8177056,5.1388859,5.1388859,75,75,400,400,250,250,2.5,2.5,4,4,6,6,85,85,85,85,95,95,0,0,0.75,0.75,0.25,0.25,1,1,1,1,0,0,1,1,1,1,1,1,8,8,2,2,4,4
55,2,1,0,0,0,1,0,0,0,0,3.7871011,3.7871011,4.0395745,4.0395745,2.7772075,2.7772075,300,300,250,250,300,300,4,4,6,6,2.5,2.5,85,85,95,95,110,110,0.6,0.6,0.25,0.25,0.5,0.5,0,0,0,0,1,1,0.7,0.7,1,1,1,1,2,2,4,4,6,6
56,5,1,0,0,1,0,1,0,1,0,8.4371306,8.4371306,5.4593198,5.4593198,6.4519234,6.4519234,75,75,250,250,400,400,2.5,2.5,4,4,6,6,85,85,140,140,85,85,0,0,0.1,0.1,0.4,0.4,1,1,0,0,1,1,1,1,1,1,1,1,8,8,8,8,2,2
57,3,1,1,1,0,1,0,0,0,0,1.2781111,1.2781111,1.2781111,1.2781111,0.76686666,0.76686666,125,125,300,300,250,250,2.5,2.5,4,4,6,6,55,55,95,95,110,110,0,0,0.6,0.6,0.25,0.25,1,1,1,1,0,0,0.7,0.7,0.7,0.7,1,1,1,1,2,2,4,4
58,3,0,1,0,0,1,0,0,0,0,3.3230888,3.3230888,3.8343333,3.8343333,4.0899555,4.0899555,300,300,250,250,300,300,4,4,6,6,2.5,2.5,140,140,85,85,95,95,0.1,0.1,0.4,0.4,0.75,0.75,0,0,1,1,1,1,0.7,0.7,1,1,1,1,2,2,4,4,6,6
59,6,0,1,0,1,0,1,0,1,0,3.8627713,3.8627713,4.1386835,4.1386835,3.0350346,3.0350346,125,125,300,300,300,300,4,4,6,6,2.5,2.5,85,85,140,140,95,95,0,0,0.4,0.4,0.25,0.25,0,0,1,1,0,0,0.7,0.7,0.7,0.7,1,1,8,8,2,2,6,6
60,3,1,1,1,0,1,0,0,0,0,2.5247341,2.5247341,2.5247341,2.5247341,1.5148404,1.5148404,200,200,75,75,300,300,2.5,2.5,4,4,6,6,65,65,110,110,140,140,0,0,0.6,0.6,0.25,0.25,1,1,1,1,0,0,0.7,0.7,1,1,1,1,4,4,6,6,8,8
61,1,0,0,1,1,0,1,0,1,0,1.9852072,1.9852072,2.2333581,2.2333581,1.4889054,1.4889054,125,125,300,300,300,300,6,6,2.5,2.5,4,4,65,65,110,110,85,85,0,0,0.6,0.6,0.5,0.5,1,1,0,0,0,0,1,1,0.7,0.7,1,1,4,4,4,4,8,8
62,4,1,0,1,1,0,1,0,1,0,1.1036489,1.1036489,1.241605,1.241605,1.3795612,1.3795612,125,125,300,300,250,250,6,6,2.5,2.5,4,4,55,55,95,95,110,110,0,0,0.6,0.6,0.25,0.25,0,0,0,0,0,0,0.7,0.7,1,1,1,1,8,8,4,4,6,6
63,6,1,1,0,0,0,0,0,0,1,4.1386835,4.1386835,4.4145957,4.4145957,3.586859,3.586859,125,125,300,300,300,300,2.5,2.5,4,4,6,6,55,55,95,95,140,140,0,0,0.1,0.1,0.75,0.75,1,1,0,0,0,0,0.7,0.7,1,1,1,1,8,8,8,8,4,4
64,5,1,0,0,1,0,1,0,1,0,4.690508,4.690508,5.2423324,5.2423324,5.7941569,5.7941569,75,75,300,300,350,350,2.5,2.5,4,4,6,6,85,85,95,95,110,110,0.1,0.1,0.4,0.4,0.75,0.75,0,0,1,1,1,1,1,1,1,1,1,1,2,2,4,4,6,6
65,5,1,0,0,0,1,0,0,0,0,4.4965252,4.4965252,4.8177056,4.8177056,5.1388859,5.1388859,200,200,75,75,300,300,4,4,6,6,2.5,2.5,100,100,85,85,95,95,0,0,0.25,0.25,0.6,0.6,0,0,1,1,1,1,1,1,1,1,1,1,1,1,4,4,6,6
66,3,1,0,0,1,0,1,0,1,0,4.690508,4.690508,3.586859,3.586859,4.1386835,4.1386835,125,125,250,250,300,300,2.5,2.5,4,4,6,6,65,65,140,140,85,85,0,0,0.75,0.75,0.25,0.25,1,1,1,1,0,0,0.7,0.7,1,1,1,1,2,2,6,6,8,8
67,6,1,1,0,0,1,0,0,0,0,6.6218936,6.6218936,4.690508,4.690508,5.2423324,5.2423324,125,125,300,300,250,250,4,4,6,6,2.5,2.5,100,100,85,85,95,95,0,0,0.4,0.4,0.75,0.75,1,1,1,1,0,0,1,1,1,1,1,1,8,8,6,6,8,8
68,6,0,0,0,1,0,1,0,1,0,3.7871011,3.7871011,4.0395745,4.0395745,3.2821543,3.2821543,125,125,300,300,300,300,2.5,2.5,4,4,6,6,55,55,95,95,140,140,0,0,0.1,0.1,0.75,0.75,1,1,0,0,1,1,0.7,0.7,1,1,1,1,8,8,8,8,4,4
69,5,0,1,0,0,0,0,0,0,1,4.2920479,4.2920479,2.7772075,2.7772075,3.7871011,3.7871011,125,125,300,300,300,300,2.5,2.5,4,4,6,6,65,65,110,110,85,85,0,0,0.6,0.6,0.5,0.5,1,1,0,0,0,0,0.7,0.7,1,1,1,1,1,1,8,8,4,4
70,5,1,0,0,1,0,1,0,1,0,5.2230137,5.2230137,5.4604234,5.4604234,4.5107845,4.5107845,200,200,75,75,350,350,6,6,2.5,2.5,4,4,85,85,140,140,95,95,0,0,0.25,0.25,1,1,0,0,1,1,1,1,0.7,0.7,0.7,0.7,1,1,2,2,8,8,4,4
71,5,1,0,1,1,0,1,0,1,0,5.554415,5.554415,5.8068884,5.8068884,4.2920479,4.2920479,200,200,75,75,300,300,4,4,6,6,2.5,2.5,55,55,95,95,110,110,0,0,0.1,0.1,0.4,0.4,1,1,0,0,1,1,1,1,1,1,1,1,2,2,4,4,6,6
72,5,1,0,0,1,0,1,0,1,0,5.3671598,5.3671598,4.2490015,4.2490015,4.6962648,4.6962648,200,200,300,300,350,350,2.5,2.5,4,4,6,6,100,100,95,95,110,110,0,0,0.25,0.25,0.5,0.5,1,1,0,0,0,0,0.7,0.7,1,1,1,1,2,2,8,8,2,2
73,5,0,1,0,0,1,0,0,0,0,3.7919343,3.7919343,4.1910853,4.1910853,4.5902363,4.5902363,75,75,300,300,350,350,6,6,2.5,2.5,4,4,110,110,140,140,85,85,0.4,0.4,0.75,0.75,0.25,0.25,1,1,1,1,0,0,0.7,0.7,1,1,1,1,8,8,2,2,4,4
74,6,1,0,0,0,0,0,0,0,1,3.8343333,3.8343333,4.0899555,4.0899555,3.3230888,3.3230888,125,125,300,300,300,300,4,4,6,6,2.5,2.5,65,65,110,110,85,85,0,0,0.6,0.6,0.5,0.5,1,1,0,0,1,1,0.7,0.7,0.7,0.7,1,1,2,2,2,2,6,6
75,1,0,0,0,0,1,0,0,0,0,3.0350346,3.0350346,3.586859,3.586859,4.1386835,4.1386835,75,75,300,300,350,350,4,4,6,6,2.5,2.5,95,95,110,110,140,140,0.25,0.25,0.6,0.6,1,1,0,0,1,1,0,0,1,1,1,1,1,1,4,4,6,6,8,8
76,5,1,1,0,1,0,1,0,1,0,4.4965252,4.4965252,5.1388859,5.1388859,3.5329841,3.5329841,125,125,250,250,300,300,4,4,6,6,2.5,2.5,85,85,85,85,95,95,0,0,0.25,0.25,0.5,0.5,1,1,0,0,1,1,1,1,1,1,1,1,2,2,8,8,2,2
77,5,1,0,0,0,0,0,0,0,1,5.9352428,5.9352428,6.6474719,6.6474719,8.3093399,8.3093399,125,125,300,300,300,300,4,4,6,6,2.5,2.5,100,100,85,85,110,110,0,0,0.25,0.25,1,1,0,0,0,0,0,0,0.7,0.7,0.7,0.7,1,1,1,1,2,2,6,6
78,3,1,0,1,1,0,1,0,1,0,10.91864,10.91864,8.4371306,8.4371306,9.4297342,9.4297342,200,200,300,300,350,350,4,4,6,6,2.5,2.5,55,55,110,110,140,140,0,0,0.75,0.75,0.25,0.25,1,1,1,1,0,0,1,1,1,1,1,1,4,4,4,4,6,6
79,1,1,1,1,0,1,0,0,0,0,6.0593618,6.0593618,4.2920479,4.2920479,4.7969948,4.7969948,125,125,300,300,250,250,6,6,2.5,2.5,4,4,85,85,140,140,85,85,0,0,0.25,0.25,0.6,0.6,0,0,1,1,1,1,0.7,0.7,1,1,1,1,1,1,4,4,6,6
80,5,1,0,1,1,0,1,0,1,0,3.0296809,3.0296809,3.2821543,3.2821543,3.7871011,3.7871011,200,200,75,75,300,300,6,6,2.5,2.5,4,4,55,55,95,95,110,110,0,0,0.1,0.1,0.4,0.4,1,1,0,0,1,1,0.7,0.7,0.7,0.7,1,1,8,8,8,8,2,2
81,5,0,0,1,1,0,1,0,1,0,3.5787111,3.5787111,3.8343333,3.8343333,2.8118444,2.8118444,125,125,300,300,300,300,4,4,6,6,2.5,2.5,85,85,140,140,95,95,0,0,0.4,0.4,0.25,0.25,0,0,1,1,0,0,0.7,0.7,0.7,0.7,1,1,8,8,2,2,6,6
82,5,1,0,1,0,0,0,1,0,0,3.8541644,3.8541644,4.8177056,4.8177056,5.1388859,5.1388859,200,200,300,300,350,350,2.5,2.5,4,4,6,6,100,100,95,95,110,110,0,0,0.25,0.25,0.5,0.5,1,1,0,0,0,0,0.7,0.7,1,1,1,1,4,4,2,2,4,4
83,5,1,0,1,1,0,1,0,1,0,6.0700691,6.0700691,6.3459814,6.3459814,5.2423324,5.2423324,75,75,250,250,250,250,6,6,2.5,2.5,4,4,65,65,110,110,85,85,0,0,0.4,0.4,0.25,0.25,1,1,1,1,0,0,1,1,1,1,1,1,4,4,8,8,4,4
84,5,1,0,0,1,0,1,0,1,0,5.4600663,5.4600663,6.102427,6.102427,7.3871485,7.3871485,125,125,300,300,300,300,6,6,2.5,2.5,4,4,55,55,95,95,140,140,0,0,0.1,0.1,0.75,0.75,1,1,0,0,0,0,1,1,0.7,0.7,1,1,2,2,4,4,8,8
85,5,1,0,0,0,1,0,0,0,0,3.0350346,3.0350346,3.586859,3.586859,4.1386835,4.1386835,75,75,300,300,350,350,4,4,6,6,2.5,2.5,110,110,140,140,85,85,0.4,0.4,0.75,0.75,0.25,0.25,0,0,1,1,0,0,0.7,0.7,1,1,1,1,6,6,8,8,2,2
86,4,1,0,0,0,1,0,0,0,0,8.0791491,8.0791491,8.8365693,8.8365693,6.3118352,6.3118352,75,75,300,300,350,350,6,6,2.5,2.5,4,4,95,95,110,110,140,140,0.25,0.25,0.6,0.6,1,1,1,1,1,1,0,0,0.7,0.7,1,1,1,1,8,8,2,2,4,4
