age,job,marital,education,balance,housing,loan,campaign,poutcome,deposit
37,technician,single,secondary,2139,yes,no,3,unknown,no
33,blue-collar,married,primary,149,yes,no,2,unknown,no
33,technician,single,secondary,1733,yes,no,3,unknown,no
41,blue-collar,married,unknown,2361,no,no,1,unknown,no
32,management,married,tertiary,62,yes,no,1,unknown,no
31,blue-collar,single,secondary,982,yes,no,1,unknown,no
32,services,single,secondary,159,yes,yes,1,unknown,no
48,blue-collar,divorced,secondary,2071,no,no,1,unknown,no
39,blue-collar,single,secondary,523,yes,no,1,unknown,no
49,blue-collar,married,secondary,-454,yes,no,1,unknown,yes
34,blue-collar,married,primary,-204,yes,no,6,unknown,no
33,management,married,tertiary,0,yes,yes,2,unknown,no
33,blue-collar,married,secondary,1233,yes,no,1,unknown,no
28,admin.,married,secondary,84,yes,yes,1,unknown,no
26,blue-collar,single,secondary,1006,yes,no,1,unknown,yes
38,services,married,secondary,934,yes,no,1,unknown,yes
38,blue-collar,divorced,secondary,2048,no,yes,1,unknown,no
28,student,single,tertiary,170,no,no,5,unknown,no
37,management,single,tertiary,833,yes,no,1,unknown,no
32,blue-collar,married,secondary,22,yes,no,1,unknown,no
52,admin.,divorced,secondary,1135,yes,no,1,unknown,no
47,admin.,divorced,secondary,980,yes,no,1,unknown,no
41,blue-collar,married,secondary,14,yes,no,3,unknown,no
30,student,single,tertiary,31,yes,no,1,unknown,no
40,services,married,secondary,438,yes,no,1,unknown,no
44,management,married,unknown,415,yes,no,7,unknown,no
36,management,married,tertiary,242,yes,no,1,unknown,no
35,blue-collar,married,primary,602,yes,no,6,unknown,no
36,management,married,tertiary,532,yes,no,1,unknown,no
28,services,married,primary,3,yes,no,1,unknown,no
49,blue-collar,married,tertiary,1769,yes,no,2,unknown,no
54,services,married,primary,8,yes,no,1,unknown,no
44,admin.,divorced,secondary,2999,yes,no,1,unknown,yes
28,blue-collar,single,secondary,61,yes,no,3,unknown,no
43,blue-collar,divorced,secondary,688,yes,no,3,unknown,no
47,technician,married,secondary,417,yes,no,1,unknown,no
43,blue-collar,single,secondary,592,yes,no,1,unknown,no
38,management,single,tertiary,-119,yes,no,1,unknown,no
23,blue-collar,married,secondary,0,yes,no,1,unknown,no
36,management,single,tertiary,85,no,no,1,unknown,no
40,retired,divorced,primary,919,yes,no,2,unknown,no
29,technician,single,secondary,500,yes,no,3,unknown,no
48,blue-collar,married,secondary,503,yes,no,1,unknown,no
34,blue-collar,married,secondary,2436,yes,no,7,unknown,no
32,management,married,tertiary,2431,yes,no,5,unknown,yes
49,blue-collar,single,primary,87,yes,no,2,unknown,no
37,admin.,divorced,secondary,0,yes,yes,7,unknown,no
37,admin.,single,secondary,9,yes,no,1,unknown,no
35,services,married,secondary,341,yes,no,1,unknown,yes
48,blue-collar,divorced,primary,194,yes,no,1,unknown,no
50,blue-collar,divorced,primary,1629,yes,no,1,unknown,no
31,services,married,secondary,640,yes,no,2,unknown,no
33,blue-collar,married,secondary,705,yes,no,2,unknown,no
35,services,single,secondary,35,yes,no,1,unknown,no
39,technician,single,secondary,1355,yes,no,1,unknown,yes
39,management,single,tertiary,3202,yes,no,8,unknown,no
48,admin.,divorced,unknown,-70,no,no,1,unknown,no
49,entrepreneur,divorced,secondary,816,yes,no,7,unknown,no
28,services,married,secondary,0,yes,no,7,unknown,no
40,admin.,single,primary,846,yes,no,1,unknown,no
28,admin.,divorced,secondary,-504,yes,yes,1,unknown,yes
59,management,married,tertiary,2260,yes,no,1,unknown,no
26,admin.,single,secondary,-930,yes,no,1,unknown,yes
46,management,divorced,tertiary,233,yes,yes,4,unknown,no
39,technician,single,secondary,-237,yes,no,2,unknown,no
35,blue-collar,married,primary,113,yes,no,3,unknown,no
30,technician,married,secondary,0,yes,no,3,unknown,no
23,admin.,single,secondary,21,yes,yes,3,unknown,no
37,blue-collar,married,unknown,969,yes,no,2,unknown,no
28,admin.,single,secondary,3,no,no,2,unknown,no
42,blue-collar,married,primary,142,yes,no,5,unknown,no
28,blue-collar,married,primary,206,yes,no,2,unknown,no
39,management,married,tertiary,1090,yes,no,5,unknown,no
45,blue-collar,married,primary,345,yes,no,3,unknown,no
43,technician,married,secondary,38,yes,no,1,unknown,no
43,management,married,tertiary,-271,yes,yes,1,unknown,no
40,blue-collar,divorced,secondary,973,no,no,1,unknown,yes
50,management,married,secondary,125,yes,yes,5,unknown,no
37,blue-collar,married,primary,397,yes,no,5,unknown,no
43,entrepreneur,married,primary,2315,yes,yes,1,unknown,no
43,technician,single,secondary,214,yes,no,1,unknown,no
32,admin.,married,secondary,684,yes,no,3,unknown,yes
34,blue-collar,single,secondary,1351,yes,no,2,unknown,no
55,retired,married,primary,-966,no,yes,1,unknown,no
40,blue-collar,married,primary,637,yes,no,1,unknown,no
31,blue-collar,married,secondary,625,yes,no,3,unknown,no
28,management,single,tertiary,1027,yes,no,1,unknown,no
31,management,married,tertiary,0,yes,no,1,unknown,no
28,student,married,secondary,704,yes,yes,3,unknown,no
28,admin.,married,secondary,22,yes,yes,2,unknown,no
32,blue-collar,married,secondary,-103,yes,no,1,unknown,no
38,services,single,primary,393,yes,no,1,unknown,no
30,blue-collar,married,primary,99,yes,no,1,unknown,no
33,technician,single,secondary,716,yes,no,2,unknown,no
38,blue-collar,married,primary,132,yes,no,2,unknown,no
53,services,single,secondary,4778,yes,no,1,unknown,no
51,management,divorced,tertiary,-256,yes,yes,1,unknown,no
39,admin.,divorced,secondary,1089,yes,no,1,unknown,no
29,admin.,married,tertiary,111,no,no,1,unknown,no
54,blue-collar,married,primary,316,yes,no,1,unknown,no
27,blue-collar,married,secondary,1295,yes,no,1,unknown,no
31,blue-collar,single,primary,538,yes,no,4,unknown,no
39,blue-collar,married,secondary,300,yes,no,1,unknown,no
32,blue-collar,single,secondary,811,yes,no,1,unknown,yes
23,blue-collar,single,secondary,1105,yes,no,1,unknown,no
42,blue-collar,single,primary,177,yes,no,2,unknown,no
47,self-employed,married,tertiary,3,yes,no,15,unknown,no
29,admin.,married,secondary,1761,yes,yes,1,unknown,no
33,management,married,primary,262,yes,no,3,unknown,no
42,self-employed,married,secondary,2,yes,no,5,unknown,no
37,admin.,divorced,secondary,141,yes,no,1,unknown,no
24,services,single,unknown,608,yes,no,1,unknown,no
58,self-employed,married,secondary,28318,yes,no,2,unknown,no
25,services,single,secondary,-107,yes,no,1,unknown,no
37,services,divorced,secondary,75,yes,no,1,unknown,no
39,services,single,secondary,1048,yes,no,1,unknown,no
34,admin.,married,primary,0,yes,yes,1,unknown,yes
34,self-employed,single,tertiary,1272,yes,no,1,unknown,no
24,blue-collar,married,primary,456,no,no,2,unknown,no
33,services,single,secondary,-448,yes,no,2,unknown,no
58,blue-collar,divorced,primary,2246,yes,no,2,unknown,no
29,admin.,divorced,secondary,-254,yes,no,2,unknown,yes
46,blue-collar,married,secondary,312,yes,no,2,unknown,no
34,blue-collar,married,secondary,237,yes,no,3,unknown,no
36,blue-collar,divorced,primary,0,no,no,2,unknown,no
35,blue-collar,married,primary,422,yes,no,1,unknown,no
37,blue-collar,married,secondary,700,yes,no,1,unknown,no
33,housemaid,single,secondary,96,yes,no,6,unknown,no
45,blue-collar,married,secondary,1003,yes,no,1,unknown,no
26,services,married,secondary,864,yes,yes,1,unknown,no
36,blue-collar,married,secondary,779,yes,no,1,unknown,no
46,blue-collar,divorced,secondary,1074,yes,no,2,unknown,no
31,blue-collar,married,secondary,536,yes,no,6,unknown,no
29,technician,married,tertiary,604,yes,no,4,unknown,no
50,blue-collar,married,secondary,2719,yes,no,2,unknown,no
52,self-employed,married,secondary,213,yes,no,2,unknown,no
35,technician,married,tertiary,4,yes,no,1,unknown,no
37,blue-collar,married,primary,190,yes,no,6,unknown,no
54,retired,divorced,tertiary,2682,yes,no,1,unknown,no
36,entrepreneur,divorced,secondary,2996,yes,no,1,unknown,no
46,admin.,married,secondary,-236,yes,no,2,unknown,no
29,unemployed,married,tertiary,111,yes,no,1,unknown,no
55,services,single,secondary,1126,yes,no,1,unknown,no
38,blue-collar,married,primary,-42,yes,no,1,unknown,no
34,blue-collar,single,secondary,62,yes,no,1,unknown,no
34,self-employed,single,unknown,687,yes,no,2,unknown,no
29,blue-collar,married,secondary,-312,yes,yes,2,unknown,no
25,admin.,single,secondary,248,yes,no,1,unknown,no
50,management,single,secondary,4527,yes,no,1,unknown,no
37,management,married,tertiary,8821,yes,no,1,unknown,no
28,blue-collar,married,secondary,519,yes,yes,1,unknown,no
54,management,divorced,tertiary,-449,yes,no,1,unknown,yes
29,blue-collar,married,secondary,7863,yes,no,1,unknown,yes
30,services,married,secondary,1222,yes,no,1,unknown,no
25,services,single,secondary,216,yes,no,3,unknown,no
52,blue-collar,married,secondary,633,yes,no,1,unknown,no
51,blue-collar,married,secondary,500,no,no,1,unknown,no
33,entrepreneur,married,tertiary,1145,yes,no,3,unknown,no
56,retired,divorced,primary,48,yes,no,2,unknown,no
37,management,divorced,secondary,1287,yes,no,1,unknown,no
36,blue-collar,married,secondary,1049,yes,no,4,unknown,yes
37,services,married,secondary,6089,yes,no,2,unknown,yes
29,services,married,secondary,1002,yes,no,2,unknown,no
46,admin.,single,secondary,-976,yes,yes,1,unknown,no
34,blue-collar,married,primary,109,yes,no,2,unknown,no
44,self-employed,divorced,secondary,583,yes,no,3,unknown,no
34,blue-collar,married,secondary,332,no,no,2,unknown,no
56,admin.,single,secondary,3309,yes,no,1,unknown,no
34,admin.,married,secondary,384,yes,no,2,unknown,no
37,management,divorced,tertiary,-42,yes,no,2,unknown,yes
41,blue-collar,married,secondary,427,yes,yes,2,unknown,no
32,blue-collar,married,secondary,169,yes,no,2,unknown,no
39,management,divorced,tertiary,126,no,no,1,unknown,no
34,blue-collar,married,secondary,2447,yes,no,2,unknown,no
42,services,married,primary,248,yes,no,2,unknown,no
48,blue-collar,married,secondary,333,yes,no,6,unknown,no
49,management,divorced,tertiary,1253,yes,no,2,unknown,no
37,services,single,secondary,887,no,no,2,unknown,no
45,admin.,divorced,tertiary,569,yes,no,1,unknown,no
34,admin.,married,secondary,626,yes,no,2,unknown,no
29,technician,single,secondary,1331,yes,yes,1,unknown,no
40,services,single,secondary,573,yes,no,1,unknown,no
31,management,married,tertiary,183,yes,yes,3,unknown,no
47,management,married,secondary,177,yes,no,3,unknown,no
32,blue-collar,single,primary,398,yes,no,2,unknown,no
33,admin.,single,secondary,315,yes,yes,3,unknown,yes
50,management,married,tertiary,451,yes,no,3,unknown,no
31,blue-collar,married,primary,42,yes,no,3,unknown,no
60,blue-collar,married,primary,2147,no,no,1,unknown,no
58,admin.,divorced,secondary,8548,yes,no,8,unknown,no
26,student,single,primary,114,yes,no,2,unknown,no
31,blue-collar,single,primary,864,yes,no,2,unknown,no
36,blue-collar,married,primary,4608,yes,no,7,unknown,no
47,admin.,married,secondary,1863,yes,yes,4,unknown,no
31,blue-collar,married,secondary,150,yes,no,2,unknown,no
59,retired,divorced,secondary,5845,no,no,2,unknown,yes
35,blue-collar,married,secondary,2432,yes,no,2,unknown,no
29,technician,single,secondary,769,yes,yes,3,unknown,no
29,management,single,tertiary,-11,yes,no,2,unknown,no
29,technician,single,secondary,70,yes,yes,2,unknown,no
28,student,single,secondary,1377,yes,no,2,unknown,yes
41,blue-collar,married,secondary,281,yes,no,4,unknown,no
36,admin.,single,secondary,886,yes,yes,6,unknown,no
43,blue-collar,married,primary,991,yes,no,2,unknown,no
23,technician,single,secondary,1587,yes,yes,2,unknown,no
24,blue-collar,single,secondary,-169,yes,no,2,unknown,no
51,blue-collar,married,secondary,814,yes,no,8,unknown,no
46,admin.,married,secondary,196,yes,no,2,unknown,no
40,blue-collar,married,primary,309,yes,no,2,unknown,no
30,blue-collar,married,secondary,1717,yes,no,3,unknown,no
40,management,married,tertiary,229,yes,no,3,unknown,no
37,services,single,secondary,608,no,no,3,unknown,no
36,management,married,tertiary,-296,yes,no,3,unknown,no
34,blue-collar,married,secondary,2542,yes,no,1,unknown,no
30,blue-collar,married,secondary,664,no,yes,1,unknown,no
33,blue-collar,married,unknown,24,yes,no,1,unknown,no
26,blue-collar,single,primary,93,yes,no,3,unknown,no
28,management,single,tertiary,293,yes,no,1,unknown,no
27,housemaid,married,primary,275,yes,no,2,unknown,no
40,technician,married,secondary,8536,yes,yes,2,unknown,no
35,blue-collar,married,secondary,1287,yes,no,3,unknown,no
47,housemaid,married,primary,275,yes,no,3,unknown,no
36,management,married,tertiary,1041,yes,no,2,unknown,no
35,admin.,married,secondary,100,yes,no,4,unknown,no
29,admin.,married,secondary,792,yes,no,2,unknown,no
47,entrepreneur,married,tertiary,-497,yes,no,2,unknown,no
30,blue-collar,married,secondary,378,yes,no,2,unknown,yes
43,blue-collar,married,primary,1,yes,yes,2,unknown,no
42,services,married,secondary,-166,no,no,4,unknown,no
34,blue-collar,married,secondary,259,yes,no,2,unknown,no
27,admin.,single,secondary,54,yes,no,2,unknown,no
35,admin.,single,secondary,-133,yes,no,3,unknown,no
53,self-employed,married,primary,862,yes,no,4,unknown,no
34,blue-collar,married,primary,79,yes,no,2,unknown,no
26,blue-collar,married,secondary,5795,yes,no,2,unknown,yes
53,retired,married,secondary,6095,yes,yes,5,unknown,no
44,technician,married,secondary,736,yes,no,2,unknown,no
35,management,single,tertiary,916,yes,no,2,unknown,yes
31,blue-collar,single,secondary,1257,yes,no,2,unknown,no
50,services,divorced,secondary,622,yes,no,3,unknown,no
48,blue-collar,married,secondary,685,yes,no,10,unknown,no
43,blue-collar,married,primary,-418,yes,yes,2,unknown,no
36,technician,married,secondary,-531,no,no,3,unknown,no
36,technician,married,secondary,1038,yes,no,3,unknown,no
29,technician,single,secondary,-13,yes,no,3,unknown,no
36,management,married,tertiary,2178,yes,no,3,unknown,no
43,services,single,secondary,0,yes,no,4,unknown,no
29,management,married,tertiary,8,yes,no,2,unknown,no
59,housemaid,divorced,primary,502,yes,no,3,unknown,no
39,services,divorced,primary,8654,yes,no,4,unknown,no
51,self-employed,married,secondary,421,yes,no,4,unknown,no
31,management,married,tertiary,1750,yes,no,3,unknown,no
28,technician,single,secondary,3,yes,no,2,unknown,no
35,blue-collar,married,secondary,612,yes,no,4,unknown,no
33,self-employed,married,secondary,49,yes,no,7,unknown,no
33,services,married,secondary,968,yes,no,5,unknown,no
38,technician,divorced,tertiary,1307,no,no,2,unknown,no
33,services,married,secondary,207,yes,no,4,unknown,yes
47,admin.,married,secondary,1358,yes,no,4,unknown,no
41,blue-collar,married,secondary,356,yes,no,5,unknown,no
41,unemployed,single,secondary,315,yes,no,5,unknown,no
37,technician,married,secondary,987,yes,yes,2,unknown,no
37,blue-collar,married,primary,3051,no,no,4,unknown,no
38,self-employed,single,secondary,677,yes,no,2,unknown,no
27,services,single,secondary,3354,yes,no,5,unknown,no
43,management,married,tertiary,536,yes,no,4,unknown,no
57,blue-collar,married,secondary,0,yes,no,5,unknown,no
39,blue-collar,married,primary,-223,yes,no,10,unknown,no
28,admin.,married,secondary,213,yes,no,3,unknown,no
33,blue-collar,single,secondary,-14,yes,no,2,unknown,no
39,services,single,secondary,26,yes,no,3,unknown,no
34,blue-collar,single,tertiary,97,no,no,3,unknown,no
37,services,married,secondary,20,yes,no,5,unknown,no
49,entrepreneur,married,primary,137,yes,no,7,unknown,no
31,services,married,secondary,4687,yes,no,4,unknown,no
43,blue-collar,married,secondary,7973,yes,no,2,unknown,no
48,blue-collar,married,primary,-50,yes,no,6,unknown,no
33,technician,single,secondary,1074,yes,yes,2,unknown,no
32,technician,married,secondary,344,yes,yes,11,unknown,no
30,services,single,secondary,326,yes,no,4,unknown,no
32,blue-collar,single,primary,78,yes,no,2,unknown,no
59,retired,married,tertiary,422,yes,no,4,unknown,yes
30,entrepreneur,married,primary,386,yes,no,4,unknown,no
29,blue-collar,single,secondary,555,yes,no,4,unknown,no
33,technician,single,secondary,-242,yes,no,3,unknown,no
36,technician,single,secondary,125,yes,no,3,unknown,yes
40,self-employed,married,tertiary,252,yes,no,6,unknown,no
30,services,married,secondary,637,yes,no,5,unknown,no
34,services,single,secondary,2,yes,no,2,unknown,yes
28,entrepreneur,married,tertiary,1900,yes,no,6,unknown,no
38,blue-collar,married,primary,195,yes,no,2,unknown,no
48,retired,divorced,primary,666,yes,no,5,unknown,no
47,admin.,married,secondary,452,no,no,4,unknown,no
28,student,single,secondary,293,no,no,3,unknown,no
30,technician,single,secondary,148,yes,yes,5,unknown,no
27,services,single,tertiary,-152,yes,yes,4,unknown,no
31,technician,single,secondary,591,yes,yes,5,unknown,no
27,admin.,single,secondary,-145,yes,no,8,unknown,no
39,blue-collar,married,secondary,43,no,no,8,unknown,no
38,management,married,secondary,10357,no,no,3,unknown,no
51,services,married,secondary,5885,yes,no,1,unknown,no
29,services,married,secondary,363,yes,no,1,unknown,no
46,blue-collar,married,primary,4602,yes,no,1,unknown,no
48,blue-collar,married,secondary,1159,yes,yes,9,unknown,no
31,management,single,tertiary,177,yes,no,1,unknown,no
35,management,single,tertiary,3000,yes,no,3,unknown,no
43,blue-collar,married,primary,232,no,yes,1,unknown,no
23,admin.,single,secondary,738,yes,no,1,unknown,no
45,blue-collar,single,secondary,615,yes,no,1,unknown,no
28,blue-collar,married,secondary,8,yes,no,1,unknown,no
60,retired,divorced,secondary,496,yes,no,2,unknown,yes
34,admin.,married,secondary,0,yes,no,2,unknown,no
30,services,single,secondary,-143,yes,no,1,unknown,no
40,technician,single,secondary,398,yes,no,1,unknown,no
24,admin.,married,secondary,230,yes,no,1,unknown,no
29,blue-collar,married,secondary,940,yes,yes,1,unknown,yes
34,technician,divorced,tertiary,1317,yes,no,1,unknown,no
33,blue-collar,single,primary,433,yes,no,4,unknown,no
42,services,married,secondary,466,yes,no,3,unknown,no
28,services,single,secondary,113,yes,yes,1,unknown,no
39,blue-collar,married,primary,49,yes,no,1,unknown,no
28,technician,single,tertiary,558,yes,no,1,unknown,no
27,blue-collar,married,primary,1535,yes,no,1,unknown,no
30,services,single,secondary,140,yes,no,1,unknown,yes
37,blue-collar,married,secondary,949,yes,no,1,unknown,no
52,blue-collar,married,secondary,1039,yes,yes,4,unknown,no
51,blue-collar,divorced,secondary,113,no,no,3,unknown,no
25,blue-collar,single,secondary,543,yes,no,1,unknown,no
34,technician,married,secondary,580,yes,no,1,unknown,no
49,services,divorced,primary,400,yes,no,1,unknown,no
32,management,married,tertiary,1297,yes,no,1,unknown,no
32,services,married,secondary,1398,yes,yes,1,unknown,no
28,blue-collar,married,secondary,1325,yes,no,1,unknown,no
34,blue-collar,married,secondary,2139,yes,no,1,unknown,no
30,services,single,primary,79,yes,no,1,unknown,no
32,management,single,tertiary,-252,yes,no,1,unknown,no
30,blue-collar,married,primary,0,yes,no,1,unknown,no
31,management,single,tertiary,291,yes,no,1,unknown,no
30,admin.,single,secondary,278,yes,no,1,unknown,no
30,admin.,single,secondary,-118,no,no,1,unknown,no
44,services,married,secondary,5781,yes,yes,1,unknown,no
24,admin.,married,secondary,-94,yes,no,1,unknown,no
31,self-employed,married,tertiary,1194,yes,no,1,unknown,no
32,management,single,tertiary,336,no,no,4,unknown,no
28,blue-collar,married,secondary,4,yes,no,1,unknown,no
45,admin.,married,secondary,215,yes,yes,4,unknown,no
27,management,single,tertiary,212,yes,no,1,unknown,no
30,blue-collar,married,primary,123,yes,no,4,unknown,no
44,blue-collar,married,primary,362,yes,no,1,unknown,no
46,self-employed,married,secondary,-816,yes,yes,1,unknown,no
38,admin.,single,unknown,0,yes,no,2,unknown,no
34,housemaid,divorced,secondary,787,yes,no,1,unknown,no
32,services,married,secondary,15,yes,no,1,unknown,no
35,unemployed,married,tertiary,1849,yes,no,1,unknown,no
40,blue-collar,divorced,secondary,178,yes,no,1,unknown,no
22,blue-collar,single,secondary,-51,yes,no,1,unknown,yes
41,blue-collar,married,primary,2067,yes,no,7,unknown,no
29,management,single,tertiary,13,yes,no,6,unknown,no
34,technician,married,secondary,-25,no,no,1,unknown,no
59,management,married,primary,2345,yes,no,1,unknown,no
26,blue-collar,single,secondary,26,yes,yes,1,unknown,yes
39,blue-collar,divorced,secondary,-202,yes,yes,4,unknown,no
28,student,single,tertiary,221,yes,no,1,unknown,no
38,blue-collar,married,secondary,1027,yes,no,5,unknown,no
30,technician,single,secondary,592,yes,no,1,unknown,no
57,admin.,married,secondary,-967,yes,no,7,unknown,no
32,technician,single,secondary,-234,yes,no,7,unknown,no
43,services,married,secondary,68,yes,yes,1,unknown,no
26,unemployed,single,secondary,130,yes,no,3,unknown,no
40,blue-collar,married,secondary,-450,yes,no,1,unknown,no
59,blue-collar,divorced,secondary,3573,no,no,1,unknown,no
23,services,single,secondary,567,yes,yes,1,unknown,no
55,technician,married,tertiary,-466,yes,no,1,unknown,yes
27,technician,married,secondary,317,yes,yes,1,unknown,no
28,admin.,single,secondary,7,yes,no,1,unknown,no
32,blue-collar,single,secondary,75,yes,no,1,unknown,no
32,services,married,secondary,38,yes,no,1,unknown,yes
31,blue-collar,married,secondary,154,yes,yes,1,unknown,no
48,blue-collar,divorced,secondary,501,yes,no,5,unknown,no
31,blue-collar,single,secondary,39,yes,no,5,unknown,no
29,blue-collar,married,primary,10191,yes,no,2,unknown,no
34,blue-collar,married,primary,431,yes,no,1,unknown,no
24,technician,single,secondary,246,yes,yes,1,unknown,no
34,blue-collar,married,secondary,362,yes,no,1,unknown,no
30,technician,single,tertiary,1323,yes,no,1,unknown,no
43,blue-collar,married,secondary,3549,yes,no,5,unknown,no
29,management,single,tertiary,499,yes,no,1,unknown,no
49,admin.,married,primary,169,yes,no,3,unknown,no
58,technician,married,primary,10,yes,no,1,unknown,no
38,blue-collar,single,primary,1583,yes,no,1,unknown,no
26,services,single,secondary,2047,yes,no,1,unknown,no
23,blue-collar,single,secondary,780,yes,no,1,unknown,yes
24,blue-collar,single,primary,388,yes,no,2,unknown,no
45,entrepreneur,married,primary,5315,yes,yes,2,unknown,no
38,blue-collar,married,primary,1099,yes,no,5,unknown,no
26,technician,single,tertiary,-67,yes,no,1,unknown,yes
42,entrepreneur,married,tertiary,34,yes,no,1,unknown,no
24,student,single,secondary,2,no,no,1,unknown,no
30,blue-collar,married,primary,714,yes,no,1,unknown,no
30,technician,married,secondary,-206,yes,yes,1,unknown,no
29,blue-collar,single,primary,-24,yes,no,1,unknown,no
39,management,married,primary,197,yes,no,1,unknown,no
31,blue-collar,married,primary,-365,yes,no,1,unknown,no
31,blue-collar,single,secondary,-4,yes,no,1,unknown,no
28,blue-collar,married,secondary,83,yes,no,1,unknown,no
28,blue-collar,single,secondary,-545,yes,yes,1,unknown,no
25,student,single,tertiary,1433,yes,no,1,unknown,no
44,admin.,divorced,secondary,-179,yes,no,1,unknown,no
24,blue-collar,single,secondary,3,yes,no,1,unknown,no
30,services,single,secondary,-100,yes,yes,1,unknown,no
35,admin.,single,tertiary,1374,yes,no,1,unknown,no
32,entrepreneur,married,tertiary,721,yes,no,1,unknown,no
36,services,married,secondary,647,yes,yes,2,unknown,no
34,blue-collar,single,primary,4260,yes,no,1,unknown,no
31,admin.,single,secondary,1340,no,no,1,unknown,no
33,blue-collar,married,secondary,463,yes,no,5,unknown,no
46,blue-collar,married,secondary,51,yes,no,1,unknown,no
28,services,single,secondary,221,yes,no,1,unknown,no
43,blue-collar,married,secondary,10910,yes,no,2,unknown,no
24,self-employed,single,tertiary,91,yes,no,2,unknown,no
58,blue-collar,married,primary,781,yes,no,2,unknown,no
37,blue-collar,married,primary,508,yes,yes,1,unknown,no
31,admin.,divorced,secondary,-254,yes,no,2,unknown,no
34,blue-collar,married,secondary,29,yes,no,5,unknown,yes
29,blue-collar,married,primary,149,yes,no,2,unknown,no
60,management,single,tertiary,560,no,no,5,unknown,yes
35,management,single,tertiary,6781,yes,no,6,unknown,no
50,retired,married,primary,172,yes,yes,6,unknown,no
32,services,married,secondary,180,yes,no,2,unknown,no
43,blue-collar,married,unknown,285,yes,no,6,unknown,no
24,admin.,single,secondary,926,yes,yes,1,unknown,no
28,student,single,tertiary,22,yes,no,2,unknown,yes
31,blue-collar,single,secondary,184,yes,no,1,unknown,no
55,blue-collar,married,secondary,1078,yes,yes,1,unknown,no
47,self-employed,married,unknown,14,yes,no,1,unknown,no
35,services,married,secondary,2791,yes,no,1,unknown,no
38,admin.,married,secondary,257,yes,no,5,unknown,no
32,blue-collar,married,secondary,99,yes,no,2,unknown,no
39,blue-collar,married,primary,-50,yes,no,1,unknown,no
33,services,married,secondary,624,yes,no,1,unknown,no
30,services,married,secondary,683,yes,no,1,unknown,no
31,student,married,secondary,147,yes,no,1,unknown,no
32,management,single,tertiary,435,yes,yes,3,unknown,no
49,self-employed,married,secondary,505,yes,no,2,unknown,no
42,blue-collar,married,secondary,505,yes,no,1,unknown,no
55,services,married,primary,-747,yes,no,7,unknown,no
26,technician,single,secondary,626,yes,no,2,unknown,no
30,management,single,tertiary,1692,yes,no,1,unknown,no
29,blue-collar,married,secondary,47,yes,yes,1,unknown,no
34,admin.,single,secondary,6979,yes,no,5,unknown,no
25,blue-collar,single,tertiary,1395,yes,no,1,unknown,no
31,blue-collar,single,secondary,210,yes,yes,1,unknown,no
51,management,divorced,tertiary,-227,yes,no,1,unknown,no
34,technician,single,secondary,194,yes,yes,1,unknown,yes
27,services,single,secondary,353,yes,no,1,unknown,yes
32,blue-collar,married,primary,252,yes,no,1,unknown,no
23,services,married,secondary,2211,yes,no,2,unknown,no
42,blue-collar,divorced,secondary,198,no,no,1,unknown,no
