sample,main_hospital,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,만족도,유형설비,신뢰,감정배려,요구응대,확신
44,2,6,7,6,6,7,8,7,8,8,8,9,10,8,10,6.33 ,7.00 ,7.50 ,8.00 ,9.00 
45,1,6,5,7,7,7,7,6,6,9,8,9,8,7,9,6.00 ,7.00 ,6.00 ,8.50 ,8.00 
46,4,2,2,2,9,8,7,6,7,3,2,9,9,10,8,2.00 ,8.00 ,6.50 ,2.50 ,9.33 
47,4,7,6,6,6,7,7,4,3,2,3,9,9,7,7,6.33 ,6.67 ,3.50 ,2.50 ,8.33 
48,3,6,6,5,7,6,6,3,2,6,6,8,8,6,9,5.67 ,6.33 ,2.50 ,6.00 ,7.33 
49,1,9,8,9,7,6,6,2,2,5,5,9,9,9,8,8.67 ,6.33 ,2.00 ,5.00 ,9.00 
50,2,9,9,8,5,6,6,7,6,3,3,7,8,9,7,8.67 ,5.67 ,6.50 ,3.00 ,8.00 
51,4,9,9,10,5,5,6,3,3,2,1,8,8,9,7,9.33 ,5.33 ,3.00 ,1.50 ,8.33 
52,2,6,6,5,6,6,6,3,2,9,9,9,8,9,7,5.67 ,6.00 ,2.50 ,9.00 ,8.67 
53,3,9,9,10,7,7,6,4,5,5,5,9,10,9,8,9.33 ,6.67 ,4.50 ,5.00 ,9.33 
54,5,8,8,8,7,6,5,9,10,3,4,7,8,9,7,8.00 ,6.00 ,9.50 ,3.50 ,8.00 
55,3,8,7,9,5,4,5,7,7,7,8,9,10,9,7,8.00 ,4.67 ,7.00 ,7.50 ,9.33 
56,1,7,7,6,3,4,5,3,3,6,6,7,8,9,8,6.67 ,4.00 ,3.00 ,6.00 ,8.00 
57,4,6,7,7,4,5,5,5,6,6,7,9,10,9,7,6.67 ,4.67 ,5.50 ,6.50 ,9.33 
58,4,2,3,1,5,6,5,5,4,6,6,9,9,9,8,2.00 ,5.33 ,4.50 ,6.00 ,9.00 
59,3,4,3,5,3,4,5,4,5,2,2,7,8,9,6,4.00 ,4.00 ,4.50 ,2.00 ,8.00 
60,5,5,4,4,5,4,5,9,10,5,6,9,10,9,7,4.33 ,4.67 ,9.50 ,5.50 ,9.33 
61,3,7,8,7,6,5,5,6,7,2,2,9,10,9,9,7.33 ,5.33 ,6.50 ,2.00 ,9.33 
62,2,8,9,9,4,3,4,3,2,2,3,9,10,9,6,8.67 ,3.67 ,2.50 ,2.50 ,9.33 
63,2,6,6,5,6,5,4,8,8,6,7,9,10,9,8,5.67 ,5.00 ,8.00 ,6.50 ,9.33 
64,5,8,7,8,2,3,4,6,7,3,3,9,9,9,6,7.67 ,3.00 ,6.50 ,3.00 ,9.00 
65,2,3,4,3,6,5,4,7,8,5,6,9,8,9,6,3.33 ,5.00 ,7.50 ,5.50 ,8.67 
66,3,3,3,3,4,3,4,6,7,4,4,8,8,9,7,3.00 ,3.67 ,6.50 ,4.00 ,8.33 
67,5,4,5,4,5,4,4,2,2,6,5,8,9,9,6,4.33 ,4.33 ,2.00 ,5.50 ,8.67 
68,4,7,8,7,3,4,4,8,7,6,6,9,9,9,8,7.33 ,3.67 ,7.50 ,6.00 ,9.00 
69,2,9,10,9,4,3,3,3,3,6,7,8,8,9,6,9.33 ,3.33 ,3.00 ,6.50 ,8.33 
70,4,4,5,3,5,4,3,8,9,7,8,9,8,9,6,4.00 ,4.00 ,8.50 ,7.50 ,8.67 
71,3,2,1,3,2,2,3,4,3,5,6,9,8,9,7,2.00 ,2.33 ,3.50 ,5.50 ,8.67 
72,1,8,7,9,2,2,2,2,3,2,2,9,10,9,9,8.00 ,2.00 ,2.50 ,2.00 ,9.33 
73,2,2,2,3,2,2,2,2,2,3,4,9,9,9,6,2.33 ,2.00 ,2.00 ,3.50 ,9.00 
74,4,9,8,9,4,3,2,5,4,6,6,9,10,9,6,8.67 ,3.00 ,4.50 ,6.00 ,9.33 
75,1,5,4,4,2,2,2,4,4,2,2,9,9,10,7,4.33 ,2.00 ,4.00 ,2.00 ,9.33 
76,5,8,7,9,3,2,2,6,6,2,3,8,9,9,7,8.00 ,2.33 ,6.00 ,2.50 ,8.67 
77,5,3,3,3,3,3,2,3,3,8,8,9,9,8,7,3.00 ,2.67 ,3.00 ,8.00 ,8.67 
78,2,6,7,6,2,2,1,4,3,9,9,9,9,7,4,6.33 ,1.67 ,3.50 ,9.00 ,8.33 
79,5,6,7,5,2,1,1,3,2,7,8,9,10,10,3,6.00 ,1.33 ,2.50 ,7.50 ,9.67 
80,1,2,1,3,9,10,9,4,4,3,3,8,9,7,10,2.00 ,9.33 ,4.00 ,3.00 ,8.00 
81,3,4,3,5,9,10,10,9,8,7,6,9,9,6,10,4.00 ,9.67 ,8.50 ,6.50 ,8.00 
82,3,4,3,5,8,9,10,6,7,9,8,9,9,8,10,4.00 ,9.00 ,6.50 ,8.50 ,8.67 
83,5,3,2,2,9,10,10,3,2,6,5,8,9,8,8,2.33 ,9.67 ,2.50 ,5.50 ,8.33 
84,5,2,3,2,9,10,10,7,8,2,3,8,8,8,10,2.33 ,9.67 ,7.50 ,2.50 ,8.00 
85,2,4,3,4,7,8,9,9,9,5,4,8,7,8,10,3.67 ,8.00 ,9.00 ,4.50 ,7.67 
86,5,4,3,3,8,9,9,9,6,2,3,9,9,8,8,3.33 ,8.67 ,7.50 ,2.50 ,8.67 
87,1,9,10,10,8,8,9,3,3,4,3,9,9,8,8,9.67 ,8.33 ,3.00 ,3.50 ,8.67 
88,1,4,5,3,9,10,9,6,5,4,3,7,8,8,9,4.00 ,9.33 ,5.50 ,3.50 ,7.67 
89,1,7,8,8,8,8,9,5,4,4,3,8,8,8,10,7.67 ,8.33 ,4.50 ,3.50 ,8.00 
90,5,2,2,3,7,8,9,6,6,6,7,7,8,8,7,2.33 ,8.00 ,6.00 ,6.50 ,7.67 
91,4,4,3,5,9,9,9,8,8,2,1,7,8,8,7,4.00 ,9.00 ,8.00 ,1.50 ,7.67 
92,1,7,8,8,9,9,9,8,9,3,2,7,7,8,8,7.67 ,9.00 ,8.50 ,2.50 ,7.33 
93,2,3,4,2,9,9,9,8,9,7,6,9,9,8,8,3.00 ,9.00 ,8.50 ,6.50 ,8.67 
94,3,8,9,8,7,8,8,5,6,7,6,7,8,8,9,8.33 ,7.67 ,5.50 ,6.50 ,7.67 
95,1,3,2,3,9,9,8,4,4,6,5,8,8,8,8,2.67 ,8.67 ,4.00 ,5.50 ,8.00 
96,5,5,6,5,6,6,7,4,3,5,5,9,8,8,8,5.33 ,6.33 ,3.50 ,5.00 ,8.33 
97,5,8,8,9,9,8,7,4,4,8,8,9,8,8,9,8.33 ,8.00 ,4.00 ,8.00 ,8.33 
98,3,3,3,3,8,8,7,2,1,9,9,8,7,8,9,3.00 ,7.67 ,1.50 ,9.00 ,7.67 
99,4,5,5,6,6,7,7,2,2,3,2,9,9,8,8,5.33 ,6.67 ,2.00 ,2.50 ,8.67 
100,2,4,4,3,7,7,6,6,6,5,5,8,8,8,9,3.67 ,6.67 ,6.00 ,5.00 ,8.00 
101,4,9,10,8,7,6,6,3,4,5,4,8,8,8,8,9.00 ,6.33 ,3.50 ,4.50 ,8.00 
102,3,6,5,5,7,7,6,2,1,6,6,6,7,8,8,5.33 ,6.67 ,1.50 ,6.00 ,7.00 
103,2,7,7,7,6,6,6,5,5,7,8,7,8,8,9,7.00 ,6.00 ,5.00 ,7.50 ,7.67 
104,1,7,6,6,8,7,6,6,6,5,4,6,7,8,7,6.33 ,7.00 ,6.00 ,4.50 ,7.00 
105,4,2,2,1,5,5,6,3,3,2,3,8,7,8,7,1.67 ,5.33 ,3.00 ,2.50 ,7.67 
106,3,2,1,3,4,5,5,4,5,6,7,7,7,8,7,2.00 ,4.67 ,4.50 ,6.50 ,7.33 
107,2,9,9,10,7,6,5,9,9,6,5,9,8,8,9,9.33 ,6.00 ,9.00 ,5.50 ,8.33 
108,2,7,6,6,5,6,5,3,4,7,8,9,8,8,9,6.33 ,5.33 ,3.50 ,7.50 ,8.33 
109,3,6,7,7,3,4,5,7,7,6,6,8,8,8,6,6.67 ,4.00 ,7.00 ,6.00 ,8.00 
110,3,6,6,6,4,4,5,3,2,5,5,6,7,8,6,6.00 ,4.33 ,2.50 ,5.00 ,7.00 
111,4,2,3,1,5,5,5,2,2,5,4,8,7,8,6,2.00 ,5.00 ,2.00 ,4.50 ,7.67 
112,4,7,6,8,6,6,5,3,3,9,9,8,8,8,7,7.00 ,5.67 ,3.00 ,9.00 ,8.00 
113,3,8,8,8,5,4,5,4,3,9,8,8,8,8,8,8.00 ,4.67 ,3.50 ,8.50 ,8.00 
114,1,9,8,10,5,5,4,5,4,9,10,8,8,8,7,9.00 ,4.67 ,4.50 ,9.50 ,8.00 
115,3,4,5,3,4,3,4,2,3,8,9,6,7,8,6,4.00 ,3.67 ,2.50 ,8.50 ,7.00 
116,2,2,2,3,6,5,4,7,6,5,5,7,8,8,6,2.33 ,5.00 ,6.50 ,5.00 ,7.67 
117,2,8,7,9,6,5,4,7,7,2,1,7,8,8,7,8.00 ,5.00 ,7.00 ,1.50 ,7.67 
118,4,8,7,7,3,2,3,4,4,3,2,8,9,8,7,7.33 ,2.67 ,4.00 ,2.50 ,8.33 
119,1,2,1,2,3,4,3,7,7,2,2,8,9,8,8,1.67 ,3.33 ,7.00 ,2.00 ,8.33 
120,1,6,6,6,4,4,3,3,4,2,2,9,8,8,8,6.00 ,3.67 ,3.50 ,2.00 ,8.33 
121,3,4,3,5,3,3,3,7,8,5,5,8,7,8,6,4.00 ,3.00 ,7.50 ,5.00 ,7.67 
122,1,4,3,3,3,3,3,9,8,5,5,7,8,8,5,3.33 ,3.00 ,8.50 ,5.00 ,7.67 
123,2,3,3,2,2,2,3,5,6,9,8,9,9,8,6,2.67 ,2.33 ,5.50 ,8.50 ,8.67 
124,3,4,5,3,3,3,2,4,4,4,3,7,8,8,7,4.00 ,2.67 ,4.00 ,3.50 ,7.67 
125,3,7,7,8,3,2,2,3,4,7,7,6,7,8,5,7.33 ,2.33 ,3.50 ,7.00 ,7.00 
126,1,2,2,3,3,3,2,8,9,8,8,6,7,8,7,2.33 ,2.67 ,8.50 ,8.00 ,7.00 
127,3,7,8,7,2,1,0,8,9,6,5,7,8,8,3,7.33 ,1.00 ,8.50 ,5.50 ,7.67 
128,3,9,10,9,9,9,10,4,5,6,5,7,6,7,8,9.33 ,9.33 ,4.50 ,5.50 ,6.67 
129,3,4,3,4,9,9,10,5,6,7,6,8,7,7,9,3.67 ,9.33 ,5.50 ,6.50 ,7.33 
130,3,4,5,5,9,9,10,3,3,5,5,8,7,7,8,4.67 ,9.33 ,3.00 ,5.00 ,7.33 
131,5,3,2,3,9,10,10,7,8,9,9,8,7,7,10,2.67 ,9.67 ,7.50 ,9.00 ,7.33 
132,4,3,4,3,9,9,10,5,3,6,6,8,8,7,9,3.33 ,9.33 ,4.00 ,6.00 ,7.67 
133,2,9,10,10,9,10,10,6,6,7,6,5,6,7,9,9.67 ,9.67 ,6.00 ,6.50 ,6.00 
134,2,3,4,4,9,9,10,7,5,9,9,8,7,7,9,3.67 ,9.33 ,6.00 ,9.00 ,7.33 
135,1,8,9,8,9,9,10,3,2,8,7,6,7,7,7,8.33 ,9.33 ,2.50 ,7.50 ,6.67 
136,4,5,6,4,9,9,10,3,9,7,7,5,6,7,10,5.00 ,9.33 ,6.00 ,7.00 ,6.00 
137,2,5,4,5,9,9,10,8,7,2,2,9,8,7,8,4.67 ,9.33 ,7.50 ,2.00 ,8.00 
138,1,3,3,4,9,10,9,6,5,8,8,6,7,7,10,3.33 ,9.33 ,5.50 ,8.00 ,6.67 
139,3,5,5,4,9,9,9,4,3,2,3,6,6,7,9,4.67 ,9.00 ,3.50 ,2.50 ,6.33 
140,5,7,7,7,9,10,9,3,2,9,9,9,8,7,10,7.00 ,9.33 ,2.50 ,9.00 ,8.00 
141,1,4,4,4,8,9,9,3,2,4,3,8,8,7,8,4.00 ,8.67 ,2.50 ,3.50 ,7.67 
142,1,4,4,4,7,8,9,3,4,9,9,7,8,7,8,4.00 ,8.00 ,3.50 ,9.00 ,7.33 
143,4,3,2,4,8,9,9,5,6,7,6,5,6,7,7,3.00 ,8.67 ,5.50 ,6.50 ,6.00 
144,5,3,3,2,8,8,8,8,7,8,7,8,8,7,8,2.67 ,8.00 ,7.50 ,7.50 ,7.67 
145,4,6,7,7,6,7,8,5,6,4,4,9,8,7,7,6.67 ,7.00 ,5.50 ,4.00 ,8.00 
146,2,4,5,5,7,8,8,7,6,2,3,8,7,7,7,4.67 ,7.67 ,6.50 ,2.50 ,7.33 
147,3,3,2,4,9,8,8,6,6,2,3,7,6,7,7,3.00 ,8.33 ,6.00 ,2.50 ,6.67 
148,1,8,8,7,9,8,8,7,6,8,9,7,6,7,9,7.67 ,8.33 ,6.50 ,8.50 ,6.67 
149,5,5,4,6,8,9,8,5,5,4,4,7,6,7,7,5.00 ,8.33 ,5.00 ,4.00 ,6.67 
150,4,9,10,8,7,7,8,6,7,6,5,5,6,7,8,9.00 ,7.33 ,6.50 ,5.50 ,6.00 
151,4,9,10,10,7,8,7,4,4,5,6,9,8,7,10,9.67 ,7.33 ,4.00 ,5.50 ,8.00 
152,4,5,5,4,6,6,7,7,8,2,3,7,8,7,9,4.67 ,6.33 ,7.50 ,2.50 ,7.33 
153,4,3,3,3,7,7,7,9,10,7,7,5,6,7,9,3.00 ,7.00 ,9.50 ,7.00 ,6.00 
154,2,3,4,3,6,7,7,3,4,7,6,8,8,7,9,3.33 ,6.67 ,3.50 ,6.50 ,7.67 
155,4,4,4,3,5,6,7,4,4,2,1,7,6,7,7,3.67 ,6.00 ,4.00 ,1.50 ,6.67 
156,3,7,8,8,6,7,7,2,1,6,5,7,7,7,8,7.67 ,6.67 ,1.50 ,5.50 ,7.00 
157,5,3,3,3,8,7,7,6,5,5,6,8,7,7,8,3.00 ,7.33 ,5.50 ,5.50 ,7.33 
158,4,3,4,3,5,6,6,7,8,2,3,7,8,7,7,3.33 ,5.67 ,7.50 ,2.50 ,7.33 
159,4,6,6,6,7,7,6,3,2,9,8,5,6,7,8,6.00 ,6.67 ,2.50 ,8.50 ,6.00 
160,3,8,9,9,7,7,6,8,9,4,4,5,6,7,9,8.67 ,6.67 ,8.50 ,4.00 ,6.00 
161,4,2,2,2,6,7,6,7,6,5,4,8,8,7,9,2.00 ,6.33 ,6.50 ,4.50 ,7.67 
162,4,5,5,4,8,7,6,2,3,6,7,5,6,7,8,4.67 ,7.00 ,2.50 ,6.50 ,6.00 
163,5,9,8,10,6,5,5,4,4,7,7,6,7,7,9,9.00 ,5.33 ,4.00 ,7.00 ,6.67 
164,1,6,7,5,5,4,5,6,6,2,3,9,8,7,8,6.00 ,4.67 ,6.00 ,2.50 ,8.00 
165,2,2,3,3,6,5,5,7,8,2,3,5,6,10,8,2.67 ,5.33 ,7.50 ,2.50 ,7.00 
166,5,2,3,1,5,6,5,7,8,7,6,6,7,9,6,2.00 ,5.33 ,7.50 ,6.50 ,7.33 
167,4,7,7,6,5,4,5,2,1,4,5,7,6,8,7,6.67 ,4.67 ,1.50 ,4.50 ,7.00 
168,3,6,7,7,6,5,4,8,7,9,10,7,6,7,7,6.67 ,5.00 ,7.50 ,9.50 ,6.67 
169,1,7,8,8,5,4,4,3,3,2,3,6,7,10,5,7.67 ,4.33 ,3.00 ,2.50 ,7.67 
170,3,6,6,7,4,5,4,5,6,2,2,7,8,7,7,6.33 ,4.33 ,5.50 ,2.00 ,7.33 
171,1,8,9,9,2,3,4,3,2,8,8,6,6,6,5,8.67 ,3.00 ,2.50 ,8.00 ,6.00 
172,3,3,4,3,4,4,4,5,5,7,8,9,8,7,6,3.33 ,4.00 ,5.00 ,7.50 ,8.00 
173,1,9,10,10,4,4,4,3,4,8,7,7,6,7,8,9.67 ,4.00 ,3.50 ,7.50 ,6.67 
174,1,2,2,2,5,4,3,6,7,3,3,7,6,7,6,2.00 ,4.00 ,6.50 ,3.00 ,6.67 
175,2,5,6,5,3,3,3,2,3,3,2,7,7,7,6,5.33 ,3.00 ,2.50 ,2.50 ,7.00 
176,3,7,6,8,3,4,3,9,10,4,4,6,7,7,5,7.00 ,3.33 ,9.50 ,4.00 ,6.67 
177,4,5,6,4,3,2,2,2,2,5,6,6,7,7,5,5.00 ,2.33 ,2.00 ,5.50 ,6.67 
178,3,6,7,7,2,2,2,5,4,9,9,6,6,7,3,6.67 ,2.00 ,4.50 ,9.00 ,6.33 
179,2,4,3,5,3,2,2,6,6,3,2,6,7,7,6,4.00 ,2.33 ,6.00 ,2.50 ,6.67 
180,5,3,2,4,3,2,1,7,6,2,3,5,6,7,7,3.00 ,2.00 ,6.50 ,2.50 ,6.00 
181,1,3,4,3,2,1,1,4,3,2,3,8,8,7,1,3.33 ,1.33 ,3.50 ,2.50 ,7.67 
182,4,9,8,10,3,2,1,4,3,6,5,7,7,7,5,9.00 ,2.00 ,3.50 ,5.50 ,7.00 
183,1,9,9,9,2,1,1,5,5,7,6,7,6,7,5,9.00 ,1.33 ,5.00 ,6.50 ,6.67 
184,3,3,4,3,8,9,10,8,9,9,8,5,6,6,10,3.33 ,9.00 ,8.50 ,8.50 ,5.67 
185,3,4,4,4,9,10,10,2,3,6,6,5,6,6,10,4.00 ,9.67 ,2.50 ,6.00 ,5.67 
186,4,8,9,8,8,9,10,9,8,8,9,8,7,6,8,8.33 ,9.00 ,8.50 ,8.50 ,7.00 
187,1,5,6,6,7,8,9,5,5,3,3,6,5,6,7,5.67 ,8.00 ,5.00 ,3.00 ,5.67 
188,2,5,4,4,8,8,9,9,10,4,4,5,6,6,7,4.33 ,8.33 ,9.50 ,4.00 ,5.67 
189,1,9,9,8,8,9,9,8,7,9,9,5,5,6,9,8.67 ,8.67 ,7.50 ,9.00 ,5.33 
190,1,8,9,8,8,9,8,9,9,9,8,5,6,6,9,8.33 ,8.33 ,9.00 ,8.50 ,5.67 
191,2,8,8,8,9,8,8,4,3,3,2,6,7,6,9,8.00 ,8.33 ,3.50 ,2.50 ,6.33 
192,4,4,3,4,9,8,8,2,2,3,2,6,5,6,7,3.67 ,8.33 ,2.00 ,2.50 ,5.67 
193,1,4,3,3,8,7,8,2,1,7,6,6,5,6,6,3.33 ,7.67 ,1.50 ,6.50 ,5.67 
194,3,3,3,4,7,6,7,5,6,3,2,4,5,6,4,3.33 ,6.67 ,5.50 ,2.50 ,5.00 
195,4,6,5,7,7,6,7,2,3,3,3,6,6,6,8,6.00 ,6.67 ,2.50 ,3.00 ,6.00 
196,4,8,7,9,5,6,7,2,2,9,8,8,7,6,8,8.00 ,6.00 ,2.00 ,8.50 ,7.00 
197,5,6,7,7,8,7,7,3,4,6,5,6,5,6,8,6.67 ,7.33 ,3.50 ,5.50 ,5.67 
198,4,6,6,5,6,7,7,8,8,9,9,6,5,6,9,5.67 ,6.67 ,8.00 ,9.00 ,5.67 
199,4,6,7,6,7,7,7,9,10,9,10,6,7,6,6,6.33 ,7.00 ,9.50 ,9.50 ,6.33 
200,3,8,7,7,7,8,7,6,6,5,5,5,5,6,7,7.33 ,7.33 ,6.00 ,5.00 ,5.33 
201,3,5,5,6,5,5,6,6,5,8,7,7,6,6,5,5.33 ,5.33 ,5.50 ,7.50 ,6.33 
202,1,2,1,1,8,7,6,3,3,5,4,7,7,6,7,1.33 ,7.00 ,3.00 ,4.50 ,6.67 
203,1,4,4,5,8,7,6,6,5,3,4,6,6,6,8,4.33 ,7.00 ,5.50 ,3.50 ,6.00 
204,5,2,3,2,7,7,6,7,8,5,4,6,7,6,7,2.33 ,6.67 ,7.50 ,4.50 ,6.33 
205,3,8,7,7,6,6,6,7,8,5,5,6,6,6,8,7.33 ,6.00 ,7.50 ,5.00 ,6.00 
206,1,7,7,6,7,7,6,9,10,3,2,8,7,6,9,6.67 ,6.67 ,9.50 ,2.50 ,7.00 
207,1,3,2,3,6,5,6,6,7,9,10,7,6,6,6,2.67 ,5.67 ,6.50 ,9.50 ,6.33 
208,4,3,2,4,6,5,6,3,3,8,8,8,7,6,6,3.00 ,5.67 ,3.00 ,8.00 ,7.00 
209,2,7,8,8,6,5,6,9,9,8,7,7,7,6,7,7.67 ,5.67 ,9.00 ,7.50 ,6.67 
210,1,6,6,5,6,5,6,7,8,3,4,5,5,6,7,5.67 ,5.67 ,7.50 ,3.50 ,5.33 
211,5,6,5,5,7,7,6,4,4,7,8,6,6,6,6,5.33 ,6.67 ,4.00 ,7.50 ,6.00 
212,3,4,4,3,6,7,6,9,8,8,7,6,5,6,8,3.67 ,6.33 ,8.50 ,7.50 ,5.67 
213,1,4,3,5,6,5,6,4,5,8,8,5,5,6,8,4.00 ,5.67 ,4.50 ,8.00 ,5.33 
214,1,2,3,3,6,6,6,6,6,7,6,6,5,6,8,2.67 ,6.00 ,6.00 ,6.50 ,5.67 
215,5,2,3,3,7,6,5,4,4,2,2,7,7,6,7,2.67 ,6.00 ,4.00 ,2.00 ,6.67 
216,5,8,9,7,5,6,5,3,3,9,10,5,6,6,6,8.00 ,5.33 ,3.00 ,9.50 ,5.67 
217,1,7,7,7,5,4,5,3,4,9,10,6,7,6,8,7.00 ,4.67 ,3.50 ,9.50 ,6.33 
218,4,3,3,2,7,6,5,8,7,7,6,6,6,6,8,2.67 ,6.00 ,7.50 ,6.50 ,6.00 
219,4,2,1,2,5,4,5,8,7,2,2,7,6,6,8,1.67 ,4.67 ,7.50 ,2.00 ,6.33 
220,3,5,6,5,6,5,5,8,9,7,8,4,5,6,8,5.33 ,5.33 ,8.50 ,7.50 ,5.00 
221,2,3,2,3,3,4,5,8,8,2,3,7,6,6,5,2.67 ,4.00 ,8.00 ,2.50 ,6.33 
222,1,3,4,2,2,3,4,2,2,8,8,4,5,6,6,3.00 ,3.00 ,2.00 ,8.00 ,5.00 
223,2,3,2,4,5,4,4,2,1,7,8,5,5,6,7,3.00 ,4.33 ,1.50 ,7.50 ,5.33 
224,5,6,6,6,4,5,4,3,3,2,1,6,7,6,7,6.00 ,4.33 ,3.00 ,1.50 ,6.33 
225,4,6,5,5,4,4,4,8,7,4,3,6,5,6,5,5.33 ,4.00 ,7.50 ,3.50 ,5.67 
226,5,5,5,4,6,5,4,6,5,9,8,5,5,6,6,4.67 ,5.00 ,5.50 ,8.50 ,5.33 
