Customer,Date,StockCode,Price,Quantity
17851,10/13/2010 15:13,22726,3.75,1
17851,10/13/2010 15:13,22899,2.1,2
17851,10/13/2010 15:13,22028,0.42,12
17851,10/13/2010 15:13,22411,1.95,3
17851,10/13/2010 15:13,72799E,2.95,2
17851,10/13/2010 15:13,20750,7.95,1
17851,10/13/2010 15:13,22635,9.95,1
17851,10/13/2010 15:13,22986,0.42,25
17851,10/13/2010 15:13,16169C,0.42,25
17851,10/13/2010 15:13,22959,0.42,25
17851,12/11/2009 14:39,22155,0.42,4
17851,12/11/2009 14:39,51012C,1.25,2
17851,12/11/2009 14:39,51012L,1.25,2
17851,12/11/2009 14:39,35793,0.85,3
17851,12/11/2009 14:39,35838B,0.85,3
17851,12/11/2009 14:39,22274,2.95,1
17851,12/11/2009 14:39,22274,2.95,1
17851,12/11/2009 14:39,84952B,3.75,1
17851,12/11/2009 14:39,20971,1.25,3
17851,12/11/2009 14:39,20972,1.25,3
17851,12/11/2009 14:39,84378,1.25,3
17851,12/11/2009 14:39,84526,1.95,2
17851,12/11/2009 14:39,21407,4.25,1
17851,12/11/2009 14:39,21411,4.25,1
17851,12/11/2009 14:39,21542,0.85,5
17851,12/11/2009 14:39,21819,0.85,5
17851,12/11/2009 14:39,84559A,0.85,5
17851,12/11/2009 14:39,84559B,0.85,5
17851,12/11/2009 14:39,21818,0.85,5
17851,12/11/2009 14:39,21790,0.85,5
17851,12/11/2009 14:39,21889,1.25,4
17851,12/11/2009 14:39,21544,0.85,6
17851,12/11/2009 14:39,21541,0.85,6
17851,12/11/2009 14:39,22272,2.95,2
17851,12/11/2009 14:39,22273,2.95,2
17851,12/11/2009 14:39,21624,5.95,1
17851,12/11/2009 14:39,21756,5.95,1
17851,12/11/2009 14:39,85112,1.25,5
17851,12/11/2009 14:39,21791,1.25,5
17851,12/11/2009 14:39,21731,1.65,4
17851,12/11/2009 14:39,21327,1.65,4
17851,12/11/2009 14:39,21330,1.65,4
17851,12/11/2009 14:39,21115,6.75,1
17851,12/11/2009 14:39,21364,6.75,1
17851,12/11/2009 14:39,21462,6.75,1
17851,12/11/2009 14:39,84952A,3.75,2
17851,12/11/2009 14:39,21821,3.75,2
17851,12/11/2009 14:39,21842,2.55,3
17851,12/11/2009 14:39,21832,1.65,5
17851,12/11/2009 14:39,21841,4.25,2
17851,12/11/2009 14:39,22271,2.95,3
17851,12/11/2009 14:39,22086,2.95,3
17851,12/11/2009 14:39,21360,9.95,1
17851,12/11/2009 14:39,22177,9.95,1
17851,12/11/2009 14:39,21833,1.69,6
17851,12/11/2009 14:39,22212,2.1,5
17851,12/11/2009 14:39,21839,5.45,2
17851,12/11/2009 14:39,84952C,3.75,3
17851,12/11/2009 14:39,22122,2.95,4
17851,12/11/2009 14:39,22125,5.95,2
17851,12/11/2009 14:39,22149,2.1,6
17851,12/11/2009 14:39,22112,4.95,3
17851,12/11/2009 14:39,22138,4.95,3
17851,12/11/2009 14:39,22166,7.95,2
17851,12/11/2009 14:39,84712B,7.95,2
17851,12/11/2009 14:39,21491,1.95,9
17851,12/11/2009 14:39,35793,0.85,24
17851,12/11/2009 14:39,84558A,2.95,7
17851,12/20/2009 12:06,85024C,1.65,1
17851,12/20/2009 12:06,84678,2.55,1
17851,12/20/2009 12:06,84682,2.95,1
17851,12/20/2009 12:06,22086,2.95,1
17851,12/20/2009 12:06,85024C,1.65,2
17851,12/20/2009 12:06,20818,3.75,1
17851,12/20/2009 12:06,20819,3.75,1
17851,12/20/2009 12:06,51012C,1.25,3
17851,12/20/2009 12:06,84559A,0.85,5
17851,12/20/2009 12:06,22196,0.85,5
17851,12/20/2009 12:06,21731,1.65,3
17851,12/20/2009 12:06,21506,0.42,12
17851,12/20/2009 12:06,20783,5.49,1
17851,12/20/2009 12:06,20781,5.49,1
17851,12/20/2009 12:06,20781,5.49,1
17851,12/20/2009 12:06,22086,2.95,2
17851,12/20/2009 12:06,21754,5.95,1
17851,12/20/2009 12:06,21329,1.65,4
17851,12/20/2009 12:06,22110,3.45,2
17851,12/20/2009 12:06,22119,6.95,1
17851,12/20/2009 12:06,84946,1.25,6
17851,12/20/2009 12:06,84680,7.95,1
17851,12/20/2009 12:06,22076,1.65,5
17851,12/20/2009 12:06,22195,1.65,5
17851,12/20/2009 12:06,22193,8.5,1
17851,12/20/2009 12:06,21581,2.25,4
17851,12/20/2009 12:06,21330,1.65,6
17851,12/20/2009 12:06,21497,0.42,25
17851,12/20/2009 12:06,22049,0.42,25
17851,12/20/2009 12:06,21498,0.42,25
17851,12/20/2009 12:06,84708B,4.95,3
17851,12/20/2009 12:06,21374,3.75,4
17851,12/20/2009 12:06,21479,3.75,5
17851,12/20/2009 12:06,22149,2.1,9
17851,12/20/2009 12:06,22122,2.95,7
17851,12/20/2009 12:06,84712B,7.95,3
17851,12/20/2009 12:06,22082,1.65,15
17851,12/20/2009 12:06,21491,1.95,33
17851,12/3/2009 17:46,22296,1.65,1
17851,12/3/2009 17:46,21818,0.85,2
17851,12/3/2009 17:46,21080,0.85,2
17851,12/3/2009 17:46,20975,0.65,3
17851,12/3/2009 17:46,20974,0.65,3
17851,12/3/2009 17:46,79160,2.1,1
17851,12/3/2009 17:46,51012L,1.25,2
17851,12/3/2009 17:46,84507B,2.55,1
17851,12/3/2009 17:46,21989,0.85,3
17851,12/3/2009 17:46,22158,2.95,1
17851,12/3/2009 17:46,21333,2.95,1
17851,12/3/2009 17:46,22335,0.65,5
17851,12/3/2009 17:46,21541,0.85,4
17851,12/3/2009 17:46,21542,0.85,4
17851,12/3/2009 17:46,21544,0.85,4
17851,12/3/2009 17:46,20972,1.25,3
17851,12/3/2009 17:46,84946,1.25,3
17851,12/3/2009 17:46,21490,1.95,2
17851,12/3/2009 17:46,21491,1.95,2
17851,12/3/2009 17:46,21543,0.85,5
17851,12/3/2009 17:46,21656,1.45,3
17851,12/3/2009 17:46,22142,1.45,3
17851,12/3/2009 17:46,10138,0.42,11
17851,12/3/2009 17:46,22296,1.65,3
17851,12/3/2009 17:46,21224,1.25,4
17851,12/3/2009 17:46,21791,1.25,4
17851,12/3/2009 17:46,82482,2.55,2
17851,12/3/2009 17:46,21790,0.85,6
17851,12/3/2009 17:46,82494L,2.95,2
17851,12/3/2009 17:46,22173,2.95,2
17851,12/3/2009 17:46,46000M,1.55,4
17851,12/3/2009 17:46,84406B,3.25,2
17851,12/3/2009 17:46,22113,3.45,2
17851,12/3/2009 17:46,21821,3.75,2
17851,12/3/2009 17:46,21479,3.75,2
17851,12/3/2009 17:46,22319,0.65,12
17851,12/3/2009 17:46,22114,3.95,2
17851,12/3/2009 17:46,22149,2.1,4
17851,12/3/2009 17:46,85167A,4.25,2
17851,12/3/2009 17:46,22122,2.95,3
17851,12/3/2009 17:46,20861,2.1,5
17851,12/3/2009 17:46,22125,5.95,2
17851,12/3/2009 17:46,22112,4.95,3
17851,12/3/2009 17:46,84680,7.95,2
17851,12/3/2009 17:46,20783,5.49,3
17851,12/3/2009 17:46,21837,5.95,4
17851,12/3/2009 17:46,21353,7.95,5
17851,7/1/2010 18:12,21211,1.45,1
17851,7/1/2010 18:12,20727,1.65,1
17851,7/1/2010 18:12,22437,0.85,2
17851,7/1/2010 18:12,22434,1.95,1
17851,7/1/2010 18:12,22435,1.25,2
17851,7/1/2010 18:12,21541,0.85,3
17851,7/1/2010 18:12,84279P,3.75,1
17851,7/1/2010 18:12,22473,4.95,1
17851,7/1/2010 18:12,22476,4.95,1
17851,7/1/2010 18:12,22611,4.95,1
17851,7/1/2010 18:12,22586,0.85,6
17851,7/1/2010 18:12,22499,5.95,1
17851,7/1/2010 18:12,21207,1.65,4
17851,7/1/2010 18:12,22625,8.5,1
17851,7/1/2010 18:12,21224,1.25,7
17851,7/1/2010 18:12,21541,0.85,12
17851,7/1/2010 18:12,21625,6.95,2
17851,7/1/2010 18:12,21781,14.95,1
17852,11/16/2010 12:19,22532,0.42,1
17852,11/16/2010 12:19,22161,0.65,1
17852,11/16/2010 12:19,22154,0.42,2
17852,11/16/2010 12:19,22229,0.85,1
17852,11/16/2010 12:19,22228,0.85,1
17852,11/16/2010 12:19,22181,0.85,1
17852,11/16/2010 12:19,21357,1.25,1
17852,11/16/2010 12:19,22174,1.65,1
17852,11/16/2010 12:19,22652,1.65,1
17852,11/16/2010 12:19,21186,1.65,1
17852,11/16/2010 12:19,21186,1.65,1
17852,11/16/2010 12:19,22295,1.65,1
17852,11/16/2010 12:19,22867,2.1,1
17852,11/16/2010 12:19,20752,2.1,1
17852,11/16/2010 12:19,22153,0.42,5
17852,11/16/2010 12:19,84836,1.25,2
17852,11/16/2010 12:19,21810,1.25,2
17852,11/16/2010 12:19,21791,1.25,2
17852,11/16/2010 12:19,22567,1.25,2
17852,11/16/2010 12:19,22296,1.65,2
17852,11/16/2010 12:19,22156,0.85,4
17852,11/16/2010 12:19,22599,0.85,4
17852,11/16/2010 12:19,22548,1.25,3
17852,11/16/2010 12:19,84763,1.25,3
17852,11/16/2010 12:19,84926E,1.25,3
17852,11/16/2010 12:19,84926E,1.25,3
17852,11/16/2010 12:19,22952,0.55,7
17852,11/16/2010 12:19,84012,2.55,2
17852,11/16/2010 12:19,22597,0.85,6
17852,11/16/2010 12:19,21696,2.95,2
17852,11/16/2010 12:19,21809,1.25,5
17852,11/16/2010 12:19,22853,3.25,2
17852,11/16/2010 12:19,84947,1.25,6
17852,11/16/2010 12:19,22294,1.25,6
17852,11/16/2010 12:19,21811,1.25,6
17852,11/16/2010 12:19,22866,2.1,5
17852,11/16/2010 12:19,21743,2.95,5
17852,11/16/2010 12:19,21692,3.75,4
17852,11/16/2010 12:19,22312,2.95,6
17852,12/15/2009 11:06,21805,0.42,1
17852,12/15/2009 11:06,21014,0.85,1
17852,12/15/2009 11:06,84947,1.25,1
17852,12/15/2009 11:06,21805,0.42,3
17852,12/15/2009 11:06,22155,0.42,4
17852,12/15/2009 11:06,22153,0.42,5
17852,12/15/2009 11:06,84971L,1.25,2
17852,12/15/2009 11:06,22297,1.25,2
17852,12/15/2009 11:06,22336,0.65,4
17852,12/15/2009 11:06,22338,0.65,5
17852,12/15/2009 11:06,22297,1.25,3
17852,12/15/2009 11:06,84947,1.25,3
17852,12/15/2009 11:06,22337,0.65,7
17852,12/15/2009 11:06,21187,1.65,3
17852,12/15/2009 11:06,20906,2.95,2
17852,12/15/2009 11:06,20896,2.95,2
17852,12/15/2009 11:06,85123A,2.95,2
17852,12/15/2009 11:06,21637,1.25,5
17852,12/15/2009 11:06,21809,1.25,5
17852,12/15/2009 11:06,22294,1.25,5
17852,12/15/2009 11:06,20857,1.65,4
17852,12/15/2009 11:06,22156,0.85,8
17852,12/15/2009 11:06,21691,3.75,2
17852,12/15/2009 11:06,21810,1.25,6
17852,12/15/2009 11:06,21010,1.25,6
17852,12/15/2009 11:06,21811,1.25,7
17852,12/15/2009 11:06,21186,1.65,6
17852,12/15/2009 11:06,35600D,9.95,1
17852,12/15/2009 11:06,21692,3.75,3
17852,12/15/2009 11:06,21690,3.75,4
17852,12/15/2009 11:06,90190C,2.95,9
17852,12/15/2009 11:06,90186A,2.95,9
17852,12/15/2009 11:06,90185B,4.25,9
17852,12/15/2009 11:06,90190B,2.95,13
17852,12/8/2009 12:51,85178,1.25,2
17852,12/8/2009 12:51,85071A,2.95,1
17852,12/8/2009 12:51,21810,1.25,3
17852,12/8/2009 12:51,22297,1.25,3
17852,12/8/2009 12:51,84947,1.25,3
17852,12/8/2009 12:51,22156,0.85,5
17852,12/8/2009 12:51,22111,4.95,1
17852,12/8/2009 12:51,85123A,2.95,2
17852,12/8/2009 12:51,21811,1.25,6
17852,12/8/2009 12:51,22294,1.25,6
17852,12/8/2009 12:51,21690,3.75,3
17852,12/8/2009 12:51,21809,1.25,11
17852,12/8/2009 12:51,21810,1.25,13
17853,10/28/2010 15:29,82605,2.1,4
17853,10/28/2010 15:29,82600,2.1,4
17853,10/28/2010 15:29,22026,0.42,24
17853,10/28/2010 15:29,22023,0.42,24
17853,10/28/2010 15:29,21506,0.42,24
17853,10/28/2010 15:29,85114A,1.65,8
17853,10/28/2010 15:29,85114B,1.65,8
17853,10/28/2010 15:29,85169A,1.25,12
17853,10/28/2010 15:29,22118,4.95,4
17853,10/28/2010 15:29,35004C,5.45,4
17853,10/28/2010 15:29,15056N,5.95,4
17853,10/28/2010 15:29,15056BL,5.95,4
17853,10/28/2010 15:29,20679,5.95,4
17853,10/28/2010 15:29,85014A,5.95,4
17853,10/28/2010 15:29,85014B,5.95,4
17853,10/28/2010 15:29,85170A,2.1,12
17853,10/28/2010 15:29,84879,1.69,16
17853,10/28/2010 15:29,21613,2.95,12
17853,10/28/2010 15:29,21754,5.95,6
17853,10/28/2010 15:29,21755,5.95,6
17853,10/28/2010 15:29,79067,3.75,10
17853,10/28/2010 15:29,35004G,6.35,6
17853,10/28/2010 15:29,22423,12.75,4
17853,12/3/2009 15:09,21232,1.25,2
17853,12/3/2009 15:09,22142,1.45,3
17853,12/3/2009 15:09,22145,2.1,3
17853,12/3/2009 15:09,15060B,3.75,2
17853,12/3/2009 15:09,22150,1.95,4
17853,12/3/2009 15:09,20682,3.25,3
17853,12/3/2009 15:09,20776,1.65,6
17853,12/3/2009 15:09,22049,0.42,25
17853,12/3/2009 15:09,85014D,5.95,2
17853,12/3/2009 15:09,85014C,5.95,2
17853,12/3/2009 15:09,35004G,6.35,2
17853,12/3/2009 15:09,85098B,3.75,4
17853,12/3/2009 15:09,20764,3.75,4
17853,12/3/2009 15:09,21490,1.95,8
17853,12/3/2009 15:09,35004C,5.45,3
17853,12/3/2009 15:09,85114B,1.65,10
17853,12/3/2009 15:09,21484,3.45,6
17853,12/3/2009 15:09,84029C,3.75,6
17853,12/3/2009 15:09,21479,3.75,6
17853,12/3/2009 15:09,84029G,3.75,6
17853,12/3/2009 15:09,79067,3.75,6
17853,12/3/2009 15:09,21871,1.25,18
17853,12/3/2009 15:09,35004G,6.35,4
17853,12/3/2009 15:09,84706B,8.95,3
17853,12/3/2009 15:09,37501,6.95,4
17853,12/3/2009 15:09,21340,12.75,3
17853,12/3/2009 15:09,37500,9.95,4
17853,12/3/2009 15:09,37503,10.75,4
17853,12/3/2009 15:09,84813,12.75,6
17853,8/20/2010 11:14,84683,1.25,1
17853,8/20/2010 11:14,47503H,1.95,1
17853,8/20/2010 11:14,85169A,1.25,2
17853,8/20/2010 11:14,85169B,1.25,2
17853,8/20/2010 11:14,22699,2.95,1
17853,8/20/2010 11:14,22697,2.95,1
17853,8/20/2010 11:14,22698,2.95,1
17853,8/20/2010 11:14,21910,1.65,2
17853,8/20/2010 11:14,82567,2.1,2
17853,8/20/2010 11:14,82583,2.1,2
17853,8/20/2010 11:14,82605,2.1,2
17853,8/20/2010 11:14,85017C,0.85,5
17853,8/20/2010 11:14,84792,4.65,1
17853,8/20/2010 11:14,22023,0.42,12
17853,8/20/2010 11:14,22030,0.42,12
17853,8/20/2010 11:14,22026,0.42,12
17853,8/20/2010 11:14,84247L,0.42,12
17853,8/20/2010 11:14,84678,2.55,2
17853,8/20/2010 11:14,21610,2.95,2
17853,8/20/2010 11:14,21613,2.95,2
17853,8/20/2010 11:14,84682,2.95,2
17853,8/20/2010 11:14,21754,5.95,1
17853,8/20/2010 11:14,21755,5.95,1
17853,8/20/2010 11:14,21260,3.25,2
17853,8/20/2010 11:14,85114B,1.65,4
17853,8/20/2010 11:14,85114A,1.65,4
17853,8/20/2010 11:14,21616,3.75,2
17853,8/20/2010 11:14,21745,3.75,2
17853,8/20/2010 11:14,84680,7.95,1
17853,8/20/2010 11:14,22415,7.95,1
17853,8/20/2010 11:14,85170A,2.1,4
17853,8/20/2010 11:14,22624,8.5,1
17853,8/20/2010 11:14,22625,8.5,1
17853,8/20/2010 11:14,22627,8.5,1
17853,8/20/2010 11:14,72760B,9.95,1
17853,8/20/2010 11:14,22394,2.55,4
17853,8/20/2010 11:14,22048,0.42,25
17853,8/20/2010 11:14,22052,0.42,25
17853,8/20/2010 11:14,22047,0.42,25
17853,8/20/2010 11:14,21619,3.75,3
17853,8/20/2010 11:14,15056BL,5.95,2
17853,8/20/2010 11:14,15056BL,5.95,2
17853,8/20/2010 11:14,22423,12.75,1
17853,8/20/2010 11:14,79030D,1.65,8
17853,8/20/2010 11:14,21906,6.75,2
17853,8/20/2010 11:14,22365,7.49,2
17853,8/20/2010 11:14,22366,7.49,2
17853,8/20/2010 11:14,21523,7.49,2
17853,8/20/2010 11:14,37370,1.25,12
17853,8/20/2010 11:14,21765,7.95,2
17853,8/20/2010 11:14,35004C,5.45,3
17853,8/20/2010 11:14,35004G,6.35,3
17853,8/20/2010 11:14,79067,3.75,8
17853,8/20/2010 11:14,84879,1.69,24
17854,12/8/2009 11:13,21034,0.95,1
17854,12/8/2009 11:13,21559,2.55,1
17854,12/8/2009 11:13,22353,2.55,1
17854,12/8/2009 11:13,21561,2.55,1
17854,12/8/2009 11:13,84586L,2.95,1
17854,12/8/2009 11:13,37492D,4.65,1
17854,12/8/2009 11:13,37492A,4.65,1
17854,12/8/2009 11:13,47591D,1.95,3
17854,12/8/2009 11:13,20994,0.85,9
17854,12/8/2009 11:13,37485,4.65,2
17854,12/8/2009 11:13,20864,2.1,6
17854,12/8/2009 11:13,85035A,4.25,3
17854,12/8/2009 11:13,20865,2.1,7
17854,12/8/2009 11:13,85222,2.1,12
17854,12/8/2009 11:13,11001,1.69,16
17854,7/13/2010 12:38,85227,0.85,1
17854,7/13/2010 12:38,85049B,1.25,1
17854,7/13/2010 12:38,22536,0.42,3
17854,7/13/2010 12:38,22585,1.25,2
17854,7/13/2010 12:38,21830,0.42,24
17854,7/13/2010 12:38,21635,3.75,3
17854,7/13/2010 12:38,21632,12.75,1
17854,7/13/2010 12:38,21634,1.25,24
17854,7/13/2010 12:38,21214,1.45,43
17854,7/13/2010 12:41,21034,0.95,1
17854,9/3/2010 12:06,21916,0.42,1
17854,9/3/2010 12:06,21975,0.55,1
17854,9/3/2010 12:06,15039,0.85,1
17854,9/3/2010 12:06,79191C,0.85,1
17854,9/3/2010 12:06,79191D,0.85,1
17854,9/3/2010 12:06,21061,0.85,1
17854,9/3/2010 12:06,21122,1.25,1
17854,9/3/2010 12:06,21126,1.25,1
17854,9/3/2010 12:06,22435,1.25,1
17854,9/3/2010 12:06,21125,1.25,1
17854,9/3/2010 12:06,85049B,1.25,1
17854,9/3/2010 12:06,21125,1.25,1
17854,9/3/2010 12:06,21121,1.25,1
17854,9/3/2010 12:06,84988,1.45,1
17854,9/3/2010 12:06,21329,1.65,1
17854,9/3/2010 12:06,84849B,1.69,1
17854,9/3/2010 12:06,22851,0.85,2
17854,9/3/2010 12:06,21077,0.85,2
17854,9/3/2010 12:06,21078,0.85,2
17854,9/3/2010 12:06,79191B,0.85,2
17854,9/3/2010 12:06,22418,0.85,2
17854,9/3/2010 12:06,22418,0.85,2
17854,9/3/2010 12:06,84559B,0.85,2
17854,9/3/2010 12:06,84559A,0.85,2
17854,9/3/2010 12:06,21082,0.85,2
17854,9/3/2010 12:06,22613,0.85,2
17854,9/3/2010 12:06,22631,1.95,1
17854,9/3/2010 12:06,22434,1.95,1
17854,9/3/2010 12:06,22659,1.95,1
17854,9/3/2010 12:06,22629,1.95,1
17854,9/3/2010 12:06,21088,0.65,3
17854,9/3/2010 12:06,21084,0.65,3
17854,9/3/2010 12:06,20752,2.1,1
17854,9/3/2010 12:06,22440,0.42,5
17854,9/3/2010 12:06,51020B,1.25,2
17854,9/3/2010 12:06,21126,1.25,2
17854,9/3/2010 12:06,21201,2.55,1
17854,9/3/2010 12:06,21535,2.55,1
17854,9/3/2010 12:06,17107D,2.55,1
17854,9/3/2010 12:06,22328,2.95,1
17854,9/3/2010 12:06,22359,2.95,1
17854,9/3/2010 12:06,22360,2.95,1
17854,9/3/2010 12:06,22364,2.95,1
17854,9/3/2010 12:06,21249,2.95,1
17854,9/3/2010 12:06,22554,1.65,2
17854,9/3/2010 12:06,21096,0.85,4
17854,9/3/2010 12:06,21484,3.45,1
17854,9/3/2010 12:06,22568,3.75,1
17854,9/3/2010 12:06,21194,2.1,2
17854,9/3/2010 12:06,22429,4.25,1
17854,9/3/2010 12:06,22551,1.65,3
17854,9/3/2010 12:06,22472,4.95,1
17854,9/3/2010 12:06,22474,4.95,1
17854,9/3/2010 12:06,21201,2.55,2
17854,9/3/2010 12:06,21090,0.85,6
17854,9/3/2010 12:06,21675,0.85,6
17854,9/3/2010 12:06,22436,0.65,10
17854,9/3/2010 12:06,22556,1.65,4
17854,9/3/2010 12:06,22557,1.65,4
17854,9/3/2010 12:06,84882,3.75,2
17854,9/3/2010 12:06,22636,8.5,1
17854,9/3/2010 12:06,15039,0.85,11
17854,9/3/2010 12:06,22635,9.95,1
17854,9/3/2010 12:06,22634,9.95,1
17854,9/3/2010 12:06,21205,2.55,4
17854,9/3/2010 12:06,22040,0.42,25
17854,9/3/2010 12:06,16169N,0.42,25
17854,9/3/2010 12:06,22045,0.42,25
17854,9/3/2010 12:06,21219,1.25,10
17854,9/3/2010 12:06,22548,1.25,10
17854,9/3/2010 12:06,21906,6.75,2
17854,9/3/2010 12:06,84077,0.29,48
17854,9/3/2010 12:06,21643,1.25,12
17854,9/3/2010 12:06,22606,15.95,1
17854,9/3/2010 12:06,22138,4.95,4
17854,9/3/2010 12:06,21833,1.69,12
17854,9/3/2010 12:06,84944,4.25,6
17854,9/3/2010 12:06,22693,1.25,24
17854,9/3/2010 12:06,51008,3.45,10
17854,9/3/2010 12:06,22451,3.35,12
17855,12/2/2010 9:44,22818,0.42,12
17855,12/2/2010 9:44,22044,0.42,12
17855,12/2/2010 9:44,22029,0.42,12
17855,12/2/2010 9:44,22037,0.42,12
17855,12/2/2010 9:44,21360,9.95,1
17855,12/2/2010 9:44,21918,0.42,24
17855,12/2/2010 9:44,22544,0.42,24
17855,12/2/2010 9:44,21790,0.85,12
17855,12/2/2010 9:44,22945,0.85,12
17855,12/2/2010 9:44,22149,2.1,6
17855,12/2/2010 9:44,22620,1.25,12
17855,12/2/2010 9:44,21791,1.25,12
17855,12/2/2010 9:44,84836,1.25,12
17855,12/2/2010 9:44,22652,1.65,10
17855,12/2/2010 9:44,22736,1.65,10
17855,12/2/2010 9:44,22910,2.95,6
17855,12/2/2010 9:44,22619,3.75,8
17857,12/9/2010 11:35,22536,0.36,400
17857,12/9/2010 11:35,21190,1.45,110
17857,12/9/2010 11:35,22560,1.06,250
17857,12/9/2010 11:35,22492,0.55,1394
17857,3/8/2010 12:09,22260,0.72,300
17857,3/8/2010 12:09,22261,0.72,350
17858,10/1/2010 16:11,84406B,3.25,16
17858,10/1/2010 16:11,84792,4.65,12
17858,10/24/2010 14:16,85067,18.95,1
17858,10/24/2010 14:16,82483,5.95,4
17858,10/24/2010 14:16,22764,24.95,1
17858,10/24/2010 14:16,21761,29.95,1
17858,10/24/2010 14:16,82486,7.95,6
17858,11/14/2010 13:55,22561,1.65,1
17858,11/14/2010 13:55,20829,2.1,4
17858,11/14/2010 13:55,21745,3.75,3
17858,11/14/2010 13:55,82484,6.45,2
17858,11/14/2010 13:55,40003,1.25,12
17858,11/14/2010 13:55,82482,2.55,6
17858,11/14/2010 13:55,21463,5.95,3
17858,11/14/2010 13:55,85067,18.95,1
17858,11/14/2010 13:55,40001,0.85,24
17858,11/14/2010 13:55,21669,1.25,18
17858,11/14/2010 13:55,21672,1.25,18
17858,11/14/2010 13:55,84212,0.65,36
17858,11/14/2010 13:55,22173,2.95,8
17858,11/14/2010 13:55,21340,12.75,2
17858,11/14/2010 13:55,84406B,3.25,8
17858,11/14/2010 13:55,82483,5.95,6
17858,11/14/2010 13:55,21671,1.25,30
17858,11/14/2010 13:55,82486,6.95,12
17858,11/2/2010 17:29,84965B,30,1
17858,11/2/2010 17:29,84965A,30,1
17858,11/2/2010 17:29,84964B,30,1
17858,11/2/2010 17:29,84964A,30,1
17858,11/2/2010 17:29,84966C,12,4
17858,11/2/2010 17:29,84967B,30,3
17858,11/2/2010 17:29,84966A,12,8
17858,11/2/2010 17:29,84963A,15,8
17858,11/2/2010 17:29,84963B,15,8
17858,11/2/2010 17:29,84966B,12,12
17858,11/26/2010 16:44,21745,3.75,2
17858,11/26/2010 16:44,20668,0.12,120
17858,11/26/2010 16:44,84792,4.65,6
17858,11/26/2010 16:44,75049L,1.25,36
17858,12/20/2009 12:47,21463,4.95,16
17858,12/20/2009 12:47,79323W,5.45,24
17858,12/20/2009 12:47,79323G,5.45,24
17858,12/20/2009 12:47,79323LP,5.45,24
17858,12/20/2009 12:47,79323P,5.45,24
17858,12/5/2010 13:08,82581,0.55,2
