sample,male,brand,performance,fuel_efficiency,design,recommend
208,0,Dec,6,2,6,4
209,1,Sun,5,4,2,5
210,0,Mon,5,6,3,5
211,0,Sat,5,1,2,4
212,1,Fri,3,4,2,4
213,1,Jan,1,6,5,2
214,1,Feb,4,4,1,3
215,0,Mar,4,4,5,5
216,0,Apr,2,3,2,2
217,1,May,5,4,3,5
218,0,Jun,2,2,6,3
219,1,Jul,5,5,3,5
220,0,Aug,3,3,4,4
221,0,Sep,7,3,1,5
222,0,Oct,2,3,5,4
223,1,Nov,4,4,2,4
224,0,Dec,4,4,6,3
225,1,Sun,5,4,7,5
226,1,Mon,1,6,1,2
227,0,Sat,4,5,2,5
228,1,Fri,2,5,4,3
229,1,Jan,2,4,3,2
230,1,Feb,3,7,3,4
231,1,Mar,2,6,4,2
232,1,Apr,2,5,4,3
233,1,Jan,3,4,3,4
234,1,Feb,5,4,4,3
235,0,Mar,4,7,1,4
236,1,Apr,2,4,7,4
237,1,May,4,3,6,4
238,0,Jun,4,2,6,4
239,1,Jul,6,5,5,5
240,1,Aug,3,2,1,2
241,0,Sep,7,4,5,5
242,0,Oct,4,5,6,3
243,0,Nov,6,6,2,4
244,0,Dec,7,1,2,5
245,1,Sun,7,2,1,5
246,0,Mon,3,3,2,3
247,1,Sat,5,6,2,4
248,1,Fri,3,4,3,4
249,1,Jan,1,6,4,4
250,1,Feb,3,6,3,4
251,0,Mar,1,4,2,2
252,1,Apr,4,3,6,3
253,1,May,6,3,5,6
254,0,Jun,5,2,4,5
255,1,Jul,7,4,4,4
256,1,Aug,4,5,5,3
257,1,Sep,5,5,7,4
258,1,Oct,6,7,2,4
259,0,Nov,5,5,6,5
260,1,Dec,7,2,2,3
261,1,Sun,5,4,7,4
262,1,Mon,2,4,6,4
263,1,Sat,4,2,6,5
264,1,Fri,3,4,2,3
265,0,Jan,3,3,5,2
266,1,Feb,6,5,3,4
267,0,Mar,2,7,2,3
268,1,Apr,4,3,5,5
269,0,May,5,1,6,4
270,1,Jun,4,5,4,3
271,0,Jul,7,5,6,6
272,0,Aug,4,6,5,5
273,0,Sep,5,3,5,5
274,0,Oct,6,4,6,6
275,0,Nov,7,6,4,7
276,1,Dec,6,3,5,5
277,0,Sun,7,4,3,4
278,1,Mon,2,7,3,3
279,0,Sat,4,5,2,5
280,1,Fri,5,5,6,6
281,0,Jan,4,6,4,5
282,1,Feb,3,7,5,3
283,1,Mar,5,5,5,6
284,0,Apr,4,5,5,3
285,0,May,7,2,1,5
286,0,Jun,2,3,4,2
287,1,Jul,4,4,7,5
288,0,Aug,2,4,4,2
289,0,Sep,6,4,6,4
290,0,Oct,4,5,6,5
291,1,Nov,5,5,6,5
292,1,Dec,5,5,7,5
293,1,Sun,5,6,7,4
294,0,Mon,4,4,3,3
295,0,Sat,7,3,7,5
296,1,Fri,5,4,4,3
297,1,Jan,2,5,3,4
298,0,Feb,6,4,3,4
299,1,Mar,5,5,1,5
300,0,Apr,2,3,5,2
301,1,May,4,3,3,2
302,0,Jun,4,3,1,2
303,0,Jul,6,6,7,7
304,1,Aug,1,6,5,3
305,1,Sep,6,3,3,4
306,1,Oct,6,5,7,7
307,1,Nov,7,5,4,7
308,1,Dec,4,4,7,5
309,0,Sun,6,4,2,4
310,0,Mon,3,4,7,5
311,1,Sat,5,4,3,4
312,0,Fri,3,7,5,4
313,1,Jan,1,3,3,2
314,0,Feb,7,4,7,6
315,1,Mar,1,6,4,3
316,0,Apr,4,2,6,3
317,1,May,3,1,5,2
318,0,Jun,5,4,2,4
319,1,Jul,5,5,3,3
320,0,Aug,3,7,6,5
321,1,Sep,4,2,1,3
322,1,Oct,2,3,5,3
323,0,Nov,4,6,6,5
324,0,Dec,4,5,1,5
325,0,Sun,7,4,5,5
326,1,Jan,2,3,4,3
327,1,Feb,6,2,4,4
328,0,Mar,1,7,7,5
329,1,Apr,2,3,6,4
330,0,May,4,5,4,4
331,0,Jun,4,3,1,4
332,1,Jul,4,3,1,4
333,1,Aug,2,3,6,3
334,1,Sep,4,3,3,3
335,0,Oct,7,6,5,5
336,1,Nov,7,7,4,6
337,0,Dec,5,6,1,3
338,1,Sun,6,4,6,4
339,1,Mon,6,5,6,5
340,0,Sat,5,2,6,3
341,0,Fri,2,5,6,4
342,0,Mon,3,3,4,2
343,0,Sat,4,5,6,5
344,1,Fri,3,7,6,5
345,1,Jan,5,6,6,6
346,1,Feb,7,6,6,7
347,1,Mar,5,7,2,6
348,1,Apr,1,5,5,2
349,0,May,6,2,7,6
350,0,Jun,3,2,3,4
351,1,Jul,5,5,2,5
352,0,Aug,4,3,3,3
353,1,Sep,5,3,3,3
354,1,Oct,2,2,3,2
355,0,Nov,7,4,2,4
356,0,Dec,6,2,5,5
357,0,Sun,7,5,6,6
358,0,Mon,3,4,2,2
359,0,Sat,5,5,4,4
360,1,Fri,4,5,4,4
361,0,Jan,2,3,7,3
362,1,Feb,6,5,2,5
363,0,Mar,1,3,4,2
364,1,Apr,4,4,7,5
365,1,May,4,4,5,4
366,1,Jun,3,5,3,4
367,0,Jul,7,5,5,6
368,1,Aug,2,2,5,1
369,0,Sep,5,2,3,3
370,0,Oct,4,4,7,5
371,0,Nov,6,5,5,6
372,1,Dec,4,3,3,2
373,1,Sun,7,5,1,4
374,1,Mon,1,5,2,2
375,1,Sat,6,2,4,3
376,0,Fri,3,6,3,5
377,1,Jan,1,2,3,2
378,0,Feb,4,4,7,3
379,0,Mar,1,6,1,1
380,0,Apr,2,2,1,1
381,1,Jan,2,2,7,2
382,0,Feb,6,5,7,6
383,0,Mar,1,3,5,2
384,0,Apr,4,5,3,4
385,1,May,4,1,1,1
386,0,Jun,4,2,1,2
387,1,Jul,4,3,4,5
388,1,Aug,4,7,7,6
389,0,Sep,5,4,2,3
390,0,Oct,4,3,3,3
391,0,Nov,5,6,5,5
392,1,Dec,6,2,3,3
393,1,Sun,7,3,7,4
394,0,Mon,3,7,1,4
395,0,Sat,5,2,6,5
396,1,Fri,4,5,7,6
397,0,Jan,2,6,7,3
398,0,Feb,3,7,6,5
399,0,Mar,2,4,3,2
400,0,Apr,3,3,2,2
401,1,May,5,3,5,3
402,1,Jun,5,2,4,4
403,0,Jul,3,5,7,4
404,1,Aug,3,5,5,4
405,0,Sep,6,3,3,4
406,0,Oct,2,5,6,4
407,1,Nov,4,7,3,6
408,0,Dec,3,4,3,3
409,1,Sun,5,5,7,4
410,1,Mon,4,5,6,4
411,0,Sat,5,2,2,3
412,0,Fri,2,4,7,3
413,1,Jan,4,2,6,5
414,1,Feb,6,7,2,4
415,1,Mar,3,7,1,5
416,0,Apr,2,3,5,2
417,0,May,5,4,3,3
418,0,Jun,5,5,6,5
419,1,Jul,3,5,5,5
420,0,Aug,2,3,2,3
421,1,Sep,4,6,6,5
422,0,Oct,7,6,1,4
423,1,Nov,3,6,3,3
424,1,Dec,6,1,4,5
425,0,Sun,5,3,6,3
426,0,Mon,1,4,4,2
427,0,Sat,3,1,3,3
428,0,Fri,3,3,3,2
429,0,Jan,5,6,7,4
430,1,Feb,2,6,6,5
431,1,Mar,1,3,2,2
432,1,Apr,5,4,2,3
433,0,May,6,3,5,6
434,1,Jun,6,3,2,5
435,0,Jul,6,5,2,6
436,0,Aug,5,6,3,4
437,0,Sep,5,3,4,3
438,1,Oct,3,2,3,3
439,0,Nov,6,5,1,6
440,0,Dec,4,5,2,5
441,1,Sun,5,2,3,4
442,1,Mon,2,4,5,3
443,0,Sat,6,2,6,4
444,1,Fri,2,3,2,2
445,0,Jan,2,4,7,2
446,0,Feb,6,2,2,3
447,0,Mar,4,6,1,3
448,1,Apr,3,2,1,1
449,0,May,6,5,6,5
450,1,Jun,1,1,5,3
451,0,Jul,3,5,7,5
452,0,Aug,5,6,1,5
453,0,Sep,5,4,4,3
454,1,Oct,4,2,7,5
455,0,Nov,4,4,6,3
456,1,Dec,6,6,7,5
457,1,Sun,3,5,1,3
458,0,Mon,4,6,7,5
459,1,Sat,7,3,6,6
460,1,Fri,5,6,5,5
461,0,Jan,2,7,2,2
462,0,Feb,5,2,2,4
463,0,Mar,5,4,1,4
464,1,Apr,4,6,3,5
465,0,May,6,3,3,4
466,0,Jun,2,2,1,3
467,0,Jul,6,3,2,5
468,0,Aug,3,7,6,6
469,1,Sep,4,3,1,3
470,0,Oct,2,4,1,3
471,0,Nov,6,4,4,5
472,1,Dec,4,2,4,2
473,1,Sun,5,5,3,4
474,0,Jan,5,4,7,5
475,1,Feb,3,2,4,4
476,0,Mar,1,6,7,3
477,0,Apr,2,4,6,4
478,0,May,7,4,5,6
479,1,Jun,4,5,3,4
480,1,Jul,5,5,4,5
481,0,Aug,2,7,5,5
482,0,Sep,3,5,7,4
483,1,Oct,5,5,1,3
484,1,Nov,5,4,3,4
485,0,Dec,7,6,6,7
486,0,Sun,7,4,4,6
487,0,Mon,2,5,7,3
488,1,Sat,4,2,3,2
489,0,Fri,2,7,6,5
490,0,Mon,4,6,2,5
491,1,Sat,6,4,7,6
492,0,Fri,6,4,3,4
493,1,Jan,4,5,3,5
494,1,Feb,3,7,2,4
495,0,Mar,4,7,1,5
496,0,Apr,2,4,6,3
497,1,May,3,3,7,2
498,0,Jun,3,4,1,2
499,0,Jul,6,3,3,3
500,0,Aug,2,3,1,2
501,1,Sep,7,5,2,4
502,1,Oct,5,3,1,5
503,1,Nov,5,7,4,5
504,0,Dec,6,2,1,3
505,1,Sun,6,2,4,5
506,1,Mon,4,6,7,6
507,1,Sat,6,2,7,4
508,1,Fri,4,3,2,4
509,0,Jan,1,5,6,4
510,0,Feb,4,2,7,5
511,0,Mar,3,4,6,3
512,0,Apr,4,4,6,5
513,0,May,4,2,3,3
514,0,Jun,6,1,1,3
515,0,Jul,3,4,4,3
516,1,Aug,3,6,7,3
517,0,Sep,6,3,3,4
518,1,Oct,4,3,7,5
519,0,Nov,5,7,1,5
520,0,Dec,6,3,6,5
521,0,Sun,6,3,6,5
522,0,Mon,2,6,2,4
523,0,Sat,6,5,2,5
524,0,Fri,2,5,7,3
525,0,Jan,3,3,3,4
526,1,Feb,4,2,7,3
527,0,Mar,5,3,7,5
528,0,Apr,3,3,4,4
529,0,Jan,2,5,4,4
530,1,Feb,5,4,6,6
531,0,Mar,1,4,4,3
532,1,Apr,2,3,7,2
533,1,May,5,4,2,5
534,1,Jun,3,5,5,4
535,1,Jul,4,5,3,4
536,0,Aug,3,7,3,5
537,1,Sep,6,5,5,5
538,0,Oct,2,5,1,4
539,1,Nov,7,7,1,6
540,1,Dec,3,1,5,4
541,1,Sun,5,3,4,4
542,0,Mon,2,6,1,2
543,0,Sat,6,4,6,4
544,1,Fri,3,6,3,5
545,1,Jan,4,4,4,4
546,1,Feb,5,7,5,4
547,1,Mar,4,6,6,5
548,0,Apr,2,4,6,3
549,0,May,7,2,2,4
550,1,Jun,2,5,4,3
551,1,Jul,6,6,1,4
552,1,Aug,2,4,2,2
553,1,Sep,7,6,4,6
554,1,Oct,4,1,5,3
555,0,Nov,4,5,5,4
556,0,Dec,4,4,4,5
557,0,Sun,4,2,3,3
558,1,Mon,5,7,1,4
559,1,Sat,6,5,4,4
560,0,Fri,2,2,7,3
561,0,Jan,4,5,7,6
562,1,Feb,7,6,4,7
563,0,Mar,2,5,2,4
564,0,Apr,2,5,5,3
565,0,May,5,4,7,5
566,0,Jun,3,3,3,4
567,0,Jul,5,4,1,4
568,1,Aug,2,5,7,3
569,1,Sep,4,4,2,3
570,1,Oct,6,1,5,3
571,0,Nov,4,5,6,5
572,1,Dec,7,1,7,5
573,1,Sun,7,5,6,7
574,0,Mon,2,3,3,1
575,0,Sat,6,7,3,7
576,0,Fri,3,3,6,3
577,0,Jan,1,6,4,4
578,0,Feb,4,5,6,5
579,1,Mar,2,5,3,2
580,1,Apr,5,5,3,3
581,0,May,7,5,7,6
582,0,Jun,5,3,7,3
583,1,Jul,5,3,3,3
584,1,Aug,4,4,4,5
585,1,Sep,6,5,7,7
586,0,Oct,2,7,7,4
587,1,Nov,7,6,6,7
588,0,Dec,6,2,5,4
589,1,Sun,7,2,5,6
590,0,Mon,1,7,5,4
591,0,Sat,4,5,6,4
592,0,Fri,1,4,4,3
593,1,Jan,4,4,5,4
594,1,Feb,4,3,1,4
595,1,Mar,2,4,3,2
596,0,Apr,3,2,4,2
597,1,May,7,5,4,6
598,0,Jun,1,2,1,1
599,1,Jul,5,3,6,4
600,1,Aug,4,3,2,4
601,0,Sep,6,3,3,3
602,0,Oct,2,5,7,3
603,0,Nov,4,4,3,4
604,0,Dec,4,5,2,5
605,1,Sun,7,3,1,6
606,1,Mon,5,7,1,6
607,1,Sat,6,3,5,6
608,1,Fri,4,6,6,4
609,1,Jan,3,6,3,5
610,1,Feb,6,6,6,7
611,0,Mar,3,4,2,2
612,1,Apr,2,2,5,2
613,0,May,4,5,5,5
614,0,Jun,2,5,3,3
615,1,Jul,5,4,6,5
616,0,Aug,3,5,4,3
617,0,Sep,4,6,3,3
618,0,Oct,6,6,6,7
619,0,Nov,6,5,3,4
620,1,Dec,5,5,5,4
621,0,Sun,5,5,5,6
622,1,Jan,2,7,2,3
623,1,Feb,6,7,2,4
624,0,Mar,5,6,3,5
625,1,Apr,5,2,2,3
626,1,May,6,4,7,5
627,0,Jun,3,5,2,3
628,0,Jul,4,5,1,4
629,0,Aug,2,5,6,4
630,1,Sep,7,6,5,5
631,1,Oct,3,6,2,3
632,1,Nov,6,5,1,6
633,1,Dec,5,2,6,4
634,0,Sun,4,6,5,6
635,0,Mon,2,6,7,4
636,1,Sat,7,1,4,5
637,0,Fri,4,5,1,4
638,1,Mon,4,7,3,6
639,1,Sat,7,2,1,5
640,0,Fri,5,5,4,6
641,1,Jan,5,4,6,4
642,0,Feb,6,5,1,4
643,0,Mar,2,6,5,3
644,0,Apr,2,3,3,1
645,0,May,4,2,3,4
646,1,Jun,3,5,6,3
647,1,Jul,5,5,7,4
648,1,Aug,4,5,5,4
649,0,Sep,4,5,4,5
650,0,Oct,3,4,2,3
651,0,Nov,6,4,3,4
652,1,Dec,4,2,3,3
653,0,Sun,7,6,3,7
654,1,Mon,2,7,1,4
655,1,Sat,4,5,1,3
656,1,Fri,4,5,3,4
657,0,Jan,5,6,4,5
658,1,Feb,5,5,1,3
659,0,Mar,2,4,7,4
660,1,Apr,2,5,2,3
661,0,May,5,3,5,4
662,1,Jun,4,5,1,3
663,1,Jul,6,5,4,4
664,1,Aug,3,4,4,3
665,0,Sep,4,5,7,5
666,0,Oct,6,5,3,4
667,0,Nov,5,7,1,6
668,1,Dec,6,4,5,5
669,0,Sun,4,5,5,5
670,0,Mon,1,4,5,1
671,0,Sat,6,4,1,4
672,1,Fri,5,3,1,5
673,1,Jan,4,5,5,3
674,1,Feb,5,6,2,4
675,1,Mar,3,7,1,4
676,0,Apr,4,5,1,4
677,0,Jan,4,4,1,3
678,1,Feb,4,3,2,4
679,1,Mar,2,3,3,2
680,1,Apr,4,3,7,5
681,0,May,5,5,6,6
682,1,Jun,5,3,3,3
683,0,Jul,5,4,2,5
684,0,Aug,2,6,5,5
685,1,Sep,6,4,2,4
686,1,Oct,5,1,2,3
687,0,Nov,4,6,4,5
688,1,Dec,5,2,1,3
689,1,Sun,6,6,1,5
690,0,Mon,2,5,5,4
691,1,Sat,5,7,6,6
692,0,Fri,4,4,3,5
693,0,Jan,4,5,5,3
694,1,Feb,5,4,2,4
695,0,Mar,2,6,5,5
696,1,Apr,2,4,7,3
697,1,May,6,2,4,3
698,1,Jun,2,4,6,3
699,0,Jul,2,5,3,4
700,0,Aug,4,5,7,4
701,0,Sep,6,6,4,6
702,0,Oct,4,5,2,3
703,1,Nov,6,6,7,7
704,0,Dec,7,4,5,6
705,1,Sun,4,4,1,4
706,1,Mon,1,6,5,3
707,1,Sat,3,4,4,4
708,1,Fri,3,7,6,5
709,1,Jan,3,5,6,5
710,1,Feb,6,7,7,7
711,0,Mar,1,4,5,1
712,1,Apr,3,3,3,3
713,0,May,5,1,5,5
714,1,Jun,2,4,2,3
715,1,Jul,3,4,5,2
716,1,Aug,4,2,6,4
717,0,Sep,6,2,1,5
718,1,Oct,5,1,4,2
719,0,Nov,7,4,2,5
720,1,Dec,5,3,6,5
721,0,Sun,4,1,3,4
722,1,Mon,4,6,2,4
723,1,Sat,6,4,4,6
724,1,Fri,2,3,4,3
725,0,Jan,6,3,1,3
726,0,Feb,3,5,5,5
727,1,Mar,6,6,7,7
728,1,Apr,4,2,3,4
729,1,May,6,2,3,3
730,0,Jun,5,2,1,4
731,1,Jul,4,5,2,3
732,0,Aug,5,6,5,4
733,1,Sep,7,4,1,4
734,1,Jan,2,3,2,3
735,1,Feb,6,5,6,4
736,0,Mar,3,3,5,4
737,0,Apr,4,4,3,5
738,1,May,7,6,7,7
739,1,Jun,2,5,6,3
740,0,Jul,3,5,6,5
741,0,Aug,3,6,4,3
742,1,Sep,7,4,3,5
743,0,Oct,4,6,2,4
744,1,Nov,5,3,7,4
745,1,Dec,6,5,1,4
746,0,Sun,4,2,3,2
747,0,Mon,2,4,1,3
748,0,Sat,6,3,2,5
749,1,Fri,3,2,6,4
750,0,Jan,4,3,7,5
751,0,Feb,6,6,7,5
752,1,Mar,4,6,4,5
753,1,Apr,3,5,1,2
754,1,May,3,6,6,5
755,0,Jun,5,2,6,5
756,0,Jul,2,6,6,3
757,0,Aug,2,5,7,5
758,1,Sep,5,2,2,4
759,1,Oct,4,1,3,2
760,0,Nov,7,6,5,6
761,0,Dec,5,4,2,3
762,1,Sun,4,4,5,3
763,0,Jan,4,3,3,4
764,1,Feb,5,7,4,6
765,0,Mar,1,5,4,3
766,1,Apr,3,4,7,3
767,0,May,3,2,5,4
768,1,Jun,5,2,3,5
769,1,Jul,4,4,4,3
770,0,Aug,3,7,7,5
771,0,Sep,4,4,5,3
772,1,Oct,4,4,3,4
773,0,Nov,5,6,3,6
774,1,Dec,5,1,7,4
775,1,Sun,6,3,6,4
776,0,Mon,1,5,3,3
777,0,Sat,4,4,2,5
778,0,Fri,2,6,6,3
779,0,Mon,1,5,2,1
780,1,Sat,7,1,7,5
781,1,Fri,4,3,4,4
782,1,Jan,4,2,2,4
783,0,Feb,6,6,7,6
784,1,Mar,4,5,5,3
785,0,Apr,2,2,5,1
786,1,May,5,2,2,4
787,1,Jun,5,4,5,3
788,1,Jul,5,5,1,4
789,1,Aug,2,4,2,4
790,0,Sep,4,5,7,6
791,0,Oct,6,3,5,5
792,1,Nov,7,6,3,5
793,0,Dec,3,4,6,3
794,0,Sun,6,1,6,5
795,1,Mon,3,3,7,4
796,1,Sat,6,4,5,6
797,1,Fri,3,3,4,3
798,1,Jan,3,3,7,3
799,1,Feb,4,3,4,4
800,0,Mar,5,7,7,6
801,0,Apr,2,2,5,2
802,1,May,6,4,6,4
803,1,Jun,4,4,4,5
804,0,Jul,6,4,4,4
805,1,Aug,2,5,3,4
806,1,Sep,4,5,4,5
807,1,Oct,7,4,7,7
808,1,Nov,7,7,4,7
809,1,Dec,4,4,4,4
810,0,Sun,7,5,7,5
811,0,Mon,2,6,3,2
812,1,Sat,5,4,5,5
813,0,Fri,4,6,1,3
814,1,Jan,2,5,1,3
815,1,Feb,2,5,6,2
816,1,Mar,4,6,5,5
817,1,Apr,3,1,1,2
818,0,Jan,3,6,1,4
819,0,Feb,7,5,3,6
820,0,Mar,4,7,6,5
821,1,Apr,3,2,2,1
822,1,May,5,5,4,4
823,1,Jun,5,6,2,6
824,0,Jul,4,4,2,5
825,0,Aug,3,3,5,3
826,1,Sep,4,3,5,5
827,0,Oct,6,6,7,5
828,1,Nov,6,5,7,5
829,0,Dec,4,2,5,2
830,0,Sun,5,3,5,3
831,1,Mon,3,5,4,5
832,1,Sat,4,2,4,4
833,0,Fri,2,3,4,3
834,1,Jan,2,2,3,1
835,0,Feb,3,6,2,3
836,1,Mar,5,4,4,5
837,1,Apr,2,4,4,3
838,0,May,3,2,3,2
839,0,Jun,2,1,1,2
840,0,Jul,5,5,7,6
841,0,Aug,3,4,5,4
842,1,Sep,7,7,2,7
843,0,Oct,5,6,7,6
844,0,Nov,5,6,3,5
845,0,Dec,4,4,5,4
846,0,Sun,6,1,7,4
847,1,Mon,1,7,6,4
848,1,Sat,7,6,4,5
849,0,Fri,4,7,5,5
850,1,Jan,2,6,1,4
851,1,Feb,4,6,5,4
852,1,Mar,2,6,3,4
853,1,Apr,5,3,1,4
854,0,May,5,3,2,4
855,1,Jun,3,2,6,2
856,1,Jul,5,4,2,5
857,1,Aug,4,3,5,5
858,0,Sep,7,5,2,6
859,0,Oct,5,5,5,4
860,0,Nov,6,6,3,4
861,1,Dec,7,4,7,6
862,1,Sun,5,1,2,3
863,1,Mon,1,4,6,3
864,1,Sat,6,6,6,7
865,0,Fri,3,6,4,4
866,0,Jan,5,5,5,4
867,1,Feb,3,6,2,4
868,1,Mar,5,6,3,6
869,1,Apr,3,4,6,3
870,0,May,7,5,5,6
871,0,Jun,5,4,4,3
872,0,Jul,4,5,7,5
873,0,Aug,2,5,3,4
874,0,Sep,6,5,4,4
875,0,Oct,4,5,2,4
876,1,Jan,5,5,5,5
877,0,Feb,6,3,2,4
878,1,Mar,4,5,1,3
