pid,hid,housenum,p20ans,p21ans,gender,year,age,school,school1,school2,mar,income1,income,job_yes,job2,job,job3,relig,ott_yes,ott_main,ott_freq,ott_weekday_min,ott_weekend_min,ott_min,sns_yes,sns_main,sns_weekday_min,sns_weekend_min,sns_min,sns_purpose,e_com_yes,e_com_freq,satis_1,satis_2,satis_3,mental_1,mental_2,mental_3,mental_4,mental_5,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,neg_9,neg_10,esteem_1,esteem_2,esteem_3,esteem_4,esteem_5,esteem_6,esteem_7,esteem_8,esteem_9,esteem_10
30004,300,4,1,1,1,2008,13,3,2,1,1,1,1,2, ,0, ,1,1,10,1,60,120,180,2, , , ,0, ,2, ,6,6,4,6,6,6,4,6,6,6,5,4,2,2,3,3,2,1,1,2,2,1,1,2,1,3,3,1,2,2,4,4,4,1,1
40001,400,1,1,1,1,1977,44,4,3,5,2,18,8,1,2,2,13,1,1,10,1,60,60,120,2, , , ,0, ,1, ,6,6,6,6,6,6,6,6,4,5,5,3,2,2,2,2,2,1,1,2,2,2,2,2,2,3,2,1,3,2,3,3,3,1,2
40002,400,2,1,1,2,1976,45,5,4,5,2,6,5,1,2,2,13,1,1,10,6,180,120,300,2, , , ,0, ,1,10,5,5,5,5,5,5,5,5,4,4,4,3,3,6,2,3,3,3,3,3,3,3,2,2,2,2,2,1,3,2,2,2,2,2,2
40003,400,3,1,1,1,2006,15,3,2,1,1,1,1,2, ,0, ,1,1,10,1,120,180,300,1,2,30,30,60,2,2, ,6,6,6,4,4,4,4,4,3,3,3,5,4,2,4,2,2,2,1,2,1,1,2,3,1,2,2,1,3,2,2,2,3,2,2
40004,400,4,1,1,2,2007,14,3,2,1,1,1,1,2, ,0, ,1,1,10,1,120,180,300,1,15,30,30,60,1,2, ,6,6,6,6,5,6,6,6,6,5,6,2,2,3,2,3,2,2,2,2,2,3,2,2,2,2,2,3,3,3,3,3,3,3,3
50001,500,1,1,1,1,1972,49,5,4,5,2,11,7,1,1,1,31,1,1,10,1,60,120,180,2, , , ,0, ,1,4,6,6,5,5,5,5,4,2,5,5,4,4,4,3,4,2,2,2,2,2,2,3,2,3,2,3,3,2,3,2,3,3,2,1,1
50002,500,2,1,1,2,1977,44,5,4,5,2,1,1,2, ,0, ,2,2, , , , ,0,2, , , ,0, ,1,36,5,5,5,4,5,5,4,3,7,7,7,5,3,5,5,2,2,2,1,1,1,2,1,3,2,4,3,1,2,2,3,3,2,1,1
50003,500,3,1,1,2,2006,15,3,2,1,1,1,1,2, ,0, ,2,1,10,5,30,90,120,2, , , ,0, ,2, ,6,6,6,5,6,5,4,5,6,6,5,2,2,2,2,2,1,1,1,1,1,2,1,2,1,3,2,1,3,1,4,3,2,1,1
50004,500,4,1,1,2,2007,14,3,2,1,1,1,1,2, ,0, ,2,1,10,5,30,60,90,2, , , ,0, ,2, ,7,7,7,6,6,7,6,7,6,6,6,3,2,2,2,1,1,1,1,1,1,1,1,2,2,4,4,1,4,1,4,4,4,1,1
60001,600,1,1,1,1,1969,52,5,4,5,2,11,7,1,1,1,14,2,1,10,1,60,120,180,1,12,5,10,15,1,1,1,6,5,4,3,3,4,3,2,6,5,4,4,4,3,4,2,1,1,1,2,2,2,1,2,1,3,2,2,2,2,2,2,2,1,2
60002,600,2,1,1,2,1973,48,4,3,5,2,7,5,1,1,1,93,2,1,10,6,20,0,20,2, , , ,0, ,1,48,6,5,5,1,6,6,6,6,6,6,4,2,2,2,2,3,3,2,2,2,2,1,1,1,1,4,3,1,4,2,3,3,2,1,1
60003,600,3,1,1,2,2001,20,5,4,2,1,1,1,2, ,0, ,2,1,10,1,120,240,360,1,1,120,120,240,2,1,2,5,6,5,1,5,5,3,5,4,4,4,3,4,5,4,3,3,2,1,3,2,3,4,3,4,2,1,3,2,3,1,2,4,2,2
60004,600,4,1,1,2,2006,15,3,2,1,1,1,1,2, ,0, ,2,1,10,1,120,150,270,1,15,20,30,50,2,1,8,4,7,7,1,7,4,3,1,4,4,4,3,4,4,2,1,3,2,1,1,1,1,3,3,1,2,1,2,3,3,2,2,2,2,1
80001,800,1,1,1,1,1950,71,4,3,5,3,1,1,2, ,0, ,2,2, , , , ,0,2, , , ,0, ,2, ,6,6,6,6,6,6,5,4,6,6,6,4,4,4,4,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,3,3,2,2,2
100001,1000,1,1,1,1,1979,42,5,4,5,2,8,6,1,1,1,25,1,1,10,1,120,120,240,1,15,120,120,240,1,1,24,7,7,7,4,5,6,3,3,5,6,4,5,4,6,4,3,1,2,2,2,2,2,1,3,1,2,2,1,2,2,2,2,4,2,2
100002,1000,2,1,1,2,1979,42,6,5,5,2,11,7,1,1,1,25,1,2, , , , ,0,2, , , ,0, ,1,60,7,7,7,5,7,7,3,4,7,7,7,4,3,3,4,2,1,1,1,2,2,2,1,2,2,3,3,1,4,2,4,4,3,2,2
100003,1000,3,1,1,1,2010,11,2,1,1,1,1,1,2, ,0, ,1,1,10,1,60,60,120,2, , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
130001,1300,1,1,1,1,1947,74,3,2,5,2,1,1,2, ,0, ,2,1,10,5,10,10,20,2, , , ,0, ,1, ,3,3,2,4,2,5,4,3,3,3,2,4,3,4,3,3,3,4,2,2,3,2,3,4,2,3,3,2,3,3,2,3,2,3,3
130002,1300,2,1,1,2,1950,71,3,2,5,2,4,4,1,1,1,44,2,1,9,3,10,10,20,2, , , ,0, ,1, ,2,4,3,2,2,4,3,3,2,3,3,3,5,2,3,2,2,3,2,2,3,4,2,3,2,2,3,3,4,2,2,3,2,1,2
140001,1400,1,1,1,2,1962,59,4,3,5,3,6,5,1,1,1,52,2,1,10,2,30,30,60,1,12,30,30,60,2,1, ,5,6,5,5,4,4,3,4,5,5,5,2,2,2,2,3,3,4,3,4,3,3,2,3,3,3,2,2,3,4,3,3,2,2,2
160001,1600,1,1,1,1,1951,70,3,2,5,2,4,4,1,3,3,52,1,1,10,2,15,15,30,2, , , ,0, ,2, ,5,4,5,5,5,4,6,5,4,5,4,4,3,5,4,3,2,3,3,2,3,4,3,2,3,3,3,2,3,3,4,3,2,3,3
160002,1600,2,1,1,2,1952,69,3,2,5,2,1,1,2, ,0, ,1,1,10,1,20,20,40,2, , , ,0, ,2, ,5,4,4,5,4,5,5,5,5,6,5,4,5,4,5,3,3,3,2,3,3,2,3,3,2,3,2,3,3,3,2,3,3,4,3
180001,1800,1,1,1,2,1967,54,4,3,5,4,5,4,1,1,1,44,1,1,10,1,60,120,180,2, , , ,0, ,1,6,3,4,3,2,3,5,4,3,3,4,4,6,2,5,5,3,3,3,2,1,3,2,3,4,3,3,3,2,3,3,2,4,3,2,3
220001,2200,1,1,1,1,1952,69,4,3,5,2,6,5,1,1,1,94,2,2, , , , ,0,1,12,5,10,15,1,1,4,5,4,4,5,4,4,5,4,6,6,5,3,2,1,3,3,3,2,2,3,3,3,2,2,2,3,3,2,2,2,3,3,2,2,2
220002,2200,2,1,1,2,1954,67,4,3,5,2,2,2,2, ,0, ,2,1,10,1,20,20,40,1,16,10,0,10,1,1,6,6,5,6,5,6,5,4,4,6,5,5,2,1,2,2,3,3,4,3,4,4,3,3,3,3,3,3,4,3,4,3,2,3,2,2
230001,2300,1,1,1,1,1961,60,5,4,5,2,11,7,1,3,3,75,2,1,10,5,60,30,90,2, , , ,0, ,2, ,6,5,6,6,6,6,5,5,6,5,5,2,1,2,2,1,1,1,1,1,2,1,1,1,1,3,4,1,3,2,3,4,3,1,1
230002,2300,2,1,1,2,1955,66,4,3,5,2,1,1,2, ,0, ,2,1,10,6,30,30,60,2, , , ,0, ,2, ,6,7,6,6,7,7,6,5,6,5,6,2,3,1,2,1,1,1,1,1,1,1,1,1,1,4,4,1,3,1,3,3,4,1,1
230003,2300,3,1,1,2,1990,31,5,4,5,1,6,5,1,1,1,52,2,1,10,5,60,60,120,1,15,30,30,60,1,1,10,6,7,6,6,5,6,5,5,6,6,5,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,1,3,1,4,4,3,1,1
260001,2600,1,1,1,1,1961,60,5,4,5,2,12,8,1,1,1,84,2,1,15,5,30,30,60,2, , , ,0, ,1,3,6,5,5,6,5,4,4,4,6,5,4,1,2,1,2,4,3,3,4,3,3,4,3,3,3,3,4,3,3,3,2,2,3,2,2
260002,2600,2,1,1,2,1963,58,4,3,5,2,2,2,2, ,0, ,2,1,10,5,20,20,40,1,12,20,20,40,2,1,10,6,5,5,6,5,5,4,5,6,5,5,6,4,5,5,4,3,2,3,3,3,2,2,3,3,3,3,2,2,3,4,3,2,3,3
260003,2600,3,1,1,2,1992,29,5,4,5,1,7,5,1,1,1,31,2,1,10,5,20,20,40,1,12,30,30,60,2,1,4,6,5,5,6,5,5,6,5,6,6,6,1,2,1,2,4,3,3,4,3,3,4,3,3,3,3,3,2,3,3,3,2,3,3,3
260004,2600,4,1,1,1,1994,27,5,4,5,1,8,6,1,1,1,31,2,1,10,5,30,30,60,1,12,20,20,40,2,1,10,6,6,5,6,5,5,6,5,6,6,5,4,3,4,4,3,3,3,2,2,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3
270001,2700,1,1,1,1,1954,67,4,3,5,2,4,4,1,1,1,94,2,1,10,2,60,60,120,2, , , ,0, ,1,4,5,5,5,4,4,4,3,4,5,5,4,1,2,2,2,2,1,1,1,1,2,1,2,1,1,2,2,1,3,1,3,2,2,1,1
270002,2700,2,1,1,2,1966,55,4,3,5,2,7,5,1,1,1,44,2,1,10,4,10,10,20,1,16,5,5,10,1,1, ,6,5,6,5,4,5,3,3,6,5,6,3,2,3,3,1,1,1,1,1,1,1,1,1,1,3,3,1,3,2,3,3,4,1,1
290001,2900,1,1,1,2,1955,66,4,3,5,2,1,1,2, ,0, ,1,2, , , , ,0,2, , , ,0, ,1, ,4,3,3,4,4,4,3,4,4,4,4,3,3,3,4,2,2,2,3,3,2,3,3,2,2,2,2,1,1,2,2,2,3,2,2
290002,2900,2,1,1,1,1962,59,4,3,5,2,7,5,1,1,1,74,2,2, , , , ,0,2, , , ,0, ,1,10,4,3,3,4,4,4,3,4,4,4,4,3,3,3,4,2,2,3,3,3,2,2,3,2,3,2,2,1,1,2,2,3,2,2,2
290003,2900,3,1,1,2,1985,36,5,4,5,1,7,5,1,1,1,31,2,2, , , , ,0,2, , , ,0, ,1,24,4,3,4,4,3,4,4,3,4,4,4,3,3,4,3,3,2,2,3,3,2,2,2,3,3,2,2,1,2,2,2,3,2,2,2
300001,3000,1,1,1,2,1963,58,4,3,5,3,7,5,1,1,1,51,2,2, , , , ,0,2, , , ,0, ,1, ,5,5,5,4,5,4,5,5,4,4,5,4,3,3,3,2,2,2,2,1,2,2,1,1,1,3,3,2,3,3,3,3,3,2,2
300002,3000,2,1,1,2,1990,31,5,4,5,1,6,5,1,1,1,31,2,1,9,6,20,20,40,1,1,30,60,90,1,1,12,4,4,4,3,3,4,3,4,3,3,3,4,4,3,4,3,3,4,3,3,4,3,3,2,3,3,3,2,3,3,2,3,3,2,2
300003,3000,3,1,1,2,1987,34,5,4,5,1,5,4,1,1,1,31,2,1,1,6,20,20,40,2, , , ,0, ,1,120,3,4,3,4,3,3,4,4,3,3,4,4,4,5,5,3,3,3,3,2,2,3,3,3,3,3,3,2,2,3,2,3,3,2,2
300004,3000,4,1,1,1,1989,32,4,3,5,1,5,4,1,1,1,52,2,2, , , , ,0,2, , , ,0, ,1,84,4,3,3,3,3,4,3,3,4,4,3,3,4,3,4,3,3,2,3,3,2,2,2,3,3,2,2,3,3,2,2,3,3,2,3
310001,3100,1,1,1,1,1959,62,4,3,5,2,7,5,1,3,3,52,1,2, , , , ,0,2, , , ,0, ,1,10,4,3,3,3,3,3,2,3,4,4,3,3,4,3,3,3,3,2,3,3,2,2,2,3,3,2,2,3,3,2,2,2,3,2,3
310002,3100,2,1,1,2,1963,58,4,3,5,2,5,4,1,1,1,52,1,2, , , , ,0,2, , , ,0, ,1,10,3,3,2,3,4,3,3,3,3,3,3,5,5,4,4,3,3,2,2,2,3,2,3,2,2,2,2,2,3,3,2,2,3,2,2
310003,3100,3,1,1,2,1992,29,5,4,5,1,7,5,1,1,1,31,2,2, , , , ,0,2, , , ,0, ,1,60,4,4,4,3,3,3,2,3,4,4,4,5,4,5,5,3,3,2,2,2,3,2,2,2,3,2,2,1,2,2,3,2,2,2,3
310004,3100,4,1,1,2,1994,27,5,4,5,1,5,4,1,1,1,31,2,1,10,5,20,20,40,1,2,10,60,70,1,1,60,4,4,4,4,4,3,4,4,4,4,4,3,3,2,3,3,3,2,3,3,2,2,2,3,3,2,2,1,2,2,2,2,3,3,2
320001,3200,1,1,1,1,1936,85,2,1,5,2,2,2,2, ,0, ,2,2, , , , ,0,2, , , ,0, ,2, ,3,2,2,3,3,2,2,2,2,2,3,3,2,2,3,4,3,4,4,3,3,3,4,3,3,1,2,2,2,1,1,3,3,2,3
320002,3200,2,1,1,2,1937,84,2,1,5,2,2,2,2, ,0, ,2,2, , , , ,0,2, , , ,0, ,2, ,2,1,1,2,1,1,2,1,2,2,4,4,5,5,4,3,3,2,3,3,3,3,4,4,3,1,2,3,2,3,3,2,3,3,3
320003,3200,3,1,1,1,1971,50,4,3,5,1,1,1,2, ,0, ,2,2, , , , ,0,2, , , ,0, ,1,10,4,4,4,2,2,1,2,2,2,3,3,4,4,4,4,3,4,3,3,4,3,3,3,4,4,1,1,3,2,3,3,2,2,2,3
330001,3300,1,1,1,2,1939,82,2,1,5,3,2,2,2, ,0, ,1,2, , , , ,0,2, , , ,0, ,2, ,3,4,4,3,3,3,2,4,3,3,4,3,3,3,3,3,4,3,3,3,4,3,3,4,3,2,2,2,3,2,2,3,2,2,3
340001,3400,1,1,1,1,1964,57,5,4,5,2,5,4,1,3,3,52,2,2, , , , ,0,2, , , ,0, ,1,24,4,4,3,4,4,3,3,4,4,3,3,4,3,3,4,2,2,3,2,3,3,2,2,3,2,2,2,1,1,2,2,3,2,2,2
340002,3400,2,0,1,2,1966,55,4,3,5,2,3,3,1,1,1,52,1,2, , , , ,0,2, , , ,0, ,1,36,4,3,3,4,3,3,4,3,3,3,3,4,4,3,4,2,3,3,2,2,3,4,3,2,3,2,2,2,1,1,2,2,1,1,2
340003,3400,3,1,1,1,1991,30,5,4,5,1,5,4,1,1,1,31,2,2, , , , ,0,2, , , ,0, ,1,36,4,3,3,4,4,3,3,4,4,3,3,3,4,4,4,3,2,3,3,2,2,2,3,3,2,2,2,1,1,2,2,1,2,2,2
340004,3400,4,1,1,1,1997,24,5,4,1,1,1,1,2, ,0, ,2,1,1,7,20,20,40,2, , , ,0, ,1,12,4,3,4,4,3,3,4,4,4,4,4,3,4,4,3,2,2,3,3,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2
350001,3500,1,1,1,1,1955,66,4,3,5,2,4,4,1,1,1,91,2,2, , , , ,0,2, , , ,0, ,1,10,4,3,4,4,3,3,4,3,4,4,4,3,3,4,4,3,2,3,3,3,2,2,3,2,2,2,2,1,2,2,2,1,2,3,2
350002,3500,2,1,1,1,1987,34,5,4,5,1,7,5,1,1,1,31,2,2, , , , ,0,2, , , ,0, ,1,36,4,4,3,4,4,3,4,3,4,4,4,3,3,4,3,3,2,3,3,2,2,2,3,2,2,2,2,2,1,2,3,3,2,2,3
350003,3500,3,1,1,2,1954,67,4,3,5,2,1,1,2, ,0, ,1,2, , , , ,0,2, , , ,0, ,1, ,4,4,3,4,4,3,3,4,4,4,4,3,3,4,4,3,3,3,2,3,3,2,2,3,2,2,2,3,3,2,2,2,3,2,3
360001,3600,1,1,1,1,1972,49,5,4,5,2,8,6,1,1,1,31,2,2, , , , ,0,1,12,10,0,10,1,1,10,6,6,6,6,5,6,5,5,6,5,6,2,2,2,2,3,3,2,1,2,3,3,3,3,3,3,3,3,3,2,4,4,3,3,3
360002,3600,2,1,1,2,1977,44,5,4,5,2,1,1,2, ,0, ,2,2, , , , ,0,2, , , ,0, ,1,36,3,3,3,5,4,4,3,4,5,4,3,4,3,2,3,1,1,1,1,1,2,1,1,1,1,2,3,1,3,2,3,3,2,2,1
370001,3700,1,0,1,1,1969,52,5,4,5,2,8,6,1,1,1,31,2,1,10,6,20,20,40,2, , , ,0, ,1,60,5,5,5,5,5,6,6,5,6,7,6,3,2,2,2,2,1,2,2,2,2,1,2,2,2,4,4,1,4,1,3,4,2,1,1
370002,3700,2,0,1,2,1969,52,4,3,5,2,7,5,1,1,1,31,2,1,10,4,20,20,40,1,12,10,10,20,1,1,2,6,6,5,3,6,6,5,5,4,6,6,2,2,2,1,1,2,2,1,1,1,1,1,2,2,3,3,2,3,3,1,2,1,2,1
380001,3800,1,1,1,1,1977,44,5,4,5,2,8,6,1,1,1,31,2,1,10,5,30,60,90,1,15,10,10,20,1,1,10,6,6,5,5,5,5,6,5,5,5,5,2,1,2,2,2,2,2,1,2,2,2,1,1,1,3,3,3,3,4,3,2,3,3,3
380002,3800,2,1,1,2,1979,42,6,5,5,2,8,6,1,1,1,31,2,1,10,5,50,50,100,1,12,15,10,25,1,1,12,5,5,5,4,4,5,4,5,5,6,5,2,1,2,2,3,1,2,1,2,1,1,1,1,1,3,3,3,3,2,3,3,3,2,2
390001,3900,1,1,1,2,1968,53,4,3,5,2,1,1,2, ,0, ,1,2, , , , ,0,1,12,10,10,20,3,1,120,4,4,4,4,4,4,4,4,5,5,5,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,3,1,3,2,3,2,3,1,1
390002,3900,2,1,1,2,1994,27,5,4,5,1,6,5,1,1,1,31,1,1,10,5,10,10,20,1,15,60,60,120,2,1,12,2,4,2,2,3,2,4,1,5,5,3,5,5,1,6,2,3,1,1,4,3,2,2,3,1,4,4,1,4,1,4,2,3,2,1
390003,3900,3,1,1,1,1997,24,5,4,2,1,1,1,2, ,0, ,1,1,10,2,30,30,60,1,15,10,10,20,3,1,5,4,4,4,3,4,3,4,2,4,4,4,3,3,1,2,2,1,1,1,1,1,1,1,1,1,3,3,1,3,2,3,2,3,1,1
390004,3900,4,1,1,1,1967,54,5,4,5,2,18,8,1,1,1,13,1,2, , , , ,0,2, , , ,0, ,1,12,4,1,1,4,1,1,1,1,1,1,1,4,4,4,4,3,3,3,3,2,3,3,3,3,3,2,2,3,2,2,2,2,2,3,3
400001,4000,1,1,1,1,1957,64,4,3,5,2,6,5,1,1,1,93,1,2, , , , ,0,2, , , ,0, ,2, ,4,4,4,4,4,4,4,4,4,4,4,3,2,1,2,2,2,2,2,2,2,2,1,1,1,3,2,1,3,2,2,2,2,1,1
400002,4000,2,1,1,2,1961,60,3,2,5,2,1,1,2, ,0, ,1,2, , , , ,0,2, , , ,0, ,1, ,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2,3,2,2,1,1
410002,4100,2,1,1,2,1965,56,4,3,5,4,3,3,1,1,1,95,1,1,10,3,30,30,60,2, , , ,0, ,1,36,4,4,4,2,2,2,2,2,3,3,3,4,4,6,4,2,3,2,2,3,3,3,3,2,2,3,1,2,2,3,1,1,3,1,1
410003,4100,3,1,1,2,2004,17,4,3,3,1,1,1,2, ,0, ,1,1,10,1,60,60,120,1,15,30,30,60,3,1,24,3,3,3,2,2,2,2,1,2,2,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
420001,4200,1,1,1,1,1980,41,4,3,5,2,7,5,1,1,1,44,1,1,10,1,180,180,360,1,15,120,150,270,1,2, ,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
420002,4200,2,1,1,2,1980,41,4,3,5,2,3,3,1,1,1,99,2,1,2,1,160,290,450,1,2,40,80,120,3,1,12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
420003,4200,3,1,1,1,2007,14,3,2,1,1,1,1,2, ,0, ,2,1,10,5,30,110,140,1,12,10,20,30,1,2, ,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,3,3,1,3,1,3,3,3,1,1
420004,4200,4,0,1,1,2015,6,1,6, ,1,1,1,2, ,0, ,2,2, , , , ,0,2, , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
430001,4300,1,1,1,1,1981,40,4,3,5,2,8,6,1,1,1,75,2,1,10,1,240,60,300,2, , , ,0, ,1,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
430002,4300,2,1,1,2,1981,40,4,3,5,2,8,6,1,1,1,52,2,1,14,1,300,120,420,2, , , ,0, ,1,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,3,3,2,1,1
430003,4300,3,1,1,1,2009,12,2,1,1,1,1,1,2, ,0, ,2,1,10,1,180,360,540,2, , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
430004,4300,4,1,1,1,2011,10,2,1,1,1,1,1,2, ,0, ,2,1,10,1,180,360,540,2, , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
440001,4400,1,1,1,1,1962,59,5,4,5,2,1,1,2, ,0, ,2,1,10,1,120,120,240,2, , , ,0, ,2, ,3,4,4,4,5,5,5,5,6,6,6,6,6,5,6,2,1,1,2,1,2,2,2,3,3,3,3,2,4,2,3,3,2,2,2
440002,4400,2,1,1,2,1965,56,4,3,5,2,1,1,2, ,0, ,2,1,10,1,120,120,240,2, , , ,0, ,2, ,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,2,1,1,1,2,1,2,2,2,3,3,3,2,2,2,3,3,3,2,2
440003,4400,3,1,1,2,1990,31,5,4,5,1,6,5,1,1,1,31,2,1,8,4,90,180,270,1,15,30,30,60,3,1,36,5,4,4,4,5,4,4,4,5,5,5,6,5,5,6,3,3,2,2,2,2,2,2,2,2,3,3,2,3,2,3,3,3,2,2
440004,4400,4,1,1,2,1993,28,5,4,5,1,6,5,1,1,1,31,2,1,10,3,60,120,180,1,15,30,30,60,1,1,36,5,5,5,4,5,4,4,5,6,6,6,6,5,4,6,3,2,1,2,2,2,2,1,1,3,3,3,2,2,3,3,3,3,2,3
460001,4600,1,1,1,1,1972,49,5,4,5,2,9,6,1,1,1,27,2,1,10,5,60,60,120,1,2,30,30,60,1,1,24,6,6,6,6,5,6,6,5,6,6,6,4,4,4,4,1,1,2,2,2,1,1,1,1,1,3,3,1,4,2,3,3,3,1,1
460002,4600,2,1,1,2,1976,45,4,3,5,2,7,5,1,1,1,24,1,1,10,6,30,60,90,1,15,10,10,20,2,1, ,6,6,6,6,5,5,6,6,6,6,5,4,4,4,4,1,1,1,2,2,1,1,1,1,1,4,3,1,3,2,4,3,3,1,1
470001,4700,1,1,1,1,1962,59,4,3,5,2,8,6,1,3,3,44,2,2, , , , ,0,2, , , ,0, ,1, ,4,4,4,3,3,6,4,5,6,6,6,3,3,4,4,3,2,3,2,3,3,3,3,3,3,3,3,3,3,2,2,3,2,3,3
470002,4700,2,1,1,2,1936,85,2,1,5,4,1,1,2, ,0, ,1,2, , , , ,0,2, , , ,0, ,1, ,3,3,3,4,4,3,4,4,5,5,5,2,3,5,2,3,3,2,1,1,2,2,1,2,2,3,3,1,2,2,3,3,3,2,2
470003,4700,3,1,1,2,1969,52,4,3,5,2,1,1,1,4,4,44,2,2, , , , ,0,2, , , ,0, ,1, ,3,3,4,4,4,5,5,4,5,5,5,2,2,2,2,2,2,1,2,1,3,3,3,2,3,2,2,2,3,3,1,2,1,2,2
480001,4800,1,1,1,1,1940,81,3,2,5,2,4,4,2, ,0, ,2,2, , , , ,0,2, , , ,0, ,1, ,5,3,4,4,4,4,3,4,4,3,5,2,2,3,4,2,2,2,2,3,3,2,2,2,2,2,2,1,2,1,2,2,2,2,2
