sales,lon,lat,brand
3288,127.7890045 ,39.978251,CoffeeBean
2042,127.5824935 ,37.7864084,CoffeeBean
3758,126.0812923 ,38.62935164,Starbucks
4553,128.3511887 ,38.6064822,Ideya
4381,125.7286362 ,37.77953333,Starbucks
3138,126.4330963 ,37.12386183,CoffeeBean
3411,126.8829764 ,36.42229058,Ideya
4747,127.5518787 ,37.13562351,Starbucks
2494,128.2820258 ,35.97148199,Starbucks
1372,127.6403011 ,36.46307348,Ideya
1790,126.3109653 ,36.94543988,CoffeeBean
2477,126.3477823 ,36.8000295,CoffeeBean
1809,127.3861370 ,38.53579207,CoffeeBean
4686,127.6043162 ,37.93286932,Ideya
4613,125.9242189 ,36.98601467,Ideya
4727,126.8655939 ,37.40170915,Ideya
4144,126.5199316 ,36.64510517,Ideya
3887,126.6674135 ,37.03803232,Starbucks
4761,127.4725081 ,37.08353063,Ideya
2313,126.0507727 ,39.2604404,CoffeeBean
2956,127.2172739 ,37.5359444,Starbucks
3370,125.9679457 ,36.48485205,CoffeeBean
1933,126.7047391 ,37.59881584,Ideya
3478,127.6911025 ,39.66004194,Starbucks
2935,126.7593444 ,36.17869894,Ideya
1174,126.2936579 ,36.02648685,Ideya
4554,126.6354069 ,36.95014042,Starbucks
1590,127.0480041 ,36.37655564,Ideya
