sample,mall,gender,age,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
58,coupang,female,36,5,3,3,1,2,1,1,1,3,3,5,4,4
59,11_street,male,27,5,5,5,4,4,2,3,4,3,4,3,2,1
60,11_street,male,35,5,5,4,4,3,4,5,4,2,2,5,5,1
61,coupang,male,37,5,4,4,3,2,2,1,1,1,1,2,1,3
62,coupang,female,37,2,3,3,1,1,3,2,2,2,2,5,4,2
63,11_street,female,59,5,5,4,1,3,4,4,3,3,3,5,5,3
64,g_market,male,30,5,3,2,5,4,3,4,3,4,4,1,3,3
65,coupang,female,46,3,2,1,4,3,3,4,3,1,2,3,2,1
66,coupang,female,44,1,1,3,2,2,5,4,5,3,3,4,3,3
67,g_market,female,48,3,4,4,5,4,1,2,2,4,5,1,3,2
68,coupang,female,56,3,3,3,1,2,5,3,4,3,3,4,3,1
69,coupang,female,49,2,2,2,5,4,2,1,2,2,1,5,3,1
70,g_market,female,35,1,3,3,1,3,3,3,3,4,3,3,4,5
71,coupang,female,51,2,2,1,5,5,1,2,3,2,1,4,5,4
72,coupang,female,34,4,3,4,4,3,4,3,4,3,2,4,5,3
73,g_market,female,34,5,4,3,4,3,5,4,5,3,3,4,3,5
74,11_street,female,45,4,3,4,5,3,3,3,2,2,1,5,3,2
75,11_street,male,45,2,1,2,1,2,3,4,4,3,4,5,5,4
76,g_market,male,55,1,3,3,3,4,4,5,5,3,2,4,5,5
77,coupang,male,30,2,3,3,3,2,1,3,2,2,2,5,5,2
78,g_market,male,52,4,4,4,1,1,5,3,4,5,3,2,3,1
79,g_market,male,40,1,1,1,2,2,4,5,4,4,3,2,3,5
80,11_street,male,52,2,1,3,3,2,5,4,4,5,3,4,3,2
81,11_street,female,40,1,2,1,1,2,5,5,4,1,2,3,3,4
82,g_market,male,59,5,5,5,2,1,4,4,3,5,3,2,2,4
83,coupang,male,52,2,2,1,5,3,3,2,1,5,3,3,3,3
84,coupang,male,44,1,3,4,4,3,2,1,2,2,1,3,2,1
85,11_street,male,40,1,3,2,4,3,4,3,4,4,5,3,2,4
86,g_market,male,39,3,4,3,5,4,5,5,4,1,3,4,5,4
87,11_street,female,50,3,2,2,2,3,5,5,4,1,3,1,2,5
88,11_street,female,25,3,2,2,1,1,3,2,3,5,4,5,4,3
89,11_street,male,45,2,2,3,1,2,5,5,3,1,1,1,3,2
90,coupang,female,45,1,3,2,5,5,5,3,4,5,3,1,2,1
91,coupang,male,58,1,1,1,3,2,1,3,2,4,5,1,1,5
92,coupang,female,50,1,2,2,4,5,1,3,2,4,3,5,4,3
93,g_market,female,52,1,1,2,3,3,3,4,4,2,2,4,5,5
94,coupang,female,35,2,2,2,5,5,4,3,4,4,4,2,1,5
95,coupang,female,48,1,3,4,3,4,5,3,4,3,2,1,2,5
96,g_market,male,43,4,4,4,4,3,4,3,2,4,5,5,5,5
97,coupang,male,57,5,3,2,2,3,1,3,2,3,4,4,4,3
98,11_street,female,42,2,2,2,4,3,4,4,3,5,4,2,2,4
99,coupang,female,51,5,5,5,2,1,5,5,5,3,2,1,3,5
100,g_market,male,57,2,2,1,2,1,2,2,1,2,3,5,4,3
101,g_market,male,59,3,3,3,5,4,2,1,1,2,1,3,2,2
102,g_market,male,36,4,4,5,4,3,4,3,3,3,3,5,5,5
103,g_market,male,58,3,2,1,3,3,3,4,4,5,5,3,4,3
104,coupang,female,40,4,5,4,2,1,1,1,3,5,3,4,5,5
105,g_market,male,39,3,2,1,5,3,5,4,3,3,2,2,3,2
106,coupang,female,31,5,4,5,3,2,1,3,3,4,5,4,4,2
107,coupang,female,25,3,3,3,2,3,3,3,2,5,4,1,3,3
108,coupang,female,30,5,3,4,3,3,3,2,2,5,4,4,3,2
109,coupang,female,35,2,2,1,1,3,2,3,4,2,1,4,5,5
110,11_street,female,31,2,1,3,2,2,2,1,1,1,3,1,1,2
111,g_market,male,23,5,5,5,1,1,5,4,4,4,5,4,4,5
112,coupang,male,44,2,3,4,4,5,2,3,2,3,2,2,2,5
113,coupang,male,39,3,4,3,3,4,2,3,2,4,4,3,2,1
114,g_market,female,42,2,2,1,5,4,3,4,5,5,4,2,2,3
115,coupang,female,41,2,3,4,2,3,2,3,4,2,2,5,3,5
116,coupang,male,29,4,3,2,1,1,4,3,3,5,5,4,3,5
117,g_market,female,54,1,2,3,2,2,5,4,5,3,4,3,3,4
118,11_street,male,30,2,1,1,4,4,2,2,1,4,3,3,4,5
119,11_street,female,50,5,5,5,5,3,2,3,3,3,4,3,4,3
120,11_street,female,36,1,1,3,3,3,2,3,3,3,3,1,3,1
121,g_market,female,43,3,3,3,3,2,4,5,3,5,4,4,4,4
122,11_street,female,30,4,4,3,3,4,3,2,2,3,4,3,4,2
123,coupang,male,32,2,3,2,2,1,5,5,4,1,1,1,3,3
124,11_street,female,56,3,2,2,4,5,2,3,4,1,3,3,4,3
125,coupang,male,42,4,3,4,5,5,3,3,2,5,4,3,3,2
126,11_street,male,50,2,1,3,4,4,2,2,2,1,3,3,4,5
127,11_street,female,46,4,5,5,2,2,4,5,3,3,2,4,3,3
128,11_street,female,52,3,2,1,1,1,4,3,3,2,3,2,2,4
129,11_street,female,32,2,3,2,4,4,2,2,2,3,2,5,5,5
130,11_street,female,23,4,5,3,2,1,3,3,4,3,2,1,1,3
131,coupang,female,49,5,3,3,5,3,2,3,4,4,5,5,3,2
132,11_street,female,52,1,2,3,3,4,5,3,4,1,2,2,3,2
133,11_street,male,28,2,1,2,1,2,1,3,3,5,5,3,4,4
134,11_street,male,42,5,3,4,5,5,1,2,1,5,5,2,1,4
135,coupang,female,25,4,4,4,4,4,1,1,1,4,5,5,5,5
136,11_street,male,35,5,4,3,2,3,5,4,5,2,1,2,2,4
137,g_market,male,49,5,5,3,2,1,1,2,2,5,4,5,5,4
138,11_street,female,54,2,1,1,2,3,4,4,3,2,1,5,5,3
139,g_market,female,31,1,1,2,5,4,1,1,3,4,3,5,3,3
140,11_street,male,27,1,1,1,2,1,1,1,3,3,2,3,2,1
141,11_street,male,43,1,1,3,4,3,1,2,2,2,1,4,3,4
142,11_street,male,32,4,4,5,1,2,2,1,2,3,3,5,5,2
143,coupang,male,59,3,3,2,4,4,4,3,2,2,1,2,1,5
144,g_market,male,31,3,3,3,5,4,5,3,4,2,3,2,2,4
145,coupang,male,32,4,4,4,5,4,5,3,4,2,1,3,4,5
146,11_street,female,41,3,4,5,3,2,2,1,3,2,3,5,4,2
147,g_market,female,38,5,5,3,2,3,1,3,3,3,3,1,1,3
148,11_street,female,34,3,4,3,1,2,2,1,2,1,3,5,5,5
149,11_street,male,54,4,4,5,5,5,4,3,4,4,5,3,4,2
150,g_market,male,30,5,5,5,4,3,1,3,3,5,3,5,3,2
151,11_street,female,43,5,3,2,2,1,1,1,2,2,1,2,3,4
152,g_market,male,35,3,3,4,4,4,3,3,3,4,5,1,1,4
153,g_market,female,38,2,2,3,4,3,2,3,2,3,3,5,5,1
154,11_street,female,58,4,4,5,1,1,4,3,2,3,2,3,3,5
155,g_market,male,37,2,2,3,3,3,1,2,2,3,3,3,2,1
156,coupang,female,37,5,3,3,1,2,1,3,4,5,4,1,1,3
157,11_street,male,33,3,4,3,2,1,4,3,3,5,4,3,4,1
158,11_street,female,28,4,5,5,1,3,3,2,3,3,3,5,3,4
159,11_street,male,36,2,3,3,4,5,4,3,4,3,2,5,4,2
160,coupang,female,56,3,4,4,1,2,1,1,3,4,4,5,5,1
161,g_market,male,46,1,3,3,5,5,2,2,3,5,4,2,2,5
162,coupang,female,48,2,1,2,4,4,4,3,3,4,5,5,5,3
163,g_market,female,32,2,2,2,5,4,4,3,4,3,3,2,2,5
164,coupang,female,56,4,4,4,2,2,1,2,3,2,1,4,3,5
165,g_market,male,29,3,3,2,2,2,1,3,3,3,2,1,2,5
166,11_street,male,52,4,4,3,1,2,1,3,3,5,5,2,1,4
167,11_street,female,53,1,1,1,4,4,1,3,4,4,3,5,3,5
168,11_street,male,56,3,2,3,5,5,2,1,1,4,3,1,2,1
169,coupang,male,35,1,1,1,1,1,3,4,3,5,4,2,3,3
170,11_street,female,46,5,3,4,5,3,5,5,5,5,5,1,1,1
171,11_street,female,49,2,1,3,3,4,3,3,3,1,3,2,1,2
172,11_street,female,47,5,4,4,2,1,2,2,2,5,5,2,3,5
173,g_market,male,35,5,4,3,3,2,2,1,3,5,5,2,1,4
174,coupang,female,58,5,4,5,5,3,1,3,3,1,3,1,2,1
175,g_market,male,57,4,5,3,5,3,4,5,5,1,2,4,4,5
176,g_market,female,54,1,3,2,3,3,5,3,2,5,4,1,1,5
177,g_market,female,42,2,3,4,1,1,1,3,3,1,3,4,3,4
178,g_market,female,51,5,5,4,2,1,5,3,3,3,3,5,4,2
179,coupang,female,34,4,3,2,4,5,4,3,2,1,1,2,3,1
180,11_street,female,26,3,4,3,1,1,1,2,1,1,1,2,3,4
181,11_street,female,42,2,3,4,4,4,1,3,3,5,4,3,4,2
182,coupang,female,54,4,5,4,3,4,2,1,3,1,2,5,4,1
183,g_market,female,35,5,4,4,1,3,1,3,2,4,4,3,3,3
184,11_street,female,54,5,4,5,3,2,5,3,2,5,3,2,3,4
185,coupang,male,49,2,1,3,5,5,3,3,4,4,4,4,3,1
186,g_market,female,40,2,2,2,5,4,5,3,3,4,3,3,2,2
187,11_street,male,56,1,3,2,2,3,5,3,2,4,5,2,2,5
188,11_street,female,45,5,5,3,5,3,1,3,2,3,3,5,4,4
189,coupang,female,36,2,2,3,3,2,5,5,3,4,3,5,4,5
190,11_street,male,40,3,3,3,1,2,2,3,4,4,3,1,2,5
191,coupang,female,54,4,3,4,1,1,1,3,3,2,2,2,3,3
192,g_market,female,52,5,4,4,5,5,4,3,3,1,1,4,5,4
193,coupang,female,30,5,5,3,1,1,2,2,1,5,4,2,1,5
194,11_street,male,52,4,5,4,3,2,3,3,3,5,3,1,2,3
195,11_street,female,52,5,3,3,1,2,4,5,3,3,2,1,1,5
196,g_market,male,48,5,5,4,4,3,2,1,2,2,1,1,2,1
197,g_market,female,52,3,2,2,3,4,1,1,2,2,1,4,4,3
198,g_market,female,59,1,3,3,4,4,4,3,3,2,1,1,2,2
199,coupang,female,27,4,5,5,5,5,4,3,2,3,4,5,4,2
200,coupang,female,55,2,3,3,1,1,1,2,3,5,5,2,2,4
