id,segment,price_1,price_2,choice
123,B,85,90,1
124,B,100,95,0
125,A,95,90,0
126,A,100,80,2
127,B,100,85,2
128,B,90,90,0
129,B,100,90,0
130,A,100,100,0
131,B,100,95,0
132,B,80,100,1
133,B,95,100,0
134,B,90,85,2
135,A,95,80,2
136,A,80,100,1
137,A,85,90,1
138,A,95,100,0
139,B,100,95,0
140,A,85,85,2
141,B,80,85,1
142,A,80,95,1
143,B,85,80,2
144,A,95,85,2
145,B,80,100,1
146,B,100,80,2
147,A,90,100,0
148,B,90,100,0
149,B,90,80,2
150,B,100,100,0
151,B,80,90,1
152,B,80,85,1
153,A,90,95,0
154,A,100,100,0
155,A,85,80,2
156,B,80,100,1
157,A,80,95,1
158,A,85,100,1
159,A,85,80,2
160,B,80,95,1
161,B,80,95,1
162,A,90,80,2
163,B,85,95,1
164,A,85,95,1
165,A,85,100,1
166,B,85,90,1
167,B,95,95,0
168,A,95,100,0
169,A,85,80,2
170,B,95,95,0
171,A,80,80,2
172,A,100,90,0
173,A,95,85,2
174,A,80,80,2
175,A,90,80,2
176,B,100,100,0
177,A,95,80,2
178,A,80,85,1
179,B,85,80,2
180,A,90,95,0
181,A,85,100,1
182,B,100,80,2
183,A,85,80,2
184,B,80,100,1
185,B,80,85,1
186,A,90,80,2
187,A,95,90,0
188,A,90,95,0
189,A,100,85,2
190,A,100,80,2
191,B,90,100,0
192,B,80,100,1
193,B,85,90,1
194,B,90,95,0
195,B,90,85,2
196,B,90,90,0
197,B,80,85,1
198,A,80,85,1
199,B,95,90,0
200,A,100,90,0
201,A,80,85,1
202,A,80,85,1
203,A,80,80,2
204,B,100,85,2
205,B,100,80,2
206,B,100,85,2
207,A,100,100,0
208,A,80,80,2
209,B,80,90,1
210,A,100,90,0
211,B,95,85,2
212,A,80,85,1
213,B,85,95,1
214,A,95,85,2
215,A,100,85,2
216,A,80,90,1
217,A,90,80,2
218,A,80,90,1
219,B,95,90,0
220,B,100,80,2
221,A,95,80,2
222,A,90,80,2
223,B,100,90,0
224,A,95,95,0
225,B,90,100,0
226,A,85,80,2
227,A,95,80,2
228,B,85,85,2
229,A,85,90,1
230,B,85,80,2
231,B,90,80,2
232,B,100,90,0
233,A,100,90,0
234,A,90,80,2
235,B,95,85,2
236,B,85,85,2
237,A,80,100,1
238,B,100,80,2
239,B,95,90,0
240,A,100,100,0
241,B,80,85,1
242,B,85,90,1
243,B,80,95,1
244,B,85,100,1
245,B,95,85,2
246,A,95,80,2
247,B,100,85,2
248,B,90,100,0
249,A,85,100,1
250,B,80,90,1
251,B,80,90,1
252,A,85,85,2
253,A,100,85,2
254,A,90,95,0
255,A,85,95,1
256,B,85,80,2
257,B,100,100,0
258,A,95,85,2
259,B,80,80,2
260,B,90,95,0
261,B,90,85,2
262,B,95,90,0
263,A,90,100,0
264,A,100,100,0
265,A,85,90,1
266,A,90,90,0
267,B,85,80,2
268,B,95,85,2
269,B,95,80,2
270,A,80,100,1
271,A,95,95,0
272,A,80,100,1
273,A,100,95,0
274,A,90,80,2
275,A,85,85,2
276,B,95,100,0
277,A,95,100,0
278,B,100,85,2
279,B,90,85,2
280,B,95,100,0
281,B,95,85,2
282,A,80,95,1
283,A,90,80,2
284,A,100,90,0
285,B,85,90,1
286,A,90,85,2
287,A,100,80,2
288,A,80,85,1
289,B,100,90,0
290,B,100,80,2
291,B,95,100,0
292,A,100,95,0
293,A,90,100,0
294,B,85,85,2
295,A,90,100,0
296,B,85,85,2
297,A,95,95,0
298,A,80,85,1
299,B,80,95,1
300,A,100,85,2
301,B,95,100,0
302,A,95,100,0
303,A,90,90,0
304,B,80,80,2
305,A,100,85,2
306,A,85,90,1
307,A,80,90,1
308,A,80,85,1
309,B,85,80,2
310,A,100,100,0
311,B,85,95,1
312,A,100,80,2
313,A,80,85,1
314,B,90,95,0
315,A,80,100,1
316,B,95,85,2
317,A,85,85,2
318,A,100,100,0
319,A,80,85,1
320,A,80,90,1
321,A,80,90,1
322,B,95,90,0
323,A,95,100,0
324,A,95,100,0
325,B,90,95,0
326,B,95,95,0
327,A,95,80,2
328,B,100,100,0
329,A,100,80,2
330,A,100,100,0
331,B,95,85,2
332,B,95,95,0
333,B,85,90,1
334,B,95,95,0
335,A,85,90,1
336,A,100,80,2
337,A,90,80,2
338,A,85,100,1
339,B,90,80,2
340,B,90,85,2
341,A,100,90,0
342,A,100,80,2
343,B,100,95,0
344,B,90,80,2
345,B,100,85,2
346,A,90,100,0
347,A,90,100,0
348,A,80,100,1
349,B,95,100,0
350,A,95,85,2
351,A,95,85,2
352,B,85,85,2
353,A,100,100,0
354,A,85,90,1
355,A,90,95,0
356,B,100,90,0
357,A,90,80,2
358,A,80,95,1
359,A,90,100,0
360,B,95,90,0
361,B,80,90,1
362,B,100,85,2
363,B,90,100,0
364,A,90,85,2
365,B,95,85,2
366,A,100,85,2
367,B,85,90,1
368,A,95,80,2
369,A,100,80,2
370,B,85,95,1
371,B,85,90,1
372,B,100,85,2
373,A,100,95,0
374,B,85,100,1
375,A,80,90,1
376,B,85,95,1
377,B,100,100,0
378,B,80,85,1
379,B,85,100,1
380,B,80,95,1
381,B,95,90,0
382,B,100,90,0
383,A,85,85,2
384,A,90,80,2
385,B,95,80,2
386,B,100,85,2
387,A,80,85,1
388,B,85,90,1
389,A,80,80,2
390,A,100,85,2
391,B,90,95,0
392,B,90,90,0
393,B,80,95,1
394,B,90,100,0
395,B,90,100,0
396,B,90,100,0
397,B,85,85,2
398,A,100,80,2
399,B,90,85,2
400,B,100,90,0
401,A,90,100,0
402,B,95,80,2
403,A,100,85,2
404,B,85,90,1
405,B,95,95,0
406,B,100,80,2
407,B,85,90,1
408,A,95,100,0
409,A,95,100,0
410,A,90,85,2
411,B,95,90,0
412,B,95,80,2
413,A,90,80,2
414,B,95,80,2
415,A,85,80,2
416,B,85,90,1
417,B,85,100,1
418,A,85,90,1
419,B,85,80,2
420,A,80,100,1
421,A,85,100,1
422,A,100,85,2
423,A,95,90,0
424,B,100,95,0
425,A,95,95,0
426,A,95,85,2
427,A,95,80,2
428,B,90,80,2
429,A,100,100,0
430,A,80,80,2
431,B,100,80,2
432,A,80,90,1
433,A,100,80,2
434,B,100,80,2
435,A,90,90,0
436,B,85,100,1
437,A,100,85,2
438,A,100,80,2
439,B,100,85,2
440,A,80,85,1
441,B,90,90,0
442,B,85,90,1
443,A,80,100,1
444,B,95,100,0
445,A,85,90,1
446,A,85,100,1
447,B,90,90,0
448,B,90,100,0
449,A,90,80,2
450,B,100,85,2
451,A,100,95,0
452,A,80,90,1
453,A,95,100,0
454,A,80,90,1
455,B,85,80,2
456,B,90,100,0
457,B,90,85,2
458,A,100,95,0
459,A,85,95,1
460,B,100,90,0
461,B,90,80,2
462,B,100,90,0
463,B,100,85,2
464,B,85,100,1
465,A,100,95,0
466,B,85,95,1
467,B,80,90,1
468,A,85,100,1
469,A,95,80,2
470,A,100,100,0
471,A,95,80,2
472,B,95,95,0
473,A,95,85,2
474,B,90,100,0
475,A,85,80,2
476,B,95,80,2
477,A,80,90,1
478,B,80,90,1
479,A,80,90,1
480,A,90,90,0
481,B,95,85,2
482,B,85,95,1
483,A,95,80,2
484,B,85,85,2
485,B,90,80,2
486,B,90,80,2
487,B,95,95,0
488,B,80,100,1
489,B,95,100,0
490,A,80,80,2
491,B,80,95,1
492,B,85,85,2
493,B,90,80,2
494,A,85,90,1
495,A,100,80,2
496,B,85,95,1
497,B,80,95,1
498,A,85,95,1
499,A,100,80,2
500,A,80,100,1
501,B,100,100,0
502,B,85,80,2
503,B,80,80,2
504,A,95,100,0
505,A,90,100,0
506,B,80,90,1
507,A,90,90,0
508,B,85,100,1
509,A,90,100,0
510,B,80,85,1
511,B,80,100,1
512,B,100,85,2
513,A,90,100,0
514,B,85,85,2
515,B,85,80,2
516,B,95,80,2
517,B,95,85,2
518,B,85,100,1
519,B,100,95,0
520,B,90,85,2
521,A,100,100,0
522,A,80,100,1
523,A,90,90,0
524,A,85,100,1
525,B,95,100,0
526,A,90,95,0
527,A,85,80,2
528,B,100,80,2
529,B,95,95,0
530,B,100,85,2
531,B,95,85,2
532,B,80,85,1
533,B,100,80,2
534,A,95,85,2
535,B,80,100,1
536,B,95,85,2
537,B,100,100,0
538,B,95,80,2
539,B,100,100,0
540,A,80,90,1
541,A,95,85,2
542,B,100,85,2
543,A,85,100,1
544,B,100,90,0
545,A,95,80,2
546,A,95,95,0
547,B,95,100,0
548,A,90,90,0
549,A,100,100,0
550,B,95,90,0
551,A,100,100,0
552,B,85,95,1
553,A,90,95,0
554,B,85,90,1
555,A,100,100,0
556,A,80,95,1
557,B,95,95,0
558,B,100,95,0
559,A,90,90,0
560,A,85,95,1
561,A,95,85,2
562,A,90,95,0
563,A,80,95,1
564,A,95,80,2
565,A,95,100,0
566,A,80,100,1
567,B,85,90,1
568,B,100,85,2
569,B,95,90,0
570,A,95,80,2
571,B,85,80,2
572,A,85,95,1
573,A,80,95,1
574,A,100,90,0
575,B,90,80,2
576,A,95,85,2
577,A,80,95,1
578,A,100,90,0
579,A,100,90,0
580,B,80,85,1
581,A,100,80,2
582,A,100,85,2
583,A,85,95,1
584,B,95,80,2
585,A,95,90,0
586,B,90,100,0
587,A,80,95,1
588,A,85,90,1
589,A,80,80,2
590,B,85,95,1
591,A,85,100,1
592,A,100,100,0
593,A,85,80,2
594,B,85,95,1
595,B,90,85,2
596,B,95,85,2
597,A,95,100,0
598,B,90,85,2
599,B,100,80,2
600,A,90,90,0
601,B,95,100,0
602,B,95,95,0
603,A,80,85,1
604,B,85,90,1
605,B,90,100,0
606,A,90,95,0
607,A,100,90,0
608,A,95,80,2
609,A,80,80,2
610,B,90,80,2
611,A,90,100,0
612,B,95,100,0
613,B,85,90,1
614,A,95,95,0
615,A,85,95,1
616,A,100,95,0
617,A,100,85,2
618,A,95,100,0
619,B,90,85,2
620,A,100,100,0
621,B,80,100,1
622,A,100,100,0
623,B,90,95,0
624,B,90,80,2
625,B,85,95,1
626,B,100,80,2
627,B,90,100,0
628,B,95,85,2
629,A,90,80,2
630,A,80,95,1
631,B,85,80,2
632,B,100,85,2
633,B,95,100,0
634,A,80,95,1
635,A,85,95,1
636,B,80,85,1
637,B,95,95,0
638,A,80,80,2
639,B,80,95,1
640,B,90,80,2
641,B,100,90,0
642,B,95,90,0
643,B,85,90,1
644,A,100,90,0
645,A,100,90,0
646,A,85,80,2
647,A,85,90,1
648,A,90,90,0
649,B,80,95,1
650,A,90,90,0
651,B,90,95,0
652,B,100,85,2
653,A,100,85,2
654,A,100,95,0
655,A,85,85,2
656,B,100,100,0
657,A,90,95,0
658,A,100,100,0
659,B,100,90,0
660,B,80,90,1
661,A,85,85,2
662,A,80,95,1
663,A,100,95,0
664,B,85,80,2
665,A,80,80,2
666,A,85,80,2
667,A,80,100,1
668,B,95,95,0
669,A,80,80,2
670,A,85,80,2
671,B,85,85,2
672,A,85,85,2
673,B,95,85,2
674,A,100,80,2
675,B,95,90,0
676,B,95,80,2
677,B,95,80,2
678,B,90,90,0
679,A,100,90,0
680,A,90,85,2
681,A,95,80,2
682,A,100,90,0
683,B,80,95,1
684,A,95,95,0
685,A,80,100,1
686,A,100,95,0
687,A,80,80,2
688,B,80,85,1
689,A,85,90,1
690,A,100,95,0
691,B,80,90,1
692,B,85,90,1
693,A,90,80,2
694,B,85,80,2
695,B,90,100,0
696,A,85,95,1
697,A,85,85,2
698,B,80,100,1
699,A,90,85,2
700,B,95,80,2
701,B,80,80,2
702,B,90,85,2
703,B,90,95,0
704,B,100,85,2
705,B,100,90,0
706,A,85,100,1
707,B,100,90,0
708,A,80,100,1
709,A,95,100,0
710,A,100,85,2
711,A,95,80,2
712,A,90,95,0
713,A,100,95,0
714,A,80,95,1
715,A,85,95,1
716,B,90,95,0
717,A,80,90,1
718,A,85,90,1
719,A,80,100,1
720,B,85,85,2
721,A,100,80,2
722,A,100,85,2
723,A,100,80,2
724,A,80,80,2
725,A,95,95,0
726,A,95,80,2
727,A,85,85,2
728,A,90,80,2
729,A,95,100,0
730,B,90,90,0
731,B,100,90,0
732,A,95,95,0
733,A,100,95,0
734,A,95,95,0
735,B,85,100,1
736,A,100,85,2
737,B,90,85,2
738,B,80,90,1
739,B,90,80,2
740,B,80,85,1
741,A,95,90,0
742,B,100,90,0
743,B,90,80,2
744,B,95,90,0
745,A,95,80,2
746,B,85,90,1
747,B,80,85,1
748,B,85,80,2
749,B,90,100,0
750,B,95,95,0
751,A,80,95,1
752,A,85,95,1
753,B,100,80,2
754,A,80,85,1
755,B,80,90,1
756,A,90,100,0
757,B,85,85,2
758,A,95,100,0
759,A,80,95,1
760,A,95,95,0
761,B,95,85,2
762,B,100,85,2
763,A,85,80,2
764,A,80,80,2
765,B,95,100,0
766,B,85,85,2
767,B,85,95,1
768,B,95,85,2
769,B,100,95,0
770,A,80,90,1
771,A,80,90,1
772,A,100,100,0
773,B,85,90,1
774,A,80,90,1
775,A,80,95,1
776,B,80,85,1
777,B,95,100,0
778,A,95,100,0
779,A,80,90,1
780,B,95,85,2
781,B,100,95,0
782,A,90,85,2
783,A,80,95,1
784,A,80,90,1
785,A,90,90,0
786,A,95,95,0
787,B,100,95,0
788,B,90,90,0
789,A,100,85,2
790,B,90,100,0
791,A,80,100,1
792,B,85,80,2
793,A,100,100,0
794,B,85,80,2
795,A,95,90,0
796,B,85,85,2
797,A,95,90,0
798,B,95,80,2
799,B,80,95,1
800,A,95,85,2
801,A,100,85,2
802,A,90,100,0
803,B,85,100,1
804,A,90,85,2
805,A,100,100,0
806,B,90,90,0
807,B,95,95,0
808,B,80,80,2
809,B,90,100,0
810,A,95,80,2
811,A,90,100,0
812,A,85,100,1
813,B,90,95,0
814,A,85,95,1
815,A,95,85,2
816,B,100,80,2
817,A,95,95,0
818,A,95,90,0
819,A,95,85,2
820,A,90,80,2
821,B,100,100,0
822,A,100,100,0
823,A,95,80,2
824,A,90,80,2
825,B,100,85,2
826,A,90,100,0
827,A,80,85,1
828,B,80,85,1
829,A,90,90,0
830,A,95,80,2
831,B,90,85,2
832,B,85,90,1
833,B,80,100,1
834,A,95,80,2
835,B,85,95,1
836,B,95,95,0
837,B,85,80,2
838,B,85,80,2
839,B,95,85,2
840,B,80,95,1
841,A,85,95,1
842,B,95,85,2
843,B,85,100,1
844,A,80,85,1
845,A,85,100,1
846,B,80,95,1
847,A,100,85,2
848,A,90,80,2
849,B,100,90,0
850,B,85,85,2
851,A,80,100,1
852,B,85,80,2
853,A,100,90,0
854,A,90,95,0
855,A,85,80,2
856,B,90,80,2
857,A,90,100,0
858,B,100,100,0
859,A,90,95,0
860,A,85,85,2
861,A,100,80,2
862,B,90,95,0
863,B,100,95,0
864,A,100,85,2
865,B,100,80,2
866,A,85,100,1
867,B,90,95,0
868,A,90,100,0
869,B,95,90,0
870,A,95,100,0
871,B,90,95,0
872,A,95,95,0
873,B,85,80,2
874,A,90,100,0
875,B,80,100,1
876,A,100,100,0
877,A,95,85,2
878,A,85,95,1
879,A,90,95,0
880,B,80,85,1
881,B,95,90,0
882,B,90,85,2
883,B,95,85,2
884,A,90,95,0
885,A,95,80,2
886,B,85,95,1
887,B,80,95,1
888,B,80,100,1
889,A,85,80,2
890,B,85,100,1
891,A,95,95,0
892,B,100,90,0
893,A,100,95,0
894,B,100,90,0
895,A,95,85,2
896,B,85,80,2
897,A,90,85,2
898,A,85,100,1
899,A,80,80,2
900,B,100,95,0
901,A,85,90,1
902,A,95,80,2
903,B,100,80,2
904,A,80,85,1
905,A,80,90,1
906,B,100,90,0
907,A,85,80,2
908,B,80,100,1
909,B,85,85,2
910,B,90,80,2
911,B,80,100,1
912,B,80,80,2
913,B,80,85,1
914,A,90,90,0
915,B,100,95,0
916,A,100,95,0
917,B,90,95,0
918,A,100,90,0
919,A,95,85,2
920,A,95,80,2
921,B,100,95,0
922,B,85,80,2
923,A,100,85,2
924,A,80,85,1
925,B,85,85,2
926,B,80,100,1
927,B,95,100,0
928,A,100,100,0
929,A,95,95,0
930,B,100,95,0
931,A,85,95,1
932,A,95,85,2
933,B,90,80,2
934,A,90,85,2
935,A,80,90,1
936,B,100,95,0
937,B,80,80,2
938,B,80,90,1
939,A,90,95,0
940,B,100,100,0
941,A,80,80,2
942,A,100,95,0
943,A,85,100,1
944,B,85,100,1
945,A,80,85,1
946,A,80,100,1
947,B,90,100,0
948,A,80,95,1
949,A,100,85,2
950,B,80,80,2
951,B,90,90,0
952,B,90,80,2
953,B,80,80,2
954,B,90,80,2
955,B,80,85,1
956,A,85,95,1
957,B,80,80,2
958,B,95,90,0
959,A,90,85,2
960,B,90,95,0
961,A,100,85,2
962,A,100,95,0
963,A,90,100,0
964,B,85,95,1
965,A,95,80,2
966,A,85,100,1
967,A,100,95,0
968,B,85,85,2
969,A,100,90,0
970,A,100,90,0
971,A,100,100,0
972,B,100,85,2
973,A,85,100,1
974,A,100,80,2
975,B,100,100,0
976,B,80,100,1
977,A,100,95,0
978,A,85,95,1
979,A,85,90,1
980,A,95,100,0
981,B,95,100,0
982,A,95,90,0
983,A,90,100,0
984,B,100,95,0
985,A,100,85,2
986,A,80,100,1
987,B,90,90,0
988,B,95,90,0
989,A,85,85,2
990,B,90,95,0
991,B,90,90,0
992,A,95,100,0
993,A,80,90,1
994,B,85,80,2
995,B,100,85,2
996,B,85,90,1
997,B,100,90,0
998,B,95,100,0
999,A,90,80,2
1000,A,90,100,0
