sample,male,age,apple,attribute,benefit,value
66,0,39,0,화면크기,여가활동이 즐겁다,즐거운 인생
67,0,31,1,브랜드,신뢰할 수 있다,풍족한 삶
68,1,25,0,빠른 속도,업무효율성이 높아진다,걱정없는 삶
69,1,32,0,빠른 속도,업무효율성이 높아진다,걱정없는 삶
70,1,42,0,브랜드,신뢰할 수 있다,즐거운 인생
71,0,32,0,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
72,0,25,1,강력한 보안,신뢰할 수 있다,걱정없는 삶
73,0,48,1,브랜드,신뢰할 수 있다,걱정없는 삶
74,1,42,1,강력한 보안,업무효율성이 높아진다,걱정없는 삶
75,1,46,0,빠른 속도,사용하기 편리하다,걱정없는 삶
76,1,29,0,브랜드,개성을 표현할 수 있다,자아존중
77,0,48,1,화면크기,커뮤니케이션이 용이하다,즐거운 인생
78,1,39,1,화면크기,사용하기 편리하다,즐거운 인생
79,0,41,1,강력한 보안,개인정보 보호가 된다,걱정없는 삶
80,1,41,1,세련된 스타일,개성을 표현할 수 있다,좋은 관계
81,1,28,0,빠른 속도,업무효율성이 높아진다,걱정없는 삶
82,0,25,0,화면크기,여가활동이 즐겁다,좋은 관계
83,1,40,0,화면크기,여가활동이 즐겁다,즐거운 인생
84,0,28,1,강력한 보안,개인정보 보호가 된다,걱정없는 삶
85,1,39,1,브랜드,신뢰할 수 있다,풍족한 삶
86,0,36,0,카메라성능,개성을 표현할 수 있다,자아존중
87,1,25,0,화면크기,커뮤니케이션이 용이하다,자아존중
88,0,45,1,강력한 보안,신뢰할 수 있다,걱정없는 삶
89,0,41,1,화면크기,여가활동이 즐겁다,즐거운 인생
90,0,32,1,세련된 스타일,개성을 표현할 수 있다,자아존중
91,0,29,1,강력한 보안,개인정보 보호가 된다,걱정없는 삶
92,0,33,1,화면크기,사용하기 편리하다,풍족한 삶
93,1,29,1,카메라성능,여가활동이 즐겁다,즐거운 인생
94,1,47,0,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶
95,0,38,1,카메라성능,SNS 참여가 쉽다,즐거운 인생
96,0,24,1,세련된 스타일,개성을 표현할 수 있다,자아존중
97,0,47,0,화면크기,사용하기 편리하다,풍족한 삶
98,0,27,1,브랜드,신뢰할 수 있다,풍족한 삶
99,0,29,0,내구성,신뢰할 수 있다,걱정없는 삶
100,1,28,0,저장용량,사용하기 편리하다,좋은 관계
101,0,33,0,화면크기,사용하기 편리하다,풍족한 삶
102,1,24,0,화면크기,업무효율성이 높아진다,풍족한 삶
103,1,28,1,세련된 스타일,개성을 표현할 수 있다,자아존중
104,0,29,0,무상보증기간,경제적 손실을 줄인다,걱정없는 삶
105,0,47,1,브랜드,개성을 표현할 수 있다,자아존중
106,1,26,0,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
107,1,30,0,빠른 속도,업무효율성이 높아진다,걱정없는 삶
108,1,37,0,빠른 속도,업무효율성이 높아진다,걱정없는 삶
109,1,29,1,세련된 스타일,개성을 표현할 수 있다,자아존중
110,1,26,1,강력한 보안,업무효율성이 높아진다,걱정없는 삶
111,1,46,0,카메라성능,개성을 표현할 수 있다,자아존중
112,1,46,1,강력한 보안,업무효율성이 높아진다,풍족한 삶
113,0,41,0,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
114,0,29,1,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
115,1,34,1,세련된 스타일,개성을 표현할 수 있다,자아존중
116,1,29,1,화면크기,사용하기 편리하다,즐거운 인생
117,0,36,1,브랜드,신뢰할 수 있다,풍족한 삶
118,0,24,1,브랜드,개성을 표현할 수 있다,자아존중
119,0,43,1,세련된 스타일,개성을 표현할 수 있다,자아존중
120,1,34,1,강력한 보안,개인정보 보호가 된다,풍족한 삶
121,1,41,1,강력한 보안,신뢰할 수 있다,즐거운 인생
122,0,26,1,세련된 스타일,개성을 표현할 수 있다,즐거운 인생
123,0,46,1,화면크기,여가활동이 즐겁다,좋은 관계
124,0,41,0,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶
125,1,39,1,카메라성능,개성을 표현할 수 있다,좋은 관계
126,1,25,0,빠른 속도,사용하기 편리하다,풍족한 삶
127,0,25,0,빠른 속도,업무효율성이 높아진다,풍족한 삶
128,1,43,1,브랜드,신뢰할 수 있다,풍족한 삶
129,1,39,1,브랜드,여가활동이 즐겁다,즐거운 인생
130,1,39,1,강력한 보안,업무효율성이 높아진다,걱정없는 삶
131,1,37,1,세련된 스타일,여가활동이 즐겁다,좋은 관계
132,0,25,0,저장용량,사용하기 편리하다,즐거운 인생
133,1,31,1,세련된 스타일,신뢰할 수 있다,풍족한 삶
134,0,29,0,내구성,신뢰할 수 있다,걱정없는 삶
135,0,48,0,카메라성능,SNS 참여가 쉽다,자아존중
136,0,33,0,화면크기,업무효율성이 높아진다,풍족한 삶
137,1,30,0,카메라성능,여가활동이 즐겁다,좋은 관계
138,0,45,1,강력한 보안,업무효율성이 높아진다,풍족한 삶
139,0,27,1,강력한 보안,개인정보 보호가 된다,걱정없는 삶
140,1,26,0,저장용량,업무효율성이 높아진다,걱정없는 삶
141,1,29,1,빠른 속도,업무효율성이 높아진다,풍족한 삶
142,1,49,0,카메라성능,SNS 참여가 쉽다,좋은 관계
143,1,24,0,카메라성능,여가활동이 즐겁다,자아존중
144,0,49,0,카메라성능,개성을 표현할 수 있다,즐거운 인생
145,1,31,1,브랜드,신뢰할 수 있다,풍족한 삶
146,0,37,1,빠른 속도,사용하기 편리하다,즐거운 인생
147,0,41,1,브랜드,여가활동이 즐겁다,즐거운 인생
148,0,23,0,저장용량,업무효율성이 높아진다,풍족한 삶
149,0,49,0,빠른 속도,사용하기 편리하다,걱정없는 삶
150,0,48,1,카메라성능,SNS 참여가 쉽다,좋은 관계
151,1,47,1,카메라성능,개성을 표현할 수 있다,좋은 관계
152,1,24,1,세련된 스타일,여가활동이 즐겁다,좋은 관계
153,0,43,0,빠른 속도,업무효율성이 높아진다,걱정없는 삶
154,1,31,0,화면크기,업무효율성이 높아진다,걱정없는 삶
155,0,43,1,강력한 보안,신뢰할 수 있다,풍족한 삶
156,0,47,1,브랜드,신뢰할 수 있다,풍족한 삶
157,0,38,0,빠른 속도,커뮤니케이션이 용이하다,자아존중
158,0,32,0,내구성,SNS 참여가 쉽다,좋은 관계
159,1,35,1,브랜드,개성을 표현할 수 있다,자아존중
160,1,36,0,내구성,업무효율성이 높아진다,걱정없는 삶
161,1,37,1,내구성,경제적 손실을 줄인다,풍족한 삶
162,1,48,0,화면크기,사용하기 편리하다,걱정없는 삶
163,1,28,0,저장용량,업무효율성이 높아진다,풍족한 삶
164,0,44,0,빠른 속도,업무효율성이 높아진다,풍족한 삶
165,1,37,0,내구성,개성을 표현할 수 있다,좋은 관계
166,0,49,1,강력한 보안,개인정보 보호가 된다,풍족한 삶
167,0,45,0,강력한 보안,업무효율성이 높아진다,좋은 관계
168,1,45,1,카메라성능,개성을 표현할 수 있다,좋은 관계
169,1,35,1,세련된 스타일,여가활동이 즐겁다,좋은 관계
170,0,28,1,카메라성능,SNS 참여가 쉽다,좋은 관계
171,1,39,1,세련된 스타일,개성을 표현할 수 있다,자아존중
172,0,23,0,화면크기,사용하기 편리하다,즐거운 인생
173,1,45,1,세련된 스타일,개성을 표현할 수 있다,좋은 관계
174,1,33,0,화면크기,커뮤니케이션이 용이하다,좋은 관계
175,0,30,0,저장용량,사용하기 편리하다,좋은 관계
176,0,39,1,내구성,업무효율성이 높아진다,즐거운 인생
177,0,43,0,내구성,경제적 손실을 줄인다,풍족한 삶
178,1,30,0,빠른 속도,업무효율성이 높아진다,걱정없는 삶
179,1,49,1,강력한 보안,업무효율성이 높아진다,풍족한 삶
180,1,26,1,강력한 보안,개인정보 보호가 된다,걱정없는 삶
181,0,40,0,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
182,1,48,0,빠른 속도,커뮤니케이션이 용이하다,좋은 관계
183,1,28,1,세련된 스타일,여가활동이 즐겁다,즐거운 인생
184,0,47,0,빠른 속도,업무효율성이 높아진다,풍족한 삶
185,1,39,0,저장용량,업무효율성이 높아진다,걱정없는 삶
186,0,33,0,빠른 속도,커뮤니케이션이 용이하다,즐거운 인생
187,1,33,0,내구성,업무효율성이 높아진다,즐거운 인생
188,1,41,1,강력한 보안,개인정보 보호가 된다,걱정없는 삶
189,1,25,1,화면크기,커뮤니케이션이 용이하다,좋은 관계
190,0,29,0,내구성,신뢰할 수 있다,걱정없는 삶
191,0,26,0,빠른 속도,업무효율성이 높아진다,걱정없는 삶
192,1,47,1,카메라성능,개성을 표현할 수 있다,자아존중
193,1,48,1,강력한 보안,신뢰할 수 있다,풍족한 삶
194,1,37,1,브랜드,여가활동이 즐겁다,좋은 관계
195,0,23,0,내구성,경제적 손실을 줄인다,풍족한 삶
196,0,33,0,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
197,0,24,0,카메라성능,개성을 표현할 수 있다,즐거운 인생
198,1,30,1,세련된 스타일,개성을 표현할 수 있다,자아존중
199,0,43,0,저장용량,업무효율성이 높아진다,걱정없는 삶
200,0,25,1,브랜드,신뢰할 수 있다,걱정없는 삶
201,1,40,0,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
202,0,45,0,화면크기,업무효율성이 높아진다,풍족한 삶
203,1,37,0,화면크기,커뮤니케이션이 용이하다,좋은 관계
204,0,46,1,내구성,업무효율성이 높아진다,풍족한 삶
205,0,32,1,브랜드,개성을 표현할 수 있다,자아존중
206,0,36,0,내구성,신뢰할 수 있다,풍족한 삶
207,0,27,0,빠른 속도,업무효율성이 높아진다,풍족한 삶
208,0,45,0,빠른 속도,업무효율성이 높아진다,풍족한 삶
209,1,41,0,저렴한 가격,개성을 표현할 수 있다,자아존중
210,0,46,1,브랜드,개성을 표현할 수 있다,자아존중
211,1,45,1,세련된 스타일,신뢰할 수 있다,걱정없는 삶
212,0,26,1,브랜드,개성을 표현할 수 있다,자아존중
213,1,24,1,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
214,0,28,0,강력한 보안,업무효율성이 높아진다,풍족한 삶
215,1,32,1,빠른 속도,업무효율성이 높아진다,풍족한 삶
216,1,41,0,카메라성능,SNS 참여가 쉽다,좋은 관계
217,0,29,0,빠른 속도,업무효율성이 높아진다,걱정없는 삶
218,0,44,1,카메라성능,여가활동이 즐겁다,좋은 관계
219,0,46,0,빠른 속도,업무효율성이 높아진다,걱정없는 삶
220,1,34,1,카메라성능,개성을 표현할 수 있다,자아존중
221,0,33,0,내구성,경제적 손실을 줄인다,걱정없는 삶
222,0,33,0,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
223,1,44,0,빠른 속도,업무효율성이 높아진다,풍족한 삶
224,0,47,1,화면크기,사용하기 편리하다,즐거운 인생
225,0,24,0,빠른 속도,업무효율성이 높아진다,걱정없는 삶
226,0,38,0,빠른 속도,사용하기 편리하다,즐거운 인생
227,0,46,0,저장용량,업무효율성이 높아진다,풍족한 삶
228,0,27,0,강력한 보안,업무효율성이 높아진다,풍족한 삶
229,1,24,0,무상보증기간,경제적 손실을 줄인다,풍족한 삶
230,1,25,1,브랜드,신뢰할 수 있다,걱정없는 삶
231,0,40,1,카메라성능,SNS 참여가 쉽다,자아존중
232,0,37,1,카메라성능,개성을 표현할 수 있다,자아존중
233,1,27,1,강력한 보안,개인정보 보호가 된다,걱정없는 삶
234,0,31,1,저장용량,업무효율성이 높아진다,풍족한 삶
235,0,37,0,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
236,1,40,0,무상보증기간,경제적 손실을 줄인다,풍족한 삶
237,1,36,1,화면크기,업무효율성이 높아진다,풍족한 삶
238,0,41,0,빠른 속도,커뮤니케이션이 용이하다,좋은 관계
239,0,27,0,화면크기,사용하기 편리하다,풍족한 삶
240,0,38,1,브랜드,신뢰할 수 있다,풍족한 삶
241,1,49,1,강력한 보안,개인정보 보호가 된다,걱정없는 삶
242,0,45,0,화면크기,업무효율성이 높아진다,풍족한 삶
243,1,39,0,카메라성능,개성을 표현할 수 있다,자아존중
244,0,40,0,화면크기,업무효율성이 높아진다,풍족한 삶
245,1,48,1,세련된 스타일,개성을 표현할 수 있다,자아존중
246,1,42,0,카메라성능,여가활동이 즐겁다,풍족한 삶
247,1,30,1,세련된 스타일,개성을 표현할 수 있다,즐거운 인생
248,1,25,1,강력한 보안,개인정보 보호가 된다,걱정없는 삶
249,1,48,1,강력한 보안,개인정보 보호가 된다,걱정없는 삶
250,1,39,0,빠른 속도,업무효율성이 높아진다,걱정없는 삶
251,1,43,1,세련된 스타일,개성을 표현할 수 있다,좋은 관계
252,0,39,0,내구성,업무효율성이 높아진다,풍족한 삶
253,1,39,0,저장용량,업무효율성이 높아진다,걱정없는 삶
254,0,34,0,빠른 속도,커뮤니케이션이 용이하다,좋은 관계
255,1,49,1,화면크기,여가활동이 즐겁다,좋은 관계
256,0,34,1,카메라성능,SNS 참여가 쉽다,즐거운 인생
257,1,42,0,무상보증기간,경제적 손실을 줄인다,걱정없는 삶
258,0,48,1,카메라성능,개성을 표현할 수 있다,자아존중
259,0,35,1,세련된 스타일,신뢰할 수 있다,풍족한 삶
260,1,48,1,브랜드,개성을 표현할 수 있다,좋은 관계
261,1,41,0,무상보증기간,경제적 손실을 줄인다,풍족한 삶
262,1,31,1,화면크기,여가활동이 즐겁다,좋은 관계
263,1,25,0,빠른 속도,업무효율성이 높아진다,풍족한 삶
264,1,49,0,빠른 속도,업무효율성이 높아진다,풍족한 삶
265,0,26,1,카메라성능,개성을 표현할 수 있다,자아존중
266,1,44,0,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
267,0,25,1,카메라성능,개성을 표현할 수 있다,자아존중
268,1,46,1,브랜드,여가활동이 즐겁다,즐거운 인생
269,1,37,1,카메라성능,SNS 참여가 쉽다,좋은 관계
270,1,36,0,저장용량,사용하기 편리하다,즐거운 인생
271,1,35,1,빠른 속도,업무효율성이 높아진다,풍족한 삶
272,1,31,1,세련된 스타일,여가활동이 즐겁다,좋은 관계
273,1,33,0,강력한 보안,업무효율성이 높아진다,걱정없는 삶
274,0,29,0,빠른 속도,업무효율성이 높아진다,풍족한 삶
275,0,41,0,빠른 속도,사용하기 편리하다,즐거운 인생
276,1,27,1,세련된 스타일,개성을 표현할 수 있다,자아존중
277,0,33,0,빠른 속도,업무효율성이 높아진다,풍족한 삶
278,0,36,0,카메라성능,개성을 표현할 수 있다,자아존중
279,0,29,1,빠른 속도,사용하기 편리하다,즐거운 인생
280,1,34,1,브랜드,개성을 표현할 수 있다,즐거운 인생
281,0,43,0,브랜드,신뢰할 수 있다,걱정없는 삶
282,0,44,0,빠른 속도,업무효율성이 높아진다,걱정없는 삶
283,1,43,1,저장용량,업무효율성이 높아진다,걱정없는 삶
284,1,37,1,세련된 스타일,개성을 표현할 수 있다,좋은 관계
285,0,37,0,내구성,신뢰할 수 있다,풍족한 삶
286,1,45,1,카메라성능,SNS 참여가 쉽다,즐거운 인생
287,0,36,1,세련된 스타일,여가활동이 즐겁다,즐거운 인생
288,1,46,0,화면크기,업무효율성이 높아진다,풍족한 삶
289,1,42,1,카메라성능,개성을 표현할 수 있다,즐거운 인생
290,1,34,0,빠른 속도,사용하기 편리하다,풍족한 삶
291,0,27,0,저장용량,업무효율성이 높아진다,풍족한 삶
292,0,30,0,빠른 속도,업무효율성이 높아진다,풍족한 삶
293,1,36,1,강력한 보안,신뢰할 수 있다,즐거운 인생
294,1,38,0,브랜드,신뢰할 수 있다,걱정없는 삶
295,0,41,0,빠른 속도,사용하기 편리하다,즐거운 인생
296,1,41,0,화면크기,여가활동이 즐겁다,좋은 관계
297,1,37,1,세련된 스타일,개성을 표현할 수 있다,자아존중
298,0,29,1,강력한 보안,신뢰할 수 있다,풍족한 삶
299,0,30,1,브랜드,개성을 표현할 수 있다,즐거운 인생
300,0,40,0,무상보증기간,경제적 손실을 줄인다,풍족한 삶
301,0,48,0,내구성,신뢰할 수 있다,걱정없는 삶
302,0,39,0,내구성,신뢰할 수 있다,즐거운 인생
303,1,46,0,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶
304,0,42,0,내구성,신뢰할 수 있다,걱정없는 삶
305,0,24,0,저장용량,업무효율성이 높아진다,풍족한 삶
306,0,24,1,세련된 스타일,여가활동이 즐겁다,좋은 관계
307,1,31,0,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶
308,0,48,0,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
309,0,36,1,브랜드,여가활동이 즐겁다,좋은 관계
310,1,43,0,빠른 속도,업무효율성이 높아진다,풍족한 삶
311,0,24,0,무상보증기간,경제적 손실을 줄인다,풍족한 삶
312,1,36,1,강력한 보안,개인정보 보호가 된다,풍족한 삶
313,1,23,1,강력한 보안,신뢰할 수 있다,풍족한 삶
314,1,48,0,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶
315,0,38,0,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶
316,0,39,0,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
317,0,35,0,저장용량,업무효율성이 높아진다,풍족한 삶
318,1,28,0,빠른 속도,업무효율성이 높아진다,풍족한 삶
319,0,31,0,빠른 속도,사용하기 편리하다,즐거운 인생
320,0,26,0,저장용량,업무효율성이 높아진다,풍족한 삶
321,0,32,0,강력한 보안,신뢰할 수 있다,풍족한 삶
322,1,24,0,내구성,신뢰할 수 있다,풍족한 삶
323,0,29,0,저장용량,경제적 손실을 줄인다,걱정없는 삶
324,1,39,0,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
325,0,46,0,카메라성능,SNS 참여가 쉽다,즐거운 인생
326,1,31,0,빠른 속도,커뮤니케이션이 용이하다,자아존중
327,0,32,1,저렴한 가격,SNS 참여가 쉽다,좋은 관계
328,0,36,0,저장용량,업무효율성이 높아진다,걱정없는 삶
329,1,37,1,세련된 스타일,개성을 표현할 수 있다,좋은 관계
330,0,44,1,내구성,신뢰할 수 있다,풍족한 삶
331,1,44,1,빠른 속도,커뮤니케이션이 용이하다,좋은 관계
332,1,41,1,카메라성능,개성을 표현할 수 있다,자아존중
333,1,28,0,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶
334,1,24,0,빠른 속도,업무효율성이 높아진다,걱정없는 삶
335,0,40,1,세련된 스타일,개성을 표현할 수 있다,자아존중
336,1,27,1,화면크기,업무효율성이 높아진다,걱정없는 삶
337,1,41,0,내구성,업무효율성이 높아진다,자아존중
338,1,45,0,빠른 속도,사용하기 편리하다,즐거운 인생
339,1,47,1,카메라성능,개성을 표현할 수 있다,자아존중
340,1,35,1,카메라성능,SNS 참여가 쉽다,좋은 관계
341,0,24,0,저장용량,업무효율성이 높아진다,걱정없는 삶
342,0,44,1,브랜드,개성을 표현할 수 있다,자아존중
343,1,34,1,카메라성능,여가활동이 즐겁다,즐거운 인생
344,0,24,0,저장용량,사용하기 편리하다,즐거운 인생
345,1,35,1,화면크기,업무효율성이 높아진다,걱정없는 삶
346,1,42,1,세련된 스타일,개성을 표현할 수 있다,자아존중
347,0,38,1,강력한 보안,개인정보 보호가 된다,풍족한 삶
348,1,36,1,저장용량,사용하기 편리하다,걱정없는 삶
349,0,26,1,카메라성능,SNS 참여가 쉽다,즐거운 인생
350,0,44,1,빠른 속도,업무효율성이 높아진다,풍족한 삶
351,0,31,0,세련된 스타일,개성을 표현할 수 있다,자아존중
352,1,35,1,카메라성능,SNS 참여가 쉽다,자아존중
353,0,49,0,저장용량,사용하기 편리하다,걱정없는 삶
354,1,40,1,카메라성능,여가활동이 즐겁다,즐거운 인생
355,1,25,1,세련된 스타일,여가활동이 즐겁다,즐거운 인생
356,1,23,1,카메라성능,개성을 표현할 수 있다,자아존중
357,0,49,1,빠른 속도,사용하기 편리하다,풍족한 삶
358,1,35,0,내구성,경제적 손실을 줄인다,풍족한 삶
359,1,25,0,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
360,1,48,0,빠른 속도,사용하기 편리하다,즐거운 인생
361,1,32,1,브랜드,개성을 표현할 수 있다,좋은 관계
362,0,39,1,강력한 보안,업무효율성이 높아진다,걱정없는 삶
363,0,29,1,브랜드,개성을 표현할 수 있다,자아존중
364,1,29,0,화면크기,업무효율성이 높아진다,풍족한 삶
365,1,36,0,브랜드,개성을 표현할 수 있다,자아존중
366,0,37,0,화면크기,업무효율성이 높아진다,풍족한 삶
367,1,29,1,브랜드,신뢰할 수 있다,걱정없는 삶
368,0,41,0,카메라성능,SNS 참여가 쉽다,즐거운 인생
369,1,42,0,화면크기,업무효율성이 높아진다,풍족한 삶
370,0,43,1,브랜드,개성을 표현할 수 있다,좋은 관계
371,1,38,1,강력한 보안,업무효율성이 높아진다,풍족한 삶
372,1,35,0,빠른 속도,사용하기 편리하다,자아존중
373,1,46,1,강력한 보안,개인정보 보호가 된다,걱정없는 삶
374,0,46,1,세련된 스타일,신뢰할 수 있다,걱정없는 삶
375,0,31,1,브랜드,신뢰할 수 있다,걱정없는 삶
376,1,40,0,화면크기,사용하기 편리하다,즐거운 인생
377,0,42,1,강력한 보안,개인정보 보호가 된다,걱정없는 삶
378,1,39,1,브랜드,신뢰할 수 있다,걱정없는 삶
379,0,26,0,브랜드,여가활동이 즐겁다,자아존중
380,1,41,1,브랜드,신뢰할 수 있다,걱정없는 삶
381,1,29,1,강력한 보안,신뢰할 수 있다,걱정없는 삶
382,1,30,0,빠른 속도,커뮤니케이션이 용이하다,즐거운 인생
383,1,34,1,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶
384,0,34,1,저장용량,업무효율성이 높아진다,풍족한 삶
385,0,43,0,내구성,경제적 손실을 줄인다,풍족한 삶
386,0,40,1,카메라성능,SNS 참여가 쉽다,즐거운 인생
387,0,39,1,세련된 스타일,개성을 표현할 수 있다,자아존중
388,0,49,0,카메라성능,SNS 참여가 쉽다,좋은 관계
389,0,43,1,세련된 스타일,여가활동이 즐겁다,좋은 관계
390,0,48,0,빠른 속도,커뮤니케이션이 용이하다,자아존중
391,0,46,0,세련된 스타일,개성을 표현할 수 있다,자아존중
392,1,43,0,저장용량,개성을 표현할 수 있다,즐거운 인생
393,0,36,0,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
394,1,45,1,카메라성능,SNS 참여가 쉽다,좋은 관계
395,1,39,0,화면크기,사용하기 편리하다,즐거운 인생
396,1,34,0,빠른 속도,업무효율성이 높아진다,풍족한 삶
397,1,29,0,세련된 스타일,개성을 표현할 수 있다,자아존중
398,0,47,1,브랜드,신뢰할 수 있다,즐거운 인생
399,1,39,1,브랜드,여가활동이 즐겁다,좋은 관계
400,0,34,0,카메라성능,여가활동이 즐겁다,걱정없는 삶
401,1,41,1,브랜드,개성을 표현할 수 있다,자아존중
402,0,49,0,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
403,0,44,0,브랜드,신뢰할 수 있다,풍족한 삶
404,1,48,0,내구성,신뢰할 수 있다,풍족한 삶
405,1,43,1,화면크기,커뮤니케이션이 용이하다,즐거운 인생
406,1,37,1,카메라성능,여가활동이 즐겁다,좋은 관계
407,1,32,1,세련된 스타일,개성을 표현할 수 있다,자아존중
408,1,27,0,빠른 속도,업무효율성이 높아진다,풍족한 삶
409,1,40,0,화면크기,여가활동이 즐겁다,좋은 관계
410,0,40,1,세련된 스타일,개성을 표현할 수 있다,좋은 관계
