consumer_id,segment,card_set,choice
352,2,2,Left
353,2,3,Left
354,2,4,Right
355,1,5,Left
356,2,6,Left
357,2,7,Right
358,1,8,None
359,1,9,Right
360,2,10,None
361,1,1,Left
362,1,2,Left
363,1,3,Left
364,2,4,Right
365,1,5,Left
366,2,6,Right
367,2,7,Right
368,2,8,Left
369,2,9,Right
370,1,10,Left
371,1,1,Left
372,1,2,Left
373,1,3,Left
374,1,4,Right
375,2,5,Left
376,1,6,Right
377,1,7,Right
378,1,8,Left
379,2,9,Right
380,2,10,Right
381,2,1,Left
382,2,2,Left
383,2,3,Left
384,1,4,Right
385,2,5,Left
386,2,6,Right
387,1,7,Right
388,1,8,Left
389,2,9,Right
390,2,10,Right
391,1,1,Left
392,2,2,Left
393,2,3,Left
394,2,4,Right
395,1,5,Left
396,2,6,Right
397,1,7,Right
398,2,8,Left
399,1,9,Right
400,1,10,None
401,1,1,Left
402,1,2,Left
403,1,3,Left
404,2,4,None
405,1,5,Left
406,1,6,Right
407,1,7,Right
408,1,8,Left
409,2,9,Right
410,2,10,Left
411,2,1,Left
412,1,2,Left
413,2,3,Left
414,2,4,Left
415,2,5,Left
416,1,6,Right
417,2,7,Right
418,2,8,Right
419,2,9,Right
420,1,10,Right
421,2,1,None
422,2,2,Left
423,1,3,Left
424,2,4,Right
425,2,5,Left
426,1,6,Right
427,1,7,Right
428,2,8,Left
429,1,9,Right
430,1,10,None
431,1,1,Left
432,2,2,Left
433,2,3,Left
434,1,4,Right
435,2,5,Left
436,1,6,Right
437,2,7,Right
438,1,8,Left
439,1,9,Right
440,2,10,None
441,2,1,Left
442,1,2,Left
443,1,3,Left
444,2,4,Right
445,1,5,Left
446,2,6,Right
447,2,7,Right
448,2,8,Left
449,2,9,Right
450,1,10,None
451,2,1,Left
452,1,2,Left
453,2,3,Left
454,2,4,Right
455,2,5,Left
456,2,6,Right
457,2,7,Right
458,2,8,Left
459,2,9,Right
460,2,10,None
461,2,1,Left
462,2,2,Left
463,2,3,Left
464,2,4,Left
465,2,5,Left
466,1,6,Right
467,2,7,Right
468,1,8,Left
469,1,9,Right
470,2,10,Left
471,2,1,Right
472,1,2,Left
473,1,3,Left
474,1,4,Right
475,2,5,Left
476,1,6,Right
477,2,7,Left
478,2,8,Right
479,1,9,Right
480,2,10,None
481,2,1,Left
482,2,2,Left
483,1,3,Left
484,1,4,Right
485,2,5,None
486,1,6,Right
487,1,7,Right
488,2,8,Left
489,1,9,Right
490,2,10,None
491,2,1,Right
492,1,2,Left
493,2,3,Left
494,2,4,Right
495,1,5,Left
496,2,6,Right
497,2,7,Left
498,1,8,Right
499,2,9,Right
500,1,10,None
