Date,Nickname,Movie_score,Title,Content,Is_spoiler,Helpful_vote_count,Not_helpful_vote_count,Total_vote_count
2019-10-23,SpaceRanger06,8,Solid sequel to T2.,"The first two Terminator movies are two of the best movies ever made. T2 is effectively my all time favorite movie. So watching a new Terminator movie is always a daunting and overwhelming experience as my expectation levels are tough to meet.

The last three Terminator sequels have all had elements I've enjoyed, from the crane action sequence of RISE OF THE MACHINES to seeing the T-800 sent back in time at the beginning of GENISYS. But each movie has been a mixed bag. I haven't hated any of them but they aren't the quality I expect of a Terminator movie.

So here comes the fourth sequel since T2, which wipes away the previous three. Linda Hamilton returns as Sarah Connor, with James Cameron producing, it's marketed as the real T3.

And so it starts, with the video of Sarah Connor talking on video to Dr Silberman in T2 where she explains the future and what is coming. It's an effective start. Made more so in the following scene when we see a de-aged T-800, Sarah Connor and John Connor. It's set in 1998, a year after the supposed Judgement Day and honestly, the de-aging is incredible! So good so that it made me wish they had continued the movie using that technique.

What happens in that scene will split Terminator fans down the middle. You're either gonna accept it or hate it. Part of me feels the filmmakers were brave to take that decision, but I also feel it was unnecessary. I accepted it though.

It pushes the franchise into a new future and there we meet Dani Ramos (played by Natalia Reyes). She's not really given much of an introduction before she's already being hunted by a new Terminator villain, the Rev-9 (played very well by Gabriel Luna). And this creates a problem, she's effectively the central character we are meant to care about but because of a lack of introduction it's hard to care about her fate early on. In T1, we got to know Sarah a little before she's being hunted.

The Rev-9 is my favorite villain since the T-1000 (Robert Patrick). I wasn't a fan of the T-X (RISE OF THE MACHINES) or the John Connor Terminator of GENISYS. He's got a charm to him but he's ruthless in his pursuit. If anything we don't see enough of him.

Mackenzie Davis plays Grace, the protector to Dani. She's good, she kicks ass, but a tad bit bland.

Thankfully Linda Hamilton is back as Sarah Connor and she's the stand out of the movie. She's a seasoned warrior but she still kicks ass like she did in T2. Dark Fate is her movie. She's the lead.

So where is Arnold Schwarzenegger and his famous T-800 (or as he's known in this, Carl). Well don't go expecting to see a Terminator movie with Arnold as the lead. He doesn't pop up until after the hour mark but when he does it's worth it. He still makes unnecessary gags like he has since T2 (yes T2 started it), but it's not as cringe as his gags in ROTM and GENISYS.

He looks brilliant for a 72 year old, and still gets in on the action.

The plane sequence we saw in the trailer is better than I anticipated. It was a scene in the trailer where I felt it was too much. But in the movie it's actually a good action scene.

In terms of how I feel, is it the best Terminator movie since T2? Yes, because it's the most consistent of the sequels. Like I wrote before, the others were a mixed bag. This one knows what it wants to do and does it. Plus having Linda back is a big plus for me.

But do not go in expecting T1 or T2 levels of quality. The reason being is that the previous three sequels have used plots, action sequences that would have been great in the right movie but because they've already been used the franchise has become tired. DARK FATE tries its hardest to get back the Terminator mojo. It succeeds for the most part but still ultimately comes up short of matching T2.",O,32,55,87
2019-10-23,yankeedoo,7,Ok but not grt,I still prefer the last one more action This felt like pressing FF button but in cinema u can't Ok to watch but not great,X,11,45,56
2019-10-23,dimemagic,10,BEST TERMINATOR SINCE T2,"Better then the Terminator Genisys, Salvation and Rise of the Machines , Great terminator movie, amazing, Terminator: Dark Fate is a bold step forward the franchise and one of 2019's best action movies.",X,78,137,215
2019-10-23,lee_murcutt,6,Better then the last 3 Terminator Movies,"This film continues from the end of the second film, so these who like me who watched movies 3,4 & 5 they never existed in this time line.

On the plus side Linda Hamilton is back as Sarah Connor and Arnie is also back as an ageing Terminator and the other two female leads Natalia Reyes & Mackenzie Davies do a good job with their respective roles.

My major complaint with this movie it's just a retelling of the first two movies. I found myself shaking my head on a number of occasions as I've seen and heard it all before.

Like the Skynet computer was changed to AI computer called Legion. Gabriel Luna as the Terminator reminded me so much of Robert Patrick as the Terminator.

There are plot holes everywhere which were never explained like how can you have an ageing Terminator.

In the age we now live in I wasn't surprised by the story of a young female girl who save humanity from the dreaded AI computer, and basically two female protectors(one sent back from the future) to stop her from being killed(all that sounds very familiar) and they both seem to spend most of the movie either beating up men in uniform or the male terminator.

I really hope this is the last Terminator they make as for me I'm done with the franchise as any other movies will basically be a money grab by the studios.

It's certainly not in the League of the first two Terminator movies but better then the 3 that followed it.",O,6,34,40
2019-10-23,tayangangambar,3,Didn't feel right,"This sequel had so much promise from the trailers and James Cameron's endorsement. However, it did not feel right from the beginning. The main actors did not seem invested in their characters and the emotional cues seem misplaced at times i.e. the actors seemed lost and they looked like they were trying hard to act/stay in character.

Mixed with lame/poorly timed/cheesy humor and extreme character transition (e.g lost and meek to resourceful and confident out of nowhere), it made the movie seem like a B-grade made for TV or direct-to-dvd/bluray/streaming release. The plot twists try to be smart, shocking and funny, but they felt cheap and ridiculous as though the movie was a parody.

Also, I can conclude that the trailers revealed too much which made the good parts not surprising. There is a lack of sense of fear/horror/suspense/techy to this sci-fi flick, unlike previous Terminator movies including the 'disowned' sequels. The soundtrack was also disappointing as the trailers gave an epic mispresentation. I gave 3 stars as the CGI and action sequences were pretty alright although not a game changer. Watch it only if you are a fan of the Terminator movies and don't want to be left out.",X,146,118,264
2019-10-23,Dal_Cyrus,7,Ignore the incels,"Some people just can't handle a film having more than 1 woman in the main roles.....

It's not a patch on Terminator 2 but let's be honest, not many films are. But it's certainly better than 3, Salvation and Genysis and I hope the proposed trilogy gets finished.",X,35,82,117
2019-10-23,jeddjong,7,A Sarah Connor Chronicle,"The Terminator franchise is a defining one in the genres of sci-fi, action and horror. While the imagery and the catchphrases have become ingrained in popular culture, the film series has struggled to recapture the glory of the first two entries. The underrated spinoff television series was sadly short-lived. James Cameron, who directed the first two films and helmed the theme park attraction but has had no direct involvement in the series since then, returns as a producer for this sixth film.

Terminator: Dark Fate learns from the failure of the previous entries. The most recent Terminator film before this, Terminator: Genisys, was a jumbled mess of multiple timelines and attempted to remix beloved elements of the series, alienating fans in the process. Dark Fate benefits from more of a back-to-basics approach, presenting a straightforward story without relying too much on exposition. It functions as a direct sequel to Judgement Day, with all the other films taking place in alternate timelines. This is not dissimilar to 2018's Halloween, which was a direct sequel to the 1978 movie and ignored the many sequels that were made in the intervening years.

The film's biggest asset is Linda Hamilton, who has not appeared in any of the films since Judgement Day. This is much more than the glorified cameo which we could've gotten, with the Sarah Connor character front and centre. Hamilton took some convincing to come back on board, and the film really wouldn't have worked if she had said no. Hamilton easily conveys the no-nonsense toughness fans of the series know and love, but also delivers a genuinely good performance beyond that. The R-rating means that she gets to swear a whole lot, and she's amazing at it. There are several moments when just a look from Hamilton tells us so much. This is a character who has been through the wringer and would like the world to think she can just shrug it off, but there is a lot of sadness and pain that she's internalised - when those shards are visible, that's when Hamilton's immense contribution to the movie really registers.

Arnold Schwarzenegger appears in more of a supporting capacity, but completely steals the show when he's onscreen. The film wisely makes use of Schwarzenegger's comedic talents while also preserving the formidable physical power associated with the T-800 character.

One scene in the film showcases the most convincing digital de-aging/face replacement effects I've ever seen.

The film clearly aspires to the heights of Judgement Day, so it is noticeable when it falls short of those heights. There are moments when the film is almost emotional, and while there are some moving beats, there is nothing nearly as sublime as ""I know now why you cry, but it's something that I could never do."" While the stronger connection to the first two films anchors Dark Fate in the tone and mythos of the earlier movies, it also prevents the movie from being too innovative on its own terms. Also, much of the events in Judgement Day seem to have been rendered moot - not quite to the level of ""Ripley finds Newt and Hicks dead at the beginning of Alien 3,"" but it does approach that.

While some action sequences are brilliantly executed, others feel just a touch too synthetic. The visual effects are leaps and bounds over the somewhat unpolished work seen in Genisys, but there are still moments when one thing made of CGI is being thrown into another thing also made of CGI. Out of necessity, the earlier films made ingenious use of practical animatronic effects and miniature models. Director Tim Miller of Deadpool fame is a co-founder of Blur Studio, best known for making animated cutscenes and cinematics for video games. The action sequences in Dark Fate can sometimes come off as a little too video game-esque, but Miller does often demonstrate a keen awareness of how to place elements in space to create action sequences.

The Dani character is sympathetic and Natalia Reyes gives the role her all, but she can sometimes come off as a little whiny and is not written that well.

Another way that the film echoes Judgement Day is in its villain, the shape-shifting Rev-9. Like Robert Patrick, Gabriel Luna is less conspicuous in a crowd than Arnold Schwarzenegger, meaning the Rev-9 is more convincing as an infiltration unit. It also has a neat gimmick of being able to separate itself into liquid metal outer shell and endoskeleton, allowing it to perform tag-team attacks. Rev-9 is perhaps a touch too indestructible, such that the action sequences become a little repetitive.

Mackenzie Davis' Grace is a great addition to the canon. This reviewer enjoys seeing actors whom one wouldn't typically associate with action movies take on action-heavy roles. Davis underwent a complete physical transformation to play the muscular, angular Grace. There is a tragedy to the character, who has sacrificed her physical autonomy for the cause, so she is always sympathetic.

Terminator: Dark Fate is in a way commenting on the history of the series. There is so much that's memorable about the first two Terminator films that it's hard to resist the temptation to make constant references to them. Yes, Sarah Connor does say ""I'll be back"", but Dark Fate demonstrates restraint and refuses to lean on the series' storied past as a crutch.

Terminator: Dark Fate is not a film that strictly needs to exist, but by building a strong connection to the second film and by getting Linda Hamilton back in a starring role, it satisfyingly echoes the franchise at its best.",X,52,56,108
2019-10-23,bowmanblue,7,"Same old story, but is that so bad?","I think it's fair to say that most people (in the sci-fi/action/horror community) loved the original 'Terminator' in 1984. However, no one was prepared to witness a sequel in 1991 that was actually EVEN BETTER than the original in 'T2 Judgement Day.' With a pedigree like that, the studio must have thought they had a franchise designed to print money. And it did. Sort of. Yet, with all its sequels, it never quite made the dizzy heights of the first two installments.

With 'Terminator: Dark Fate' we now join the story directly after 'T2' (meaning 'Rise of the Machines, Salvation and Genysis' are all now 'redundant' - or possibly now confined to different timelines. Whatever. Anyway, the ass-kicking heroine of T2 is back, Sarah Connor. Yes, she's a lot older now, but then so is Arnold Schwarzenegger and they're both aging as well as they can. However, a few wrinkles doesn't affect their performances and the true reason any Terminator fan wants to see this film is simply to see the pair back on screen together one last time.

And it's worth the wait. Arnie doesn't come into the film until about half way through. I would say that this is a negative, but at least the first half had Linda Hamilton to hold its credibility up. Then, when the two of them get together, we're truly back in business.

Those who watched Terminator 1/2 will know that the pair (and Sarah's son John Connor) saved the future of mankind from a face of cyborg killers from the future. And everyone lives happily ever after. Only they didn't. For two reasons. Firstly (and I hope this isn't too much of a spoiler) our beloved 12 year old John Connor (through the magic of de-aging technology) is mercilessly gunned down and murdered. No matter, as the future has already been changed. Only it hasn't. Or at least not that much.

Later, a new artificial intelligent threat known as 'Legion' starts picking up where Skynet left off and sends more Terminators back through time in order to pick off prominent humans. Luckily for our aware future leaders, the future resistance also sends back a protector for the unlucky target. So, 'Dark Fate' really is just a rehash of practically every Terminator film that's gone before it (minus 'Salvation'). In fact, you could probably liken every scene in any previous Terminator film to any one in 'Dark Fate.' I know that some people would call this 'homage' while others would say it's purely ripping off a superior film. Then, of course, the conspiracy theorists will say that the numerous homages to films past is purely to instill a sense of nostalgia in us so that we don't think of 'Dark Fate' too harshly.

I enjoyed it. Or rather I enjoyed Linda Hamilton and Arnie back together. Mackenzie Davis is the augmented human sent to protect the young girl destined to save the world and, from what I'd seen of her in the promotional material, I thought I wouldn't like her. However, I was proved wrong. She wasn't half as much of a 'Mary Sue' as I thought she'd be. Also, the new bad Terminator (or 'Rev 9) I think they called him) was okay. He did look a bit like a man who worked in an Apple store for most of the film, but he was just about threatening enough. I'd rank him behind Arnie, Robert Patrick, the female one from 'Rise of the Machines' and the other T-1000 from Genysis.

I was enjoying most of it, but the only real 'downside' it had was Natalia Reyes. She just didn't do it for me as the future leader of mankind (or should it be 'womankind?'). She's supposed to be the new John Connor, i.e. the person who will lead the human race to ultimately fight the machines of the future, yet the actress looked like she belonged in some sort of teen drama. When she had to hold a gun it practically drawfed her and the lines she was given to say didn't help as they came across as way too corny and forced.

Plus the special effects didn't see that special in places. When the bad Terminator has to move quickly he jumps are way too fluid to bee believable. Plus there are some major action set pieces like where a big fight takes place in a giant milatery plane that's crashing down. Personally, I couldn't tell what was going on in that scene, nor the one that followed straight after where the battle takes place underwater.

Overall, if you're a long term fan of the franchise they you'll get your money's worth simply from having Arnie and Linda back on screen together. However, it's only really the old characters you'll really care about. I'd have preferred they kept John Connor alive and he went on the adventure with them. Really, 'Dark Fate' is just a reboot of T2. Yeah, there's plenty of 'fan service' for us to enjoy, but ultimately the plot of a 'Terminator' movie hasn't really progressed since 1984 (minus the blip of the under performing 'Salvation.'

A solid 7/10 when the 'old guard' are on screen. It does dip a bit when Grace and Dani yawn their way through their scenes.",X,14,26,40
2019-10-23,henry8-3,7,Terminator: Dark Fate,"A terminator appears and tries to kill Natalia Reyes. Mackenzie Davis appears as well to protect her - why is unclear. Linda Hamilton and Arnie link in and help out.

Whilst this is not as good as the legendary first 2, it easily exceeds the last 3 in quality, general excitement and a true feeling that it links in with the tone of the first 2. Worth seeing for the really exciting and spectacular last hour.

Pleasing that they can still make these well.",X,5,35,40
2019-10-23,daemonxhun,1,"Really, the best since T2? Give me a break...","It's more like the worst of the Terminator franchise. Dark Fate is the pinnacle of cultural barbarism when it comes to movies, while it's also a strong insult to your intelligence and to the legacy of the series itself. It's badly paced, illogically structured, and poorly acted, with a weakly written story and forgettable characters.

The movie doesn't have any artistic merit and it lacks any form of originality in terms of screenplay, characters traits, or visuals. It's also completely devoid of any emotional depth, tension and atmosphere, and it solely relies on mostly forced fan-service at the expanse of organic storytelling.

With the lack of a substantial plot and character growth, it rather feels like a collection of random scenes instead of an actual feature film, even though it tries to legitimize and justify itself as one using cheap and ineffective scriptwriting methods.

It's also worth mentioning that Dark Fate heavily pushes harmful modern feminist propaganda and it totally ignores and discrespects the spirituality and mentality in which the first two movies were made, even though it tries to act as a follow-up to them.

This movie - if I can even call it that - is an abomination and a crime against good taste and cinema as a whole. It's easily the worst of the series along with Genysis and it isn't worthy of the Terminator name.

My personal order of the movies:",X,363,258,621
2019-10-23,jonathanwebb-12-335619,1,Hollow cash grab,"This film was garbage. I walked out. Hollow plot, hollow dialogue, therefore hollow acting. One of the worst films ive seen. Utter garbage.",X,105,102,207
2019-10-23,ade_bebz,7,Good but rough in places,"I'm a huge terminator fan lost count how many times I've watched them all... Especially the 1st and 2nd. This one is a mixed bag though :-/ Starts off great with some amazing scenes but I feel the story isn't that polished as hoped for. Arnold as always great as the terminator though wish he was used more, Davis unsure as at times thought characters dialogue was annoying at times and was on par with jai Courtney genisys which did my head in! Effects though were great and the action when happens is great. Wish there was more of Ed though. Hope the franchise doesn't get panned off though as it's still my favourite.",X,18,40,58
2019-10-23,jalop_truelove,7,Great but no innovation,"T2 is great film because of the fresh thing they made.

This film is enjoyable but with no innovation like T2, it was Okay though.

Still better story than salvation and genisys",X,10,37,47
2019-10-23,amesmonde,,The CGI-nator. Too much CGI but refreshingly female driven,"In Mexico City a young woman named Dani Ramos becomes the latest target of a cyborg assassin, Rev 9, from the future sent by 'Legion'.

Director Tim Miller (Deadpool) offers a standup Terminator outing correcting Genisys working as a sequel to Terminator 2. However, opening with Endoskeleton Terminators which are wiped out because of the events in T2, a young John and (excellently CGI rendered young) Sarah Connor - it then takes a sudden story turn to present day. Miller flashes forward at times to a possible or inevitable future (never clarified in Dark Fate if it can be prevented as in T2). These snippets introduce a Salvation like future with bizzare fast moving tentacle Terminators and the creation of an technologically augmented super soldier.

It has better casting than Terminator 3 (namely poorly cast Danes and Stahl). But don't get too excited though as it barely has the grit or grounded practical feel of The Terminator nor the substance and style of the second. Frankly there's too much CGI which takes centre stage ripping you out of the action. That said, as a CGI driven modern action film younger viewers may find it more appealing, but this is where the likes of Halloween (2018) and also Mexican themed Rambo: Last Blood have a slight edge over Miller's loud big outing as the aforementioned focus is on the characters not just the effects.

Emotionally the film belongs to it's cybernetically enhanced soldier Grace brilliantly played by Mackenzie Davis and Linda Hamilton, who returns as Sarah Connor. Both actors have great chemistry. Hamilton is great here, Miller keeps it refreshingly female orientated.

Gabriel Luna's advanced Terminator model whose skin and skeleton can function as two separate bodies is interesting but his incognito infiltration element, to blend into any surrounding is wasted as he blatantly goes on wacky outlandish killing sprees in plain sight.

Schwarzenegger lights up the screen as Terminator but it leaves very little impact, it's a pitty he didn't show up in the flesh in Salvation. His 101 model has some good lines and generous amount of screen time. Many elements are rehashed from T2, others echoing the underrated Salvation, Dani Ramos (played by Natalia Reyes) is the new the Sarah Connor but with a welcomed little twist on the story.

Miller and writers thankfully keep it coherent compared to the last outing, but they never really explore the time travel whys and what. Also Kyle or Ginger never get a mention from Sarah's lips, given her subtler scenes with both leads it felt like a missed opportunity.

Overall, with less CGI it could have been great, never the less it's an enjoyable Terminator film, maybe coming from an analog age it's just not my Terminator film.",X,23,48,71
2019-10-23,sajid-hussains786,10,Best Terminator Film Since T2...!!! Enjoyable To Watch,"Let's be honest it's never going to match T2 but it's a lot better and than Rise Of The Machines, Salvation, And Genisys. Certainly enjoyable and Welcome Back Sarah Conor. We missed you....!!! Mackenzie Davis was also amazing in the film.",X,34,89,123
2019-10-23,barry-83557,3,Just average,It was an ok movie the action was good T2 will always be the best out of all the terminator films I was a bit disappointed that I didn't see arny alot the bit that annoyed me was it was basically John Connors story but with a girl this time,X,72,67,139
2019-10-23,jackmullin-80890,8,"Good film lots of action, cool sfx and nice CGI","Enjoyed this film great to see Linda Hamilton back, it's action packaged, good story line, awesome SFX and sleek CGI. Would recommend if you like action movies and sci-fi if not then this may not be a film for you.",X,14,41,55
2019-10-23,sneakstap,10,Amazing,"A worthy ending, and so much more! Loved 99 percent of it. I encourage everyone to go watch it!",X,26,83,109
2019-10-23,paul_obe,1,Same happy meal new toy ......,"Hollywood and China .... if you think this movie was made for America your dead set wrong , This is Hollywood cashing in on a franchise name ( saves promoting the film with extra $$$$) and China with 5x as many people after they ate up the last movie Genesis ..... or what ever that was supposed to be ...

In short it's a simple horror story ( 1984 original ) that was made bigger and better with more money in 1992 T:2 , as Cameron was under strict budget confines from the first film .

Now it's barrel scrape stage with people older than my grandparents , the film looks sounds and feels like a fan film until you ( Memberberrie) Arnold and Linda ... I admit it's great to see Linda again but 20 years too late .... the women propaganda that gets shoved down your throat is just a slap in the face .. ( we get it women can play sport too .....)

Overall don't expect much from this movie and if anything go back to when movies had class and watch the first 2 ....

Cameron as a producer had no creative input ..he just threw money at this ... he didint care he's all over the next 5 Avatar films ...",X,209,171,380
2019-10-23,kevinhynes99,5,Same old story,I had so wanted this to be the movie everyone wanted since T-2 but all we get is a rehash of every movie that has followed except this time it carries a feminist undertone . I guess it's the only way Linda Hamilton would come back. She should have stayed where she was. There is not one new thing here that hasn't been told allready .. The reason it gets a 5 star is it moves along at a nice pace and has decent action sequences. So disappointed,X,27,25,52
2019-10-23,juanlatove-57721,10,What's the problem you got with female heroes? This film is Justice for the franchise,"Just watched the movie and it is great! Don't listen to the bad reviews, as long as the movie entertains you, and gets your hype up, it's doing a good job. I loved Natalia Reyes's performance and that scene in the beginning was just WOW. This is a gift for terminator fans which wanted justice for the franchise.",X,56,117,173
2019-10-23,stevenwilson-59031,8,Good but not great,"Great set pieces, decent cgi although a couple of the shots of the new terminator jumping etc were a little ropey, under use of Arnold is my main criticism, just wasn't in it enough . Much more could have been made if his ageing terminator skill set against the new model. Sarah Connor character was good , played well by Linda just hoped for a little more plot wise but was pleasantly entertained.",X,9,33,42
2019-10-23,PalmersGreek,2,Let's change the future...,"Unfortunately in doing so, they changed the past. I won't go into any detail over the rehashed old plot, poor characterisation and humour that just falls flat. All I will tell you is that the great big baddie has been sent back in time to kill someone because they are a strong motivational speaker.",O,101,90,191
2019-10-23,harrymj-123-869642,7,"Interesting story, but a couple of problems...","Without going into spoilers, overall I enjoyed this update to the Terminator universe. Was good to see Linda Hamilton and Arnold Schwarzenegger back together, and the new Terminator was suitably powerful to pose a decent threat - but nothing compared to the T2 villain.

There were a couple of funny scenes, mostly with and around Arnie.

The problems I had with this movie:

A lot of it was shot at night, but also in the dark, making entire scenes very difficult to see.

The protagonist was really just carried along IMO, in fact I'll already forgotten her name or anything she contributed to the story.",X,22,34,56
2019-10-23,sc-700-363458,8,"Lot of fun, great roller coaster","As a great fan of the first two film, I have always felt the following films have been missing something (although the TV series was very enjoyable). Fortunately, it's back this film. For those that get confused with multiple time lines and the like, matters are much more straightforward in this film. Along with some nice touches relating to the first two films. The action and the acting is on point, and the special effects seamless. Every film needs a bad unstoppable terminator, and this is where this film excels. Avoid the spoilers as this is without a doubt the best part of the film. Sit back and enjoy, not a film to tax the intellect, but still one of the better films of the year by far.",X,14,41,55
2019-10-23,robstephenson-68107,2,Totally lacking in any originality,A re-tread of the good bits from the first two. Don't bother.,X,188,155,343
2019-10-23,jinx20001,7,solid movie if you unplug a little. (spoilers),"So yeh... its not better than the first 2 but the issue isnt that it wasnt exciting to watch. for me it was entertaining to watch, had some moments of warmth and humour, action was big and the fight was compelling and thats what i think a lot of us really want from a terminator movie, the enemy has to be feared, it has to be frighteningly powerful and appear unstoppable and they get that right here with the REV 9, its a dangerous machine our ''hero'' characters must run from.

anyway, the issue is it still lacked some of the horror we were hoping for, especially as it attempted to take a darker route it simply isnt dark enough, it is absolutely still aimed at the slightly younger than adult audience, it only really earns its R (15) rating from a bit of bad language and a little blood, nothing comes close to the brutality of arnold ripping out a heart at the start of T1 or even the punching through the chest scene in T3. as a fan of the franchise this was an issue for me because there has to be an element of brutality to the ''evil'' terminator. gabriel luna did a great job, i think he played it spot on but given a bit more freedom to really do some visual damage would have gone a long way.

my other couple of issues are - the CGI is a little weak at times, and absolutely fantastic at other times, (spoiler - already spoiled) theres a scene at the start of the movie of john conner as a child and sarah conner in her younger years and well sarah looks pretty spot on but john is wayyy off, its not close at all, also arnold is here blasting him away and well, he looks like an actual artificial robot, he wouldnt pass as human very long looking like that for sure. At other times in the movie the CGI is just mind blowing, theres a scene near the end of the movie when arnold is pretty shredded up, metal all exposed and the lighting and reflection off the metal work is the best in the series by far, its really unbalanced like that and kind of offputting.

one last complaint, its a bit of a biggy (and a spoiler again), the REV 9 gets its hands around the neck our new savious of mankind and well.... this is a huge no no, never put the enemy terminator and most fragile hero character in contact like that unless the hero is going to die, she survives and that just should not happen, i said this to the wife when leaving the movie and she said ''well the rev 9 was pretty banged up and clearly weaker at that point''.... this is a fair statement but we are talking about a machine here with hydraulic pressure in its mechanisms enough to crush human bones in one squeeze, it just does not sit right with me she can survive that encounter and simply makes the rev 9 less believable as an unstoppable killing machine.

despite all the negatives i really quite enjoyed it, i think the performances were solid, the action was relentless if a little CG heavy and i didnt feel too let down, part of the issue i feel is we are moving into 2020 and CGI is getting so good its the natural thing to use these days but we are also too smart as humans and can pretty easily spot it and that breaks immersion.

i think some of the hardcore terminator fans are going to curse on this film because it breaks away from the traditional lore of the franchise but it worked out ok i feel, unplug from your feelings towards the first 2 movies and its a fun flick, but they could have made it a lot stronger and hard hitting with that R.",O,2,14,16
2019-10-23,charliebundrick,1,SAVE YOUR MONEY,This is on par with Genysys. This has never been a sequel to T2 I refuse to accept it.,X,170,142,312
