id,brand,performance,fuel_efficiency,design,recommend
725,Feb,6,8,4,9
726,Jun,9,4,8,8
727,Jan,8,4,5,7
728,Jul,5,6,5,8
729,Jun,9,4,6,8
730,Jun,10,5,1,8
731,Apr,9,8,4,10
732,Mar,4,9,6,9
733,Mar,5,9,7,9
734,Jun,7,5,3,7
735,Mar,4,6,8,8
736,Jul,6,1,6,6
737,Mar,6,3,5,6
738,May,2,8,4,7
739,Aug,2,9,8,9
740,Aug,7,3,6,7
741,Aug,8,9,9,10
742,Feb,6,7,9,9
743,Apr,10,9,7,10
744,Apr,10,8,4,10
745,Sep,6,10,6,8
746,Jul,3,7,8,7
747,Jun,8,5,4,8
748,Apr,10,6,2,8
749,Apr,5,9,5,9
750,Jan,9,4,2,7
751,Apr,7,6,5,8
752,May,5,4,10,8
753,Oct,6,7,3,8
754,Apr,9,6,3,8
755,Sep,4,4,6,6
756,Oct,2,9,2,8
757,Apr,9,6,7,9
758,Jul,6,6,5,8
759,Feb,2,3,5,5
760,Feb,0,2,6,4
761,Apr,7,8,3,9
762,Jul,0,7,8,7
763,Jan,7,9,7,10
764,Jul,6,2,4,6
765,Sep,9,7,6,9
766,May,3,3,7,6
767,Apr,5,6,6,8
768,Mar,8,8,8,10
769,Jan,9,6,8,9
770,Feb,2,8,5,8
771,Aug,5,6,10,9
772,Jul,4,6,7,8
773,Sep,6,8,7,9
774,Apr,5,8,7,9
775,Aug,2,9,7,9
776,Feb,3,3,3,5
777,Oct,5,3,8,7
778,Jul,4,2,7,6
779,Sep,7,9,2,9
780,Sep,8,6,10,9
781,May,2,4,5,6
782,Jan,8,3,4,7
783,Jan,8,4,7,8
784,May,7,3,10,8
785,Oct,8,9,2,9
786,Jan,7,3,2,6
787,May,3,7,7,8
788,Jun,7,4,1,6
789,May,4,5,7,7
790,Feb,4,7,6,8
791,Jan,9,9,8,10
792,Feb,4,2,6,5
793,May,3,3,9,6
794,Oct,7,3,7,7
795,Jun,4,5,8,7
796,Jun,5,3,7,6
797,Apr,6,6,6,8
798,Feb,1,8,6,8
799,Jul,1,6,5,6
800,Oct,4,7,2,7
801,Apr,7,8,9,8
802,Sep,8,10,8,10
803,Jun,5,4,8,7
804,Mar,3,6,3,7
805,May,3,7,8,8
806,Sep,9,6,5,9
807,Apr,6,5,8,8
808,Mar,4,3,4,6
809,Oct,8,9,4,10
810,Apr,9,6,8,9
811,Oct,6,7,3,8
812,Jan,4,7,2,7
813,Jun,8,8,2,9
814,Aug,8,8,9,10
815,Feb,2,6,9,7
816,Sep,9,9,10,10
817,May,8,6,6,9
818,Jan,4,4,7,7
819,Feb,5,7,3,8
820,Jan,4,5,7,7
821,May,6,6,10,9
822,Jan,9,4,5,8
823,Feb,3,8,8,9
824,May,8,7,5,9
825,Jan,4,7,5,8
826,Feb,6,8,9,10
827,Sep,8,9,10,10
828,Oct,2,9,9,8
829,Aug,2,4,9,6
830,Oct,6,5,8,8
831,Apr,5,6,2,7
832,May,7,9,4,9
833,Sep,8,6,7,9
834,Jul,2,1,3,3
835,Aug,6,9,8,10
836,Feb,7,7,8,7
837,Feb,1,8,6,8
838,Sep,5,8,7,9
839,Aug,3,6,8,8
840,Oct,6,7,2,8
841,Aug,8,4,10,8
842,May,2,3,10,6
843,Jun,3,4,7,6
844,May,8,9,10,10
845,Feb,7,8,6,9
846,Apr,8,4,5,7
847,Apr,7,4,6,7
848,Mar,7,8,6,9
849,Apr,8,10,9,10
850,Apr,8,8,2,9
851,Feb,3,8,4,8
852,Oct,3,7,6,8
853,Jan,6,9,8,8
854,May,3,7,8,8
855,Feb,7,4,8,7
856,Jul,3,5,7,6
857,Jun,4,7,6,8
858,Oct,2,4,2,5
859,Mar,9,7,6,9
860,Jan,7,4,2,7
861,Feb,4,7,5,8
862,Apr,7,8,3,9
863,Oct,4,8,3,8
864,Aug,7,9,6,10
865,Feb,4,3,3,5
866,Sep,7,7,9,9
867,Mar,5,4,3,6
868,Jul,4,3,6,6
869,May,6,6,4,8
870,Jan,10,6,7,9
871,Mar,6,3,6,7
872,Aug,4,7,3,7
873,Aug,1,6,10,7
874,Mar,3,5,8,7
875,May,8,7,9,10
876,Jul,1,1,4,4
877,Feb,5,8,5,9
878,Aug,6,4,8,7
879,Apr,10,8,7,10
880,Apr,5,10,4,9
881,Sep,9,4,6,8
882,May,2,8,6,8
883,May,7,3,3,6
884,Jun,10,8,1,9
885,Sep,7,8,6,9
886,May,6,8,7,9
887,Feb,3,4,3,6
888,Mar,5,7,6,8
889,Sep,4,10,4,9
890,Aug,4,3,10,7
891,Oct,5,6,4,7
892,May,3,5,9,7
893,Jul,1,1,8,2
894,Mar,9,8,3,9
895,Aug,2,3,7,6
896,Jun,6,7,4,8
897,Aug,1,9,7,8
898,Jan,6,4,5,7
899,May,6,6,3,7
900,Mar,8,8,3,9
901,Aug,6,6,6,8
902,Oct,4,5,5,7
903,Jan,5,3,7,6
904,May,3,9,10,9
905,May,2,7,5,7
906,Jan,7,8,3,9
907,Mar,3,6,7,7
908,Feb,4,3,8,6
909,Apr,8,10,7,9
910,Jun,4,4,5,5
911,Jan,10,3,4,7
912,Oct,2,9,2,8
913,Apr,7,6,6,8
914,Jul,4,2,5,5
915,Apr,7,6,8,9
916,Aug,1,5,4,6
917,Jul,5,4,5,7
918,Aug,5,5,3,7
919,Mar,3,8,6,8
920,Jun,10,3,4,7
921,Mar,4,6,6,7
922,Jan,8,9,4,10
923,Jul,2,6,2,6
924,Apr,10,6,9,10
925,Jun,3,7,8,8
926,Jul,5,2,2,5
927,Jun,10,2,1,5
928,Feb,2,6,7,7
929,Mar,10,3,5,8
930,Aug,5,6,8,8
931,Apr,8,10,8,9
932,Apr,6,5,9,8
933,Sep,5,8,5,9
934,Mar,3,4,5,6
935,Jun,9,3,4,7
936,Apr,5,8,8,9
937,Sep,4,7,7,8
938,Feb,4,3,3,5
939,Jul,3,1,4,2
940,Oct,4,5,4,7
941,Apr,10,9,6,9
942,Mar,7,4,8,8
943,Feb,4,4,8,7
944,Feb,3,2,5,5
945,Oct,4,7,7,8
946,Feb,2,7,7,8
947,Jun,6,2,1,4
948,Jan,7,7,3,8
949,Jan,10,6,2,8
950,Oct,7,8,8,10
951,Aug,4,5,10,8
952,Jun,8,3,8,8
953,Jul,0,3,4,0
954,Oct,6,5,7,8
955,Apr,7,4,7,8
956,Aug,1,3,4,5
957,Apr,6,5,2,7
958,Aug,5,5,5,7
959,Apr,5,10,9,10
960,Apr,8,8,5,9
961,Sep,5,9,5,9
962,Mar,10,4,5,8
963,Aug,4,6,6,7
964,Oct,5,4,6,7
965,Mar,10,8,5,10
966,Aug,1,6,10,7
967,Sep,6,4,2,6
968,Jan,6,8,8,9
969,Apr,8,6,7,9
970,Feb,3,8,8,9
971,May,8,4,7,8
972,Mar,7,4,4,7
973,Oct,6,8,3,8
974,Feb,5,3,8,6
975,Aug,1,4,7,6
976,Apr,5,7,2,7
977,Jul,6,4,5,7
978,Aug,6,5,3,7
979,Jul,0,5,9,6
980,Sep,8,4,6,7
981,Jun,10,3,7,8
982,Jul,1,6,5,6
983,Jun,10,7,3,8
984,Jun,7,4,2,7
985,Jun,9,8,4,10
986,Jan,4,9,2,8
987,Mar,7,3,7,7
988,May,6,5,8,8
989,May,2,6,7,7
990,Jan,8,8,7,10
991,Jun,6,3,5,6
992,Jul,6,5,3,7
993,Jul,6,4,7,7
994,Jan,9,7,8,10
995,Mar,9,6,5,8
996,Jun,8,4,5,7
997,Oct,3,3,6,6
998,Jan,8,5,5,8
999,Mar,4,3,8,6
1000,Jul,2,7,4,7
