pid,hid,housenum,p20ans,p21ans,p21area,p21area_siz,p21hhldsiz,p21gender,p21age1,p21school,p21mar,p21income1,p21job1,p21job2,p21relig1,ott_yes,ott_freq,ott_score,sns_yes,sns_freq_1,sns_freq_2,sns_freq_3,sns_freq_4,sns_score_1,sns_score_1,sns_score_1,sns_score_1,sns_score_all,p21d25040,p21d25041,p21d25042,p21d25043,p21d25044,p21d25045,p21d25046,p21d25047,p21d25048,p21d25049,p21d25050,p21d25051,p21d25052,p21d25053,p21d25054,p21d25055,p21d25056,p21d25057,p21d25058,p21d25059,p21d25060,pc_ability,p21d25061,p21d25062,p21d25063,p21d25064,p21d25065,p21d25066,p21d25067,p21d25068,p21d25070,p21d25071,p21d25072,p21d25073,p21d25074,p21d25075,p21d25076,p21d25077,p21d25078,p21d25079,p21d25080,p21d25081,p21d25082,p21d25083,p21d25084,p21d25085,p21d25086,smart_ability,p21h01001,p21h01002,p21h01003,p21h01004,p21h01005,p21h01006,p21h01007,p21h01008,p21h01009,p21h01010,esteem,satis_1,satis_2,satis_3,satis
50002,500,2,1,1,8,1,3,2,44,5,2,1,2, ,2,2, ,0,2, , , , ,0,0,0,0,0,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4.857142857,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4.88,4,3,1,2,2,3,3,2,1,1,33,5,5,5,5
50003,500,3,1,1,8,1,3,2,15,3,1,1,2, ,2,1,5,5,2, , , , ,0,0,0,0,0,4,4,3,3,4,4,3,4,1,1,3,3,4,4,4,4,3,4,4,3,3,3.333333333,5,5,5,5,5,5,4,4,5,4,1,1,3,3,5,5,5,5,5,5,4,4,3,3,3,4.08,3,2,1,3,1,4,3,2,1,1,34,6,6,6,6
50004,500,4,1,1,8,1,3,2,14,3,1,1,2, ,2,1,5,5,2, , , , ,0,0,0,0,0,4,4,4,4,4,4,4,3,1,1,2,3,4,4,4,4,3,3,5,3,2,3.333333333,5,5,5,5,5,5,5,5,5,4,1,1,3,3,4,4,4,4,5,5,4,4,3,3,3,4,4,4,1,4,1,4,4,4,1,1,37,7,7,7,7
60001,600,1,1,1,8,1,3,1,52,5,2,11,1,1,2,1,1,9,1,1,9,9,4,9,1,1,6,4.25,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4.88,3,2,2,2,2,2,2,2,1,2,27,6,5,4,5
60002,600,2,1,1,8,1,3,2,48,4,2,7,1,1,2,1,6,4,2, , , , ,0,0,0,0,0,4,5,5,4,4,5,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2.238095238,5,5,5,5,2,5,5,3,4,2,5,4,1,1,4,1,1,1,1,1,4,2,1,2,1,2.84,4,3,1,4,2,3,3,2,1,1,35,6,5,5,5.333333333
60003,600,3,1,1,8,1,3,2,20,5,1,1,2, ,2,1,1,9,1,1,1,2,2,9,9,8,8,8.5,5,5,5,5,5,5,5,5,4,5,3,3,5,5,5,5,5,4,5,3,3,4.523809524,5,5,5,5,5,5,5,5,5,5,4,5,3,3,5,5,5,5,5,5,5,5,3,3,3,4.56,2,1,3,2,3,1,2,4,2,2,19,5,6,5,5.333333333
60004,600,4,1,1,8,1,3,2,15,3,1,1,2, ,2,1,1,9,1,1,9,3,1,9,1,7,9,6.5,3,5,4,2,5,5,5,5,5,5,3,3,5,5,5,5,5,4,5,1,1,4.095238095,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,1,2,2,4.44,2,1,2,3,3,2,2,2,2,1,25,4,7,7,6
80001,800,1,1,1,8,1,1,1,71,4,3,1,2, ,2,2, ,0,2, , , , ,0,0,0,0,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.142857143,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.08,3,3,2,2,2,3,3,2,2,2,29,6,6,6,6
100001,1000,1,1,1,8,1,3,1,42,5,2,8,1,1,1,1,1,9,1,1,8,8,8,9,2,2,2,3.75,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.904761905,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4.92,2,2,1,2,2,2,2,4,2,2,24,7,7,7,7
100002,1000,2,1,1,8,1,3,2,42,6,2,11,1,1,1,2, ,0,2, , , , ,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4.904761905,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4.92,3,3,1,4,2,4,4,3,2,2,33,7,7,7,7
130001,1300,1,1,1,1,1,2,1,74,3,2,1,2, ,2,1,5,5,2, , , , ,0,0,0,0,0,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.142857143,4,4,4,4,4,2,2,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2.04,3,3,2,3,3,2,3,2,3,3,26,3,3,2,2.666666667
130002,1300,2,1,1,1,1,2,2,71,3,2,4,1,1,2,1,3,7,2, , , , ,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1.095238095,4,4,4,4,4,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2.04,2,3,3,4,2,2,3,2,1,2,29,2,4,3,3
140001,1400,1,1,1,1,1,1,2,59,4,3,6,1,1,2,1,2,8,1,7,7,7,7,3,3,3,3,3,4,4,3,3,3,5,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,2.095238095,4,4,5,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2.52,3,2,2,3,4,3,3,2,2,2,27,5,6,5,5.333333333
160001,1600,1,1,1,1,1,2,1,70,3,2,4,1,3,1,1,2,8,2, , , , ,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1.095238095,4,4,4,4,3,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1.84,3,3,2,3,3,4,3,2,3,3,28,5,4,5,4.666666667
160002,1600,2,1,1,1,1,2,2,69,3,2,1,2, ,1,1,1,9,2, , , , ,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1.095238095,4,4,4,4,4,2,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1.92,3,2,3,3,3,2,3,3,4,3,22,5,4,4,4.333333333
180001,1800,1,1,1,1,1,1,2,54,4,4,5,1,1,1,1,1,9,2, , , , ,0,0,0,0,0,3,4,2,3,3,2,3,1,3,3,3,2,3,3,2,2,3,2,2,2,2,2.523809524,5,5,5,5,5,4,3,4,3,3,4,4,4,3,4,2,2,2,3,2,2,2,2,2,2,3.28,3,3,2,3,3,2,4,3,2,3,27,3,4,3,3.333333333
220001,2200,1,1,1,1,1,2,1,69,4,2,6,1,1,2,2, ,0,1,5,9,5,5,5,1,5,5,4,4,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1.571428571,4,4,4,4,4,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.96,3,3,2,2,2,3,3,2,2,2,29,5,4,4,4.333333333
220002,2200,2,1,1,1,1,2,2,67,4,2,2,2, ,2,1,1,9,1,4,6,7,4,6,4,3,6,4.75,3,3,2,3,3,4,3,2,2,3,3,3,4,3,2,2,1,1,1,1,1,2.380952381,5,5,5,5,5,5,4,3,5,3,5,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2.84,3,3,4,3,4,3,2,3,2,2,24,6,5,6,5.666666667
230001,2300,1,1,1,1,1,3,1,60,5,2,11,1,3,2,1,5,5,2, , , , ,0,0,0,0,0,4,4,4,4,4,5,3,3,4,5,3,3,4,4,4,4,4,3,4,3,3,3.761904762,4,4,4,4,4,4,4,4,5,4,4,5,3,3,4,4,4,3,3,4,3,3,3,3,3,3.72,3,4,1,3,2,3,4,3,1,1,34,6,5,6,5.666666667
230002,2300,2,1,1,1,1,3,2,66,4,2,1,2, ,2,1,6,4,2, , , , ,0,0,0,0,0,3,3,3,3,3,4,3,2,4,4,3,3,4,4,3,3,4,2,3,2,2,3.095238095,3,3,3,3,3,3,3,4,3,3,4,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3.2,4,4,1,3,1,3,3,4,1,1,34,6,7,6,6.333333333
230003,2300,3,1,1,1,1,3,2,31,5,1,6,1,1,2,1,5,5,1,7,7,7,7,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,3,4,4,3.80952381,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,3,4,3,3,3,3.72,4,4,1,3,1,4,4,3,1,1,37,6,7,6,6.333333333
260001,2600,1,1,1,1,1,3,1,60,5,2,12,1,1,2,1,5,5,2, , , , ,0,0,0,0,0,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3.476190476,5,5,5,5,5,4,4,5,4,4,4,4,4,4,3,3,3,3,3,3,2,3,2,2,2,3.64,3,4,3,3,3,2,2,3,2,2,26,6,5,5,5.333333333
260002,2600,2,1,1,1,1,3,2,58,4,2,2,2, ,2,1,5,5,1,4,6,7,7,6,4,3,3,4,4,4,4,3,3,3,3,3,4,4,4,2,4,4,4,4,4,3,3,3,3,3.476190476,5,5,5,5,5,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4.12,3,3,2,2,3,4,3,2,3,3,27,6,5,5,5.333333333
260003,2600,3,1,1,1,1,3,2,29,5,1,7,1,1,2,1,5,5,1,4,4,4,4,6,6,6,6,6,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4.904761905,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4.92,3,3,2,3,3,3,2,3,3,3,25,6,5,5,5.333333333
260004,2600,4,1,1,1,1,3,1,27,5,1,8,1,1,2,1,5,5,1,4,4,4,4,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.285714286,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4.92,3,4,3,4,3,3,3,3,3,3,27,6,6,5,5.666666667
270001,2700,1,1,1,1,1,2,1,67,4,2,4,1,1,2,1,2,8,2, , , , ,0,0,0,0,0,2,1,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1.285714286,4,4,4,4,4,4,3,3,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.12,2,2,1,3,1,3,2,2,1,1,31,5,5,5,5
270002,2700,2,1,1,1,1,2,2,55,4,2,7,1,1,2,1,4,6,1,3,5,9,3,7,5,1,7,5,2,2,1,2,1,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1.333333333,4,4,4,4,4,4,4,4,5,4,4,3,2,1,2,1,1,1,1,1,1,1,1,1,1,2.52,3,3,1,3,2,3,3,4,1,1,31,6,5,6,5.666666667
290001,2900,1,1,1,8,1,3,2,66,4,2,1,2, ,1,2, ,0,2, , , , ,0,0,0,0,0,2,2,2,2,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1.428571429,3,3,3,3,3,3,3,2,2,2,3,3,2,2,3,2,2,2,3,2,2,2,2,2,2,2.44,2,2,1,1,2,2,2,3,2,2,24,4,3,3,3.333333333
290002,2900,2,1,1,8,1,3,1,59,4,2,7,1,1,2,2, ,0,2, , , , ,0,0,0,0,0,2,2,2,2,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1.428571429,3,3,3,3,3,3,3,3,2,2,3,3,2,2,3,2,2,2,3,2,2,2,2,2,2,2.48,2,2,1,1,2,2,3,2,2,2,26,4,3,3,3.333333333
290003,2900,3,1,1,8,1,3,2,36,5,1,7,1,1,2,2, ,0,2, , , , ,0,0,0,0,0,4,4,4,4,4,4,3,3,4,4,3,3,4,4,4,4,4,4,3,3,3,3.666666667,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,3,3,3,3,3,3,3.64,2,2,1,2,2,2,3,2,2,2,27,4,3,4,3.666666667
300001,3000,1,1,1,1,1,3,2,58,4,3,7,1,1,2,2, ,0,2, , , , ,0,0,0,0,0,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.142857143,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2.48,3,3,2,3,3,3,3,3,2,2,28,5,5,5,5
300002,3000,2,1,1,1,1,3,2,31,5,1,6,1,1,2,1,6,4,1,4,6,6,6,6,4,4,4,4.5,4,4,4,5,5,4,4,5,4,4,5,4,5,5,4,5,5,4,4,4,4,4.380952381,5,5,5,4,4,4,5,5,5,4,4,4,5,4,5,4,4,4,5,5,4,4,5,4,4,4.44,3,3,2,3,3,2,3,3,2,2,27,4,4,4,4
300003,3000,3,1,1,1,1,3,2,34,5,1,5,1,1,2,1,6,4,2, , , , ,0,0,0,0,0,4,4,4,5,5,5,4,4,5,4,5,4,4,4,5,5,5,4,4,4,4,4.380952381,5,5,5,5,4,5,5,4,4,5,5,4,4,5,5,5,4,4,4,4,4,5,5,4,4,4.52,3,3,2,2,3,2,3,3,2,2,26,3,4,3,3.333333333
300004,3000,4,1,1,1,1,3,1,32,4,1,5,1,1,2,2, ,0,2, , , , ,0,0,0,0,0,4,4,4,5,5,4,5,4,5,5,5,4,4,4,5,5,4,4,4,5,4,4.428571429,5,5,5,4,4,5,5,5,4,5,5,4,4,4,4,5,5,5,4,5,5,5,5,5,4,4.64,2,2,3,3,2,2,3,3,2,3,24,4,3,3,3.333333333
310001,3100,1,1,1,1,1,3,1,62,4,2,7,1,3,1,2, ,0,2, , , , ,0,0,0,0,0,3,3,2,3,3,2,2,2,3,3,2,2,4,4,3,3,2,2,2,2,2,2.571428571,4,4,4,4,3,3,3,3,4,2,3,3,3,2,4,4,3,3,2,2,3,3,2,2,2,3,2,2,3,3,2,2,2,3,2,3,23,4,3,3,3.333333333
310002,3100,2,1,1,1,1,3,2,58,4,2,5,1,1,1,2, ,0,2, , , , ,0,0,0,0,0,2,2,2,3,2,3,1,1,3,2,1,1,3,3,2,1,1,1,1,1,1,1.761904762,4,4,4,4,3,3,3,2,4,2,3,3,2,2,3,3,3,2,3,3,2,2,2,2,2,2.8,2,2,2,3,3,2,2,3,2,2,24,3,3,2,2.666666667
310003,3100,3,1,1,1,1,3,2,29,5,1,7,1,1,2,2, ,0,2, , , , ,0,0,0,0,0,4,4,3,4,4,3,4,4,3,3,3,4,4,3,3,3,4,4,4,3,3,3.523809524,5,5,5,5,5,5,4,4,4,4,5,5,5,4,5,5,5,4,4,4,4,3,3,3,3,4.32,2,2,1,2,2,3,2,2,2,3,26,4,4,4,4
310004,3100,4,1,1,1,1,3,2,27,5,1,5,1,1,2,1,5,5,1,4,6,6,6,6,4,4,4,4.5,4,4,3,4,4,4,3,3,4,4,4,4,3,4,4,4,3,3,3,4,4,3.666666667,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4.72,2,2,1,2,2,2,2,3,3,2,24,4,4,4,4
320001,3200,1,1,1,1,1,3,1,85,2,2,2,2, ,2,2, ,0,2, , , , ,0,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.047619048,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.04,1,2,2,2,1,1,3,3,2,3,23,3,2,2,2.333333333
320002,3200,2,1,1,1,1,3,2,84,2,2,2,2, ,2,2, ,0,2, , , , ,0,0,0,0,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.047619048,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.04,1,2,3,2,3,3,2,3,3,3,20,2,1,1,1.333333333
320003,3200,3,1,1,1,1,3,1,50,4,1,1,2, ,2,2, ,0,2, , , , ,0,0,0,0,0,3,3,3,3,4,3,3,2,2,3,2,2,3,2,2,2,1,1,1,1,1,2.238095238,4,4,4,4,4,3,4,4,4,3,3,3,3,4,3,3,3,4,3,3,2,2,3,3,3,3.32,1,1,3,2,3,3,2,2,2,3,21,4,4,4,4
330001,3300,1,1,1,1,2,1,2,82,2,3,2,2, ,1,2, ,0,2, , , , ,0,0,0,0,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.047619048,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.04,2,2,2,3,2,2,3,2,2,3,26,3,4,4,3.666666667
340001,3400,1,1,1,1,1,3,1,57,5,2,5,1,3,2,2, ,0,2, , , , ,0,0,0,0,0,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2.428571429,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,2,2,2,3,2,2,2,1,1,1,2.4,2,2,1,1,2,2,3,2,2,2,26,4,4,3,3.666666667
340002,3400,2,0,1,1,1,3,2,55,4,2,3,1,1,1,2, ,0,2, , , , ,0,0,0,0,0,2,2,2,2,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1.428571429,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,2,2,2,3,2,3,2,1,1,1,2.44,2,2,2,1,1,2,2,1,1,2,27,4,3,3,3.333333333
340003,3400,3,1,1,1,1,3,1,30,5,1,5,1,1,2,2, ,0,2, , , , ,0,0,0,0,0,4,4,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3.428571429,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,3,2,2,2,3.6,2,2,1,1,2,2,1,2,2,2,24,4,3,3,3.333333333
340004,3400,4,1,1,1,1,3,1,24,5,1,1,2, ,2,1,7,3,2, , , , ,0,0,0,0,0,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,4,4,4,3,3,3,3.666666667,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,4,4,4,4,4,4,3,3,3,3,3.68,2,2,2,1,2,2,1,2,2,2,23,4,3,4,3.666666667
350001,3500,1,1,1,1,2,3,1,66,4,2,4,1,1,2,2, ,0,2, , , , ,0,0,0,0,0,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1.095238095,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,3,3,3,2,1,1,1,1,1,2.44,2,2,1,2,2,2,1,2,3,2,24,4,3,4,3.666666667
350002,3500,2,1,1,1,2,3,1,34,5,1,7,1,1,2,2, ,0,2, , , , ,0,0,0,0,0,4,4,4,4,4,3,3,3,4,4,3,3,4,4,4,4,4,4,4,3,3,3.666666667,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,3,3,3,3.76,2,2,2,1,2,3,3,2,2,3,25,4,4,3,3.666666667
350003,3500,3,1,1,1,2,3,2,67,4,2,1,2, ,1,2, ,0,2, , , , ,0,0,0,0,0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.095238095,3,3,3,3,3,3,3,3,3,2,2,2,1,1,3,2,2,2,3,2,1,1,1,1,1,2.16,2,2,3,3,2,2,2,3,2,3,23,4,4,3,3.666666667
360001,3600,1,1,1,8,1,3,1,49,5,2,8,1,1,2,2, ,0,1,7,9,9,9,3,1,1,1,1.5,4,5,4,5,4,5,4,4,4,4,4,4,4,5,4,4,4,3,4,4,4,4.142857143,5,5,5,4,5,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,5,4,4,4,4,4.36,3,3,3,3,2,4,4,3,3,3,28,6,6,6,6
360002,3600,2,1,1,8,1,3,2,44,5,2,1,2, ,2,2, ,0,2, , , , ,0,0,0,0,0,2,2,3,4,3,2,4,3,2,3,3,2,2,1,4,3,2,3,2,2,2,2.571428571,5,4,5,5,5,5,4,4,5,5,3,4,4,3,2,2,1,2,2,1,1,1,1,2,1,3.08,2,3,1,3,2,3,3,2,2,1,31,3,3,3,3
