consumer_id,segment,choice,LG_Left,60_Left,80_Left,price_Left,LG_Right,60_Right,80_Right,price_Right
69,1,Right,1,0,1,200,0,1,0,130
70,0,Left,0,0,0,120,1,1,0,150
71,1,Right,1,0,0,100,0,0,0,100
72,0,Right,1,1,0,130,0,0,0,100
73,1,Right,0,1,0,120,0,0,1,170
74,1,None,0,0,1,180,1,1,0,170
75,1,Left,1,0,0,100,0,1,0,130
76,1,Right,1,1,0,150,1,0,1,200
77,0,Right,0,0,1,190,1,1,0,170
78,1,Left,1,1,0,150,0,0,1,190
79,1,Left,1,0,1,200,0,1,0,130
80,1,Right,0,0,0,120,1,1,0,150
81,1,Left,1,0,0,100,0,0,0,100
82,1,Left,1,1,0,130,0,0,0,100
83,0,Left,0,1,0,120,0,0,1,170
84,1,Left,0,0,1,180,1,1,0,170
85,1,None,1,0,0,100,0,1,0,130
86,0,Right,1,1,0,150,1,0,1,200
87,0,Right,0,0,1,190,1,1,0,170
88,0,Left,1,1,0,150,0,0,1,190
89,0,None,1,0,1,200,0,1,0,130
90,0,Left,0,0,0,120,1,1,0,150
91,0,Left,1,0,0,100,0,0,0,100
92,0,Right,1,1,0,130,0,0,0,100
93,1,Right,0,1,0,120,0,0,1,170
94,0,None,0,0,1,180,1,1,0,170
95,0,Left,1,0,0,100,0,1,0,130
96,1,Left,1,1,0,150,1,0,1,200
97,1,Left,0,0,1,190,1,1,0,170
98,1,Right,1,1,0,150,0,0,1,190
99,1,Right,1,0,1,200,0,1,0,130
100,1,None,0,0,0,120,1,1,0,150
101,1,Left,1,0,0,100,0,0,0,100
102,0,Left,1,1,0,130,0,0,0,100
103,1,Right,0,1,0,120,0,0,1,170
104,1,Right,0,0,1,180,1,1,0,170
105,1,Left,1,0,0,100,0,1,0,130
106,0,Right,1,1,0,150,1,0,1,200
107,1,Left,0,0,1,190,1,1,0,170
108,0,Left,1,1,0,150,0,0,1,190
109,1,Left,1,0,1,200,0,1,0,130
110,1,Right,0,0,0,120,1,1,0,150
111,1,Left,1,0,0,100,0,0,0,100
112,1,Right,1,1,0,130,0,0,0,100
113,1,Left,0,1,0,120,0,0,1,170
114,0,Left,0,0,1,180,1,1,0,170
115,1,Left,1,0,0,100,0,1,0,130
116,1,None,1,1,0,150,1,0,1,200
117,0,Right,0,0,1,190,1,1,0,170
118,1,None,1,1,0,150,0,0,1,190
119,0,Right,1,0,1,200,0,1,0,130
120,0,None,0,0,0,120,1,1,0,150
121,0,Left,1,0,0,100,0,0,0,100
122,1,Right,1,1,0,130,0,0,0,100
123,1,Right,0,1,0,120,0,0,1,170
124,0,Right,0,0,1,180,1,1,0,170
125,1,Left,1,0,0,100,0,1,0,130
126,1,Right,1,1,0,150,1,0,1,200
127,0,Right,0,0,1,190,1,1,0,170
128,0,Right,1,1,0,150,0,0,1,190
129,1,Left,1,0,1,200,0,1,0,130
130,0,Left,0,0,0,120,1,1,0,150
131,0,None,1,0,0,100,0,0,0,100
132,0,None,1,1,0,130,0,0,0,100
133,0,Left,0,1,0,120,0,0,1,170
134,1,Right,0,0,1,180,1,1,0,170
135,1,Left,1,0,0,100,0,1,0,130
136,1,Right,1,1,0,150,1,0,1,200
137,1,Right,0,0,1,190,1,1,0,170
138,0,Left,1,1,0,150,0,0,1,190
139,0,Right,1,0,1,200,0,1,0,130
140,0,Right,0,0,0,120,1,1,0,150
141,0,Left,1,0,0,100,0,0,0,100
142,1,Left,1,1,0,130,0,0,0,100
143,0,Left,0,1,0,120,0,0,1,170
144,1,Left,0,0,1,180,1,1,0,170
145,1,Left,1,0,0,100,0,1,0,130
146,1,Right,1,1,0,150,1,0,1,200
147,0,Right,0,0,1,190,1,1,0,170
148,0,Left,1,1,0,150,0,0,1,190
149,0,Right,1,0,1,200,0,1,0,130
150,0,None,0,0,0,120,1,1,0,150
151,0,Left,1,0,0,100,0,0,0,100
152,1,Left,1,1,0,130,0,0,0,100
153,1,Left,0,1,0,120,0,0,1,170
154,0,Right,0,0,1,180,1,1,0,170
155,0,Left,1,0,0,100,0,1,0,130
156,0,Right,1,1,0,150,1,0,1,200
157,0,Left,0,0,1,190,1,1,0,170
158,0,Right,1,1,0,150,0,0,1,190
159,0,Left,1,0,1,200,0,1,0,130
160,1,None,0,0,0,120,1,1,0,150
161,0,None,1,0,0,100,0,0,0,100
162,1,Left,1,1,0,130,0,0,0,100
163,1,Left,0,1,0,120,0,0,1,170
164,1,Left,0,0,1,180,1,1,0,170
165,1,Left,1,0,0,100,0,1,0,130
166,1,Left,1,1,0,150,1,0,1,200
167,1,None,0,0,1,190,1,1,0,170
168,0,Left,1,1,0,150,0,0,1,190
169,1,Right,1,0,1,200,0,1,0,130
170,0,Right,0,0,0,120,1,1,0,150
171,0,Left,1,0,0,100,0,0,0,100
172,0,Right,1,1,0,130,0,0,0,100
173,1,Right,0,1,0,120,0,0,1,170
174,0,Right,0,0,1,180,1,1,0,170
175,0,Left,1,0,0,100,0,1,0,130
176,1,Right,1,1,0,150,1,0,1,200
177,0,Right,0,0,1,190,1,1,0,170
178,1,Left,1,1,0,150,0,0,1,190
179,1,Left,1,0,1,200,0,1,0,130
180,0,None,0,0,0,120,1,1,0,150
181,1,None,1,0,0,100,0,0,0,100
182,1,Right,1,1,0,130,0,0,0,100
183,1,Left,0,1,0,120,0,0,1,170
184,0,None,0,0,1,180,1,1,0,170
185,1,Left,1,0,0,100,0,1,0,130
186,0,Left,1,1,0,150,1,0,1,200
187,1,Left,0,0,1,190,1,1,0,170
188,1,Left,1,1,0,150,0,0,1,190
189,0,Right,1,0,1,200,0,1,0,130
190,0,Left,0,0,0,120,1,1,0,150
191,0,Left,1,0,0,100,0,0,0,100
192,0,Right,1,1,0,130,0,0,0,100
193,1,Right,0,1,0,120,0,0,1,170
194,0,Right,0,0,1,180,1,1,0,170
195,0,Left,1,0,0,100,0,1,0,130
196,1,None,1,1,0,150,1,0,1,200
197,0,None,0,0,1,190,1,1,0,170
198,1,Left,1,1,0,150,0,0,1,190
199,0,Right,1,0,1,200,0,1,0,130
200,0,Left,0,0,0,120,1,1,0,150
201,0,Left,1,0,0,100,0,0,0,100
202,1,Left,1,1,0,130,0,0,0,100
203,1,Right,0,1,0,120,0,0,1,170
204,0,Right,0,0,1,180,1,1,0,170
205,0,Left,1,0,0,100,0,1,0,130
206,1,Right,1,1,0,150,1,0,1,200
207,0,Right,0,0,1,190,1,1,0,170
208,0,Left,1,1,0,150,0,0,1,190
209,0,Right,1,0,1,200,0,1,0,130
210,0,None,0,0,0,120,1,1,0,150
211,1,Left,1,0,0,100,0,0,0,100
212,1,Left,1,1,0,130,0,0,0,100
213,0,Left,0,1,0,120,0,0,1,170
214,1,Right,0,0,1,180,1,1,0,170
215,0,None,1,0,0,100,0,1,0,130
216,1,Right,1,1,0,150,1,0,1,200
217,0,Right,0,0,1,190,1,1,0,170
218,1,Left,1,1,0,150,0,0,1,190
219,1,Right,1,0,1,200,0,1,0,130
220,0,None,0,0,0,120,1,1,0,150
221,1,Left,1,0,0,100,0,0,0,100
222,0,None,1,1,0,130,0,0,0,100
223,0,Right,0,1,0,120,0,0,1,170
224,0,Right,0,0,1,180,1,1,0,170
225,1,Left,1,0,0,100,0,1,0,130
226,0,Right,1,1,0,150,1,0,1,200
227,0,Right,0,0,1,190,1,1,0,170
228,1,Left,1,1,0,150,0,0,1,190
229,1,Right,1,0,1,200,0,1,0,130
230,1,Left,0,0,0,120,1,1,0,150
231,1,Right,1,0,0,100,0,0,0,100
232,0,Left,1,1,0,130,0,0,0,100
233,1,Left,0,1,0,120,0,0,1,170
234,0,Left,0,0,1,180,1,1,0,170
235,0,Left,1,0,0,100,0,1,0,130
236,0,Right,1,1,0,150,1,0,1,200
237,1,Left,0,0,1,190,1,1,0,170
238,0,Left,1,1,0,150,0,0,1,190
239,1,Right,1,0,1,200,0,1,0,130
240,1,None,0,0,0,120,1,1,0,150
241,1,Left,1,0,0,100,0,0,0,100
242,1,Left,1,1,0,130,0,0,0,100
243,1,Left,0,1,0,120,0,0,1,170
244,0,None,0,0,1,180,1,1,0,170
245,1,Right,1,0,0,100,0,1,0,130
246,0,Left,1,1,0,150,1,0,1,200
247,1,None,0,0,1,190,1,1,0,170
248,0,Left,1,1,0,150,0,0,1,190
249,1,Right,1,0,1,200,0,1,0,130
250,1,Left,0,0,0,120,1,1,0,150
251,1,Left,1,0,0,100,0,0,0,100
252,0,Left,1,1,0,130,0,0,0,100
253,1,Right,0,1,0,120,0,0,1,170
254,0,Right,0,0,1,180,1,1,0,170
255,0,Left,1,0,0,100,0,1,0,130
256,1,Right,1,1,0,150,1,0,1,200
257,0,Right,0,0,1,190,1,1,0,170
258,1,Left,1,1,0,150,0,0,1,190
259,0,Right,1,0,1,200,0,1,0,130
260,0,Left,0,0,0,120,1,1,0,150
261,0,Left,1,0,0,100,0,0,0,100
262,1,Left,1,1,0,130,0,0,0,100
263,1,Left,0,1,0,120,0,0,1,170
264,1,Right,0,0,1,180,1,1,0,170
265,0,Left,1,0,0,100,0,1,0,130
266,1,Right,1,1,0,150,1,0,1,200
267,0,Right,0,0,1,190,1,1,0,170
268,1,Left,1,1,0,150,0,0,1,190
269,1,Right,1,0,1,200,0,1,0,130
270,1,None,0,0,0,120,1,1,0,150
271,0,Left,1,0,0,100,0,0,0,100
272,0,Left,1,1,0,130,0,0,0,100
273,0,Left,0,1,0,120,0,0,1,170
274,1,Right,0,0,1,180,1,1,0,170
275,1,Left,1,0,0,100,0,1,0,130
276,0,Right,1,1,0,150,1,0,1,200
277,0,Right,0,0,1,190,1,1,0,170
278,0,Left,1,1,0,150,0,0,1,190
279,0,Right,1,0,1,200,0,1,0,130
280,0,None,0,0,0,120,1,1,0,150
281,1,Left,1,0,0,100,0,0,0,100
282,0,Left,1,1,0,130,0,0,0,100
283,0,Left,0,1,0,120,0,0,1,170
284,0,None,0,0,1,180,1,1,0,170
285,0,Left,1,0,0,100,0,1,0,130
286,1,Right,1,1,0,150,1,0,1,200
287,1,Right,0,0,1,190,1,1,0,170
288,1,Left,1,1,0,150,0,0,1,190
289,0,Right,1,0,1,200,0,1,0,130
290,0,Right,0,0,0,120,1,1,0,150
291,0,Left,1,0,0,100,0,0,0,100
292,0,Right,1,1,0,130,0,0,0,100
293,1,Right,0,1,0,120,0,0,1,170
294,1,Right,0,0,1,180,1,1,0,170
295,1,Left,1,0,0,100,0,1,0,130
296,0,Right,1,1,0,150,1,0,1,200
297,1,Right,0,0,1,190,1,1,0,170
298,0,Left,1,1,0,150,0,0,1,190
299,0,Right,1,0,1,200,0,1,0,130
300,1,None,0,0,0,120,1,1,0,150
301,0,Left,1,0,0,100,0,0,0,100
302,1,Left,1,1,0,130,0,0,0,100
303,1,Right,0,1,0,120,0,0,1,170
304,0,Right,0,0,1,180,1,1,0,170
305,0,Left,1,0,0,100,0,1,0,130
306,0,Right,1,1,0,150,1,0,1,200
307,0,Right,0,0,1,190,1,1,0,170
308,1,Left,1,1,0,150,0,0,1,190
309,0,Right,1,0,1,200,0,1,0,130
310,1,Left,0,0,0,120,1,1,0,150
311,1,Left,1,0,0,100,0,0,0,100
312,0,Left,1,1,0,130,0,0,0,100
313,1,Left,0,1,0,120,0,0,1,170
314,0,Right,0,0,1,180,1,1,0,170
315,1,Left,1,0,0,100,0,1,0,130
316,0,Right,1,1,0,150,1,0,1,200
317,1,Right,0,0,1,190,1,1,0,170
318,0,Left,1,1,0,150,0,0,1,190
319,0,Right,1,0,1,200,0,1,0,130
320,1,Right,0,0,0,120,1,1,0,150
321,0,Left,1,0,0,100,0,0,0,100
322,0,Right,1,1,0,130,0,0,0,100
323,1,Right,0,1,0,120,0,0,1,170
324,1,Right,0,0,1,180,1,1,0,170
325,1,Left,1,0,0,100,0,1,0,130
326,1,None,1,1,0,150,1,0,1,200
327,1,Right,0,0,1,190,1,1,0,170
328,0,Left,1,1,0,150,0,0,1,190
329,0,Right,1,0,1,200,0,1,0,130
330,1,None,0,0,0,120,1,1,0,150
331,1,Left,1,0,0,100,0,0,0,100
332,1,Left,1,1,0,130,0,0,0,100
333,0,Left,0,1,0,120,0,0,1,170
334,1,Left,0,0,1,180,1,1,0,170
335,1,Left,1,0,0,100,0,1,0,130
336,1,Right,1,1,0,150,1,0,1,200
337,1,Right,0,0,1,190,1,1,0,170
338,1,Left,1,1,0,150,0,0,1,190
339,0,Right,1,0,1,200,0,1,0,130
340,0,None,0,0,0,120,1,1,0,150
341,1,Left,1,0,0,100,0,0,0,100
342,0,Left,1,1,0,130,0,0,0,100
343,1,Left,0,1,0,120,0,0,1,170
344,0,None,0,0,1,180,1,1,0,170
345,0,Left,1,0,0,100,0,1,0,130
346,1,Right,1,1,0,150,1,0,1,200
347,1,Right,0,0,1,190,1,1,0,170
348,0,Left,1,1,0,150,0,0,1,190
349,1,Right,1,0,1,200,0,1,0,130
350,0,Right,0,0,0,120,1,1,0,150
351,1,Left,1,0,0,100,0,0,0,100
352,1,Left,1,1,0,130,0,0,0,100
353,1,Left,0,1,0,120,0,0,1,170
354,1,Right,0,0,1,180,1,1,0,170
355,0,Left,1,0,0,100,0,1,0,130
356,1,Left,1,1,0,150,1,0,1,200
357,1,Right,0,0,1,190,1,1,0,170
358,0,None,1,1,0,150,0,0,1,190
359,0,Right,1,0,1,200,0,1,0,130
360,1,None,0,0,0,120,1,1,0,150
361,0,Left,1,0,0,100,0,0,0,100
362,0,Left,1,1,0,130,0,0,0,100
363,0,Left,0,1,0,120,0,0,1,170
364,1,Right,0,0,1,180,1,1,0,170
365,0,Left,1,0,0,100,0,1,0,130
366,1,Right,1,1,0,150,1,0,1,200
367,1,Right,0,0,1,190,1,1,0,170
368,1,Left,1,1,0,150,0,0,1,190
369,1,Right,1,0,1,200,0,1,0,130
370,0,Left,0,0,0,120,1,1,0,150
371,0,Left,1,0,0,100,0,0,0,100
372,0,Left,1,1,0,130,0,0,0,100
373,0,Left,0,1,0,120,0,0,1,170
374,0,Right,0,0,1,180,1,1,0,170
375,1,Left,1,0,0,100,0,1,0,130
376,0,Right,1,1,0,150,1,0,1,200
377,0,Right,0,0,1,190,1,1,0,170
378,0,Left,1,1,0,150,0,0,1,190
379,1,Right,1,0,1,200,0,1,0,130
380,1,Right,0,0,0,120,1,1,0,150
381,1,Left,1,0,0,100,0,0,0,100
382,1,Left,1,1,0,130,0,0,0,100
383,1,Left,0,1,0,120,0,0,1,170
384,0,Right,0,0,1,180,1,1,0,170
385,1,Left,1,0,0,100,0,1,0,130
386,1,Right,1,1,0,150,1,0,1,200
387,0,Right,0,0,1,190,1,1,0,170
388,0,Left,1,1,0,150,0,0,1,190
389,1,Right,1,0,1,200,0,1,0,130
390,1,Right,0,0,0,120,1,1,0,150
391,0,Left,1,0,0,100,0,0,0,100
392,1,Left,1,1,0,130,0,0,0,100
393,1,Left,0,1,0,120,0,0,1,170
394,1,Right,0,0,1,180,1,1,0,170
395,0,Left,1,0,0,100,0,1,0,130
396,1,Right,1,1,0,150,1,0,1,200
397,0,Right,0,0,1,190,1,1,0,170
398,1,Left,1,1,0,150,0,0,1,190
399,0,Right,1,0,1,200,0,1,0,130
400,0,None,0,0,0,120,1,1,0,150
401,0,Left,1,0,0,100,0,0,0,100
402,0,Left,1,1,0,130,0,0,0,100
403,0,Left,0,1,0,120,0,0,1,170
404,1,None,0,0,1,180,1,1,0,170
405,0,Left,1,0,0,100,0,1,0,130
406,0,Right,1,1,0,150,1,0,1,200
407,0,Right,0,0,1,190,1,1,0,170
408,0,Left,1,1,0,150,0,0,1,190
409,1,Right,1,0,1,200,0,1,0,130
410,1,Left,0,0,0,120,1,1,0,150
411,1,Left,1,0,0,100,0,0,0,100
412,0,Left,1,1,0,130,0,0,0,100
413,1,Left,0,1,0,120,0,0,1,170
414,1,Left,0,0,1,180,1,1,0,170
415,1,Left,1,0,0,100,0,1,0,130
416,0,Right,1,1,0,150,1,0,1,200
417,1,Right,0,0,1,190,1,1,0,170
418,1,Right,1,1,0,150,0,0,1,190
419,1,Right,1,0,1,200,0,1,0,130
420,0,Right,0,0,0,120,1,1,0,150
421,1,None,1,0,0,100,0,0,0,100
422,1,Left,1,1,0,130,0,0,0,100
423,0,Left,0,1,0,120,0,0,1,170
424,1,Right,0,0,1,180,1,1,0,170
425,1,Left,1,0,0,100,0,1,0,130
426,0,Right,1,1,0,150,1,0,1,200
427,0,Right,0,0,1,190,1,1,0,170
428,1,Left,1,1,0,150,0,0,1,190
429,0,Right,1,0,1,200,0,1,0,130
430,0,None,0,0,0,120,1,1,0,150
431,0,Left,1,0,0,100,0,0,0,100
432,1,Left,1,1,0,130,0,0,0,100
433,1,Left,0,1,0,120,0,0,1,170
434,0,Right,0,0,1,180,1,1,0,170
435,1,Left,1,0,0,100,0,1,0,130
436,0,Right,1,1,0,150,1,0,1,200
437,1,Right,0,0,1,190,1,1,0,170
438,0,Left,1,1,0,150,0,0,1,190
439,0,Right,1,0,1,200,0,1,0,130
440,1,None,0,0,0,120,1,1,0,150
441,1,Left,1,0,0,100,0,0,0,100
442,0,Left,1,1,0,130,0,0,0,100
443,0,Left,0,1,0,120,0,0,1,170
444,1,Right,0,0,1,180,1,1,0,170
445,0,Left,1,0,0,100,0,1,0,130
446,1,Right,1,1,0,150,1,0,1,200
447,1,Right,0,0,1,190,1,1,0,170
448,1,Left,1,1,0,150,0,0,1,190
449,1,Right,1,0,1,200,0,1,0,130
450,0,None,0,0,0,120,1,1,0,150
451,1,Left,1,0,0,100,0,0,0,100
452,0,Left,1,1,0,130,0,0,0,100
453,1,Left,0,1,0,120,0,0,1,170
454,1,Right,0,0,1,180,1,1,0,170
455,1,Left,1,0,0,100,0,1,0,130
456,1,Right,1,1,0,150,1,0,1,200
457,1,Right,0,0,1,190,1,1,0,170
458,1,Left,1,1,0,150,0,0,1,190
459,1,Right,1,0,1,200,0,1,0,130
460,1,None,0,0,0,120,1,1,0,150
461,1,Left,1,0,0,100,0,0,0,100
462,1,Left,1,1,0,130,0,0,0,100
463,1,Left,0,1,0,120,0,0,1,170
464,1,Left,0,0,1,180,1,1,0,170
465,1,Left,1,0,0,100,0,1,0,130
466,0,Right,1,1,0,150,1,0,1,200
467,1,Right,0,0,1,190,1,1,0,170
468,0,Left,1,1,0,150,0,0,1,190
469,0,Right,1,0,1,200,0,1,0,130
470,1,Left,0,0,0,120,1,1,0,150
471,1,Right,1,0,0,100,0,0,0,100
472,0,Left,1,1,0,130,0,0,0,100
473,0,Left,0,1,0,120,0,0,1,170
474,0,Right,0,0,1,180,1,1,0,170
475,1,Left,1,0,0,100,0,1,0,130
476,0,Right,1,1,0,150,1,0,1,200
477,1,Left,0,0,1,190,1,1,0,170
478,1,Right,1,1,0,150,0,0,1,190
479,0,Right,1,0,1,200,0,1,0,130
480,1,None,0,0,0,120,1,1,0,150
481,1,Left,1,0,0,100,0,0,0,100
482,1,Left,1,1,0,130,0,0,0,100
483,0,Left,0,1,0,120,0,0,1,170
484,0,Right,0,0,1,180,1,1,0,170
485,1,None,1,0,0,100,0,1,0,130
486,0,Right,1,1,0,150,1,0,1,200
487,0,Right,0,0,1,190,1,1,0,170
488,1,Left,1,1,0,150,0,0,1,190
489,0,Right,1,0,1,200,0,1,0,130
490,1,None,0,0,0,120,1,1,0,150
491,1,Right,1,0,0,100,0,0,0,100
492,0,Left,1,1,0,130,0,0,0,100
493,1,Left,0,1,0,120,0,0,1,170
494,1,Right,0,0,1,180,1,1,0,170
495,0,Left,1,0,0,100,0,1,0,130
496,1,Right,1,1,0,150,1,0,1,200
497,1,Left,0,0,1,190,1,1,0,170
498,0,Right,1,1,0,150,0,0,1,190
499,1,Right,1,0,1,200,0,1,0,130
500,0,None,0,0,0,120,1,1,0,150
