,CustomerID,InvoiceNo,InvoiceDate,Quantity,UnitPrice,Country,TotalSales
106,12472,537201,2010-12-05 14:19,24,0.65,Germany,15.600000000000001
107,12472,537201,2010-12-05 14:19,24,0.85,Germany,20.4
108,12472,537201,2010-12-05 14:19,24,0.85,Germany,20.4
109,12472,537201,2010-12-05 14:19,24,0.85,Germany,20.4
110,12472,537201,2010-12-05 14:19,24,0.85,Germany,20.4
111,12472,537201,2010-12-05 14:19,12,0.85,Germany,10.2
112,12472,537201,2010-12-05 14:19,36,1.95,Germany,70.2
113,12472,537201,2010-12-05 14:19,24,2.95,Germany,70.80000000000001
114,12472,537201,2010-12-05 14:19,30,0.85,Germany,25.5
115,12472,537201,2010-12-05 14:19,12,1.65,Germany,19.799999999999997
116,12472,537201,2010-12-05 14:19,12,2.95,Germany,35.400000000000006
117,12472,537201,2010-12-05 14:19,4,7.95,Germany,31.8
118,12472,537201,2010-12-05 14:19,12,0.85,Germany,10.2
119,12472,537201,2010-12-05 14:19,10,3.75,Germany,37.5
120,12472,537201,2010-12-05 14:19,24,1.65,Germany,39.599999999999994
121,12472,537201,2010-12-05 14:19,12,1.25,Germany,15.0
122,12472,537201,2010-12-05 14:19,12,1.25,Germany,15.0
123,12472,537201,2010-12-05 14:19,12,1.25,Germany,15.0
124,12472,537201,2010-12-05 14:19,12,1.25,Germany,15.0
125,12472,537201,2010-12-05 14:19,12,2.1,Germany,25.200000000000003
126,12472,537201,2010-12-05 14:19,12,2.1,Germany,25.200000000000003
127,12472,537201,2010-12-05 14:19,12,0.85,Germany,10.2
128,12472,537201,2010-12-05 14:19,12,0.85,Germany,10.2
129,12472,537201,2010-12-05 14:19,12,0.85,Germany,10.2
130,12472,537201,2010-12-05 14:19,12,0.85,Germany,10.2
131,12472,537201,2010-12-05 14:19,12,0.85,Germany,10.2
132,12472,537201,2010-12-05 14:19,12,0.85,Germany,10.2
133,12472,537201,2010-12-05 14:19,12,0.85,Germany,10.2
134,12472,537201,2010-12-05 14:19,12,0.85,Germany,10.2
135,12472,537201,2010-12-05 14:19,12,0.85,Germany,10.2
136,12472,537201,2010-12-05 14:19,20,0.85,Germany,17.0
137,12472,537201,2010-12-05 14:19,4,12.75,Germany,51.0
138,12472,537201,2010-12-05 14:19,12,2.95,Germany,35.400000000000006
139,12472,537201,2010-12-05 14:19,12,1.95,Germany,23.4
140,12472,537201,2010-12-05 14:19,10,1.65,Germany,16.5
141,12472,537201,2010-12-05 14:19,10,1.65,Germany,16.5
142,12472,537201,2010-12-05 14:19,10,2.1,Germany,21.0
143,12472,537201,2010-12-05 14:19,12,2.1,Germany,25.200000000000003
144,12472,537201,2010-12-05 14:19,12,2.55,Germany,30.599999999999998
145,12472,537201,2010-12-05 14:19,12,1.65,Germany,19.799999999999997
146,12472,537201,2010-12-05 14:19,12,1.95,Germany,23.4
147,12472,537201,2010-12-05 14:19,12,0.85,Germany,10.2
148,12472,537201,2010-12-05 14:19,6,2.95,Germany,17.700000000000003
149,12472,537201,2010-12-05 14:19,6,18.0,Germany,108.0
150,12472,537201,2010-12-05 14:19,4,8.5,Germany,34.0
151,12720,537212,2010-12-05 15:21,10,1.95,Germany,19.5
152,12720,537212,2010-12-05 15:21,10,0.85,Germany,8.5
153,12720,537212,2010-12-05 15:21,12,1.65,Germany,19.799999999999997
154,12720,537212,2010-12-05 15:21,24,0.29,Germany,6.959999999999999
155,12720,537212,2010-12-05 15:21,6,4.25,Germany,25.5
156,12720,537212,2010-12-05 15:21,12,1.45,Germany,17.4
157,12720,537212,2010-12-05 15:21,12,0.85,Germany,10.2
158,12720,537212,2010-12-05 15:21,12,0.85,Germany,10.2
159,12720,537212,2010-12-05 15:21,24,0.29,Germany,6.959999999999999
160,12720,537212,2010-12-05 15:21,12,0.65,Germany,7.800000000000001
161,12720,537212,2010-12-05 15:21,12,1.65,Germany,19.799999999999997
162,12720,537212,2010-12-05 15:21,24,0.85,Germany,20.4
163,12720,537212,2010-12-05 15:21,12,0.85,Germany,10.2
164,12720,537212,2010-12-05 15:21,12,0.85,Germany,10.2
165,12720,537212,2010-12-05 15:21,12,0.85,Germany,10.2
166,12720,537212,2010-12-05 15:21,6,2.1,Germany,12.600000000000001
167,12720,537212,2010-12-05 15:21,2,8.5,Germany,17.0
168,12720,537212,2010-12-05 15:21,2,8.5,Germany,17.0
169,12720,537212,2010-12-05 15:21,3,4.95,Germany,14.850000000000001
170,12720,537212,2010-12-05 15:21,6,2.95,Germany,17.700000000000003
171,12720,537212,2010-12-05 15:21,4,3.75,Germany,15.0
172,12720,537212,2010-12-05 15:21,4,3.75,Germany,15.0
173,12720,537212,2010-12-05 15:21,8,1.25,Germany,10.0
174,12720,537212,2010-12-05 15:21,8,1.69,Germany,13.52
175,12720,537212,2010-12-05 15:21,10,1.25,Germany,12.5
176,12720,537212,2010-12-05 15:21,10,1.95,Germany,19.5
177,12720,537212,2010-12-05 15:21,10,1.95,Germany,19.5
178,12720,537212,2010-12-05 15:21,8,0.85,Germany,6.8
179,12720,537212,2010-12-05 15:21,8,0.85,Germany,6.8
180,12720,537212,2010-12-05 15:21,4,18.0,Germany,72.0
181,12708,537250,2010-12-06 10:43,4,4.25,Germany,17.0
182,12708,537250,2010-12-06 10:43,4,4.95,Germany,19.8
183,12708,537250,2010-12-06 10:43,6,2.95,Germany,17.700000000000003
184,12708,537250,2010-12-06 10:43,8,1.25,Germany,10.0
185,12708,537250,2010-12-06 10:43,8,0.85,Germany,6.8
186,12708,537250,2010-12-06 10:43,8,1.25,Germany,10.0
187,12708,537250,2010-12-06 10:43,8,0.85,Germany,6.8
188,12708,537250,2010-12-06 10:43,8,1.69,Germany,13.52
189,12708,537250,2010-12-06 10:43,8,1.69,Germany,13.52
190,12708,537250,2010-12-06 10:43,6,2.55,Germany,15.299999999999999
191,12708,537250,2010-12-06 10:43,10,1.65,Germany,16.5
192,12708,537250,2010-12-06 10:43,6,2.95,Germany,17.700000000000003
193,12708,537250,2010-12-06 10:43,4,3.45,Germany,13.8
194,12708,537250,2010-12-06 10:43,1,18.0,Germany,18.0
196,12647,537594,2010-12-07 12:28,4,12.75,Germany,51.0
197,12647,537594,2010-12-07 12:28,2,12.75,Germany,25.5
198,12647,537594,2010-12-07 12:28,4,14.95,Germany,59.8
199,12647,537594,2010-12-07 12:28,4,14.95,Germany,59.8
200,12647,537594,2010-12-07 12:28,20,1.25,Germany,25.0
201,12647,537594,2010-12-07 12:28,12,1.95,Germany,23.4
202,12647,537594,2010-12-07 12:28,24,3.75,Germany,90.0
203,12647,537594,2010-12-07 12:28,4,4.25,Germany,17.0
204,12647,537594,2010-12-07 12:28,12,2.95,Germany,35.400000000000006
205,12647,537594,2010-12-07 12:28,4,3.75,Germany,15.0
206,12647,537594,2010-12-07 12:28,4,3.75,Germany,15.0
207,12647,537594,2010-12-07 12:28,12,1.65,Germany,19.799999999999997
208,12647,537594,2010-12-07 12:28,2,8.5,Germany,17.0
209,12647,537594,2010-12-07 12:28,24,0.85,Germany,20.4
210,12647,537594,2010-12-07 12:28,6,2.95,Germany,17.700000000000003
211,12647,537594,2010-12-07 12:28,12,1.25,Germany,15.0
212,12647,537594,2010-12-07 12:28,5,18.0,Germany,90.0
213,12709,537673,2010-12-08 9:49,10,1.65,Germany,16.5
214,12709,537673,2010-12-08 9:49,36,2.1,Germany,75.60000000000001
215,12709,537673,2010-12-08 9:49,24,7.65,Germany,183.60000000000002
216,12709,537673,2010-12-08 9:49,6,8.5,Germany,51.0
217,12709,537673,2010-12-08 9:49,24,1.25,Germany,30.0
218,12709,537673,2010-12-08 9:49,32,1.25,Germany,40.0
219,12709,537673,2010-12-08 9:49,7,18.0,Germany,126.0
221,12481,537892,2010-12-09 10:13,1,18.0,Germany,18.0
222,12481,537892,2010-12-09 10:13,2,6.75,Germany,13.5
223,12481,537892,2010-12-09 10:13,2,8.5,Germany,17.0
224,12481,537892,2010-12-09 10:13,24,0.42,Germany,10.08
225,12481,537892,2010-12-09 10:13,12,1.25,Germany,15.0
226,12481,537892,2010-12-09 10:13,12,1.25,Germany,15.0
227,12481,537892,2010-12-09 10:13,12,1.65,Germany,19.799999999999997
228,12481,537892,2010-12-09 10:13,8,1.95,Germany,15.6
229,12481,537892,2010-12-09 10:13,6,2.95,Germany,17.700000000000003
230,12481,537892,2010-12-09 10:13,6,2.95,Germany,17.700000000000003
231,12621,537894,2010-12-09 10:16,3,4.95,Germany,14.850000000000001
232,12621,537894,2010-12-09 10:16,6,2.1,Germany,12.600000000000001
233,12621,537894,2010-12-09 10:16,12,1.65,Germany,19.799999999999997
234,12621,537894,2010-12-09 10:16,24,1.65,Germany,39.599999999999994
235,12621,537894,2010-12-09 10:16,36,0.85,Germany,30.599999999999998
236,12621,537894,2010-12-09 10:16,24,1.65,Germany,39.599999999999994
237,12621,537894,2010-12-09 10:16,30,2.95,Germany,88.5
238,12621,537894,2010-12-09 10:16,12,3.75,Germany,45.0
239,12621,537894,2010-12-09 10:16,12,3.75,Germany,45.0
240,12621,537894,2010-12-09 10:16,12,3.75,Germany,45.0
241,12621,537894,2010-12-09 10:16,6,4.25,Germany,25.5
242,12621,537894,2010-12-09 10:16,36,0.21,Germany,7.56
243,12621,537894,2010-12-09 10:16,12,1.25,Germany,15.0
244,12621,537894,2010-12-09 10:16,2,18.0,Germany,36.0
245,12712,537995,2010-12-09 11:39,8,2.95,Germany,23.6
246,12712,537995,2010-12-09 11:39,8,8.5,Germany,68.0
247,12712,537995,2010-12-09 11:39,24,0.65,Germany,15.600000000000001
248,12712,537995,2010-12-09 11:39,6,2.95,Germany,17.700000000000003
249,12712,537995,2010-12-09 11:39,6,2.55,Germany,15.299999999999999
250,12712,537995,2010-12-09 11:39,6,2.55,Germany,15.299999999999999
251,12712,537995,2010-12-09 11:39,4,3.75,Germany,15.0
252,12712,537995,2010-12-09 11:39,6,2.95,Germany,17.700000000000003
253,12712,537995,2010-12-09 11:39,2,9.95,Germany,19.9
254,12712,537995,2010-12-09 11:39,2,18.0,Germany,36.0
255,12712,537995,2010-12-09 11:39,12,4.25,Germany,51.0
261,12471,538174,2010-12-10 9:35,12,1.45,Germany,17.4
262,12471,538174,2010-12-10 9:35,24,0.55,Germany,13.200000000000001
263,12471,538174,2010-12-10 9:35,24,2.25,Germany,54.0
264,12471,538174,2010-12-10 9:35,72,0.85,Germany,61.199999999999996
265,12471,538174,2010-12-10 9:35,60,0.21,Germany,12.6
266,12471,538174,2010-12-10 9:35,48,1.65,Germany,79.19999999999999
267,12471,538174,2010-12-10 9:35,24,0.85,Germany,20.4
268,12471,538174,2010-12-10 9:35,36,1.25,Germany,45.0
269,12471,538174,2010-12-10 9:35,24,1.65,Germany,39.599999999999994
270,12471,538174,2010-12-10 9:35,12,2.95,Germany,35.400000000000006
271,12471,538174,2010-12-10 9:35,32,10.95,Germany,350.4
272,12471,538174,2010-12-10 9:35,12,4.95,Germany,59.400000000000006
273,12471,538174,2010-12-10 9:35,12,2.95,Germany,35.400000000000006
274,12471,538174,2010-12-10 9:35,24,1.65,Germany,39.599999999999994
275,12471,538174,2010-12-10 9:35,24,1.65,Germany,39.599999999999994
276,12471,538174,2010-12-10 9:35,24,1.65,Germany,39.599999999999994
277,12471,538174,2010-12-10 9:35,36,1.45,Germany,52.199999999999996
278,12471,538174,2010-12-10 9:35,12,1.45,Germany,17.4
279,12471,538174,2010-12-10 9:35,8,4.95,Germany,39.6
280,12471,538174,2010-12-10 9:35,24,0.42,Germany,10.08
281,12471,538174,2010-12-10 9:35,24,0.85,Germany,20.4
282,12471,538174,2010-12-10 9:35,24,0.85,Germany,20.4
283,12471,538174,2010-12-10 9:35,20,1.45,Germany,29.0
285,12471,538174,2010-12-10 9:35,4,14.95,Germany,59.8
286,12471,538174,2010-12-10 9:35,24,3.75,Germany,90.0
287,12471,538174,2010-12-10 9:35,24,0.42,Germany,10.08
288,12471,538174,2010-12-10 9:35,8,8.5,Germany,68.0
289,12471,538174,2010-12-10 9:35,12,0.85,Germany,10.2
290,12471,538174,2010-12-10 9:35,96,0.85,Germany,81.6
291,12471,538174,2010-12-10 9:35,1,16.95,Germany,16.95
292,12471,538174,2010-12-10 9:35,12,2.95,Germany,35.400000000000006
293,12471,538174,2010-12-10 9:35,12,1.45,Germany,17.4
294,12471,538174,2010-12-10 9:35,12,2.55,Germany,30.599999999999998
295,12471,538174,2010-12-10 9:35,12,2.1,Germany,25.200000000000003
296,12471,538174,2010-12-10 9:35,12,2.1,Germany,25.200000000000003
297,12471,538174,2010-12-10 9:35,6,2.1,Germany,12.600000000000001
298,12471,538174,2010-12-10 9:35,100,0.36,Germany,36.0
299,12471,538174,2010-12-10 9:35,12,1.65,Germany,19.799999999999997
300,12471,538174,2010-12-10 9:35,12,1.45,Germany,17.4
301,12471,538174,2010-12-10 9:35,12,7.65,Germany,91.80000000000001
302,12471,538174,2010-12-10 9:35,12,1.25,Germany,15.0
303,12471,538174,2010-12-10 9:35,18,2.25,Germany,40.5
304,12471,538174,2010-12-10 9:35,18,2.95,Germany,53.1
305,12471,538174,2010-12-10 9:35,18,1.25,Germany,22.5
306,12471,538174,2010-12-10 9:35,12,1.65,Germany,19.799999999999997
307,12471,538174,2010-12-10 9:35,12,2.95,Germany,35.400000000000006
308,12471,538175,2010-12-10 9:48,21,18.0,Germany,378.0
325,12600,539327,2010-12-17 9:24,12,1.65,Germany,19.799999999999997
326,12600,539327,2010-12-17 9:24,6,2.95,Germany,17.700000000000003
327,12600,539327,2010-12-17 9:24,12,5.95,Germany,71.4
328,12600,539327,2010-12-17 9:24,12,5.95,Germany,71.4
329,12471,539395,2010-12-17 11:52,6,4.95,Germany,29.700000000000003
330,12471,539395,2010-12-17 11:52,36,0.85,Germany,30.599999999999998
331,12471,539395,2010-12-17 11:52,36,1.45,Germany,52.199999999999996
332,12471,539395,2010-12-17 11:52,24,0.85,Germany,20.4
333,12471,539395,2010-12-17 11:52,48,1.45,Germany,69.6
334,12471,539395,2010-12-17 11:52,18,2.1,Germany,37.800000000000004
335,12471,539395,2010-12-17 11:52,12,1.25,Germany,15.0
336,12471,539395,2010-12-17 11:52,6,2.95,Germany,17.700000000000003
337,12471,539395,2010-12-17 11:52,6,2.95,Germany,17.700000000000003
338,12471,539395,2010-12-17 11:52,12,2.25,Germany,27.0
339,12471,539395,2010-12-17 11:52,12,2.25,Germany,27.0
340,12471,539395,2010-12-17 11:52,48,0.85,Germany,40.8
341,12471,539395,2010-12-17 11:52,24,1.65,Germany,39.599999999999994
342,12471,539395,2010-12-17 11:52,32,10.95,Germany,350.4
343,12471,539395,2010-12-17 11:52,12,2.95,Germany,35.400000000000006
344,12471,539395,2010-12-17 11:52,9,4.95,Germany,44.550000000000004
345,12471,539395,2010-12-17 11:52,12,2.95,Germany,35.400000000000006
346,12471,539395,2010-12-17 11:52,12,1.65,Germany,19.799999999999997
347,12471,539395,2010-12-17 11:52,12,1.65,Germany,19.799999999999997
348,12471,539395,2010-12-17 11:52,12,1.65,Germany,19.799999999999997
349,12471,539395,2010-12-17 11:52,6,8.5,Germany,51.0
350,12471,539395,2010-12-17 11:52,8,4.95,Germany,39.6
351,12471,539395,2010-12-17 11:52,6,14.95,Germany,89.69999999999999
352,12471,539395,2010-12-17 11:52,12,3.75,Germany,45.0
353,12471,539395,2010-12-17 11:52,6,9.95,Germany,59.699999999999996
354,12471,539395,2010-12-17 11:52,6,8.5,Germany,51.0
355,12471,539395,2010-12-17 11:52,11,18.0,Germany,198.0
356,12471,539398,2010-12-17 11:53,6,4.95,Germany,29.700000000000003
357,12709,539401,2010-12-17 12:02,15,4.95,Germany,74.25
358,12709,539401,2010-12-17 12:02,16,10.95,Germany,175.2
359,12709,539401,2010-12-17 12:02,24,0.21,Germany,5.04
360,12709,539401,2010-12-17 12:02,12,12.75,Germany,153.0
361,12709,539401,2010-12-17 12:02,12,12.75,Germany,153.0
362,12709,539401,2010-12-17 12:02,24,1.25,Germany,30.0
363,12709,539401,2010-12-17 12:02,30,6.75,Germany,202.5
364,12647,539403,2010-12-17 12:21,4,3.95,Germany,15.8
365,12647,539403,2010-12-17 12:21,12,1.65,Germany,19.799999999999997
366,12647,539403,2010-12-17 12:21,12,1.25,Germany,15.0
367,12647,539403,2010-12-17 12:21,24,0.85,Germany,20.4
368,12647,539403,2010-12-17 12:21,2,8.5,Germany,17.0
369,12647,539403,2010-12-17 12:21,12,1.25,Germany,15.0
370,12647,539403,2010-12-17 12:21,6,2.95,Germany,17.700000000000003
371,12647,539403,2010-12-17 12:21,4,9.95,Germany,39.8
372,12647,539403,2010-12-17 12:21,4,4.95,Germany,19.8
373,12647,539403,2010-12-17 12:21,2,18.0,Germany,36.0
374,12647,539403,2010-12-17 12:21,1,8.5,Germany,8.5
375,12621,539405,2010-12-17 12:38,6,4.25,Germany,25.5
376,12621,539405,2010-12-17 12:38,12,1.45,Germany,17.4
377,12621,539405,2010-12-17 12:38,12,1.65,Germany,19.799999999999997
378,12621,539405,2010-12-17 12:38,24,0.19,Germany,4.5600000000000005
379,12621,539405,2010-12-17 12:38,24,0.42,Germany,10.08
380,12621,539405,2010-12-17 12:38,24,0.85,Germany,20.4
381,12621,539405,2010-12-17 12:38,48,0.85,Germany,40.8
382,12621,539405,2010-12-17 12:38,30,0.85,Germany,25.5
383,12621,539405,2010-12-17 12:38,12,2.55,Germany,30.599999999999998
384,12621,539405,2010-12-17 12:38,10,1.65,Germany,16.5
385,12621,539405,2010-12-17 12:38,6,5.95,Germany,35.7
386,12621,539405,2010-12-17 12:38,12,1.65,Germany,19.799999999999997
387,12621,539405,2010-12-17 12:38,16,10.95,Germany,175.2
388,12621,539405,2010-12-17 12:38,24,0.65,Germany,15.600000000000001
389,12621,539405,2010-12-17 12:38,24,7.65,Germany,183.60000000000002
390,12621,539405,2010-12-17 12:38,36,4.25,Germany,153.0
391,12621,539405,2010-12-17 12:38,2,8.5,Germany,17.0
392,12621,539405,2010-12-17 12:38,6,18.0,Germany,108.0
393,12720,539408,2010-12-17 12:56,3,4.95,Germany,14.850000000000001
394,12720,539408,2010-12-17 12:56,3,4.95,Germany,14.850000000000001
395,12720,539408,2010-12-17 12:56,4,3.95,Germany,15.8
396,12720,539408,2010-12-17 12:56,4,3.95,Germany,15.8
397,12720,539408,2010-12-17 12:56,24,0.19,Germany,4.5600000000000005
398,12720,539408,2010-12-17 12:56,24,0.21,Germany,5.04
399,12720,539408,2010-12-17 12:56,24,0.21,Germany,5.04
400,12720,539408,2010-12-17 12:56,24,0.21,Germany,5.04
401,12720,539408,2010-12-17 12:56,24,0.21,Germany,5.04
402,12720,539408,2010-12-17 12:56,24,0.65,Germany,15.600000000000001
403,12720,539408,2010-12-17 12:56,5,2.1,Germany,10.5
404,12720,539408,2010-12-17 12:56,10,0.85,Germany,8.5
405,12720,539408,2010-12-17 12:56,24,0.19,Germany,4.5600000000000005
406,12720,539408,2010-12-17 12:56,24,0.19,Germany,4.5600000000000005
407,12720,539408,2010-12-17 12:56,3,18.0,Germany,54.0
409,12705,539446,2010-12-17 15:58,48,0.85,Germany,40.8
410,12705,539446,2010-12-17 15:58,20,1.25,Germany,25.0
411,12705,539446,2010-12-17 15:58,24,0.85,Germany,20.4
412,12705,539446,2010-12-17 15:58,30,0.42,Germany,12.6
413,12705,539446,2010-12-17 15:58,24,1.25,Germany,30.0
414,12705,539446,2010-12-17 15:58,20,1.25,Germany,25.0
415,12705,539446,2010-12-17 15:58,20,1.25,Germany,25.0
416,12705,539446,2010-12-17 15:58,8,4.65,Germany,37.2
417,12705,539446,2010-12-17 15:58,12,2.95,Germany,35.400000000000006
418,12705,539446,2010-12-17 15:58,12,3.75,Germany,45.0
419,12705,539446,2010-12-17 15:58,4,4.25,Germany,17.0
420,12705,539446,2010-12-17 15:58,12,1.25,Germany,15.0
421,12705,539446,2010-12-17 15:58,12,0.85,Germany,10.2
422,12705,539446,2010-12-17 15:58,6,2.95,Germany,17.700000000000003
423,12705,539446,2010-12-17 15:58,6,2.95,Germany,17.700000000000003
424,12705,539446,2010-12-17 15:58,24,1.95,Germany,46.8
425,12705,539446,2010-12-17 15:58,6,2.1,Germany,12.600000000000001
426,12705,539446,2010-12-17 15:58,6,2.95,Germany,17.700000000000003
427,12705,539446,2010-12-17 15:58,12,1.65,Germany,19.799999999999997
428,12705,539446,2010-12-17 15:58,20,1.95,Germany,39.0
429,12705,539446,2010-12-17 15:58,12,1.25,Germany,15.0
430,12705,539446,2010-12-17 15:58,12,1.25,Germany,15.0
431,12705,539446,2010-12-17 15:58,12,1.25,Germany,15.0
432,12705,539446,2010-12-17 15:58,4,12.75,Germany,51.0
433,12705,539446,2010-12-17 15:58,2,9.95,Germany,19.9
434,12705,539446,2010-12-17 15:58,2,12.75,Germany,25.5
435,12705,539446,2010-12-17 15:58,3,4.95,Germany,14.850000000000001
436,12705,539446,2010-12-17 15:58,3,4.95,Germany,14.850000000000001
437,12705,539446,2010-12-17 15:58,12,1.25,Germany,15.0
438,12705,539446,2010-12-17 15:58,9,18.0,Germany,162.0
439,12668,539466,2010-12-19 12:46,24,0.19,Germany,4.5600000000000005
440,12668,539466,2010-12-19 12:46,24,0.19,Germany,4.5600000000000005
441,12668,539466,2010-12-19 12:46,24,0.19,Germany,4.5600000000000005
442,12668,539466,2010-12-19 12:46,12,0.85,Germany,10.2
443,12668,539466,2010-12-19 12:46,40,0.85,Germany,34.0
444,12668,539466,2010-12-19 12:46,24,0.42,Germany,10.08
445,12668,539466,2010-12-19 12:46,20,0.42,Germany,8.4
446,12668,539466,2010-12-19 12:46,20,0.42,Germany,8.4
447,12668,539466,2010-12-19 12:46,12,1.25,Germany,15.0
448,12668,539466,2010-12-19 12:46,12,1.25,Germany,15.0
