day,weekend,price_1,price_2,sales_1,sales_1_old
239,1,85.5,95,198,226
240,0,81,90,89,198
241,0,90,100,90,89
242,0,70,100,121,90
243,0,81,90,81,121
244,0,85.5,95,119,81
245,1,85.5,95,181,119
246,1,63,90,235,181
247,0,85.5,95,79,235
248,0,90,100,89,79
249,0,81,90,100,89
250,0,90,100,65,100
251,0,90,100,112,65
252,1,90,100,206,112
253,1,81,90,208,206
254,0,81,90,101,208
255,0,66.5,95,116,101
256,0,90,100,95,116
257,0,90,100,85,95
258,0,90,100,92,85
259,1,81,90,178,92
260,1,90,100,192,178
261,0,90,100,89,192
262,0,90,100,115,89
263,0,70,100,141,115
264,0,85.5,95,92,141
265,0,70,100,152,92
266,1,85.5,95,228,152
267,1,81,90,181,228
268,0,85.5,95,80,181
269,0,70,100,137,80
270,0,70,100,129,137
271,0,85.5,95,92,129
272,0,90,100,81,92
273,1,85.5,95,187,81
274,1,85.5,95,184,187
275,0,90,100,73,184
276,0,66.5,95,149,73
277,0,90,100,79,149
278,0,66.5,95,129,79
279,0,85.5,95,124,129
280,1,90,100,191,124
281,1,90,100,198,191
282,0,90,100,82,198
283,0,70,100,118,82
284,0,90,100,65,118
285,0,90,100,91,65
286,0,85.5,95,92,91
287,1,85.5,95,222,92
288,1,85.5,95,204,222
289,0,90,100,62,204
290,0,70,100,138,62
291,0,70,100,142,138
292,0,90,100,93,142
293,0,90,100,86,93
294,1,81,90,223,86
295,1,81,90,231,223
296,0,85.5,95,116,231
297,0,90,100,69,116
298,0,85.5,95,84,69
299,0,90,100,68,84
300,0,90,100,62,68
,,,,,62
