sample,male,age,attribute,benefit,value
116,1,29,3,9,5
117,0,36,8,10,1
118,0,24,8,4,2
119,0,43,6,4,2
120,1,34,7,8,1
121,1,41,7,10,5
122,0,26,6,4,5
123,0,46,3,6,4
124,0,41,1,2,3
125,1,39,2,4,4
126,1,25,4,9,1
127,0,25,4,7,1
128,1,43,8,10,1
129,1,39,8,6,5
130,1,39,7,7,3
131,1,37,6,6,4
132,0,25,5,9,5
133,1,31,6,10,1
134,0,29,9,10,3
135,0,48,2,5,2
136,0,33,3,7,1
137,1,30,2,6,4
138,0,45,7,7,1
139,0,27,7,8,3
140,1,26,5,7,3
141,1,29,4,7,1
142,1,49,2,5,4
143,1,24,2,6,2
144,0,49,2,4,5
145,1,31,8,10,1
146,0,37,4,9,5
147,0,41,8,6,5
148,0,23,5,7,1
149,0,49,4,9,3
150,0,48,2,5,4
151,1,47,2,4,4
152,1,24,6,6,4
153,0,43,4,7,3
154,1,31,3,7,3
155,0,43,7,10,1
156,0,47,8,10,1
157,0,38,4,3,2
158,0,32,9,5,4
159,1,35,8,4,2
160,1,36,9,7,3
161,1,37,9,2,1
162,1,48,3,9,3
163,1,28,5,7,1
164,0,44,4,7,1
165,1,37,9,4,4
166,0,49,7,8,1
167,0,45,7,7,4
168,1,45,2,4,4
169,1,35,6,6,4
170,0,28,2,5,4
171,1,39,6,4,2
172,0,23,3,9,5
173,1,45,6,4,4
174,1,33,3,3,4
175,0,30,5,9,4
176,0,39,9,7,5
177,0,43,9,2,1
178,1,30,4,7,3
179,1,49,7,7,1
180,1,26,7,8,3
181,0,40,1,2,1
182,1,48,4,3,4
183,1,28,6,6,5
184,0,47,4,7,1
185,1,39,5,7,3
186,0,33,4,3,5
187,1,33,9,7,5
188,1,41,7,8,3
189,1,25,3,3,4
190,0,29,9,10,3
191,0,26,4,7,3
192,1,47,2,4,2
193,1,48,7,10,1
194,1,37,8,6,4
195,0,23,9,2,1
196,0,33,1,2,1
197,0,24,2,4,5
198,1,30,6,4,2
199,0,43,5,7,3
200,0,25,8,10,3
201,1,40,1,2,1
202,0,45,3,7,1
203,1,37,3,3,4
204,0,46,9,7,1
205,0,32,8,4,2
206,0,36,9,10,1
207,0,27,4,7,1
208,0,45,4,7,1
209,1,41,1,4,2
210,0,46,8,4,2
211,1,45,6,10,3
212,0,26,8,4,2
213,1,24,1,2,1
214,0,28,7,7,1
215,1,32,4,7,1
216,1,41,2,5,4
217,0,29,4,7,3
218,0,44,2,6,4
219,0,46,4,7,3
220,1,34,2,4,2
221,0,33,9,2,3
222,0,33,1,2,1
223,1,44,4,7,1
224,0,47,3,9,5
225,0,24,4,7,3
226,0,38,4,9,5
227,0,46,5,7,1
228,0,27,7,7,1
229,1,24,10,2,1
230,1,25,8,10,3
231,0,40,2,5,2
232,0,37,2,4,2
233,1,27,7,8,3
234,0,31,5,7,1
235,0,37,1,2,1
236,1,40,10,2,1
237,1,36,3,7,1
238,0,41,4,3,4
239,0,27,3,9,1
240,0,38,8,10,1
241,1,49,7,8,3
242,0,45,3,7,1
243,1,39,2,4,2
244,0,40,3,7,1
245,1,48,6,4,2
246,1,42,2,6,1
247,1,30,6,4,5
248,1,25,7,8,3
249,1,48,7,8,3
250,1,39,4,7,3
251,1,43,6,4,4
252,0,39,9,7,1
253,1,39,5,7,3
254,0,34,4,3,4
255,1,49,3,6,4
256,0,34,2,5,5
257,1,42,10,2,3
258,0,48,2,4,2
259,0,35,6,10,1
260,1,48,8,4,4
261,1,41,10,2,1
262,1,31,3,6,4
263,1,25,4,7,1
264,1,49,4,7,1
265,0,26,2,4,2
266,1,44,1,2,1
267,0,25,2,4,2
268,1,46,8,6,5
269,1,37,2,5,4
270,1,36,5,9,5
271,1,35,4,7,1
272,1,31,6,6,4
273,1,33,7,7,3
274,0,29,4,7,1
275,0,41,4,9,5
276,1,27,6,4,2
277,0,33,4,7,1
278,0,36,2,4,2
279,0,29,4,9,5
280,1,34,8,4,5
281,0,43,8,10,3
282,0,44,4,7,3
283,1,43,5,7,3
284,1,37,6,4,4
285,0,37,9,10,1
286,1,45,2,5,5
287,0,36,6,6,5
288,1,46,3,7,1
289,1,42,2,4,5
290,1,34,4,9,1
291,0,27,5,7,1
292,0,30,4,7,1
293,1,36,7,10,5
294,1,38,8,10,3
295,0,41,4,9,5
296,1,41,3,6,4
297,1,37,6,4,2
298,0,29,7,10,1
299,0,30,8,4,5
300,0,40,10,2,1
301,0,48,9,10,3
302,0,39,9,10,5
303,1,46,1,2,3
304,0,42,9,10,3
305,0,24,5,7,1
306,0,24,6,6,4
307,1,31,1,2,3
308,0,48,1,2,1
309,0,36,8,6,4
310,1,43,4,7,1
311,0,24,10,2,1
312,1,36,7,8,1
313,1,23,7,10,1
314,1,48,1,2,3
315,0,38,1,2,3
316,0,39,1,2,1
317,0,35,5,7,1
318,1,28,4,7,1
319,0,31,4,9,5
320,0,26,5,7,1
321,0,32,7,10,1
322,1,24,9,10,1
323,0,29,5,2,3
324,1,39,1,2,1
325,0,46,2,5,5
326,1,31,4,3,2
327,0,32,1,5,4
328,0,36,5,7,3
329,1,37,6,4,4
330,0,44,9,10,1
331,1,44,4,3,4
332,1,41,2,4,2
333,1,28,1,2,3
334,1,24,4,7,3
335,0,40,6,4,2
336,1,27,3,7,3
337,1,41,9,7,2
338,1,45,4,9,5
339,1,47,2,4,2
340,1,35,2,5,4
341,0,24,5,7,3
342,0,44,8,4,2
343,1,34,2,6,5
344,0,24,5,9,5
345,1,35,3,7,3
346,1,42,6,4,2
347,0,38,7,8,1
348,1,36,5,9,3
349,0,26,2,5,5
350,0,44,4,7,1
351,0,31,6,4,2
352,1,35,2,5,2
353,0,49,5,9,3
354,1,40,2,6,5
355,1,25,6,6,5
356,1,23,2,4,2
357,0,49,4,9,1
358,1,35,9,2,1
359,1,25,1,2,1
360,1,48,4,9,5
361,1,32,8,4,4
362,0,39,7,7,3
363,0,29,8,4,2
364,1,29,3,7,1
365,1,36,8,4,2
366,0,37,3,7,1
367,1,29,8,10,3
368,0,41,2,5,5
369,1,42,3,7,1
370,0,43,8,4,4
371,1,38,7,7,1
372,1,35,4,9,2
373,1,46,7,8,3
374,0,46,6,10,3
375,0,31,8,10,3
376,1,40,3,9,5
377,0,42,7,8,3
378,1,39,8,10,3
379,0,26,8,6,2
380,1,41,8,10,3
381,1,29,7,10,3
382,1,30,4,3,5
383,1,34,1,2,3
384,0,34,5,7,1
385,0,43,9,2,1
386,0,40,2,5,5
387,0,39,6,4,2
388,0,49,2,5,4
389,0,43,6,6,4
390,0,48,4,3,2
391,0,46,6,4,2
392,1,43,5,4,5
393,0,36,1,2,1
394,1,45,2,5,4
395,1,39,3,9,5
396,1,34,4,7,1
397,1,29,6,4,2
398,0,47,8,10,5
399,1,39,8,6,4
400,0,34,2,6,3
401,1,41,8,4,2
402,0,49,1,2,1
403,0,44,8,10,1
404,1,48,9,10,1
405,1,43,3,3,5
406,1,37,2,6,4
407,1,32,6,4,2
408,1,27,4,7,1
409,1,40,3,6,4
410,0,40,6,4,4
411,1,37,6,10,1
412,0,35,6,6,4
413,0,25,8,4,4
414,0,27,2,6,5
415,1,28,2,5,5
416,1,36,3,9,1
417,0,39,3,7,3
418,1,40,8,10,3
419,1,33,2,4,2
420,1,47,9,10,3
421,1,25,1,2,1
422,0,44,4,3,4
423,0,39,4,3,4
424,1,26,7,8,3
425,0,46,3,7,3
426,1,34,8,6,4
427,1,30,8,10,3
428,1,31,5,9,3
429,1,25,4,7,1
430,1,29,2,4,2
431,0,41,3,6,4
432,0,43,3,9,5
433,0,29,3,9,3
434,0,40,4,9,5
435,0,23,1,2,1
436,1,45,4,9,3
437,1,43,4,7,3
438,1,38,4,7,1
439,0,47,8,10,3
440,0,42,4,9,1
441,1,42,2,5,5
442,0,31,8,10,3
443,1,28,8,10,5
444,1,24,6,4,4
445,0,30,7,8,3
446,1,44,2,4,4
447,0,32,8,6,4
448,0,30,9,10,5
449,1,41,9,5,5
450,1,47,8,6,5
451,1,26,2,4,2
452,1,24,7,10,3
453,0,38,1,2,3
454,1,30,3,9,5
455,0,48,6,6,4
456,1,30,6,6,5
457,0,30,8,10,1
458,0,39,6,6,5
459,1,24,4,9,1
460,1,30,6,10,3
461,0,37,7,10,3
462,1,45,6,6,4
463,1,23,6,10,3
464,0,36,4,9,3
465,1,41,7,7,1
466,1,24,8,6,4
467,1,30,7,7,2
468,0,27,3,9,3
469,0,40,5,7,1
470,0,49,4,3,4
471,1,27,9,10,3
472,1,45,7,8,3
473,0,47,8,4,1
474,0,30,8,6,4
475,1,30,5,7,1
476,1,31,3,9,1
477,1,23,7,8,3
478,0,25,4,7,1
479,1,30,1,2,1
480,1,47,4,7,1
481,0,36,2,5,5
482,0,45,2,6,3
483,0,30,2,6,5
484,0,34,6,10,3
485,0,38,8,10,3
486,0,35,8,10,3
487,1,31,8,10,5
488,1,28,8,10,1
489,0,35,4,3,4
490,0,44,1,2,1
491,0,26,2,4,4
492,0,33,2,4,2
493,0,38,3,7,1
494,1,28,6,4,5
495,1,30,5,9,1
496,1,33,8,4,4
497,0,32,9,2,1
498,0,29,2,4,4
499,0,30,3,6,5
500,0,23,6,6,4
