id,conversion,monetary,frequency,age,male
178,0,83,1,45,0
179,0,69,6,50,0
180,1,78,5,23,0
181,1,26,7,29,0
182,0,3,8,31,1
183,1,56,0,45,0
184,0,94,6,28,1
185,0,70,9,39,1
186,1,28,2,22,1
187,0,74,2,26,0
188,1,92,2,43,0
189,0,93,3,25,1
190,1,44,6,48,1
191,1,0,1,28,0
192,0,68,7,25,0
193,0,60,0,54,1
194,0,58,6,41,1
195,1,23,2,46,0
196,0,18,4,51,1
197,0,68,6,52,1
198,0,27,8,26,0
199,1,5,0,33,0
200,0,60,7,23,1
201,1,92,2,53,0
202,1,33,3,52,1
203,0,43,1,37,0
204,1,21,3,28,0
205,0,15,9,43,1
206,0,11,7,42,0
207,0,65,3,38,0
208,0,70,9,42,1
209,1,15,3,22,1
210,0,63,9,31,0
211,1,4,10,38,1
212,1,35,4,30,1
213,0,82,5,29,1
214,1,1,9,42,1
215,0,82,4,33,0
216,0,37,4,34,1
217,1,29,10,50,0
218,0,84,2,24,0
219,0,99,4,27,0
220,1,71,1,45,0
221,0,81,9,34,0
222,1,2,9,31,0
223,0,28,2,41,0
224,0,16,7,44,0
225,1,46,9,28,1
226,1,69,7,39,1
227,0,71,10,42,1
228,1,60,8,25,1
229,1,8,3,46,0
230,0,25,10,23,1
231,1,1,2,49,0
232,1,38,9,26,1
233,1,62,7,27,1
234,0,61,6,48,1
235,0,13,8,41,0
236,1,100,3,38,1
237,1,80,6,48,0
238,1,58,7,22,1
239,0,26,3,30,0
240,0,76,4,49,1
241,1,62,4,28,0
242,1,30,0,51,1
243,0,30,3,29,1
244,1,40,8,53,1
245,1,6,6,42,0
246,0,21,4,36,1
247,0,65,2,24,0
248,1,77,8,33,0
249,1,25,10,35,1
250,1,79,7,24,1
251,1,3,3,41,1
252,1,24,7,35,0
253,1,75,4,38,0
254,0,67,5,55,1
255,1,58,5,38,0
256,0,90,3,52,1
257,0,55,8,39,1
258,1,9,0,53,0
259,0,66,2,40,1
260,1,26,0,42,1
261,0,77,5,52,1
262,0,53,10,34,0
263,1,52,3,51,1
264,1,84,5,44,0
265,1,2,1,28,0
266,0,4,1,41,1
267,0,42,7,30,0
268,1,25,8,44,0
269,0,71,6,54,1
270,1,78,2,25,0
271,0,27,9,34,0
272,0,40,5,28,1
273,0,40,10,47,1
274,1,92,3,48,1
275,0,51,3,39,0
276,1,2,8,55,1
277,0,16,5,26,0
278,1,34,1,53,1
279,0,49,7,22,0
280,0,38,10,48,1
281,0,46,2,39,0
282,0,31,7,53,1
283,1,69,1,55,0
284,0,15,7,37,1
285,1,68,7,24,1
286,0,70,3,28,0
287,0,50,8,50,1
288,1,38,1,26,0
289,0,89,9,42,1
290,0,72,4,29,0
291,0,91,7,53,0
292,1,37,8,54,1
293,0,73,6,37,1
294,0,76,0,49,0
295,1,46,9,30,1
296,0,54,9,34,1
297,0,48,1,41,0
298,0,73,8,35,0
299,0,75,5,49,1
300,1,81,5,41,0
301,0,46,5,43,0
302,0,83,10,55,0
303,1,11,7,39,0
304,1,33,4,30,0
305,1,59,9,43,0
306,1,4,2,39,1
307,1,17,7,25,0
308,1,73,0,47,1
309,1,80,1,45,1
310,0,12,10,34,0
311,0,75,6,28,1
312,0,50,7,41,0
313,0,64,0,35,0
314,0,91,2,25,0
315,1,12,0,54,0
316,0,48,6,50,1
317,1,17,0,34,1
318,0,81,6,49,1
319,1,77,7,42,0
320,1,97,6,47,0
321,0,97,0,45,0
322,0,88,5,45,0
323,1,80,6,46,0
324,1,78,10,34,0
325,1,3,3,44,0
326,0,37,2,41,0
327,0,79,3,53,1
328,0,89,3,34,1
329,0,65,2,35,0
330,0,93,3,47,1
331,1,80,0,33,0
332,1,95,6,43,0
333,1,3,10,53,0
334,0,97,7,26,1
335,0,66,1,29,0
336,1,3,10,26,0
337,1,86,2,43,1
338,1,68,3,25,1
339,0,85,1,32,0
340,1,55,3,24,1
341,0,0,9,42,0
342,0,6,7,40,1
343,0,35,10,52,0
344,1,20,7,26,0
345,1,69,6,39,0
346,0,91,9,31,1
347,0,26,10,22,0
348,0,22,4,33,1
349,0,27,3,28,1
350,0,75,0,35,1
351,1,62,6,23,1
352,1,1,6,38,0
353,1,64,3,43,1
354,1,20,6,42,1
355,1,83,10,27,0
356,0,51,10,42,0
357,0,61,6,36,0
358,1,74,3,47,0
359,0,94,0,48,0
360,1,11,5,47,0
361,1,48,1,26,1
362,0,69,5,50,0
363,0,49,6,49,1
364,0,10,4,22,0
365,1,37,8,27,1
366,1,22,9,50,1
367,1,71,8,22,1
368,1,42,2,34,1
369,1,56,2,44,1
370,1,14,2,25,0
371,1,58,3,45,1
372,0,64,5,46,1
373,1,35,6,47,1
374,0,7,3,39,0
375,0,64,5,31,1
376,0,34,6,51,1
377,1,68,1,33,1
378,1,81,5,23,1
379,1,89,4,35,1
380,0,19,6,55,0
381,1,31,5,53,0
382,1,99,3,38,1
383,0,15,2,32,1
384,1,72,9,31,0
385,1,83,7,37,1
386,1,66,10,49,0
387,0,90,1,32,0
388,0,22,1,29,1
389,0,72,1,53,0
390,0,89,3,26,1
391,1,37,8,48,0
392,0,84,1,24,0
393,1,53,7,28,1
394,0,81,6,26,1
395,1,94,8,27,1
396,0,80,10,28,1
397,0,13,5,38,1
398,0,33,1,29,1
399,0,40,9,45,1
400,1,20,0,29,1
401,0,87,8,47,0
402,1,91,0,31,0
403,0,78,6,37,0
404,1,91,1,33,1
405,1,3,3,54,1
406,1,51,1,24,1
407,1,85,10,42,1
408,1,18,6,30,0
409,1,25,10,35,1
410,1,28,0,33,1
411,1,15,8,30,1
412,1,20,5,22,1
413,0,54,3,54,1
414,1,24,5,50,1
415,0,72,8,43,1
416,1,73,7,35,0
417,0,46,8,55,0
418,0,8,9,51,0
419,0,44,7,43,0
420,0,68,0,26,1
421,0,46,0,44,1
422,1,4,3,36,0
423,0,61,0,31,1
424,1,13,0,39,1
425,0,86,4,55,1
426,1,92,1,46,0
427,1,22,9,27,1
428,0,58,10,38,1
429,0,82,4,28,0
430,0,7,6,52,1
431,0,77,6,30,1
432,1,93,10,34,0
433,1,25,5,40,0
434,0,38,7,52,1
435,1,87,2,23,1
436,1,5,10,23,0
437,0,76,1,44,0
438,1,33,3,55,1
439,1,67,3,45,1
440,1,19,0,51,0
441,1,3,1,37,1
442,1,45,2,47,1
443,1,44,3,30,1
444,1,58,3,54,0
445,1,33,4,35,1
446,0,59,1,37,0
447,1,16,8,35,1
448,0,89,9,35,0
449,0,99,7,54,0
450,1,52,7,29,1
451,1,48,2,47,1
452,0,38,8,42,0
453,0,75,0,24,1
454,1,62,7,47,1
455,0,81,7,30,1
456,0,80,0,36,0
457,0,43,6,54,0
458,0,27,3,28,1
459,1,41,4,43,1
460,0,92,1,54,0
461,1,30,4,26,1
462,1,26,7,54,0
463,0,16,1,48,0
464,0,52,1,34,0
465,1,37,8,27,1
466,0,39,9,49,0
467,0,12,1,34,0
468,1,1,5,49,1
469,0,65,0,29,1
470,1,80,2,31,0
471,1,24,0,32,0
472,1,92,7,27,0
473,1,96,1,29,1
474,1,19,6,31,1
475,1,29,9,51,1
476,1,16,7,32,0
477,1,100,5,42,1
478,1,28,3,42,0
479,0,11,6,41,0
480,1,29,10,22,1
481,0,6,3,23,0
482,0,18,4,54,1
483,0,10,10,30,1
484,1,49,1,39,0
485,0,32,10,36,0
486,1,65,5,30,0
487,1,21,3,50,1
488,0,75,9,31,0
489,0,59,0,28,0
490,0,9,2,24,0
491,1,22,10,37,0
492,1,82,9,33,1
493,1,80,6,28,0
494,1,47,5,49,0
495,1,95,6,39,1
496,0,74,3,27,0
497,0,61,1,31,0
498,1,72,0,41,1
499,0,57,1,27,1
500,1,44,6,25,0
501,0,68,8,34,1
502,0,64,8,22,0
503,0,88,2,22,0
504,0,12,5,32,0
505,0,98,8,42,0
506,0,39,10,27,0
507,1,61,8,27,0
508,0,39,4,40,0
509,1,18,1,42,0
510,0,22,1,26,1
511,1,70,3,41,0
512,0,84,1,43,0
513,1,76,5,24,0
514,1,61,9,44,0
515,0,76,0,53,1
516,0,42,7,36,0
517,0,4,3,54,0
518,0,13,4,32,1
519,0,60,2,36,0
520,1,80,10,33,0
521,1,25,0,46,1
522,0,17,4,36,0
523,0,20,5,31,1
524,1,70,5,34,0
525,1,85,9,53,0
526,0,92,3,25,1
527,0,67,9,37,1
528,0,75,0,55,0
529,1,72,6,24,1
530,1,34,0,47,1
531,1,18,2,55,0
532,0,64,8,28,0
533,0,0,2,27,0
534,1,99,2,40,0
535,0,79,9,26,0
536,0,21,1,33,0
537,1,83,10,50,1
538,1,51,6,48,1
539,0,78,5,28,0
540,1,25,0,41,1
541,0,78,4,28,0
542,1,93,0,25,0
543,0,49,10,35,1
544,0,70,6,33,1
545,0,61,3,41,0
546,1,85,0,47,1
547,0,33,7,55,0
548,0,11,6,50,0
549,0,75,4,27,0
550,0,56,8,33,1
551,1,2,4,44,0
552,0,10,7,22,1
553,1,20,9,50,1
554,0,67,9,42,0
555,0,39,9,44,0
556,0,61,5,42,1
557,0,89,0,34,1
558,0,56,0,24,1
559,0,81,4,54,0
560,0,96,10,23,0
561,1,10,8,22,1
562,1,24,4,42,1
563,0,36,10,51,0
564,1,96,5,53,1
565,0,65,4,24,1
566,0,62,7,26,0
567,1,69,5,38,0
568,0,86,1,38,0
569,1,2,9,47,1
570,1,40,0,51,1
571,1,92,6,52,1
572,1,77,8,37,0
573,1,83,2,22,1
574,1,41,6,26,0
575,1,20,5,47,1
576,1,1,7,45,1
577,1,39,1,45,0
578,0,5,7,22,1
579,1,52,5,24,1
580,0,43,3,33,0
581,0,54,10,24,1
582,0,61,0,49,1
583,1,39,2,52,0
584,1,98,7,53,0
585,0,43,0,37,1
586,1,20,3,42,1
587,0,44,2,40,0
588,0,34,2,35,0
589,0,38,4,45,1
590,0,67,7,30,0
591,0,33,10,27,1
592,1,85,5,40,1
593,0,61,2,32,1
594,1,99,10,53,1
595,0,16,1,40,0
596,1,17,1,37,1
597,0,81,2,28,1
598,0,57,7,24,0
599,1,88,9,43,1
600,0,78,0,37,0
601,1,22,1,46,0
602,1,39,0,34,0
603,0,28,5,31,1
604,0,56,10,48,1
605,1,0,9,37,1
606,1,97,10,45,1
607,1,99,1,46,1
608,1,13,3,45,0
609,0,79,3,38,1
610,1,48,0,42,1
611,1,61,9,23,1
612,1,35,2,47,0
613,0,81,4,44,1
614,1,73,6,46,1
615,1,94,10,43,1
616,1,46,7,48,1
617,0,84,4,30,1
618,0,66,9,29,1
619,0,72,4,36,1
620,1,74,6,43,1
621,0,61,5,29,1
622,0,62,6,31,1
623,0,30,9,34,0
624,1,77,10,41,0
625,1,69,3,24,0
626,0,40,10,50,0
627,0,65,7,36,1
628,1,62,7,42,1
629,0,80,8,49,0
630,1,25,8,42,1
631,0,61,7,43,1
632,1,63,2,45,0
633,0,57,4,34,0
634,1,10,9,48,1
635,0,67,1,36,0
636,0,59,0,55,1
637,0,54,0,38,1
638,0,12,10,52,1
639,1,10,0,41,1
640,0,19,0,46,1
641,1,45,3,53,0
642,1,73,3,52,1
643,1,22,4,26,0
644,0,81,1,22,1
645,1,94,8,26,0
646,0,10,4,47,0
647,1,24,8,46,1
648,0,10,0,41,0
649,1,24,8,52,0
650,1,64,10,31,0
651,1,63,10,34,0
652,1,23,9,38,1
653,0,90,3,27,1
654,0,65,7,26,0
655,0,43,8,22,0
656,0,36,8,40,0
657,1,41,8,48,1
658,0,22,4,39,0
659,1,64,3,37,1
660,1,98,1,46,1
661,1,69,9,26,1
662,0,57,7,35,1
663,0,65,5,50,1
664,0,99,9,50,1
665,1,58,1,45,0
666,1,55,5,36,1
667,0,81,4,55,0
668,1,84,5,55,0
669,1,85,6,36,0
670,1,62,5,28,0
671,1,58,0,45,0
672,1,22,1,37,0
673,1,78,9,51,1
674,1,36,0,26,1
675,1,53,9,49,0
676,1,29,8,48,0
677,0,74,9,34,1
678,0,38,0,54,1
679,1,18,0,30,1
680,1,21,8,51,0
681,0,29,8,25,0
682,1,29,0,47,1
683,0,35,4,51,0
684,1,34,0,22,1
685,0,89,4,45,0
686,0,50,0,53,0
687,0,68,0,22,0
688,0,42,4,45,0
689,1,98,0,34,1
690,1,41,5,26,0
691,1,64,9,54,0
692,0,27,1,54,1
693,0,88,6,34,1
694,0,10,3,50,0
695,0,12,1,44,1
696,1,69,0,33,1
697,0,75,7,40,1
698,1,2,1,33,0
699,0,71,9,35,0
700,1,64,9,39,1
701,0,68,2,50,0
702,0,52,1,41,1
703,0,66,1,29,1
704,0,50,6,47,0
705,1,15,6,30,1
706,0,81,3,36,1
707,1,94,2,43,1
708,0,87,9,33,0
709,0,67,0,26,0
710,1,35,5,23,0
711,1,64,10,39,0
712,1,11,2,38,0
713,0,81,9,30,0
714,1,31,4,35,1
715,1,2,0,23,0
716,1,94,8,27,0
717,1,1,1,55,0
718,0,71,8,32,0
719,0,22,9,29,1
720,0,82,1,39,0
721,0,81,10,51,0
722,0,22,3,33,0
723,0,28,7,53,0
724,1,100,6,41,0
725,0,39,8,47,1
726,1,97,9,34,1
727,0,64,2,40,0
728,0,22,3,35,1
729,1,4,9,54,1
730,1,40,2,24,1
731,0,38,2,38,1
732,0,97,10,29,1
733,0,53,9,50,0
734,0,37,10,37,1
735,0,27,10,39,1
736,0,74,0,34,1
737,0,45,0,36,1
738,1,48,0,34,1
739,0,39,3,41,1
740,0,65,10,26,0
741,1,22,2,52,1
742,1,59,3,48,1
743,1,85,7,27,1
744,1,4,10,27,0
745,1,99,3,33,0
746,0,59,4,34,0
747,1,24,10,51,0
748,0,30,7,53,1
749,0,13,4,30,1
750,0,44,2,36,1
751,1,12,7,40,1
752,1,16,0,42,0
753,0,88,2,51,1
754,0,55,4,43,1
755,0,69,1,24,0
756,0,57,6,54,1
757,0,77,9,44,1
758,0,79,4,49,1
759,1,47,2,37,1
760,0,45,9,50,0
761,1,93,2,46,1
762,1,11,0,46,1
763,1,73,2,48,0
764,0,21,1,26,1
765,0,9,5,55,0
766,0,63,3,53,0
767,0,87,1,27,0
768,1,59,2,39,1
769,0,30,8,35,0
770,1,60,9,43,1
771,1,44,7,36,1
772,1,93,10,46,1
773,1,0,2,30,0
774,0,77,6,30,1
775,1,29,7,23,0
776,1,19,2,25,1
777,1,47,4,53,0
778,1,53,6,45,0
779,0,10,10,28,0
780,1,91,6,49,1
781,0,71,1,34,1
782,0,82,3,24,0
783,0,2,2,31,1
784,0,90,7,52,1
785,0,52,4,34,0
786,1,43,8,52,1
787,0,47,3,25,1
788,1,92,10,54,0
789,0,26,0,36,1
790,1,62,6,46,0
791,1,73,10,31,0
792,1,28,0,38,0
793,1,91,4,48,1
794,0,71,4,51,0
795,1,37,3,30,1
796,0,84,0,46,0
797,0,34,8,25,0
798,1,3,7,28,1
799,1,78,9,48,1
800,1,0,10,44,0
801,1,42,1,34,1
802,1,80,3,50,1
803,0,18,1,41,0
804,0,48,10,45,0
805,0,39,4,42,0
806,0,49,7,40,1
807,1,11,1,23,0
808,0,97,3,25,1
809,1,88,1,42,0
810,0,15,1,48,0
811,1,53,3,43,1
812,0,34,7,50,1
813,1,71,6,46,0
814,1,65,7,52,0
815,1,80,3,47,1
816,0,66,7,43,1
817,0,31,7,40,1
818,0,37,9,42,0
819,0,68,4,38,1
820,0,70,5,46,1
821,1,9,1,22,1
822,0,75,2,31,0
823,0,75,5,54,0
824,0,43,2,30,0
825,0,60,0,29,1
826,0,70,5,38,1
827,0,9,3,30,0
828,0,68,9,36,0
829,1,9,5,48,1
830,1,24,8,46,0
831,0,5,6,55,0
832,1,14,6,45,0
833,0,59,2,32,0
834,0,56,6,47,0
835,1,32,4,51,0
836,0,4,8,50,1
837,1,14,0,22,1
838,1,95,2,47,0
839,1,96,6,39,0
840,0,17,6,54,1
841,1,20,9,38,1
842,1,69,1,52,1
843,0,60,2,37,0
844,1,3,6,47,1
845,0,29,4,39,1
846,1,84,5,25,1
847,1,81,8,42,0
848,1,52,2,49,1
849,0,50,10,47,1
850,1,43,1,26,0
851,0,46,8,23,0
852,0,100,9,45,1
853,0,90,6,48,0
854,1,4,5,36,1
855,1,72,3,27,1
856,0,35,2,36,1
857,1,34,5,55,0
858,1,94,2,40,1
859,0,17,6,38,1
860,1,45,5,45,1
861,0,21,10,28,1
862,1,29,0,52,0
863,0,91,7,35,1
864,1,61,10,33,0
865,1,12,3,48,1
866,1,48,2,22,1
867,0,54,9,43,1
868,0,48,5,39,0
869,0,90,7,25,0
870,0,37,4,34,1
871,1,65,2,45,1
872,0,54,4,54,1
873,1,91,10,54,1
874,1,40,2,47,1
875,1,0,1,22,1
876,1,5,3,46,0
877,1,4,1,34,0
878,1,14,6,25,1
879,1,8,5,43,0
880,0,77,7,26,0
881,1,67,5,24,0
882,0,39,1,47,1
883,1,47,9,28,1
884,1,55,8,48,0
885,1,3,3,23,1
886,0,92,5,26,1
887,1,15,3,53,0
888,0,29,10,23,0
889,1,64,3,38,1
890,0,4,2,48,1
891,0,73,1,23,0
892,0,78,9,51,0
893,0,75,5,41,1
894,1,11,6,28,0
895,0,45,10,42,1
896,1,86,6,25,0
897,1,98,3,31,0
898,1,48,10,22,1
899,0,24,2,35,0
900,0,43,4,50,0
901,0,87,8,30,1
902,1,33,0,45,1
903,0,41,10,55,0
904,0,27,9,41,1
905,0,53,9,24,0
906,0,44,10,39,0
907,0,71,6,41,1
908,1,33,8,47,0
909,0,72,8,44,0
910,1,16,8,36,0
911,0,4,7,47,0
912,1,64,1,30,1
913,0,96,9,53,0
914,1,20,7,52,0
915,0,90,4,45,1
916,1,69,1,42,1
917,1,38,0,47,1
918,1,37,6,44,1
919,1,64,5,43,0
920,1,7,0,54,0
921,1,74,2,52,0
922,0,24,6,55,1
923,1,54,5,44,0
924,1,46,0,54,0
925,0,30,6,39,0
926,1,23,5,41,0
927,0,39,3,40,1
928,0,9,4,44,0
929,0,69,6,47,1
930,0,70,10,51,0
931,1,49,2,38,1
932,1,1,9,55,0
933,0,78,8,43,0
934,1,53,4,22,1
935,0,19,3,49,0
936,1,90,10,42,1
937,1,98,2,41,1
938,0,60,9,55,0
939,1,32,0,22,0
940,1,82,6,25,0
941,0,37,7,32,0
942,1,23,6,42,1
943,0,39,5,34,1
944,0,43,8,28,1
945,1,57,2,38,1
946,1,46,9,36,1
947,0,53,4,39,1
948,0,68,9,32,1
949,0,88,7,31,0
950,1,97,5,31,0
951,0,90,2,33,0
952,0,29,7,53,0
953,1,27,0,30,1
954,1,0,2,35,1
955,1,7,4,44,0
956,0,39,1,48,1
957,1,87,8,26,1
958,0,37,8,34,1
959,0,24,2,26,0
960,0,15,3,35,1
961,1,14,0,32,0
962,1,13,3,28,0
963,0,7,4,30,1
964,0,10,2,51,0
965,0,21,1,30,0
966,0,15,5,33,0
967,0,77,3,25,1
968,0,92,7,55,1
969,1,29,7,46,1
970,0,67,3,38,1
971,1,97,8,28,0
972,1,96,2,40,1
973,1,58,7,42,0
974,1,48,6,48,1
975,0,76,5,30,0
976,1,16,7,36,0
977,0,15,2,30,0
978,0,90,8,48,1
979,1,44,9,28,1
980,1,65,0,29,0
981,1,30,7,33,1
982,1,62,9,25,1
983,1,72,8,48,0
984,1,78,10,53,1
985,1,94,4,50,0
986,1,27,6,52,0
987,0,78,4,41,0
988,1,16,2,42,0
989,0,72,10,30,1
990,1,9,2,52,1
991,0,8,4,48,1
992,0,60,2,53,1
993,0,67,8,32,1
994,1,91,4,23,0
995,1,1,3,23,1
996,1,85,7,48,0
997,0,78,0,34,1
998,0,50,4,45,1
999,1,100,5,53,0
1000,0,77,5,29,0
