obs,p1,p2,q1,q2
762,16,14,534,196
763,22,18,365,365
764,15,20,722,8
765,24,12,13,717
766,23,21,534,196
767,18,13,276,454
768,16,19,709,21
769,17,12,276,454
770,15,13,534,196
771,17,19,695,35
772,23,20,454,276
773,19,16,454,276
774,19,21,695,35
775,20,15,276,454
776,24,21,454,276
777,15,20,722,8
778,17,17,643,87
779,20,16,365,365
780,17,19,695,35
781,18,12,196,534
782,22,15,133,597
783,21,17,365,365
784,18,20,695,35
785,18,16,534,196
786,15,15,643,87
787,19,20,675,55
788,21,18,454,276
789,18,19,675,55
790,25,12,8,722
791,24,18,196,534
792,23,19,365,365
793,20,14,196,534
794,18,15,454,276
795,25,13,13,717
796,18,20,695,35
797,15,13,534,196
798,25,18,133,597
799,16,12,365,365
800,17,20,709,21
801,22,15,133,597
802,24,12,13,717
803,23,21,534,196
804,18,12,196,534
805,17,16,597,133
806,23,17,196,534
807,23,17,196,534
808,23,12,21,709
809,15,19,717,13
810,21,17,365,365
811,24,14,35,695
812,16,15,597,133
813,23,19,365,365
814,24,16,87,643
815,16,16,643,87
816,25,15,35,695
817,16,12,365,365
818,17,20,709,21
819,25,16,55,675
820,17,11,196,534
821,15,13,534,196
822,16,13,454,276
823,21,21,643,87
824,16,19,709,21
825,16,19,709,21
826,25,21,365,365
827,19,11,87,643
828,22,11,21,709
829,18,19,675,55
830,21,18,454,276
831,17,19,695,35
832,15,12,454,276
833,20,11,55,675
834,19,19,643,87
835,19,17,534,196
836,16,13,454,276
837,15,13,534,196
838,17,14,454,276
839,20,16,365,365
840,20,20,643,87
841,15,15,643,87
842,25,17,87,643
843,20,19,597,133
844,25,17,87,643
845,24,11,8,722
846,16,18,695,35
847,21,13,87,643
848,15,14,597,133
849,24,14,35,695
850,16,20,717,13
851,24,19,276,454
852,17,13,365,365
853,16,16,643,87
854,23,21,534,196
855,17,14,454,276
856,23,17,196,534
857,24,12,13,717
858,22,21,597,133
859,25,20,276,454
860,20,18,534,196
861,25,12,8,722
862,21,18,454,276
863,17,14,454,276
864,25,14,21,709
865,18,15,454,276
866,18,11,133,597
867,23,20,454,276
868,17,16,597,133
869,20,21,675,55
870,25,13,13,717
871,22,17,276,454
872,24,21,454,276
873,23,21,534,196
874,24,14,35,695
875,22,15,133,597
876,22,13,55,675
877,22,20,534,196
878,21,17,365,365
879,23,12,21,709
880,17,18,675,55
881,24,21,454,276
882,17,15,534,196
883,25,20,276,454
884,22,14,87,643
885,21,19,534,196
886,21,21,643,87
887,17,17,643,87
888,15,14,597,133
889,20,14,196,534
890,20,18,534,196
891,25,17,87,643
892,20,17,454,276
893,25,11,5,725
894,18,19,675,55
895,21,14,133,597
896,15,18,709,21
897,18,19,675,55
898,17,21,717,13
899,22,11,21,709
900,19,12,133,597
901,20,14,196,534
902,19,18,597,133
903,20,12,87,643
904,15,12,454,276
905,16,20,717,13
906,17,14,454,276
907,24,15,55,675
908,24,13,21,709
909,21,15,196,534
910,19,19,643,87
911,22,11,21,709
912,25,19,196,534
913,22,21,597,133
914,19,12,133,597
915,24,16,87,643
916,22,14,87,643
917,20,11,55,675
918,18,20,695,35
919,23,20,454,276
920,19,14,276,454
921,22,15,133,597
922,20,17,454,276
923,16,20,717,13
924,23,20,454,276
925,18,11,133,597
926,21,15,196,534
927,15,14,597,133
928,17,20,709,21
929,22,16,196,534
930,17,11,196,534
931,23,21,534,196
932,25,21,365,365
933,22,14,87,643
934,22,11,21,709
935,19,18,597,133
936,24,12,13,717
937,16,14,534,196
938,20,21,675,55
939,23,16,133,597
940,24,16,87,643
941,19,13,196,534
942,18,20,695,35
943,22,16,196,534
944,18,20,695,35
945,20,12,87,643
946,15,14,597,133
947,15,12,454,276
948,20,14,196,534
949,18,18,643,87
950,22,13,55,675
951,20,13,133,597
952,20,21,675,55
953,21,17,365,365
954,20,11,55,675
955,20,11,55,675
956,22,15,133,597
957,23,17,196,534
958,19,15,365,365
959,24,21,454,276
960,15,15,643,87
961,24,20,365,365
962,18,21,709,21
963,19,14,276,454
964,16,19,709,21
965,23,16,133,597
966,16,14,534,196
967,19,19,643,87
968,18,16,534,196
969,24,18,196,534
970,18,20,695,35
971,24,11,8,722
972,15,15,643,87
973,19,19,643,87
974,22,13,55,675
975,25,11,5,725
976,24,12,13,717
977,25,11,5,725
978,19,13,196,534
979,23,21,534,196
980,24,13,21,709
981,16,16,643,87
982,15,21,725,5
983,20,11,55,675
984,16,13,454,276
985,24,11,8,722
986,23,11,13,717
987,19,11,87,643
988,18,12,196,534
989,16,21,722,8
990,20,19,597,133
991,16,20,717,13
992,18,15,454,276
993,19,14,276,454
994,23,12,21,709
995,20,12,87,643
996,20,11,55,675
997,19,16,454,276
998,19,18,597,133
999,15,19,717,13
1000,18,15,454,276
