sample,male,brand,performance,fuel_efficiency,design,rebuy(1/0)
66,1,Feb,6,6,1,1
67,0,Mar,4,4,1,0
68,0,Apr,2,4,7,0
69,1,May,6,4,5,0
70,0,Jun,5,4,3,1
71,1,Jul,3,5,7,1
72,0,Aug,3,3,7,0
73,1,Sep,2,6,4,0
74,0,Oct,4,2,1,0
75,1,Nov,6,5,5,1
76,1,Dec,6,4,7,1
77,1,Sun,6,3,2,0
78,0,Mon,4,6,7,0
79,0,Sat,4,5,1,0
80,0,Fri,4,2,5,0
81,0,Jan,2,6,7,0
82,1,Feb,4,6,7,1
83,1,Mar,3,4,1,0
84,1,Apr,5,2,1,0
85,1,Jan,4,6,1,1
86,1,Feb,4,6,2,0
87,0,Mar,4,5,3,0
88,0,Apr,5,5,3,1
89,0,May,4,1,7,0
90,0,Jun,5,2,2,0
91,0,Jul,5,5,4,1
92,1,Aug,3,3,2,0
93,0,Sep,4,6,6,1
94,0,Oct,2,3,7,0
95,1,Nov,7,4,7,1
96,0,Dec,7,4,7,1
97,1,Sun,6,4,6,1
98,0,Mon,3,4,6,1
99,1,Sat,6,4,4,0
100,1,Fri,4,3,5,1
101,1,Jan,1,6,7,0
102,1,Feb,3,6,1,0
103,0,Mar,3,5,5,0
104,1,Apr,3,5,5,0
105,0,May,5,2,7,0
106,0,Jun,2,5,5,0
107,0,Jul,5,5,2,1
108,1,Aug,4,4,5,1
109,1,Sep,7,5,3,1
110,1,Oct,5,4,7,1
111,1,Nov,6,6,5,1
112,1,Dec,4,5,7,1
113,0,Sun,7,5,1,0
114,1,Mon,3,4,4,0
115,1,Sat,4,2,7,0
116,1,Fri,2,3,5,0
117,0,Jan,5,6,1,0
118,0,Feb,2,4,7,0
119,1,Mar,3,2,5,0
120,0,Apr,4,5,7,1
121,1,May,3,4,6,1
122,1,Jun,1,2,5,0
123,1,Jul,7,4,1,0
124,0,Aug,3,7,2,0
125,0,Sep,3,3,7,0
126,1,Oct,6,2,6,0
127,1,Nov,6,4,5,1
128,0,Dec,4,1,3,0
129,0,Sun,7,2,7,1
130,1,Mon,1,5,2,0
131,1,Sat,7,5,2,1
132,0,Fri,4,4,2,1
133,1,Jan,4,4,2,1
134,1,Feb,5,7,7,1
135,0,Mar,2,5,7,0
136,0,Apr,5,4,3,0
137,0,May,6,5,6,0
138,1,Jun,5,2,5,0
139,1,Jul,5,4,6,1
140,1,Aug,4,4,5,1
141,0,Sep,4,7,2,0
142,1,Oct,3,6,7,1
143,0,Nov,4,4,5,0
144,0,Dec,5,3,5,1
145,1,Sun,7,2,1,1
146,0,Mon,4,5,1,0
147,1,Sat,5,3,3,1
148,0,Fri,5,6,3,1
149,0,Jan,5,4,3,0
150,1,Feb,5,6,3,1
151,0,Mar,6,6,4,1
152,0,Apr,6,4,2,1
153,1,May,3,1,6,0
154,0,Jun,5,4,3,0
155,0,Jul,6,4,5,0
156,0,Aug,4,5,6,0
157,1,Sep,7,3,5,1
158,1,Oct,6,6,3,1
159,0,Nov,4,6,5,1
160,0,Dec,3,2,7,0
161,0,Sun,4,2,4,0
162,1,Mon,4,4,1,0
163,1,Sat,3,3,7,0
164,0,Fri,4,4,5,0
165,1,Jan,5,5,1,0
166,0,Feb,6,5,4,1
167,1,Mar,4,5,7,1
168,1,Apr,2,2,6,0
169,1,May,5,4,7,1
170,0,Jun,2,5,1,0
171,0,Jul,6,3,4,0
172,1,Aug,2,6,6,1
173,0,Sep,4,6,4,0
174,1,Oct,3,4,7,0
175,0,Nov,5,6,5,0
176,1,Dec,4,4,2,0
177,0,Sun,4,3,6,0
178,0,Jan,4,4,4,1
179,0,Feb,5,6,7,1
180,1,Mar,3,5,6,1
181,0,Apr,5,3,2,0
182,1,May,5,2,6,0
183,1,Jun,5,2,2,0
184,0,Jul,5,6,2,0
185,0,Aug,2,7,3,1
186,1,Sep,4,5,7,0
187,1,Oct,6,2,6,1
188,0,Nov,5,5,1,0
189,1,Dec,7,2,3,1
190,0,Sun,5,4,4,1
191,1,Mon,3,5,6,0
192,1,Sat,6,2,4,0
193,0,Fri,6,3,5,0
194,0,Mon,4,7,4,0
195,0,Sat,5,4,4,1
196,0,Fri,3,5,1,0
197,1,Jan,4,3,3,0
198,1,Feb,5,7,2,1
199,0,Mar,3,7,7,1
200,1,Apr,4,4,5,0
201,0,May,5,4,4,1
202,1,Jun,3,3,5,0
203,1,Jul,4,5,7,1
204,1,Aug,3,4,7,1
205,0,Sep,5,2,1,0
206,0,Oct,2,6,7,0
207,0,Nov,3,6,6,0
208,0,Dec,6,2,6,0
209,1,Sun,5,4,2,1
210,0,Mon,5,6,3,1
211,0,Sat,5,1,2,0
212,1,Fri,3,4,2,0
213,1,Jan,1,6,5,0
214,1,Feb,4,4,1,0
215,0,Mar,4,4,5,1
216,0,Apr,2,3,2,0
217,1,May,5,4,3,1
218,0,Jun,2,2,6,0
219,1,Jul,5,5,3,1
220,0,Aug,3,3,4,0
221,0,Sep,7,3,1,1
222,0,Oct,2,3,5,0
223,1,Nov,4,4,2,0
224,0,Dec,4,4,6,0
225,1,Sun,5,4,7,1
226,1,Mon,1,6,1,0
227,0,Sat,4,5,2,1
228,1,Fri,2,5,4,0
229,1,Jan,2,4,3,0
230,1,Feb,3,7,3,0
231,1,Mar,2,6,4,0
232,1,Apr,2,5,4,0
233,1,Jan,3,4,3,0
234,1,Feb,5,4,4,0
235,0,Mar,4,7,1,0
236,1,Apr,2,4,7,0
237,1,May,4,3,6,0
238,0,Jun,4,2,6,0
239,1,Jul,6,5,5,1
240,1,Aug,3,2,1,0
241,0,Sep,7,4,5,1
242,0,Oct,4,5,6,0
243,0,Nov,6,6,2,0
244,0,Dec,7,1,2,1
245,1,Sun,7,2,1,1
246,0,Mon,3,3,2,0
247,1,Sat,5,6,2,0
248,1,Fri,3,4,3,0
249,1,Jan,1,6,4,0
250,1,Feb,3,6,3,0
251,0,Mar,1,4,2,0
252,1,Apr,4,3,6,0
253,1,May,6,3,5,1
254,0,Jun,5,2,4,1
255,1,Jul,7,4,4,0
256,1,Aug,4,5,5,0
257,1,Sep,5,5,7,0
258,1,Oct,6,7,2,0
259,0,Nov,5,5,6,1
260,1,Dec,7,2,2,0
261,1,Sun,5,4,7,0
262,1,Mon,2,4,6,0
263,1,Sat,4,2,6,1
264,1,Fri,3,4,2,0
265,0,Jan,3,3,5,0
266,1,Feb,6,5,3,0
267,0,Mar,2,7,2,0
268,1,Apr,4,3,5,1
269,0,May,5,1,6,0
270,1,Jun,4,5,4,0
271,0,Jul,7,5,6,1
272,0,Aug,4,6,5,1
273,0,Sep,5,3,5,1
274,0,Oct,6,4,6,1
275,0,Nov,7,6,4,1
276,1,Dec,6,3,5,1
277,0,Sun,7,4,3,0
278,1,Mon,2,7,3,0
279,0,Sat,4,5,2,1
280,1,Fri,5,5,6,1
281,0,Jan,4,6,4,1
282,1,Feb,3,7,5,0
283,1,Mar,5,5,5,1
284,0,Apr,4,5,5,0
285,0,May,7,2,1,1
286,0,Jun,2,3,4,0
287,1,Jul,4,4,7,1
288,0,Aug,2,4,4,0
289,0,Sep,6,4,6,0
290,0,Oct,4,5,6,1
291,1,Nov,5,5,6,1
292,1,Dec,5,5,7,1
293,1,Sun,5,6,7,0
294,0,Mon,4,4,3,0
295,0,Sat,7,3,7,1
296,1,Fri,5,4,4,0
297,1,Jan,2,5,3,0
298,0,Feb,6,4,3,0
299,1,Mar,5,5,1,1
300,0,Apr,2,3,5,0
301,1,May,4,3,3,0
302,0,Jun,4,3,1,0
303,0,Jul,6,6,7,1
304,1,Aug,1,6,5,0
305,1,Sep,6,3,3,0
306,1,Oct,6,5,7,1
307,1,Nov,7,5,4,1
308,1,Dec,4,4,7,1
309,0,Sun,6,4,2,0
310,0,Mon,3,4,7,1
311,1,Sat,5,4,3,0
312,0,Fri,3,7,5,0
313,1,Jan,1,3,3,0
314,0,Feb,7,4,7,1
315,1,Mar,1,6,4,0
316,0,Apr,4,2,6,0
317,1,May,3,1,5,0
318,0,Jun,5,4,2,0
319,1,Jul,5,5,3,0
320,0,Aug,3,7,6,1
321,1,Sep,4,2,1,0
322,1,Oct,2,3,5,0
323,0,Nov,4,6,6,1
324,0,Dec,4,5,1,1
325,0,Sun,7,4,5,1
326,1,Jan,2,3,4,0
327,1,Feb,6,2,4,0
328,0,Mar,1,7,7,1
329,1,Apr,2,3,6,0
330,0,May,4,5,4,0
331,0,Jun,4,3,1,0
332,1,Jul,4,3,1,0
333,1,Aug,2,3,6,0
334,1,Sep,4,3,3,0
335,0,Oct,7,6,5,1
336,1,Nov,7,7,4,1
337,0,Dec,5,6,1,0
338,1,Sun,6,4,6,0
339,1,Mon,6,5,6,1
340,0,Sat,5,2,6,0
341,0,Fri,2,5,6,0
342,0,Mon,3,3,4,0
343,0,Sat,4,5,6,1
344,1,Fri,3,7,6,1
345,1,Jan,5,6,6,1
346,1,Feb,7,6,6,1
347,1,Mar,5,7,2,1
348,1,Apr,1,5,5,0
349,0,May,6,2,7,1
350,0,Jun,3,2,3,0
351,1,Jul,5,5,2,1
352,0,Aug,4,3,3,0
353,1,Sep,5,3,3,0
354,1,Oct,2,2,3,0
355,0,Nov,7,4,2,0
356,0,Dec,6,2,5,1
357,0,Sun,7,5,6,1
358,0,Mon,3,4,2,0
359,0,Sat,5,5,4,0
360,1,Fri,4,5,4,0
361,0,Jan,2,3,7,0
362,1,Feb,6,5,2,1
363,0,Mar,1,3,4,0
364,1,Apr,4,4,7,1
365,1,May,4,4,5,0
366,1,Jun,3,5,3,0
367,0,Jul,7,5,5,1
368,1,Aug,2,2,5,0
369,0,Sep,5,2,3,0
370,0,Oct,4,4,7,1
371,0,Nov,6,5,5,1
372,1,Dec,4,3,3,0
373,1,Sun,7,5,1,0
374,1,Mon,1,5,2,0
375,1,Sat,6,2,4,0
376,0,Fri,3,6,3,1
377,1,Jan,1,2,3,0
378,0,Feb,4,4,7,0
379,0,Mar,1,6,1,0
380,0,Apr,2,2,1,0
381,1,Jan,2,2,7,0
382,0,Feb,6,5,7,1
383,0,Mar,1,3,5,0
384,0,Apr,4,5,3,0
385,1,May,4,1,1,0
386,0,Jun,4,2,1,0
387,1,Jul,4,3,4,1
388,1,Aug,4,7,7,1
389,0,Sep,5,4,2,0
390,0,Oct,4,3,3,0
391,0,Nov,5,6,5,1
392,1,Dec,6,2,3,0
393,1,Sun,7,3,7,0
394,0,Mon,3,7,1,0
395,0,Sat,5,2,6,1
396,1,Fri,4,5,7,1
397,0,Jan,2,6,7,0
398,0,Feb,3,7,6,1
399,0,Mar,2,4,3,0
400,0,Apr,3,3,2,0
401,1,May,5,3,5,0
402,1,Jun,5,2,4,0
403,0,Jul,3,5,7,0
404,1,Aug,3,5,5,0
405,0,Sep,6,3,3,0
406,0,Oct,2,5,6,0
407,1,Nov,4,7,3,1
408,0,Dec,3,4,3,0
409,1,Sun,5,5,7,0
410,1,Mon,4,5,6,0
411,0,Sat,5,2,2,0
412,0,Fri,2,4,7,0
413,1,Jan,4,2,6,1
414,1,Feb,6,7,2,0
415,1,Mar,3,7,1,1
416,0,Apr,2,3,5,0
417,0,May,5,4,3,0
418,0,Jun,5,5,6,1
419,1,Jul,3,5,5,1
420,0,Aug,2,3,2,0
421,1,Sep,4,6,6,1
422,0,Oct,7,6,1,0
423,1,Nov,3,6,3,0
424,1,Dec,6,1,4,1
425,0,Sun,5,3,6,0
426,0,Mon,1,4,4,0
427,0,Sat,3,1,3,0
428,0,Fri,3,3,3,0
429,0,Jan,5,6,7,0
430,1,Feb,2,6,6,1
431,1,Mar,1,3,2,0
432,1,Apr,5,4,2,0
433,0,May,6,3,5,1
434,1,Jun,6,3,2,1
435,0,Jul,6,5,2,1
436,0,Aug,5,6,3,0
437,0,Sep,5,3,4,0
438,1,Oct,3,2,3,0
439,0,Nov,6,5,1,1
440,0,Dec,4,5,2,1
441,1,Sun,5,2,3,0
442,1,Mon,2,4,5,0
443,0,Sat,6,2,6,0
444,1,Fri,2,3,2,0
445,0,Jan,2,4,7,0
446,0,Feb,6,2,2,0
447,0,Mar,4,6,1,0
448,1,Apr,3,2,1,0
449,0,May,6,5,6,1
450,1,Jun,1,1,5,0
451,0,Jul,3,5,7,1
452,0,Aug,5,6,1,1
453,0,Sep,5,4,4,0
454,1,Oct,4,2,7,1
455,0,Nov,4,4,6,0
456,1,Dec,6,6,7,1
457,1,Sun,3,5,1,0
458,0,Mon,4,6,7,1
459,1,Sat,7,3,6,1
460,1,Fri,5,6,5,1
461,0,Jan,2,7,2,0
462,0,Feb,5,2,2,0
463,0,Mar,5,4,1,0
464,1,Apr,4,6,3,1
465,0,May,6,3,3,0
466,0,Jun,2,2,1,0
467,0,Jul,6,3,2,1
468,0,Aug,3,7,6,1
469,1,Sep,4,3,1,0
470,0,Oct,2,4,1,0
471,0,Nov,6,4,4,1
472,1,Dec,4,2,4,0
473,1,Sun,5,5,3,0
474,0,Jan,5,4,7,1
475,1,Feb,3,2,4,0
476,0,Mar,1,6,7,0
477,0,Apr,2,4,6,0
478,0,May,7,4,5,1
479,1,Jun,4,5,3,0
480,1,Jul,5,5,4,1
481,0,Aug,2,7,5,1
482,0,Sep,3,5,7,0
483,1,Oct,5,5,1,0
484,1,Nov,5,4,3,0
485,0,Dec,7,6,6,1
486,0,Sun,7,4,4,1
487,0,Mon,2,5,7,0
488,1,Sat,4,2,3,0
489,0,Fri,2,7,6,1
490,0,Mon,4,6,2,1
491,1,Sat,6,4,7,1
492,0,Fri,6,4,3,0
493,1,Jan,4,5,3,1
494,1,Feb,3,7,2,0
495,0,Mar,4,7,1,1
496,0,Apr,2,4,6,0
497,1,May,3,3,7,0
498,0,Jun,3,4,1,0
499,0,Jul,6,3,3,0
500,0,Aug,2,3,1,0
501,1,Sep,7,5,2,0
502,1,Oct,5,3,1,1
503,1,Nov,5,7,4,1
504,0,Dec,6,2,1,0
505,1,Sun,6,2,4,1
506,1,Mon,4,6,7,1
507,1,Sat,6,2,7,0
508,1,Fri,4,3,2,0
509,0,Jan,1,5,6,0
510,0,Feb,4,2,7,1
511,0,Mar,3,4,6,0
512,0,Apr,4,4,6,1
513,0,May,4,2,3,0
514,0,Jun,6,1,1,0
515,0,Jul,3,4,4,0
516,1,Aug,3,6,7,0
517,0,Sep,6,3,3,0
518,1,Oct,4,3,7,1
519,0,Nov,5,7,1,1
520,0,Dec,6,3,6,1
521,0,Sun,6,3,6,1
522,0,Mon,2,6,2,0
523,0,Sat,6,5,2,1
524,0,Fri,2,5,7,0
525,0,Jan,3,3,3,0
526,1,Feb,4,2,7,0
527,0,Mar,5,3,7,1
528,0,Apr,3,3,4,0
529,0,Jan,2,5,4,0
530,1,Feb,5,4,6,1
531,0,Mar,1,4,4,0
532,1,Apr,2,3,7,0
533,1,May,5,4,2,1
534,1,Jun,3,5,5,0
535,1,Jul,4,5,3,0
536,0,Aug,3,7,3,1
537,1,Sep,6,5,5,1
538,0,Oct,2,5,1,0
539,1,Nov,7,7,1,1
540,1,Dec,3,1,5,0
541,1,Sun,5,3,4,0
542,0,Mon,2,6,1,0
543,0,Sat,6,4,6,0
544,1,Fri,3,6,3,1
545,1,Jan,4,4,4,0
546,1,Feb,5,7,5,0
547,1,Mar,4,6,6,1
548,0,Apr,2,4,6,0
549,0,May,7,2,2,0
550,1,Jun,2,5,4,0
551,1,Jul,6,6,1,0
552,1,Aug,2,4,2,0
553,1,Sep,7,6,4,1
554,1,Oct,4,1,5,0
555,0,Nov,4,5,5,0
556,0,Dec,4,4,4,1
557,0,Sun,4,2,3,0
558,1,Mon,5,7,1,0
559,1,Sat,6,5,4,0
560,0,Fri,2,2,7,0
561,0,Jan,4,5,7,1
562,1,Feb,7,6,4,1
563,0,Mar,2,5,2,0
564,0,Apr,2,5,5,0
565,0,May,5,4,7,1
566,0,Jun,3,3,3,0
567,0,Jul,5,4,1,0
568,1,Aug,2,5,7,0
569,1,Sep,4,4,2,0
570,1,Oct,6,1,5,0
571,0,Nov,4,5,6,1
572,1,Dec,7,1,7,1
573,1,Sun,7,5,6,1
574,0,Mon,2,3,3,0
575,0,Sat,6,7,3,1
576,0,Fri,3,3,6,0
577,0,Jan,1,6,4,0
578,0,Feb,4,5,6,1
579,1,Mar,2,5,3,0
580,1,Apr,5,5,3,0
581,0,May,7,5,7,1
582,0,Jun,5,3,7,0
583,1,Jul,5,3,3,0
584,1,Aug,4,4,4,1
585,1,Sep,6,5,7,1
586,0,Oct,2,7,7,0
587,1,Nov,7,6,6,1
588,0,Dec,6,2,5,0
589,1,Sun,7,2,5,1
590,0,Mon,1,7,5,0
591,0,Sat,4,5,6,0
592,0,Fri,1,4,4,0
593,1,Jan,4,4,5,0
594,1,Feb,4,3,1,0
595,1,Mar,2,4,3,0
596,0,Apr,3,2,4,0
597,1,May,7,5,4,1
598,0,Jun,1,2,1,0
599,1,Jul,5,3,6,0
600,1,Aug,4,3,2,0
601,0,Sep,6,3,3,0
602,0,Oct,2,5,7,0
603,0,Nov,4,4,3,0
604,0,Dec,4,5,2,1
605,1,Sun,7,3,1,1
606,1,Mon,5,7,1,1
607,1,Sat,6,3,5,1
608,1,Fri,4,6,6,0
609,1,Jan,3,6,3,1
610,1,Feb,6,6,6,1
611,0,Mar,3,4,2,0
612,1,Apr,2,2,5,0
613,0,May,4,5,5,1
614,0,Jun,2,5,3,0
615,1,Jul,5,4,6,1
616,0,Aug,3,5,4,0
617,0,Sep,4,6,3,0
618,0,Oct,6,6,6,1
619,0,Nov,6,5,3,0
620,1,Dec,5,5,5,0
621,0,Sun,5,5,5,1
622,1,Jan,2,7,2,0
623,1,Feb,6,7,2,0
624,0,Mar,5,6,3,1
625,1,Apr,5,2,2,0
626,1,May,6,4,7,1
627,0,Jun,3,5,2,0
628,0,Jul,4,5,1,0
629,0,Aug,2,5,6,0
630,1,Sep,7,6,5,1
631,1,Oct,3,6,2,0
632,1,Nov,6,5,1,1
633,1,Dec,5,2,6,0
634,0,Sun,4,6,5,1
635,0,Mon,2,6,7,0
636,1,Sat,7,1,4,1
637,0,Fri,4,5,1,0
638,1,Mon,4,7,3,1
639,1,Sat,7,2,1,1
640,0,Fri,5,5,4,1
641,1,Jan,5,4,6,0
642,0,Feb,6,5,1,0
643,0,Mar,2,6,5,0
644,0,Apr,2,3,3,0
645,0,May,4,2,3,0
646,1,Jun,3,5,6,0
647,1,Jul,5,5,7,0
648,1,Aug,4,5,5,0
649,0,Sep,4,5,4,1
650,0,Oct,3,4,2,0
651,0,Nov,6,4,3,0
652,1,Dec,4,2,3,0
653,0,Sun,7,6,3,1
654,1,Mon,2,7,1,0
655,1,Sat,4,5,1,0
656,1,Fri,4,5,3,0
657,0,Jan,5,6,4,1
658,1,Feb,5,5,1,0
659,0,Mar,2,4,7,0
660,1,Apr,2,5,2,0
661,0,May,5,3,5,0
662,1,Jun,4,5,1,0
663,1,Jul,6,5,4,0
664,1,Aug,3,4,4,0
665,0,Sep,4,5,7,1
666,0,Oct,6,5,3,0
667,0,Nov,5,7,1,1
668,1,Dec,6,4,5,1
669,0,Sun,4,5,5,1
670,0,Mon,1,4,5,0
671,0,Sat,6,4,1,0
672,1,Fri,5,3,1,1
673,1,Jan,4,5,5,0
674,1,Feb,5,6,2,0
675,1,Mar,3,7,1,0
676,0,Apr,4,5,1,0
677,0,Jan,4,4,1,0
678,1,Feb,4,3,2,0
679,1,Mar,2,3,3,0
680,1,Apr,4,3,7,1
681,0,May,5,5,6,1
682,1,Jun,5,3,3,0
683,0,Jul,5,4,2,1
684,0,Aug,2,6,5,1
685,1,Sep,6,4,2,0
686,1,Oct,5,1,2,0
687,0,Nov,4,6,4,1
688,1,Dec,5,2,1,0
689,1,Sun,6,6,1,1
690,0,Mon,2,5,5,0
691,1,Sat,5,7,6,1
692,0,Fri,4,4,3,1
693,0,Jan,4,5,5,0
694,1,Feb,5,4,2,0
695,0,Mar,2,6,5,1
696,1,Apr,2,4,7,0
697,1,May,6,2,4,0
698,1,Jun,2,4,6,0
699,0,Jul,2,5,3,0
700,0,Aug,4,5,7,0
701,0,Sep,6,6,4,1
702,0,Oct,4,5,2,0
703,1,Nov,6,6,7,1
704,0,Dec,7,4,5,1
705,1,Sun,4,4,1,0
706,1,Mon,1,6,5,0
707,1,Sat,3,4,4,0
708,1,Fri,3,7,6,1
709,1,Jan,3,5,6,1
710,1,Feb,6,7,7,1
711,0,Mar,1,4,5,0
712,1,Apr,3,3,3,0
713,0,May,5,1,5,1
714,1,Jun,2,4,2,0
715,1,Jul,3,4,5,0
716,1,Aug,4,2,6,0
717,0,Sep,6,2,1,1
718,1,Oct,5,1,4,0
719,0,Nov,7,4,2,1
720,1,Dec,5,3,6,1
721,0,Sun,4,1,3,0
722,1,Mon,4,6,2,0
723,1,Sat,6,4,4,1
724,1,Fri,2,3,4,0
725,0,Jan,6,3,1,0
726,0,Feb,3,5,5,1
727,1,Mar,6,6,7,1
728,1,Apr,4,2,3,0
729,1,May,6,2,3,0
730,0,Jun,5,2,1,0
731,1,Jul,4,5,2,0
732,0,Aug,5,6,5,0
733,1,Sep,7,4,1,0
734,1,Jan,2,3,2,0
735,1,Feb,6,5,6,0
736,0,Mar,3,3,5,0
737,0,Apr,4,4,3,1
738,1,May,7,6,7,1
739,1,Jun,2,5,6,0
740,0,Jul,3,5,6,1
741,0,Aug,3,6,4,0
742,1,Sep,7,4,3,1
743,0,Oct,4,6,2,0
744,1,Nov,5,3,7,0
745,1,Dec,6,5,1,0
746,0,Sun,4,2,3,0
747,0,Mon,2,4,1,0
748,0,Sat,6,3,2,1
749,1,Fri,3,2,6,0
750,0,Jan,4,3,7,1
751,0,Feb,6,6,7,1
752,1,Mar,4,6,4,1
753,1,Apr,3,5,1,0
754,1,May,3,6,6,1
755,0,Jun,5,2,6,1
756,0,Jul,2,6,6,0
757,0,Aug,2,5,7,1
758,1,Sep,5,2,2,0
759,1,Oct,4,1,3,0
760,0,Nov,7,6,5,1
761,0,Dec,5,4,2,0
762,1,Sun,4,4,5,0
763,0,Jan,4,3,3,0
764,1,Feb,5,7,4,1
765,0,Mar,1,5,4,0
766,1,Apr,3,4,7,0
767,0,May,3,2,5,0
768,1,Jun,5,2,3,1
769,1,Jul,4,4,4,0
770,0,Aug,3,7,7,1
771,0,Sep,4,4,5,0
772,1,Oct,4,4,3,0
773,0,Nov,5,6,3,1
774,1,Dec,5,1,7,0
775,1,Sun,6,3,6,0
776,0,Mon,1,5,3,0
777,0,Sat,4,4,2,1
778,0,Fri,2,6,6,0
779,0,Mon,1,5,2,0
780,1,Sat,7,1,7,1
781,1,Fri,4,3,4,0
782,1,Jan,4,2,2,0
783,0,Feb,6,6,7,1
784,1,Mar,4,5,5,0
785,0,Apr,2,2,5,0
786,1,May,5,2,2,0
787,1,Jun,5,4,5,0
788,1,Jul,5,5,1,0
789,1,Aug,2,4,2,0
790,0,Sep,4,5,7,1
791,0,Oct,6,3,5,1
792,1,Nov,7,6,3,1
793,0,Dec,3,4,6,0
794,0,Sun,6,1,6,1
795,1,Mon,3,3,7,0
796,1,Sat,6,4,5,1
797,1,Fri,3,3,4,0
798,1,Jan,3,3,7,0
799,1,Feb,4,3,4,0
800,0,Mar,5,7,7,1
801,0,Apr,2,2,5,0
802,1,May,6,4,6,0
803,1,Jun,4,4,4,1
804,0,Jul,6,4,4,0
805,1,Aug,2,5,3,0
806,1,Sep,4,5,4,1
807,1,Oct,7,4,7,1
808,1,Nov,7,7,4,1
809,1,Dec,4,4,4,0
810,0,Sun,7,5,7,1
811,0,Mon,2,6,3,0
812,1,Sat,5,4,5,1
813,0,Fri,4,6,1,0
814,1,Jan,2,5,1,0
815,1,Feb,2,5,6,0
816,1,Mar,4,6,5,1
817,1,Apr,3,1,1,0
818,0,Jan,3,6,1,0
819,0,Feb,7,5,3,1
820,0,Mar,4,7,6,1
821,1,Apr,3,2,2,0
822,1,May,5,5,4,0
823,1,Jun,5,6,2,1
824,0,Jul,4,4,2,1
825,0,Aug,3,3,5,0
826,1,Sep,4,3,5,1
827,0,Oct,6,6,7,1
828,1,Nov,6,5,7,1
829,0,Dec,4,2,5,0
830,0,Sun,5,3,5,0
831,1,Mon,3,5,4,1
832,1,Sat,4,2,4,0
833,0,Fri,2,3,4,0
834,1,Jan,2,2,3,0
835,0,Feb,3,6,2,0
836,1,Mar,5,4,4,1
837,1,Apr,2,4,4,0
838,0,May,3,2,3,0
839,0,Jun,2,1,1,0
840,0,Jul,5,5,7,1
841,0,Aug,3,4,5,0
842,1,Sep,7,7,2,1
843,0,Oct,5,6,7,1
844,0,Nov,5,6,3,1
845,0,Dec,4,4,5,0
846,0,Sun,6,1,7,0
847,1,Mon,1,7,6,0
848,1,Sat,7,6,4,1
849,0,Fri,4,7,5,1
850,1,Jan,2,6,1,0
851,1,Feb,4,6,5,0
852,1,Mar,2,6,3,0
853,1,Apr,5,3,1,0
854,0,May,5,3,2,0
855,1,Jun,3,2,6,0
856,1,Jul,5,4,2,1
857,1,Aug,4,3,5,1
858,0,Sep,7,5,2,1
859,0,Oct,5,5,5,0
860,0,Nov,6,6,3,0
861,1,Dec,7,4,7,1
862,1,Sun,5,1,2,0
863,1,Mon,1,4,6,0
864,1,Sat,6,6,6,1
865,0,Fri,3,6,4,0
866,0,Jan,5,5,5,0
867,1,Feb,3,6,2,0
868,1,Mar,5,6,3,1
869,1,Apr,3,4,6,0
870,0,May,7,5,5,1
871,0,Jun,5,4,4,0
872,0,Jul,4,5,7,1
873,0,Aug,2,5,3,0
874,0,Sep,6,5,4,0
875,0,Oct,4,5,2,0
876,1,Jan,5,5,5,1
877,0,Feb,6,3,2,0
