sample,segment,profile,cpu,ram,as_year,ssd,wtp
19,1,15,intel,32GB,1년,512GB,134
20,2,16,amd,32GB,1년,512GB,117
20,2,9,intel,16GB,3년,none,82
20,2,13,intel,16GB,1년,512GB,93
21,1,20,amd,32GB,2년,512GB,140
21,1,23,intel,32GB,3년,512GB,157
21,1,16,amd,32GB,1년,512GB,110
22,2,21,intel,16GB,3년,512GB,100
22,2,19,intel,32GB,2년,512GB,100
22,2,23,intel,32GB,3년,512GB,114
23,1,12,amd,32GB,3년,none,130
23,1,20,amd,32GB,2년,512GB,117
23,1,23,intel,32GB,3년,512GB,140
24,2,22,amd,16GB,3년,512GB,102
24,2,4,amd,32GB,1년,none,88
24,2,18,amd,16GB,2년,512GB,109
25,2,5,intel,16GB,2년,none,97
25,2,21,intel,16GB,3년,512GB,110
25,2,17,intel,16GB,2년,512GB,101
26,1,17,intel,16GB,2년,512GB,136
26,1,19,intel,32GB,2년,512GB,145
26,1,5,intel,16GB,2년,none,103
27,1,17,intel,16GB,2년,512GB,123
27,1,23,intel,32GB,3년,512GB,158
27,1,17,intel,16GB,2년,512GB,136
28,1,13,intel,16GB,1년,512GB,125
28,1,16,amd,32GB,1년,512GB,120
28,1,9,intel,16GB,3년,none,129
29,2,10,amd,16GB,3년,none,107
29,2,22,amd,16GB,3년,512GB,110
29,2,11,intel,32GB,3년,none,104
30,2,23,intel,32GB,3년,512GB,118
30,2,21,intel,16GB,3년,512GB,92
30,2,24,amd,32GB,3년,512GB,110
31,2,3,intel,32GB,1년,none,81
31,2,24,amd,32GB,3년,512GB,118
31,2,9,intel,16GB,3년,none,83
32,2,5,intel,16GB,2년,none,71
32,2,16,amd,32GB,1년,512GB,114
32,2,23,intel,32GB,3년,512GB,111
33,1,4,amd,32GB,1년,none,103
33,1,14,amd,16GB,1년,512GB,116
33,1,18,amd,16GB,2년,512GB,112
34,2,22,amd,16GB,3년,512GB,105
34,2,13,intel,16GB,1년,512GB,82
34,2,13,intel,16GB,1년,512GB,106
35,1,23,intel,32GB,3년,512GB,153
35,1,2,amd,16GB,1년,none,102
35,1,12,amd,32GB,3년,none,137
36,1,4,amd,32GB,1년,none,111
36,1,20,amd,32GB,2년,512GB,131
36,1,11,intel,32GB,3년,none,148
37,1,17,intel,16GB,2년,512GB,114
37,1,7,intel,32GB,2년,none,139
37,1,18,amd,16GB,2년,512GB,130
38,2,2,amd,16GB,1년,none,100
38,2,3,intel,32GB,1년,none,84
38,2,16,amd,32GB,1년,512GB,108
39,2,1,intel,16GB,1년,none,78
39,2,23,intel,32GB,3년,512GB,105
39,2,20,amd,32GB,2년,512GB,117
40,1,16,amd,32GB,1년,512GB,105
40,1,3,intel,32GB,1년,none,118
40,1,13,intel,16GB,1년,512GB,116
41,1,22,amd,16GB,3년,512GB,133
41,1,20,amd,32GB,2년,512GB,128
41,1,20,amd,32GB,2년,512GB,138
42,1,5,intel,16GB,2년,none,115
42,1,16,amd,32GB,1년,512GB,134
42,1,9,intel,16GB,3년,none,120
43,1,13,intel,16GB,1년,512GB,107
43,1,7,intel,32GB,2년,none,134
43,1,3,intel,32GB,1년,none,129
44,1,1,intel,16GB,1년,none,106
44,1,15,intel,32GB,1년,512GB,128
44,1,10,amd,16GB,3년,none,111
45,1,8,amd,32GB,2년,none,110
45,1,16,amd,32GB,1년,512GB,106
45,1,16,amd,32GB,1년,512GB,115
46,2,16,amd,32GB,1년,512GB,115
46,2,5,intel,16GB,2년,none,83
46,2,1,intel,16GB,1년,none,91
47,1,4,amd,32GB,1년,none,95
47,1,1,intel,16GB,1년,none,99
47,1,20,amd,32GB,2년,512GB,123
48,1,20,amd,32GB,2년,512GB,134
48,1,22,amd,16GB,3년,512GB,131
48,1,18,amd,16GB,2년,512GB,132
49,2,9,intel,16GB,3년,none,102
49,2,15,intel,32GB,1년,512GB,100
49,2,21,intel,16GB,3년,512GB,116
50,2,8,amd,32GB,2년,none,114
50,2,13,intel,16GB,1년,512GB,106
50,2,14,amd,16GB,1년,512GB,113
51,1,10,amd,16GB,3년,none,126
51,1,16,amd,32GB,1년,512GB,128
51,1,4,amd,32GB,1년,none,103
52,1,17,intel,16GB,2년,512GB,128
52,1,1,intel,16GB,1년,none,99
52,1,19,intel,32GB,2년,512GB,138
53,1,22,amd,16GB,3년,512GB,115
53,1,19,intel,32GB,2년,512GB,125
53,1,20,amd,32GB,2년,512GB,126
54,1,7,intel,32GB,2년,none,135
54,1,13,intel,16GB,1년,512GB,106
54,1,8,amd,32GB,2년,none,111
55,2,16,amd,32GB,1년,512GB,123
55,2,8,amd,32GB,2년,none,98
55,2,15,intel,32GB,1년,512GB,109
56,2,24,amd,32GB,3년,512GB,136
56,2,12,amd,32GB,3년,none,113
56,2,5,intel,16GB,2년,none,100
57,1,20,amd,32GB,2년,512GB,129
57,1,11,intel,32GB,3년,none,141
57,1,14,amd,16GB,1년,512GB,99
58,1,2,amd,16GB,1년,none,108
58,1,16,amd,32GB,1년,512GB,128
58,1,1,intel,16GB,1년,none,102
59,1,2,amd,16GB,1년,none,112
59,1,19,intel,32GB,2년,512GB,138
59,1,15,intel,32GB,1년,512GB,133
60,1,19,intel,32GB,2년,512GB,136
60,1,3,intel,32GB,1년,none,127
60,1,13,intel,16GB,1년,512GB,128
61,1,7,intel,32GB,2년,none,136
61,1,9,intel,16GB,3년,none,119
61,1,9,intel,16GB,3년,none,124
62,1,23,intel,32GB,3년,512GB,138
62,1,1,intel,16GB,1년,none,104
62,1,6,amd,16GB,2년,none,109
63,1,21,intel,16GB,3년,512GB,135
63,1,14,amd,16GB,1년,512GB,122
63,1,11,intel,32GB,3년,none,144
64,2,19,intel,32GB,2년,512GB,112
64,2,18,amd,16GB,2년,512GB,106
64,2,14,amd,16GB,1년,512GB,105
65,1,24,amd,32GB,3년,512GB,136
65,1,10,amd,16GB,3년,none,128
65,1,6,amd,16GB,2년,none,122
66,1,10,amd,16GB,3년,none,109
66,1,17,intel,16GB,2년,512GB,135
66,1,11,intel,32GB,3년,none,124
67,1,13,intel,16GB,1년,512GB,125
67,1,4,amd,32GB,1년,none,109
67,1,19,intel,32GB,2년,512GB,148
68,1,8,amd,32GB,2년,none,129
68,1,13,intel,16GB,1년,512GB,101
68,1,7,intel,32GB,2년,none,120
69,2,11,intel,32GB,3년,none,97
69,2,10,amd,16GB,3년,none,103
69,2,24,amd,32GB,3년,512GB,123
70,1,4,amd,32GB,1년,none,124
70,1,3,intel,32GB,1년,none,121
70,1,22,amd,16GB,3년,512GB,139
71,2,21,intel,16GB,3년,512GB,116
71,2,8,amd,32GB,2년,none,115
71,2,20,amd,32GB,2년,512GB,112
72,1,14,amd,16GB,1년,512GB,114
72,1,22,amd,16GB,3년,512GB,144
72,1,3,intel,32GB,1년,none,104
73,1,19,intel,32GB,2년,512GB,136
73,1,11,intel,32GB,3년,none,131
73,1,21,intel,16GB,3년,512GB,131
74,2,15,intel,32GB,1년,512GB,100
74,2,2,amd,16GB,1년,none,79
74,2,21,intel,16GB,3년,512GB,99
75,1,10,amd,16GB,3년,none,133
75,1,19,intel,32GB,2년,512GB,147
75,1,8,amd,32GB,2년,none,134
76,1,11,intel,32GB,3년,none,126
76,1,10,amd,16GB,3년,none,123
76,1,16,amd,32GB,1년,512GB,123
77,2,10,amd,16GB,3년,none,108
77,2,4,amd,32GB,1년,none,99
77,2,3,intel,32GB,1년,none,87
78,1,2,amd,16GB,1년,none,115
78,1,23,intel,32GB,3년,512GB,142
78,1,8,amd,32GB,2년,none,127
79,1,20,amd,32GB,2년,512GB,120
79,1,19,intel,32GB,2년,512GB,122
79,1,20,amd,32GB,2년,512GB,124
80,2,12,amd,32GB,3년,none,110
80,2,5,intel,16GB,2년,none,98
80,2,21,intel,16GB,3년,512GB,102
81,2,18,amd,16GB,2년,512GB,90
81,2,10,amd,16GB,3년,none,105
81,2,3,intel,32GB,1년,none,90
82,1,5,intel,16GB,2년,none,114
82,1,1,intel,16GB,1년,none,107
82,1,2,amd,16GB,1년,none,107
83,2,24,amd,32GB,3년,512GB,121
83,2,22,amd,16GB,3년,512GB,106
83,2,5,intel,16GB,2년,none,74
84,2,7,intel,32GB,2년,none,89
84,2,21,intel,16GB,3년,512GB,101
84,2,14,amd,16GB,1년,512GB,111
85,1,5,intel,16GB,2년,none,114
85,1,11,intel,32GB,3년,none,133
85,1,10,amd,16GB,3년,none,133
86,2,20,amd,32GB,2년,512GB,111
86,2,2,amd,16GB,1년,none,87
86,2,2,amd,16GB,1년,none,99
87,2,19,intel,32GB,2년,512GB,108
87,2,18,amd,16GB,2년,512GB,99
87,2,12,amd,32GB,3년,none,95
88,2,22,amd,16GB,3년,512GB,119
88,2,14,amd,16GB,1년,512GB,101
88,2,10,amd,16GB,3년,none,92
89,2,19,intel,32GB,2년,512GB,120
89,2,7,intel,32GB,2년,none,103
89,2,23,intel,32GB,3년,512GB,119
90,1,11,intel,32GB,3년,none,138
90,1,11,intel,32GB,3년,none,143
90,1,22,amd,16GB,3년,512GB,126
91,1,1,intel,16GB,1년,none,108
91,1,15,intel,32GB,1년,512GB,110
91,1,13,intel,16GB,1년,512GB,126
92,1,17,intel,16GB,2년,512GB,121
92,1,12,amd,32GB,3년,none,120
92,1,19,intel,32GB,2년,512GB,124
93,2,7,intel,32GB,2년,none,114
93,2,21,intel,16GB,3년,512GB,101
93,2,6,amd,16GB,2년,none,82
94,1,5,intel,16GB,2년,none,128
94,1,4,amd,32GB,1년,none,105
94,1,17,intel,16GB,2년,512GB,113
95,1,5,intel,16GB,2년,none,101
95,1,10,amd,16GB,3년,none,121
95,1,16,amd,32GB,1년,512GB,115
96,1,14,amd,16GB,1년,512GB,95
96,1,14,amd,16GB,1년,512GB,98
96,1,24,amd,32GB,3년,512GB,138
97,2,19,intel,32GB,2년,512GB,123
97,2,9,intel,16GB,3년,none,101
97,2,20,amd,32GB,2년,512GB,105
98,2,14,amd,16GB,1년,512GB,85
98,2,22,amd,16GB,3년,512GB,96
98,2,19,intel,32GB,2년,512GB,125
99,1,13,intel,16GB,1년,512GB,110
99,1,22,amd,16GB,3년,512GB,142
99,1,22,amd,16GB,3년,512GB,120
100,2,24,amd,32GB,3년,512GB,134
100,2,5,intel,16GB,2년,none,70
100,2,4,amd,32GB,1년,none,89
101,1,21,intel,16GB,3년,512GB,127
101,1,9,intel,16GB,3년,none,135
101,1,8,amd,32GB,2년,none,130
102,2,4,amd,32GB,1년,none,86
102,2,19,intel,32GB,2년,512GB,105
102,2,11,intel,32GB,3년,none,115
103,2,2,amd,16GB,1년,none,77
103,2,7,intel,32GB,2년,none,106
103,2,1,intel,16GB,1년,none,91
104,1,8,amd,32GB,2년,none,115
104,1,5,intel,16GB,2년,none,110
104,1,23,intel,32GB,3년,512GB,153
105,1,13,intel,16GB,1년,512GB,124
105,1,24,amd,32GB,3년,512GB,133
105,1,11,intel,32GB,3년,none,147
106,2,12,amd,32GB,3년,none,120
106,2,23,intel,32GB,3년,512GB,132
106,2,5,intel,16GB,2년,none,84
107,2,12,amd,32GB,3년,none,120
107,2,15,intel,32GB,1년,512GB,118
107,2,22,amd,16GB,3년,512GB,102
108,1,14,amd,16GB,1년,512GB,112
108,1,2,amd,16GB,1년,none,93
108,1,19,intel,32GB,2년,512GB,139
109,2,22,amd,16GB,3년,512GB,117
109,2,23,intel,32GB,3년,512GB,114
109,2,10,amd,16GB,3년,none,84
110,2,20,amd,32GB,2년,512GB,118
110,2,1,intel,16GB,1년,none,65
110,2,1,intel,16GB,1년,none,86
111,1,2,amd,16GB,1년,none,103
111,1,13,intel,16GB,1년,512GB,101
111,1,9,intel,16GB,3년,none,139
112,1,9,intel,16GB,3년,none,140
112,1,13,intel,16GB,1년,512GB,112
112,1,2,amd,16GB,1년,none,96
113,1,10,amd,16GB,3년,none,135
113,1,2,amd,16GB,1년,none,98
113,1,1,intel,16GB,1년,none,106
114,2,8,amd,32GB,2년,none,100
114,2,18,amd,16GB,2년,512GB,107
114,2,4,amd,32GB,1년,none,111
115,2,17,intel,16GB,2년,512GB,93
115,2,15,intel,32GB,1년,512GB,99
115,2,19,intel,32GB,2년,512GB,112
116,2,12,amd,32GB,3년,none,110
116,2,9,intel,16GB,3년,none,102
116,2,7,intel,32GB,2년,none,109
117,2,7,intel,32GB,2년,none,100
117,2,8,amd,32GB,2년,none,109
117,2,13,intel,16GB,1년,512GB,87
118,2,6,amd,16GB,2년,none,97
118,2,3,intel,32GB,1년,none,94
118,2,17,intel,16GB,2년,512GB,106
119,2,8,amd,32GB,2년,none,102
119,2,20,amd,32GB,2년,512GB,135
119,2,20,amd,32GB,2년,512GB,115
120,2,11,intel,32GB,3년,none,108
120,2,20,amd,32GB,2년,512GB,108
120,2,24,amd,32GB,3년,512GB,124
121,1,12,amd,32GB,3년,none,143
121,1,9,intel,16GB,3년,none,116
121,1,1,intel,16GB,1년,none,105
122,1,12,amd,32GB,3년,none,133
122,1,19,intel,32GB,2년,512GB,133
122,1,19,intel,32GB,2년,512GB,120
123,2,22,amd,16GB,3년,512GB,114
123,2,11,intel,32GB,3년,none,110
123,2,13,intel,16GB,1년,512GB,83
124,1,23,intel,32GB,3년,512GB,145
124,1,8,amd,32GB,2년,none,134
124,1,7,intel,32GB,2년,none,111
125,2,11,intel,32GB,3년,none,110
125,2,23,intel,32GB,3년,512GB,107
125,2,5,intel,16GB,2년,none,87
126,2,12,amd,32GB,3년,none,119
126,2,18,amd,16GB,2년,512GB,118
126,2,17,intel,16GB,2년,512GB,98
127,2,9,intel,16GB,3년,none,84
127,2,11,intel,32GB,3년,none,110
127,2,18,amd,16GB,2년,512GB,107
128,1,5,intel,16GB,2년,none,101
128,1,10,amd,16GB,3년,none,118
128,1,13,intel,16GB,1년,512GB,122
129,1,19,intel,32GB,2년,512GB,137
129,1,10,amd,16GB,3년,none,125
129,1,21,intel,16GB,3년,512GB,128
130,1,19,intel,32GB,2년,512GB,150
130,1,24,amd,32GB,3년,512GB,151
130,1,2,amd,16GB,1년,none,110
131,1,11,intel,32GB,3년,none,147
131,1,3,intel,32GB,1년,none,127
131,1,9,intel,16GB,3년,none,123
132,2,21,intel,16GB,3년,512GB,109
132,2,20,amd,32GB,2년,512GB,128
132,2,17,intel,16GB,2년,512GB,91
133,2,14,amd,16GB,1년,512GB,114
133,2,13,intel,16GB,1년,512GB,101
133,2,7,intel,32GB,2년,none,110
134,1,3,intel,32GB,1년,none,126
134,1,18,amd,16GB,2년,512GB,115
134,1,3,intel,32GB,1년,none,123
135,2,19,intel,32GB,2년,512GB,106
135,2,9,intel,16GB,3년,none,103
135,2,9,intel,16GB,3년,none,89
136,1,15,intel,32GB,1년,512GB,125
136,1,17,intel,16GB,2년,512GB,126
136,1,2,amd,16GB,1년,none,105
137,1,21,intel,16GB,3년,512GB,138
137,1,5,intel,16GB,2년,none,119
137,1,18,amd,16GB,2년,512GB,135
138,2,7,intel,32GB,2년,none,93
138,2,21,intel,16GB,3년,512GB,107
138,2,24,amd,32GB,3년,512GB,114
139,2,19,intel,32GB,2년,512GB,122
139,2,17,intel,16GB,2년,512GB,89
139,2,15,intel,32GB,1년,512GB,123
140,2,5,intel,16GB,2년,none,100
140,2,4,amd,32GB,1년,none,113
140,2,22,amd,16GB,3년,512GB,119
141,2,9,intel,16GB,3년,none,76
141,2,2,amd,16GB,1년,none,96
141,2,5,intel,16GB,2년,none,97
142,1,3,intel,32GB,1년,none,104
142,1,13,intel,16GB,1년,512GB,130
142,1,10,amd,16GB,3년,none,112
143,1,3,intel,32GB,1년,none,115
143,1,13,intel,16GB,1년,512GB,111
143,1,15,intel,32GB,1년,512GB,133
144,1,8,amd,32GB,2년,none,128
144,1,2,amd,16GB,1년,none,85
144,1,7,intel,32GB,2년,none,136
145,2,8,amd,32GB,2년,none,111
145,2,3,intel,32GB,1년,none,101
145,2,17,intel,16GB,2년,512GB,100
146,2,23,intel,32GB,3년,512GB,135
146,2,12,amd,32GB,3년,none,106
146,2,21,intel,16GB,3년,512GB,112
147,2,18,amd,16GB,2년,512GB,115
147,2,5,intel,16GB,2년,none,76
147,2,22,amd,16GB,3년,512GB,111
148,2,12,amd,32GB,3년,none,124
148,2,6,amd,16GB,2년,none,96
148,2,5,intel,16GB,2년,none,100
149,1,20,amd,32GB,2년,512GB,128
149,1,18,amd,16GB,2년,512GB,109
149,1,2,amd,16GB,1년,none,87
150,2,21,intel,16GB,3년,512GB,94
150,2,9,intel,16GB,3년,none,84
150,2,24,amd,32GB,3년,512GB,131
151,1,17,intel,16GB,2년,512GB,123
151,1,1,intel,16GB,1년,none,112
151,1,14,amd,16GB,1년,512GB,107
152,1,1,intel,16GB,1년,none,117
152,1,19,intel,32GB,2년,512GB,130
152,1,1,intel,16GB,1년,none,120
153,2,22,amd,16GB,3년,512GB,106
153,2,16,amd,32GB,1년,512GB,123
153,2,12,amd,32GB,3년,none,103
154,2,5,intel,16GB,2년,none,73
154,2,9,intel,16GB,3년,none,86
154,2,22,amd,16GB,3년,512GB,120
155,1,10,amd,16GB,3년,none,118
155,1,23,intel,32GB,3년,512GB,150
155,1,21,intel,16GB,3년,512GB,146
156,1,9,intel,16GB,3년,none,113
156,1,6,amd,16GB,2년,none,104
156,1,12,amd,32GB,3년,none,129
157,1,5,intel,16GB,2년,none,129
157,1,4,amd,32GB,1년,none,98
157,1,7,intel,32GB,2년,none,135
158,2,6,amd,16GB,2년,none,88
158,2,24,amd,32GB,3년,512GB,140
158,2,9,intel,16GB,3년,none,93
159,1,24,amd,32GB,3년,512GB,125
159,1,3,intel,32GB,1년,none,107
159,1,9,intel,16GB,3년,none,120
160,1,19,intel,32GB,2년,512GB,124
160,1,4,amd,32GB,1년,none,99
160,1,23,intel,32GB,3년,512GB,140
161,1,9,intel,16GB,3년,none,139
161,1,12,amd,32GB,3년,none,117
161,1,7,intel,32GB,2년,none,124
162,1,7,intel,32GB,2년,none,136
162,1,12,amd,32GB,3년,none,115
162,1,4,amd,32GB,1년,none,125
163,2,6,amd,16GB,2년,none,77
163,2,7,intel,32GB,2년,none,98
163,2,16,amd,32GB,1년,512GB,127
164,1,12,amd,32GB,3년,none,131
164,1,9,intel,16GB,3년,none,131
164,1,22,amd,16GB,3년,512GB,134
165,2,18,amd,16GB,2년,512GB,98
165,2,8,amd,32GB,2년,none,96
165,2,19,intel,32GB,2년,512GB,127
166,2,20,amd,32GB,2년,512GB,127
166,2,12,amd,32GB,3년,none,107
166,2,18,amd,16GB,2년,512GB,118
167,1,9,intel,16GB,3년,none,110
167,1,6,amd,16GB,2년,none,100
167,1,8,amd,32GB,2년,none,134
168,2,4,amd,32GB,1년,none,91
168,2,12,amd,32GB,3년,none,96
168,2,1,intel,16GB,1년,none,81
169,2,13,intel,16GB,1년,512GB,106
169,2,6,amd,16GB,2년,none,79
169,2,5,intel,16GB,2년,none,80
170,2,17,intel,16GB,2년,512GB,104
170,2,8,amd,32GB,2년,none,112
170,2,19,intel,32GB,2년,512GB,101
171,1,1,intel,16GB,1년,none,93
171,1,24,amd,32GB,3년,512GB,129
171,1,4,amd,32GB,1년,none,120
172,2,18,amd,16GB,2년,512GB,104
172,2,4,amd,32GB,1년,none,102
172,2,4,amd,32GB,1년,none,99
173,1,5,intel,16GB,2년,none,126
173,1,4,amd,32GB,1년,none,109
173,1,14,amd,16GB,1년,512GB,95
174,2,13,intel,16GB,1년,512GB,89
174,2,13,intel,16GB,1년,512GB,105
174,2,20,amd,32GB,2년,512GB,114
175,1,6,amd,16GB,2년,none,99
175,1,11,intel,32GB,3년,none,127
175,1,12,amd,32GB,3년,none,122
176,2,9,intel,16GB,3년,none,85
176,2,11,intel,32GB,3년,none,91
176,2,7,intel,32GB,2년,none,86
177,2,5,intel,16GB,2년,none,94
177,2,2,amd,16GB,1년,none,78
177,2,13,intel,16GB,1년,512GB,95
178,2,12,amd,32GB,3년,none,121
178,2,2,amd,16GB,1년,none,84
178,2,16,amd,32GB,1년,512GB,119
179,2,15,intel,32GB,1년,512GB,105
179,2,20,amd,32GB,2년,512GB,107
179,2,15,intel,32GB,1년,512GB,109
180,2,3,intel,32GB,1년,none,96
180,2,7,intel,32GB,2년,none,107
180,2,5,intel,16GB,2년,none,83
181,1,15,intel,32GB,1년,512GB,120
181,1,17,intel,16GB,2년,512GB,139
181,1,11,intel,32GB,3년,none,143
182,1,16,amd,32GB,1년,512GB,126
182,1,14,amd,16GB,1년,512GB,122
182,1,24,amd,32GB,3년,512GB,144
183,1,19,intel,32GB,2년,512GB,148
183,1,22,amd,16GB,3년,512GB,134
183,1,15,intel,32GB,1년,512GB,113
184,1,3,intel,32GB,1년,none,106
184,1,14,amd,16GB,1년,512GB,113
184,1,19,intel,32GB,2년,512GB,150
185,1,20,amd,32GB,2년,512GB,135
185,1,11,intel,32GB,3년,none,143
185,1,21,intel,16GB,3년,512GB,149
186,1,2,amd,16GB,1년,none,105
186,1,12,amd,32GB,3년,none,126
186,1,17,intel,16GB,2년,512GB,136
187,2,21,intel,16GB,3년,512GB,90
187,2,20,amd,32GB,2년,512GB,105
187,2,2,amd,16GB,1년,none,74
188,1,11,intel,32GB,3년,none,132
188,1,11,intel,32GB,3년,none,124
188,1,16,amd,32GB,1년,512GB,113
189,1,4,amd,32GB,1년,none,118
189,1,4,amd,32GB,1년,none,117
189,1,24,amd,32GB,3년,512GB,149
190,2,2,amd,16GB,1년,none,100
190,2,20,amd,32GB,2년,512GB,121
190,2,22,amd,16GB,3년,512GB,98
191,2,19,intel,32GB,2년,512GB,113
191,2,3,intel,32GB,1년,none,109
191,2,22,amd,16GB,3년,512GB,98
192,2,20,amd,32GB,2년,512GB,114
192,2,16,amd,32GB,1년,512GB,125
192,2,24,amd,32GB,3년,512GB,121
193,2,1,intel,16GB,1년,none,74
193,2,2,amd,16GB,1년,none,85
193,2,17,intel,16GB,2년,512GB,85
194,2,13,intel,16GB,1년,512GB,109
194,2,15,intel,32GB,1년,512GB,111
194,2,2,amd,16GB,1년,none,71
195,2,5,intel,16GB,2년,none,86
195,2,15,intel,32GB,1년,512GB,104
195,2,14,amd,16GB,1년,512GB,88
196,1,14,amd,16GB,1년,512GB,102
196,1,7,intel,32GB,2년,none,136
196,1,18,amd,16GB,2년,512GB,127
197,2,21,intel,16GB,3년,512GB,108
197,2,22,amd,16GB,3년,512GB,102
197,2,15,intel,32GB,1년,512GB,124
198,2,16,amd,32GB,1년,512GB,109
198,2,20,amd,32GB,2년,512GB,108
198,2,18,amd,16GB,2년,512GB,104
199,1,4,amd,32GB,1년,none,117
199,1,18,amd,16GB,2년,512GB,128
199,1,20,amd,32GB,2년,512GB,121
200,2,20,amd,32GB,2년,512GB,112
200,2,23,intel,32GB,3년,512GB,129
200,2,23,intel,32GB,3년,512GB,119
201,2,1,intel,16GB,1년,none,87
201,2,22,amd,16GB,3년,512GB,119
201,2,5,intel,16GB,2년,none,82
202,1,13,intel,16GB,1년,512GB,102
202,1,1,intel,16GB,1년,none,96
202,1,4,amd,32GB,1년,none,123
203,1,24,amd,32GB,3년,512GB,134
203,1,5,intel,16GB,2년,none,109
203,1,6,amd,16GB,2년,none,120
204,2,7,intel,32GB,2년,none,94
204,2,20,amd,32GB,2년,512GB,127
204,2,11,intel,32GB,3년,none,110
205,2,19,intel,32GB,2년,512GB,128
205,2,5,intel,16GB,2년,none,93
205,2,15,intel,32GB,1년,512GB,106
206,2,14,amd,16GB,1년,512GB,109
206,2,9,intel,16GB,3년,none,104
206,2,24,amd,32GB,3년,512GB,140
207,2,7,intel,32GB,2년,none,113
207,2,23,intel,32GB,3년,512GB,133
207,2,17,intel,16GB,2년,512GB,102
208,1,5,intel,16GB,2년,none,115
208,1,22,amd,16GB,3년,512GB,117
208,1,19,intel,32GB,2년,512GB,120
209,2,22,amd,16GB,3년,512GB,101
209,2,10,amd,16GB,3년,none,105
209,2,24,amd,32GB,3년,512GB,132
210,2,2,amd,16GB,1년,none,100
210,2,18,amd,16GB,2년,512GB,98
210,2,23,intel,32GB,3년,512GB,134
211,1,11,intel,32GB,3년,none,137
211,1,7,intel,32GB,2년,none,129
211,1,4,amd,32GB,1년,none,100
212,1,21,intel,16GB,3년,512GB,128
212,1,9,intel,16GB,3년,none,116
212,1,18,amd,16GB,2년,512GB,135
213,2,16,amd,32GB,1년,512GB,100
213,2,7,intel,32GB,2년,none,105
213,2,21,intel,16GB,3년,512GB,108
214,1,19,intel,32GB,2년,512GB,124
214,1,12,amd,32GB,3년,none,137
214,1,22,amd,16GB,3년,512GB,134
215,1,10,amd,16GB,3년,none,114
215,1,3,intel,32GB,1년,none,128
215,1,16,amd,32GB,1년,512GB,129
216,1,15,intel,32GB,1년,512GB,128
216,1,23,intel,32GB,3년,512GB,141
216,1,13,intel,16GB,1년,512GB,100
217,2,18,amd,16GB,2년,512GB,115
217,2,17,intel,16GB,2년,512GB,113
217,2,16,amd,32GB,1년,512GB,106
218,1,18,amd,16GB,2년,512GB,125
218,1,21,intel,16GB,3년,512GB,142
218,1,2,amd,16GB,1년,none,87
219,1,10,amd,16GB,3년,none,116
219,1,12,amd,32GB,3년,none,123
219,1,24,amd,32GB,3년,512GB,141
220,2,10,amd,16GB,3년,none,87
220,2,9,intel,16GB,3년,none,81
220,2,23,intel,32GB,3년,512GB,135
221,1,9,intel,16GB,3년,none,118
221,1,17,intel,16GB,2년,512GB,134
221,1,3,intel,32GB,1년,none,130
