면적,층수,연수,구,가격
51.48,15,36,양천구,10.5
31.98,2,37,노원구,5.375
59.95,3,24,구로구,5
84.98,14,4,서대문,7.95
84.95,14,21,성동구,12
84.96,19,18,성북구,10
79.07,3,20,강동구,5.84
59.64,16,24,강동구,8.2
59.79,11,5,서대문,8.5
84.99,6,21,광진구,11.6
101.81,8,15,은평구,9.6
84.92,9,27,동대문,7.5
59.6983,3,19,성북구,7.6
35.28,5,36,노원구,4.08
84.9779,11,5,양천구,11
79.98,12,36,도봉구,5.7
55.72,12,36,노원구,4.9
83.45,26,8,마포구,11
84.99,19,9,강서구,11.5
104.913,15,14,관악구,9.3
19.839,19,7,은평구,2.48
12.62,9,10,영등포,1.57
59.94,9,25,성북구,5.98
84.33,12,35,서초구,15.5
59.9,9,5,관악구,9
27.13,7,1,중랑구,2.6031
84.96,7,6,서초구,24.35
72.69,1,26,노원구,5.76
84.06,7,23,은평구,3
163.53,25,17,광진구,23.2
84.9704,6,6,동작구,14
99.385,14,38,송파구,29.6
84.98,3,12,성동구,12.4
84.73,13,12,성동구,18.5
59.996,10,3,노원구,7.2
84.9478,9,15,종로구,9.85
84.6352,4,5,강서구,13.3
84.878,11,21,구로구,8.5
59.4,11,25,서대문,6.3
84.78,2,27,서대문,6.15
70.49,4,22,서초구,8.8
59.98,5,4,영등포,10.6
84.82,6,16,강서구,7.5
51.96,20,11,송파구,9
59.92,23,24,관악구,8
58.77,2,36,도봉구,4
68.03,6,16,성북구,5.2
59.98,11,8,강남구,21.3
59.22,5,34,도봉구,6.5
84.48,8,2,성북구,10.3
59.67,8,36,도봉구,3.78
84.76,10,20,강북구,6.73
84.936,3,21,마포구,10.65
49.94,1,36,노원구,4.2
59.86,2,5,구로구,6
84.9805,3,7,강서구,10.9
84.82,10,31,서초구,17.55
114.18,7,21,은평구,8.23
35.61,5,35,금천구,2.2
84.988,21,17,강동구,12.05
59.91,26,4,영등포,11.7
14.91,17,10,구로구,1.1
84.97,4,4,양천구,10
35.24,11,16,송파구,8.9
84.84,12,27,영등포,10.5
46.8,12,24,마포구,4.54
59.94,7,26,구로구,4.15
92.6232,20,10,강남구,29
59.88,3,25,강동구,8.5
36.16,8,35,도봉구,3.3
58.14,6,29,강서구,8
84.96,34,13,구로구,12.4
84.793,21,5,마포구,12
59.99,7,10,동대문,9.5
115.78,2,21,영등포,16.6
84.99,6,10,관악구,8.55
59.9779,2,9,동대문,8.3
59.26,7,36,영등포,8.5
110.66,28,6,송파구,25.5
84.98,9,7,강북구,8.35
114.65,2,27,강동구,9.2
84.83,11,20,강서구,6.5
84.92,22,26,영등포,9.15
47.41,5,2,강북구,4.03
83.02,4,19,은평구,3.9
47.94,19,38,양천구,11.7
59.82,19,26,노원구,5.5
104.7,12,31,동작구,10.5
18.82,8,10,광진구,1.62
59.98,5,6,성동구,13.3
104.89,18,16,마포구,11.95
43.79,13,38,송파구,8.7
84.92,11,39,강남구,20.4
84.95,7,26,강서구,9.5
12.62,9,10,영등포,1.57
84.89,14,13,동대문,8.85
84.97,14,17,용산구,13.3
59.92,10,24,관악구,7.9
84.96,7,39,서대문,5
84.73,3,22,동작구,6.8
72.51,4,50,서초구,26.8
49.8,7,27,송파구,7.95
44.64,24,26,구로구,4.6
100.3,7,20,양천구,3.25
50.52,5,42,구로구,2
59.98,8,20,강북구,5.1
84.89,22,24,동대문,7.345
81.63,5,35,강동구,7.43
59.95,22,28,광진구,8.9
84.98,17,3,영등포,13.3
84.92,3,5,관악구,11
84.97,6,4,양천구,7.85
99.15,3,39,양천구,17.5
84.99,7,20,양천구,10.2
71.83,8,41,노원구,5.99
84.48,3,41,강남구,29
84.9725,16,8,송파구,13.7
84.98,6,4,양천구,9.6
115.54,22,26,동작구,10.45
59.9,5,28,구로구,5.2
60.39,3,25,중구,6.2
84.751,15,36,송파구,16.3
59.96,2,16,강남구,20.5
84.29,14,14,강북구,9.2
59.96,3,3,은평구,8.8
84.83,10,10,강남구,14.4
59.93,10,6,서초구,24.3
84.87,3,26,성북구,7
59.817,2,15,은평구,7
84.697,10,10,금천구,9.2
41.85,9,30,강서구,5.15
33.18,7,30,강서구,4.1
84.72,16,25,성북구,7.1
59.22,6,34,중랑구,4.9
45.9,8,36,노원구,4.9
84.83,13,24,동대문,7.4
79.97,1,37,구로구,5.52
84.822,6,25,성동구,13.75
167.14,18,15,은평구,11.5
84.96,9,25,광진구,13.75
72.7,12,40,송파구,11
60.13,13,41,강남구,19
84.5,4,36,영등포,10.75
125.36,44,13,구로구,17
114.88,9,22,중구,13.75
59.89,10,15,구로구,7.1
51.03,4,30,강서구,4.2
59.95,12,28,광진구,8.88
63.82,4,7,강남구,7.8005
84.972,8,7,중구,15.3
84.55,8,10,강서구,10.64
59.98,11,15,서초구,24.5
84.94,13,28,강동구,9.45
84.98,16,6,은평구,8.7
84.97,9,18,서초구,13.25
59.8848,5,18,강남구,19
114.84,12,24,영등포,13.7
50.14,8,38,노원구,6.88
84.9,9,26,성북구,7.7
84.9921,13,5,강동구,11.4
45.55,15,36,노원구,5.4
59.82,1,24,강북구,2.3
55.55,3,22,금천구,5.87
84.98,11,18,서초구,22.25
59.12,9,9,서대문,4.55
84.84,12,29,양천구,8.8
59.39,9,5,동대문,8.3
59.9398,20,3,강동구,11.35
84.87,4,24,구로구,9
59.98,3,14,강동구,9.85
84.9771,15,5,동대문,10.3
59.92,2,3,성북구,7.15
58.77,14,36,도봉구,4.25
155.97,4,20,종로구,14.8
59.76,7,30,강남구,12.35
84.93,4,30,도봉구,5.5
244.19,8,25,서초구,19
59.43,10,38,마포구,11
59.96,3,6,송파구,15.4
29.53,11,20,용산구,3.69
79.7,16,23,송파구,13.3
79.42,9,46,서초구,24.6
29.35,3,1,중랑구,2.7445
49.82,17,4,강동구,6.18
84.95,31,7,금천구,10.3
131.83,11,38,강동구,15.3
59.57,14,25,구로구,6.27
59.97,7,26,성북구,6.3
47.94,10,38,양천구,12.1
134.99,3,21,강서구,11.7
31.96,5,1,강북구,3.08
191.872,31,15,마포구,25
72.34,3,35,광진구,12.8
84.93,6,18,양천구,13.7
32.34,4,36,도봉구,3.58
59.74,16,29,성동구,6.4
59.86,4,24,송파구,10.2
59.34,25,24,동대문,6.8
84.98,5,19,강서구,12.4
59.96,3,3,은평구,8.5
42.93,9,36,도봉구,3.3
36.2275,20,2,은평구,4.5
59.67,7,36,도봉구,3.95
54.94,5,37,양천구,11.3
84.962,13,18,구로구,7
60,5,26,마포구,8.5
84.8768,10,20,금천구,7.25
78.87,5,4,양천구,9.3
84.99,24,27,광진구,14.35
18.92,17,9,동대문,1.45
70.62,9,38,도봉구,4.58
84.78,15,30,서대문,8.5
101.94,8,10,강남구,18.8
59.373,15,17,성북구,8.15
84.96,11,25,금천구,6.1
84.94,4,35,노원구,7.1
59.64,3,24,강동구,8.37
79.8,9,34,성동구,10.2
59.9,28,5,성북구,8.6
16.93,6,11,강북구,1.665
84.65,7,36,은평구,7.825
97.35,4,24,강남구,24
59.9825,11,7,강서구,9.1
121.931,1,17,강남구,30
83.45,23,8,마포구,16
45.55,11,35,노원구,3.965
84.97,22,3,송파구,13.5
59.866,14,22,은평구,5.6
39.6,7,31,강서구,5.1
79.777,23,22,영등포,10.25
84.951,4,11,동작구,10.9
84.76,10,18,마포구,11.4
44.64,23,26,구로구,4.5
84.99,19,6,송파구,18.9
36.88,7,18,구로구,4.1
84.92,3,10,성동구,14.7
84.96,13,24,노원구,6.35
59.88,14,36,구로구,5.1
44.52,2,32,노원구,3.55
59.97,5,25,광진구,10.4
36.01,7,11,구로구,2.67
57.33,16,27,서초구,15
84.971,31,9,서대문,12.5
59.75,17,20,관악구,7.5
80.5154,16,4,서초구,16.3
49.14,1,36,양천구,10.5
48.26,7,47,영등포,14.3
84.5,13,28,노원구,6.85
84.98,2,6,송파구,16.55
84.98,11,6,송파구,20.5
59.9,3,15,성북구,7.17
145.72,12,18,송파구,14.25
83.52,7,39,강동구,9.5
75.48,1,43,영등포,7.8
59.39,12,27,노원구,4.6
32.39,11,37,노원구,3.95
84.98,14,8,성동구,14.45
194.51,1,21,서초구,19.7
74.54,3,31,강남구,18.9
59.96,16,16,송파구,18.4
47.24,13,9,종로구,3.8
84.96,8,25,강동구,8.98
84.72,5,20,은평구,5.2
61.59,11,42,영등포,8.3
36.2275,17,2,은평구,4.5
59.983,7,17,마포구,10.63
59.98,12,15,서초구,23.5
44.52,4,32,노원구,3.65
49.54,8,33,노원구,5.06
84.85,5,36,노원구,7.85
59.99,1,4,강동구,7.05
39.6,12,31,강서구,5.43
84.98,7,23,영등포,13
50.82,6,3,은평구,5.6
59.79,20,23,동대문,5.95
59.94,5,29,강서구,6.38
84.72,4,30,성북구,6.3
83.45,14,8,마포구,15.25
84.87,6,17,동작구,9.4
83.06,15,36,송파구,19.3
58.01,1,37,노원구,6.7
59.981,16,5,강동구,9.98
84.43,10,44,강남구,22.8
84.983,5,21,구로구,9.9
115.26,7,31,노원구,11.285
59.86,5,3,강서구,10.7
13.62,13,11,노원구,1.25
84.99,16,9,은평구,10.3
84.951,5,12,동작구,13.1
142.034,11,12,마포구,20.7
59.95,1,25,종로구,8.4
84.83,9,5,동대문,11.8
65.14,3,35,노원구,5.95
84.2293,11,5,마포구,12
59.58,19,20,관악구,7
59.7479,28,5,강남구,20.5
59.85,9,6,서대문,12.1
59.9365,8,3,동작구,10.45
36.2275,23,2,은평구,4.5
21.7,7,11,강서구,1.175
73.08,6,38,구로구,7.2
84.445,13,3,강동구,9.738
59.97,4,18,강동구,5
84.92,14,32,강동구,11.5
50.14,5,38,노원구,6.7
49.77,12,28,중랑구,5.15
59.97,15,4,양천구,8.8
84.55,12,19,도봉구,7.55
167.73,10,21,송파구,19.5
114.66,5,25,성북구,8
84.89,23,13,용산구,17.75
59.34,12,24,강서구,7
84.8,12,21,양천구,8.4
49.9281,5,2,서초구,17.56
50.18,7,37,노원구,5.75
84.79,6,16,은평구,7.275
133.68,8,30,광진구,8.75
59.84,8,16,강서구,7.5
59.95,6,28,광진구,8.9
84.97,12,34,광진구,12.45
58.14,3,29,노원구,6.75
84.77,11,35,서대문,6.5
76.53,5,18,양천구,6.4
59.895,12,21,은평구,5.7
39.69,4,35,송파구,6.5
125.79,4,36,송파구,15.5
59.96,5,15,동작구,7.5
60.5,6,36,노원구,5.5
84.96,5,6,송파구,20.8
59.94,4,21,성동구,9.48
84.98,17,23,영등포,13.6
12.62,12,10,영등포,1.589
84.81,9,41,강남구,26
63.83,5,47,영등포,14.7
84.96,27,24,관악구,7.25
76.65,1,25,은평구,5.2858
84.98,1,39,송파구,15.45
47.7,9,23,서초구,9
16.69,19,6,노원구,1.43
23.34,3,2,강북구,2.115
84.98,1,6,은평구,8.1
84.98,15,20,영등포,12.5
84.97,1,34,광진구,11.7
97.65,11,26,강서구,4.9
