id,monetary,age,male,offer,convert
91,30,40,1,1,0
92,33,58,1,1,0
93,110,27,0,1,1
94,53,45,1,1,0
95,124,32,0,1,1
96,131,33,0,1,1
97,42,54,1,1,0
98,23,38,1,1,1
99,83,39,0,1,1
100,96,50,0,1,1
101,141,38,1,1,1
102,91,51,1,1,0
103,108,46,0,1,1
104,287,42,0,1,1
105,133,40,1,1,0
106,143,48,1,1,0
107,22,50,1,1,0
108,64,55,1,1,0
109,255,35,0,1,1
110,89,25,1,1,0
111,134,53,0,1,0
112,83,41,1,1,0
113,99,38,1,1,0
114,382,31,1,1,1
115,128,35,1,1,1
116,104,47,0,1,0
117,86,22,1,1,0
118,109,27,0,1,1
119,133,33,1,1,1
120,42,47,1,1,0
121,60,36,0,1,0
122,115,51,1,1,0
123,89,31,1,1,0
124,52,41,1,1,0
125,20,38,0,1,0
126,88,48,1,1,0
127,30,38,0,1,0
128,106,47,0,1,0
129,55,53,1,1,0
130,27,38,1,1,0
131,111,37,1,1,1
132,70,52,1,1,0
133,106,46,1,1,0
134,50,39,1,1,0
135,95,39,0,1,0
136,78,40,1,1,0
137,109,24,0,1,1
138,100,32,0,1,1
139,68,50,1,1,0
140,23,26,0,1,1
141,46,54,0,1,0
142,112,25,1,1,1
143,146,54,1,1,0
144,92,26,1,1,1
145,51,40,1,1,0
146,81,28,1,1,1
147,37,27,0,1,0
148,260,31,1,1,1
149,36,44,1,1,0
150,106,23,0,1,0
151,27,30,1,1,1
152,118,43,0,1,0
153,137,45,1,1,0
154,83,29,0,1,0
155,78,32,1,1,0
156,104,43,0,1,1
157,21,54,1,1,0
158,91,21,0,1,1
159,28,45,1,1,0
160,29,27,1,1,0
161,81,25,0,1,1
162,31,44,0,1,0
163,83,32,1,1,0
164,77,32,1,1,0
165,134,41,0,1,0
166,132,37,1,1,0
167,103,50,0,1,0
168,81,33,0,1,1
169,22,20,1,1,0
170,109,23,1,1,0
171,61,55,1,1,0
172,72,40,0,1,0
173,22,42,1,1,0
174,83,44,1,1,0
175,56,27,1,1,0
176,25,37,1,1,0
177,146,49,1,1,0
178,96,49,1,1,0
179,23,52,1,1,0
180,123,22,1,1,1
181,34,50,0,1,0
182,21,22,1,1,0
183,27,41,1,1,0
184,321,50,1,1,1
185,59,43,1,1,0
186,111,42,1,1,0
187,80,50,1,1,0
188,75,53,1,1,0
189,113,52,1,1,0
190,55,38,1,1,0
191,95,33,1,1,0
192,103,45,0,1,0
193,80,48,1,1,0
194,80,46,1,1,0
195,284,38,0,1,1
196,140,31,0,1,1
197,69,47,1,1,0
198,149,54,1,1,0
199,127,45,1,1,0
200,143,53,1,1,0
201,105,44,0,0,0
202,122,55,1,0,0
203,54,27,1,0,0
204,107,40,0,0,0
205,52,51,1,0,0
206,120,42,1,0,0
207,123,54,0,0,0
208,77,27,0,0,0
209,106,55,0,0,0
210,89,43,1,0,0
211,54,25,1,0,0
212,55,31,0,0,0
213,128,30,1,0,0
214,320,34,1,0,1
215,122,37,1,0,0
216,69,49,1,0,0
217,60,46,0,0,0
218,278,43,0,0,1
219,66,49,1,0,0
220,105,53,0,0,1
221,104,32,1,0,0
222,78,55,0,0,0
223,253,32,1,0,1
224,68,45,0,0,0
225,85,55,0,0,0
226,124,42,0,0,1
227,64,27,0,0,0
228,103,49,0,0,1
229,59,41,0,0,0
230,82,48,0,0,0
231,84,27,0,0,0
232,116,42,1,0,0
233,52,54,1,0,0
234,100,44,0,0,0
235,371,27,0,0,1
236,50,42,1,0,0
237,57,42,1,0,0
238,272,50,0,0,1
239,84,40,0,0,0
240,126,26,1,0,0
241,118,40,1,0,0
242,112,38,0,0,0
243,85,44,1,0,0
244,55,34,1,0,0
245,68,25,0,0,0
246,120,47,0,0,0
247,107,55,0,0,0
248,91,51,1,0,0
249,117,47,0,0,0
250,99,48,0,0,0
251,76,43,1,0,0
252,128,49,0,0,0
253,79,26,0,0,0
254,50,48,0,0,0
255,82,48,0,0,1
256,130,25,0,0,1
257,84,47,0,0,1
258,69,41,1,0,0
259,102,48,1,0,1
260,73,42,1,0,1
261,105,45,0,0,0
262,99,45,0,0,0
263,93,45,1,0,1
264,98,34,0,0,0
265,75,37,0,0,0
266,56,27,0,0,0
267,130,33,0,0,0
268,99,26,0,0,0
269,250,55,0,0,1
270,111,44,0,0,0
271,112,55,0,0,0
272,118,27,0,0,0
273,124,31,1,0,0
274,73,25,1,0,0
275,92,35,0,0,0
276,56,46,1,0,0
277,105,54,1,0,0
278,80,47,1,0,0
279,112,41,0,0,0
280,63,50,1,0,0
281,95,46,1,0,0
282,94,55,0,0,0
283,90,54,0,0,1
284,87,45,1,0,0
285,75,31,0,0,0
286,81,30,0,0,1
287,115,33,1,0,0
288,118,47,1,0,0
289,119,44,1,0,0
290,71,35,1,0,0
291,92,48,0,0,1
292,91,26,1,0,0
293,110,34,1,0,0
294,60,36,0,0,0
295,96,32,1,0,0
296,129,28,0,0,1
297,270,44,0,0,1
298,104,42,0,0,0
299,130,52,1,0,0
300,112,55,0,0,0
301,73,49,0,0,0
302,107,31,0,0,0
303,52,48,1,0,1
304,387,35,1,0,0
305,91,30,1,0,0
306,167,47,1,0,1
307,66,30,0,0,0
308,297,30,0,0,1
309,79,32,1,0,0
310,80,29,0,0,0
311,88,39,0,0,1
312,101,46,1,0,1
313,74,30,1,0,1
314,101,36,0,0,0
315,120,51,1,0,0
316,54,36,1,0,0
317,96,33,0,0,0
318,88,54,1,0,0
319,100,55,0,0,0
320,77,50,0,0,1
321,88,30,0,0,0
322,54,35,0,0,0
323,94,55,1,0,0
324,125,47,0,0,0
325,58,51,1,0,0
326,123,50,1,0,0
327,91,42,1,0,0
328,73,51,0,0,0
329,94,30,0,0,0
330,126,37,1,0,0
331,80,51,0,0,1
332,125,32,1,0,0
333,70,36,0,0,0
334,119,33,0,0,0
335,80,45,1,0,0
336,119,37,0,0,0
337,116,47,0,0,0
338,94,54,0,0,0
339,14,53,0,0,0
340,79,49,0,0,0
341,278,49,1,0,1
342,157,45,0,0,1
343,102,31,0,0,0
344,77,33,0,0,0
345,122,55,0,0,0
346,87,33,0,0,0
347,120,28,0,0,0
348,105,48,1,0,1
349,51,54,0,0,0
350,128,42,0,0,1
351,107,52,1,0,0
352,122,55,0,0,0
353,62,40,0,0,0
354,96,29,1,0,0
355,71,50,0,0,1
356,83,28,0,0,0
357,76,34,1,0,0
358,54,31,1,0,0
359,125,28,1,0,0
360,65,40,1,0,0
361,119,44,0,0,1
362,64,46,1,0,0
363,57,53,1,0,0
364,129,40,0,0,0
365,87,53,0,0,0
366,60,33,1,0,0
367,77,53,0,0,0
368,65,55,1,0,0
369,68,26,0,0,0
370,298,50,0,0,1
371,104,52,1,0,0
372,73,51,0,0,0
373,93,33,0,0,0
374,96,42,1,0,0
375,65,50,0,0,0
376,81,27,1,0,0
377,108,54,0,0,0
378,109,30,0,0,0
379,90,34,0,0,0
380,75,34,0,0,0
381,120,48,0,0,1
382,115,57,0,0,1
383,118,29,0,0,1
384,103,31,0,0,0
385,98,45,0,0,0
386,68,38,1,0,0
387,64,35,0,0,0
388,93,50,1,0,1
389,112,39,1,0,0
390,126,53,0,0,0
391,83,51,0,0,1
392,117,42,1,0,0
393,115,41,0,0,0
394,69,49,1,0,0
395,121,36,1,0,0
396,63,54,1,0,0
397,90,43,1,0,1
398,107,38,0,0,0
399,111,34,1,0,1
400,93,32,1,0,0
401,112,32,1,0,0
402,91,33,0,0,0
403,85,45,0,0,0
404,62,47,1,0,0
405,56,40,0,0,0
406,121,49,0,0,0
407,50,45,0,0,0
408,82,36,0,0,0
409,77,55,1,0,1
410,68,31,1,0,0
411,130,32,0,0,1
412,65,54,1,0,0
413,59,47,1,0,0
414,52,39,1,0,0
415,55,49,1,0,0
416,88,40,0,0,0
417,88,45,0,0,0
418,53,35,0,0,0
419,130,37,1,0,0
420,126,53,0,0,0
421,116,50,1,0,0
422,121,25,0,0,0
423,76,34,0,0,0
424,72,27,1,0,0
425,61,40,0,0,0
426,77,42,0,0,0
427,93,38,1,0,0
428,88,40,0,0,0
429,119,25,1,0,0
430,115,37,1,0,0
431,54,27,1,0,0
432,75,49,0,0,0
433,121,40,1,0,0
434,67,52,0,0,0
435,118,40,1,0,0
436,64,43,0,0,0
437,115,41,1,0,0
438,70,36,0,0,1
439,53,54,0,0,0
440,60,26,0,0,0
441,120,53,0,0,0
442,96,29,0,0,0
443,96,37,0,0,0
444,20,38,0,0,0
445,355,51,0,0,1
446,88,31,1,0,0
447,117,43,0,0,0
448,124,44,0,0,0
449,67,46,0,0,0
450,91,38,0,0,0
451,71,43,1,0,0
452,116,36,1,0,0
453,54,34,1,0,0
454,65,29,1,0,0
455,81,26,0,0,0
456,70,44,0,0,0
457,86,29,0,0,0
458,110,44,0,0,0
459,119,25,0,0,0
460,94,34,1,0,0
461,96,38,0,0,0
462,124,37,1,0,0
463,119,33,1,0,0
464,88,45,0,0,0
465,83,54,1,0,0
466,62,39,1,0,0
467,88,49,0,0,0
468,81,27,1,0,0
469,70,31,1,0,0
470,69,30,1,0,0
471,62,52,0,0,0
472,99,44,0,0,1
473,63,46,1,0,0
474,79,50,0,0,0
475,122,56,0,0,1
476,116,46,0,0,0
477,113,45,0,0,0
478,71,25,0,0,0
479,130,30,0,0,0
480,101,28,0,0,0
481,104,46,0,0,0
482,355,46,1,0,1
483,120,40,1,0,1
484,98,51,1,0,0
485,123,25,1,0,0
486,103,51,0,0,1
487,120,54,1,0,0
488,74,51,0,0,0
489,55,44,1,0,0
490,103,27,1,0,0
491,100,52,1,0,0
492,51,29,0,0,0
493,103,49,0,0,1
494,103,55,1,0,0
495,105,29,0,0,0
496,104,40,1,0,0
497,125,48,1,0,0
498,57,33,1,0,0
499,75,29,1,0,0
500,50,44,1,0,0
501,121,48,0,0,0
502,81,52,0,0,0
503,124,55,0,0,1
504,108,50,0,0,0
505,127,40,1,0,0
506,99,54,1,0,0
507,72,27,0,0,0
508,112,35,1,0,0
509,70,27,0,0,0
510,117,45,0,0,0
511,61,42,0,0,0
512,259,47,0,0,1
513,94,30,0,0,0
514,98,38,1,0,0
515,121,29,1,0,0
516,69,33,1,0,0
517,53,40,1,0,0
518,113,43,0,0,0
519,108,51,1,0,0
520,105,38,0,0,0
521,74,47,0,0,0
522,61,30,1,0,0
523,81,37,1,0,0
524,122,47,1,0,0
525,77,47,0,0,0
526,72,47,0,0,1
527,106,30,0,0,0
528,84,37,1,0,0
529,63,40,1,0,0
530,119,49,0,0,0
531,108,35,1,0,0
532,117,39,1,0,0
533,79,50,1,0,0
534,61,29,0,0,0
535,124,40,0,0,1
536,89,29,1,0,0
537,104,53,1,0,0
538,121,37,0,0,0
539,63,38,1,0,0
540,97,26,1,0,1
541,119,53,0,0,1
542,268,53,0,0,0
543,102,32,0,0,0
544,53,52,0,0,0
545,73,49,1,0,0
546,88,38,0,0,0
547,92,33,0,0,0
548,98,53,0,0,0
549,117,37,1,0,0
550,96,42,0,0,0
551,62,48,1,0,0
552,76,32,1,0,0
553,123,38,1,0,0
554,126,29,0,0,0
555,51,39,1,0,0
556,109,53,1,0,0
557,113,34,0,0,0
558,66,44,0,0,0
559,79,54,1,0,0
560,127,49,0,0,0
561,117,32,1,0,1
562,58,55,1,0,1
563,87,27,0,0,1
564,84,52,0,0,0
565,86,50,0,0,1
566,127,31,1,0,0
567,81,54,1,0,0
568,65,38,0,0,0
569,125,38,1,0,0
570,81,51,1,0,1
571,65,50,0,0,0
572,167,52,1,0,1
573,105,55,1,0,0
574,78,36,1,0,0
575,102,30,1,0,0
576,50,41,0,0,0
577,98,54,0,0,0
578,83,30,1,0,1
579,98,41,0,0,0
580,83,46,0,0,1
581,122,47,0,0,0
582,124,29,1,0,0
583,98,54,1,0,0
584,128,25,0,0,0
585,103,31,0,0,0
586,52,43,0,0,0
587,77,50,1,0,0
588,66,50,0,0,0
589,57,30,0,0,0
590,125,46,0,0,1
591,71,33,0,0,0
592,66,55,0,0,1
593,60,40,1,0,0
594,73,40,0,0,0
595,73,28,1,0,0
596,79,42,0,0,1
597,90,27,0,0,0
598,88,43,0,0,1
599,74,40,0,0,0
600,272,47,0,0,1
601,63,53,1,0,0
602,130,27,0,0,0
603,53,37,1,0,0
604,95,41,0,0,0
605,86,37,0,0,0
606,95,42,0,0,0
607,78,27,1,0,0
608,104,51,0,0,0
609,96,49,1,0,0
610,79,52,1,0,0
611,96,29,0,0,0
612,65,45,1,0,0
613,54,53,1,0,0
614,62,28,1,0,0
615,74,42,1,0,1
616,65,51,1,0,0
617,59,27,1,0,1
618,75,30,0,0,0
619,90,33,0,0,1
620,86,26,0,0,0
621,51,37,0,0,0
622,123,48,0,0,1
623,60,30,0,0,0
624,51,25,1,0,0
625,89,50,1,0,0
626,75,41,0,0,0
627,102,37,1,0,0
628,55,55,1,0,0
629,104,37,0,0,0
630,130,33,1,0,0
631,98,47,0,0,0
632,79,37,0,0,0
633,60,43,1,0,0
634,400,40,0,0,1
635,115,52,0,0,1
636,51,33,0,0,0
637,85,29,0,0,0
638,55,40,0,0,0
639,127,32,0,0,0
640,121,31,0,0,0
641,104,27,1,0,1
642,56,29,0,0,1
643,69,51,0,0,0
644,55,36,0,0,0
645,96,54,0,0,1
646,92,35,1,0,1
647,114,26,1,0,0
648,58,50,0,0,0
649,80,30,1,0,0
650,127,30,1,0,0
651,66,25,1,0,0
652,61,40,1,0,1
653,93,41,0,0,0
654,61,50,0,0,0
655,128,36,0,0,0
656,117,50,1,0,0
657,85,36,0,0,1
658,89,25,1,0,0
659,128,48,0,0,0
660,95,30,0,0,0
661,65,43,0,0,0
662,97,28,0,0,0
663,121,40,0,0,0
664,94,53,0,0,0
665,123,47,1,0,0
666,75,53,0,0,0
667,123,31,0,0,0
668,97,25,0,0,0
669,75,35,1,0,0
670,122,37,1,0,0
671,85,45,0,0,0
672,88,47,1,0,0
673,111,55,1,0,0
674,129,27,0,0,0
675,73,40,0,0,0
676,120,53,0,0,0
677,58,52,1,0,1
678,119,49,0,0,0
679,94,37,0,0,0
680,80,42,1,0,0
681,124,51,0,0,1
682,52,48,0,0,0
683,70,29,1,0,0
684,71,55,0,0,0
685,125,29,1,0,0
686,126,46,0,0,0
687,76,44,0,0,0
688,53,33,0,0,0
689,81,52,1,0,0
690,75,28,1,0,0
691,119,47,0,0,0
692,118,46,0,0,0
693,82,42,0,0,0
694,82,35,0,0,0
695,85,48,0,0,0
696,56,35,1,0,0
697,104,25,0,0,0
698,305,52,1,0,1
699,98,52,1,0,0
700,109,36,0,0,0
701,90,48,1,0,0
702,124,48,1,0,0
703,118,52,1,0,0
704,52,42,1,0,0
705,96,46,1,0,0
706,91,41,0,0,0
707,82,32,1,0,0
708,79,44,1,0,0
709,87,53,0,0,0
710,107,25,1,0,0
711,77,46,0,0,0
712,68,40,1,0,0
713,129,42,1,0,0
714,51,46,1,0,0
715,72,54,0,0,0
716,69,42,0,0,1
717,58,51,0,0,0
718,84,39,1,0,0
719,74,29,0,0,0
720,105,44,0,0,0
721,50,35,0,0,0
722,98,45,1,0,1
723,100,30,0,0,0
724,69,58,1,0,1
725,119,36,0,0,0
726,120,36,1,0,0
727,69,55,1,0,0
728,103,55,1,0,1
729,78,54,0,0,0
730,102,46,1,0,0
731,129,43,0,0,0
732,106,51,1,0,1
733,247,43,1,0,1
734,56,53,1,0,0
735,80,40,0,0,0
736,124,54,0,0,1
737,103,55,1,0,0
738,76,47,1,0,0
739,70,42,0,0,0
740,91,34,1,0,0
741,96,41,0,0,0
742,123,33,0,0,0
743,80,46,1,0,0
744,120,42,0,0,0
745,128,43,1,0,0
746,119,29,1,0,0
747,79,51,1,0,0
748,109,48,0,0,0
749,56,40,0,0,1
750,123,53,0,0,0
751,107,31,1,0,0
752,65,52,1,0,1
753,94,41,0,0,0
754,82,25,0,0,0
755,97,47,0,0,0
756,76,31,0,0,0
757,55,36,0,0,0
758,58,27,0,0,0
759,95,28,0,0,0
760,68,31,0,0,0
761,66,25,0,0,0
762,87,45,1,0,0
763,121,44,1,0,0
764,104,29,1,0,0
765,19,52,1,0,0
766,378,35,0,0,1
767,28,34,0,0,0
768,76,51,1,0,0
769,65,49,0,0,0
770,117,28,1,0,0
771,90,46,0,0,0
772,56,40,1,0,0
773,109,52,1,0,1
774,78,44,1,0,0
775,107,51,1,0,1
776,130,53,0,0,0
777,84,49,0,0,0
778,59,27,1,0,0
779,70,38,0,0,0
780,123,50,0,0,0
781,111,39,0,0,0
782,91,28,0,0,0
783,70,33,0,0,0
784,113,27,0,0,0
785,113,48,1,0,0
786,115,37,0,0,0
787,104,27,0,0,0
788,57,45,1,0,0
789,68,37,0,0,0
790,89,46,1,0,0
791,77,30,1,0,0
792,115,41,0,0,0
793,101,43,0,0,1
794,90,55,0,0,0
795,87,35,0,0,0
796,378,27,1,0,1
797,124,26,0,0,1
798,54,31,0,0,0
799,53,35,0,0,1
800,50,35,0,0,0
801,63,49,1,0,0
802,64,37,1,0,0
803,61,27,0,0,0
804,74,25,0,0,0
805,80,48,1,0,0
806,70,50,0,0,0
807,76,26,1,0,1
808,114,37,0,0,0
809,63,48,0,0,0
810,67,46,1,0,0
811,125,46,1,0,0
812,78,28,0,0,0
813,76,29,0,0,0
814,71,45,1,0,1
815,112,54,0,0,0
816,93,49,1,0,0
817,59,33,1,0,0
818,103,52,0,0,0
819,111,35,0,0,0
820,98,54,1,0,0
821,110,43,1,0,0
822,71,47,0,0,0
823,60,35,1,0,0
824,73,55,0,0,0
825,110,47,1,0,0
826,61,52,1,0,0
827,350,51,1,0,1
828,107,25,0,0,0
829,116,40,1,0,0
830,112,36,1,0,0
831,269,38,0,0,1
832,170,27,0,0,1
833,116,49,1,0,0
834,88,40,1,0,0
835,126,53,1,0,1
836,66,43,0,0,0
837,69,45,0,0,0
838,97,28,1,0,0
839,103,49,1,0,0
840,110,50,0,0,1
841,92,26,0,0,0
842,94,27,1,0,0
843,69,54,1,0,1
844,125,44,1,0,0
845,64,42,1,0,0
846,76,53,0,0,1
847,78,47,1,0,0
848,104,29,1,0,1
849,58,40,0,0,1
850,75,46,1,0,0
851,86,37,0,0,0
852,107,29,1,0,0
853,84,50,1,0,0
854,54,52,0,0,0
855,108,48,0,0,0
856,72,40,1,0,0
857,101,46,0,0,0
858,108,27,0,0,0
859,116,28,1,0,0
860,74,35,0,0,0
861,69,46,1,0,0
862,116,28,1,0,0
863,84,26,1,0,0
864,58,45,1,0,0
865,98,51,0,0,0
866,87,45,0,0,0
867,324,48,1,0,1
868,110,28,0,0,0
869,74,34,0,0,0
870,102,58,1,0,1
871,278,44,1,0,1
872,103,36,1,0,0
873,397,48,0,0,1
874,118,33,0,0,0
875,88,39,0,0,0
876,55,48,0,0,1
877,102,37,0,0,1
878,108,51,1,0,0
879,75,55,1,0,0
880,69,50,1,0,0
881,59,29,1,0,0
882,103,28,0,0,0
883,126,55,0,0,1
884,101,30,0,0,0
885,120,45,0,0,1
886,97,44,1,0,0
887,100,27,0,0,0
888,105,29,1,0,0
889,121,47,0,0,0
890,95,46,0,0,0
891,92,42,0,0,0
892,68,35,1,0,0
893,100,32,0,0,0
894,106,30,0,0,1
895,115,29,0,0,0
896,80,27,1,0,0
897,63,46,0,0,0
898,63,50,0,0,0
899,116,32,0,0,0
900,60,36,0,0,1
901,89,29,0,0,0
902,121,26,0,0,0
903,59,28,0,0,0
904,54,49,0,0,0
905,36,37,1,0,0
906,60,28,0,0,0
907,84,32,0,0,1
908,70,43,0,0,0
909,62,39,1,0,0
910,89,41,1,0,0
911,83,25,0,0,0
912,74,31,0,0,0
913,97,46,0,0,0
914,114,55,1,0,1
915,95,31,1,0,0
916,104,40,1,0,0
917,125,41,0,0,0
918,130,47,0,0,1
919,121,44,1,0,0
920,64,46,1,0,0
921,68,27,0,0,0
922,105,48,1,0,1
923,105,25,1,0,1
924,75,51,0,0,0
925,68,31,1,0,0
926,104,30,0,0,0
927,59,28,0,0,0
928,115,44,0,0,1
929,107,53,0,0,0
930,84,45,1,0,0
931,50,42,1,0,0
932,359,47,0,0,1
933,81,37,0,0,0
934,117,28,0,0,0
935,52,52,0,0,0
936,58,26,0,0,0
937,56,46,1,0,0
938,112,35,1,0,0
939,117,51,1,0,0
940,97,28,0,0,0
941,122,27,1,0,0
942,107,31,0,0,0
943,121,44,0,0,0
944,76,27,1,0,0
945,104,44,0,0,0
946,56,39,0,0,0
947,115,34,1,0,1
948,74,37,1,0,0
949,130,41,1,0,0
950,127,41,1,0,0
951,77,50,1,0,0
952,66,51,1,0,0
953,51,44,1,0,0
954,91,29,0,0,0
955,55,52,0,0,0
956,109,28,0,0,0
957,115,35,1,0,0
958,109,40,1,0,0
959,125,28,1,0,0
960,116,55,0,0,0
961,96,42,1,0,0
962,285,32,0,0,1
963,107,43,0,0,0
964,100,44,1,0,0
965,116,51,0,0,0
966,119,53,1,0,0
967,75,40,0,0,0
968,315,52,1,0,1
969,110,47,0,0,0
970,74,55,1,0,0
971,59,34,0,0,0
972,54,55,0,0,0
973,58,36,0,0,0
974,78,54,0,0,0
975,64,40,1,0,0
976,74,44,0,0,0
977,50,31,0,0,0
978,217,54,0,0,1
979,49,55,1,0,0
980,82,49,0,0,0
981,124,36,0,0,0
982,25,35,1,0,0
983,61,31,0,0,1
984,99,36,0,0,0
985,97,42,1,0,1
986,36,36,0,0,0
987,62,34,1,0,0
988,84,35,1,0,0
989,68,32,0,0,0
990,53,52,1,0,0
991,50,36,0,0,0
992,54,43,1,0,0
993,61,27,1,0,0
994,81,50,1,0,0
995,60,36,1,0,0
996,110,41,1,0,0
997,117,46,1,0,0
998,117,42,0,0,0
999,390,51,1,0,1
1000,83,28,1,0,0
