v0,v1,theta,c0,c1,p0,p1
4821,4836,0.5,8,7,13.16666667,2.833333333
3659,4630,0.5,8,9,332.5,-314.5
3852,4145,0.5,6,6,104.1666667,-91.16666667
4654,4070,0.5,6,9,-187.1666667,203.1666667
4552,3635,0.5,5,5,-300.1666667,311.1666667
4811,3441,0.5,6,5,-450.5,462.5
4387,4338,0.5,7,7,-8.833333333,23.83333333
4376,3277,0.5,8,5,-358.8333333,372.8333333
3825,3149,0.5,5,6,-219.5,231.5
3343,3521,0.5,8,8,67.83333333,-50.83333333
4949,3341,0.5,8,10,-526.8333333,545.8333333
3176,4333,0.5,6,5,391.8333333,-379.8333333
4308,3129,0.5,5,8,-386.5,400.5
4101,3897,0.5,5,5,-62.5,73.5
3643,3048,0.5,6,7,-191.5,205.5
4720,3774,0.5,7,9,-307.1666667,324.1666667
4591,4278,0.5,6,10,-96.5,113.5
4581,4459,0.5,6,5,-34.5,46.5
4973,4755,0.5,9,9,-63.16666667,82.16666667
4247,4655,0.5,7,9,144.1666667,-127.1666667
4159,4444,0.5,7,6,102.1666667,-88.16666667
4699,3808,0.5,6,10,-289.1666667,306.1666667
4840,3890,0.5,7,5,-309.8333333,322.8333333
4139,3120,0.5,8,10,-330.5,349.5
3545,4014,0.5,8,10,165.5,-146.5
4932,3868,0.5,7,9,-346.5,363.5
3675,4203,0.5,6,10,183.8333333,-166.8333333
4718,4581,0.5,6,10,-37.83333333,54.83333333
4938,4419,0.5,10,10,-162.5,183.5
3360,4089,0.5,5,9,249.8333333,-234.8333333
4761,4232,0.5,6,10,-168.5,185.5
4120,4117,0.5,10,10,9.5,11.5
3979,4388,0.5,6,5,142.5,-130.5
4457,3271,0.5,7,7,-387.8333333,402.8333333
4407,4977,0.5,7,5,196.8333333,-183.8333333
3572,4459,0.5,9,8,304.8333333,-286.8333333
3596,3970,0.5,5,9,131.5,-116.5
3893,4439,0.5,8,8,190.5,-173.5
4038,4353,0.5,8,8,113.5,-96.5
3385,3283,0.5,9,9,-24.5,43.5
3629,4455,0.5,8,9,284.1666667,-266.1666667
4721,4113,0.5,6,8,-195.5,210.5
3205,3545,0.5,7,10,121.8333333,-103.8333333
3655,4002,0.5,8,6,123.5,-108.5
3610,3370,0.5,9,9,-70.5,89.5
4299,4570,0.5,10,7,99.83333333,-81.83333333
3751,4783,0.5,10,6,353.1666667,-336.1666667
3869,4152,0.5,9,9,103.8333333,-84.83333333
3062,4465,0.5,5,5,473.1666667,-462.1666667
3211,4384,0.5,10,7,400.5,-382.5
4501,4135,0.5,7,7,-114.5,129.5
3840,3114,0.5,5,5,-236.5,247.5
3633,3380,0.5,6,5,-78.16666667,90.16666667
4852,4679,0.5,9,7,-48.83333333,65.83333333
4450,4747,0.5,9,5,107.1666667,-92.16666667
3760,3068,0.5,8,7,-222.5,238.5
3017,4499,0.5,10,7,503.5,-485.5
4445,4781,0.5,6,7,118.8333333,-104.8333333
4040,4808,0.5,7,6,263.1666667,-249.1666667
4110,4054,0.5,9,7,-9.833333333,26.83333333
4866,4413,0.5,9,6,-142.5,158.5
4102,4987,0.5,8,10,304.1666667,-285.1666667
3698,3548,0.5,5,8,-43.5,57.5
4482,4744,0.5,8,10,96.5,-77.5
3715,4301,0.5,7,10,203.8333333,-185.8333333
3162,4365,0.5,10,7,410.5,-392.5
4533,3083,0.5,6,8,-476.1666667,491.1666667
4527,3850,0.5,8,8,-217.1666667,234.1666667
4188,3556,0.5,10,8,-200.8333333,219.8333333
4708,4295,0.5,9,5,-129.5,144.5
3729,4534,0.5,5,7,274.5,-261.5
3680,3891,0.5,9,9,79.83333333,-60.83333333
3544,3999,0.5,9,6,160.1666667,-144.1666667
3171,3689,0.5,8,9,181.5,-163.5
4663,4127,0.5,7,10,-170.1666667,188.1666667
4201,4948,0.5,9,9,258.5,-239.5
3326,4148,0.5,7,7,281.5,-266.5
3508,3884,0.5,8,8,133.8333333,-116.8333333
4684,3117,0.5,10,8,-512.5,531.5
3185,4652,0.5,6,10,496.8333333,-479.8333333
4627,3165,0.5,9,8,-478.1666667,496.1666667
3623,4687,0.5,8,7,362.8333333,-346.8333333
3821,3123,0.5,5,10,-225.5,241.5
3712,3644,0.5,7,8,-14.83333333,30.83333333
3875,4752,0.5,7,8,300.1666667,-284.1666667
4304,4371,0.5,5,8,28.83333333,-14.83333333
3083,4379,0.5,10,9,442.1666667,-422.1666667
4712,4652,0.5,10,8,-10.16666667,29.16666667
4699,3133,0.5,10,9,-511.8333333,531.8333333
3582,4985,0.5,7,7,475.1666667,-460.1666667
3336,4177,0.5,7,6,287.5,-273.5
3482,3584,0.5,8,7,42.16666667,-26.16666667
4859,4791,0.5,10,8,-12.83333333,31.83333333
4428,4416,0.5,5,8,2.5,11.5
4212,4746,0.5,5,7,184.1666667,-171.1666667
3453,3589,0.5,7,6,52.5,-38.5
3457,3732,0.5,5,10,98.83333333,-82.83333333
3526,3280,0.5,7,8,-74.16666667,90.16666667
4950,3411,0.5,9,8,-503.8333333,521.8333333
4499,3841,0.5,9,9,-209.8333333,228.8333333
3296,3281,0.5,10,8,4.833333333,14.16666667
3837,3090,0.5,7,9,-240.8333333,257.8333333
3635,3615,0.5,6,9,0.833333333,15.16666667
3519,3845,0.5,6,7,115.5,-101.5
3028,4592,0.5,10,7,530.8333333,-512.8333333
3488,4544,0.5,8,7,360.1666667,-344.1666667
3086,3211,0.5,6,5,47.83333333,-35.83333333
4363,4604,0.5,10,9,90.5,-70.5
4578,3427,0.5,7,9,-375.5,392.5
4803,3032,0.5,7,10,-581.8333333,599.8333333
4851,3800,0.5,6,7,-343.5,357.5
3164,4840,0.5,7,5,565.5,-552.5
3342,3022,0.5,5,9,-99.83333333,114.8333333
3388,3287,0.5,6,5,-27.5,39.5
4851,3456,0.5,8,6,-457.1666667,472.1666667
4502,4747,0.5,7,9,89.83333333,-72.83333333
4882,3389,0.5,6,8,-490.5,505.5
4082,4119,0.5,8,6,20.16666667,-5.166666667
4296,4747,0.5,5,5,155.8333333,-144.8333333
4137,3290,0.5,9,5,-274.1666667,289.1666667
4070,3603,0.5,8,10,-146.5,165.5
4545,4423,0.5,5,5,-35.16666667,46.16666667
3309,4782,0.5,7,7,498.5,-483.5
4427,3360,0.5,6,10,-347.8333333,364.8333333
4148,3408,0.5,10,7,-237.1666667,255.1666667
4217,3426,0.5,5,6,-257.8333333,269.8333333
4833,4434,0.5,5,8,-126.5,140.5
4786,3303,0.5,9,8,-485.1666667,503.1666667
3099,3458,0.5,7,8,127.5,-111.5
4077,3786,0.5,9,9,-87.5,106.5
4150,3613,0.5,9,8,-169.8333333,187.8333333
4107,4287,0.5,7,6,67.16666667,-53.16666667
3075,3177,0.5,5,8,40.5,-26.5
3814,4760,0.5,5,6,321.1666667,-309.1666667
3725,3864,0.5,10,7,55.83333333,-37.83333333
4398,4335,0.5,10,6,-11.83333333,28.83333333
4615,4450,0.5,8,5,-47.5,61.5
4283,4762,0.5,5,5,165.1666667,-154.1666667
4989,3141,0.5,10,5,-607.1666667,623.1666667
4552,3493,0.5,10,5,-344.1666667,360.1666667
3643,4522,0.5,5,5,298.5,-287.5
4156,3915,0.5,9,8,-71.16666667,89.16666667
4773,4471,0.5,9,9,-91.16666667,110.1666667
3073,4279,0.5,6,6,408.5,-395.5
4378,4134,0.5,6,8,-74.16666667,89.16666667
3160,3233,0.5,7,9,32.5,-15.5
4669,4004,0.5,6,8,-214.5,229.5
4428,3443,0.5,9,6,-319.8333333,335.8333333
3569,4739,0.5,10,6,399.1666667,-382.1666667
4230,4749,0.5,7,5,179.8333333,-166.8333333
3475,4069,0.5,8,8,206.5,-189.5
4243,4579,0.5,9,7,120.8333333,-103.8333333
3497,4741,0.5,9,9,424.1666667,-405.1666667
3765,4051,0.5,6,9,102.8333333,-86.83333333
4775,4570,0.5,8,8,-59.83333333,76.83333333
4695,3026,0.5,8,6,-548.5,563.5
4439,3676,0.5,7,6,-247.1666667,261.1666667
4836,4894,0.5,10,9,29.5,-9.5
4536,4154,0.5,8,10,-118.1666667,137.1666667
4654,4536,0.5,7,10,-30.83333333,48.83333333
4393,4117,0.5,9,7,-83.16666667,100.1666667
4574,4448,0.5,9,9,-32.5,51.5
4474,3273,0.5,8,7,-392.1666667,408.1666667
3147,3182,0.5,6,5,17.83333333,-5.833333333
4284,3096,0.5,7,9,-387.8333333,404.8333333
3129,4766,0.5,6,5,551.8333333,-539.8333333
4725,4044,0.5,7,6,-219.8333333,233.8333333
3327,4461,0.5,9,5,386.1666667,-371.1666667
4391,3620,0.5,10,8,-247.1666667,266.1666667
3904,3020,0.5,9,8,-285.5,303.5
3909,3574,0.5,10,10,-101.1666667,122.1666667
4804,4661,0.5,5,10,-40.5,56.5
3337,3708,0.5,6,6,130.1666667,-117.1666667
3081,3335,0.5,9,10,94.5,-74.5
4348,4778,0.5,5,7,149.5,-136.5
4033,3250,0.5,6,9,-253.5,269.5
4476,3238,0.5,10,10,-402.1666667,423.1666667
4296,4114,0.5,9,8,-51.5,69.5
3342,3773,0.5,7,5,150.5,-137.5
4456,4946,0.5,10,8,173.1666667,-154.1666667
3389,4216,0.5,5,8,282.1666667,-268.1666667
3885,3563,0.5,5,9,-100.5,115.5
4668,3199,0.5,6,10,-481.8333333,498.8333333
4011,4336,0.5,5,5,113.8333333,-102.8333333
4554,3810,0.5,7,7,-240.5,255.5
3892,3361,0.5,7,10,-168.5,186.5
3720,4468,0.5,5,10,256.5,-240.5
4524,3526,0.5,7,7,-325.1666667,340.1666667
4306,3835,0.5,9,7,-148.1666667,165.1666667
3645,4089,0.5,5,7,154.1666667,-141.1666667
3832,4479,0.5,9,7,224.5,-207.5
4149,4778,0.5,7,6,216.8333333,-202.8333333
4625,4613,0.5,6,9,3.5,12.5
3597,4488,0.5,5,9,303.8333333,-288.8333333
4742,4165,0.5,9,7,-183.5,200.5
3100,4913,0.5,5,7,610.5,-597.5
3711,3298,0.5,7,9,-129.5,146.5
4112,4768,0.5,7,10,227.1666667,-209.1666667
4693,4070,0.5,9,5,-199.5,214.5
3098,3465,0.5,6,7,129.1666667,-115.1666667
4306,3695,0.5,8,7,-195.5,211.5
3957,3842,0.5,10,8,-28.5,47.5
4297,4637,0.5,9,5,121.5,-106.5
4226,4049,0.5,8,6,-51.16666667,66.16666667
3095,3680,0.5,10,5,203.8333333,-187.8333333
4549,3015,0.5,8,9,-502.5,520.5
3562,4391,0.5,7,6,283.5,-269.5
4462,3392,0.5,5,10,-349.5,365.5
4002,3625,0.5,7,5,-118.8333333,131.8333333
3876,4183,0.5,10,9,112.5,-92.5
3916,4347,0.5,5,10,150.8333333,-134.8333333
4578,3210,0.5,6,6,-449.5,462.5
4508,3573,0.5,10,7,-302.1666667,320.1666667
3550,4990,0.5,6,8,487.1666667,-472.1666667
3403,4104,0.5,6,10,241.5,-224.5
3128,4925,0.5,10,5,607.8333333,-591.8333333
3773,4507,0.5,7,10,253.1666667,-235.1666667
4430,3584,0.5,5,7,-275.8333333,288.8333333
3601,3889,0.5,7,5,102.8333333,-89.83333333
3750,4150,0.5,10,6,142.5,-125.5
3448,4692,0.5,7,8,422.5,-406.5
3721,3517,0.5,9,5,-59.83333333,74.83333333
3466,3768,0.5,8,8,109.1666667,-92.16666667
3853,4389,0.5,5,5,184.1666667,-173.1666667
3950,3992,0.5,7,7,21.5,-6.5
4029,4646,0.5,8,6,213.5,-198.5
3743,3377,0.5,5,6,-116.1666667,128.1666667
4377,3261,0.5,8,6,-364.1666667,379.1666667
4014,4301,0.5,9,9,105.1666667,-86.16666667
3260,3399,0.5,9,5,54.5,-39.5
3302,3140,0.5,6,7,-47.16666667,61.16666667
4725,3251,0.5,8,6,-483.5,498.5
3229,3472,0.5,8,8,89.5,-72.5
3871,3583,0.5,9,10,-86.16666667,106.1666667
4698,3506,0.5,8,10,-388.1666667,407.1666667
3087,4023,0.5,6,8,319.1666667,-304.1666667
4258,4842,0.5,8,9,203.5,-185.5
4523,3067,0.5,8,10,-476.1666667,495.1666667
3801,4308,0.5,10,9,179.1666667,-159.1666667
4646,3178,0.5,6,10,-481.5,498.5
4191,4727,0.5,10,9,188.8333333,-168.8333333
3470,4148,0.5,9,5,234.1666667,-219.1666667
4415,3164,0.5,6,9,-409.5,425.5
3571,3363,0.5,5,9,-62.5,77.5
3100,3070,0.5,5,5,-4.5,15.5
4518,3477,0.5,8,10,-337.8333333,356.8333333
4195,4509,0.5,7,9,112.8333333,-95.83333333
3268,3420,0.5,6,9,58.16666667,-42.16666667
4955,4356,0.5,10,7,-190.1666667,208.1666667
3310,4481,0.5,6,5,396.5,-384.5
3768,4725,0.5,5,6,324.8333333,-312.8333333
3879,4090,0.5,6,6,76.83333333,-63.83333333
3785,3273,0.5,8,6,-162.8333333,177.8333333
3179,3117,0.5,5,7,-14.5,27.5
4619,3466,0.5,10,7,-374.8333333,392.8333333
3520,3916,0.5,7,7,139.5,-124.5
3017,3105,0.5,10,7,38.83333333,-20.83333333
3942,4280,0.5,5,8,119.1666667,-105.1666667
4256,4169,0.5,5,10,-21.83333333,37.83333333
3663,3490,0.5,8,9,-48.83333333,66.83333333
4039,4407,0.5,6,8,129.8333333,-114.8333333
4722,3531,0.5,6,10,-389.1666667,406.1666667
4965,3677,0.5,5,5,-423.8333333,434.8333333
3261,3025,0.5,7,8,-70.83333333,86.83333333
4681,3354,0.5,9,6,-433.8333333,449.8333333
3616,3497,0.5,9,7,-30.83333333,47.83333333
4526,4819,0.5,10,7,107.1666667,-89.16666667
4325,3666,0.5,7,5,-212.8333333,225.8333333
3799,3465,0.5,7,5,-104.5,117.5
3185,4775,0.5,5,9,536.8333333,-521.8333333
4470,3302,0.5,9,6,-380.8333333,396.8333333
4870,3356,0.5,7,8,-496.8333333,512.8333333
4503,3948,0.5,6,8,-177.8333333,192.8333333
4490,3527,0.5,8,7,-312.8333333,328.8333333
4976,3001,0.5,5,6,-652.5,664.5
3971,4706,0.5,9,7,253.8333333,-236.8333333
4666,4275,0.5,8,6,-122.5,137.5
4528,3542,0.5,10,8,-318.8333333,337.8333333
3295,4570,0.5,7,6,432.1666667,-418.1666667
4036,4391,0.5,6,7,125.1666667,-111.1666667
4515,3824,0.5,5,9,-223.5,238.5
3800,4960,0.5,5,9,393.5,-378.5
3422,3354,0.5,9,5,-14.5,29.5
4193,3367,0.5,9,8,-266.1666667,284.1666667
3786,3026,0.5,7,10,-244.8333333,262.8333333
4630,4653,0.5,5,6,13.5,-1.5
4404,4150,0.5,7,5,-77.83333333,90.83333333
4570,4970,0.5,7,5,140.1666667,-127.1666667
3065,3591,0.5,9,6,183.8333333,-167.8333333
4160,3245,0.5,7,10,-296.5,314.5
3428,3871,0.5,9,9,157.1666667,-138.1666667
3867,4211,0.5,5,9,121.5,-106.5
4644,3057,0.5,6,10,-521.1666667,538.1666667
3464,3619,0.5,10,10,62.16666667,-41.16666667
3058,4082,0.5,10,5,350.1666667,-334.1666667
4757,3299,0.5,10,6,-476.8333333,493.8333333
3695,4691,0.5,8,5,339.5,-325.5
4289,4092,0.5,9,10,-55.83333333,75.83333333
4542,3895,0.5,8,7,-207.5,223.5
4311,3662,0.5,6,5,-210.1666667,222.1666667
4353,3262,0.5,8,9,-354.8333333,372.8333333
4591,4526,0.5,7,9,-13.5,30.5
4513,3349,0.5,7,5,-381.1666667,394.1666667
3661,4879,0.5,5,7,412.1666667,-399.1666667
3443,4280,0.5,9,9,288.5,-269.5
4591,4747,0.5,10,10,62.5,-41.5
3379,4429,0.5,5,5,355.5,-344.5
4005,3300,0.5,7,10,-226.5,244.5
3081,3094,0.5,6,9,11.83333333,4.166666667
3838,4499,0.5,6,6,226.8333333,-213.8333333
4476,4034,0.5,5,6,-141.5,153.5
4330,3097,0.5,8,10,-401.8333333,420.8333333
4004,3261,0.5,6,7,-240.8333333,254.8333333
3022,3483,0.5,8,7,161.8333333,-145.8333333
3367,3825,0.5,8,6,160.5,-145.5
4212,3218,0.5,5,9,-324.5,339.5
3542,4388,0.5,7,8,289.8333333,-273.8333333
3114,4445,0.5,8,7,451.8333333,-435.8333333
3744,4159,0.5,7,5,145.1666667,-132.1666667
4089,4050,0.5,9,8,-3.833333333,21.83333333
3256,3672,0.5,7,6,145.8333333,-131.8333333
4850,4167,0.5,6,7,-220.8333333,234.8333333
3641,4443,0.5,6,9,274.8333333,-258.8333333
4449,3165,0.5,6,8,-420.8333333,435.8333333
3485,4110,0.5,6,6,214.8333333,-201.8333333
3500,3914,0.5,9,7,146.8333333,-129.8333333
4022,4296,0.5,10,10,101.8333333,-80.83333333
4254,3272,0.5,8,6,-319.5,334.5
4291,3739,0.5,8,6,-176.1666667,191.1666667
4857,3478,0.5,9,9,-450.1666667,469.1666667
