age,male,heavy,price1,price2,price3,ad1,ad2,ad3,disp1,disp2,disp3,buy
35,0,1,1.93,1.87,1.6,0,0,0,0,1,0,1
49,0,1,1.55,1.9,1.63,1,1,1,0,0,1,3
29,1,1,1.94,1.42,1.63,1,0,0,1,0,0,1
30,0,0,1.61,1.34,1.69,0,1,1,0,0,0,2
26,0,1,1.84,1.64,1.7,1,1,1,1,1,1,2
44,0,0,1.74,1.56,1.61,0,1,0,1,1,0,1
47,1,1,1.9,1.77,1.64,1,1,1,0,1,0,2
46,1,0,1.65,1.47,1.68,1,1,1,0,0,0,2
42,1,1,1.99,1.33,1.66,0,0,0,1,1,0,1
48,0,1,1.92,1.82,1.74,1,0,0,1,0,0,1
52,0,1,1.9,1.76,1.6,0,0,0,1,0,1,1
48,0,1,1.67,1.55,1.67,0,1,0,1,0,1,1
25,1,0,1.59,1.66,1.73,1,1,0,0,0,0,2
62,0,0,1.81,1.75,1.68,0,1,0,0,1,0,1
43,1,0,1.87,1.35,1.71,1,1,1,1,1,0,2
25,0,1,1.51,1.41,1.62,1,1,1,1,1,0,2
32,0,1,1.77,1.77,1.8,0,0,1,1,0,1,1
51,0,1,1.78,1.66,1.75,0,1,1,0,1,1,1
27,1,0,1.8,1.62,1.8,0,1,0,0,1,0,2
62,1,0,1.56,1.71,1.75,1,0,0,1,1,0,1
31,0,1,1.8,1.72,1.79,0,0,0,1,1,0,1
31,0,0,1.88,1.33,1.77,0,0,0,1,1,1,1
38,0,1,1.56,1.53,1.75,1,0,1,1,0,1,3
56,1,1,1.51,1.37,1.74,0,0,1,1,0,1,1
59,0,0,1.95,1.48,1.72,0,1,1,1,0,1,1
30,0,1,1.87,1.62,1.79,1,0,1,0,1,0,3
37,0,1,1.87,1.72,1.73,1,1,1,1,1,0,2
40,0,0,1.53,1.49,1.78,1,1,1,1,1,0,2
46,0,0,1.73,1.48,1.74,1,1,1,1,1,0,2
31,0,1,1.74,1.9,1.72,0,0,1,0,1,1,3
30,0,0,1.7,1.77,1.6,1,0,1,0,1,0,3
29,0,1,1.59,1.9,1.76,1,0,1,0,0,0,3
65,1,1,1.64,1.59,1.61,0,1,0,0,1,0,1
57,0,0,1.86,1.8,1.62,1,1,0,0,1,0,2
27,1,0,1.55,1.47,1.67,1,1,0,0,1,0,2
60,1,1,1.91,1.3,1.76,1,0,1,0,0,0,1
33,1,0,1.56,1.79,1.67,0,0,1,0,1,1,3
32,1,1,1.71,1.78,1.62,1,1,1,1,0,0,1
57,1,1,1.98,1.39,1.66,1,0,1,0,1,1,3
60,1,1,1.94,1.35,1.65,1,0,1,0,1,1,3
36,0,1,1.67,1.5,1.71,1,0,1,0,1,1,3
30,1,0,1.81,1.31,1.64,1,0,0,0,1,1,1
62,0,0,1.79,1.36,1.75,0,0,1,0,0,0,1
33,0,0,1.81,1.49,1.79,1,1,1,1,1,0,2
42,0,0,1.55,1.47,1.68,0,1,0,1,1,1,1
45,1,0,1.95,1.82,1.79,1,0,0,0,1,1,1
65,1,1,1.5,1.72,1.6,1,0,0,0,0,1,3
31,1,0,1.59,1.75,1.72,0,0,1,1,1,0,1
41,0,1,1.86,1.44,1.67,0,1,1,1,1,1,1
34,1,0,1.81,1.56,1.71,0,0,1,1,1,0,1
37,1,1,1.79,1.79,1.68,1,1,1,0,1,0,2
39,0,1,1.99,1.31,1.76,1,1,0,0,0,1,2
64,1,1,1.52,1.82,1.6,1,1,1,0,1,1,3
54,0,1,1.78,1.47,1.77,1,1,1,0,0,0,2
48,1,0,1.98,1.39,1.71,0,1,0,1,1,0,1
47,1,1,1.74,1.71,1.74,1,0,0,1,1,0,1
65,0,0,1.5,1.74,1.8,0,0,1,1,0,0,1
36,1,0,1.5,1.51,1.77,1,0,1,1,1,1,3
38,1,0,1.84,1.68,1.78,1,0,1,1,1,1,1
36,1,0,1.67,1.85,1.68,1,0,0,0,1,0,1
46,1,0,1.92,1.39,1.67,1,0,1,1,0,0,1
25,0,1,1.59,1.4,1.64,0,1,0,0,1,0,2
60,1,1,1.89,1.57,1.73,0,1,1,1,1,0,1
54,0,0,1.74,1.64,1.67,0,0,0,0,1,1,1
38,1,0,1.5,1.54,1.67,0,0,1,0,1,1,3
51,0,1,1.98,1.36,1.71,0,0,1,1,0,0,1
44,1,1,1.51,1.81,1.63,1,1,0,1,1,0,2
49,0,0,1.63,1.35,1.7,0,0,0,0,1,0,1
46,1,1,1.63,1.57,1.65,1,1,0,0,1,1,2
62,0,1,1.54,1.39,1.66,1,0,0,0,0,1,3
26,1,0,1.95,1.83,1.69,0,1,1,1,0,0,1
47,0,0,1.76,1.82,1.74,0,0,0,1,0,0,1
38,0,1,1.88,1.58,1.77,0,1,1,0,1,1,2
31,0,0,1.7,1.49,1.63,1,0,1,0,1,1,3
44,0,1,1.68,1.58,1.64,1,0,1,0,1,1,3
64,0,1,1.72,1.82,1.63,1,0,1,0,1,1,3
31,1,0,1.87,1.7,1.7,1,0,1,0,1,1,3
49,1,1,1.87,1.75,1.74,1,1,1,0,1,1,3
63,1,0,1.96,1.76,1.73,1,1,1,0,0,0,2
62,0,0,1.54,1.54,1.76,0,0,0,1,0,0,1
37,1,1,1.91,1.45,1.61,0,0,1,1,0,1,1
53,1,1,1.72,1.88,1.69,0,1,0,0,1,0,1
35,0,1,1.83,1.59,1.77,0,0,0,1,1,0,1
43,1,0,1.91,1.39,1.74,0,0,1,0,0,1,3
61,0,0,1.8,1.33,1.76,0,0,0,1,1,0,1
36,1,1,1.93,1.86,1.67,0,0,0,1,0,0,1
32,0,1,1.71,1.47,1.73,1,1,0,1,0,1,1
29,0,1,1.6,1.39,1.73,1,1,1,1,1,1,2
26,0,0,1.87,1.35,1.8,1,1,1,1,0,1,1
53,1,1,1.64,1.67,1.67,1,1,0,0,0,1,2
36,0,1,1.97,1.36,1.6,0,0,0,1,0,0,1
25,0,1,1.88,1.71,1.67,1,1,1,0,1,1,2
64,1,1,1.55,1.49,1.77,1,1,1,0,0,0,2
62,0,0,1.76,1.46,1.6,0,1,1,0,0,0,1
64,1,0,1.89,1.43,1.69,1,0,1,1,0,1,3
62,0,0,1.59,1.4,1.73,1,0,1,1,0,1,3
54,1,0,1.85,1.55,1.74,0,1,1,0,1,1,1
42,1,0,1.9,1.65,1.71,0,1,1,1,1,0,1
45,0,0,1.8,1.67,1.64,0,1,0,1,1,1,1
45,1,0,1.5,1.69,1.75,0,1,1,0,0,1,3
59,0,0,1.64,1.34,1.75,0,1,1,0,1,1,1
31,0,1,1.72,1.59,1.62,0,0,1,0,0,1,3
29,0,0,1.81,1.77,1.74,1,1,0,0,0,0,2
32,1,0,1.96,1.51,1.72,0,0,1,1,0,0,1
46,1,0,2,1.63,1.71,0,1,1,1,1,0,1
25,0,1,1.55,1.81,1.66,0,0,1,1,0,1,3
45,0,1,1.92,1.35,1.62,1,1,1,1,1,0,2
54,1,1,1.58,1.86,1.7,0,1,0,1,0,0,1
28,0,1,1.88,1.58,1.73,1,1,0,0,1,0,2
64,1,0,1.53,1.74,1.63,1,1,1,1,0,1,3
52,1,1,1.71,1.44,1.7,0,1,1,1,1,1,1
26,0,1,1.89,1.72,1.79,1,0,0,0,0,1,1
38,1,1,1.81,1.79,1.71,1,1,0,0,0,1,2
62,0,1,1.85,1.51,1.67,1,1,1,1,1,1,1
49,1,1,1.97,1.59,1.62,0,1,0,1,0,1,1
61,0,1,1.81,1.55,1.73,1,1,0,1,0,0,1
25,0,0,1.81,1.74,1.63,0,1,0,1,0,1,1
57,0,1,1.54,1.72,1.69,0,0,1,1,1,1,1
37,1,0,1.96,1.62,1.75,0,1,0,0,1,1,2
30,0,0,1.97,1.79,1.66,0,1,1,1,1,0,1
37,0,1,1.85,1.83,1.67,1,1,0,0,1,0,2
64,0,1,1.56,1.77,1.62,0,0,1,0,1,1,1
50,1,1,1.66,1.68,1.77,1,0,1,1,0,0,1
39,0,0,1.55,1.74,1.7,0,1,1,0,1,1,2
57,0,0,1.54,1.72,1.71,0,1,1,0,0,1,1
42,1,0,1.89,1.87,1.67,0,1,0,0,0,0,1
56,1,1,1.59,1.34,1.78,0,0,1,0,1,1,1
40,0,0,1.89,1.66,1.77,0,1,1,0,0,0,1
64,1,0,1.7,1.46,1.6,1,1,0,1,1,0,2
26,1,1,1.83,1.31,1.68,0,0,1,0,1,1,3
43,1,0,1.75,1.78,1.76,1,1,0,1,0,0,1
40,1,0,1.99,1.8,1.78,0,0,0,0,0,0,1
33,0,0,1.67,1.9,1.6,0,1,0,1,1,0,1
56,1,0,1.73,1.7,1.73,1,1,1,0,1,1,2
27,0,1,1.76,1.36,1.78,1,1,1,0,0,0,2
49,1,1,1.68,1.54,1.61,1,0,1,0,1,1,3
51,1,0,1.52,1.55,1.77,1,0,1,0,1,1,3
25,1,1,1.73,1.45,1.75,1,0,1,0,1,1,3
34,1,1,1.58,1.41,1.76,0,0,1,0,1,0,1
38,1,1,1.56,1.41,1.72,0,0,0,0,0,0,1
55,1,1,1.65,1.34,1.67,1,0,0,1,1,1,1
30,0,0,1.84,1.78,1.73,1,0,1,1,0,1,3
30,0,0,1.88,1.42,1.77,1,1,0,0,0,1,1
55,1,1,1.86,1.31,1.8,1,1,0,0,1,1,2
61,0,1,1.78,1.67,1.75,0,1,0,1,1,0,1
32,1,0,1.99,1.41,1.77,1,0,0,0,1,1,1
60,1,0,1.68,1.37,1.69,0,0,0,1,0,0,1
43,0,0,1.78,1.63,1.62,0,0,1,0,0,1,1
47,0,1,1.85,1.32,1.74,1,1,0,0,1,0,2
56,0,1,1.55,1.33,1.71,0,1,0,1,1,0,1
56,1,0,1.78,1.36,1.73,1,0,1,0,0,1,3
62,1,0,1.66,1.69,1.73,0,1,1,1,0,1,1
43,1,1,1.54,1.78,1.76,0,1,1,1,0,0,1
42,0,1,1.57,1.59,1.73,1,0,0,1,1,0,1
31,1,1,1.74,1.89,1.8,1,0,0,1,0,0,1
63,0,0,1.83,1.64,1.67,1,1,1,0,1,0,2
58,0,1,1.9,1.67,1.75,1,0,1,0,1,1,3
46,0,1,1.71,1.62,1.65,1,0,1,0,1,1,3
51,0,1,1.6,1.71,1.69,1,0,1,0,1,1,3
54,1,1,1.73,1.44,1.72,0,0,1,0,1,0,1
51,1,1,1.61,1.8,1.65,1,0,0,1,0,1,1
57,1,1,1.72,1.51,1.77,0,1,1,1,1,1,1
34,1,1,1.97,1.83,1.76,0,0,1,1,1,0,1
55,1,0,1.96,1.76,1.79,0,1,1,0,1,0,1
63,0,1,1.51,1.3,1.65,1,1,1,0,1,1,2
61,0,0,1.73,1.43,1.72,1,0,0,1,0,0,1
37,0,1,1.56,1.49,1.64,1,1,1,0,0,0,3
39,1,0,1.94,1.54,1.73,1,0,1,0,0,1,3
35,0,1,1.61,1.3,1.77,0,0,0,0,0,0,1
41,0,1,1.85,1.64,1.71,0,0,1,1,1,0,1
57,1,0,1.6,1.59,1.78,1,1,1,1,1,0,2
40,0,1,1.56,1.84,1.6,1,0,0,1,1,1,1
49,1,1,1.74,1.41,1.65,0,1,0,1,1,0,1
59,0,0,1.66,1.85,1.69,1,1,0,0,0,0,2
37,1,0,1.53,1.65,1.62,0,0,1,0,1,1,3
50,1,1,1.54,1.44,1.62,1,1,0,0,1,1,2
52,0,0,1.9,1.34,1.61,0,0,0,1,0,0,1
53,0,1,1.56,1.34,1.72,1,1,0,0,0,1,2
57,0,0,1.62,1.68,1.79,1,1,1,0,1,1,2
54,0,1,1.77,1.74,1.79,1,1,1,0,0,0,2
62,1,0,1.97,1.84,1.73,0,1,0,0,0,0,1
45,0,0,1.77,1.33,1.78,1,0,1,0,0,1,3
45,1,1,1.69,1.35,1.68,0,0,0,1,0,0,1
56,1,0,1.84,1.86,1.73,1,0,1,0,1,0,3
51,0,1,1.82,1.8,1.72,0,1,0,0,1,0,1
40,1,0,1.57,1.66,1.73,0,0,1,0,1,1,3
30,1,0,1.59,1.73,1.74,1,1,0,1,1,0,2
28,0,1,1.5,1.61,1.72,0,1,0,1,0,1,1
44,0,0,1.5,1.59,1.63,1,1,0,1,0,0,1
40,0,0,1.69,1.68,1.71,0,1,0,0,1,1,2
65,0,1,1.79,1.41,1.67,0,1,0,0,1,0,1
32,1,0,1.93,1.86,1.67,1,0,1,1,0,1,1
41,0,1,1.6,1.86,1.62,0,0,0,1,0,1,1
34,1,0,1.91,1.41,1.77,1,1,1,1,0,1,1
44,1,1,1.85,1.57,1.67,0,0,1,0,0,0,1
46,0,1,1.94,1.8,1.72,0,1,0,1,1,1,1
40,1,0,1.62,1.77,1.65,0,1,0,0,1,1,2
60,1,0,1.72,1.54,1.68,1,1,1,1,1,0,2
49,1,1,1.54,1.68,1.66,1,0,0,0,1,0,2
48,0,1,1.66,1.79,1.6,0,1,1,1,1,0,1
59,0,1,1.61,1.5,1.79,1,0,0,1,1,1,1
52,1,1,1.93,1.75,1.69,1,1,0,1,0,0,1
29,1,1,1.87,1.49,1.68,0,1,1,0,0,1,3
35,1,1,1.71,1.42,1.66,1,1,1,1,1,0,2
27,0,1,1.81,1.49,1.63,0,1,0,1,1,1,1
65,1,0,1.86,1.57,1.62,1,1,1,1,0,0,1
26,1,1,1.8,1.52,1.78,1,1,1,0,0,0,2
35,0,1,1.64,1.33,1.75,0,1,0,1,1,1,1
25,0,0,1.56,1.39,1.6,1,1,0,1,0,1,1
42,1,1,1.8,1.4,1.68,1,0,1,1,0,1,3
47,1,1,1.55,1.67,1.75,0,0,1,0,0,1,1
58,1,0,1.64,1.55,1.64,1,0,1,1,1,1,3
45,0,0,1.78,1.44,1.78,1,0,1,0,1,1,3
30,0,0,1.55,1.46,1.74,1,0,1,0,1,1,3
52,0,0,1.58,1.79,1.65,1,0,0,0,0,1,1
47,1,0,1.56,1.58,1.61,1,0,1,0,1,1,3
50,0,0,1.68,1.58,1.68,0,0,0,1,1,0,1
62,0,0,1.87,1.5,1.62,1,0,1,1,1,1,3
43,1,1,1.59,1.73,1.64,0,1,1,0,0,1,3
30,1,1,1.8,1.9,1.6,1,0,1,1,0,1,1
61,1,0,1.51,1.86,1.67,0,1,1,1,1,1,1
56,1,0,1.56,1.78,1.79,1,0,0,1,1,0,2
32,0,0,1.89,1.3,1.7,0,0,0,1,0,0,2
48,0,1,1.66,1.9,1.68,0,0,0,0,1,1,1
30,0,1,1.72,1.64,1.65,0,0,0,0,1,1,1
44,1,0,1.78,1.74,1.73,1,1,0,0,1,1,2
56,0,0,1.74,1.49,1.73,0,0,1,1,0,1,1
58,0,0,1.53,1.86,1.61,1,1,1,1,0,1,3
30,0,1,1.78,1.55,1.71,1,0,0,0,0,1,1
46,1,0,1.72,1.51,1.79,0,1,0,0,1,0,1
60,1,0,1.78,1.52,1.75,1,1,0,0,1,0,2
40,1,1,1.98,1.66,1.79,0,0,0,0,1,1,1
44,0,1,1.95,1.87,1.7,1,0,0,1,1,1,1
62,0,1,1.54,1.35,1.72,1,0,0,0,0,0,1
56,0,0,1.58,1.51,1.8,1,1,1,0,1,1,2
47,1,0,1.57,1.72,1.76,0,0,0,0,0,1,1
57,1,1,1.52,1.64,1.67,1,0,1,0,1,1,3
39,0,1,1.69,1.51,1.67,0,1,0,0,0,0,1
34,0,1,1.52,1.39,1.8,0,0,1,0,0,0,1
56,1,1,1.58,1.33,1.63,1,0,0,0,0,1,1
38,1,1,1.62,1.72,1.77,1,1,1,0,0,0,2
31,1,1,1.77,1.53,1.63,0,0,1,0,0,1,3
59,0,0,1.88,1.65,1.8,1,1,0,1,1,0,2
49,1,0,1.54,1.79,1.6,1,0,1,1,1,0,1
46,0,0,1.84,1.38,1.8,1,1,0,0,1,0,2
65,1,1,1.98,1.76,1.67,1,1,0,0,1,0,2
47,1,0,1.78,1.61,1.71,1,1,0,0,1,0,2
34,1,0,1.6,1.81,1.79,1,1,0,0,1,0,2
43,1,0,1.64,1.77,1.69,0,1,0,1,1,1,1
65,0,0,1.53,1.43,1.76,0,1,0,1,0,0,1
57,0,0,1.71,1.63,1.76,0,0,0,0,1,0,1
46,0,0,1.54,1.36,1.75,1,0,1,0,0,0,3
48,0,0,1.68,1.61,1.69,1,0,0,1,1,0,1
40,1,0,1.8,1.9,1.67,1,0,1,0,1,1,3
63,0,1,1.82,1.33,1.6,0,0,1,1,0,0,1
65,1,1,1.62,1.31,1.76,0,0,1,1,1,1,1
34,1,0,1.72,1.82,1.7,1,1,1,1,0,0,1
41,0,1,1.95,1.48,1.72,0,1,0,1,0,1,1
64,0,0,1.74,1.4,1.74,1,1,1,1,0,1,3
63,1,0,1.67,1.56,1.72,1,0,1,0,1,1,3
45,1,1,1.76,1.76,1.76,0,0,0,1,1,1,1
26,0,1,1.9,1.42,1.67,1,0,1,1,1,0,1
35,1,0,1.9,1.38,1.79,1,1,1,0,0,1,3
30,0,1,1.81,1.82,1.7,0,0,1,1,1,0,1
42,0,1,1.72,1.37,1.62,0,0,0,0,0,1,3
46,0,1,1.56,1.37,1.7,0,0,1,1,0,1,1
38,1,0,1.96,1.71,1.69,1,1,1,0,1,0,2
48,1,0,1.82,1.57,1.69,1,1,0,0,1,0,2
56,0,1,1.53,1.87,1.66,1,1,1,1,1,1,3
54,1,0,1.52,1.46,1.68,1,1,1,0,0,1,3
35,1,1,1.84,1.44,1.72,1,1,1,1,0,0,1
25,0,1,1.5,1.68,1.69,0,0,0,0,0,1,1
59,0,1,1.6,1.47,1.76,0,1,1,1,1,1,1
28,0,1,1.64,1.32,1.63,0,1,1,0,1,0,2
51,1,0,1.73,1.73,1.69,1,0,0,1,0,0,1
36,0,1,1.65,1.76,1.61,1,0,0,0,0,1,1
41,0,1,1.8,1.58,1.79,1,0,0,1,0,1,1
28,1,1,1.81,1.78,1.65,1,0,0,0,1,1,1
55,0,0,1.79,1.38,1.68,1,0,1,0,1,1,3
50,0,1,1.67,1.47,1.63,0,0,0,1,0,1,1
50,0,1,1.55,1.54,1.75,0,1,1,0,0,1,1
42,1,0,1.68,1.43,1.72,0,1,1,1,1,1,1
35,1,1,1.84,1.87,1.73,1,1,0,0,1,0,2
47,0,1,1.8,1.67,1.61,0,1,0,0,1,1,1
44,1,1,1.82,1.75,1.64,1,1,1,0,0,0,2
58,1,0,1.75,1.43,1.78,1,1,1,0,1,1,2
60,1,1,1.86,1.68,1.78,1,1,1,0,0,0,3
65,0,0,1.84,1.59,1.61,0,1,1,1,0,0,1
56,0,0,1.53,1.62,1.8,1,0,1,0,0,1,3
47,0,1,1.55,1.77,1.72,0,0,1,1,0,0,1
30,1,1,1.8,1.76,1.77,1,1,0,1,1,1,2
30,0,1,1.56,1.6,1.63,1,0,0,1,1,0,1
46,1,0,1.57,1.56,1.74,1,1,0,0,1,0,2
54,1,1,1.61,1.46,1.71,0,0,1,0,0,1,1
48,0,0,1.59,1.71,1.68,1,0,0,0,1,1,1
38,1,0,1.76,1.68,1.75,0,1,0,1,0,1,1
52,0,0,1.69,1.58,1.67,1,1,0,1,0,1,1
46,1,0,1.63,1.65,1.69,1,1,0,0,1,0,2
43,0,1,1.91,1.89,1.62,1,1,0,0,1,0,2
62,0,1,1.99,1.8,1.77,0,0,0,1,0,1,1
61,1,1,1.67,1.6,1.76,0,1,0,0,0,1,1
58,0,0,1.53,1.34,1.72,1,0,0,1,0,0,1
33,0,0,1.84,1.41,1.68,1,1,1,1,0,0,1
34,0,1,1.79,1.75,1.76,0,0,0,1,0,0,1
37,1,0,1.94,1.78,1.65,1,1,0,1,1,1,2
47,0,1,1.67,1.59,1.8,1,1,0,1,0,0,1
32,0,0,1.68,1.36,1.78,0,1,0,0,1,0,2
52,1,1,1.96,1.84,1.69,0,1,0,1,0,0,1
44,1,1,1.71,1.81,1.66,0,1,0,1,0,0,1
63,0,0,1.63,1.57,1.72,0,0,0,0,1,1,1
56,0,0,1.84,1.62,1.73,1,1,0,1,0,1,1
40,0,1,1.68,1.68,1.68,1,1,1,1,0,1,3
64,0,1,1.67,1.36,1.67,1,0,1,0,1,1,3
51,1,0,1.62,1.38,1.8,0,0,1,1,1,0,1
62,1,0,1.91,1.7,1.67,0,1,1,1,1,1,1
26,0,1,1.64,1.4,1.69,1,0,0,0,0,0,1
59,1,1,1.87,1.44,1.61,1,1,0,1,1,0,2
45,0,0,1.81,1.62,1.66,1,0,0,0,1,0,1
35,1,1,1.77,1.41,1.69,0,0,0,1,1,1,1
27,1,1,1.72,1.67,1.63,1,1,1,0,1,1,2
60,0,1,1.97,1.42,1.66,1,1,1,0,1,0,2
30,1,1,1.74,1.47,1.72,0,1,1,1,0,0,1
28,1,1,1.93,1.85,1.62,1,1,1,1,1,1,3
52,0,1,1.6,1.87,1.62,0,1,1,0,0,0,1
32,1,1,1.61,1.64,1.66,1,0,1,1,1,1,3
59,0,0,1.78,1.6,1.8,0,0,0,1,0,0,1
61,1,1,1.51,1.75,1.7,0,1,1,0,0,0,1
44,1,1,1.9,1.71,1.75,1,0,1,1,0,0,1
35,1,0,1.79,1.59,1.78,1,1,1,1,1,1,2
27,1,0,1.69,1.7,1.71,1,1,1,1,0,1,3
25,0,0,1.84,1.55,1.74,1,1,1,1,0,1,1
51,0,1,1.72,1.37,1.63,0,0,0,1,0,1,1
39,0,0,1.78,1.88,1.7,0,1,1,1,0,0,1
34,1,0,1.87,1.41,1.78,1,0,1,0,0,1,3
32,0,1,1.62,1.53,1.75,1,1,1,1,1,0,2
56,1,0,1.94,1.82,1.8,1,0,1,0,1,1,3
60,0,1,1.8,1.41,1.66,0,0,1,0,1,0,1
65,0,0,1.59,1.8,1.63,1,0,1,1,0,1,3
48,0,1,1.67,1.39,1.8,1,0,1,1,0,1,3
36,0,0,1.63,1.67,1.61,1,0,1,1,0,1,3
25,0,0,1.84,1.88,1.6,1,1,1,0,1,1,3
51,1,1,1.89,1.51,1.61,1,1,1,0,0,0,2
38,0,1,1.69,1.54,1.65,0,1,1,0,0,0,1
33,1,0,1.88,1.81,1.75,0,1,0,1,0,0,1
51,0,1,1.76,1.43,1.65,0,1,0,1,0,1,1
58,1,0,1.63,1.62,1.64,0,0,1,1,0,1,1
30,0,0,1.9,1.9,1.71,0,0,1,1,0,0,1
27,0,1,1.68,1.41,1.69,0,0,1,1,1,1,1
40,0,1,1.51,1.7,1.78,1,0,1,0,1,1,3
26,0,1,1.54,1.83,1.8,1,0,1,1,0,1,3
34,0,1,1.93,1.43,1.6,1,0,1,1,0,1,1
52,1,1,1.7,1.63,1.74,1,0,1,1,0,1,3
42,0,1,1.61,1.72,1.63,1,1,0,1,1,1,2
56,0,1,1.65,1.52,1.73,0,1,0,1,0,1,1
62,1,0,1.9,1.66,1.79,0,0,1,0,1,1,1
65,1,1,1.89,1.75,1.67,1,1,0,0,1,0,2
25,0,0,1.75,1.72,1.75,1,0,1,0,0,0,1
58,1,0,1.75,1.74,1.65,1,1,0,1,1,1,2
62,0,1,1.58,1.3,1.66,1,1,0,1,0,0,1
52,1,1,2,1.9,1.7,0,0,0,1,0,1,1
44,0,1,1.67,1.43,1.69,0,1,1,0,0,0,1
