sample,main_hospital,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,¸¸Á·µµ
49,1,7,8,9,9,9,6,8,9,3,2,7,5,7,8
50,2,2,2,9,6,5,6,7,6,5,5,7,7,8,9
51,3,6,6,7,8,9,4,2,2,8,7,4,6,4,5
52,3,4,3,5,3,4,5,4,5,2,2,7,9,8,9
53,1,8,8,9,5,4,5,6,6,4,4,9,10,10,11
54,4,4,3,8,9,9,9,8,8,2,1,7,5,8,9
55,2,4,4,4,3,2,3,3,2,6,5,9,10,10,11
56,2,7,8,6,6,5,1,9,9,8,7,7,4,7,8
57,3,6,6,5,4,4,2,3,2,5,5,6,2,7,8
58,5,4,3,6,8,9,8,2,1,3,2,8,7,9,10
59,1,4,5,6,9,10,9,6,5,4,4,7,2,8,9
60,3,8,7,8,5,4,5,7,7,7,8,9,6,10,11
61,2,6,7,10,2,2,1,4,3,9,2,9,4,9,3
62,1,3,2,4,6,5,7,6,7,9,10,7,0,6,8
63,4,4,4,7,5,6,6,4,4,2,1,7,0,6,8
64,1,4,3,6,8,7,2,2,1,7,6,6,0,5,7
65,4,9,10,1,7,6,4,3,4,5,4,8,4,8,9
66,3,4,4,2,6,7,0,9,8,8,7,6,7,5,7
67,5,3,2,6,9,10,10,3,2,6,8,8,9,9,10
68,1,4,3,4,2,1,2,2,3,7,6,9,0,10,2
69,5,9,10,5,3,4,4,4,3,4,3,7,4,6,8
70,3,5,5,0,9,9,3,4,3,2,3,6,8,6,7
71,5,5,4,2,8,8,9,2,1,8,7,8,1,8,9
72,4,9,9,9,5,5,6,3,3,2,1,8,0,8,9
73,3,8,8,4,5,4,9,4,3,9,8,8,0,8,9
74,1,9,9,1,4,5,5,3,4,7,8,3,5,4,5
75,4,8,7,10,6,5,6,8,9,6,7,5,5,4,6
76,1,9,9,1,8,9,9,8,7,9,9,5,5,5,6
77,2,6,6,6,6,5,4,8,8,6,7,9,5,10,11
78,3,7,8,10,6,5,5,6,7,2,2,9,10,10,11
79,5,6,5,8,9,8,7,2,2,5,4,6,2,5,7
80,1,2,1,4,3,4,3,7,7,2,2,8,8,9,10
81,1,5,5,9,7,6,7,9,9,6,5,4,8,5,6
82,5,7,8,0,6,6,5,5,6,5,5,3,10,4,5
83,4,5,5,0,8,9,9,6,5,5,5,9,10,9,10
84,2,4,4,0,7,7,4,6,6,5,5,8,3,8,9
85,5,2,3,4,7,6,1,4,4,2,2,7,9,7,8
86,4,8,7,9,2,3,4,2,1,3,2,8,10,7,9
87,4,5,5,8,6,7,5,2,2,3,2,9,8,9,10
88,4,3,2,4,6,5,3,3,3,8,8,8,0,7,9
89,1,6,6,6,6,5,6,3,4,4,4,5,9,4,6
90,3,6,5,3,7,7,0,2,1,6,6,6,4,7,8
91,3,2,2,7,3,2,2,6,7,2,3,4,9,5,6
92,3,8,9,2,2,3,4,9,8,5,4,6,9,5,2
93,3,2,2,1,5,4,9,7,7,4,4,7,9,7,8
94,1,6,6,2,4,4,3,3,4,2,2,9,1,8,10
95,4,3,4,6,8,8,9,8,9,8,8,5,5,6,7
96,2,7,7,5,6,6,8,5,5,7,8,7,4,8,9
97,5,3,2,1,9,10,4,7,8,9,9,8,3,7,10
98,2,6,6,0,6,6,6,3,2,9,9,9,1,8,10
99,1,7,8,8,9,9,8,8,8,5,6,9,9,10,11
100,1,2,1,10,8,7,0,3,3,5,4,7,5,7,8
101,3,9,9,10,7,7,6,4,5,5,5,9,10,10,11
102,5,6,6,2,4,5,5,3,3,2,1,6,8,7,8
103,2,2,2,6,2,1,2,4,3,5,6,8,9,9,2
104,4,6,6,7,6,7,3,8,8,9,9,6,1,5,7
105,2,7,8,1,2,3,2,8,8,5,6,9,7,9,10
106,5,8,8,8,2,2,8,5,6,3,4,6,9,5,7
107,5,5,5,4,6,5,8,6,5,9,8,5,5,5,6
108,5,6,5,2,7,7,3,4,4,7,8,6,7,6,7
109,3,7,8,1,2,1,3,8,9,6,5,7,7,8,2
110,3,5,5,6,5,5,3,6,5,8,7,7,2,6,8
111,4,7,7,10,5,4,2,2,1,4,5,7,2,6,8
112,4,2,1,8,4,3,3,6,5,5,6,9,1,10,11
113,2,8,9,1,4,3,4,3,2,2,3,9,2,10,11
114,5,8,7,5,2,3,4,6,7,3,3,9,9,9,10
115,1,7,7,10,7,7,2,9,10,3,2,8,2,7,9
116,2,3,4,0,6,7,2,3,4,7,6,8,4,8,9
117,5,2,3,2,7,7,5,7,8,5,4,6,4,7,8
118,4,6,7,0,7,7,2,9,10,9,10,6,9,7,8
119,2,2,2,1,2,2,2,4,3,9,9,6,5,6,7
120,1,4,3,4,7,6,6,6,6,3,2,4,7,5,6
121,3,8,7,6,7,8,6,6,6,5,5,5,1,5,6
122,2,7,6,6,4,5,6,4,3,5,6,5,5,6,7
123,5,5,4,8,5,4,5,9,10,5,6,9,4,10,11
124,4,5,6,3,3,2,6,8,7,7,7,6,7,6,3
125,3,2,1,1,5,4,5,8,9,2,1,9,8,10,11
126,3,6,6,1,5,6,6,9,9,8,8,8,10,9,10
127,4,7,6,6,6,7,7,4,3,2,3,9,1,9,10
128,2,9,9,2,7,6,8,9,9,6,5,9,7,8,10
129,2,3,2,4,2,3,3,9,10,6,6,5,10,4,2
130,5,4,3,8,8,9,9,9,6,2,0,9,1,9,10
131,5,2,3,3,5,6,0,7,8,7,6,6,5,7,8
132,3,6,5,4,5,4,4,8,9,5,4,6,9,5,7
133,4,5,6,4,3,2,7,2,2,5,6,6,10,7,8
134,3,9,9,6,5,6,6,8,8,7,8,5,4,6,8
135,1,8,8,1,7,7,6,6,7,2,2,5,3,5,6
136,3,6,6,1,4,5,2,5,6,2,2,7,9,8,9
137,4,3,2,1,8,9,6,5,6,7,6,5,7,6,7
138,4,2,2,1,5,6,0,8,9,7,8,5,6,4,6
139,1,9,10,3,9,9,7,5,4,7,8,6,10,6,7
140,5,8,9,9,9,10,0,6,6,7,7,4,10,5,9
141,5,6,7,0,8,7,10,3,4,6,5,6,9,5,7
142,1,9,8,1,3,2,3,2,1,3,4,5,6,6,3
143,3,2,2,3,5,6,6,4,5,2,1,5,10,5,6
144,5,2,3,10,9,10,10,7,8,2,6,8,8,8,9
145,2,8,7,2,6,7,6,3,4,3,2,9,10,10,11
146,2,3,4,3,9,9,0,8,9,7,6,9,9,9,9
147,4,2,2,9,5,5,3,3,3,2,3,8,7,7,9
148,3,5,4,5,8,9,10,5,6,8,7,9,10,9,10
149,5,4,5,9,5,4,4,3,4,9,10,8,10,7,9
150,3,8,9,1,7,8,3,5,6,7,6,7,3,8,9
151,1,6,5,8,8,7,8,7,6,8,7,4,6,5,6
152,1,2,2,5,3,3,1,8,9,8,8,6,4,7,8
153,5,9,10,0,3,2,7,9,10,9,9,7,0,7,3
154,3,8,9,7,7,7,8,8,9,4,4,5,0,6,7
155,2,8,7,10,3,4,5,9,9,2,1,4,3,4,5
156,3,8,7,9,6,6,7,7,8,5,5,6,7,6,7
157,4,4,3,4,8,9,10,4,4,3,4,8,1,9,10
158,2,7,6,6,4,5,5,5,5,3,2,6,2,6,7
159,2,5,6,5,3,3,2,2,3,3,2,7,6,7,4
160,5,7,7,3,9,10,6,3,2,9,9,9,10,8,10
161,2,2,2,4,2,2,2,2,2,3,4,9,3,9,3
162,2,8,9,9,4,5,5,5,6,4,5,4,8,4,5
163,2,4,3,10,7,8,9,9,9,5,0,8,3,7,9
164,1,3,2,3,7,7,8,5,4,4,4,9,10,10,11
165,3,4,4,0,9,10,7,2,3,6,6,5,8,6,10
166,5,6,5,9,3,3,5,3,4,3,3,6,5,5,7
167,4,2,3,1,5,6,5,5,4,6,6,9,5,9,10
168,3,8,7,10,5,4,3,6,5,6,7,7,7,6,8
169,4,2,2,6,9,8,7,6,7,3,2,9,6,9,10
170,4,4,3,8,2,3,2,8,9,6,5,9,9,10,11
171,3,6,7,7,2,2,9,5,4,9,9,6,9,6,7
172,4,2,2,6,6,7,9,7,6,5,4,8,6,8,9
173,4,3,2,6,3,3,0,4,4,9,8,7,8,7,8
174,3,3,2,7,6,5,4,7,7,5,5,8,10,9,10
175,2,7,6,10,5,6,9,3,4,7,8,9,3,8,10
176,4,3,3,2,7,6,2,8,7,7,6,6,8,6,7
177,1,7,7,2,3,4,5,3,3,6,6,7,6,8,9
178,1,6,5,8,5,4,3,8,9,3,3,6,8,5,7
179,3,3,3,5,4,4,3,4,4,3,3,7,6,6,8
180,1,7,8,2,5,4,10,3,3,2,3,6,7,7,8
181,4,5,6,9,9,9,3,3,9,7,7,5,2,6,9
182,4,6,7,10,6,7,0,5,6,4,4,9,1,8,10
183,4,8,7,1,5,6,1,2,2,9,8,8,8,7,9
184,4,5,5,9,8,7,8,2,3,6,7,5,6,6,7
185,3,5,6,3,5,6,5,7,6,3,2,8,10,9,10
186,5,8,7,3,3,2,2,6,6,2,4,8,1,9,10
187,1,6,5,2,7,7,7,6,6,9,8,9,9,8,10
188,1,4,4,6,7,8,0,3,4,9,9,7,5,8,9
189,4,5,5,7,8,9,8,3,2,9,9,9,8,9,10
190,2,3,4,7,9,9,6,7,5,9,9,8,4,7,9
191,4,3,4,6,9,9,7,5,3,6,6,8,3,8,9
192,5,5,5,6,7,7,6,4,5,7,8,9,10,10,11
193,5,4,3,5,7,7,8,7,8,8,7,8,5,9,10
194,1,9,8,8,7,6,6,2,2,5,5,9,8,9,10
195,4,7,6,4,7,8,7,6,5,7,8,9,6,10,11
196,1,9,10,6,8,8,9,3,3,4,10,9,6,9,10
197,1,9,9,9,2,3,6,5,4,3,3,7,10,7,3
198,4,9,8,4,5,5,4,4,4,7,6,8,10,9,10
199,1,4,4,0,8,9,5,3,2,4,3,8,0,8,9
200,3,3,3,8,8,8,8,2,1,9,9,8,10,7,9
201,2,3,3,2,2,2,3,5,6,9,8,9,9,9,10
202,1,7,8,3,9,10,10,8,7,2,3,7,9,6,8
203,2,9,10,1,9,10,9,6,6,7,6,5,0,6,7
204,4,3,4,9,9,10,9,4,5,2,1,9,5,8,10
205,4,7,8,2,2,2,6,5,5,5,6,5,6,5,3
206,5,9,8,4,6,5,9,4,4,7,7,6,9,7,8
207,3,3,3,4,7,8,7,7,7,4,4,8,10,9,10
208,3,6,7,9,3,4,8,7,7,6,6,8,7,8,9
209,5,9,8,10,2,2,3,2,2,3,3,6,5,5,7
210,4,6,6,8,7,7,3,3,2,9,8,5,0,6,7
211,4,3,4,7,5,6,9,7,8,2,3,7,8,8,9
212,3,6,7,0,6,5,7,8,7,9,10,7,10,6,8
213,2,6,7,4,5,4,5,2,2,3,2,5,6,4,6
214,5,6,7,3,2,1,1,3,2,7,0,9,4,10,1
215,5,8,7,3,2,3,4,6,7,8,8,8,8,9,10
216,5,3,2,7,7,6,4,4,4,2,2,7,8,6,8
217,1,5,6,7,7,8,7,5,5,3,3,6,0,5,7
218,3,4,3,2,4,5,4,4,4,2,1,5,4,5,6
219,2,7,7,1,7,6,6,6,6,4,4,3,10,4,5
220,3,2,1,5,2,2,3,4,3,5,6,9,1,8,3
221,2,3,2,8,5,4,5,2,1,7,8,5,10,5,6
222,5,7,6,7,2,1,2,2,2,4,3,8,10,9,10
223,1,4,3,8,6,5,2,4,5,8,8,5,9,5,6
224,3,4,3,8,8,9,10,6,7,9,2,9,2,9,10
225,1,6,5,8,2,3,4,3,4,9,9,4,6,5,6
226,5,2,2,6,7,8,9,6,6,6,7,7,0,8,9
227,2,5,4,7,8,8,9,9,10,4,4,5,3,6,7
228,2,5,4,0,9,9,10,8,7,2,2,9,2,8,10
229,3,6,7,7,9,10,10,7,8,2,3,8,1,8,10
230,3,4,3,9,9,9,2,5,6,7,6,8,1,7,9
231,4,9,10,5,7,7,5,6,7,6,5,5,6,6,7
232,5,3,3,4,2,3,8,6,6,8,7,7,5,6,8
233,3,6,6,3,7,6,6,3,2,6,6,8,2,8,9
234,4,8,9,9,8,9,9,9,8,8,9,8,7,7,9
235,4,4,3,4,9,8,1,2,2,3,2,6,5,5,7
236,4,2,3,10,5,5,10,2,2,5,4,8,3,7,9
237,1,8,8,10,9,8,10,7,6,8,9,7,2,6,8
238,1,8,8,6,7,7,7,8,9,2,3,8,7,9,10
239,4,9,8,10,3,2,10,4,3,6,5,7,4,7,8
240,2,4,3,5,3,2,10,6,6,3,2,6,3,7,8
241,2,6,7,9,6,7,8,7,8,8,8,9,10,10,11
242,2,4,4,0,2,1,4,8,7,9,10,7,8,7,2
243,3,3,2,6,9,8,8,6,6,2,3,7,1,6,8
244,3,3,3,5,4,3,4,6,7,4,4,8,2,8,9
245,3,4,3,10,9,10,10,9,8,7,5,9,9,9,10
246,4,6,5,8,7,6,6,2,3,3,3,6,3,6,7
247,4,6,5,0,4,4,0,8,7,4,3,6,8,5,7
248,5,3,2,4,3,2,6,7,6,2,3,5,8,6,7
249,4,4,5,3,5,4,3,8,9,7,8,9,2,8,10
250,1,8,9,7,9,9,3,3,2,8,7,6,10,7,8
251,4,9,10,4,5,4,4,9,10,2,3,7,2,6,8
252,1,8,7,10,2,2,2,2,3,2,2,9,9,10,11
253,5,3,3,6,3,3,2,3,3,8,10,9,2,9,10
254,5,3,3,7,8,7,0,6,5,5,6,8,4,7,9
255,1,4,3,9,3,3,5,9,8,5,5,7,6,8,9
256,4,2,1,3,5,4,3,8,7,2,2,7,0,6,8
257,2,8,8,9,9,8,6,4,3,3,2,6,7,7,8
258,4,9,10,2,7,8,0,4,4,5,6,9,8,8,10
259,3,7,8,10,6,6,5,8,8,5,6,4,0,4,5
260,4,5,4,3,5,6,7,2,1,6,6,5,3,6,1
261,5,4,5,3,5,4,4,2,2,6,5,8,7,9,10
262,3,8,8,6,6,5,4,4,4,7,7,3,7,4,5
263,3,4,5,2,9,9,10,3,3,5,5,8,7,7,8
264,5,4,3,3,8,9,2,2,1,6,6,4,3,5,6
265,1,3,4,10,2,3,10,2,2,8,8,4,1,5,6
266,3,3,2,5,2,1,6,3,3,6,7,4,10,5,6
267,3,3,4,3,8,9,3,8,9,9,8,5,0,6,7
268,4,5,5,9,6,6,9,7,8,2,3,7,10,8,9
269,1,5,4,5,2,2,2,4,4,2,0,9,5,9,10
270,5,8,9,6,5,6,8,3,3,9,10,5,4,6,7
271,1,7,8,1,8,8,9,5,4,4,3,8,9,8,9
272,1,5,4,3,5,5,5,6,7,2,1,7,5,6,8
273,3,6,5,4,6,6,7,4,5,3,4,6,1,6,7
274,1,8,7,2,5,6,6,8,7,8,8,4,10,4,5
275,1,8,9,1,2,3,5,3,2,8,8,6,5,6,7
276,2,3,2,7,3,4,1,8,8,2,3,7,3,6,8
277,2,7,6,6,9,10,10,2,2,8,8,9,10,9,10
278,3,9,10,5,9,9,7,4,5,6,5,7,10,6,8
279,4,9,8,6,4,3,2,5,4,6,4,9,4,10,11
280,1,2,1,10,9,10,9,4,4,3,3,8,8,9,10
281,5,2,2,2,6,5,5,2,1,9,9,9,10,10,3
282,1,4,4,5,8,7,6,7,6,2,3,9,9,10,11
283,3,4,5,8,4,3,4,2,3,8,9,6,5,7,8
284,4,9,8,2,6,5,4,8,7,8,9,5,2,5,6
285,2,8,9,0,2,2,4,6,6,4,4,5,2,6,7
286,3,7,8,7,6,7,4,2,1,6,5,7,3,7,8
287,3,2,1,0,4,5,6,4,5,6,7,7,5,7,8
288,1,7,7,8,2,1,1,3,3,2,1,9,10,10,1
289,1,2,2,0,5,4,2,6,7,3,3,7,4,6,8
290,1,3,2,2,9,9,0,4,4,6,5,8,5,8,9
291,4,5,5,9,8,7,10,5,6,9,10,3,4,4,5
292,3,5,6,6,8,7,8,4,4,6,6,9,8,9,10
293,3,5,6,9,6,5,5,8,9,7,8,4,1,5,6
294,3,7,7,3,3,2,4,3,4,7,7,6,7,7,8
295,4,8,7,1,3,2,10,4,4,3,2,8,1,9,10
296,1,3,3,2,9,10,1,6,5,8,8,6,6,7,8
297,1,7,7,7,3,4,5,3,2,8,9,3,4,4,5
298,4,3,3,9,3,4,5,8,9,7,8,6,6,5,7
299,5,5,6,0,6,6,5,4,3,5,5,9,4,8,10
300,4,3,3,1,7,7,2,9,10,7,7,5,7,6,7
