id,폰트,색상 ,전환,매출
99,Gothic,Green,yes,28
100,Times,Green,yes,31
101,Gothic,Blue,no,0
102,Arial,Blue,no,0
103,Gothic,Blue,no,0
104,Arial,Red,no,0
105,Times,Blue,no,0
106,Times,Blue,no,0
107,Arial,Green,no,0
108,Times,Green,no,0
109,Times,Green,no,0
110,Gothic,Red,no,0
111,Gothic,Red,no,0
112,Arial,Green,no,0
113,Gothic,Green,no,0
114,Gothic,Green,no,0
115,Arial,Green,no,0
116,Gothic,Red,no,0
117,Gothic,Green,no,0
118,Times,Blue,no,0
119,Times,Green,no,0
120,Times,Green,no,0
121,Gothic,Blue,no,0
122,Gothic,Green,no,0
123,Gothic,Blue,no,0
124,Times,Blue,no,0
125,Gothic,Blue,no,0
126,Gothic,Red,no,0
127,Times,Blue,no,0
128,Gothic,Blue,no,0
129,Gothic,Red,no,0
130,Gothic,Blue,no,0
131,Times,Blue,no,0
132,Times,Blue,no,0
133,Times,Blue,no,0
134,Times,Blue,no,0
135,Gothic,Blue,no,0
136,Gothic,Green,no,0
137,Times,Red,no,0
138,Gothic,Green,no,0
139,Gothic,Blue,no,0
140,Gothic,Green,yes,30
141,Times,Green,yes,10
142,Times,Blue,yes,27
143,Times,Red,no,0
144,Gothic,Blue,no,0
145,Arial,Blue,no,0
146,Arial,Blue,no,0
147,Gothic,Blue,no,0
148,Gothic,Green,no,0
149,Times,Red,no,0
150,Gothic,Green,no,0
151,Arial,Red,no,0
152,Arial,Green,no,0
153,Times,Blue,no,0
154,Arial,Blue,no,0
155,Gothic,Green,no,0
156,Times,Blue,no,0
157,Arial,Red,no,0
158,Times,Blue,no,0
159,Gothic,Blue,no,0
160,Arial,Blue,no,0
161,Gothic,Green,no,0
162,Gothic,Green,no,0
163,Gothic,Red,no,0
164,Times,Red,yes,30
165,Gothic,Blue,yes,10
166,Arial,Blue,yes,27
167,Gothic,Red,no,0
168,Gothic,Green,no,0
169,Times,Blue,no,0
170,Times,Blue,no,0
171,Arial,Blue,no,0
172,Gothic,Red,no,0
173,Gothic,Blue,no,0
174,Gothic,Blue,no,0
175,Gothic,Red,no,0
176,Arial,Red,no,0
177,Arial,Red,no,0
178,Arial,Blue,no,0
179,Gothic,Blue,no,0
180,Arial,Blue,yes,30
181,Gothic,Blue,yes,10
182,Arial,Blue,yes,27
183,Gothic,Red,no,0
184,Gothic,Blue,no,0
185,Arial,Blue,no,0
186,Times,Blue,no,0
187,Gothic,Red,no,0
188,Times,Blue,no,0
189,Gothic,Green,no,0
190,Times,Green,no,0
191,Arial,Green,no,0
192,Gothic,Blue,no,0
193,Gothic,Blue,no,0
194,Gothic,Blue,no,0
195,Gothic,Red,no,0
196,Gothic,Blue,no,0
197,Gothic,Green,no,0
198,Gothic,Blue,no,0
199,Gothic,Green,no,0
200,Gothic,Green,no,0
