sample,main_hospital,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,satisfaction
65,2,3,4,3,6,5,4,7,8,5,6,9,8,9,6
66,3,3,3,3,4,3,4,6,7,4,4,8,8,9,7
67,5,4,5,4,5,4,4,2,2,6,5,8,9,9,6
68,4,7,8,7,3,4,4,8,7,6,6,9,9,9,8
69,2,9,10,9,4,3,3,3,3,6,7,8,8,9,6
70,4,4,5,3,5,4,3,8,9,7,8,9,8,9,6
71,3,2,1,3,2,2,3,4,3,5,6,9,8,9,7
72,1,8,7,9,2,2,2,2,3,2,2,9,10,9,9
73,2,2,2,3,2,2,2,2,2,3,4,9,9,9,6
74,4,9,8,9,4,3,2,5,4,6,6,9,10,9,6
75,1,5,4,4,2,2,2,4,4,2,2,9,9,10,7
76,5,8,7,9,3,2,2,6,6,2,3,8,9,9,7
77,5,3,3,3,3,3,2,3,3,8,8,9,9,8,7
78,2,6,7,6,2,2,1,4,3,9,9,9,9,7,4
79,5,6,7,5,2,1,1,3,2,7,8,9,10,10,3
80,1,2,1,3,9,10,9,4,4,3,3,8,9,7,10
81,3,4,3,5,9,10,10,9,8,7,6,9,9,6,10
82,3,4,3,5,8,9,10,6,7,9,8,9,9,8,10
83,5,3,2,2,9,10,10,3,2,6,5,8,9,8,8
84,5,2,3,2,9,10,10,7,8,2,3,8,8,8,10
85,2,4,3,4,7,8,9,9,9,5,4,8,7,8,10
86,5,4,3,3,8,9,9,9,6,2,3,9,9,8,8
87,1,9,10,10,8,8,9,3,3,4,3,9,9,8,8
88,1,4,5,3,9,10,9,6,5,4,3,7,8,8,9
89,1,7,8,8,8,8,9,5,4,4,3,8,8,8,10
90,5,2,2,3,7,8,9,6,6,6,7,7,8,8,7
91,4,4,3,5,9,9,9,8,8,2,1,7,8,8,7
92,1,7,8,8,9,9,9,8,9,3,2,7,7,8,8
93,2,3,4,2,9,9,9,8,9,7,6,9,9,8,8
94,3,8,9,8,7,8,8,5,6,7,6,7,8,8,9
95,1,3,2,3,9,9,8,4,4,6,5,8,8,8,8
96,5,5,6,5,6,6,7,4,3,5,5,9,8,8,8
97,5,8,8,9,9,8,7,4,4,8,8,9,8,8,9
98,3,3,3,3,8,8,7,2,1,9,9,8,7,8,9
99,4,5,5,6,6,7,7,2,2,3,2,9,9,8,8
100,2,4,4,3,7,7,6,6,6,5,5,8,8,8,9
101,4,9,10,8,7,6,6,3,4,5,4,8,8,8,8
102,3,6,5,5,7,7,6,2,1,6,6,6,7,8,8
103,2,7,7,7,6,6,6,5,5,7,8,7,8,8,9
104,1,7,6,6,8,7,6,6,6,5,4,6,7,8,7
105,4,2,2,1,5,5,6,3,3,2,3,8,7,8,7
106,3,2,1,3,4,5,5,4,5,6,7,7,7,8,7
107,2,9,9,10,7,6,5,9,9,6,5,9,8,8,9
108,2,7,6,6,5,6,5,3,4,7,8,9,8,8,9
109,3,6,7,7,3,4,5,7,7,6,6,8,8,8,6
110,3,6,6,6,4,4,5,3,2,5,5,6,7,8,6
111,4,2,3,1,5,5,5,2,2,5,4,8,7,8,6
112,4,7,6,8,6,6,5,3,3,9,9,8,8,8,7
113,3,8,8,8,5,4,5,4,3,9,8,8,8,8,8
114,1,9,8,10,5,5,4,5,4,9,10,8,8,8,7
115,3,4,5,3,4,3,4,2,3,8,9,6,7,8,6
116,2,2,2,3,6,5,4,7,6,5,5,7,8,8,6
117,2,8,7,9,6,5,4,7,7,2,1,7,8,8,7
118,4,8,7,7,3,2,3,4,4,3,2,8,9,8,7
119,1,2,1,2,3,4,3,7,7,2,2,8,9,8,8
120,1,6,6,6,4,4,3,3,4,2,2,9,8,8,8
121,3,4,3,5,3,3,3,7,8,5,5,8,7,8,6
122,1,4,3,3,3,3,3,9,8,5,5,7,8,8,5
123,2,3,3,2,2,2,3,5,6,9,8,9,9,8,6
124,3,4,5,3,3,3,2,4,4,4,3,7,8,8,7
125,3,7,7,8,3,2,2,3,4,7,7,6,7,8,5
126,1,2,2,3,3,3,2,8,9,8,8,6,7,8,7
127,3,7,8,7,2,1,0,8,9,6,5,7,8,8,3
128,3,9,10,9,9,9,10,4,5,6,5,7,6,7,8
129,3,4,3,4,9,9,10,5,6,7,6,8,7,7,9
130,3,4,5,5,9,9,10,3,3,5,5,8,7,7,8
131,5,3,2,3,9,10,10,7,8,9,9,8,7,7,10
132,4,3,4,3,9,9,10,5,3,6,6,8,8,7,9
133,2,9,10,10,9,10,10,6,6,7,6,5,6,7,9
134,2,3,4,4,9,9,10,7,5,9,9,8,7,7,9
135,1,8,9,8,9,9,10,3,2,8,7,6,7,7,7
136,4,5,6,4,9,9,10,3,9,7,7,5,6,7,10
137,2,5,4,5,9,9,10,8,7,2,2,9,8,7,8
138,1,3,3,4,9,10,9,6,5,8,8,6,7,7,10
139,3,5,5,4,9,9,9,4,3,2,3,6,6,7,9
140,5,7,7,7,9,10,9,3,2,9,9,9,8,7,10
141,1,4,4,4,8,9,9,3,2,4,3,8,8,7,8
142,1,4,4,4,7,8,9,3,4,9,9,7,8,7,8
143,4,3,2,4,8,9,9,5,6,7,6,5,6,7,7
144,5,3,3,2,8,8,8,8,7,8,7,8,8,7,8
145,4,6,7,7,6,7,8,5,6,4,4,9,8,7,7
146,2,4,5,5,7,8,8,7,6,2,3,8,7,7,7
147,3,3,2,4,9,8,8,6,6,2,3,7,6,7,7
148,1,8,8,7,9,8,8,7,6,8,9,7,6,7,9
149,5,5,4,6,8,9,8,5,5,4,4,7,6,7,7
150,4,9,10,8,7,7,8,6,7,6,5,5,6,7,8
151,4,9,10,10,7,8,7,4,4,5,6,9,8,7,10
152,4,5,5,4,6,6,7,7,8,2,3,7,8,7,9
153,4,3,3,3,7,7,7,9,10,7,7,5,6,7,9
154,2,3,4,3,6,7,7,3,4,7,6,8,8,7,9
155,4,4,4,3,5,6,7,4,4,2,1,7,6,7,7
156,3,7,8,8,6,7,7,2,1,6,5,7,7,7,8
157,5,3,3,3,8,7,7,6,5,5,6,8,7,7,8
158,4,3,4,3,5,6,6,7,8,2,3,7,8,7,7
159,4,6,6,6,7,7,6,3,2,9,8,5,6,7,8
160,3,8,9,9,7,7,6,8,9,4,4,5,6,7,9
161,4,2,2,2,6,7,6,7,6,5,4,8,8,7,9
162,4,5,5,4,8,7,6,2,3,6,7,5,6,7,8
163,5,9,8,10,6,5,5,4,4,7,7,6,7,7,9
164,1,6,7,5,5,4,5,6,6,2,3,9,8,7,8
165,2,2,3,3,6,5,5,7,8,2,3,5,6,10,8
166,5,2,3,1,5,6,5,7,8,7,6,6,7,9,6
167,4,7,7,6,5,4,5,2,1,4,5,7,6,8,7
168,3,6,7,7,6,5,4,8,7,9,10,7,6,7,7
169,1,7,8,8,5,4,4,3,3,2,3,6,7,10,5
170,3,6,6,7,4,5,4,5,6,2,2,7,8,7,7
171,1,8,9,9,2,3,4,3,2,8,8,6,6,6,5
172,3,3,4,3,4,4,4,5,5,7,8,9,8,7,6
173,1,9,10,10,4,4,4,3,4,8,7,7,6,7,8
174,1,2,2,2,5,4,3,6,7,3,3,7,6,7,6
175,2,5,6,5,3,3,3,2,3,3,2,7,7,7,6
176,3,7,6,8,3,4,3,9,10,4,4,6,7,7,5
177,4,5,6,4,3,2,2,2,2,5,6,6,7,7,5
178,3,6,7,7,2,2,2,5,4,9,9,6,6,7,3
179,2,4,3,5,3,2,2,6,6,3,2,6,7,7,6
180,5,3,2,4,3,2,1,7,6,2,3,5,6,7,7
181,1,3,4,3,2,1,1,4,3,2,3,8,8,7,1
182,4,9,8,10,3,2,1,4,3,6,5,7,7,7,5
183,1,9,9,9,2,1,1,5,5,7,6,7,6,7,5
184,3,3,4,3,8,9,10,8,9,9,8,5,6,6,10
185,3,4,4,4,9,10,10,2,3,6,6,5,6,6,10
186,4,8,9,8,8,9,10,9,8,8,9,8,7,6,8
187,1,5,6,6,7,8,9,5,5,3,3,6,5,6,7
188,2,5,4,4,8,8,9,9,10,4,4,5,6,6,7
189,1,9,9,8,8,9,9,8,7,9,9,5,5,6,9
190,1,8,9,8,8,9,8,9,9,9,8,5,6,6,9
191,2,8,8,8,9,8,8,4,3,3,2,6,7,6,9
192,4,4,3,4,9,8,8,2,2,3,2,6,5,6,7
193,1,4,3,3,8,7,8,2,1,7,6,6,5,6,6
194,3,3,3,4,7,6,7,5,6,3,2,4,5,6,4
195,4,6,5,7,7,6,7,2,3,3,3,6,6,6,8
196,4,8,7,9,5,6,7,2,2,9,8,8,7,6,8
197,5,6,7,7,8,7,7,3,4,6,5,6,5,6,8
198,4,6,6,5,6,7,7,8,8,9,9,6,5,6,9
199,4,6,7,6,7,7,7,9,10,9,10,6,7,6,6
200,3,8,7,7,7,8,7,6,6,5,5,5,5,6,7
201,3,5,5,6,5,5,6,6,5,8,7,7,6,6,5
202,1,2,1,1,8,7,6,3,3,5,4,7,7,6,7
203,1,4,4,5,8,7,6,6,5,3,4,6,6,6,8
204,5,2,3,2,7,7,6,7,8,5,4,6,7,6,7
205,3,8,7,7,6,6,6,7,8,5,5,6,6,6,8
206,1,7,7,6,7,7,6,9,10,3,2,8,7,6,9
207,1,3,2,3,6,5,6,6,7,9,10,7,6,6,6
208,4,3,2,4,6,5,6,3,3,8,8,8,7,6,6
209,2,7,8,8,6,5,6,9,9,8,7,7,7,6,7
210,1,6,6,5,6,5,6,7,8,3,4,5,5,6,7
211,5,6,5,5,7,7,6,4,4,7,8,6,6,6,6
212,3,4,4,3,6,7,6,9,8,8,7,6,5,6,8
213,1,4,3,5,6,5,6,4,5,8,8,5,5,6,8
214,1,2,3,3,6,6,6,6,6,7,6,6,5,6,8
215,5,2,3,3,7,6,5,4,4,2,2,7,7,6,7
216,5,8,9,7,5,6,5,3,3,9,10,5,6,6,6
217,1,7,7,7,5,4,5,3,4,9,10,6,7,6,8
218,4,3,3,2,7,6,5,8,7,7,6,6,6,6,8
219,4,2,1,2,5,4,5,8,7,2,2,7,6,6,8
220,3,5,6,5,6,5,5,8,9,7,8,4,5,6,8
221,2,3,2,3,3,4,5,8,8,2,3,7,6,6,5
222,1,3,4,2,2,3,4,2,2,8,8,4,5,6,6
223,2,3,2,4,5,4,4,2,1,7,8,5,5,6,7
224,5,6,6,6,4,5,4,3,3,2,1,6,7,6,7
225,4,6,5,5,4,4,4,8,7,4,3,6,5,6,5
226,5,5,5,4,6,5,4,6,5,9,8,5,5,6,6
227,2,8,7,8,3,4,4,3,3,3,2,4,5,6,7
228,5,4,5,3,5,4,4,3,4,9,10,8,7,6,6
229,3,3,3,3,4,4,4,4,4,3,3,7,6,6,7
230,4,8,7,7,2,3,3,2,1,3,2,8,7,6,6
231,2,2,2,1,2,2,3,4,3,9,9,6,6,6,5
232,1,9,9,10,2,3,3,5,4,3,3,7,7,6,7
233,3,2,2,2,3,2,3,6,7,2,3,4,5,6,7
234,5,9,10,9,3,2,3,9,10,9,9,7,7,6,4
235,5,6,5,6,3,3,3,3,4,3,3,6,5,6,4
236,1,6,5,6,2,3,3,3,4,9,9,4,5,6,7
237,5,8,8,7,2,2,3,5,6,3,4,6,5,6,7
238,3,2,2,3,5,4,3,7,7,4,4,7,7,6,7
239,4,3,2,4,3,3,2,4,4,9,8,7,7,6,5
240,4,5,6,5,3,2,2,8,7,7,7,6,6,6,7
241,5,3,3,3,2,3,2,6,6,8,7,7,6,6,5
242,2,8,9,8,2,2,1,6,6,4,4,5,6,6,2
243,3,3,2,4,2,1,1,3,3,6,7,4,5,6,1
244,4,7,8,8,2,2,1,5,5,5,6,5,5,6,2
245,2,4,4,4,2,1,0,8,7,9,10,7,7,6,2
246,2,2,2,2,2,1,0,5,6,8,8,6,5,6,5
247,5,8,9,9,9,10,10,6,6,7,7,4,5,5,10
248,3,6,6,7,8,9,10,2,2,8,7,4,4,5,6
249,5,2,3,2,9,9,9,3,4,8,9,5,6,5,8
250,1,7,8,6,9,10,9,8,7,2,3,7,6,5,9
251,2,3,4,3,8,8,9,6,6,3,3,4,4,5,8
252,5,6,7,6,8,9,8,8,7,9,10,5,6,5,8
253,1,6,5,6,8,7,8,7,6,8,7,4,5,5,8
254,4,5,5,4,8,7,8,5,6,9,10,3,4,5,7
255,1,9,10,8,9,9,8,5,4,7,8,6,6,5,8
256,1,8,8,7,7,7,8,6,7,2,2,5,5,5,8
257,5,4,3,5,8,9,8,2,1,6,6,4,5,5,7
258,4,3,4,3,8,8,7,8,9,8,8,5,6,5,8
259,4,2,2,1,5,6,7,8,9,7,8,5,4,5,7
260,5,3,2,2,7,6,7,4,4,2,2,7,6,5,8
261,3,6,5,6,6,6,7,4,5,3,4,6,6,5,6
262,4,5,4,5,5,6,7,2,1,6,6,5,6,5,6
263,1,5,5,5,7,6,7,9,9,6,5,4,5,5,7
264,5,6,5,6,9,8,7,2,2,5,4,6,5,5,9
265,1,7,7,8,5,6,6,2,1,2,3,5,4,5,7
266,3,9,9,8,5,6,6,8,8,7,8,5,6,5,6
267,1,6,6,6,6,5,6,3,4,4,4,5,4,5,8
268,3,2,2,2,5,6,6,4,5,2,1,5,5,5,8
269,1,8,7,9,5,6,6,8,7,8,8,4,4,5,6
270,1,4,3,5,7,6,6,6,6,3,2,4,5,5,8
271,2,7,6,8,4,5,6,4,3,5,6,5,6,5,8
272,2,7,7,8,7,6,6,6,6,4,4,3,4,5,4
273,4,8,7,7,6,5,6,8,9,6,7,5,4,5,8
274,5,7,8,6,6,6,5,5,6,5,5,3,4,5,8
275,1,9,9,10,4,5,5,3,4,7,8,3,4,5,6
276,5,8,8,9,4,5,5,8,9,8,8,5,4,5,6
277,1,7,7,7,3,4,5,3,2,8,9,3,4,5,5
278,2,6,7,7,5,4,5,2,2,3,2,5,4,5,6
279,3,7,8,6,6,6,5,8,8,5,6,4,4,5,5
280,4,3,3,4,3,4,5,8,9,7,8,6,5,5,7
281,2,7,6,6,4,5,5,5,5,3,2,6,6,5,6
282,2,8,9,7,4,5,5,5,6,4,5,4,4,5,8
283,2,8,7,8,3,4,5,9,9,2,1,4,4,5,6
284,1,3,3,4,6,6,5,8,7,4,4,6,5,5,5
285,1,5,4,5,5,5,5,6,7,2,1,7,6,5,8
286,2,2,2,1,2,3,4,9,9,3,2,4,5,5,2
287,3,6,5,7,5,4,4,8,9,5,4,6,5,5,7
288,4,9,10,9,5,4,4,9,10,2,3,7,6,5,7
289,3,4,3,4,4,5,4,4,4,2,1,5,5,5,5
290,4,9,8,8,6,5,4,8,7,8,9,5,5,5,7
291,5,9,10,9,3,4,4,4,3,4,3,7,6,5,7
292,3,8,8,7,6,5,4,4,4,7,7,3,4,5,6
293,3,8,9,7,2,3,4,9,8,5,4,6,5,5,6
294,5,9,8,8,2,2,3,2,2,3,3,6,5,5,6
295,1,6,5,7,4,3,3,7,7,4,5,4,4,5,6
296,3,8,7,7,5,4,3,6,5,6,7,7,6,5,7
297,1,9,8,9,3,2,3,2,1,3,4,5,6,5,4
298,3,9,10,9,3,2,3,2,2,4,4,4,5,5,7
299,2,3,2,2,2,3,3,9,10,6,6,5,4,5,6
300,1,6,5,5,5,4,3,8,9,3,3,6,5,5,6
301,5,5,6,6,3,2,3,6,6,5,4,4,4,5,7
302,3,4,3,4,3,3,2,3,2,5,5,6,5,5,7
303,2,6,6,5,2,2,2,3,4,9,8,5,4,5,6
304,2,8,8,9,3,3,2,8,8,6,6,4,4,5,4
305,3,2,2,1,4,3,2,8,8,6,6,5,4,5,7
306,4,4,5,4,2,3,2,4,5,2,1,4,4,5,5
307,3,3,4,4,3,2,2,8,9,6,6,6,5,5,6
308,1,8,9,8,2,1,1,5,6,6,5,6,5,5,7
309,5,5,4,6,3,2,1,7,7,8,7,5,4,5,7
310,5,4,4,3,2,1,1,8,7,9,10,7,6,5,1
311,3,7,6,7,2,2,1,7,8,5,5,4,4,5,6
312,4,9,9,8,2,1,0,7,8,5,5,3,4,5,5
313,1,5,5,5,9,9,10,6,6,3,4,6,5,4,9
314,1,8,8,9,9,9,10,9,10,6,7,4,3,4,9
315,3,2,1,2,9,9,10,7,7,5,5,3,4,4,9
316,4,8,9,7,9,10,10,2,1,4,5,6,5,4,7
317,5,4,4,3,9,9,10,2,2,4,4,2,3,4,9
318,2,4,3,3,8,8,9,5,4,5,4,4,4,4,9
319,5,6,5,7,9,8,9,2,2,9,9,4,3,4,8
320,4,5,6,5,9,10,9,3,2,6,6,2,3,4,8
321,2,7,7,8,8,9,9,7,6,6,5,3,3,4,6
322,1,5,5,5,9,9,9,5,5,2,1,5,4,4,8
323,4,3,2,3,8,9,9,7,7,2,1,4,4,4,7
324,1,6,6,7,9,8,9,8,7,5,6,4,3,4,8
325,1,5,5,5,7,8,8,4,4,3,4,5,4,4,9
326,4,5,5,4,8,7,8,6,5,4,3,4,4,4,9
327,1,8,9,9,9,9,8,4,4,8,8,4,5,4,7
328,4,6,5,5,9,9,8,4,5,4,4,3,4,4,7
329,2,7,8,6,9,8,8,3,3,4,3,4,5,4,7
330,3,5,4,6,7,8,8,4,4,7,7,5,5,4,7
331,1,9,9,10,6,7,8,9,10,5,6,4,5,4,7
332,5,5,4,4,8,9,8,6,5,2,1,4,5,4,8
333,4,3,2,2,8,8,8,2,2,2,3,5,4,4,7
334,5,7,8,7,7,8,7,7,7,4,5,4,3,4,8
335,3,2,3,2,7,7,7,7,7,9,9,4,4,4,7
336,1,3,3,4,6,7,7,6,7,4,4,6,5,4,8
337,2,2,1,2,8,8,7,2,3,4,5,4,3,4,7
338,4,6,5,6,7,6,7,3,3,7,8,4,5,4,7
339,4,7,6,6,7,7,7,3,2,7,8,5,5,4,8
340,2,5,6,6,7,7,7,6,5,5,5,3,4,4,8
341,3,2,1,3,7,7,7,7,6,4,5,4,3,4,6
342,5,4,5,4,6,6,7,7,8,5,5,6,5,4,5
343,1,3,2,2,8,7,6,9,8,6,7,6,5,4,9
344,2,6,5,6,7,7,6,8,9,2,3,5,5,4,6
345,3,4,4,4,5,6,6,3,4,5,6,4,4,4,7
346,4,4,3,5,6,5,6,6,6,8,8,4,5,4,7
347,4,9,9,10,6,6,6,4,4,7,7,5,5,4,8
348,5,5,5,5,6,6,6,9,9,9,10,3,3,4,7
349,2,2,2,1,5,6,6,2,2,4,3,5,4,4,8
350,2,5,4,4,4,5,6,3,4,2,1,4,5,4,5
351,4,9,8,10,8,7,6,5,6,2,1,4,4,4,8
352,1,5,6,4,6,5,6,6,6,4,4,4,4,4,6
353,1,8,9,7,6,5,5,9,9,5,4,6,5,4,6
354,4,7,6,7,4,4,5,6,6,9,8,2,3,4,6
355,4,5,6,5,5,4,5,5,6,2,1,3,3,4,6
356,3,7,7,7,3,3,4,4,5,4,3,2,3,4,3
357,5,6,5,7,4,4,4,3,3,5,4,4,5,4,6
358,3,7,6,7,4,5,4,9,8,2,3,4,3,4,6
359,1,9,9,9,5,5,4,2,3,7,6,4,3,4,8
360,4,2,1,1,4,4,4,3,2,6,6,4,5,4,6
361,1,2,2,2,3,4,4,8,9,8,7,4,5,4,6
362,2,5,4,4,4,5,4,5,5,3,2,3,3,4,7
363,4,8,7,9,5,4,4,2,1,7,6,6,5,4,7
364,1,4,5,4,4,5,4,9,9,7,6,4,3,4,7
365,1,5,6,5,2,3,3,2,1,5,6,2,3,4,6
366,3,4,4,4,3,2,3,9,8,8,7,4,3,4,6
367,5,7,8,7,2,3,3,9,8,3,4,4,5,4,5
368,1,2,3,1,4,3,3,8,9,7,7,4,3,4,5
369,4,5,6,5,3,2,3,6,7,4,4,4,3,4,2
370,2,9,8,9,5,4,3,5,6,4,5,2,3,4,6
371,5,6,5,6,4,3,2,3,4,4,4,4,4,4,5
372,5,2,2,3,3,2,2,6,5,8,7,3,3,4,6
373,2,8,8,7,2,2,2,2,3,5,5,5,4,4,5
374,2,4,3,4,2,3,2,6,7,9,8,4,3,4,7
375,1,8,9,8,2,2,2,9,10,2,2,4,5,4,7
376,1,5,5,6,3,2,2,3,4,9,10,4,5,4,7
377,2,8,9,8,2,1,2,2,2,4,3,3,3,4,1
378,4,2,3,2,2,3,2,3,3,5,6,3,4,4,1
379,4,6,7,6,2,2,2,8,7,3,3,5,5,4,5
380,3,3,4,4,3,3,2,2,2,5,6,4,4,4,2
381,5,6,5,6,3,2,2,2,1,3,4,3,4,4,1
382,1,3,2,2,3,2,2,5,6,6,5,4,3,4,5
383,4,5,6,6,4,3,2,7,6,6,7,2,3,4,4
384,4,4,3,3,2,2,1,8,7,3,4,4,3,4,0
385,3,6,5,7,8,9,10,9,10,2,3,5,4,3,7
386,4,5,4,5,9,10,10,4,4,7,8,5,4,3,8
387,2,5,5,5,8,9,10,3,4,3,3,3,4,3,8
388,1,2,3,2,9,10,10,9,9,9,10,3,2,3,7
389,3,8,8,7,8,9,9,5,5,8,7,3,4,3,8
390,2,8,7,9,9,10,9,9,9,9,10,4,3,3,10
391,5,5,6,5,9,10,9,4,5,3,3,5,4,3,8
392,5,2,1,2,9,9,9,2,3,7,8,5,4,3,8
393,1,6,5,7,9,10,9,7,8,6,5,4,4,3,9
394,3,8,7,9,9,10,9,2,1,9,10,3,2,3,8
395,5,2,2,3,9,8,8,3,4,9,10,3,3,3,8
396,3,8,9,7,9,8,8,2,3,4,3,5,4,3,8
397,2,3,2,3,8,8,8,2,2,4,5,4,3,3,6
398,2,4,3,5,8,7,8,3,2,5,4,4,4,3,7
399,1,6,5,7,8,7,8,6,5,7,7,3,2,3,9
400,5,7,7,6,9,8,8,4,5,5,6,5,4,3,9
401,5,4,4,4,7,6,7,9,8,8,8,3,4,3,8
402,2,7,8,7,9,8,7,7,8,7,7,3,2,3,8
403,2,2,3,2,8,8,7,2,2,6,7,4,4,3,6
404,1,3,4,2,7,6,7,4,3,8,8,5,4,3,6
405,3,6,7,5,7,7,7,6,5,4,4,5,4,3,7
406,4,6,6,7,6,7,7,5,6,4,5,3,3,3,6
407,4,9,10,9,6,7,7,6,7,8,9,2,2,3,6
408,1,8,7,7,9,8,7,6,6,3,2,4,3,3,8
409,3,8,8,7,7,8,7,9,8,8,8,3,2,3,8
410,5,3,2,3,6,6,7,9,10,3,2,4,4,3,6
411,4,5,5,4,7,8,7,6,5,8,7,2,2,3,7
412,2,4,4,3,4,5,6,7,6,8,8,5,4,3,8
413,3,7,7,7,4,5,6,4,4,6,7,5,4,3,8
414,4,2,1,2,6,7,6,5,5,4,5,3,4,3,8
415,1,8,9,7,6,6,6,9,9,3,3,4,4,3,7
416,1,9,10,10,5,6,6,5,5,7,6,3,3,3,8
417,4,7,6,8,7,6,6,5,4,2,2,3,4,3,7
418,3,6,7,6,5,4,5,2,1,8,9,3,4,3,5
419,1,9,8,8,3,4,5,7,8,6,6,3,2,3,5
420,4,7,8,7,4,5,5,4,3,9,9,4,3,3,8
421,3,3,2,3,7,6,5,7,7,5,6,5,4,3,6
422,5,6,5,5,7,6,5,7,8,8,9,3,2,3,7
423,2,4,4,3,4,4,5,8,7,8,9,3,3,3,6
424,4,4,4,4,7,6,5,9,8,3,3,5,4,3,5
425,3,3,2,3,7,6,5,6,7,5,4,5,4,3,8
426,1,7,8,7,2,3,4,6,6,7,8,4,3,3,6
427,3,6,5,7,5,5,4,6,5,6,7,2,2,3,7
428,5,8,8,9,5,4,4,6,5,4,4,4,4,3,6
429,1,3,3,4,3,3,3,7,7,3,3,5,4,3,7
430,5,4,3,4,5,4,3,7,8,6,7,3,4,3,7
431,5,8,8,7,3,3,3,8,9,2,1,4,3,3,7
432,1,4,4,4,2,2,2,5,4,2,2,3,4,3,3
433,2,2,2,1,2,2,2,9,8,7,7,3,3,3,4
