customer_id,recency,frequency,monetary,class
13359,0,23,19.11,No_Value
13362,278,166,18.62,Good
13363,26,60,16.54,No_Value
13365,184,127,17.38,No_Value
13366,0,1,56.16,No_Value
13368,80,29,21.5,No_Value
13369,0,12,23.45,No_Value
13370,0,38,19.42,No_Value
13372,0,23,16.46,No_Value
13373,215,158,20.96,No_Value
13375,0,37,21.04,No_Value
13376,135,53,19.24,No_Value
13379,110,90,6.31,No_Value
13381,267,172,21.16,No_Value
13382,0,15,14.87,No_Value
13384,147,152,27.32,No_Value
13385,0,35,15.27,No_Value
13388,0,34,18.45,No_Value
13389,221,51,15.65,Average
13390,0,13,41.85,No_Value
13391,0,1,59.8,No_Value
13394,308,147,15.83,Best
13395,0,21,14.65,No_Value
13396,290,42,32.02,Average
13397,266,38,40.64,Below
13398,0,26,17.59,No_Value
13402,244,39,15.93,No_Value
13403,0,3,25,No_Value
13404,211,11,22.95,Average
13405,243,26,22.02,Below
13408,371,469,59.6,Best
13410,267,28,35.82,Average
13411,0,18,11.86,No_Value
13414,162,24,57.94,No_Value
13416,37,19,37.5,No_Value
13417,200,28,22.89,Average
13418,360,301,19.55,Below
13419,0,16,13.82,No_Value
13420,20,7,20.35,No_Value
13421,249,102,18.14,No_Value
13422,0,127,20.68,No_Value
13425,186,78,20.82,No_Value
13426,358,157,23.19,Best
13427,195,29,20.09,Average
13428,0,61,3.46,No_Value
13429,64,67,15.03,Below
13430,67,48,13.9,Below
13431,21,46,27.59,No_Value
13434,22,10,53.42,No_Value
13435,183,101,37.72,Best
13436,0,12,16.41,No_Value
13437,175,167,20.41,Below
13439,0,52,5.43,No_Value
13441,0,13,22.82,No_Value
13447,12,59,19.14,No_Value
13448,357,190,18.17,Average
13449,0,19,15.36,No_Value
13450,191,71,28.78,Below
13451,308,435,6.83,No_Value
13452,11,2,295,No_Value
13453,123,17,21,No_Value
13455,341,45,23.19,Average
13456,189,62,28.17,Average
13458,352,381,25.23,Good
13460,20,17,10.79,No_Value
13461,124,27,53.52,Below
13462,0,9,16.83,No_Value
13464,0,41,16.46,No_Value
13466,0,17,18.11,No_Value
13467,25,97,11.16,No_Value
13468,371,294,18.86,Best
13470,15,10,16.5,No_Value
13471,46,253,9.99,Best
13473,272,21,20.13,Below
13474,0,59,3.84,No_Value
13475,107,86,16.65,No_Value
13476,102,56,19.66,No_Value
13477,253,79,18.41,Below
13479,33,14,20.79,No_Value
13481,211,108,16.57,No_Value
13482,0,11,16.79,No_Value
13483,0,10,14.03,No_Value
13484,0,8,39.23,No_Value
13485,0,23,19.75,No_Value
13486,76,69,16.27,No_Value
13487,295,34,16.92,Below
13488,350,421,21.23,No_Value
13489,189,14,32.11,Below
13491,320,86,14.14,Below
13494,0,18,17.57,No_Value
13495,360,47,42.88,Good
13496,349,35,18.67,Average
13497,85,18,17.84,No_Value
13499,252,42,27.6,Average
13500,99,63,18.04,No_Value
13502,307,18,16.22,Average
13503,0,17,12.76,No_Value
13504,0,22,13.45,No_Value
13506,53,26,17.64,No_Value
13507,142,162,15.3,Best
13508,0,12,9.25,No_Value
13509,275,44,22.27,Average
13510,182,115,15.58,Best
13512,0,15,16.75,No_Value
13513,0,10,20.51,No_Value
13514,0,4,38.05,No_Value
13515,175,59,15.1,No_Value
13516,217,44,31.58,Average
13517,120,141,15.1,No_Value
13518,0,38,17.35,No_Value
13519,0,8,15.34,No_Value
13521,8,326,3.13,No_Value
13522,0,5,25.16,No_Value
13523,333,171,22.22,No_Value
13524,179,27,25.19,Below
13525,233,6,104.8,Average
13527,293,222,10.2,No_Value
13529,125,15,20.52,Below
13531,161,22,21.99,No_Value
13532,0,64,3.26,No_Value
13533,84,72,3.72,No_Value
13534,355,287,19.92,Best
13536,74,173,19.91,Best
13538,272,25,51.23,Average
13539,223,37,17.06,No_Value
13544,200,79,3.64,No_Value
13546,188,93,6.71,Average
13548,147,116,5.83,No_Value
13549,216,51,18,Average
13551,0,4,22.95,No_Value
13552,249,106,33.5,No_Value
13555,128,135,30.73,No_Value
13557,252,34,17.18,Average
13558,62,162,3.68,Below
13560,0,30,5.73,No_Value
13561,0,14,10.13,No_Value
13562,163,82,21.94,No_Value
13563,55,41,18.84,No_Value
13564,13,82,14.61,No_Value
13565,315,37,6.47,Average
13566,41,160,5.4,No_Value
13568,0,42,4.55,No_Value
13569,350,75,4.9,Average
13570,0,26,9.18,No_Value
13571,240,333,6.27,No_Value
13572,0,33,41.95,No_Value
13573,202,24,12.23,Below
13575,152,46,15.91,Below
13576,362,126,53.31,Best
13577,216,81,20.47,Below
13579,354,23,20.31,Average
13581,0,10,11.8,No_Value
13583,0,53,14.74,No_Value
13584,0,23,6.15,No_Value
13587,0,5,69.4,No_Value
13588,239,169,14.47,Below
13589,164,21,18.08,Average
13590,291,87,22.78,Good
13591,202,58,19.26,No_Value
13592,228,16,15.5,Average
13593,227,127,15.67,No_Value
13594,0,26,15.27,No_Value
13596,7,139,4.89,No_Value
13598,0,38,4.38,No_Value
13599,365,243,21.01,Best
13600,0,19,11.55,No_Value
13601,166,96,7.2,No_Value
13602,0,23,18.65,No_Value
13603,0,27,6.09,No_Value
13606,282,41,6.8,Average
13607,0,97,6.99,No_Value
13610,273,206,5.35,Below
13611,270,73,16.04,No_Value
13614,306,190,8.44,Below
13615,0,22,18.18,No_Value
13617,140,44,12.37,Below
13618,0,13,13.64,No_Value
13621,0,19,11.26,No_Value
13623,266,77,9.56,Below
13626,0,19,13.54,No_Value
13627,298,91,17.87,No_Value
13629,315,59,132.07,Best
13630,280,68,29.77,Good
13631,167,11,279.13,Below
13632,218,144,14.73,No_Value
13634,293,183,8.59,No_Value
13635,0,62,17.27,No_Value
13636,248,63,15.07,Below
13637,174,100,8.1,No_Value
13638,0,8,15.33,No_Value
13639,0,40,25.83,No_Value
13642,0,61,5.77,No_Value
13643,154,28,18.55,Below
13644,89,145,17.93,No_Value
13645,0,5,50.42,No_Value
13647,225,79,21.24,Good
13649,109,23,15.07,No_Value
13650,250,96,19.13,Average
13651,4,6,15.7,No_Value
13652,322,63,17.38,Below
13654,230,166,16.31,No_Value
13655,127,56,16.66,No_Value
13656,172,49,7.75,No_Value
13657,190,16,23.88,Average
13658,194,107,23.1,Good
13659,115,104,15.13,No_Value
13662,173,53,16.94,No_Value
13663,0,13,14.57,No_Value
13666,227,12,7.05,Below
13667,0,65,4.55,No_Value
13668,359,464,13.6,Best
13669,98,9,24.28,Below
13670,0,25,13.99,No_Value
13672,0,3,41.42,No_Value
13673,13,65,6.11,No_Value
13675,133,25,19.47,No_Value
13678,0,16,14.54,No_Value
13680,337,171,12.86,Good
13681,137,57,14.52,Below
13682,0,3,19.83,No_Value
13684,0,28,2.26,No_Value
13685,57,16,194.18,Best
13686,0,8,9,No_Value
13689,0,6,151.67,No_Value
13690,0,9,19.14,No_Value
13692,211,52,28.33,Average
13694,369,552,112.56,Best
13695,228,90,27.82,Below
13697,0,12,12.61,No_Value
13699,0,14,22.04,No_Value
13700,300,193,11.72,No_Value
13703,0,1,99.5,No_Value
13704,83,134,17.22,Average
13705,366,28,25.42,Average
13706,0,20,16.54,No_Value
13707,48,48,16.8,No_Value
13708,0,51,5.82,No_Value
13709,311,330,18.88,Best
13710,0,8,22.56,No_Value
13711,0,13,19.39,No_Value
13712,0,10,22.88,No_Value
13715,91,103,10.31,No_Value
13716,0,21,6.58,No_Value
13717,266,99,14.21,Below
13718,49,12,25.55,No_Value
13719,219,60,17.36,Average
13720,138,43,18.6,No_Value
13721,0,28,18.72,No_Value
13722,151,85,27.95,No_Value
13723,0,6,33.31,No_Value
13725,258,103,19.1,No_Value
13726,61,42,25.71,No_Value
13727,4,20,16.67,No_Value
13728,273,63,16.13,Below
13730,25,43,17.5,No_Value
13731,27,38,16.07,No_Value
13732,0,33,14.9,No_Value
13735,209,190,14.81,No_Value
13736,255,156,4.54,Average
13737,0,30,11.32,No_Value
13739,0,3,72.3,No_Value
13740,0,23,15.25,No_Value
13741,145,34,19.66,No_Value
13742,303,310,10.07,No_Value
13743,256,41,32.72,Good
13744,197,71,16.28,No_Value
13745,0,24,12.15,No_Value
13747,0,1,79.6,No_Value
13748,278,28,33.87,Below
13750,283,24,68.64,Average
13751,0,9,32.92,No_Value
13752,122,76,15.61,No_Value
13753,0,35,21.18,No_Value
13754,165,12,23.55,No_Value
13755,59,317,6.77,Below
13756,365,142,36.55,Best
13758,361,115,27.73,Good
13759,37,25,26.38,No_Value
13760,202,53,5.37,No_Value
13761,129,70,15.3,No_Value
13763,0,15,114.33,No_Value
13764,266,205,7.41,No_Value
13767,371,367,46.83,Best
13769,365,135,20.71,Best
13771,182,119,22.14,No_Value
13772,205,162,6.92,No_Value
13774,0,22,15.68,No_Value
13777,372,197,131.86,Best
13778,0,9,19.86,No_Value
13780,163,57,6.32,Average
13781,0,17,7.52,No_Value
13782,315,115,7.93,Average
13784,322,31,79.44,Best
13786,0,7,32.91,No_Value
13787,288,31,9.97,Below
13790,0,45,7.75,No_Value
13791,40,11,137.82,No_Value
13792,221,13,15.04,Below
13798,370,344,107.29,Best
13799,177,39,17.66,No_Value
13800,0,33,16.92,No_Value
13801,0,23,14.12,No_Value
13802,172,56,69.45,No_Value
13803,0,17,16.3,No_Value
13804,259,137,19.24,No_Value
13805,76,13,71.12,Below
13806,0,10,25.64,No_Value
13807,0,7,16.09,No_Value
13808,91,76,23,Good
13819,18,36,31.68,No_Value
13821,116,59,6.54,No_Value
13822,34,87,7.19,Below
13823,72,40,23.94,Below
13824,277,46,36.93,Average
13826,0,10,18.95,No_Value
13827,85,81,5,No_Value
13828,0,15,13.97,No_Value
13831,353,74,29.77,Good
13832,0,3,17.4,No_Value
13833,0,29,13.27,No_Value
13835,190,55,15.17,Below
13837,105,19,14.28,No_Value
13838,364,160,4.27,Average
13841,0,1,85,No_Value
13842,308,206,16.44,No_Value
13844,0,20,18.08,No_Value
13845,0,9,34.78,No_Value
13846,335,55,15.73,Average
13848,273,5,251,Average
13849,119,101,15.23,No_Value
13850,0,93,17.16,No_Value
13851,192,81,32.73,No_Value
13853,0,23,47.4,No_Value
13854,356,105,75.7,Best
13856,34,14,27.75,No_Value
13858,0,11,19.65,No_Value
13859,0,28,7.18,No_Value
13860,85,76,16.39,Best
13862,314,139,15.89,Average
13863,0,20,15.29,No_Value
13865,231,30,16.72,Below
13866,0,7,20.81,No_Value
13867,186,61,16.64,Below
13868,31,33,96.74,Average
13869,233,305,10.18,No_Value
13870,285,115,24.1,Best
13871,286,336,19.06,No_Value
13873,190,23,16.94,No_Value
13874,0,18,30.03,No_Value
13875,247,104,17.18,No_Value
13876,0,7,17.53,No_Value
13877,0,3,39.08,No_Value
13878,0,36,35.6,No_Value
13880,345,165,19.51,Below
13881,308,175,96.69,Best
13882,61,64,17.68,Best
13883,242,136,19.02,Average
13884,276,57,13.79,Average
13885,11,28,18.1,No_Value
13886,0,16,15.22,No_Value
13887,0,19,18.4,No_Value
13888,98,40,15.14,No_Value
13889,0,15,27.79,No_Value
13890,357,110,17.13,Good
13892,219,27,23.44,Average
13893,0,21,39.1,No_Value
13894,286,26,21.34,Average
13895,136,118,21.98,No_Value
13897,0,17,18.3,No_Value
13898,0,12,12.99,No_Value
13899,258,19,20.45,Average
13900,79,43,17.23,No_Value
13901,246,149,19.24,No_Value
13904,257,26,12.79,Average
13908,196,120,19.5,No_Value
13911,251,148,17.44,No_Value
13914,24,32,19.19,No_Value
13917,141,18,15.11,Below
13918,203,30,40.43,Below
13922,0,7,24.61,No_Value
13923,0,20,17.56,No_Value
13924,70,112,15.9,Best
13925,42,33,16.69,No_Value
13926,0,11,20.35,No_Value
13927,0,21,16.62,No_Value
13928,122,27,17.21,Average
13929,157,9,93.63,Below
13930,78,17,19.84,No_Value
13931,185,58,21.34,No_Value
13932,0,16,19.21,No_Value
13933,39,23,26.47,No_Value
13934,0,31,29.75,No_Value
13936,0,25,14.45,No_Value
13937,0,9,17.65,No_Value
13938,0,7,10.24,No_Value
13939,288,45,12.63,Average
13940,126,49,17.13,Below
13941,350,45,113.62,Best
13946,188,11,51.05,Below
13947,0,5,18.12,No_Value
13948,0,3,34,No_Value
13949,91,160,15.17,Good
13950,235,34,21.43,Average
13951,118,39,17.29,No_Value
13952,20,136,23.9,No_Value
13953,345,20,175.78,Best
13954,69,22,17.7,Average
13955,151,27,11.8,No_Value
13956,266,141,7.21,Good
13959,283,82,7.21,No_Value
13960,50,12,19.19,Below
13962,223,11,15.41,Average
13963,59,35,18.99,No_Value
13967,0,2,40.35,No_Value
13969,357,601,14.93,Below
13971,266,147,18.48,Below
13972,131,15,12.68,Below
13973,0,11,24.06,No_Value
13974,0,28,14.77,No_Value
13975,245,332,7.59,No_Value
13976,0,10,35.8,No_Value
13978,30,14,14,Below
13979,0,54,16.11,No_Value
13980,0,11,18.19,No_Value
13982,326,110,16.99,Below
13983,337,101,25.64,Below
13984,339,15,32.54,Average
13985,260,348,20.2,Best
13986,0,13,24.65,No_Value
13988,234,232,17.72,No_Value
13989,173,41,30.88,No_Value
13990,0,16,19.46,No_Value
13991,131,79,10.8,Average
13992,0,5,15.36,No_Value
13993,287,121,28.65,No_Value
13994,144,155,14.92,Best
13995,230,85,16.28,Average
13999,351,208,18.76,Average
14000,0,15,42.38,No_Value
14001,327,39,52.39,Average
14002,22,47,11.27,No_Value
14004,245,171,26.8,No_Value
14005,206,84,34.22,Good
14006,196,30,32.07,No_Value
14009,7,42,16.56,No_Value
14012,0,11,29.89,No_Value
14013,165,34,13.91,No_Value
14014,0,39,12.95,No_Value
14015,0,20,45.87,No_Value
14019,91,64,21.81,No_Value
14020,71,39,16.48,Below
14021,101,22,28.72,No_Value
14022,0,28,15.71,No_Value
14023,242,31,18.84,Average
14024,2,16,20.48,No_Value
14027,0,6,17.47,No_Value
14029,80,15,31.18,No_Value
14030,348,241,9.79,Below
14031,365,241,55.12,Best
14032,364,142,20.78,Best
14034,135,62,7.99,Below
14035,268,65,21.96,Below
14036,0,38,16.49,No_Value
14037,188,28,5.26,No_Value
14038,128,92,16.96,No_Value
14039,0,6,25.37,No_Value
14040,290,235,15.38,No_Value
14041,0,17,8.15,No_Value
14044,283,188,3.38,No_Value
14045,264,6,276.63,Average
14046,0,14,11.07,No_Value
14047,364,31,41.91,Good
14048,0,84,4.6,No_Value
14049,301,474,11.95,No_Value
14050,74,54,13.82,No_Value
14051,365,209,74.2,Best
14052,0,50,4.43,No_Value
14053,35,4,65.06,No_Value
14054,0,6,15.41,No_Value
14055,0,10,72.56,No_Value
14056,282,1051,7.71,Best
14057,336,276,22.27,No_Value
14059,0,8,22.95,No_Value
14060,368,201,30.52,Best
14062,354,108,96.87,Best
14064,245,76,17.78,Below
14066,0,7,21.79,No_Value
14067,32,48,7.74,No_Value
14068,0,24,11.08,No_Value
14071,261,251,5.02,Good
14073,0,12,11.63,No_Value
14075,256,43,21.91,Good
14076,0,34,3.36,No_Value
14077,233,42,11.89,Below
14078,271,61,17.15,No_Value
14079,0,12,31.26,No_Value
14080,0,4,11.4,No_Value
14081,67,146,6.24,No_Value
14082,0,29,6.28,No_Value
14083,367,174,5.82,Average
14085,366,445,9.96,Best
14087,0,58,3.23,No_Value
14088,312,588,85.74,Below
14089,0,14,11.5,No_Value
14090,0,1,76.32,No_Value
14092,350,210,19.4,Best
14093,0,99,4.44,No_Value
14098,0,17,8.55,No_Value
14099,338,247,12.55,Below
14100,0,26,7.5,No_Value
14101,252,34,175.76,Below
14102,39,69,18.83,Below
14104,11,19,11.34,No_Value
14105,0,74,17.11,No_Value
14107,312,123,21.98,No_Value
14108,70,34,17.59,No_Value
14109,0,4,20.05,No_Value
14110,263,154,36.82,Best
14111,227,10,69.29,Average
14112,253,155,18.17,Below
14113,351,31,45.38,Good
14114,56,15,25.77,No_Value
14116,101,72,19.2,Below
14117,0,3,30,No_Value
14121,56,159,17.49,Average
14124,0,5,83.92,No_Value
14125,67,167,16.41,No_Value
