pid,hid,mar_20,mar_21,income_20,income_21,ott_score_20,ott_score_21,ott_change,sns_score_20,sns_score_21,sns_change,pc_ability_20,pc_ability_21,pc_change,smart_ability_20,smart_ability_21,smart_change,esteem20,esteem21,esteem_change
40004,400,0,0,1,1,9,9,0,2.5,2.5,0,3.571428571,3.047619048,-0.523809524,3.72,4.12,0.4,33,23,-10
50001,500,1,1,11,11,0,9,9,0,0,0,4.904761905,4.666666667,-0.238095238,5,4.92,-0.08,37,32,-5
50002,500,1,1,1,1,0,0,0,0,0,0,4.666666667,4.857142857,0.19047619,4.6,4.88,0.28,34,33,-1
50003,500,0,0,1,1,0,5,5,0,0,0,4.428571429,3.333333333,-1.095238095,4.44,4.08,-0.36,32,34,2
50004,500,0,0,1,1,0,5,5,0,0,0,4.428571429,3.333333333,-1.095238095,4.52,4,-0.52,37,37,0
60001,600,1,1,10,11,9,9,0,4.25,4.25,0,4.619047619,5,0.380952381,4.68,4.88,0.2,31,27,-4
60002,600,1,1,5,7,4,4,0,0,0,0,2.476190476,2.238095238,-0.238095238,3.2,2.84,-0.36,35,35,0
60003,600,0,0,1,1,9,9,0,7.5,8.5,1,4.714285714,4.523809524,-0.19047619,4.76,4.56,-0.2,20,19,-1
60004,600,0,0,1,1,8,9,1,6.5,6.5,0,3.476190476,4.095238095,0.619047619,3.32,4.44,1.12,36,25,-11
80001,800,0,0,2,1,0,0,0,0,0,0,1,1.142857143,0.142857143,1.12,1.08,-0.04,34,29,-5
90001,900,1,#N/A,6,#N/A,0,#N/A,#N/A,0,#N/A,#N/A,3.047619048,#N/A,#N/A,2.24,#N/A,#N/A,33,#N/A,#N/A
100001,1000,1,1,8,8,9,9,0,3,3.75,0.75,5,4.904761905,-0.095238095,5,4.92,-0.08,28,24,-4
100002,1000,1,1,8,11,0,0,0,0,0,0,4.666666667,4.904761905,0.238095238,4.64,4.92,0.28,35,33,-2
100003,1000,0,0,1,1,8,9,1,0,0,0,1.333333333,1.571428571,0.238095238,2.2,1.88,-0.32,#VALUE!,#VALUE!,#VALUE!
130001,1300,1,1,1,1,8,5,-3,0,0,0,2.238095238,1.142857143,-1.095238095,1.88,2.04,0.16,28,26,-2
130002,1300,1,1,3,4,9,7,-2,0,0,0,2.238095238,1.095238095,-1.142857143,2.32,2.04,-0.28,28,29,1
140001,1400,0,0,5,6,6,8,2,0,3,3,3.571428571,2.095238095,-1.476190476,3.36,2.52,-0.84,34,27,-7
160001,1600,1,1,5,4,9,8,-1,0,0,0,2.095238095,1.095238095,-1,2.8,1.84,-0.96,25,28,3
160002,1600,1,1,1,1,9,9,0,0,0,0,2.238095238,1.095238095,-1.142857143,2.2,1.92,-0.28,27,22,-5
180001,1800,0,0,5,5,9,9,0,0,0,0,3,2.523809524,-0.476190476,3.16,3.28,0.12,28,27,-1
220001,2200,1,1,8,6,0,0,0,4,4,0,3.952380952,1.571428571,-2.380952381,4.24,1.96,-2.28,24,29,5
220002,2200,1,1,7,2,9,9,0,4.75,4.75,0,1.714285714,2.380952381,0.666666667,2.32,2.84,0.52,30,24,-6
230001,2300,1,1,8,11,7,5,-2,0,0,0,3.619047619,3.761904762,0.142857143,3.64,3.72,0.08,34,34,0
230002,2300,1,1,1,1,0,4,4,0,0,0,2.095238095,3.095238095,1,2.36,3.2,0.84,32,34,2
230003,2300,0,0,7,6,9,5,-4,5.75,3,-2.75,4.476190476,3.80952381,-0.666666667,4.28,3.72,-0.56,34,37,3
260001,2600,1,1,6,12,9,5,-4,0,0,0,4.095238095,3.476190476,-0.619047619,3.64,3.64,0,34,26,-8
260002,2600,1,1,1,2,5,5,0,2.75,4,1.25,3.619047619,3.476190476,-0.142857143,4.08,4.12,0.04,31,27,-4
260003,2600,0,0,7,7,9,5,-4,5.5,6,0.5,4.285714286,4.904761905,0.619047619,4.16,4.92,0.76,31,25,-6
260004,2600,0,0,7,8,9,5,-4,4.5,6,1.5,4.142857143,4.285714286,0.142857143,4.28,4.92,0.64,31,27,-4
270001,2700,1,1,5,4,7,8,1,0,0,0,4.047619048,1.285714286,-2.761904762,3.8,2.12,-1.68,35,31,-4
270002,2700,1,1,6,7,6,6,0,5,5,0,3.095238095,1.333333333,-1.761904762,3.4,2.52,-0.88,33,31,-2
290001,2900,1,1,1,1,0,0,0,0,0,0,2.333333333,1.428571429,-0.904761905,2.4,2.44,0.04,21,24,3
290002,2900,1,1,7,7,0,0,0,0,0,0,3.333333333,1.428571429,-1.904761905,3.32,2.48,-0.84,22,26,4
290003,2900,0,0,7,7,0,0,0,5.75,0,-5.75,4.333333333,3.666666667,-0.666666667,4.16,3.64,-0.52,28,27,-1
300001,3000,0,0,5,7,0,0,0,0,0,0,2.285714286,2.142857143,-0.142857143,2.32,2.48,0.16,29,28,-1
300002,3000,0,0,5,6,4,4,0,0,4.5,4.5,4.619047619,4.380952381,-0.238095238,4.6,4.44,-0.16,29,27,-2
300003,3000,0,0,5,5,4,4,0,0,0,0,4.571428571,4.380952381,-0.19047619,4.48,4.52,0.04,28,26,-2
300004,3000,0,0,5,5,0,0,0,0,0,0,4.333333333,4.428571429,0.095238095,4.4,4.64,0.24,28,24,-4
310001,3100,1,1,7,7,9,0,-9,0,0,0,2.523809524,2.571428571,0.047619048,2.8,3,0.2,26,23,-3
310002,3100,1,1,5,5,0,0,0,0,0,0,2.333333333,1.761904762,-0.571428571,2.48,2.8,0.32,27,24,-3
310003,3100,0,0,7,7,5,0,-5,0,0,0,4.19047619,3.523809524,-0.666666667,4.4,4.32,-0.08,26,26,0
310004,3100,0,0,5,5,5,5,0,0,4.5,4.5,4.238095238,3.666666667,-0.571428571,4.44,4.72,0.28,29,24,-5
320001,3200,1,1,2,2,0,0,0,0,0,0,1,1.047619048,0.047619048,1,1.04,0.04,20,23,3
320002,3200,1,1,2,2,0,0,0,0,0,0,1,1.047619048,0.047619048,1.28,1.04,-0.24,19,20,1
320003,3200,0,0,1,1,0,0,0,0,0,0,3.142857143,2.238095238,-0.904761905,3.76,3.32,-0.44,19,21,2
330001,3300,0,0,2,2,0,0,0,0,0,0,1,1.047619048,0.047619048,1.24,1.04,-0.2,21,26,5
340001,3400,1,1,5,5,0,0,0,0,0,0,2.333333333,2.428571429,0.095238095,2.68,2.4,-0.28,27,26,-1
340003,3400,0,0,5,5,0,0,0,0,0,0,4.333333333,3.428571429,-0.904761905,4.52,3.6,-0.92,28,24,-4
340004,3400,0,0,1,1,3,3,0,0,0,0,4.523809524,3.666666667,-0.857142857,4.52,3.68,-0.84,27,23,-4
350001,3500,1,1,3,4,0,0,0,0,0,0,3,1.095238095,-1.904761905,3.08,2.44,-0.64,21,24,3
350002,3500,0,0,7,7,0,0,0,6.25,0,-6.25,4.571428571,3.666666667,-0.904761905,4.44,3.76,-0.68,28,25,-3
350003,3500,1,1,1,1,0,0,0,0,0,0,2,1.095238095,-0.904761905,2.2,2.16,-0.04,26,23,-3
360001,3600,1,1,9,8,0,0,0,0,1.5,1.5,2.523809524,4.142857143,1.619047619,3.28,4.36,1.08,27,28,1
360002,3600,1,1,1,1,0,0,0,0,0,0,2.047619048,2.571428571,0.523809524,3.04,3.08,0.04,26,31,5
380001,3800,1,1,11,8,6,5,-1,2,3,1,3.047619048,3.80952381,0.761904762,3.44,4.08,0.64,20,23,3
380002,3800,1,1,7,8,0,5,5,0,2.75,2.75,2.571428571,4.142857143,1.571428571,3.12,3.96,0.84,27,28,1
390001,3900,1,1,1,1,0,0,0,2.75,2.75,0,3.952380952,3.619047619,-0.333333333,3.76,4.44,0.68,32,31,-1
390002,3900,0,0,5,6,8,5,-3,5.5,6.75,1.25,4.428571429,4.428571429,0,4.44,4.56,0.12,29,35,6
390003,3900,0,0,1,1,8,8,0,2.75,2.25,-0.5,4.428571429,4.952380952,0.523809524,4.44,4.96,0.52,31,31,0
390004,3900,1,1,18,18,0,0,0,0,0,0,4.857142857,4.714285714,-0.142857143,4.92,4.92,0,27,22,-5
400001,4000,1,1,6,6,0,0,0,0,0,0,2.80952381,1.571428571,-1.238095238,3.16,2.6,-0.56,29,30,1
400002,4000,1,1,1,1,0,0,0,0,0,0,2.761904762,1.761904762,-1,3.12,2.88,-0.24,33,30,-3
400101,4001,0,#N/A,7,#N/A,0,#N/A,#N/A,0,#N/A,#N/A,4,#N/A,#N/A,5,#N/A,#N/A,31,#N/A,#N/A
410002,4100,0,0,3,3,4,7,3,0,0,0,3.333333333,2.80952381,-0.523809524,3.96,3.52,-0.44,30,23,-7
410003,4100,0,0,1,1,0,9,9,3,2.75,-0.25,4,4,0,5,4.44,-0.56,31,25,-6
420001,4200,1,1,7,7,0,9,9,1.25,5,3.75,4.380952381,3.571428571,-0.80952381,4.64,4.24,-0.4,37,25,-12
420002,4200,1,1,1,3,8,9,1,2,2,0,3.333333333,3.428571429,0.095238095,4.04,4.6,0.56,26,25,-1
420003,4200,0,0,1,1,9,5,-4,2.25,2.25,0,2.80952381,3.380952381,0.571428571,3.56,4.52,0.96,34,33,-1
430001,4300,1,1,7,8,5,9,4,0,0,0,4,3.904761905,-0.095238095,4,4,0,25,25,0
430002,4300,1,1,4,8,5,9,4,0,0,0,2.857142857,3.571428571,0.714285714,4,3.92,-0.08,26,31,5
430003,4300,0,0,1,1,8,9,1,0,0,0,1.80952381,1.619047619,-0.19047619,2.12,2.4,0.28,#VALUE!,#VALUE!,#VALUE!
430004,4300,0,0,1,1,8,9,1,0,0,0,1.142857143,2,0.857142857,1.56,2.44,0.88,#VALUE!,#VALUE!,#VALUE!
440001,4400,1,1,1,1,9,9,0,0,0,0,3.095238095,2.857142857,-0.238095238,3.56,3.36,-0.2,32,31,-1
440002,4400,1,1,1,1,9,9,0,0,0,0,1,1.285714286,0.285714286,1.84,1.88,0.04,29,28,-1
440003,4400,0,0,5,6,9,6,-3,0,2.5,2.5,4.476190476,4.380952381,-0.095238095,4.52,4.48,-0.04,31,29,-2
440004,4400,0,0,5,6,8,7,-1,6,6,0,4.666666667,4.333333333,-0.333333333,4.68,4.68,0,31,26,-5
450002,4500,1,#N/A,6,#N/A,9,#N/A,#N/A,0,#N/A,#N/A,3.095238095,#N/A,#N/A,3.56,#N/A,#N/A,29,#N/A,#N/A
450003,4500,0,#N/A,1,#N/A,9,#N/A,#N/A,2.75,#N/A,#N/A,2.428571429,#N/A,#N/A,2.68,#N/A,#N/A,30,#N/A,#N/A
450004,4500,0,#N/A,1,#N/A,9,#N/A,#N/A,2.75,#N/A,#N/A,2.428571429,#N/A,#N/A,2.68,#N/A,#N/A,28,#N/A,#N/A
460001,4600,1,1,7,9,4,5,1,0,3,3,3.904761905,3.857142857,-0.047619048,4.12,4.28,0.16,25,33,8
460002,4600,1,1,5,7,9,4,-5,3.25,3,-0.25,3.047619048,3.523809524,0.476190476,3.64,4.56,0.92,25,34,9
470001,4700,1,1,7,8,0,0,0,0,0,0,3.285714286,2.666666667,-0.619047619,3.76,3.28,-0.48,24,26,2
470002,4700,0,0,1,1,0,0,0,0,0,0,1,1,0,1.32,1.2,-0.12,25,29,4
470003,4700,1,1,5,1,0,0,0,0,0,0,3,2.761904762,-0.238095238,3.52,3.48,-0.04,30,25,-5
480001,4800,1,1,5,4,0,0,0,0,0,0,1.714285714,1.19047619,-0.523809524,1.88,1.56,-0.32,30,27,-3
480002,4800,1,1,1,1,0,0,0,0,0,0,1.714285714,1.714285714,0,1.56,1.6,0.04,33,25,-8
490001,4900,1,1,5,10,0,0,0,0,0,0,2.476190476,3.285714286,0.80952381,2.68,3.16,0.48,20,24,4
490003,4900,0,0,1,1,8,6,-2,2.5,0,-2.5,4.142857143,2.19047619,-1.952380952,4.28,3.28,-1,21,21,0
500001,5000,0,1,5,5,5,5,0,4.75,4,-0.75,2.952380952,3.19047619,0.238095238,2.92,3.52,0.6,28,25,-3
510001,5100,0,0,6,6,0,0,0,0,0,0,1.714285714,1.047619048,-0.666666667,2.04,1.16,-0.88,29,23,-6
520001,5200,1,1,7,7,8,5,-3,0,0,0,4,2.238095238,-1.761904762,4.16,4.12,-0.04,27,27,0
520002,5200,1,1,1,5,9,4,-5,4.75,4.75,0,3.047619048,2.428571429,-0.619047619,3.76,3.16,-0.6,29,28,-1
530001,5300,1,1,5,5,0,0,0,0,0,0,1.80952381,1.333333333,-0.476190476,2.24,1.8,-0.44,25,24,-1
530002,5300,1,1,1,1,0,5,5,0,0,0,1.761904762,1.285714286,-0.476190476,2.24,1.4,-0.84,23,26,3
530003,5300,1,1,7,8,0,0,0,0,0,0,3.619047619,3.476190476,-0.142857143,3.52,3.72,0.2,19,28,9
530004,5300,1,1,5,5,8,8,0,4.5,4.25,-0.25,3.238095238,3.428571429,0.19047619,3.08,3.6,0.52,23,26,3
540001,5400,1,1,5,11,0,0,0,0,0,0,1,1.619047619,0.619047619,1.52,2.84,1.32,25,26,1
540002,5400,1,1,1,1,0,0,0,0,0,0,1,1.285714286,0.285714286,1.48,2.88,1.4,26,23,-3
540003,5400,0,0,5,5,8,8,0,5.5,0,-5.5,3.095238095,2.904761905,-0.19047619,3.88,3.12,-0.76,33,22,-11
550001,5500,0,0,5,4,0,7,7,0,0,0,2.142857143,1.047619048,-1.095238095,2.16,1.48,-0.68,30,28,-2
550002,5500,0,1,7,6,8,8,0,3.25,4.25,1,4.047619048,3.666666667,-0.380952381,4.24,3.2,-1.04,26,27,1
550003,5500,0,1,5,7,9,8,-1,2.75,4,1.25,3.095238095,2.714285714,-0.380952381,3.8,2.72,-1.08,22,33,11
560001,5600,1,1,9,10,0,6,6,0,4.75,4.75,3.80952381,4.333333333,0.523809524,4.16,4.32,0.16,26,29,3
560002,5600,1,1,1,1,9,5,-4,3.75,4,0.25,3.285714286,3.714285714,0.428571429,3.68,4.32,0.64,23,27,4
570001,5700,1,1,7,8,0,8,8,0,3.25,3.25,2.714285714,2.904761905,0.19047619,3.64,2.8,-0.84,26,32,6
570002,5700,1,1,5,5,0,8,8,0,0,0,2.476190476,2.761904762,0.285714286,3.12,2.84,-0.28,23,31,8
580001,5800,1,1,1,9,0,0,0,0,0,0,1.904761905,3.380952381,1.476190476,2.52,3.52,1,22,27,5
580002,5800,1,1,1,1,0,0,0,0,3.25,3.25,2,1.904761905,-0.095238095,2.16,2.08,-0.08,25,29,4
590001,5900,0,0,7,8,0,5,5,0,0,0,2.428571429,2.857142857,0.428571429,3,3.56,0.56,31,28,-3
600002,6000,1,1,1,5,0,0,0,0,3.5,3.5,1.476190476,2.952380952,1.476190476,2.08,3.52,1.44,24,26,2
600005,6000,0,0,3,1,9,9,0,6.5,4,-2.5,4.571428571,4.095238095,-0.476190476,4.56,3.96,-0.6,34,31,-3
610001,6100,0,0,7,8,6,4,-2,9,4,-5,4.380952381,3.80952381,-0.571428571,4.44,4,-0.44,32,30,-2
620001,6200,0,0,7,8,6,5,-1,8.75,4,-4.75,4.476190476,3.714285714,-0.761904762,4.68,4,-0.68,37,29,-8
630001,6300,1,1,7,10,6,5,-1,6.5,3.5,-3,4.619047619,3.19047619,-1.428571429,4.56,2.24,-2.32,33,25,-8
630002,6300,1,1,1,5,6,4,-2,5.75,4,-1.75,4.476190476,2.904761905,-1.571428571,4.36,3.04,-1.32,34,27,-7
640001,6400,1,1,5,8,5,5,0,5.25,0,-5.25,2.333333333,2.19047619,-0.142857143,3.32,2.68,-0.64,33,27,-6
650002,6500,1,1,1,1,0,7,7,0,0,0,2.047619048,1,-1.047619048,2,1.64,-0.36,22,28,6
660001,6600,1,1,11,11,6,9,3,0,0,0,4.095238095,3.619047619,-0.476190476,4.44,3.76,-0.68,27,31,4
660002,6600,1,1,9,8,6,5,-1,8.75,4.5,-4.25,3.19047619,4.047619048,0.857142857,4.52,4.08,-0.44,32,34,2
660004,6600,0,0,7,7,9,7,-2,6.75,5.5,-1.25,4.476190476,4.19047619,-0.285714286,4.36,4.72,0.36,33,33,0
670001,6700,1,1,9,8,7,9,2,6,6.25,0.25,4.238095238,3.857142857,-0.380952381,4.28,4,-0.28,34,28,-6
670002,6700,1,1,1,1,6,9,3,5.5,6.5,1,4,4.714285714,0.714285714,4.12,4.64,0.52,31,36,5
680002,6800,1,1,1,1,0,0,0,2.25,0,-2.25,2.714285714,1.095238095,-1.619047619,2.96,1.16,-1.8,28,25,-3
690001,6900,1,1,11,10,8,9,1,3.75,6,2.25,4.571428571,4.80952381,0.238095238,4.96,4.92,-0.04,26,36,10
690002,6900,1,1,7,6,6,9,3,7.5,6.5,-1,4.476190476,4.904761905,0.428571429,4.92,4.88,-0.04,35,35,0
700001,7000,1,1,11,10,8,7,-1,2.75,3.5,0.75,3.80952381,1.761904762,-2.047619048,4.52,3.84,-0.68,34,22,-12
700002,7000,1,1,7,6,8,8,0,3,4.75,1.75,3.333333333,4.047619048,0.714285714,3.64,4.36,0.72,33,27,-6
720002,7200,1,1,1,1,6,9,3,8,6.75,-1.25,3.571428571,4.904761905,1.333333333,4.28,4.96,0.68,34,26,-8
720007,7200,0,#N/A,1,#N/A,7,#N/A,#N/A,5.25,#N/A,#N/A,3.857142857,#N/A,#N/A,4.44,#N/A,#N/A,#VALUE!,#N/A,#N/A
730001,7300,1,1,11,10,6,9,3,5.5,3,-2.5,3.571428571,2.857142857,-0.714285714,4.48,3.48,-1,32,34,2
730002,7300,1,1,7,7,6,9,3,6.75,3.75,-3,3.904761905,3.285714286,-0.619047619,4.76,3.88,-0.88,32,27,-5
740001,7400,1,1,11,11,7,5,-2,5.5,3.75,-1.75,3.666666667,3.857142857,0.19047619,3.76,4.28,0.52,33,30,-3
740002,7400,1,1,1,1,7,6,-1,5.5,3.75,-1.75,3.523809524,4.333333333,0.80952381,4.52,4.48,-0.04,33,33,0
750002,7500,1,1,1,1,9,9,0,5,5,0,3.761904762,2.857142857,-0.904761905,4.32,3.72,-0.6,34,28,-6
750004,7500,1,1,5,5,8,9,1,8,7,-1,4.904761905,4.952380952,0.047619048,4.92,4.56,-0.36,36,29,-7
760002,7600,1,1,7,6,9,7,-2,5.25,5.25,0,3.428571429,3.428571429,0,4.76,4,-0.76,35,32,-3
780001,7800,1,1,1,1,0,0,0,0,0,0,1,1.047619048,0.047619048,1.16,1.2,0.04,31,26,-5
780002,7800,1,1,1,1,0,0,0,0,0,0,1.571428571,1.047619048,-0.523809524,1.32,1.2,-0.12,28,26,-2
810001,8100,1,1,1,6,0,0,0,0,0,0,1.571428571,1.19047619,-0.380952381,1.56,1.2,-0.36,22,30,8
810002,8100,1,1,4,3,0,0,0,0,0,0,2.333333333,1.19047619,-1.142857143,2.8,1.68,-1.12,31,31,0
810101,8101,0,0,8,9,6,9,3,4,6.25,2.25,5,5,0,5,5,0,35,37,2
820001,8200,1,1,10,12,5,8,3,9,8.5,-0.5,4.428571429,4.571428571,0.142857143,4.48,4.8,0.32,33,26,-7
820002,8200,1,1,1,1,6,8,2,9,8,-1,4.428571429,4.714285714,0.285714286,4.48,4.76,0.28,30,25,-5
820003,8200,0,0,1,1,8,9,1,9,8.25,-0.75,4.047619048,4.857142857,0.80952381,4,4.8,0.8,26,27,1
820004,8200,0,0,1,1,9,6,-3,9,9,0,3.80952381,4.666666667,0.857142857,3.4,4.6,1.2,30,28,-2
820005,8200,0,0,2,2,0,0,0,0,0,0,1,1,0,1.24,1.16,-0.08,30,23,-7
830001,8300,1,1,12,12,6,7,1,9,6,-3,4.571428571,4.333333333,-0.238095238,4.6,4.52,-0.08,32,26,-6
830002,8300,1,1,12,12,6,6,0,9,5.5,-3.5,4.428571429,4.333333333,-0.095238095,4.6,4.36,-0.24,30,25,-5
830003,8300,0,0,2,1,6,8,2,9,9,0,4.476190476,4.523809524,0.047619048,4.52,4.48,-0.04,26,26,0
830004,8300,0,0,1,1,7,7,0,9,8,-1,4.571428571,4.285714286,-0.285714286,4.76,4.68,-0.08,30,27,-3
870001,8700,1,1,11,11,4,7,3,6,8,2,3.857142857,4.333333333,0.476190476,4.2,4.6,0.4,29,28,-1
870002,8700,1,1,5,1,8,8,0,9,8.25,-0.75,4.428571429,3.380952381,-1.047619048,4.48,4.48,0,32,28,-4
870003,8700,0,0,3,1,9,7,-2,9,9,0,4.476190476,4.428571429,-0.047619048,4.36,4.56,0.2,31,30,-1
870004,8700,0,#N/A,1,#N/A,9,#N/A,#N/A,9,#N/A,#N/A,4.476190476,#N/A,#N/A,4.64,#N/A,#N/A,33,#N/A,#N/A
900001,9000,1,1,7,5,6,6,0,4,4,0,3.238095238,4.19047619,0.952380952,3.88,4.32,0.44,25,26,1
900002,9000,1,1,12,12,7,6,-1,6,8.25,2.25,4.523809524,3.952380952,-0.571428571,4.6,4.56,-0.04,25,27,2
900003,9000,0,0,7,7,6,6,0,8,8,0,4.666666667,4.428571429,-0.238095238,4.8,4.52,-0.28,27,28,1
900004,9000,0,0,1,1,9,6,-3,8,8,0,4.714285714,4.333333333,-0.380952381,4.6,4.52,-0.08,30,26,-4
930001,9300,1,1,8,8,5,6,1,0,0,0,3.714285714,3,-0.714285714,3.2,3.76,0.56,30,33,3
930002,9300,1,1,8,8,5,6,1,0,0,0,1.714285714,4.142857143,2.428571429,3.12,4.68,1.56,31,31,0
940001,9400,1,1,7,7,6,7,1,0,3.75,3.75,3.857142857,3.238095238,-0.619047619,4.44,4,-0.44,33,33,0
940002,9400,1,1,5,4,6,8,2,5.25,3.75,-1.5,3.666666667,4.095238095,0.428571429,3.84,4.4,0.56,34,35,1
940003,9400,0,0,6,6,9,8,-1,7.25,7.5,0.25,4,4.857142857,0.857142857,4.64,4.84,0.2,33,34,1
960002,9600,1,1,1,1,8,6,-2,7.5,6.75,-0.75,3.714285714,3.857142857,0.142857143,4.4,3.92,-0.48,34,33,-1
960003,9600,0,0,1,1,6,7,1,6.25,7.75,1.5,3.952380952,5,1.047619048,4.52,4.84,0.32,34,31,-3
960004,9600,0,0,1,1,6,6,0,0,6.75,6.75,2.904761905,4.571428571,1.666666667,3.28,4.76,1.48,#VALUE!,29,#VALUE!
970001,9700,1,1,5,6,0,0,0,0,0,0,1.428571429,1.952380952,0.523809524,1.68,1.92,0.24,33,30,-3
970002,9700,1,1,1,1,0,0,0,0,0,0,1,1.333333333,0.333333333,1.68,1.96,0.28,28,33,5
980001,9800,1,1,11,10,8,6,-2,6.5,6.5,0,3.714285714,2.19047619,-1.523809524,4.12,3.6,-0.52,35,31,-4
980002,9800,1,1,6,6,9,5,-4,3.75,2.25,-1.5,3.095238095,3.619047619,0.523809524,3.96,4.16,0.2,36,28,-8
980003,9800,1,1,7,6,7,9,2,8.5,7.5,-1,4.761904762,4.380952381,-0.380952381,4.72,4.2,-0.52,37,25,-12
980004,9800,1,1,9,8,7,9,2,6.75,4.75,-2,4.380952381,4.142857143,-0.238095238,4.24,4.44,0.2,36,25,-11
990002,9900,1,#N/A,1,#N/A,0,#N/A,#N/A,3.5,#N/A,#N/A,2.523809524,#N/A,#N/A,2.8,#N/A,#N/A,34,#N/A,#N/A
990003,9900,0,#N/A,7,#N/A,9,#N/A,#N/A,6.25,#N/A,#N/A,3.904761905,#N/A,#N/A,4.68,#N/A,#N/A,35,#N/A,#N/A
1000001,10000,1,1,7,8,8,9,1,6.25,4.5,-1.75,3.857142857,3.952380952,0.095238095,4.56,4.96,0.4,36,35,-1
1000002,10000,1,1,7,6,7,9,2,7,6.25,-0.75,4.19047619,3.761904762,-0.428571429,4.72,4.24,-0.48,33,32,-1
1010002,10100,1,1,7,6,6,7,1,8.25,7,-1.25,3.857142857,4.761904762,0.904761905,4.04,4.8,0.76,31,33,2
1010004,10100,0,0,1,1,8,7,-1,0,0,0,2.904761905,3.285714286,0.380952381,3.64,4.36,0.72,#VALUE!,#VALUE!,#VALUE!
1020002,10200,0,0,1,1,0,0,0,2.25,3,0.75,2,1.428571429,-0.571428571,3.12,2.44,-0.68,32,30,-2
1020003,10200,1,1,7,7,7,9,2,4.5,4,-0.5,3.333333333,3.333333333,0,3.44,3.64,0.2,32,26,-6
1030001,10300,1,1,5,1,7,7,0,2.75,2.75,0,2.523809524,1,-1.523809524,3.28,3.88,0.6,27,32,5
1030002,10300,1,1,1,1,9,5,-4,2.5,4.5,2,2.523809524,2.619047619,0.095238095,3.36,3,-0.36,33,29,-4
1040001,10400,1,1,9,8,9,9,0,3.5,6.25,2.75,2.666666667,2.571428571,-0.095238095,3.84,3.88,0.04,29,27,-2
1040002,10400,1,1,4,4,6,9,3,4.75,6.25,1.5,3.571428571,3.476190476,-0.095238095,4.16,3.48,-0.68,34,30,-4
1040003,10400,0,0,7,7,8,9,1,6.25,7.5,1.25,4.523809524,4.714285714,0.19047619,4.44,4.72,0.28,36,31,-5
1060001,10600,1,1,11,12,5,6,1,0,0,0,4.857142857,4.857142857,0,4.92,4.84,-0.08,30,29,-1
1060002,10600,1,1,1,1,5,6,1,0,0,0,4.619047619,4.714285714,0.095238095,4.88,4.96,0.08,29,30,1
1070001,10700,1,1,9,8,5,6,1,0,0,0,4.619047619,4.80952381,0.19047619,4.88,4.88,0,33,30,-3
1070002,10700,1,1,8,9,6,6,0,0,0,0,4.714285714,4.904761905,0.19047619,4.84,4.96,0.12,27,30,3
1080002,10800,1,1,5,4,6,6,0,3,3,0,2.095238095,1.666666667,-0.428571429,2.36,2.56,0.2,26,26,0
1090001,10900,1,1,5,7,6,5,-1,3.75,0,-3.75,3.333333333,3.19047619,-0.142857143,3.36,3.4,0.04,26,30,4
1090002,10900,1,1,1,1,6,5,-1,3,4,1,2.714285714,3.19047619,0.476190476,3.44,3.36,-0.08,26,28,2
1100001,11000,0,0,5,7,5,6,1,3.5,2.5,-1,3.80952381,3.428571429,-0.380952381,3.64,3.52,-0.12,25,25,0
