sample,male,brand,C1,C2,C3,D1,D2,D3
224,0,C12,4,5,4,4,5,4
225,1,C13,6,5,5,4,3,4
226,1,C14,1,2,1,7,6,5
227,0,C15,4,3,4,5,4,5
228,1,C16,3,2,2,4,5,6
229,1,C2,3,2,1,4,4,5
230,1,C3,3,4,3,7,7,6
231,1,C1,1,1,3,6,5,6
232,1,C4,2,2,1,5,5,5
233,1,C2,3,4,3,3,4,4
234,1,C3,4,5,5,4,4,4
235,0,C1,4,4,4,7,7,7
236,1,C4,3,2,2,3,4,5
237,1,C5,5,4,4,3,4,3
238,0,C6,4,4,5,1,2,3
239,1,C7,5,6,6,5,5,5
240,1,C8,3,2,3,3,2,2
241,0,C9,7,8,9,5,4,4
242,0,C10,4,4,5,5,5,5
243,0,C11,7,6,5,6,6,5
244,0,C12,7,8,9,2,1,1
245,1,C13,7,7,8,2,2,3
246,0,C14,3,2,3,4,3,3
247,1,C15,5,4,5,6,5,6
248,1,C16,3,2,3,5,4,3
249,1,C2,1,2,1,6,6,6
250,1,C3,3,2,3,6,6,5
251,0,C1,1,1,1,3,4,5
252,1,C4,4,3,4,4,3,3
253,1,C5,6,6,6,4,3,2
254,0,C6,4,5,5,2,2,2
255,1,C7,6,7,7,4,4,3
256,1,C8,4,3,4,5,5,5
257,1,C9,4,5,6,5,6,5
258,1,C10,6,7,6,6,7,7
259,0,C11,5,5,6,4,5,5
260,1,C12,6,7,7,2,2,1
261,1,C13,5,5,6,4,3,4
262,1,C14,1,3,1,4,4,3
263,1,C15,4,5,4,3,2,1
264,1,C16,3,3,2,4,5,4
265,0,C2,4,3,3,4,3,3
266,1,C3,6,6,7,5,5,6
267,0,C1,3,2,1,7,8,7
268,1,C4,3,4,4,3,3,4
269,0,C5,5,5,5,1,2,1
270,1,C6,3,4,5,5,5,4
271,0,C7,6,7,7,5,4,5
272,0,C8,3,4,5,7,8,9
273,0,C9,5,5,6,3,3,2
274,0,C10,5,6,7,4,3,4
275,0,C11,7,8,8,6,6,6
276,1,C12,6,5,6,4,3,3
277,0,C13,6,7,7,4,5,4
278,1,C14,1,2,2,7,7,6
279,0,C15,4,4,4,5,4,5
280,1,C16,5,6,5,5,5,5
281,0,C2,4,4,4,6,6,7
282,1,C3,4,3,3,7,7,7
283,1,C1,5,5,5,4,5,6
284,0,C4,4,5,4,4,5,6
285,0,C5,7,8,9,2,2,3
286,0,C6,3,2,1,3,4,3
287,1,C7,4,4,5,4,4,5
288,0,C8,3,2,2,4,5,4
289,0,C9,6,6,5,4,3,4
290,0,C10,4,5,4,5,5,4
291,1,C11,5,4,5,6,5,5
292,1,C12,6,5,4,4,5,6
293,1,C13,5,5,4,5,6,6
294,0,C14,3,4,5,4,4,3
295,0,C15,6,7,7,2,3,4
296,1,C16,5,6,5,5,4,4
297,1,C2,2,2,1,4,5,6
298,0,C3,6,6,5,3,4,4
299,1,C1,5,5,4,6,5,4
300,0,C4,2,2,1,2,3,4
301,1,C5,4,4,4,3,3,3
302,0,C6,4,4,4,2,3,3
303,0,C7,6,6,5,5,6,6
304,1,C8,2,1,1,6,6,7
305,1,C9,7,6,5,3,2,3
306,1,C10,6,6,6,4,5,5
307,1,C11,7,7,8,5,5,5
308,1,C12,4,4,3,4,4,3
309,0,C13,7,6,5,3,4,4
310,0,C14,3,2,3,4,4,3
311,1,C15,5,5,6,3,4,4
312,0,C16,3,3,3,7,7,7
313,1,C2,1,2,1,4,3,2
314,0,C3,6,7,7,4,4,4
315,1,C1,1,1,2,6,6,7
316,0,C4,5,4,4,2,2,3
317,1,C5,4,3,2,1,2,1
318,0,C6,4,5,6,4,4,5
319,1,C7,5,5,5,5,4,5
320,0,C8,3,4,3,7,6,7
321,1,C9,3,4,4,2,1,2
322,1,C10,3,2,1,3,3,2
323,0,C11,4,3,4,6,6,7
324,0,C12,4,5,4,5,6,5
325,0,C13,7,7,8,4,4,4
326,1,C2,2,3,2,4,3,2
327,1,C3,6,6,6,3,2,2
328,0,C1,1,2,1,7,7,8
329,1,C4,2,2,2,3,3,3
330,0,C5,5,4,4,4,5,5
331,0,C6,4,3,4,2,3,4
332,1,C7,4,4,5,4,3,2
333,1,C8,2,3,2,4,3,3
334,1,C9,4,4,5,3,2,3
335,0,C10,6,7,8,6,6,5
336,1,C11,7,8,9,7,8,8
337,0,C12,5,5,4,5,6,7
338,1,C13,7,6,5,5,4,4
339,1,C14,5,6,6,4,5,5
340,0,C15,5,4,5,3,2,2
341,0,C16,2,2,3,4,5,5
342,0,C14,4,3,2,4,3,2
343,0,C15,4,5,4,6,5,5
344,1,C16,4,3,3,7,8,7
345,1,C2,5,5,4,6,6,7
346,1,C3,6,7,7,5,6,6
347,1,C1,5,5,4,7,7,6
348,1,C4,2,1,1,4,5,5
349,0,C5,6,5,6,2,3,2
350,0,C6,3,2,3,1,2,2
351,1,C7,4,5,6,4,5,5
352,0,C8,3,4,4,3,2,3
353,1,C9,6,5,5,2,3,4
354,1,C10,2,3,2,2,2,3
355,0,C11,6,7,7,4,3,4
356,0,C12,6,7,6,1,2,2
357,0,C13,7,6,7,5,5,5
358,0,C14,3,3,3,4,4,3
359,0,C15,4,5,6,5,5,5
360,1,C16,5,4,4,6,5,4
361,0,C2,2,1,2,4,3,2
362,1,C3,6,6,7,5,4,5
363,0,C1,1,1,2,4,3,2
364,1,C4,3,4,5,5,4,3
365,1,C5,4,4,4,4,5,4
366,1,C6,2,3,4,5,5,4
367,0,C7,6,7,8,5,5,5
368,1,C8,3,2,2,3,2,2
369,0,C9,6,5,5,3,2,1
370,0,C10,4,3,4,3,4,5
371,0,C11,7,8,8,6,5,4
372,1,C12,4,5,4,3,3,4
373,1,C13,7,8,8,5,6,5
374,1,C14,1,1,1,5,5,6
375,1,C15,6,6,6,3,2,1
376,0,C16,3,3,3,6,7,6
377,1,C2,1,2,1,3,2,2
378,0,C3,3,4,5,4,4,3
379,0,C1,1,2,1,6,6,5
380,0,C4,2,1,2,3,2,1
381,1,C2,1,2,3,3,2,2
382,0,C3,5,6,6,4,5,6
383,0,C1,1,1,1,4,3,3
384,0,C4,5,4,4,5,4,5
385,1,C5,4,4,4,1,2,1
386,0,C6,4,4,5,2,2,2
387,1,C7,5,4,3,4,3,3
388,1,C8,4,4,5,7,8,7
389,0,C9,4,5,5,4,5,4
390,0,C10,3,4,5,2,3,3
391,0,C11,5,5,5,5,6,7
392,1,C12,6,6,5,2,2,3
393,1,C13,7,7,6,4,3,2
394,0,C14,2,3,4,7,6,7
395,0,C15,4,5,5,1,1,3
396,1,C16,4,4,5,4,5,6
397,0,C2,2,3,2,6,7,6
398,0,C3,3,4,3,7,8,9
399,0,C1,1,2,3,4,5,4
400,0,C4,3,3,4,4,3,2
401,1,C5,6,5,5,4,3,3
402,1,C6,5,4,5,2,2,3
403,0,C7,4,3,2,5,5,5
404,1,C8,2,3,4,5,5,5
405,0,C9,5,6,6,3,3,4
406,0,C10,2,3,2,4,5,6
407,1,C11,5,4,3,6,7,7
408,0,C12,4,3,2,3,4,4
409,1,C13,5,5,4,4,5,5
410,1,C14,3,4,5,5,5,6
411,0,C15,5,4,5,2,1,2
412,0,C16,2,2,3,3,4,5
413,1,C2,4,4,5,3,2,2
414,1,C3,6,6,7,7,8,9
415,1,C1,3,3,2,7,7,6
416,0,C4,2,2,3,3,3,4
417,0,C5,4,5,6,3,4,5
418,0,C6,5,6,5,5,6,5
419,1,C7,3,3,4,5,5,4
420,0,C8,3,2,2,3,3,3
421,1,C9,3,4,5,6,6,6
422,0,C10,6,7,8,5,6,7
423,1,C11,4,3,3,6,5,6
424,1,C12,7,6,5,1,1,2
425,0,C13,6,5,4,3,2,3
426,0,C14,1,1,1,4,5,4
427,0,C15,4,3,2,1,1,2
428,0,C16,3,3,4,3,2,3
429,0,C2,5,6,5,6,7,6
430,1,C3,3,2,1,7,8,8
431,1,C1,1,2,1,3,2,3
432,1,C4,5,4,5,4,3,4
433,0,C5,7,8,9,4,3,2
434,1,C6,5,6,7,2,3,4
435,0,C7,6,5,6,5,5,5
436,0,C8,4,5,5,6,6,7
437,0,C9,5,5,5,3,4,3
438,1,C10,3,2,3,2,1,2
439,0,C11,6,6,6,5,5,6
440,0,C12,5,4,4,5,5,6
441,1,C13,4,5,5,2,2,3
442,1,C14,1,3,1,5,4,4
443,0,C15,6,6,7,2,2,1
444,1,C16,3,2,2,4,3,3
445,0,C2,2,2,2,5,4,3
446,0,C3,6,6,7,3,2,1
447,0,C1,3,4,4,6,5,6
448,1,C4,3,2,3,3,2,1
449,0,C5,6,5,6,4,5,6
450,1,C6,2,1,1,1,2,1
451,0,C7,4,3,3,5,5,4
452,0,C8,4,5,5,6,6,5
453,0,C9,5,5,5,3,4,5
454,1,C10,4,4,5,2,1,2
455,0,C11,4,4,3,4,4,3
456,1,C12,6,6,5,5,6,7
457,1,C13,4,3,2,4,5,5
458,0,C14,4,3,4,6,6,5
459,1,C15,7,8,7,3,3,2
460,1,C16,5,5,4,6,6,5
461,0,C2,1,3,1,6,7,8
462,0,C3,6,5,4,3,2,1
463,0,C1,5,5,4,4,3,4
464,1,C4,4,3,4,5,6,6
465,0,C5,5,6,7,2,3,4
466,0,C6,2,2,3,1,1,3
467,0,C7,5,6,6,4,3,2
468,0,C8,3,4,3,7,7,7
469,1,C9,5,4,3,3,4,3
470,0,C10,2,1,2,4,3,4
471,0,C11,5,6,7,4,4,4
472,1,C12,4,4,4,2,1,2
473,1,C13,5,4,5,5,5,5
474,0,C2,4,5,5,4,4,3
475,1,C3,3,3,4,3,2,1
476,0,C1,1,1,1,6,6,6
477,0,C4,3,2,1,3,4,4
478,0,C5,7,7,6,3,4,4
479,1,C6,4,4,4,4,5,5
480,1,C7,5,4,5,5,5,4
481,0,C8,3,2,2,7,7,6
482,0,C9,3,2,3,5,5,6
483,1,C10,5,4,5,4,5,6
484,1,C11,4,5,6,5,4,4
485,0,C12,7,6,7,5,6,6
486,0,C13,7,7,6,4,3,4
487,0,C14,1,1,3,5,4,5
488,1,C15,4,5,4,2,2,1
489,0,C16,2,3,2,7,7,8
490,0,C14,5,4,4,5,6,6
491,1,C15,6,5,6,4,5,4
492,0,C16,5,6,6,4,4,4
493,1,C2,4,4,4,4,5,6
494,1,C3,3,2,3,7,7,8
495,0,C1,4,3,4,6,7,7
496,0,C4,2,3,2,3,4,5
497,1,C5,4,3,2,3,3,3
498,0,C6,3,3,4,4,5,4
499,0,C7,6,5,6,4,3,3
500,0,C8,2,1,2,3,2,3
501,1,C9,7,8,9,5,5,5
502,1,C10,5,5,5,4,3,2
503,1,C11,4,5,5,7,7,8
504,0,C12,7,6,5,1,1,3
505,1,C13,6,7,6,3,2,2
506,1,C14,5,4,3,6,6,5
507,1,C15,7,6,6,1,3,2
508,1,C16,4,4,3,3,2,3
509,0,C2,2,1,1,4,5,6
510,0,C3,3,4,4,3,2,1
511,0,C1,2,3,4,3,4,4
512,0,C4,5,4,4,3,4,4
513,0,C5,4,4,4,2,3,2
514,0,C6,5,6,7,1,1,2
515,0,C7,4,3,3,5,4,4
516,1,C8,4,3,3,6,5,6
517,0,C9,6,6,7,2,3,3
518,1,C10,4,4,5,4,3,2
519,0,C11,6,5,4,6,7,7
520,0,C12,5,6,6,2,3,4
521,0,C13,6,6,6,3,4,3
522,0,C14,1,1,3,6,5,6
523,0,C15,6,7,6,4,5,6
524,0,C16,2,2,3,6,5,5
525,0,C2,3,2,3,3,3,4
526,1,C3,4,4,3,3,2,1
527,0,C1,4,5,5,3,3,4
528,0,C4,3,4,3,3,3,3
529,0,C2,3,2,1,4,5,5
530,1,C3,5,5,5,5,4,3
531,0,C1,1,1,1,4,4,3
532,1,C4,2,3,2,4,3,3
533,1,C5,5,5,6,3,4,4
534,1,C6,3,4,3,5,5,4
535,1,C7,5,4,4,5,5,4
536,0,C8,2,3,3,6,7,8
537,1,C9,5,6,6,4,5,6
538,0,C10,2,1,2,6,5,5
539,1,C11,6,7,8,7,8,9
540,1,C12,4,3,3,1,2,1
541,1,C13,5,5,4,4,3,2
542,0,C14,2,2,2,7,6,6
543,0,C15,6,7,6,5,4,4
544,1,C16,3,2,3,6,7,6
545,1,C2,5,4,4,4,4,5
546,1,C3,5,5,4,7,8,7
547,1,C1,4,4,3,5,6,6
548,0,C4,2,3,2,5,4,3
549,0,C5,7,7,7,3,2,1
550,1,C6,2,3,2,5,4,5
551,1,C7,6,6,7,5,6,6
552,1,C8,2,1,2,4,3,4
553,1,C9,7,7,7,5,6,7
554,1,C10,4,3,4,1,1,2
555,0,C11,5,4,4,4,5,5
556,0,C12,4,5,4,4,4,3
557,0,C13,4,4,5,3,2,2
558,1,C14,4,5,6,7,7,6
559,1,C15,6,6,7,5,6,5
560,0,C16,3,2,2,3,2,2
561,0,C2,4,3,4,5,6,5
562,1,C3,6,7,8,5,6,7
563,0,C1,2,2,1,5,6,5
564,0,C4,2,1,2,5,5,4
565,0,C5,5,5,4,4,5,4
566,0,C6,4,3,2,3,3,4
567,0,C7,4,5,6,4,4,3
568,1,C8,2,1,2,5,5,6
569,1,C9,3,4,5,4,4,5
570,1,C10,6,6,6,1,1,1
571,0,C11,4,3,4,5,5,4
572,1,C12,7,7,8,1,1,1
573,1,C13,7,7,6,5,4,5
574,0,C14,1,2,3,4,3,3
575,0,C15,7,6,6,6,7,8
576,0,C16,4,3,2,3,3,2
577,0,C2,1,1,2,6,7,6
578,0,C3,4,3,4,5,5,4
579,1,C1,1,2,3,5,6,5
580,1,C4,4,5,6,5,5,5
581,0,C5,7,7,7,5,4,5
582,0,C6,5,5,4,4,3,3
583,1,C7,6,5,4,4,3,2
584,1,C8,4,3,4,5,4,3
585,1,C9,7,6,6,5,4,5
586,0,C10,2,1,2,6,7,8
587,1,C11,6,7,7,5,6,6
588,0,C12,5,6,6,1,2,2
589,1,C13,6,7,7,2,3,2
590,0,C14,1,2,1,7,8,7
591,0,C15,5,4,4,6,5,5
592,0,C16,2,1,1,4,4,3
593,1,C2,5,4,4,3,4,4
594,1,C3,4,4,5,3,2,3
595,1,C1,1,2,2,3,4,5
596,0,C4,2,3,3,2,2,1
597,1,C5,7,7,8,4,5,6
598,0,C6,2,1,1,2,1,2
599,1,C7,5,6,5,4,3,3
600,1,C8,4,4,4,4,3,3
601,0,C9,6,6,6,3,3,2
602,0,C10,2,2,3,5,5,5
603,0,C11,4,4,4,4,5,4
604,0,C12,4,4,4,4,5,6
605,1,C13,7,6,7,3,4,3
606,1,C14,5,4,5,7,8,8
607,1,C15,6,6,6,3,3,2
608,1,C16,5,4,4,6,6,7
609,1,C2,2,3,4,6,7,6
610,1,C3,5,6,7,7,6,6
611,0,C1,4,3,3,4,5,4
612,1,C4,2,3,2,2,2,1
613,0,C5,4,4,3,5,5,5
614,0,C6,3,2,1,5,5,4
615,1,C7,6,5,5,4,4,4
616,0,C8,3,3,3,5,5,4
617,0,C9,3,4,4,5,6,7
618,0,C10,6,6,7,6,6,5
619,0,C11,5,6,7,5,4,5
620,1,C12,5,6,5,5,5,5
621,0,C13,6,5,5,4,5,5
622,1,C2,1,3,2,6,7,8
623,1,C3,6,6,6,7,8,7
624,0,C1,4,5,6,6,6,6
625,1,C4,5,5,5,3,2,1
626,1,C5,6,6,7,5,4,4
627,0,C6,3,2,3,5,4,5
628,0,C7,5,4,4,5,5,4
629,0,C8,2,2,3,4,5,5
630,1,C9,7,6,7,6,5,6
631,1,C10,3,3,2,5,6,7
632,1,C11,7,6,6,5,5,4
633,1,C12,6,5,5,2,2,3
634,0,C13,4,4,3,5,6,6
635,0,C14,1,2,3,5,6,6
636,1,C15,7,6,7,1,2,1
637,0,C16,4,5,4,5,5,4
638,1,C14,5,4,4,7,8,9
639,1,C15,7,7,8,3,2,1
640,0,C16,5,5,5,4,5,5
641,1,C2,5,5,5,3,4,4
642,0,C3,6,6,7,5,4,5
643,0,C1,2,1,2,7,6,6
644,0,C4,2,2,1,3,2,3
645,0,C5,5,4,4,3,2,1
646,1,C6,3,4,3,4,5,5
647,1,C7,4,5,6,5,5,6
648,1,C8,4,3,4,5,6,5
649,0,C9,4,5,4,5,5,6
650,0,C10,4,3,3,3,4,5
651,0,C11,5,6,6,5,4,3
652,1,C12,4,3,4,2,2,2
653,0,C13,7,8,9,5,6,6
654,1,C14,2,1,2,7,8,8
655,1,C15,4,5,4,5,5,6
656,1,C16,5,4,3,5,4,5
657,0,C2,5,5,4,5,6,6
658,1,C3,5,4,5,5,5,5
659,0,C1,2,1,2,4,3,4
660,1,C4,3,2,1,5,5,5
661,0,C5,4,5,6,2,3,4
662,1,C6,4,3,4,5,4,5
663,1,C7,6,6,6,4,5,5
664,1,C8,3,2,3,4,3,4
665,0,C9,4,4,3,4,5,6
666,0,C10,6,6,7,6,5,4
667,0,C11,5,4,5,6,7,7
668,1,C12,7,6,5,4,5,4
669,0,C13,4,4,5,5,5,5
670,0,C14,2,1,1,5,4,4
671,0,C15,7,6,5,3,4,5
672,1,C16,4,5,6,3,3,2
673,1,C2,4,5,4,5,5,6
674,1,C3,6,5,5,6,7,7
675,1,C1,4,3,2,7,8,9
676,0,C4,4,4,5,5,5,5
677,0,C2,5,4,3,5,4,3
678,1,C3,5,4,3,3,4,3
679,1,C1,2,1,2,3,2,3
680,1,C4,4,4,4,4,3,3
681,0,C5,5,6,5,5,5,6
682,1,C6,5,5,5,4,3,3
683,0,C7,4,5,5,4,4,4
684,0,C8,2,2,1,7,6,6
685,1,C9,6,6,7,3,4,5
686,1,C10,4,5,6,1,1,2
687,0,C11,4,4,5,6,6,7
688,1,C12,5,6,5,2,1,2
689,1,C13,7,6,5,5,6,7
690,0,C14,2,1,2,6,5,4
691,1,C15,5,5,4,6,7,7
692,0,C16,4,4,3,3,4,4
693,0,C2,3,4,5,5,6,5
694,1,C3,5,4,5,4,4,4
695,0,C1,3,2,1,7,6,5
696,1,C4,2,2,1,4,3,4
697,1,C5,6,6,7,1,3,2
698,1,C6,2,2,2,5,4,4
699,0,C7,3,2,2,5,5,6
700,0,C8,3,4,4,5,5,6
701,0,C9,6,6,6,5,6,6
702,0,C10,4,4,4,6,5,5
703,1,C11,5,6,6,7,6,6
704,0,C12,6,7,8,5,4,4
705,1,C13,4,5,4,4,4,4
706,1,C14,1,1,2,5,6,7
707,1,C15,4,3,2,4,5,4
708,1,C16,4,3,3,7,6,7
709,1,C2,3,2,3,5,5,4
710,1,C3,5,6,7,7,8,9
711,0,C1,1,1,2,3,4,4
712,1,C4,3,3,3,3,3,2
713,0,C5,4,5,5,2,1,1
714,1,C6,2,3,2,4,4,4
715,1,C7,3,4,3,4,4,3
716,1,C8,3,4,5,3,2,1
717,0,C9,7,6,5,2,1,3
718,1,C10,5,4,5,1,1,2
719,0,C11,7,7,7,4,3,4
720,1,C12,5,4,5,2,3,3
721,0,C13,4,4,3,2,1,1
722,1,C14,5,4,4,7,6,6
723,1,C15,6,5,6,4,4,3
724,1,C16,2,1,2,3,3,4
725,0,C2,5,6,6,3,3,3
726,0,C3,3,3,4,5,5,6
727,1,C1,5,6,6,7,7,6
728,1,C4,4,4,3,2,2,3
729,1,C5,6,6,5,2,2,3
730,0,C6,5,5,4,1,3,1
731,1,C7,4,4,3,5,5,6
732,0,C8,4,5,5,6,6,7
733,1,C9,7,8,7,3,4,5
734,1,C2,1,3,1,3,3,3
