sample,male,age,attribute,benefit,value,attribute,benefit,value,,,,,,,,,,,,
227,0,33,2,4,3,카메라성능,나의 개성을 표현할 수 있다,걱정없는 삶,,,,,,,,,,,,
229,1,45,2,5,4,카메라성능,SNS 참여가 쉽다,좋은 관계,,,,,,,,,,,,
230,1,49,2,5,4,카메라성능,SNS 참여가 쉽다,좋은 관계,,,,,,,,,,,,
232,1,40,2,6,2,카메라성능,여가활동이 즐겁다,자아존중,,,,,,,,,,,,
234,0,37,2,4,2,카메라성능,나의 개성을 표현할 수 있다,자아존중,,,,,,,,,,,,
250,0,26,2,4,1,카메라성능,나의 개성을 표현할 수 있다,목표성취,,,,,,,,,,,,
264,1,42,2,5,4,카메라성능,SNS 참여가 쉽다,좋은 관계,,,,,,,,,,,,
269,1,45,2,5,1,카메라성능,SNS 참여가 쉽다,목표성취,,,,,,,,,,,,
275,0,41,2,6,4,카메라성능,여가활동이 즐겁다,좋은 관계,,,,,,,,,,,,
297,0,49,2,4,5,카메라성능,나의 개성을 표현할 수 있다,즐거운 인생,,,,,,,,,,,,
303,1,45,2,4,5,카메라성능,나의 개성을 표현할 수 있다,즐거운 인생,,,,,,,,,,,,
306,0,40,2,5,1,카메라성능,SNS 참여가 쉽다,목표성취,,,,,,,,,,,,
311,0,48,2,5,4,카메라성능,SNS 참여가 쉽다,좋은 관계,,,,,,,,,,,,
315,0,34,2,6,3,카메라성능,여가활동이 즐겁다,걱정없는 삶,,,,,,,,,,,,
323,1,46,2,4,4,카메라성능,나의 개성을 표현할 수 있다,좋은 관계,,,,,,,,,,,,
348,0,48,2,4,4,카메라성능,나의 개성을 표현할 수 있다,좋은 관계,,,,,,,,,,,,
361,0,48,2,5,4,카메라성능,SNS 참여가 쉽다,좋은 관계,,,,,,,,,,,,
369,1,41,2,5,3,카메라성능,SNS 참여가 쉽다,걱정없는 삶,,,,,,,,,,,,
373,1,42,2,6,1,카메라성능,여가활동이 즐겁다,목표성취,,,,,,,,,,,,
374,1,33,2,4,4,카메라성능,나의 개성을 표현할 수 있다,좋은 관계,,,,,,,,,,,,
382,0,26,2,4,3,카메라성능,나의 개성을 표현할 수 있다,걱정없는 삶,,,,,,,,,,,,
384,0,28,2,5,5,카메라성능,SNS 참여가 쉽다,즐거운 인생,,,,,,,,,,,,
386,0,46,2,5,1,카메라성능,SNS 참여가 쉽다,목표성취,,,,,,,,,,,,
391,0,45,2,6,3,카메라성능,여가활동이 즐겁다,걱정없는 삶,,,,,,,,,,,,
400,1,34,2,4,4,카메라성능,나의 개성을 표현할 수 있다,좋은 관계,,,,,,,,,,,,
402,1,44,2,4,5,카메라성능,나의 개성을 표현할 수 있다,즐거운 인생,,,,,,,,,,,,
414,0,27,2,5,5,카메라성능,SNS 참여가 쉽다,즐거운 인생,,,,,,,,,,,,
419,1,28,2,5,5,카메라성능,SNS 참여가 쉽다,즐거운 인생,,,,,,,,,,,,
420,1,34,2,6,5,카메라성능,여가활동이 즐겁다,즐거운 인생,,,,,,,,,,,,
427,1,42,2,4,3,카메라성능,나의 개성을 표현할 수 있다,걱정없는 삶,,,,,,,,,,,,
434,1,39,2,4,2,카메라성능,나의 개성을 표현할 수 있다,자아존중,,,,,,,,,,,,
436,1,35,2,5,1,카메라성능,SNS 참여가 쉽다,목표성취,,,,,,,,,,,,
438,1,37,2,5,1,카메라성능,SNS 참여가 쉽다,목표성취,,,,,,,,,,,,
441,1,24,2,6,2,카메라성능,여가활동이 즐겁다,자아존중,,,,,,,,,,,,
442,1,47,2,4,4,카메라성능,나의 개성을 표현할 수 있다,좋은 관계,,,,,,,,,,,,
443,1,39,2,4,2,카메라성능,나의 개성을 표현할 수 있다,자아존중,,,,,,,,,,,,
444,1,43,2,5,1,카메라성능,SNS 참여가 쉽다,목표성취,,,,,,,,,,,,
448,0,49,2,5,5,카메라성능,SNS 참여가 쉽다,즐거운 인생,,,,,,,,,,,,
453,1,30,2,6,4,카메라성능,여가활동이 즐겁다,좋은 관계,,,,,,,,,,,,
456,1,29,2,4,5,카메라성능,나의 개성을 표현할 수 있다,즐거운 인생,,,,,,,,,,,,
464,0,25,2,4,1,카메라성능,나의 개성을 표현할 수 있다,목표성취,,,,,,,,,,,,
478,0,26,2,5,4,카메라성능,SNS 참여가 쉽다,좋은 관계,,,,,,,,,,,,
485,0,41,2,5,5,카메라성능,SNS 참여가 쉽다,즐거운 인생,,,,,,,,,,,,
487,1,29,2,6,5,카메라성능,여가활동이 즐겁다,즐거운 인생,,,,,,,,,,,,
493,1,26,2,4,1,카메라성능,나의 개성을 표현할 수 있다,목표성취,,,,,,,,,code,attribute,benefit,value
499,1,47,2,4,4,카메라성능,나의 개성을 표현할 수 있다,좋은 관계,,,,,,,,,1,저렴한 가격,언제나 연결된다,목표성취
2,1,25,3,3,2,화면크기,커뮤니케이션이 용이하다,자아존중,,,,,,,,,2,카메라성능,경제적 손실을 줄인다,자아존중
9,0,25,3,6,4,화면크기,여가활동이 즐겁다,좋은 관계,,,,,,,,,3,화면크기,커뮤니케이션이 용이하다,걱정없는 삶
14,1,29,3,7,3,화면크기,업무효율성이 높아진다,걱정없는 삶,,,,,,,,,4,빠른 속도,나의 개성을 표현할 수 있다,좋은 관계
16,1,31,3,9,3,화면크기,사용하기 편리하다,걱정없는 삶,,,,,,,,,5,저장용량,SNS 참여가 쉽다,즐거운 인생
28,0,33,3,9,3,화면크기,사용하기 편리하다,걱정없는 삶,,,,,,,,,6,세련된 스타일,여가활동이 즐겁다,
29,0,38,3,7,2,화면크기,업무효율성이 높아진다,자아존중,,,,,,,,,7,강력한 보안,업무효율성이 높아진다,
38,1,48,3,9,2,화면크기,사용하기 편리하다,자아존중,,,,,,,,,8,브랜드,개인정보 보호가 된다,
48,1,40,3,6,3,화면크기,여가활동이 즐겁다,걱정없는 삶,,,,,,,,,9,내구성,사용하기 편리하다,
57,1,42,3,7,2,화면크기,업무효율성이 높아진다,자아존중,,,,,,,,,10,무상보증기간,신뢰할 수 있다,
62,1,37,3,3,2,화면크기,커뮤니케이션이 용이하다,자아존중,,,,,,,,,,,,
69,1,40,3,6,2,화면크기,여가활동이 즐겁다,자아존중,,,,,,,,,,,,
71,1,31,3,7,1,화면크기,업무효율성이 높아진다,목표성취,,,,,,,,,,,,
75,0,23,3,9,2,화면크기,사용하기 편리하다,자아존중,,,,,,,,,,,,
93,1,40,3,9,5,화면크기,사용하기 편리하다,즐거운 인생,,,,,,,,,,,,
95,1,35,3,7,4,화면크기,업무효율성이 높아진다,좋은 관계,,,,,,,,,,,,
97,1,39,3,9,3,화면크기,사용하기 편리하다,걱정없는 삶,,,,,,,,,,,,
100,1,41,3,6,4,화면크기,여가활동이 즐겁다,좋은 관계,,,,,,,,,,,,
101,1,40,3,7,3,화면크기,업무효율성이 높아진다,걱정없는 삶,,,,,,,,,,,,
116,1,33,3,3,5,화면크기,커뮤니케이션이 용이하다,즐거운 인생,,,,,,,,,,,,
131,0,39,3,6,3,화면크기,여가활동이 즐겁다,걱정없는 삶,,,,,,,,,,,,
140,0,37,3,7,3,화면크기,업무효율성이 높아진다,걱정없는 삶,,,,,,,,,,,,
149,0,47,3,9,2,화면크기,사용하기 편리하다,자아존중,,,,,,,,,,,,
153,1,29,3,9,4,화면크기,사용하기 편리하다,좋은 관계,,,,,,,,,,,,
154,0,36,3,7,5,화면크기,업무효율성이 높아진다,즐거운 인생,,,,,,,,,,,,
166,0,27,3,9,5,화면크기,사용하기 편리하다,즐거운 인생,,,,,,,,,,,,
168,0,41,3,6,4,화면크기,여가활동이 즐겁다,좋은 관계,,,,,,,,,,,,
175,1,43,3,7,2,화면크기,업무효율성이 높아진다,자아존중,,,,,,,,,,,,
186,1,25,3,3,3,화면크기,커뮤니케이션이 용이하다,걱정없는 삶,,,,,,,,,,,,
192,1,49,3,6,3,화면크기,여가활동이 즐겁다,걱정없는 삶,,,,,,,,,,,,
193,0,45,3,7,4,화면크기,업무효율성이 높아진다,좋은 관계,,,,,,,,,,,,
208,0,29,3,9,3,화면크기,사용하기 편리하다,걱정없는 삶,,,,,,,,,,,,
249,0,47,3,9,4,화면크기,사용하기 편리하다,좋은 관계,,,,,,,,,,,,
261,1,27,3,7,2,화면크기,업무효율성이 높아진다,자아존중,,,,,,,,,,,,
262,0,43,3,9,2,화면크기,사용하기 편리하다,자아존중,,,,,,,,,,,,
277,0,41,3,6,2,화면크기,여가활동이 즐겁다,자아존중,,,,,,,,,,,,
280,1,36,3,7,2,화면크기,업무효율성이 높아진다,자아존중,,,,,,,,,,,,
309,0,48,3,3,2,화면크기,커뮤니케이션이 용이하다,자아존중,,,,,,,,,,,,
325,1,31,3,6,2,화면크기,여가활동이 즐겁다,자아존중,,,,,,,,,,,,
327,0,40,3,7,4,화면크기,업무효율성이 높아진다,좋은 관계,,,,,,,,,,,,
334,1,39,3,9,3,화면크기,사용하기 편리하다,걱정없는 삶,,,,,,,,,,,,
339,1,36,3,9,5,화면크기,사용하기 편리하다,즐거운 인생,,,,,,,,,,,,
340,1,46,3,7,3,화면크기,업무효율성이 높아진다,걱정없는 삶,,,,,,,,,,,,
351,1,25,3,9,4,화면크기,사용하기 편리하다,좋은 관계,,,,,,,,,,,,
380,0,34,3,6,4,화면크기,여가활동이 즐겁다,좋은 관계,,,,,,,,,,,,
406,0,39,3,7,3,화면크기,업무효율성이 높아진다,걱정없는 삶,,,,,,,,,,,,
408,1,43,3,3,3,화면크기,커뮤니케이션이 용이하다,걱정없는 삶,,,,,,,,,,,,
415,0,30,3,6,2,화면크기,여가활동이 즐겁다,자아존중,,,,,,,,,,,,
422,0,46,3,7,4,화면크기,업무효율성이 높아진다,좋은 관계,,,,,,,,,,,,
425,0,33,3,9,2,화면크기,사용하기 편리하다,자아존중,,,,,,,,,,,,
432,0,27,3,9,3,화면크기,사용하기 편리하다,걱정없는 삶,,,,,,,,,,,,
433,0,33,3,7,3,화면크기,업무효율성이 높아진다,걱정없는 삶,,,,,,,,,,,,
445,1,30,3,9,2,화면크기,사용하기 편리하다,자아존중,,,,,,,,,,,,
458,1,46,3,6,3,화면크기,여가활동이 즐겁다,걱정없는 삶,,,,,,,,,,,,
465,1,24,3,7,3,화면크기,업무효율성이 높아진다,걱정없는 삶,,,,,,,,,,,,
480,0,46,3,6,3,화면크기,여가활동이 즐겁다,걱정없는 삶,,,,,,,,,,,,
484,0,45,3,7,4,화면크기,업무효율성이 높아진다,좋은 관계,,,,,,,,,code,attribute,benefit,value
23,0,34,4,3,4,빠른 속도,커뮤니케이션이 용이하다,좋은 관계,,,,,,,,,1,저렴한 가격,언제나 연결된다,목표성취
24,0,28,4,7,1,빠른 속도,업무효율성이 높아진다,목표성취,,,,,,,,,2,카메라성능,경제적 손실을 줄인다,자아존중
27,1,30,4,7,5,빠른 속도,업무효율성이 높아진다,즐거운 인생,,,,,,,,,3,화면크기,커뮤니케이션이 용이하다,걱정없는 삶
34,1,43,4,7,5,빠른 속도,업무효율성이 높아진다,즐거운 인생,,,,,,,,,4,빠른 속도,나의 개성을 표현할 수 있다,좋은 관계
36,1,48,4,9,2,빠른 속도,사용하기 편리하다,자아존중,,,,,,,,,5,저장용량,SNS 참여가 쉽다,즐거운 인생
41,1,41,4,9,2,빠른 속도,사용하기 편리하다,자아존중,,,,,,,,,6,세련된 스타일,여가활동이 즐겁다,
50,1,31,4,3,3,빠른 속도,커뮤니케이션이 용이하다,걱정없는 삶,,,,,,,,,7,강력한 보안,업무효율성이 높아진다,
63,1,47,4,7,2,빠른 속도,업무효율성이 높아진다,자아존중,,,,,,,,,8,브랜드,개인정보 보호가 된다,
77,1,35,4,7,4,빠른 속도,업무효율성이 높아진다,좋은 관계,,,,,,,,,9,내구성,사용하기 편리하다,
92,1,24,4,9,2,빠른 속도,사용하기 편리하다,자아존중,,,,,,,,,10,무상보증기간,신뢰할 수 있다,
104,0,37,4,9,2,빠른 속도,사용하기 편리하다,자아존중,,,,,,,,,,,,
123,0,39,4,7,4,빠른 속도,업무효율성이 높아진다,좋은 관계,,,,,,,,,,,,
124,0,26,4,7,4,빠른 속도,업무효율성이 높아진다,좋은 관계,,,,,,,,,,,,
142,0,44,4,3,1,빠른 속도,커뮤니케이션이 용이하다,목표성취,,,,,,,,,,,,
151,0,24,4,7,1,빠른 속도,업무효율성이 높아진다,목표성취,,,,,,,,,,,,
156,0,29,4,7,5,빠른 속도,업무효율성이 높아진다,즐거운 인생,,,,,,,,,,,,
159,1,25,4,7,5,빠른 속도,업무효율성이 높아진다,즐거운 인생,,,,,,,,,,,,
170,0,42,4,9,2,빠른 속도,사용하기 편리하다,자아존중,,,,,,,,,,,,
180,0,30,4,9,3,빠른 속도,사용하기 편리하다,걱정없는 삶,,,,,,,,,,,,
187,0,33,4,3,4,빠른 속도,커뮤니케이션이 용이하다,좋은 관계,,,,,,,,,,,,
195,1,28,4,7,4,빠른 속도,업무효율성이 높아진다,좋은 관계,,,,,,,,,,,,
209,1,42,4,7,2,빠른 속도,업무효율성이 높아진다,자아존중,,,,,,,,,,,,
213,0,31,4,9,3,빠른 속도,사용하기 편리하다,걱정없는 삶,,,,,,,,,,,,
220,1,27,4,9,4,빠른 속도,사용하기 편리하다,좋은 관계,,,,,,,,,,,,
225,0,44,4,7,4,빠른 속도,업무효율성이 높아진다,좋은 관계,,,,,,,,,,,,
240,0,43,4,7,5,빠른 속도,업무효율성이 높아진다,즐거운 인생,,,,,,,,,,,,
263,0,38,4,3,1,빠른 속도,커뮤니케이션이 용이하다,목표성취,,,,,,,,,,,,
278,1,49,4,7,1,빠른 속도,업무효율성이 높아진다,목표성취,,,,,,,,,,,,
304,0,44,4,7,5,빠른 속도,업무효율성이 높아진다,즐거운 인생,,,,,,,,,,,,
307,0,45,4,7,2,빠른 속도,업무효율성이 높아진다,자아존중,,,,,,,,,,,,
314,0,41,4,9,3,빠른 속도,사용하기 편리하다,걱정없는 삶,,,,,,,,,,,,
320,1,25,4,9,1,빠른 속도,사용하기 편리하다,목표성취,,,,,,,,,,,,
321,0,49,4,3,4,빠른 속도,커뮤니케이션이 용이하다,좋은 관계,,,,,,,,,,,,
338,1,25,4,7,2,빠른 속도,업무효율성이 높아진다,자아존중,,,,,,,,,,,,
343,1,28,4,7,2,빠른 속도,업무효율성이 높아진다,자아존중,,,,,,,,,,,,
347,1,45,4,9,5,빠른 속도,사용하기 편리하다,즐거운 인생,,,,,,,,,,,,
363,1,46,4,9,3,빠른 속도,사용하기 편리하다,걱정없는 삶,,,,,,,,,,,,
365,0,27,4,7,4,빠른 속도,업무효율성이 높아진다,좋은 관계,,,,,,,,,,,,
368,1,25,4,7,4,빠른 속도,업무효율성이 높아진다,좋은 관계,,,,,,,,,,,,
370,0,39,4,3,1,빠른 속도,커뮤니케이션이 용이하다,목표성취,,,,,,,,,,,,
372,1,46,4,7,1,빠른 속도,업무효율성이 높아진다,목표성취,,,,,,,,,,,,
383,1,30,4,7,1,빠른 속도,업무효율성이 높아진다,목표성취,,,,,,,,,,,,
403,1,44,4,7,1,빠른 속도,업무효율성이 높아진다,목표성취,,,,,,,,,,,,
404,0,36,4,9,3,빠른 속도,사용하기 편리하다,걱정없는 삶,,,,,,,,,,,,
410,0,49,4,9,4,빠른 속도,사용하기 편리하다,좋은 관계,,,,,,,,,,,,
417,0,41,4,3,3,빠른 속도,커뮤니케이션이 용이하다,걱정없는 삶,,,,,,,,,,,,
424,0,46,4,7,2,빠른 속도,업무효율성이 높아진다,자아존중,,,,,,,,,,,,
426,1,29,4,7,5,빠른 속도,업무효율성이 높아진다,즐거운 인생,,,,,,,,,,,,
463,0,49,4,9,5,빠른 속도,사용하기 편리하다,즐거운 인생,,,,,,,,,,,,
466,0,38,4,9,1,빠른 속도,사용하기 편리하다,목표성취,,,,,,,,,,,,
476,0,25,4,7,4,빠른 속도,업무효율성이 높아진다,좋은 관계,,,,,,,,,,,,
488,0,47,4,7,4,빠른 속도,업무효율성이 높아진다,좋은 관계,,,,,,,,,,,,
490,0,27,4,3,5,빠른 속도,커뮤니케이션이 용이하다,즐거운 인생,,,,,,,,,code,attribute,benefit,value
495,0,29,4,7,4,빠른 속도,업무효율성이 높아진다,좋은 관계,,,,,,,,,1,저렴한 가격,언제나 연결된다,목표성취
1,1,30,4,3,2,빠른 속도,커뮤니케이션이 용이하다,자아존중,,,,,,,,,2,카메라성능,경제적 손실을 줄인다,자아존중
5,1,37,4,7,5,빠른 속도,업무효율성이 높아진다,즐거운 인생,,,,,,,,,3,화면크기,커뮤니케이션이 용이하다,걱정없는 삶
19,0,30,4,7,5,빠른 속도,업무효율성이 높아진다,즐거운 인생,,,,,,,,,4,빠른 속도,나의 개성을 표현할 수 있다,좋은 관계
30,0,25,4,7,4,빠른 속도,업무효율성이 높아진다,좋은 관계,,,,,,,,,5,저장용량,SNS 참여가 쉽다,즐거운 인생
40,0,41,4,9,2,빠른 속도,사용하기 편리하다,자아존중,,,,,,,,,6,세련된 스타일,여가활동이 즐겁다,
43,0,40,4,9,4,빠른 속도,사용하기 편리하다,좋은 관계,,,,,,,,,7,강력한 보안,업무효율성이 높아진다,
47,1,48,4,3,3,빠른 속도,커뮤니케이션이 용이하다,걱정없는 삶,,,,,,,,,8,브랜드,개인정보 보호가 된다,
53,0,31,4,7,2,빠른 속도,업무효율성이 높아진다,자아존중,,,,,,,,,9,내구성,사용하기 편리하다,
60,1,32,4,7,5,빠른 속도,업무효율성이 높아진다,즐거운 인생,,,,,,,,,10,무상보증기간,신뢰할 수 있다,
68,1,34,4,9,3,빠른 속도,사용하기 편리하다,걱정없는 삶,,,,,,,,,,,,
70,0,45,4,9,5,빠른 속도,사용하기 편리하다,즐거운 인생,,,,,,,,,,,,
73,1,34,4,7,2,빠른 속도,업무효율성이 높아진다,자아존중,,,,,,,,,,,,
76,1,39,4,7,5,빠른 속도,업무효율성이 높아진다,즐거운 인생,,,,,,,,,,,,
79,0,48,4,3,2,빠른 속도,커뮤니케이션이 용이하다,자아존중,,,,,,,,,,,,
80,1,38,4,7,4,빠른 속도,업무효율성이 높아진다,좋은 관계,,,,,,,,,,,,
81,1,44,4,3,3,빠른 속도,커뮤니케이션이 용이하다,걱정없는 삶,,,,,,,,,,,,
86,1,32,4,7,5,빠른 속도,업무효율성이 높아진다,즐거운 인생,,,,,,,,,,,,
89,0,25,4,7,5,빠른 속도,업무효율성이 높아진다,즐거운 인생,,,,,,,,,,,,
91,1,24,4,7,5,빠른 속도,업무효율성이 높아진다,즐거운 인생,,,,,,,,,,,,
99,0,29,4,9,5,빠른 속도,사용하기 편리하다,즐거운 인생,,,,,,,,,,,,
102,1,35,4,9,2,빠른 속도,사용하기 편리하다,자아존중,,,,,,,,,,,,
111,1,41,4,3,5,빠른 속도,커뮤니케이션이 용이하다,즐거운 인생,,,,,,,,,,,,
113,0,44,4,7,3,빠른 속도,업무효율성이 높아진다,걱정없는 삶,,,,,,,,,,,,
119,1,43,4,7,2,빠른 속도,업무효율성이 높아진다,자아존중,,,,,,,,,,,,
120,0,24,4,9,4,빠른 속도,사용하기 편리하다,좋은 관계,,,,,,,,,,,,
132,1,45,4,9,3,빠른 속도,사용하기 편리하다,걱정없는 삶,,,,,,,,,,,,
144,0,33,4,7,3,빠른 속도,업무효율성이 높아진다,걱정없는 삶,,,,,,,,,,,,
152,1,27,4,7,2,빠른 속도,업무효율성이 높아진다,자아존중,,,,,,,,,,,,
167,0,35,4,3,2,빠른 속도,커뮤니케이션이 용이하다,자아존중,,,,,,,,,,,,
177,1,30,4,7,2,빠른 속도,업무효율성이 높아진다,자아존중,,,,,,,,,,,,
184,0,23,5,7,3,저장용량,업무효율성이 높아진다,걱정없는 삶,,,,,,,,,,,,
188,1,26,5,7,4,저장용량,업무효율성이 높아진다,좋은 관계,,,,,,,,,,,,
202,1,36,5,9,3,저장용량,사용하기 편리하다,걱정없는 삶,,,,,,,,,,,,
205,0,47,5,9,1,저장용량,사용하기 편리하다,목표성취,,,,,,,,,,,,
217,1,30,5,7,3,저장용량,업무효율성이 높아진다,걱정없는 삶,,,,,,,,,,,,
218,0,40,5,7,2,저장용량,업무효율성이 높아진다,자아존중,,,,,,,,,,,,
224,0,31,5,7,2,저장용량,업무효율성이 높아진다,자아존중,,,,,,,,,,,,
226,0,24,5,7,4,저장용량,업무효율성이 높아진다,좋은 관계,,,,,,,,,,,,
235,0,25,5,9,4,저장용량,사용하기 편리하다,좋은 관계,,,,,,,,,,,,
244,1,30,5,9,2,저장용량,사용하기 편리하다,자아존중,,,,,,,,,,,,
247,1,44,5,7,3,저장용량,업무효율성이 높아진다,걱정없는 삶,,,,,,,,,,,,
248,0,31,5,7,4,저장용량,업무효율성이 높아진다,좋은 관계,,,,,,,,,,,,
257,0,46,5,7,3,저장용량,업무효율성이 높아진다,걱정없는 삶,,,,,,,,,,,,
258,0,26,5,7,3,저장용량,업무효율성이 높아진다,걱정없는 삶,,,,,,,,,,,,
270,0,24,5,9,4,저장용량,사용하기 편리하다,좋은 관계,,,,,,,,,,,,
273,0,30,5,9,4,저장용량,사용하기 편리하다,좋은 관계,,,,,,,,,,,,
