sample,gende,age,brand,attribute,benefit,value
69,남,32,갤럭시,빠른 속도,업무효율성이 높아진다,걱정없는 삶
70,남,42,갤럭시,브랜드,신뢰할 수 있다,즐거운 인생
71,여,32,갤럭시,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
72,여,25,아이폰,강력한 보안,신뢰할 수 있다,걱정없는 삶
73,여,48,아이폰,브랜드,신뢰할 수 있다,걱정없는 삶
74,남,42,아이폰,강력한 보안,업무효율성이 높아진다,걱정없는 삶
75,남,46,갤럭시,빠른 속도,사용하기 편리하다,걱정없는 삶
76,남,29,갤럭시,브랜드,개성을 표현할 수 있다,자아존중
77,여,48,아이폰,화면크기,커뮤니케이션이 용이하다,즐거운 인생
78,남,39,아이폰,화면크기,사용하기 편리하다,즐거운 인생
79,여,41,아이폰,강력한 보안,개인정보 보호가 된다,걱정없는 삶
80,남,41,아이폰,세련된 스타일,개성을 표현할 수 있다,좋은 관계
81,남,28,갤럭시,빠른 속도,업무효율성이 높아진다,걱정없는 삶
82,여,25,갤럭시,화면크기,여가활동이 즐겁다,좋은 관계
83,남,40,갤럭시,화면크기,여가활동이 즐겁다,즐거운 인생
84,여,28,아이폰,강력한 보안,개인정보 보호가 된다,걱정없는 삶
85,남,39,아이폰,브랜드,신뢰할 수 있다,풍족한 삶
86,여,36,갤럭시,카메라성능,개성을 표현할 수 있다,자아존중
87,남,25,갤럭시,화면크기,커뮤니케이션이 용이하다,자아존중
88,여,45,아이폰,강력한 보안,신뢰할 수 있다,걱정없는 삶
89,여,41,아이폰,화면크기,여가활동이 즐겁다,즐거운 인생
90,여,32,아이폰,세련된 스타일,개성을 표현할 수 있다,자아존중
91,여,29,아이폰,강력한 보안,개인정보 보호가 된다,걱정없는 삶
92,여,33,아이폰,화면크기,사용하기 편리하다,풍족한 삶
93,남,29,아이폰,카메라성능,여가활동이 즐겁다,즐거운 인생
94,남,47,갤럭시,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶
95,여,38,아이폰,카메라성능,SNS 참여가 쉽다,즐거운 인생
96,여,24,아이폰,세련된 스타일,개성을 표현할 수 있다,자아존중
97,여,47,갤럭시,화면크기,사용하기 편리하다,풍족한 삶
98,여,27,아이폰,브랜드,신뢰할 수 있다,풍족한 삶
99,여,29,갤럭시,내구성,신뢰할 수 있다,걱정없는 삶
100,남,28,갤럭시,저장용량,사용하기 편리하다,좋은 관계
101,여,33,갤럭시,화면크기,사용하기 편리하다,풍족한 삶
102,남,24,갤럭시,화면크기,업무효율성이 높아진다,풍족한 삶
103,남,28,아이폰,세련된 스타일,개성을 표현할 수 있다,자아존중
104,여,29,갤럭시,무상보증기간,경제적 손실을 줄인다,걱정없는 삶
105,여,47,아이폰,브랜드,개성을 표현할 수 있다,자아존중
106,남,26,갤럭시,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
107,남,30,갤럭시,빠른 속도,업무효율성이 높아진다,걱정없는 삶
108,남,37,갤럭시,빠른 속도,업무효율성이 높아진다,걱정없는 삶
109,남,29,아이폰,세련된 스타일,개성을 표현할 수 있다,자아존중
110,남,26,아이폰,강력한 보안,업무효율성이 높아진다,걱정없는 삶
111,남,46,갤럭시,카메라성능,개성을 표현할 수 있다,자아존중
112,남,46,아이폰,강력한 보안,업무효율성이 높아진다,풍족한 삶
113,여,41,갤럭시,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
114,여,29,아이폰,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
115,남,34,아이폰,세련된 스타일,개성을 표현할 수 있다,자아존중
116,남,29,아이폰,화면크기,사용하기 편리하다,즐거운 인생
117,여,36,아이폰,브랜드,신뢰할 수 있다,풍족한 삶
118,여,24,아이폰,브랜드,개성을 표현할 수 있다,자아존중
119,여,43,아이폰,세련된 스타일,개성을 표현할 수 있다,자아존중
120,남,34,아이폰,강력한 보안,개인정보 보호가 된다,풍족한 삶
121,남,41,아이폰,강력한 보안,신뢰할 수 있다,즐거운 인생
122,여,26,아이폰,세련된 스타일,개성을 표현할 수 있다,즐거운 인생
123,여,46,아이폰,화면크기,여가활동이 즐겁다,좋은 관계
124,여,41,갤럭시,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶
125,남,39,아이폰,카메라성능,개성을 표현할 수 있다,좋은 관계
126,남,25,갤럭시,빠른 속도,사용하기 편리하다,풍족한 삶
127,여,25,갤럭시,빠른 속도,업무효율성이 높아진다,풍족한 삶
128,남,43,아이폰,브랜드,신뢰할 수 있다,풍족한 삶
129,남,39,아이폰,브랜드,여가활동이 즐겁다,즐거운 인생
130,남,39,아이폰,강력한 보안,업무효율성이 높아진다,걱정없는 삶
131,남,37,아이폰,세련된 스타일,여가활동이 즐겁다,좋은 관계
132,여,25,갤럭시,저장용량,사용하기 편리하다,즐거운 인생
133,남,31,아이폰,세련된 스타일,신뢰할 수 있다,풍족한 삶
134,여,29,갤럭시,내구성,신뢰할 수 있다,걱정없는 삶
135,여,48,갤럭시,카메라성능,SNS 참여가 쉽다,자아존중
136,여,33,갤럭시,화면크기,업무효율성이 높아진다,풍족한 삶
137,남,30,갤럭시,카메라성능,여가활동이 즐겁다,좋은 관계
138,여,45,아이폰,강력한 보안,업무효율성이 높아진다,풍족한 삶
139,여,27,아이폰,강력한 보안,개인정보 보호가 된다,걱정없는 삶
140,남,26,갤럭시,저장용량,업무효율성이 높아진다,걱정없는 삶
141,남,29,아이폰,빠른 속도,업무효율성이 높아진다,풍족한 삶
142,남,49,갤럭시,카메라성능,SNS 참여가 쉽다,좋은 관계
143,남,24,갤럭시,카메라성능,여가활동이 즐겁다,자아존중
144,여,49,갤럭시,카메라성능,개성을 표현할 수 있다,즐거운 인생
145,남,31,아이폰,브랜드,신뢰할 수 있다,풍족한 삶
146,여,37,아이폰,빠른 속도,사용하기 편리하다,즐거운 인생
147,여,41,아이폰,브랜드,여가활동이 즐겁다,즐거운 인생
148,여,23,갤럭시,저장용량,업무효율성이 높아진다,풍족한 삶
149,여,49,갤럭시,빠른 속도,사용하기 편리하다,걱정없는 삶
150,여,48,아이폰,카메라성능,SNS 참여가 쉽다,좋은 관계
151,남,47,아이폰,카메라성능,개성을 표현할 수 있다,좋은 관계
152,남,24,아이폰,세련된 스타일,여가활동이 즐겁다,좋은 관계
153,여,43,갤럭시,빠른 속도,업무효율성이 높아진다,걱정없는 삶
154,남,31,갤럭시,화면크기,업무효율성이 높아진다,걱정없는 삶
155,여,43,아이폰,강력한 보안,신뢰할 수 있다,풍족한 삶
156,여,47,아이폰,브랜드,신뢰할 수 있다,풍족한 삶
157,여,38,갤럭시,빠른 속도,커뮤니케이션이 용이하다,자아존중
158,여,32,갤럭시,내구성,SNS 참여가 쉽다,좋은 관계
159,남,35,아이폰,브랜드,개성을 표현할 수 있다,자아존중
160,남,36,갤럭시,내구성,업무효율성이 높아진다,걱정없는 삶
161,남,37,아이폰,내구성,경제적 손실을 줄인다,풍족한 삶
162,남,48,갤럭시,화면크기,사용하기 편리하다,걱정없는 삶
163,남,28,갤럭시,저장용량,업무효율성이 높아진다,풍족한 삶
164,여,44,갤럭시,빠른 속도,업무효율성이 높아진다,풍족한 삶
165,남,37,갤럭시,내구성,개성을 표현할 수 있다,좋은 관계
166,여,49,아이폰,강력한 보안,개인정보 보호가 된다,풍족한 삶
167,여,45,갤럭시,강력한 보안,업무효율성이 높아진다,좋은 관계
168,남,45,아이폰,카메라성능,개성을 표현할 수 있다,좋은 관계
169,남,35,아이폰,세련된 스타일,여가활동이 즐겁다,좋은 관계
170,여,28,아이폰,카메라성능,SNS 참여가 쉽다,좋은 관계
171,남,39,아이폰,세련된 스타일,개성을 표현할 수 있다,자아존중
172,여,23,갤럭시,화면크기,사용하기 편리하다,즐거운 인생
173,남,45,아이폰,세련된 스타일,개성을 표현할 수 있다,좋은 관계
174,남,33,갤럭시,화면크기,커뮤니케이션이 용이하다,좋은 관계
175,여,30,갤럭시,저장용량,사용하기 편리하다,좋은 관계
176,여,39,아이폰,내구성,업무효율성이 높아진다,즐거운 인생
177,여,43,갤럭시,내구성,경제적 손실을 줄인다,풍족한 삶
178,남,30,갤럭시,빠른 속도,업무효율성이 높아진다,걱정없는 삶
179,남,49,아이폰,강력한 보안,업무효율성이 높아진다,풍족한 삶
180,남,26,아이폰,강력한 보안,개인정보 보호가 된다,걱정없는 삶
181,여,40,갤럭시,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
182,남,48,갤럭시,빠른 속도,커뮤니케이션이 용이하다,좋은 관계
183,남,28,아이폰,세련된 스타일,여가활동이 즐겁다,즐거운 인생
184,여,47,갤럭시,빠른 속도,업무효율성이 높아진다,풍족한 삶
185,남,39,갤럭시,저장용량,업무효율성이 높아진다,걱정없는 삶
186,여,33,갤럭시,빠른 속도,커뮤니케이션이 용이하다,즐거운 인생
187,남,33,갤럭시,내구성,업무효율성이 높아진다,즐거운 인생
188,남,41,아이폰,강력한 보안,개인정보 보호가 된다,걱정없는 삶
189,남,25,아이폰,화면크기,커뮤니케이션이 용이하다,좋은 관계
190,여,29,갤럭시,내구성,신뢰할 수 있다,걱정없는 삶
191,여,26,갤럭시,빠른 속도,업무효율성이 높아진다,걱정없는 삶
192,남,47,아이폰,카메라성능,개성을 표현할 수 있다,자아존중
193,남,48,아이폰,강력한 보안,신뢰할 수 있다,풍족한 삶
194,남,37,아이폰,브랜드,여가활동이 즐겁다,좋은 관계
195,여,23,갤럭시,내구성,경제적 손실을 줄인다,풍족한 삶
196,여,33,갤럭시,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
197,여,24,갤럭시,카메라성능,개성을 표현할 수 있다,즐거운 인생
198,남,30,아이폰,세련된 스타일,개성을 표현할 수 있다,자아존중
199,여,43,갤럭시,저장용량,업무효율성이 높아진다,걱정없는 삶
200,여,25,아이폰,브랜드,신뢰할 수 있다,걱정없는 삶
201,남,40,갤럭시,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
202,여,45,갤럭시,화면크기,업무효율성이 높아진다,풍족한 삶
203,남,37,갤럭시,화면크기,커뮤니케이션이 용이하다,좋은 관계
204,여,46,아이폰,내구성,업무효율성이 높아진다,풍족한 삶
205,여,32,아이폰,브랜드,개성을 표현할 수 있다,자아존중
206,여,36,갤럭시,내구성,신뢰할 수 있다,풍족한 삶
207,여,27,갤럭시,빠른 속도,업무효율성이 높아진다,풍족한 삶
208,여,45,갤럭시,빠른 속도,업무효율성이 높아진다,풍족한 삶
209,남,41,갤럭시,저렴한 가격,개성을 표현할 수 있다,자아존중
210,여,46,아이폰,브랜드,개성을 표현할 수 있다,자아존중
211,남,45,아이폰,세련된 스타일,신뢰할 수 있다,걱정없는 삶
212,여,26,아이폰,브랜드,개성을 표현할 수 있다,자아존중
213,남,24,아이폰,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
214,여,28,갤럭시,강력한 보안,업무효율성이 높아진다,풍족한 삶
215,남,32,아이폰,빠른 속도,업무효율성이 높아진다,풍족한 삶
216,남,41,갤럭시,카메라성능,SNS 참여가 쉽다,좋은 관계
217,여,29,갤럭시,빠른 속도,업무효율성이 높아진다,걱정없는 삶
218,여,44,아이폰,카메라성능,여가활동이 즐겁다,좋은 관계
219,여,46,갤럭시,빠른 속도,업무효율성이 높아진다,걱정없는 삶
220,남,34,아이폰,카메라성능,개성을 표현할 수 있다,자아존중
221,여,33,갤럭시,내구성,경제적 손실을 줄인다,걱정없는 삶
222,여,33,갤럭시,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
223,남,44,갤럭시,빠른 속도,업무효율성이 높아진다,풍족한 삶
224,여,47,아이폰,화면크기,사용하기 편리하다,즐거운 인생
225,여,24,갤럭시,빠른 속도,업무효율성이 높아진다,걱정없는 삶
226,여,38,갤럭시,빠른 속도,사용하기 편리하다,즐거운 인생
227,여,46,갤럭시,저장용량,업무효율성이 높아진다,풍족한 삶
228,여,27,갤럭시,강력한 보안,업무효율성이 높아진다,풍족한 삶
229,남,24,갤럭시,무상보증기간,경제적 손실을 줄인다,풍족한 삶
230,남,25,아이폰,브랜드,신뢰할 수 있다,걱정없는 삶
231,여,40,아이폰,카메라성능,SNS 참여가 쉽다,자아존중
232,여,37,아이폰,카메라성능,개성을 표현할 수 있다,자아존중
233,남,27,아이폰,강력한 보안,개인정보 보호가 된다,걱정없는 삶
234,여,31,아이폰,저장용량,업무효율성이 높아진다,풍족한 삶
235,여,37,갤럭시,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
236,남,40,갤럭시,무상보증기간,경제적 손실을 줄인다,풍족한 삶
237,남,36,아이폰,화면크기,업무효율성이 높아진다,풍족한 삶
238,여,41,갤럭시,빠른 속도,커뮤니케이션이 용이하다,좋은 관계
239,여,27,갤럭시,화면크기,사용하기 편리하다,풍족한 삶
240,여,38,아이폰,브랜드,신뢰할 수 있다,풍족한 삶
241,남,49,아이폰,강력한 보안,개인정보 보호가 된다,걱정없는 삶
242,여,45,갤럭시,화면크기,업무효율성이 높아진다,풍족한 삶
243,남,39,갤럭시,카메라성능,개성을 표현할 수 있다,자아존중
244,여,40,갤럭시,화면크기,업무효율성이 높아진다,풍족한 삶
245,남,48,아이폰,세련된 스타일,개성을 표현할 수 있다,자아존중
246,남,42,갤럭시,카메라성능,여가활동이 즐겁다,풍족한 삶
247,남,30,아이폰,세련된 스타일,개성을 표현할 수 있다,즐거운 인생
248,남,25,아이폰,강력한 보안,개인정보 보호가 된다,걱정없는 삶
249,남,48,아이폰,강력한 보안,개인정보 보호가 된다,걱정없는 삶
250,남,39,갤럭시,빠른 속도,업무효율성이 높아진다,걱정없는 삶
251,남,43,아이폰,세련된 스타일,개성을 표현할 수 있다,좋은 관계
252,여,39,갤럭시,내구성,업무효율성이 높아진다,풍족한 삶
253,남,39,갤럭시,저장용량,업무효율성이 높아진다,걱정없는 삶
254,여,34,갤럭시,빠른 속도,커뮤니케이션이 용이하다,좋은 관계
255,남,49,아이폰,화면크기,여가활동이 즐겁다,좋은 관계
256,여,34,아이폰,카메라성능,SNS 참여가 쉽다,즐거운 인생
257,남,42,갤럭시,무상보증기간,경제적 손실을 줄인다,걱정없는 삶
258,여,48,아이폰,카메라성능,개성을 표현할 수 있다,자아존중
259,여,35,아이폰,세련된 스타일,신뢰할 수 있다,풍족한 삶
260,남,48,아이폰,브랜드,개성을 표현할 수 있다,좋은 관계
261,남,41,갤럭시,무상보증기간,경제적 손실을 줄인다,풍족한 삶
262,남,31,아이폰,화면크기,여가활동이 즐겁다,좋은 관계
263,남,25,갤럭시,빠른 속도,업무효율성이 높아진다,풍족한 삶
264,남,49,갤럭시,빠른 속도,업무효율성이 높아진다,풍족한 삶
265,여,26,아이폰,카메라성능,개성을 표현할 수 있다,자아존중
266,남,44,갤럭시,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
267,여,25,아이폰,카메라성능,개성을 표현할 수 있다,자아존중
268,남,46,아이폰,브랜드,여가활동이 즐겁다,즐거운 인생
269,남,37,아이폰,카메라성능,SNS 참여가 쉽다,좋은 관계
270,남,36,갤럭시,저장용량,사용하기 편리하다,즐거운 인생
271,남,35,아이폰,빠른 속도,업무효율성이 높아진다,풍족한 삶
272,남,31,아이폰,세련된 스타일,여가활동이 즐겁다,좋은 관계
273,남,33,갤럭시,강력한 보안,업무효율성이 높아진다,걱정없는 삶
274,여,29,갤럭시,빠른 속도,업무효율성이 높아진다,풍족한 삶
275,여,41,갤럭시,빠른 속도,사용하기 편리하다,즐거운 인생
276,남,27,아이폰,세련된 스타일,개성을 표현할 수 있다,자아존중
277,여,33,갤럭시,빠른 속도,업무효율성이 높아진다,풍족한 삶
278,여,36,갤럭시,카메라성능,개성을 표현할 수 있다,자아존중
279,여,29,아이폰,빠른 속도,사용하기 편리하다,즐거운 인생
280,남,34,아이폰,브랜드,개성을 표현할 수 있다,즐거운 인생
281,여,43,갤럭시,브랜드,신뢰할 수 있다,걱정없는 삶
282,여,44,갤럭시,빠른 속도,업무효율성이 높아진다,걱정없는 삶
283,남,43,아이폰,저장용량,업무효율성이 높아진다,걱정없는 삶
284,남,37,아이폰,세련된 스타일,개성을 표현할 수 있다,좋은 관계
285,여,37,갤럭시,내구성,신뢰할 수 있다,풍족한 삶
286,남,45,아이폰,카메라성능,SNS 참여가 쉽다,즐거운 인생
287,여,36,아이폰,세련된 스타일,여가활동이 즐겁다,즐거운 인생
288,남,46,갤럭시,화면크기,업무효율성이 높아진다,풍족한 삶
289,남,42,아이폰,카메라성능,개성을 표현할 수 있다,즐거운 인생
290,남,34,갤럭시,빠른 속도,사용하기 편리하다,풍족한 삶
291,여,27,갤럭시,저장용량,업무효율성이 높아진다,풍족한 삶
292,여,30,갤럭시,빠른 속도,업무효율성이 높아진다,풍족한 삶
293,남,36,아이폰,강력한 보안,신뢰할 수 있다,즐거운 인생
294,남,38,갤럭시,브랜드,신뢰할 수 있다,걱정없는 삶
295,여,41,갤럭시,빠른 속도,사용하기 편리하다,즐거운 인생
296,남,41,갤럭시,화면크기,여가활동이 즐겁다,좋은 관계
297,남,37,아이폰,세련된 스타일,개성을 표현할 수 있다,자아존중
298,여,29,아이폰,강력한 보안,신뢰할 수 있다,풍족한 삶
299,여,30,아이폰,브랜드,개성을 표현할 수 있다,즐거운 인생
300,여,40,갤럭시,무상보증기간,경제적 손실을 줄인다,풍족한 삶
301,여,48,갤럭시,내구성,신뢰할 수 있다,걱정없는 삶
302,여,39,갤럭시,내구성,신뢰할 수 있다,즐거운 인생
303,남,46,갤럭시,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶
304,여,42,갤럭시,내구성,신뢰할 수 있다,걱정없는 삶
305,여,24,갤럭시,저장용량,업무효율성이 높아진다,풍족한 삶
306,여,24,아이폰,세련된 스타일,여가활동이 즐겁다,좋은 관계
307,남,31,갤럭시,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶
308,여,48,갤럭시,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
309,여,36,아이폰,브랜드,여가활동이 즐겁다,좋은 관계
310,남,43,갤럭시,빠른 속도,업무효율성이 높아진다,풍족한 삶
311,여,24,갤럭시,무상보증기간,경제적 손실을 줄인다,풍족한 삶
312,남,36,아이폰,강력한 보안,개인정보 보호가 된다,풍족한 삶
313,남,23,아이폰,강력한 보안,신뢰할 수 있다,풍족한 삶
314,남,48,갤럭시,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶
315,여,38,갤럭시,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶
316,여,39,갤럭시,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
317,여,35,갤럭시,저장용량,업무효율성이 높아진다,풍족한 삶
318,남,28,갤럭시,빠른 속도,업무효율성이 높아진다,풍족한 삶
319,여,31,갤럭시,빠른 속도,사용하기 편리하다,즐거운 인생
320,여,26,갤럭시,저장용량,업무효율성이 높아진다,풍족한 삶
321,여,32,갤럭시,강력한 보안,신뢰할 수 있다,풍족한 삶
322,남,24,갤럭시,내구성,신뢰할 수 있다,풍족한 삶
323,여,29,갤럭시,저장용량,경제적 손실을 줄인다,걱정없는 삶
324,남,39,갤럭시,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
325,여,46,갤럭시,카메라성능,SNS 참여가 쉽다,즐거운 인생
326,남,31,갤럭시,빠른 속도,커뮤니케이션이 용이하다,자아존중
327,여,32,아이폰,저렴한 가격,SNS 참여가 쉽다,좋은 관계
328,여,36,갤럭시,저장용량,업무효율성이 높아진다,걱정없는 삶
329,남,37,아이폰,세련된 스타일,개성을 표현할 수 있다,좋은 관계
330,여,44,아이폰,내구성,신뢰할 수 있다,풍족한 삶
331,남,44,아이폰,빠른 속도,커뮤니케이션이 용이하다,좋은 관계
332,남,41,아이폰,카메라성능,개성을 표현할 수 있다,자아존중
333,남,28,갤럭시,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶
334,남,24,갤럭시,빠른 속도,업무효율성이 높아진다,걱정없는 삶
335,여,40,아이폰,세련된 스타일,개성을 표현할 수 있다,자아존중
336,남,27,아이폰,화면크기,업무효율성이 높아진다,걱정없는 삶
337,남,41,갤럭시,내구성,업무효율성이 높아진다,자아존중
338,남,45,갤럭시,빠른 속도,사용하기 편리하다,즐거운 인생
339,남,47,아이폰,카메라성능,개성을 표현할 수 있다,자아존중
340,남,35,아이폰,카메라성능,SNS 참여가 쉽다,좋은 관계
341,여,24,갤럭시,저장용량,업무효율성이 높아진다,걱정없는 삶
342,여,44,아이폰,브랜드,개성을 표현할 수 있다,자아존중
343,남,34,아이폰,카메라성능,여가활동이 즐겁다,즐거운 인생
344,여,24,갤럭시,저장용량,사용하기 편리하다,즐거운 인생
345,남,35,아이폰,화면크기,업무효율성이 높아진다,걱정없는 삶
346,남,42,아이폰,세련된 스타일,개성을 표현할 수 있다,자아존중
347,여,38,아이폰,강력한 보안,개인정보 보호가 된다,풍족한 삶
348,남,36,아이폰,저장용량,사용하기 편리하다,걱정없는 삶
349,여,26,아이폰,카메라성능,SNS 참여가 쉽다,즐거운 인생
350,여,44,아이폰,빠른 속도,업무효율성이 높아진다,풍족한 삶
351,여,31,갤럭시,세련된 스타일,개성을 표현할 수 있다,자아존중
352,남,35,아이폰,카메라성능,SNS 참여가 쉽다,자아존중
353,여,49,갤럭시,저장용량,사용하기 편리하다,걱정없는 삶
354,남,40,아이폰,카메라성능,여가활동이 즐겁다,즐거운 인생
355,남,25,아이폰,세련된 스타일,여가활동이 즐겁다,즐거운 인생
356,남,23,아이폰,카메라성능,개성을 표현할 수 있다,자아존중
357,여,49,아이폰,빠른 속도,사용하기 편리하다,풍족한 삶
358,남,35,갤럭시,내구성,경제적 손실을 줄인다,풍족한 삶
359,남,25,갤럭시,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
360,남,48,갤럭시,빠른 속도,사용하기 편리하다,즐거운 인생
361,남,32,아이폰,브랜드,개성을 표현할 수 있다,좋은 관계
362,여,39,아이폰,강력한 보안,업무효율성이 높아진다,걱정없는 삶
363,여,29,아이폰,브랜드,개성을 표현할 수 있다,자아존중
364,남,29,갤럭시,화면크기,업무효율성이 높아진다,풍족한 삶
365,남,36,갤럭시,브랜드,개성을 표현할 수 있다,자아존중
366,여,37,갤럭시,화면크기,업무효율성이 높아진다,풍족한 삶
367,남,29,아이폰,브랜드,신뢰할 수 있다,걱정없는 삶
368,여,41,갤럭시,카메라성능,SNS 참여가 쉽다,즐거운 인생
369,남,42,갤럭시,화면크기,업무효율성이 높아진다,풍족한 삶
370,여,43,아이폰,브랜드,개성을 표현할 수 있다,좋은 관계
371,남,38,아이폰,강력한 보안,업무효율성이 높아진다,풍족한 삶
