day,weekend,price_1,price_2,sale_1,sale_2,林富_1,林富_0
6,0,90.0 ,81.0 ,57,33,1,0
9,0,95.0 ,85.5 ,54,39,1,0
10,0,90.0 ,81.0 ,57,38,1,0
11,0,95.0 ,66.5 ,49,58,1,0
12,0,95.0 ,66.5 ,39,60,1,0
13,0,95.0 ,85.5 ,54,38,1,0
16,0,90.0 ,63.0 ,42,65,1,0
17,0,100.0 ,90.0 ,52,33,1,0
18,0,100.0 ,90.0 ,52,34,1,0
19,0,90.0 ,81.0 ,57,41,1,0
20,0,90.0 ,81.0 ,57,38,1,0
23,0,100.0 ,70.0 ,40,57,1,0
24,0,90.0 ,81.0 ,57,34,1,0
25,0,90.0 ,81.0 ,57,41,1,0
26,0,100.0 ,90.0 ,52,34,1,0
27,0,95.0 ,85.5 ,54,33,1,0
30,0,95.0 ,85.5 ,54,35,1,0
31,0,95.0 ,85.5 ,54,39,1,0
32,0,90.0 ,81.0 ,57,40,1,0
33,0,100.0 ,90.0 ,52,37,1,0
34,0,95.0 ,85.5 ,54,38,1,0
37,0,100.0 ,90.0 ,52,30,1,0
38,0,100.0 ,90.0 ,52,28,1,0
39,0,95.0 ,85.5 ,54,38,1,0
40,0,100.0 ,90.0 ,52,38,1,0
41,0,100.0 ,90.0 ,52,29,1,0
44,0,95.0 ,85.5 ,54,40,1,0
45,0,90.0 ,81.0 ,57,35,1,0
46,0,90.0 ,63.0 ,52,63,1,0
47,0,90.0 ,81.0 ,57,40,1,0
48,0,90.0 ,81.0 ,57,42,1,0
51,0,100.0 ,70.0 ,36,62,1,0
52,0,90.0 ,81.0 ,57,33,1,0
53,0,90.0 ,81.0 ,57,42,1,0
54,0,95.0 ,85.5 ,54,39,1,0
55,0,100.0 ,90.0 ,52,38,1,0
58,0,100.0 ,90.0 ,52,33,1,0
59,0,100.0 ,90.0 ,52,35,1,0
60,0,95.0 ,85.5 ,54,36,1,0
61,0,95.0 ,85.5 ,54,35,1,0
62,0,100.0 ,70.0 ,41,56,1,0
65,0,100.0 ,90.0 ,52,28,1,0
66,0,90.0 ,81.0 ,57,37,1,0
67,0,90.0 ,81.0 ,57,40,1,0
68,0,100.0 ,90.0 ,52,32,1,0
69,0,100.0 ,70.0 ,45,58,1,0
72,0,95.0 ,85.5 ,54,40,1,0
73,0,95.0 ,85.5 ,54,40,1,0
74,0,90.0 ,81.0 ,57,36,1,0
75,0,90.0 ,81.0 ,57,43,1,0
76,0,95.0 ,85.5 ,54,32,1,0
79,0,95.0 ,85.5 ,54,37,1,0
80,0,100.0 ,70.0 ,40,61,1,0
81,0,90.0 ,81.0 ,57,39,1,0
82,0,100.0 ,90.0 ,52,29,1,0
83,0,100.0 ,90.0 ,52,36,1,0
86,0,90.0 ,81.0 ,57,43,1,0
87,0,90.0 ,63.0 ,52,58,1,0
88,0,100.0 ,90.0 ,52,38,1,0
89,0,100.0 ,90.0 ,52,36,1,0
90,0,100.0 ,90.0 ,52,38,1,0
93,0,100.0 ,90.0 ,52,30,1,0
94,0,100.0 ,90.0 ,52,37,1,0
95,0,90.0 ,81.0 ,57,33,1,0
96,0,90.0 ,81.0 ,57,34,1,0
97,0,100.0 ,90.0 ,52,33,1,0
100,0,95.0 ,85.5 ,54,35,1,0
101,0,95.0 ,85.5 ,54,31,1,0
102,0,100.0 ,90.0 ,52,29,1,0
103,0,100.0 ,90.0 ,52,31,1,0
104,0,100.0 ,70.0 ,36,54,1,0
107,0,90.0 ,81.0 ,57,34,1,0
108,0,100.0 ,90.0 ,52,28,1,0
109,0,95.0 ,85.5 ,54,32,1,0
110,0,100.0 ,70.0 ,36,63,1,0
111,0,100.0 ,70.0 ,36,64,1,0
114,0,100.0 ,70.0 ,36,62,1,0
115,0,100.0 ,90.0 ,52,36,1,0
116,0,90.0 ,81.0 ,57,41,1,0
117,0,100.0 ,90.0 ,52,35,1,0
118,0,100.0 ,90.0 ,52,37,1,0
121,0,100.0 ,90.0 ,52,28,1,0
122,0,90.0 ,81.0 ,57,43,1,0
123,0,100.0 ,90.0 ,52,30,1,0
124,0,90.0 ,81.0 ,57,34,1,0
125,0,90.0 ,81.0 ,57,37,1,0
128,0,95.0 ,66.5 ,39,65,1,0
129,0,100.0 ,90.0 ,52,31,1,0
130,0,100.0 ,90.0 ,52,28,1,0
131,0,95.0 ,66.5 ,39,64,1,0
132,0,100.0 ,90.0 ,52,36,1,0
135,0,95.0 ,85.5 ,54,34,1,0
136,0,100.0 ,90.0 ,52,31,1,0
137,0,90.0 ,63.0 ,42,66,1,0
138,0,95.0 ,85.5 ,54,40,1,0
139,0,100.0 ,90.0 ,52,33,1,0
142,0,95.0 ,85.5 ,54,39,1,0
143,0,95.0 ,85.5 ,54,32,1,0
144,0,90.0 ,81.0 ,57,39,1,0
145,0,100.0 ,90.0 ,52,37,1,0
146,0,100.0 ,90.0 ,52,36,1,0
149,0,90.0 ,81.0 ,57,43,1,0
150,0,95.0 ,85.5 ,54,40,1,0
151,0,95.0 ,85.5 ,54,40,1,0
152,0,95.0 ,85.5 ,54,36,1,0
153,0,95.0 ,66.5 ,52,63,1,0
156,0,100.0 ,90.0 ,52,28,1,0
157,0,100.0 ,70.0 ,56,58,1,0
158,0,90.0 ,81.0 ,57,34,1,0
159,0,100.0 ,70.0 ,36,64,1,0
160,0,100.0 ,90.0 ,52,31,1,0
163,0,95.0 ,85.5 ,54,36,1,0
164,0,95.0 ,66.5 ,39,65,1,0
165,0,100.0 ,90.0 ,52,32,1,0
166,0,100.0 ,90.0 ,52,30,1,0
167,0,100.0 ,90.0 ,52,34,1,0
170,0,100.0 ,90.0 ,52,35,1,0
171,0,100.0 ,90.0 ,52,36,1,0
172,0,100.0 ,90.0 ,52,32,1,0
173,0,100.0 ,90.0 ,52,29,1,0
174,0,100.0 ,90.0 ,52,36,1,0
177,0,95.0 ,85.5 ,54,34,1,0
178,0,90.0 ,81.0 ,57,36,1,0
179,0,95.0 ,85.5 ,54,35,1,0
180,0,100.0 ,90.0 ,52,38,1,0
181,0,90.0 ,81.0 ,57,33,1,0
184,0,100.0 ,90.0 ,52,32,1,0
185,0,100.0 ,70.0 ,36,56,1,0
186,0,100.0 ,90.0 ,52,33,1,0
187,0,100.0 ,90.0 ,52,28,1,0
188,0,100.0 ,90.0 ,52,32,1,0
191,0,90.0 ,81.0 ,57,36,1,0
192,0,100.0 ,90.0 ,52,34,1,0
193,0,95.0 ,85.5 ,54,36,1,0
194,0,100.0 ,90.0 ,52,28,1,0
195,0,95.0 ,85.5 ,54,35,1,0
198,0,95.0 ,85.5 ,54,39,1,0
199,0,95.0 ,85.5 ,54,38,1,0
200,0,90.0 ,81.0 ,57,43,1,0
201,0,95.0 ,66.5 ,39,62,1,0
202,0,100.0 ,70.0 ,36,59,1,0
205,0,100.0 ,90.0 ,52,29,1,0
206,0,100.0 ,90.0 ,52,31,1,0
207,0,100.0 ,90.0 ,52,33,1,0
208,0,95.0 ,66.5 ,39,64,1,0
209,0,90.0 ,81.0 ,57,38,1,0
212,0,90.0 ,81.0 ,57,43,1,0
213,0,100.0 ,90.0 ,52,30,1,0
214,0,100.0 ,90.0 ,52,34,1,0
215,0,100.0 ,90.0 ,52,34,1,0
216,0,100.0 ,90.0 ,52,37,1,0
219,0,100.0 ,90.0 ,52,38,1,0
220,0,90.0 ,81.0 ,57,41,1,0
221,0,95.0 ,85.5 ,54,40,1,0
222,0,100.0 ,90.0 ,52,30,1,0
223,0,90.0 ,81.0 ,57,38,1,0
226,0,90.0 ,81.0 ,57,37,1,0
227,0,90.0 ,81.0 ,57,39,1,0
228,0,90.0 ,81.0 ,57,41,1,0
229,0,100.0 ,70.0 ,36,54,1,0
230,0,100.0 ,90.0 ,52,34,1,0
233,0,100.0 ,70.0 ,36,63,1,0
234,0,90.0 ,81.0 ,57,33,1,0
235,0,100.0 ,90.0 ,52,34,1,0
236,0,100.0 ,90.0 ,52,32,1,0
237,0,95.0 ,85.5 ,54,40,1,0
240,0,90.0 ,81.0 ,57,38,1,0
241,0,100.0 ,90.0 ,52,36,1,0
242,0,100.0 ,70.0 ,36,57,1,0
243,0,90.0 ,81.0 ,57,40,1,0
244,0,95.0 ,85.5 ,54,34,1,0
247,0,95.0 ,85.5 ,54,36,1,0
248,0,100.0 ,90.0 ,52,38,1,0
249,0,90.0 ,81.0 ,57,39,1,0
250,0,100.0 ,90.0 ,52,37,1,0
251,0,100.0 ,90.0 ,52,32,1,0
254,0,90.0 ,81.0 ,57,43,1,0
255,0,95.0 ,66.5 ,50,63,1,0
256,0,100.0 ,90.0 ,52,38,1,0
257,0,100.0 ,90.0 ,52,34,1,0
258,0,100.0 ,90.0 ,52,35,1,0
261,0,100.0 ,90.0 ,52,34,1,0
262,0,100.0 ,90.0 ,52,34,1,0
263,0,100.0 ,70.0 ,36,64,1,0
264,0,95.0 ,85.5 ,54,31,1,0
265,0,100.0 ,70.0 ,36,62,1,0
268,0,95.0 ,85.5 ,54,37,1,0
269,0,100.0 ,70.0 ,36,54,1,0
270,0,100.0 ,70.0 ,36,54,1,0
271,0,95.0 ,85.5 ,54,34,1,0
272,0,100.0 ,90.0 ,52,36,1,0
275,0,100.0 ,90.0 ,52,31,1,0
276,0,95.0 ,66.5 ,39,56,1,0
277,0,100.0 ,90.0 ,52,35,1,0
278,0,95.0 ,66.5 ,39,56,1,0
279,0,95.0 ,85.5 ,54,34,1,0
282,0,100.0 ,90.0 ,52,31,1,0
283,0,100.0 ,70.0 ,36,54,1,0
284,0,100.0 ,90.0 ,52,36,1,0
285,0,100.0 ,90.0 ,52,30,1,0
286,0,95.0 ,85.5 ,54,36,1,0
289,0,100.0 ,90.0 ,52,36,1,0
290,0,100.0 ,70.0 ,50,56,1,0
291,0,100.0 ,70.0 ,36,61,1,0
292,0,100.0 ,90.0 ,52,33,1,0
293,0,100.0 ,90.0 ,52,31,1,0
296,0,95.0 ,85.5 ,54,36,1,0
297,0,100.0 ,90.0 ,52,36,1,0
298,0,95.0 ,85.5 ,54,30,1,0
299,0,100.0 ,90.0 ,52,33,1,0
300,0,100.0 ,90.0 ,52,33,1,0
